'day	d a i
mandocdoc	m a n d o k d o k
mandukot	m a n d u k o t
mandurukot	m a n d u ɾ u k o t
maneho	m a n e h o
mang	m a ŋ
mangagat	m a ŋ a ɡ a t
mangailangan	m a ŋ a ʔ i l a ŋ a n
mangalandakan	m a ŋ a l a n d a k a n
mangalay	m a ŋ a l a i
mangalunya	m a ŋ a l u n j a ʔ
mangamba	m a ŋ a m b a
mangamote	m a ŋ a m o t e
manganak	m a ŋ a n a k
mangaoang	m a ŋ a w a ŋ
mangaway	m a ŋ a w a i
manggagantso	m a ŋ ɡ a ɡ a n t͡ʃ o
manggantso	m a ŋ ɡ a n t͡ʃ o
manggas	m a ŋ ɡ a s
manggulo	m a ŋ ɡ u l o
manghalik	m a ŋ h a l i k
manghawa	m a ŋ h a w a
manghimasok	m a ŋ h i m a s o k
manghuhula	m a ŋ h u h u l a ʔ
manghula	m a ŋ h u l a ʔ
manghusga	m a ŋ h u s ɡ a
manghuthot	m a ŋ h u t h o t
mangikil	m a ŋ i k i l
mangilit	m a ŋ i l i t
manginginom	m a ŋ i ŋ i n o m
mangingisda	m a ŋ i ŋ i s d a ʔ
mangisay	m a ŋ i s a i
mangisda	m a ŋ i s d a ʔ
mangitlog	m a ŋ i t l o ɡ
mangkok	m a ŋ k o k
mangkukulam	m a ŋ k u k u l a m
manglicmot	m a ŋ l i k m o t
mangmang	m a ŋ m a ŋ
mangoba	m a ŋ o b a
mangobra	m a ŋ o b ɾ a
mangopya	m a ŋ o p j a
mangubra	m a ŋ u b ɾ a
manguha	m a ŋ u h a
manguiat	m a ŋ i a t
mangulabnan	m a ŋ u l a b n a n
mangulangot	m a ŋ u l a ŋ o t
mangupit	m a ŋ u p i t
mangutang	m a ŋ u t a ŋ
mangwika	m a ŋ w i k a ʔ
mangyari	m a ŋ j a ɾ i
manhid	m a n h i d
maniago	m a n i a ɡ o
maniego	m a n j e ɡ o
manigarilyo	m a n i ɡ a ɾ i l j o
manikin	m a n i k i n
manilaw	m a n i l a u
manilip	m a n i l i p
manindigan	m a n i n d i ɡ a n
maniobra	m a n i o b ɾ a
maniquiz	m a n i k i s
manlaban	m a n l a b a n
manlait	m a n l a ʔ i t
manlalakbay	m a n l a l a k b a i
manlalaro	m a n l a l a ɾ o ʔ
manlangit	m a n l a ŋ i t
manlapaz	m a n l a p a s
manlapig	m a n l a p i ɡ
manligaw	m a n l i ɡ a u
manliligaw	m a n l i l i ɡ a u
manlililok	m a n l i l i l o k
manloko	m a n l o k o
manloloko	m a n l o l o k o
manlutac	m a n l u t a k
manok	m a n o k
manong	m a n o ŋ
manood	m a n o o d
manoy	m a n o j
manrique	m a n ɾ i k e
mansanas	m a n s a n a s
mansanitas	m a n s a n i t a s
mansiyon	m a n s i o n
mansusugnay	m a n s u s u ɡ n a j
mantika	m a n t i k a ʔ
manuhol	m a n u h o l
manuntok	m a n u n t o k
manunugal	m a n u n u ɡ a l
manyak	m a n j a k
mapagkawanggawa	m a p a ɡ k a w a ŋ ɡ a w a ʔ
mapagmatyag	m a p a ɡ m a t j a ɡ
mapagsamantala	m a p a ɡ s a m a n t a l a
mapahiya	m a p a h i j a ʔ
mapalad	m a p a l a d
mapanghusga	m a p a ŋ h u s ɡ a
mapangutya	m a p a ŋ u t j a ʔ
mapaniil	m a p a n i i l
mapatay	m a p a t a j
mapera	m a p e ɾ a
mapua	m ɐ p ʊ w a
mapusyaw	m ɐ p ʊ s j ɐ u
maputik	m a p u t i k
maralit	m a ɾ a l i t
maramot	m a ɾ a m o t
marani	m a ɾ a n i ʔ
marapao	m a ɾ a p a o
maravilla	m a ɾ a b i l j a
marbella	m a ɾ b e l l a
marcial	m a ɾ s j a l
marikit	m a ɾ i k i t
mariko	m a ɾ i k o
marinduque	m a ɾ i n d u k e
mariseko	m a ɾ i s e k o
maristela	m a ɾ i s t e l a
marites	m a ɾ i t e s
mariñas	m a ɾ i ɲ a s
marquez	m a ɾ k e s
marquinez	m a ɾ k i n e s
marso	m a ɾ s o
martilyo	m a ɾ t i l j o
martinez	m a ɾ t i n e s
marungis	m a ɾ u ŋ i s
marupok	m a ɾ u p o k
masabon	m a s a b o n
masabon	m a s a b o n
masahiro	m a s a h i ɾ o
masaker	m a s a k e ɾ
masakit	m a s a k i t
masaktan	m a s a k t a n
masamain	m a s a m a i n
masamid	m a s a m i d
masangcay	m a s a ŋ k a i
masangkay	m a s a ŋ k a i
masaya	m a s a j a
maselan	m a s e l a n
masikhay	m a s i k h a j
masikip	m a s i k i p
masipag	m a s i p a ɡ
maski	m a s k i
masukal	m a s u k a l
masurot	m a s u ɾ o t
masyado	m a s j a d o
mata	m a t a
mataasnakahoy	m a t a ʔ a s n a k a h o i
matae	m a t a ʔ e
matalino	m a t a l i n o
matalo	m a t a l o
matapang	m a t a p a ŋ
matapon	m a t a p o n
matatakutin	m a t a t a k u t i n
matauhan	m a t a ʔ u h a n
matematika	m a t e m a t i k a
materyalismo	m a t e ɾ j a l i s m o
matibag	m a t i b a ɡ
matigas	m a t i ɡ a s
matisod	m a t i s o d
matrapik	m a t ɾ a p i k
matris	m a t ɾ i s
matso	m ɑ t ʃ o
matulin	m a t u l i n
matulog	m a t u l o ɡ
matunog	m a t u n o ɡ
matwiran	m a t w i ɾ a n
maulan	m a ʔ u l a n
maulanan	m a u l a n a n
mauleon	m a u l e o n
maunahan	m a u n a h a n
mawo	m a w o ʔ
maya	m a j a
maybahay	m a i b a h a i
maynila	m a j n i l a ʔ
mayo	m a j o
mayuga	m a j u ɡ a
mayumi	m a j u m i
mañago	m a ɲ a ɡ o
mañalac	m a ɲ a l a k
medalya	m e d a l j a
medina	m e d i n a
medrano	m e d ɾ a n o
medyor	m ɛ d͡ʒ o ɾ
megan	m e ɡ a n
megumi	m e ɡ u m i
mejia	m e h i a
mekanismo	m e k a n i s m o
melchor	m e l t͡ʃ o ɾ
melegrito	m e l e ɡ ɾ i t o
menchavez	m e n t͡ʃ a b e s
mendoza	m e n d o s a
menorca	m e n o ɾ k a
mensahe	m e n s a h e
mental	m e n t a l
merienda	m ɛ ɾ j ɛ n d a
meryenda	m e ɾ j e n d a
mesa	m e s a
mga	m a ŋ a
michelena	m i t͡ʃ e l e n a
michiko	m i t͡ʃ i k o
midori	m i d o ɾ i
mijares	m i d͡ʒ a ɾ e s
mikiko	m i k i k o
miklawas	m i k l a w a s
miksipat	m i k s i p a t
milagro	m i l a ɡ ɾ o
militante	m i l i t a n t e
militar	m i l i t a ɾ
milya	m i l j a
minako	m i n a k o
minami	m i n a m i
mindanao	m i n d a n a u
mindanaw	m i n d a n a u
mingming	m i ŋ m i ŋ
minviluz	m i n b i l u s
miranda	m i ɾ a n d a
misako	m i s a k o
misay	m i s a j
mismo	m ɪ s m ɔ
misteryo	m i s t e ɾ j o
misteryoso	m i s t e ɾ j o s o
misyon	m i s j o n
mitsa	m i t͡ʃ a
miyembro	m i e m b ɾ o
miyentras	m i j e n t r a s
miyuki	m i u k i
mo	m o
mo	m o
modelo	m o d e l o
modernisasyon	m o d e ɾ n i s a s j o n
mohon	m o h o n
moises	m o i s e s
monako	m o n a k o
mondragon	m o n d ɾ a ɡ o n
mongol	m o ŋ ɡ o l
monica	m o n i k a
monopolisasyon	m o n o p o l i s a s j o n
monopolyo	m o n o p o l j o
monte	m o n t e
montealegre	m o n t e a l e ɡ ɾ e
montecalvo	m o n t e k a l b o
montejo	ʔ a l k a i d e
montenegro	m o n t e n e ɡ ɾ o
montillano	m o n t i l l a n o
montinola	m o n t i n o l a
montojo	m o n t o d͡ʒ o
montoya	m o n t o j a
morales	m o ɾ a l e s
morato	m o ɾ a t o
motel	m o t e l
motoko	m o t o k o
motor	m o t o ɾ
motorsiklo	m o t o ɾ s i k l o
mukha	m u k h a ʔ
mukha	m u k a ʔ
mulapik	m u l a p i k
mulasik	m u l a s i k
mulinsigla	m u l i n s i ɡ l a
mulinyari	m u l i n j a ɾ i ʔ
mulkaphay	m u l k a p h a i
mulpikan	m u l p i k a n
multa	m u l t a
mumshie	m a m ʃ i
muna	m u n a
munggo	m u ŋ ɡ o
munggo	m u ŋ ɡ o
mura	m u ɾ a
mursiko	m u ɾ s i k o
musika	m u s i k a
musoleyo	m u s o l e j o
musta	m u s t a
mustasa	m u s t a s a
muta	m u t a ʔ
muta	m u t a
mutha	m u t h a ʔ
mutuc	m u t u k
muwebles	m w e b l e s
muñoz	m u ɲ o s
na	n a
na'ng	n ɐ ŋ
nabasa	n a b a s a
nabasa	n a b a s a
nabasa	n a b a s a ʔ
nabasa	n a b a s a ʔ
nacpil	n a k p i l
nagbabaon	n a ɡ b a b a ʔ o n
nagbabaon	n a ɡ b a b a ʔ o n
nagbaon	n a ɡ b a ʔ o n
nagbaon	n a ɡ b a ʔ o n
nagwas	n a ɡ w ɐ s
nakakaalarma	n a k a k a a l a ɾ m a
nakakabingi	n a k a k a b i ŋ i
nakakabobo	n a k a k a b o b o
nakakabuwisit	n a k a k a b w i s i t
nakakabwisit	n a k a k a b w i s i t
nakakahawa	n a k a k a h a w a
nakakaintriga	n a k a k a ʔ i n t ɾ i ɡ a
nakakaloko	n a k a k a l o k o
nakakapagpabagabag	n a k a k a p a ɡ p a b a ɡ a b a ɡ
nakakatakot	n a k a k a t a k o t
nakamulaga	n a k a m u l a ɡ a ʔ
nakawin	n a k a w i n
nakayukyok	n a k a j u k j o k
nakibahagi	m a k i b a h a ɡ i ʔ
nako	n a k o
nakpil	n a k p i l
naku	n a k u
naman	n a m a n
namin	n aː m ɪ n
namin	n aː m ɛ n
nancy	n a n s i
nang	n ɐ ŋ
nangka	n a ŋ k a ʔ
nanlilimahid	n a n l i l i m a h i d
naoko	n a o k o
naomi	n a o m i
napnap	n a p n a p
naptalina	n a p t a l i n a
narvaez	n a ɾ b a e s
nasaan	n a s a ʔ a n
nasaan	n a s a n
natae	n a t a ʔ e
natae	n a t a ʔ e
natin	n a t i n
natin	n a t ɛ n
natsuko	n a t͡ʃ u k o
natural	n a t u ɾ a l
navoa	n a b o a
negosasyon	n e ɡ o s a s j o n
negosyador	n e ɡ o s j a d o ɾ
negosyante	n e ɡ o s j a n t e
negra	n e ɡ ɾ a
negra	n e ɡ ɾ a
negro	n e ɡ ɾ o
negro	n e ɡ ɾ o
nene	n e n e ʔ
nene	n ɛ n ɛ ʔ
neptuno	n e p t u n o
ng	n ɐ ŋ
ng	n ɐ ŋ
nga	ŋ a ʔ
ngalan	ŋ a l a n
nganga	ŋ a ŋ a ʔ
nganga	ŋ a ŋ a
ngayon	ŋ a j o n
ngimay	ŋ i m a i
ngo	ŋ o
ngumiti	ŋ u m i t i ʔ
ngumuya	ŋ u m u j a ʔ
nguso	ŋ u s o ʔ
nguya	ŋ u j a ʔ
ni	n iː
nibel	n i b e l
nicdao	n i k d a o
nietes	n j e t e s
niknik	n i k n i k
nikotina	n i k o t i n a
nila	n i l a
nilabasan	n i l a b a s a n
nilabhan	n i l a b h a n
ninang	n i n a ŋ
nino	n i n o
nito	n i t o
nitroheno	n i t r o h e n o
nitso	n i t͡ʃ o
niya	n i j a
niya	ɲ a
niyo	n i o
niyog	n i o ɡ
niyon	n j ɔ n
niyon	n u n
nobela	n o b e l a
nobleza	n o b l e s a
nobuhisa	n o b u h i s a
nolasco	n o l a s k o
nones	n o n e s
noon	n o o n
noriega	n o ɾ j e ɡ a
noriko	n o ɾ i k o
norte	n o ɾ t e
norte	n o ɾ t e
norwega	n o ɾ w e ɡ a
notarte	n o t a ɾ t e
novero	n o b e ɾ o
noypi	n o i p i
nuevo	n u e b o
numero	n u m ɛ ɾ ɔ
nuno	n u n o ʔ
o	ʔ o
obligacion	ʔ o b l i ɡ a s j o n
obrero	ʔ o b ɾ e ɾ o
ocampo	ʔ o k a m p o
oksiheno	o k s i h e n o
olaguer	ʔ o l a ɡ e ɾ
olaivar	ʔ o l a i b a ɾ
olalia	ʔ o l a l i a
olanda	ʔ o l a n d a
olats	ʔ o l a t s
olayvar	ʔ o l a i b a ɾ
oliba	ʔ o l i b a
oligarka	ʔ o l i ɡ a ɾ k a
oligarkiya	ʔ o l i ɡ a ɾ k i a
oligopolyo	ʔ o l i ɡ o p o l j o
oliva	ʔ o l i b a
olivares	ʔ o l i b a ɾ e s
olivera	ʔ o l i b e ɾ a
oliveros	ʔ o l i b e ɾ o s
olmedo	ʔ o l m e d o
olongapo	ʔ o l o ŋ a p o
ong	ɔ ŋ
ongkiko	ʔ o ŋ k i k o
onomastika	ʔ o n o m a s t i k a
oo	oː ʔ o
opasidad	ʔ o p a s i d a d
opera	ʔ o p e ɾ a
opertoryo	ʔ o p e ɾ t o ɾ j o
opeña	ʔ o p e ɲ a
opisyales	ʔ o p i s j a l e s
oportunista	ʔ o p o ɾ t u n i s t a
opyo	ʔ o p j o
opyum	ʔ o p j u m
oracion	ʔ o ɾ a s j o n
orasan	o r a s a n
orasan	o r a s a n
orasyon	ʔ o ɾ a s j o n
ordenansa	ʔ o ɾ d e n a n s a
orendain	ʔ o ɾ e n d a i n
orense	ʔ o ɾ e n s e
oribello	ʔ o ɾ i b e l l o
orkid	ʔ o ɾ k i d
ortega	ʔ o ɾ t e ɡ a
osamu	ʔ o s a m u
otso	ʔ o t͡ʃ o
paa	p a ʔ a
paalam	p ɐ ʔ aː l a m
paalam	p ɐ ʔ ɐ l a m
paano	p a ʔ a n o
paano	p a n o
paaralan	p a a ɾ ɐ l a n
paasa	p a ʔ a s a
pabalikin	p a b a l i k i n
pabebe	p a b ɛ b ɛ
pabiyay	p a b i j a j
pabor	p a b o ɾ
paborito	p a b o ɾ a b l e
pabuksan	p a b u k s a n
pabuya	p a b u j a ʔ
pacana	p a k a n a
pacaña	p a k a ɲ a
padaanin	p a d a a n i n
padaliin	p a d a l i i n
pader	p a d e ɾ
padilla	p a d i l j a
padre	p a d ɾ e
padrino	p a d ɾ i n o
pag	p a ɡ
pagala	p a ɡ a l a ʔ
pagalingin	p a ɡ a l i ŋ i n
pagbabalik	p a ɡ b a b a l i k
pagbabasa	p a ɡ b a b a s a
pagbabasa	p a ɡ b a b a s a ʔ
pagbasehan	p a ɡ b a s e h a n
pagbati	p a ɡ b a t i ʔ
pagbati	p a ɡ b a t i
pagbubukid	p a ɡ b u b u k i d
pagbubuntis	p a ɡ b u b u n t i s
pagcaliwagan	p a ɡ k a l i w a ɡ a n
pagdaan	p a ɡ d a a n
pagdila	p a ɡ d i l a ʔ
pagdilao	p a ɡ d i l a u
pagdinig	p a ɡ d i n i ɡ
pagdudahan	p a ɡ d u d a h a n
paggatas	p a ɡ ɡ a t a s
paggiba	p a ɡ ɡ i b a ʔ
paghahabol	p a ɡ h a h a b o l
paghigantihan	p a ɡ h i ɡ a n t i h a n
paghuhukom	p a ɡ h u h u k o m
paghuyad	p a ɡ h u j a d
pagi	p a ɡ i
pagitan	p a ɡ i t a n
pagka	p a ɡ k a
pagkabilanggo	p a ɡ k a b i l a ŋ ɡ o ʔ
pagkabuhay	p a ɡ k a b u h a i
pagkabuhay	p a ɡ k a b u h a i
pagkabuhay	p a ɡ k a b u h a i
pagkaigkasin	p a ɡ k a ʔ i ɡ k a s i n
pagkakaibigan	p a ɡ k a k a i b i ɡ a n
pagkakasakit	p a ɡ k a k a s a k i t
pagkakataon	p a ɡ k a k a t a ʔ o n
pagkamakabagunsakupin	p a ɡ k a m a k a b a ɡ u n s a k u p i n
pagkamakagahum	p a ɡ k a m a k a ɡ a h u m
pagkapangulo	p a ɡ k a p a ŋ u l o
pagkawakaak	p a ɡ k a w a k a ʔ a k
pagmamadali	p a ɡ m a m a d a l i ʔ
pagnanakaw	p a ɡ n a n a k a u
pagpag	p a ɡ p a ɡ
pagsamantalahan	p a ɡ s a m a n t a l a h a n
pagsanjan	p a ɡ s a n h a n
pagsasabansa	p a ɡ s a s a b a n s a ʔ
pagsasaka	p a ɡ s a s a k a
pagsuway	p a ɡ s u a i
pagtaban	p a ɡ t a b a n
pagtae	p a ɡ t a ʔ e
pagtakhan	p a ɡ t a k h a n
pagtakpan	p a ɡ t a k p a n
pagtalikod	p a ɡ t a l i k o d
pagtaluhan	p a ɡ t a l u h a n
pagtalunan	p a ɡ t a l u n a n
pagtalunan	p a ɡ t a l u n a n
pagtawanan	p a ɡ t a w a n a n
pagtripan	p a ɡ t ɾ i p a n
pagtutulungan	p a ɡ t u t u l u ŋ a n
paguia	p a ɡ j a
paguio	p a ɡ j o
pagwawaliwali	p a ɡ w a l i w a l i
pagwawasak	p a ɡ w a w a s a k
pagwitwit	p a ɡ w i t w i t
pagwiwisik	p a ɡ w i w i s i k
pagyukyok	p a ɡ j u k j o k
pahamak	p a h a m a k
pahayagan	p aː h a i a ɡ a n
pahilaga	p a h i l a ɡ a ʔ
pahina	p a h i n a
pahinarya	p ɐ h i n a r j ɐ
pahinga	p a h i ŋ a
pahintulot	p a h i n t u l o t
pahiyain	p a h i a ʔ i n
pain	p a ʔ i n
painitin	p a ʔ i n i t i n
pajares	p a d͡ʒ a ɾ e s
pakialam	p a k i ɐ l a m
pakialam	p a k ɛ ɐ l a m
pakialamero	p a k i ʔ a l a m e ɾ o
pakid	p a k i d
pakikipagtalik	p a k i k i p a ɡ t a l i k
pakiwani	p a k i w a n i
pakla	p a k l a
pako	p a k o ʔ
pako	p a k o ʔ
pakulo	p a k u l o ʔ
pakupya	p a k u p j a ʔ
pakwan	p a k w a n
pala	p a l a
pala	p a l a ʔ
pala	p a l a ʔ
pala	p a l a
palaaway	p a l a ʔ a w a i
palabas	p a l a b a s
palabasa	p a l a b a s a
palabasan	p a l a b a s a n
palaboy	p a l a b o i
palacol	p a l a k o l
paladutaan	p a l a d u t a ʔ a n
palafox	p a l a f o k s
palagyan	p a l a ɡ j a n
palahaw	p a l a h a u
palaisipan	p a l a i s i p a n
palaka	p a l a k a ʔ
palakol	p a l a k o l
palamakatauhan	p a l a m a k a t a ʔ u h a n
palaman	p a l a m a n
palamigin	p a l a m i ɡ i n
palamuhayan	p a l a m u h a j a n
palamuti	p a l a m u t i ʔ
palansak	p a l a n s a k
palasihayan	p a l a s i h a j a n
palasihayanan	p a l a s i h a j a n a n
palaspas	p a l a s p a s
palatatagnan	p a l a t a t a ɡ n a n
palatumbasan	p a l a t u m b a s a n
palaulatan	p a l ɐ ʔ u l ɐ t a n
palay	p a l a j
palayan	p a l a j a n
palayasin	p a l a j a s i n
palda	p a l d a
palikuran	p a l i k u ɾ a n
palima	p a l i m a
paliparan	p a l ɪ p a ɾ ɐ n
paliparan	p ɐ l ɪ p ɐ ɾ a n
palisoc	p a l i s o k
palit	p a l i t
palitada	p a l i t a d a
palitadahan	p a l i t a d a h a n
palitan	p a l i t a n
palitan	p a l i t a n
paliwanag	p a l i w a n a ɡ
palo	p a l o ʔ
palomares	p a l o m a ɾ e s
palos	p a l ɔ s
pamabat	p a m a b a t
pamahalaan	p a m a h a l a a n
pamahiin	p a m a h i ʔ i n
pamahiin	p a m a h i ʔ i n
pamahiin	p a m a h i ʔ i n
pamalo	p a m a l o ʔ
pamamahagi	p a m a m a h a ɡ i ʔ
pamamanhikan	p a m a m a n h i k a n
pamamaril	p a m a m a ɾ i l
pamaypay	p a m a i p a i
pambansa	p a m b a n s a ʔ
pambati	p a m b a t i
pambilo	p a m b i l o
pamilyar	p a m i l j a ɾ
pamilyaridad	p a m i l j a ɾ i d a d
pamimilosopo	p a m i m i l o s o p o
paminta	p a m i n t a
pamintuan	p a m i n t u a n
pan	p a n
panahon	p a n a h o n
panahon	p a n a h o n
panalangin	p a n a l a ŋ i n
panalo	p a n a l o
pananabotahe	p a n a n a b o t a h e
pananagutan	p a n a n a ɡ u t a n
pananawagan	p a n a n a w a ɡ a n
pananim	p a n a n i m
pandaigdig	p a n d a i ɡ d i ɡ
pandemya	p a n d e m j a
pandikit	p a n d i k i t
pandiwa	p a n d i w a ʔ
panelo	p a n e l o
pang	p a ŋ
pangako	p a ŋ a k o ʔ
pangalan	p a ŋ a l a n
pangangasiwa	p a ŋ a ŋ a s i w a ʔ
pangatnig	p a ŋ a t n i ɡ
panggupit	p a ŋ ɡ u p i t
panghalip	p a ŋ h a l i p
panghimasukan	p a ŋ h i m a s u k a n
panghimpapawid	p a ŋ h i m p a p a w i d
pangit	p a ŋ i t
pangkaraniwan	p a ŋ k a ɾ a n i w a n
pangngalan	p a ŋ ŋ a l a n
pangulo	p a ŋ u l o
panguman	p a ŋ u m a n
pangungusap	p a ŋ u ŋ u s a p
pangwilig	p a ŋ w i l i ɡ
panhik	p a n h i k
panibughuin	p a n i b u ɡ h u ʔ i n
panilan	p a n i l a n
paninigarilyo	p a n i n i ɡ a ɾ i l j o
panirahan	p a n i ɾ a h a n
panirahanan	p a n i ɾ a h a n a n
panitikan	p a n i t i k a n
panlaqui	p a n l a k i
panlikod	p a n l i k o d
panlikuran	p a n l i k u ɾ a n
panlinis	p a n l i n i s
panlipunan	p a n l i p u n a n
pansamantala	p a n s a m a n t a l a
pansin	p a n s i n
pantablay	p a n t a b l a i
pantas	p a n t á s
pantig	p a n t i ɡ
pantoja	p a n t o h a
panukala	p a n u k a l a ʔ
paos	p a ʔ o s
paos	p a ʔ o s
papa	p a p a
papa	p a p a
papa	p a p a
papa	p a p a ʔ
papa	p a p a ʔ
papa	p a p a
papagayo	p a p a ɡ a j o
papagtaluhan	p a p a ɡ t a l u h a n
papagtalunan	p a p a ɡ t a l u n a n
papagtalunan	p a p a ɡ t a l u n a n
papagtawanan	p a p a ɡ t a w a n a n
papansin	p a p a n s i n
papasyalan	p a p a s j a l a n
papaya	p a p a j a
papel	p a p e l
para	p aː ɾ a
paraan	p a ɾ a ʔ a n
parada	p a ɾ a d a
paragas	p a ɾ a ɡ a s
paraikit	p a ɾ a ʔ i k i t
parayno	p a ɾ a i n o
pareño	p a ɾ e ɲ o
pari	p a ɾ i ʔ
parihaba	p ɐ r i h a b a ʔ
parilla	p a ɾ i l l a
parinig	p a ɾ i n i ɡ
pariugat	p ɐ ɾ ɪ ʔ u ɡ a t
parke	p a ɾ k e
parke	p a ɾ k e
parreño	p a ɾ e ɲ o
parusa	p a ɾ u s a
pasabugin	p a s a b u ɡ i n
pasakalye	p a s a k a l j e
pasaway	p a s a w a i
pasay	p a s a i
pasensya	p a s ɛ n ɕ a
pasensya	p a s ɛ n sʲ a
pasig	p a s i ɡ
pasig	p a s i ɡ
pasista	p a s i s t a
pasiya	p a s j a
paskil	p ɐ s k i l
pasko	p a s k o
paskuwa	p a s k u a
pasok	p aː s ɔ k
pasok	p a s ɔ k
pasonanca	p a s o n a n k a
password	p a s w o ɾ d
pastol	p a s t o l
pastor	p a s t o ɾ
pastor	p a s t o ɾ
pastora	p a s t o ɾ a
pastulan	p a s t u l a n
pasugalan	p a s u ɡ a l a n
pasuguan	p a s u ɡ u ʔ a n
pasukan	p a s u k a n
pasukan	p a s u k a n
pasukin	p a s u k i n
pasulo	p a s u l o
pasword	p a s w o ɾ d
pasyal	p a s j a l
pasyalan	p a s j a l a n
pasyente	p a s j e n t e
patahian	p a t a h i ʔ a n
patakbuhin	p a t a k b u h i n
patalastas	p a t a l a s t a s
patatas	p a t a t a s
patawanin	p a t a w a n i n
patay	p a t a ɪ
patayin	p a t a j i n
patda	p a t d a
patiag	p a t j a ɡ
patibong	p a t i b o ŋ
patidyugto	p a t i d j u ɡ t o ʔ
patimog	p a t i m o ɡ
pating	p a t i ŋ
patintero	p a t i n t e ɾ o
patiño	p a t i ɲ o
patnubay	p a t n u b a i
pato	p aː t ɔ
patron	p a t ɾ o n
patupat	p a t u p a t
patutsada	p a t u t͡ʃ a d a
patuusan	p a t u ʔ ɔ s a n
paupahan	p a u p a h a n
paupahan	p a u p a h a n
pausukan	p a u s u k a n
pauwiin	p a u w i i n
pawatas	p a w a t a s
pawikan	p a w i k a n
pawis	p a w i s
pawis	p a w i s
pawisan	p a w i s a n
pawisan	p a w i s a n
payak	p a j a k
payamanin	p a j a m a n i n
payapa	p a j a p a ʔ
payatot	p a j a t o t
paypay	p a i p a i
payumo	p a j u m o
paz	p a s
pebrero	p ɛ b ɾ ɛ ɾ o
pecson	p e k s o n
pedal	p e d a l
pekas	p e k a s
peke	p e k e ʔ
peking	p e k i ŋ
peklat	p e k l a t
pekulyar	p e k u l j a ɾ
pekulyaridad	p e k u l j a ɾ i d a d
pelikula	p e l i k u l a
peluka	p e ɾ u k a
penikula	p e n i k u l a
peninsula	p e n i n s u l a
peninsulares	p e n i n s u l a ɾ e s
penitensiya	p e n i t e n s i a
penomeno	p e n o m e n o
pensiyon	p e n s i o n
pensiyonado	p e n s i o n a d o
peon	p e o n
peras	p e ɾ a s
perera	p e ɾ e ɾ a
perez	p e ɾ e s
perlas	p e ɾ l a s
perya	p e ɾ j a
peste	p e s t e
pestisidyo	p e s t i s i d j o
petmalu	p e t m a l u
petsay	p e t t ʃ a j
petsay	p e t t ʃ a j
peñaflor	p e ɲ a f l o ɾ
peñaflorida	p e ɲ a f l o ɾ i d a
peñaranda	p e ɲ a ɾ a n d a
pg	p i d͡ʒ i
piga	p i ɡ a ʔ
pigain	p i ɡ a ʔ i n
pigsa	p i ɡ s a
pigsa	p i ɡ s a ʔ
pihikan	p i h i k a n
piho	p i h o
pila	p i l a
pila	p i l a
pila	p i l a
pila	p i l a
pilantik	p i l a n t i k
pilantropo	p i l a n t ɾ o p o
pilapil	p i l a p i l
pilat	p i l a t
pilay	p i l a j
pilay	p i l a j
pilipina	p i l i p i n a
pilipinas	p i l i p i n a s
pilipino	p i l i p i n o
pilosopiya	p i l o s o p i a
pilosopo	p i l o s o p o
piloto	p i l o t o
pilyo	p i l j o
pinaghihinalaan	p i n a ɡ h i h i n a l a a n
pinagsamantalahan	p i n a ɡ s a m a n t a l a h a n
pinagtaluhan	p i n a ɡ t a l u h a n
pinagtalunan	p i n a ɡ t a l u n a n
pinagtalunan	p i n a ɡ t a l u n a n
pinagtawanan	p i n a ɡ t a w a n a n
pinapagtaluhan	p i n a p a ɡ t a l u h a n
pinapagtalunan	p i n a p a ɡ t a l u n a n
pinapagtalunan	p i n a p a ɡ t a l u n a n
pinapagtawanan	p i n a p a ɡ t a w a n a n
pinapasyalan	p i n a p a s j a l a n
pinas	p i n a s
pinasyalan	p i n a s j a l a n
pindot	p i n d o t
pinggan	p i ŋ ɡ a n
pinlac	p i n l a k
pinlandiya	p i n l a n d i a
pinlandya	p i n l a n d j a
pino	p i n o
pinsan	p i n s a n
pintakasi	p i n t a k a s i
pintuan	p i n t u ʔ a n
pinya	p i n j a
pipi	p i p i
pipi	p i p i ʔ
pipi	p i p i ʔ
pipi	p i p i
piraso	p i ɾ a s o
pirmahan	p i ɾ m a h a n
pirurutong	p i ɾ u ɾ u t o ŋ
pisan	p i s a n
pisan	p i s a n
pisan	p i s a n
pisika	p i s ɪ k ɐ
piskal	p i s k a l
piskalya	p i s k a l j a
piskalya	p i s k a l j a
pisngi	p i s ŋ i
piso	p i s o
pista	p i s t a
pistola	p i s t o l a
pitis	p i t i s
pitis	p i t i s
pito	p i t ɔ
pitumbuko	p i t u m b u k o
pitumpu	p i t u m p u ʔ
pitundaan	p i t u n d a a n
piyano	p i a n o
piyo	p i j o ʔ
pizarro	p i s a ɾ ɾ o
piñol	p i ɲ o l
piñon	p i ɲ o n
plais	p l a i s
plakard	p l a k a ɾ d
planas	p l a n a s
planeta	p l a n e t a
planetaryum	p l a n e t a ɾ j u m
plapla	p l a p l a
plaslayt	p l a s l a i t
plastik	p l a s t i k
platito	p l a t i t o
plato	p l a t o
plawta	p l a u t a
plebisito	p l e b i s i t o
po	p o ʔ
po	p ɔ
pobre	p ɔː b r ɛ
pokpok	p ɔ k p ɔ k
policarpio	p o l i k a ɾ p j o
polintan	p o l i n t a n
politika	p o l i t i k a
