Adar	ɑː d ɑː ɾ
şeher	ʃ ɛ h ɛ ɾ
şekir	ʃ ɛ k ɪ ɾ
şembî	ʃ ɛ m b iː
şemî	ʃ ɛ m iː
şer	ʃ ɛ ɾ
şeref	ʃ ɛ ɾ ɛ f
şetrenc	ʃ ɛ t ɾ ɛ n d͡ʒ
şev	ʃ ɛ v
şewitîn	ʃ ɛ w ɪ t iː n
şik	ʃ ɪ k
şikar	ʃ ɪ k ɑː ɾ
şikayet	ʃ ɪ k ɑː j ɛ t
şikeft	ʃ ɪ k ɛ f t
şikev	ʃ ɪ k ɛ v
şilêl	ʃ ɪ l eː l
şimşûr	ʃ ɪ m ʃ uː ɾ
şip	ʃ ɪ p
şirket	ʃ ɪ ɾ k ɛ t
şiv	ʃ ɪ v
şivan	ʃ ɪ v ɑː n
şivdar	ʃ ɪ v d ɑː ɾ
şiverê	ʃ ɪ v ɛ ɾ eː
şiwît	ʃ ɪ w iː t
şofar	ʃ oː f ɑː ɾ
şofêr	ʃ oː f eː ɾ
şor	ʃ oː ɾ
şorbe	ʃ oː ɾ b ɛ
şwîştin	ʃ w iː ʃ t ɪ n
şêlim	ʃ eː l ɪ m
şêr	ʃ eː ɾ
şîlav	ʃ iː l ɑː v
şîn	ʃ iː n
şîpane	ʃ iː p ɑː n ɛ
şîr	ʃ iː ɾ
şîranî	ʃ iː ɾ ɑː n iː
şîv	ʃ iː v
şûr	ʃ uː ɾ
şûrik	ʃ uː ɾ ɪ k
şûşe	ʃ uː ʃ ɛ
şûştin	ʃ uː ʃ t ɪ n
Ḧ	h
ḧ	h
Ẍ	ɣ
ẍ	ɣ
