'day	d̪ a ɪ̯
sosyal	s o ʃ a l
sosyalismo	s o s j ɐ l i s m o
sosyalismo	s o ʃ ɐ l i s m o
sosyalista	s o s j ɐ l i s t̪ ɐ
sosyalista	s o ʃ ɐ l i s t̪ ɐ
sosyedad	s o s j ɛ d̪ a d̪̚
sosyedad	s o ʃ ɛ d̪ a d̪̚
sosyo	s o s j o
sosyo	s oː ʃ o
sosyolek	s o s j o l ɛ k̚
sosyolek	s oː ʃ o l ɛ k̚
sosyologo	s o s j oː l o ɣ o
sosyologo	s o ʃ oː l o ɣ o
sosyolohiya	s o s j o l o h iː j ɐ
sosyolohiya	s o s j o l oː h j ɐ
sosyolohiya	s o ʃ o l o h iː j ɐ
sosyolohiya	s o ʃ o l oː h j ɐ
sota	s oː t̪ ɐ
sotana	s o t̪ aː n̪ ɐ
sotanghon	s oː t̪ ɐ ŋ h o n̪
sotsoa	s o t̪ s o w a
sotsoa	s oː t͡ʃ o w a
sotsowa	s o t̪ s o w a
sotsowa	s oː t͡ʃ o w a
sotsua	s oː t͡s w ɐ
sotsua	s oː t͡ʃ w ɐ
sotsuwa	s oː t͡s w ɐ
sotsuwa	s oː t͡ʃ w ɐ
sotswa	s o t̪ s w ɐ
sotswa	s o t͡ʃ w ɐ
spakol	ʔ ɪ s p ɐ x o l
spamsilog	ʔ ɪ s p ɐ m s ɪ l o ɡ̚
starbs	ʔ ɪ s t̪ a ɹ b s
stariray	ʔ ɪ s t̪ ɐ ɾ iː ɾ a ɪ̯
stirera	ʔ ɪ s t̪ ɪ ɾ ɛː ɾ ɐ
stirero	ʔ ɪ s t̪ ɪ ɾ ɛː ɾ o
strikto	ʔ ɪ s t̪ ɾ ɪ k t̪ o
suam	s uː ʔ ɐ m
suam	s w a m
suang	s uː ʔ ɐ ŋ
subali	s ʊ b aː l ɪ ʔ
subalit	s ʊ b aː l ɪ t̪̚
subasko	s ʊ b a s k o
subasob	s ʊ b aː s o b̚
subasob	s ʊ b ɐ s o b̚
subasta	s ʊ b a s t̪ ɐ
subaybay	s ʊ b a ɪ̯ b a ɪ̯
subersibo	s ʊ b ɛ ɾ s iː b o
subhetibismo	s ʊ b h ɛ t̪ ɪ b i s m o
subida	s ʊ b iː d̪ ɐ
subido	s ʊ b iː d̪ o
subla	s ʊ b l a
submarino	s ʊ b m ɐ ɾ iː n̪ o
subo	s uː b o ʔ
subo	s ʊ b o
subo	s ʊ b o ʔ
subok	s uː b o k̚
subok	s ʊ b o k̚
subsidiya	s ʊ b s iː d̪ j ɐ
subsidiya	s ʊ b s iː d͡ʒ ɐ
subsidiya	s ʊ b s ɪ d̪ iː j ɐ
subsidya	s ʊ b s i d̪ j ɐ
subsidya	s ʊ b s iː d͡ʒ ɐ
subsidyo	s ʊ b s i d̪ j o
subsidyo	s ʊ b s iː d͡ʒ o
subsob	s ʊ b s o b̚
subtitulo	s ʊ b t̪ iː t̪ ʊ l o
subtraksiyon	s ʊ b t̪ ɾ a k s j o n̪
subtraksiyon	s ʊ b t̪ ɾ a k ʃ o n̪
subtraksiyon	s ʊ b t̪ ɾ ɐ k s j o n̪
subtraksiyon	s ʊ b t̪ ɾ ɐ k ʃ o n̪
subtraksyon	s ʊ b t̪ ɾ a k s j o n̪
subtraksyon	s ʊ b t̪ ɾ a k ʃ o n̪
subtraksyon	s ʊ b t̪ ɾ ɐ k s j o n̪
subtraksyon	s ʊ b t̪ ɾ ɐ k ʃ o n̪
subukan	s ʊ b uː x ɐ n̪
subukan	s ʊ b ʊ x a n̪
subyang	s ʊ b j a ŋ
sudeste	s ʊ d̪ ɛ s t̪ ɛ
sudlan	s ʊ d̪ l̪ a n̪
sudoeste	s ʊ d̪ o w ɛ s t̪ ɛ
sudoweste	s ʊ d̪ o w ɛ s t̪ ɛ
sudsod	s ʊ d̪ s o d̪̚
sudsuran	s ʊ d̪ s uː ɾ ɐ n̪
sudsuran	s ʊ d̪ s ʊ ɾ a n̪
suerte	s w ɛ ɾ t̪ ɛ
suga	s uː ɣ ɐ
suga	s ʊ ɣ a ʔ
sugaan	s ʊ ɣ aː ʔ ɐ n̪
sugadagindas	s ʊ ɣ aː d̪ ɐ ɣ ɪ n̪ d̪ a s
sugadagitban	s ʊ ɣ ɐ d̪ ɐ ɣ ɪ t̪ b a n̪
sugal	s ʊ ɣ a l
sugalan	s uː ɣ aː l ɐ n̪
sugalan	s ʊ ɣ ɐ l a n̪
suganda	s ʊ ɣ ɐ n̪ d̪ a
sugapa	s ʊ ɣ aː p ɐ ʔ
sugapa	s ʊ ɣ ɐ p a ʔ
sugarol	s ʊ ɣ ɐ ɾ o l
sugasipat	s ʊ ɣ aː s iː p ɐ t̪̚
sugasukod	s ʊ ɣ aː s uː x o d̪̚
sugat	s uː ɣ ɐ t̪̚
sugat	s ʊ ɣ a t̪̚
sugba	s ʊ ɡ b a
sugbulog	s ʊ ɡ b uː l o ɡ̚
sughaynayan	s ʊ ɡ h a ɪ̯ n̪ aː j ɐ n̪
sugi	s uː ɣ ɪ ʔ
suglaguman	s ʊ ɡ l aː ɣ uː m ɐ n̪
sugnay	s ʊ ɡ n̪ a ɪ̯
sugnayan	s ʊ ɡ n̪ aː j ɐ n̪
sugnayanin	s ʊ ɡ n̪ ɐ j aː n̪ ɪ n̪
sugnayanon	s ʊ ɡ n̪ ɐ j aː n̪ o n̪
sugnayin	s ʊ ɡ n̪ aː j ɪ n̪
sugo	s uː ɣ o ʔ
sugod	s uː ɣ o d̪̚
sugod	s ʊ ɣ o d̪̚
sugok	s ʊ ɣ o k̚
sugpo	s ʊ ɡ p o ʔ
suha	s uː h ɐ ʔ
suha	s ʊ h a ʔ
suhay	s uː h a ɪ̯
suhestiyon	s ʊ h ɛ s t̪ j o n̪
suhestiyon	s ʊ h ɛ s t͡ʃ o n̪
suhestyon	s ʊ h ɛ s t̪ j o n̪
suhestyon	s ʊ h ɛ s t͡ʃ o n̪
suhi	s ʊ h ɪ ʔ
suhol	s uː h o l
suhulan	s ʊ h uː l ɐ n̪
suhulan	s ʊ h ʊ l a n̪
suhur	s ʊ h ʊ ɾ
suka	s uː x ɐ
suka	s uː x ɐ ʔ
suka	s ʊ x a
sukal	s uː x ɐ l
sukat	s uː x ɐ t̪̚
sukat	s ʊ x a t̪̚
sukbit	s ʊ k b ɪ t̪̚
sukdan	s ʊ k d̪ a n̪
sukdol	s ʊ k d̪ o l
sukdulan	s ʊ k d̪ uː l ɐ n̪
sukdulan	s ʊ k d̪ ʊ l a n̪
sukdusik	s ʊ k d̪ uː s ɪ k̚
sukgisan	s ʊ k ɡ iː s ɐ n̪
suki	s uː x ɪ ʔ
sukiyaki	s ʊ k j aː x ɪ
suklam	s ʊ k l a m
suklay	s ʊ k l a ɪ̯
sukli	s ʊ k l ɪ ʔ
suklob	s ʊ k l o b̚
sukmani	s ʊ k m aː n̪ ɪ ʔ
suko	s uː x o ʔ
suko	s ʊ x o
suko	s ʊ x o ʔ
sukob	s uː x o b̚
sukod	s uː x o d̪̚
sukol	s uː x o l
sukol	s ʊ x o l
sukong	s uː x o ŋ
sukot	s uː x o t̪̚
suksok	s ʊ k s o k̚
sukuyuli	s ʊ x ʊ j uː l ɪ
sula	s uː l ɐ ʔ
sula	s ʊ l a ʔ
sulak	s ʊ l a k̚
sulake	s ʊ l aː x ɛ
sulam	s uː l ɐ m
sulaman	s ʊ l aː m ɐ n̪
sulapid	s ʊ l aː p ɪ d̪̚
sulasi	s ʊ l aː s ɪ
sulasok	s ʊ l aː s o k̚
sulat	s uː l ɐ t̪̚
sulatan	s uː l aː t̪ ɐ n̪
sulatan	s ʊ l aː t̪ ɐ n̪
sulatan	s ʊ l ɐ t̪ a n̪
sulatin	s ʊ l aː t̪ ɪ n̪
sulatin	s ʊ l ɐ t̪ ɪ n̪
sulatroniko	s ʊ l ɐ t̪ ɾ oː n̪ ɪ x o
sulayaw	s ʊ l aː j a ʊ̯
sulib	s ʊ l ɪ b̚
sulid	s uː l ɪ d̪̚
sulidlawas	s ʊ l ɪ d̪ l̪ aː w ɐ s
suligi	s ʊ l iː ɣ ɪ ʔ
sulihia	s ʊ l ɪ h iː j ɐ
sulihiya	s ʊ l ɪ h iː j ɐ
sulihiya	s ʊ l ɪ h j a
sulikap	s ʊ l iː x ɐ p̚
sulinaw	s ʊ l iː n̪ a ʊ̯
suliran	s ʊ l ɪ ɾ a n̪
suliranin	s uː l ɪ ɾ ɐ n̪ ɪ n̪
suliranin	s ʊ l ɪ ɾ aː n̪ ɪ n̪
sulit	s uː l ɪ t̪̚
sulit	s ʊ l ɪ t̪̚
sulitin	s ʊ l iː t̪ ɪ n̪
sulo	s ʊ l o
sulo	s ʊ l o ʔ
sulok	s uː l o k̚
sulong	s uː l o ŋ
suloy	s uː l o ɪ̯
sulsi	s ʊ l s ɪ
sulsol	s ʊ l s o l
sultan	s ʊ l t̪ a n̪
sultana	s ʊ l t̪ aː n̪ ɐ
sultanato	s ʊ l t̪ ɐ n̪ aː t̪ o
sulukasok	s ʊ l ʊ x aː s o k̚
sulupanak	s ʊ l ʊ p aː n̪ ɐ k̚
sulupanaka	s ʊ l ʊ p ɐ n̪ aː x ɐ ʔ
sulyak	s ʊ l j a k̚
sulyang	s ʊ l j a ŋ
sulyap	s ʊ l j a p̚
sulyasid	s ʊ l j aː s ɪ d̪̚
sulyaw	s ʊ l j a ʊ̯
suma	s uː m ɐ
suma	s uː m ɐ ʔ
sumabat	s ʊ m ɐ b a t̪̚
sumabog	s ʊ m aː b o ɡ̚
sumadiyos	s ʊ m ɐ d̪ j o s
sumadiyos	s ʊ m ɐ d͡ʒ o s
sumadsad	s ʊ m ɐ d̪ s a d̪̚
sumagadsad	s ʊ m ɐ ɣ ɐ d̪ s a d̪̚
sumagitsit	s ʊ m ɐ ɣ ɪ t̪ s ɪ t̪̚
sumagot	s ʊ m ɐ ɣ o t̪̚
sumahimpapawid	s ʊ m ɐ h ɪ m p ɐ p ɐ w ɪ d̪̚
sumaibabaw	s ʊ m ɐ ʔ ɪ b aː b a ʊ̯
sumailalim	s ʊ m ɐ ʔ ɪ l aː l ɪ m
sumaisip	s ʊ m ɐ ʔ iː s ɪ p̚
sumakaalaman	s ʊ m ɐ x ɐ ʔ ɐ l aː m ɐ n̪
sumakaalaman	s ʊ m ɐ x ɐ ʔ ɐ l ɐ m a n̪
sumakalunuran	s ʊ m ɐ x ɐ l ʊ n̪ uː ɾ ɐ n̪
sumakay	s ʊ m ɐ x a ɪ̯
sumakit	s ʊ m ɐ x ɪ t̪̚
sumaksak	s ʊ m ɐ k s a k̚
sumakses	s ʊ m ɐ k s ɛ s
sumalahat	s ʊ m ɐ l ɐ h a t̪̚
sumalamin	s ʊ m ɐ l ɐ m ɪ n̪
sumalangit	s ʊ m ɐ l aː ŋ ɪ t̪̚
sumalapang	s ʊ m ɐ l ɐ p a ŋ
sumalapaw	s ʊ m ɐ l aː p a ʊ̯
sumalisi	s ʊ m ɐ l ɪ s ɪ
sumalpok	s ʊ m ɐ l p o k̚
sumama	s ʊ m aː m ɐ
sumama	s ʊ m ɐ m a ʔ
sumampalataya	s ʊ m ɐ m p ɐ l ɐ t̪ aː j ɐ
suman	s uː m ɐ n̪
sumangayon	s ʊ m ɐ ŋ ʔ aː j o n̪
sumapanganib	s ʊ m ɐ p ɐ ŋ aː n̪ ɪ b̚
sumapayapa	s ʊ m ɐ p ɐ j aː p ɐ ʔ
sumasaibabaw	s ʊ m aː s ɐ ʔ ɪ b aː b a ʊ̯
sumasalangit	s ʊ m aː s ɐ l aː ŋ ɪ t̪̚
sumasampalataya	s ʊ m aː s ɐ m p ɐ l ɐ t̪ aː j ɐ
sumatotal	s uː m ɐ t̪ o t̪ a l
sumatotal	s ʊ m ɐ t̪ o t̪ a l
sumaya	s ʊ m aː j ɐ
sumaya	s ʊ m ɐ j a
sumayaw	s ʊ m ɐ j a ʊ̯
sumbali	s ʊ m b aː l ɪ
sumbalilo	s ʊ m b ɐ l iː l o
sumbi	s ʊ m b ɪ ʔ
sumbilang	s ʊ m b iː l ɐ ŋ
sumbo	s ʊ m b o
sumbong	s ʊ m b o ŋ
sumbrero	s ʊ m b ɾ ɛː ɾ o
sumbungera	s ʊ m b ʊ ŋ ɛː ɾ ɐ
sumbungero	s ʊ m b ʊ ŋ ɛː ɾ o
sumeksi	s ʊ m ɛ k s ɪ
sumemplang	s ʊ m ɛ m p l ɐ ŋ
sumigwa	s ʊ m ɪ ɡ w a
sumikat	s ʊ m iː x ɐ t̪̚
sumikip	s ʊ m ɪ x ɪ p̚
sumilang	s ʊ m iː l ɐ ŋ
sumilip	s ʊ m iː l ɪ p̚
sumimangot	s ʊ m ɪ m aː ŋ o t̪̚
suminga	s ʊ m ɪ ŋ a
sumingaw	s ʊ m ɪ ŋ a ʊ̯
suminta	s ʊ m ɪ n̪ t̪ a
sumipsip	s ʊ m ɪ p s ɪ p̚
sumisid	s ʊ m iː s ɪ d̪̚
sumisikat	s ʊ m iː s iː x ɐ t̪̚
sumisikat	s ʊ m ɪ s iː x ɐ t̪̚
sumite	s ʊ m ɪ t̪ ɛ
sumpa	s u m p ɐ
sumpa	s ʊ m p a ʔ
sumpaan	s ʊ m p ɐ ʔ a n̪
sumpak	s ʊ m p a k̚
sumpit	s ʊ m p ɪ t̪̚
sumpong	s ʊ m p o ŋ
sumugal	s ʊ m ʊ ɣ a l
sumuka	s ʊ m uː x ɐ
sumulat	s ʊ m uː l ɐ t̪̚
sumulong	s ʊ m uː l o ŋ
sumulsol	s ʊ m ʊ l s o l
sumunod	s ʊ m ʊ n̪ o d̪̚
sumunor	s ʊ m ʊ n̪ o ɾ
sumuong	s ʊ m ʊ ʔ o ŋ
sumusulat	s ʊ m ʊ s uː l ɐ t̪̚
sumuway	s ʊ m w a ɪ̯
sunat	s ʊ n̪ a t̪̚
sundalo	s ʊ n̪ d̪ aː l o
sundan	s ʊ n̪ d̪ a n̪
sundang	s ʊ n̪ d̪ a ŋ
sunday	s ʊ n̪ d̪ a ɪ̯
sundin	s ʊ n̪ d̪ ɪ n̪
sundo	s ʊ n̪ d̪ o ʔ
sundong	s ʊ n̪ d̪ o ŋ
sundot	s ʊ n̪ d̪ o t̪̚
sungal	s ʊ ŋ a l
sungalngal	s ʊ ŋ ɐ l ŋ a l
sungalngalin	s ʊ ŋ ɐ l ŋ ɐ l ɪ n̪
sungaw	s uː ŋ a ʊ̯
sungaw	s ʊ ŋ a ʊ̯
sungay	s uː ŋ a ɪ̯
sunggab	s ʊ ŋ ɡ a b̚
sunggaban	s ʊ ŋ ɡ ɐ b a n̪
sunggo	s ʊ ŋ ɡ o
sunggo	s ʊ ŋ ɡ o ʔ
sungi	s uː ŋ ɪ ʔ
sungi	s ʊ ŋ ɪ ʔ
sungit	s uː ŋ ɛ t̪̚
sungit	s uː ŋ ɪ t̪̚
sungka	s u ŋ k ɐ
sungka	s ʊ ŋ k a ʔ
sungki	s ʊ ŋ k ɪ ʔ
sungkit	s ʊ ŋ k ɪ t̪̚
sungko	s ʊ ŋ k o ʔ
sungkol	s ʊ ŋ k o l
sungo	s ʊ ŋ o
sungsong	s ʊ n̪ s o ŋ
sunlad	s ʊ n̪ l a d̪̚
sunna	s uː n̪ ɐ
sunod	s ʊ n̪ o d̪̚
sunog	s uː n̪ o ɡ̚
sunog	s ʊ n̪ o ɡ̚
sunok	s ʊ n̪ o k̚
sunor	s ʊ n̪ o ɾ
sunran	s ʊ n̪ ɾ a n̪
sunro	s ʊ n̪ ɾ o ʔ
sunson	s ʊ n̪ s o n̪
sunsong	s ʊ n̪ s o ŋ
suntok	s ʊ n̪ t̪ o k̚
suntukan	s ʊ n̪ t̪ uː x ɐ n̪
suntukin	s ʊ n̪ t̪ ʊ x ɪ n̪
sunugin	s ʊ n̪ uː ɣ ɪ n̪
sunungaling	s ʊ n̪ ʊ ŋ aː l ɪ ŋ
sunuran	s uː n̪ uː ɾ ɐ n̪
sunuran	s ʊ n̪ ʊ ɾ a n̪
sunurin	s ʊ n̪ ʊ ɾ ɪ n̪
suob	s uː ʔ o b̚
suob	s ʊ ʔ o b̚
suoban	s ʊ ʔ o b a n̪
suong	s uː ʔ o ŋ
suong	s ʊ ʔ o ŋ
suongin	s ʊ ʔ o ŋ ɪ n̪
suot	s uː ʔ o t̪̚
suot	s ʊ ʔ o t̪̚
superbagyo	s uː p ɛ ɾ b ɐ ɡ j o
superbisor	s ʊ p ɛ ɾ b ɪ s o ɾ
superbisyon	s ʊ p ɛ ɾ b ɪ s j o n̪
superbisyon	s ʊ p ɛ ɾ b ɪ ʃ o n̪
superintendente	s ʊ p ɛ ɾ ɪ n̪ t̪ ɛ n̪ d̪ ɛ n̪ t̪ ɛ
superyora	s ʊ p ɛ ɾ j oː ɾ ɐ
superyoridad	s ʊ p ɛ ɾ j o ɾ ɪ d̪ a d̪̚
supil	s uː p ɪ l
supil	s ʊ p ɪ l
supla	s ʊ p l a
suplada	s ʊ p l aː d̪ ɐ
suplado	s ʊ p l aː d̪ o
suplay	s ʊ p l a ɪ̯
suplayan	s ʊ p l ɐ j a n̪
suplayer	s ʊ p l aː j ɛ ɾ
suplete	s ʊ p l ɛː t̪ ɛ
suplikasyon	s ʊ p l ɪ x ɐ s j o n̪
suplikasyon	s ʊ p l ɪ x ɐ ʃ o n̪
suplina	s ʊ p l iː n̪ ɐ
supling	s ʊ p l ɪ ŋ
suplong	s ʊ p l o ŋ
supok	s uː p o k̚
supok	s ʊ p o k̚
suporta	s ʊ p o ɾ t̪ ɐ
suportado	s ʊ p o ɾ t̪ aː d̪ o
suportahan	s ʊ p o ɾ t̪ ɐ h a n̪
supositoryo	s ʊ p o s ɪ t̪ o ɾ j o
supot	s uː p o t̪̚
supot	s ʊ p o t̪̚
suprahista	s ʊ p ɾ ɐ h i s t̪ ɐ
suprahiyo	s ʊ p ɾ aː h j o
suprema	s ʊ p ɾ ɛː m ɐ
supremo	s ʊ p ɾ ɛː m o
supsop	s ʊ p s o p̚
sur	s ʊ ɾ
sura	s uː ɾ ɐ
sura	s uː ɾ ɐ ʔ
sura	s ʊ ɾ a
surah	s uː ɾ ɐ
suri	s uː ɾ ɪ ʔ
surian	s ʊ ɾ iː ʔ ɐ n̪
surian	s ʊ ɾ ɪ ʔ a n̪
surimbangkay	s uː ɾ ɪ m b ɐ ŋ k a ɪ̯
suriso	s ʊ ɾ iː s o
suro	s uː ɾ o ʔ
surot	s uː ɾ o t̪̚
surotso	s ʊ ɾ o t̪ s o
surotso	s ʊ ɾ oː t͡ʃ o
surpresa	s ʊ ɾ p ɾ ɛː s ɐ
surtido	s ʊ ɾ t̪ iː d̪ o
surutso	s ʊ ɾ u t̪ s o
surutso	s ʊ ɾ uː t͡ʃ o
sus	s ʊ s
susan	s uː s ɐ n̪
sushi	s u s j ɪ
sushi	s uː ʃ ɪ
susi	s uː s ɪ ʔ
susian	s ʊ s iː ʔ ɐ n̪
susian	s ʊ s ɪ ʔ a n̪
suskripsiyon	s ʊ s k ɾ ɪ p s j o n̪
suskripsiyon	s ʊ s k ɾ ɪ p ʃ o n̪
suskrisyon	s ʊ s k ɾ ɪ s j o n̪
suskrisyon	s ʊ s k ɾ ɪ ʃ o n̪
suskritor	s ʊ s k ɾ ɪ t̪ o ɾ
susmaryosep	s u s m ɐ ɾ j oː s ɛ p̚
susmaryosep	s ʊ s m ɐ ɾ j oː s ɛ p̚
suso	s uː s o
suso	s ʊ s o ʔ
susog	s uː s o ɡ̚
suson	s ʊ s o n̪
susop	s ʊ s o p̚
susot	s ʊ s o t̪̚
suspek	s a s p ɛ k̚
suspek	s u s p ɛ k̚
suspende	s ʊ s p ɛ n̪ d̪ ɛ
suspendido	s ʊ s p ɛ n̪ d̪ iː d̪ o
suspensiyon	s ʊ s p ɛ n̪ s j o n̪
suspensiyon	s ʊ s p ɛ n̪ ʃ o n̪
suspensyon	s ʊ s p ɛ n̪ s j o n̪
suspensyon	s ʊ s p ɛ n̪ ʃ o n̪
suspetsa	s ʊ s p ɛ t̪ s ɐ
suspetsa	s ʊ s p ɛː t͡ʃ ɐ
sustansiya	s ʊ s t̪ a n̪ s j ɐ
sustansiya	s ʊ s t̪ a n̪ ʃ ɐ
sustansya	s ʊ s t̪ a n̪ s j ɐ
sustansya	s ʊ s t̪ a n̪ ʃ ɐ
sustantibo	s ʊ s t̪ ɐ n̪ t̪ iː b o
sustento	s ʊ s t̪ ɛ n̪ t̪ o
susugan	s ʊ s uː ɣ ɐ n̪
susuhong	s ʊ s uː h o ŋ
susukuyuli	s ʊ s ʊ x ʊ j uː l ɪ
susulat	s ʊ s uː l ɐ t̪̚
susulbot	s ʊ s ʊ l b o t̪̚
susunod	s uː s ʊ n̪ o d̪̚
susunor	s uː s ʊ n̪ o ɾ
susuwi	s ʊ s w ɪ ʔ
suswi	s ʊ s w ɪ ʔ
sutana	s ʊ t̪ aː n̪ ɐ
sutil	s uː t̪ ɪ l
sutil	s ʊ t̪ ɪ l
sutla	s ʊ t̪ l̪ a ʔ
sutmondilaw	s ʊ t̪ m o n̪ d̪ ɪ l a ʊ̯
sutmundilaw	s ʊ t̪ m u n̪ d̪ ɪ l a ʊ̯
sutsoa	s u t̪ s o w a
sutsoa	s uː t͡ʃ o w a
sutsot	s ʊ t̪ s o t̪̚
sutsowa	s u t̪ s o w a
sutsowa	s uː t͡ʃ o w a
sutsua	s uː t͡s w ɐ
sutsua	s uː t͡ʃ w ɐ
sutsuwa	s uː t͡s w ɐ
sutsuwa	s uː t͡ʃ w ɐ
sutswa	s u t̪ s w ɐ
sutswa	s u t͡ʃ w ɐ
sutura	s ʊ t̪ uː ɾ ɐ
suuban	s ʊ ʔ ʊ b a n̪
suungin	s ʊ ʔ ʊ ŋ ɪ n̪
suwabe	s w aː b ɛ
suwag	s w a ɡ̚
suwahe	s w aː h ɛ
suwail	s w ɐ ʔ ɪ l
suwak	s uː w ɐ k̚
suwangit	s w aː ŋ ɪ t̪̚
suwapang	s w aː p ɐ ŋ
suwastika	s w a s t̪ ɪ x a
suwato	s w aː t̪ o ʔ
suway	s w a ɪ̯
suwelas	s w ɛː l ɐ s
suweldo	s w ɛ l d̪ o
suwelduhan	s w ɛ l d̪ uː h ɐ n̪
suwelduhan	s w ɛ l d̪ ʊ h a n̪
suwero	s w ɛː ɾ o
suwerte	s w ɛ ɾ t̪ ɛ
suwertehin	s w ɛ ɾ t̪ ɛ h ɪ n̪
suwertihin	s w ɛ ɾ t̪ ɪ h ɪ n̪
suweter	s w ɛː t̪ ɛ ɾ
suwipistek	s w iː p ɪ s t̪ ɛ k̚
suwipistik	s w iː p ɪ s t̪ ɪ k̚
suwipstik	s w i p s t̪ ɪ k̚
suwis	s w ɪ s
suwisidyo	s w ɪ s i d̪ j o
suwisidyo	s w ɪ s iː d͡ʒ o
suwitik	s w iː t̪ ɪ k̚
suya	s uː j ɐ ʔ
suya	s ʊ j a ʔ
suyo	s uː j o ʔ
suyod	s uː j o d̪̚
suyod	s ʊ j o d̪̚
suyor	s uː j o ɾ
suyor	s ʊ j o ɾ
suyurin	s ʊ j uː ɾ ɪ n̪
swabe	s w aː b ɛ
swak	s w a k̚
swapang	s w aː p ɐ ŋ
swastika	s w a s t̪ ɪ x a
sweldo	s w ɛ l d̪ o
swerte	s w ɛ ɾ t̪ ɛ
swswsw	s w s w s w s
sya	s j a
sya	ʃ a
syabu	s j aː b ʊ
syabu	ʃ aː b ʊ
syensya	s j ɛ n̪ s j ɐ
syensya	ʃ ɛ n̪ ʃ ɐ
syentipiko	s j ɛ n̪ t̪ iː p ɪ x o
syentipiko	ʃ ɛ n̪ t̪ iː p ɪ x o
syete	s j ɛː t̪ ɛ
syete	ʃ ɛː t̪ ɛ
syokoy	s j oː x o ɪ̯
syokoy	ʃ oː x o ɪ̯
syorpit	s j o ɾ p ɪ t̪̚
syorpit	ʃ o ɾ p ɪ t̪̚
syota	s j oː t̪ ɐ ʔ
syota	ʃ oː t̪ ɐ ʔ
syower	s j oː w ɛ ɾ
syower	ʃ oː w ɛ ɾ
t	t̪
t	t̪ a
t	t̪ ɛ
t	t̪ ɪ
ta	t̪ a ʔ
ta	t̪ ɐ
ta's	t̪ a s
taad	t̪ aː ʔ ɐ d̪̚
taad	t̪ ɐ ʔ a d̪̚
taal	t̪ aː ʔ ɐ l
taal	t̪ ɐ ʔ a l
taan	t̪ aː ʔ ɐ n̪
taan	t̪ ɐ ʔ a n̪
taas	t̪ aː ʔ ɐ s
taas	t̪ ɐ ʔ a s
taasan	t̪ ɐ ʔ aː s ɐ n̪
taasan	t̪ ɐ ʔ ɐ s a n̪
taba	t̪ ɐ b a ʔ
tabad	t̪ aː b ɐ d̪̚
tabad	t̪ ɐ b a d̪̚
tabag	t̪ aː b ɐ ɡ̚
tabak	t̪ ɐ b a k̚
tabako	t̪ ɐ b aː x o
tabakuhan	t̪ ɐ b ɐ x uː h ɐ n̪
tabal	t̪ aː b ɐ l
taban	t̪ aː b ɐ n̪
tabang	t̪ ɐ b a ŋ
tabas	t̪ aː b ɐ s
tabas	t̪ ɐ b a s
tabasko	t̪ ɐ b a s k o
tabatsing	t̪ ɐ b a t̪ s ɪ ŋ
tabatsing	t̪ ɐ b aː t͡ʃ ɪ ŋ
tabatsing	t̪ ɐ b ɐ t t͡ʃ ɪ ŋ
tabatsing	t̪ ɐ b ɐ t̪ s ɪ ŋ
tabatsingtsing	t̪ ɐ b ɐ t t͡ʃ i n̪ t͡ʃ ɪ ŋ
tabatsingtsing	t̪ ɐ b ɐ t t͡ʃ ɪ n̪ t͡ʃ ɪ ŋ
tabatsingtsing	t̪ ɐ b ɐ t̪ s i n̪ t͡s ɪ ŋ
tabatsingtsing	t̪ ɐ b ɐ t̪ s ɪ n̪ t͡s ɪ ŋ
tabatsoy	t̪ ɐ b a t̪ s o ɪ̯
tabatsoy	t̪ ɐ b aː t͡ʃ o ɪ̯
tabatsoy	t̪ ɐ b ɐ t t͡ʃ o ɪ̯
tabatsoy	t̪ ɐ b ɐ t̪ s o ɪ̯
tabaw	t̪ aː b a ʊ̯
tabayag	t̪ ɐ b aː j ɐ ɡ̚
tabayag	t̪ ɐ b ɐ j a ɡ̚
taberna	t̪ ɐ b ɛ ɾ n̪ ɐ
tabernakulo	t̪ ɐ b ɛ ɾ n̪ aː x ʊ l o
tabi	t̪ aː b ɪ ʔ
tabi	t̪ ɐ b ɛ
tabi	t̪ ɐ b ɪ
tabig	t̪ aː b ɪ ɡ̚
tabigi	t̪ ɐ b iː ɣ ɪ ʔ
tabike	t̪ ɐ b iː x ɛ
tabike	t̪ ɐ b iː x ɛ ʔ
tabil	t̪ aː b ɪ l
tabil	t̪ ɐ b ɪ l
tabing	t̪ aː b ɪ ŋ
tabingi	t̪ ɐ b ɪ ŋ ɪ ʔ
tabla	t̪ a b l ɐ
tabla	t̪ ɐ b l a
tablan	t̪ ɐ b l a n̪
tablaro	t̪ ɐ b l aː ɾ o
tablasuson	t̪ ɐ b l ɐ s ʊ s o n̪
tablaw	t̪ ɐ b l a ʊ̯
tablay	t̪ ɐ b l a ɪ̯
tablea	t̪ ɐ b l ɛː j ɐ
tablero	t̪ ɐ b l ɛː ɾ o
tabletas	t̪ ɐ b l ɛː t̪ ɐ s
tableya	t̪ ɐ b l ɛː j ɐ
tabliya	t̪ ɐ b l iː j ɐ
tabloyd	t̪ a b l o ɪ̯ d̪
tabo	t̪ aː b o ʔ
tabog	t̪ aː b o ɡ̚
tabol	t̪ aː b o l
tabon	t̪ aː b o n̪
tabon	t̪ ɐ b o n̪
taboy	t̪ ɐ b o ɪ̯
tabsik	t̪ ɐ b s ɪ k̚
tabtab	t̪ ɐ b t̪ a b̚
tabtabin	t̪ ɐ b t̪ ɐ b ɪ n̪
