Ⴁ	b
ციტრა	t͡s i tʼ r a
ციტრონი	t͡s i tʼ r ɔ n i
ციტრუსი	t͡s i tʼ r u s i
ციტრუსოვანი	t͡s i tʼ r u s ɔ v a n i
ციური	t͡s i u r i
ციურიხი	t͡s i u r i x i
ციფერბლატი	t͡s i pʰ ɛ r b l a tʼ i
ციფრი	t͡s i pʰ r i
ციფრულად	t͡s i pʰ r u l a d
ციფრული	t͡s i pʰ r u l i
ციყვი	t͡s i qʼ v i
ციცა	t͡s i t͡s a
ციცავ	t͡s i t͡s a v
ციცერო	t͡s i t͡s ɛ r ɔ
ციცინათელა	t͡s i t͡s i n a tʰ ɛ l a
ციცქნა	t͡s i t͡s kʰ n a
ციცხვი	t͡s i t͡s x v i
ციხე	t͡s i x ɛ
ციხესიმაგრე	t͡s i x ɛ s i m a ɡ r ɛ
ცნება	t͡s n ɛ b a
ცნობა	t͡s n ɔ b a
ცნობება	t͡s n ɔ b ɛ b a
ცნობილი	t͡s n ɔ b i l i
ცნობისმოყვარედ	t͡s n ɔ b i s m ɔ qʼ v a r ɛ d
ცოდვა	t͡s ɔ d v a
ცოდვიანი	t͡s ɔ d v i a n i
ცოდვიანობა	t͡s ɔ d v i a n ɔ b a
ცოდვილად	t͡s ɔ d v i l a d
ცოდვილი	t͡s ɔ d v i l i
ცოდნა	t͡s ɔ d n a
ცოკოლი	t͡s ɔ kʼ ɔ l i
ცოლი	t͡s ɔ l i
ცოლისძმა	t͡s ɔ l i s d͡z m a
ცოლქმრობა	t͡s ɔ l kʰ m r ɔ b a
ცომეული	t͡s ɔ m ɛ u l i
ცომი	t͡s ɔ m i
ცოტა	t͡s ɔ tʼ a
ცოტათი	t͡s ɔ tʼ a tʰ i
ცოტამატა	t͡s ɔ tʼ a m a tʼ a
ცოტაოდენი	t͡s ɔ tʼ a ɔ d ɛ n i
ცოტას	t͡s ɔ tʼ a s
ცოტახან	t͡s ɔ tʼ a x a n
ცოტნე	t͡s ɔ tʼ n ɛ
ცოტცოტაობით	t͡s ɔ tʼ t͡s ɔ tʼ a ɔ b i tʰ
ცოფი	t͡s ɔ pʰ i
ცოცხალი	t͡s ɔ t͡s x a l i
ცოცხალმშობი	t͡s ɔ t͡s x a l m ʃ ɔ b i
ცოცხი	t͡s ɔ t͡s x i
ცრემლი	t͡s r ɛ m l i
ცრემლიანად	t͡s r ɛ m l i a n a d
ცრუ	t͡s r u
ცრუდ	t͡s r u d
ცრუმორწმუნე	t͡s r u m ɔ r t͡sʼ m u n ɛ
ცრუმორწმუნედ	t͡s r u m ɔ r t͡sʼ m u n ɛ d
ცრურწმენა	t͡s r u r t͡sʼ m ɛ n a
ცუდად	t͡s u d a d
ცუდი	t͡s u d i
ცურავს	t͡s u r a v s
ცურვა	t͡s u r v a
ცური	t͡s u r i
ცქერა	t͡s kʰ ɛ r a
ცხადად	t͡s x a d a d
ცხადება	t͡s x a d ɛ b a
ცხადი	t͡s x a d i
ცხარე	t͡s x a r ɛ
ცხარედ	t͡s x a r ɛ d
ცხედარი	t͡s x ɛ d a r i
ცხელა	t͡s x ɛ l a
ცხელი	t͡s x ɛ l i
ცხელსაფენი	t͡s x ɛ l s a pʰ ɛ n i
ცხენზე	t͡s x ɛ n z ɛ
ცხენი	t͡s x ɛ n i
ცხენირემი	t͡s x ɛ n i r ɛ m i
ცხენოსნობა	t͡s x ɛ n ɔ s n ɔ b a
ცხვარი	t͡s x v a r i
ცხვარიჭამია	t͡s x v a r i t͡ʃʼ a m i a
ცხვირი	t͡s x v i r i
ცხვირისმიერი	t͡s x v i r i s m i ɛ r i
ცხვირპაჭუა	t͡s x v i r pʼ a t͡ʃʼ u a
ცხვირსახოცი	t͡s x v i r s a x ɔ t͡s i
ცხიმი	t͡s x i m i
ცხიმიანი	t͡s x i m i a n i
ცხიმოვანი	t͡s x i m ɔ v a n i
ცხინვალი	t͡s x i n v a l i
ცხლად	t͡s x l a d
ცხოველი	t͡s x ɔ v ɛ l i
ცხოვრება	t͡s x ɔ v r ɛ b a
ცხოვრებად	t͡s x ɔ v r ɛ b a d
ცხოვრებამ	t͡s x ɔ v r ɛ b a m
ცხოვრებას	t͡s x ɔ v r ɛ b a s
ცხოვრებით	t͡s x ɔ v r ɛ b i tʰ
ცხოვრების	t͡s x ɔ v r ɛ b i s
ცხოვრობს	t͡s x ɔ v r ɔ b s
ცხრა	t͡s x r a
ცხრამეტი	t͡s x r a m ɛ tʼ i
ცხრაჯერ	t͡s x r a d͡ʒ ɛ r
ცხრილი	t͡s x r i l i
ცხრუკვეთი	t͡s x r u kʼ v ɛ tʰ i
ძაან	d͡z a a n
ძაბავს	d͡z a b a v s
ძაბრი	d͡z a b r i
ძალა	d͡z a l a
ძალადობა	d͡z a l a d ɔ b a
ძალავს	d͡z a l a v s
ძალანთხევი	d͡z a l a n tʰ x ɛ v i
ძალაუნებურად	d͡z a l a u n ɛ b u r a d
ძალაუფლება	d͡z a l a u pʰ l ɛ b a
ძალდატანება	d͡z a l d a tʼ a n ɛ b a
ძალზე	d͡z a l z ɛ
ძალიან	d͡z a l i a n
ძალით	d͡z a l i tʰ
ძალისხმევა	d͡z a l i s x m ɛ v a
ძალოსანი	d͡z a l ɔ s a n i
ძალუძს	d͡z a l u d͡z s
ძამა	d͡z a m a
ძამაშვილი	d͡z a m a ʃ v i l i
ძამია	d͡z a m i a
ძარა	d͡z a r a
ძარღვი	d͡z a r ɣ v i
ძაფი	d͡z a pʰ i
ძაღლი	d͡z a ɣ l i
ძაღლიშვილი	d͡z a ɣ l i ʃ v i l i
ძაღლუკა	d͡z a ɣ l u kʼ a
ძაღლური	d͡z a ɣ l u r i
ძაღლყურძენა	d͡z a ɣ l qʼ u r d͡z ɛ n a
ძახველი	d͡z a x v ɛ l i
ძგიდე	d͡z ɡ i d ɛ
ძე	d͡z ɛ
ძებნა	d͡z ɛ b n a
ძეგვი	d͡z ɛ ɡ v i
ძეგლი	d͡z ɛ ɡ l i
ძელი	d͡z ɛ l i
ძელქვა	d͡z ɛ l kʰ v a
ძერა	d͡z ɛ r a
ძერსკი	d͡z ɛ r s kʼ i
ძეხვი	d͡z ɛ x v i
ძვალი	d͡z v a l i
ძველად	d͡z v ɛ l a d
ძველებრაული	d͡z v ɛ l ɛ b r a u l i
ძველებური	d͡z v ɛ l ɛ b u r i
ძველთაძველი	d͡z v ɛ l tʰ a d͡z v ɛ l i
ძველი	d͡z v ɛ l i
ძველმოდური	d͡z v ɛ l m ɔ d u r i
ძვირად	d͡z v i r a d
ძვირი	d͡z v i r i
ძვირფასად	d͡z v i r pʰ a s a d
ძვირფასი	d͡z v i r pʰ a s i
ძვლიანი	d͡z v l i a n i
ძვლოვანი	d͡z v l ɔ v a n i
ძვრა	d͡z v r a
ძია	d͡z i a
ძიება	d͡z i ɛ b a
ძილგუდა	d͡z i l ɡ u d a
ძილი	d͡z i l i
ძილის	d͡z i l i s
ძირავს	d͡z i r a v s
ძირეულად	d͡z i r ɛ u l a d
ძირეული	d͡z i r ɛ u l i
ძირთეთრა	d͡z i r tʰ ɛ tʰ r a
ძირი	d͡z i r i
ძირითადად	d͡z i r i tʰ a d a d
ძირითადი	d͡z i r i tʰ a d i
ძირკვი	d͡z i r kʼ v i
ძირმაგარა	d͡z i r m a ɡ a r a
ძირს	d͡z i r s
ძირტკბილა	d͡z i r tʼ kʼ b i l a
ძირძველი	d͡z i r d͡z v ɛ l i
ძიძა	d͡z i d͡z a
ძიძიგური	d͡z i d͡z i ɡ u r i
ძიძიშვილი	d͡z i d͡z i ʃ v i l i
ძლევამოსილად	d͡z l ɛ v a m ɔ s i l a d
ძლევამოსილი	d͡z l ɛ v a m ɔ s i l i
ძლიერ	d͡z l i ɛ r
ძლიერად	d͡z l i ɛ r a d
ძლიერი	d͡z l i ɛ r i
ძლივს	d͡z l i v s
ძმა	d͡z m a
ძმაკაცი	d͡z m a kʼ a t͡s i
ძმარვა	d͡z m a r v a
ძმარი	d͡z m a r i
ძმობა	d͡z m ɔ b a
ძმრიანი	d͡z m r i a n i
ძმურად	d͡z m u r a d
ძმური	d͡z m u r i
ძნა	d͡z n a
ძნელად	d͡z n ɛ l a d
ძნელი	d͡z n ɛ l i
ძონძი	d͡z ɔ n d͡z i
ძოწი	d͡z ɔ t͡sʼ i
ძრავა	d͡z r a v a
ძრავი	d͡z r a v i
ძროხა	d͡z r ɔ x a
ძუა	d͡z u a
ძუკნა	d͡z u kʼ n a
ძუნწი	d͡z u n t͡sʼ i
ძუძუ	d͡z u d͡z u
ძუძუმტე	d͡z u d͡z u m tʼ ɛ
ძღვენი	d͡z ɣ v ɛ n i
წააგებს	t͡sʼ a a ɡ ɛ b s
წააგო	t͡sʼ a a ɡ ɔ
წაბლა	t͡sʼ a b l a
წაბლი	t͡sʼ a b l i
წაბლისფერი	t͡sʼ a b l i s pʰ ɛ r i
წაგება	t͡sʼ a ɡ ɛ b a
წადი	t͡sʼ a d i
წავა	t͡sʼ a v a
წავალ	t͡sʼ a v a l
წავედი	t͡sʼ a v ɛ d i
წავი	t͡sʼ a v i
წავიდეს	t͡sʼ a v i d ɛ s
წათხი	t͡sʼ a tʰ x i
წაკითხვა	t͡sʼ a kʼ i tʰ x v a
წაკითხვის	t͡sʼ a kʼ i tʰ x v i s
წალეკავს	t͡sʼ a l ɛ kʼ a v s
წალიკა	t͡sʼ a l i kʼ a
წალიკად	t͡sʼ a l i kʼ a d
წალკოტი	t͡sʼ a l kʼ ɔ tʼ i
წამალი	t͡sʼ a m a l i
წამახული	t͡sʼ a m a x u l i
წამებულები	t͡sʼ a m ɛ b u l ɛ b i
წამი	t͡sʼ a m i
წამიერად	t͡sʼ a m i ɛ r a d
წამიერი	t͡sʼ a m i ɛ r i
წამლავს	t͡sʼ a m l a v s
წამოვა	t͡sʼ a m ɔ v a
წამოვიდოდა	t͡sʼ a m ɔ v i d ɔ d a
წამოისვრის	t͡sʼ a m ɔ i s v r i s
წამოიწყებს	t͡sʼ a m ɔ i t͡sʼ qʼ ɛ b s
წამოსროლა	t͡sʼ a m ɔ s r ɔ l a
წამოწყება	t͡sʼ a m ɔ t͡sʼ qʼ ɛ b a
წამყვანი	t͡sʼ a m qʼ v a n i
წამწამი	t͡sʼ a m t͡sʼ a m i
წარბი	t͡sʼ a r b i
წარდგენა	t͡sʼ a r d ɡ ɛ n a
წარმავალი	t͡sʼ a r m a v a l i
წარმავლად	t͡sʼ a r m a v l a d
წარმართები	t͡sʼ a r m a r tʰ ɛ b i
წარმართი	t͡sʼ a r m a r tʰ i
წარმართობა	t͡sʼ a r m a r tʰ ɔ b a
წარმართულად	t͡sʼ a r m a r tʰ u l a d
წარმართული	t͡sʼ a r m a r tʰ u l i
წარმატება	t͡sʼ a r m a tʼ ɛ b a
წარმატებულად	t͡sʼ a r m a tʼ ɛ b u l a d
წარმატებული	t͡sʼ a r m a tʼ ɛ b u l i
წარმოდგენა	t͡sʼ a r m ɔ d ɡ ɛ n a
წარმოება	t͡sʼ a r m ɔ ɛ b a
წარმოებული	t͡sʼ a r m ɔ ɛ b u l i
წარმოთქვამს	t͡sʼ a r m ɔ tʰ kʰ v a m s
წარმომავლობა	t͡sʼ a r m ɔ m a v l ɔ b a
წარმომქმნელი	t͡sʼ a r m ɔ m kʰ m n ɛ l i
წარმოსახვითი	t͡sʼ a r m ɔ s a x v i tʰ i
წარმოუდგენელი	t͡sʼ a r m ɔ u d ɡ ɛ n ɛ l i
წარმოუდგენლად	t͡sʼ a r m ɔ u d ɡ ɛ n l a d
წარმოშობად	t͡sʼ a r m ɔ ʃ ɔ b a d
წარმოშობამ	t͡sʼ a r m ɔ ʃ ɔ b a m
წარმოშობას	t͡sʼ a r m ɔ ʃ ɔ b a s
წარმოშობით	t͡sʼ a r m ɔ ʃ ɔ b i tʰ
წარმოშობის	t͡sʼ a r m ɔ ʃ ɔ b i s
წარსული	t͡sʼ a r s u l i
წარსულში	t͡sʼ a r s u l ʃ i
წარუმატებელი	t͡sʼ a r u m a tʼ ɛ b ɛ l i
წარუმატებლად	t͡sʼ a r u m a tʼ ɛ b l a d
წარუხოცელი	t͡sʼ a r u x ɔ t͡s ɛ l i
წარუხოცლად	t͡sʼ a r u x ɔ t͡s l a d
წარღვნამდელი	t͡sʼ a r ɣ v n a m d ɛ l i
წარჩინებული	t͡sʼ a r t͡ʃ i n ɛ b u l i
წარწერა	t͡sʼ a r t͡sʼ ɛ r a
წასაკითხად	t͡sʼ a s a kʼ i tʰ x a d
წასაკითხი	t͡sʼ a s a kʼ i tʰ x i
წასვლა	t͡sʼ a s v l a
წაუკითხავი	t͡sʼ a u kʼ i tʰ x a v i
წაულა	t͡sʼ a u l a
წაუშლიათ	t͡sʼ a u ʃ l i a tʰ
წაშლა	t͡sʼ a ʃ l a
წაწლობა	t͡sʼ a t͡sʼ l ɔ b a
წახნაგი	t͡sʼ a x n a ɡ i
წებო	t͡sʼ ɛ b ɔ
წებოვანი	t͡sʼ ɛ b ɔ v a n i
წებოვნება	t͡sʼ ɛ b ɔ v n ɛ b a
წებოიანი	t͡sʼ ɛ b ɔ i a n i
წევა	t͡sʼ ɛ v a
წევრი	t͡sʼ ɛ v r i
წევრობა	t͡sʼ ɛ v r ɔ b a
წევს	t͡sʼ ɛ v s
წელი	t͡sʼ ɛ l i
წელიწადი	t͡sʼ ɛ l i t͡sʼ a d i
წელიწადის	t͡sʼ ɛ l i t͡sʼ a d i s
წერა	t͡sʼ ɛ r a
წერაქვი	t͡sʼ ɛ r a kʰ v i
წერაყინი	t͡sʼ ɛ r a qʼ i n i
წერია	t͡sʼ ɛ r i a
წერილი	t͡sʼ ɛ r i l i
წერო	t͡sʼ ɛ r ɔ
წეროვანი	t͡sʼ ɛ r ɔ v a n i
წერს	t͡sʼ ɛ r s
წერტილი	t͡sʼ ɛ r tʼ i l i
წერწეტა	t͡sʼ ɛ r t͡sʼ ɛ tʼ a
წერწეტად	t͡sʼ ɛ r t͡sʼ ɛ tʼ a d
წესი	t͡sʼ ɛ s i
წესიერად	t͡sʼ ɛ s i ɛ r a d
წესიერება	t͡sʼ ɛ s i ɛ r ɛ b a
წესიერი	t͡sʼ ɛ s i ɛ r i
წესრიგი	t͡sʼ ɛ s r i ɡ i
წეწავს	t͡sʼ ɛ t͡sʼ a v s
წეწვა	t͡sʼ ɛ t͡sʼ v a
წვა	t͡sʼ v a
წვავს	t͡sʼ v a v s
წვეთი	t͡sʼ v ɛ tʰ i
წვენი	t͡sʼ v ɛ n i
წვერი	t͡sʼ v ɛ r i
წვეტი	t͡sʼ v ɛ tʼ i
წვეტიანი	t͡sʼ v ɛ tʼ i a n i
წვეულება	t͡sʼ v ɛ u l ɛ b a
წვივი	t͡sʼ v i v i
წვივსაკრავი	t͡sʼ v i v s a kʼ r a v i
წვიმა	t͡sʼ v i m a
წვიმასაზომი	t͡sʼ v i m a s a z ɔ m i
წვიმიანი	t͡sʼ v i m i a n i
წვინტლი	t͡sʼ v i n tʼ l i
წვლილი	t͡sʼ v l i l i
წვნიანი	t͡sʼ v n i a n i
წვრთნა	t͡sʼ v r tʰ n a
წვრილად	t͡sʼ v r i l a d
წვრილი	t͡sʼ v r i l i
წვრილმანად	t͡sʼ v r i l m a n a d
წვრილმანი	t͡sʼ v r i l m a n i
წვრილმანობა	t͡sʼ v r i l m a n ɔ b a
წვრილფეხა	t͡sʼ v r i l pʰ ɛ x a
წიაღი	t͡sʼ i a ɣ i
წიგნაკი	t͡sʼ i ɡ n a kʼ i
წიგნი	t͡sʼ i ɡ n i
წიგნიერება	t͡sʼ i ɡ n i ɛ r ɛ b a
წიგნიერი	t͡sʼ i ɡ n i ɛ r i
წიდა	t͡sʼ i d a
წივწივა	t͡sʼ i v t͡sʼ i v a
წითელა	t͡sʼ i tʰ ɛ l a
წითელი	t͡sʼ i tʰ ɛ l i
წითელქუდა	t͡sʼ i tʰ ɛ l kʰ u d a
წითური	t͡sʼ i tʰ u r i
წიკწიკი	t͡sʼ i kʼ t͡sʼ i kʼ i
წილი	t͡sʼ i l i
წილკანი	t͡sʼ i l kʼ a n i
წინ	t͡sʼ i n
წინა	t͡sʼ i n a
წინააღმდეგ	t͡sʼ i n a a ɣ m d ɛ ɡ
წინააღმდეგობა	t͡sʼ i n a a ɣ m d ɛ ɡ ɔ b a
წინაბეგა	t͡sʼ i n a b ɛ ɡ a
წინადადება	t͡sʼ i n a d a d ɛ b a
წინადაცვეთა	t͡sʼ i n a d a t͡s v ɛ tʰ a
წინადღე	t͡sʼ i n a d ɣ ɛ
წინათ	t͡sʼ i n a tʰ
წინათგრძნობა	t͡sʼ i n a tʰ ɡ r d͡z n ɔ b a
წინამავალი	t͡sʼ i n a m a v a l i
წინამორბედი	t͡sʼ i n a m ɔ r b ɛ d i
წინამძღვარი	t͡sʼ i n a m d͡z ɣ v a r i
წინამძღოლი	t͡sʼ i n a m d͡z ɣ ɔ l i
წინამძღოლმა	t͡sʼ i n a m d͡z ɣ ɔ l m a
წინამხარი	t͡sʼ i n a m x a r i
წინანდელი	t͡sʼ i n a n d ɛ l i
წინაპარი	t͡sʼ i n a pʼ a r i
წინასწარ	t͡sʼ i n a s t͡sʼ a r
წინასწარგანზრახულად	t͡sʼ i n a s t͡sʼ a r ɡ a n z r a x u l a d
წინასწარი	t͡sʼ i n a s t͡sʼ a r i
წინასწარმეტყველურად	t͡sʼ i n a s t͡sʼ a r m ɛ tʼ qʼ v ɛ l u r a d
წინასწარმეყველურად	t͡sʼ i n a s t͡sʼ a r m ɛ qʼ v ɛ l u r a d
წინაფრა	t͡sʼ i n a pʰ r a
წინაღობა	t͡sʼ i n a ɣ ɔ b a
წინდა	t͡sʼ i n d a
წინდაუხედავად	t͡sʼ i n d a u x ɛ d a v a d
წინდაუხედავი	t͡sʼ i n d a u x ɛ d a v i
წინდახედულად	t͡sʼ i n d a x ɛ d u l a d
წინდახედული	t͡sʼ i n d a x ɛ d u l i
წინდებული	t͡sʼ i n d ɛ b u l i
წინდებულიანი	t͡sʼ i n d ɛ b u l i a n i
წინდიანი	t͡sʼ i n d i a n i
წინკარი	t͡sʼ i n kʼ a r i
წინსაფარი	t͡sʼ i n s a pʰ a r i
წინსვლა	t͡sʼ i n s v l a
წინსწრება	t͡sʼ i n s t͡sʼ r ɛ b a
წინწამოწეული	t͡sʼ i n t͡sʼ a m ɔ t͡sʼ ɛ u l i
წინწკალი	t͡sʼ i n t͡sʼ kʼ a l i
წინწკლებიანი	t͡sʼ i n t͡sʼ kʼ l ɛ b i a n i
წინწკლი	t͡sʼ i n t͡sʼ kʼ l i
წიპწა	t͡sʼ i pʼ t͡sʼ a
წირთხლი	t͡sʼ i r tʰ x l i
წირპლი	t͡sʼ i r pʼ l i
წისქვილი	t͡sʼ i s kʰ v i l i
წიფელა	t͡sʼ i pʰ ɛ l a
წიფელი	t͡sʼ i pʰ ɛ l i
წიწაკა	t͡sʼ i t͡sʼ a kʼ a
წიწიბურა	t͡sʼ i t͡sʼ i b u r a
წიწილა	t͡sʼ i t͡sʼ i l a
წიწილი	t͡sʼ i t͡sʼ i l i
წიწმატი	t͡sʼ i t͡sʼ m a tʼ i
წკიპურტი	t͡sʼ kʼ i pʼ u r tʼ i
წლიანი	t͡sʼ l i a n i
წლისთავი	t͡sʼ l i s tʰ a v i
წმენდს	t͡sʼ m ɛ n d s
წმიდა	t͡sʼ m i d a
წმინდა	t͡sʼ m i n d a
წმინდად	t͡sʼ m i n d a d
წნავს	t͡sʼ n a v s
წნევა	t͡sʼ n ɛ v a
წნელი	t͡sʼ n ɛ l i
წოდებითი	t͡sʼ ɔ d ɛ b i tʰ i
წოდორეთი	t͡sʼ ɔ d ɔ r ɛ tʰ i
წოვა	t͡sʼ ɔ v a
წოლა	t͡sʼ ɔ l a
წონა	t͡sʼ ɔ n a
წონასწორობა	t͡sʼ ɔ n a s t͡sʼ ɔ r ɔ b a
წორო	t͡sʼ ɔ r ɔ
წრე	t͡sʼ r ɛ
წრეწირი	t͡sʼ r ɛ t͡sʼ i r i
წრიპინა	t͡sʼ r i pʼ i n a
წრფელად	t͡sʼ r pʰ ɛ l a d
წრფელი	t͡sʼ r pʰ ɛ l i
წუთი	t͡sʼ u tʰ i
წუთისოფელი	t͡sʼ u tʰ i s ɔ pʰ ɛ l i
წული	t͡sʼ u l i
წუნდაუდებელი	t͡sʼ u n d a u d ɛ b ɛ l i
წუნი	t͡sʼ u n i
წუნია	t͡sʼ u n i a
წურავს	t͡sʼ u r a v s
წურბელა	t͡sʼ u r b ɛ l a
წურწუმია	t͡sʼ u r t͡sʼ u m i a
წუწუნი	t͡sʼ u t͡sʼ u n i
წუწურაქი	t͡sʼ u t͡sʼ u r a kʰ i
წუწურაქობა	t͡sʼ u t͡sʼ u r a kʰ ɔ b a
წუხელ	t͡sʼ u x ɛ l
წუხელის	t͡sʼ u x ɛ l i s
წუხილი	t͡sʼ u x i l i
წყავი	t͡sʼ qʼ a v i
წყალბადი	t͡sʼ qʼ a l b a d i
წყალგაუმტარი	t͡sʼ qʼ a l ɡ a u m tʼ a r i
წყალდიდობა	t͡sʼ qʼ a l d i d ɔ b a
წყალი	t͡sʼ qʼ a l i
წყალიკრეფია	t͡sʼ qʼ a l i kʼ r ɛ pʰ i a
წყალმა	t͡sʼ qʼ a l m a
წყალმანკი	t͡sʼ qʼ a l m a n kʼ i
წყალმანკიანი	t͡sʼ qʼ a l m a n kʼ i a n i
წყალმცენარე	t͡sʼ qʼ a l m t͡s ɛ n a r ɛ
წყალს	t͡sʼ qʼ a l s
წყალსადენი	t͡sʼ qʼ a l s a d ɛ n i
წყალქვეშა	t͡sʼ qʼ a l kʰ v ɛ ʃ a
წყალხაზი	t͡sʼ qʼ a l x a z i
წყალხმელეთა	t͡sʼ qʼ a l x m ɛ l ɛ tʰ a
წყარო	t͡sʼ qʼ a r ɔ
წყაროდ	t͡sʼ qʼ a r ɔ d
წყაროთი	t͡sʼ qʼ a r ɔ tʰ i
წყარომ	t͡sʼ qʼ a r ɔ m
წყაროს	t͡sʼ qʼ a r ɔ s
წყევლა	t͡sʼ qʼ ɛ v l a
წყევლის	t͡sʼ qʼ ɛ v l i s
წყენა	t͡sʼ qʼ ɛ n a
წყენია	t͡sʼ qʼ ɛ n i a
წყენით	t͡sʼ qʼ ɛ n i tʰ
წყეულად	t͡sʼ qʼ ɛ u l a d
წყეული	t͡sʼ qʼ ɛ u l i
წყვდიადი	t͡sʼ qʼ v d i a d i
წყვეტილი	t͡sʼ qʼ v ɛ tʼ i l i
წყვილი	t͡sʼ qʼ v i l i
წყლად	t͡sʼ qʼ l a d
წყლიანი	t͡sʼ qʼ l i a n i
წყლით	t͡sʼ qʼ l i tʰ
წყლის	t͡sʼ qʼ l i s
წყლტუ	t͡sʼ qʼ l tʼ u
წყლულები	t͡sʼ qʼ l u l ɛ b i
წყლული	t͡sʼ qʼ l u l i
წყლულიანი	t͡sʼ qʼ l u l i a n i
წყნარად	t͡sʼ qʼ n a r a d
წყნარი	t͡sʼ qʼ n a r i
წყობა	t͡sʼ qʼ ɔ b a
წყურვილი	t͡sʼ qʼ u r v i l i
წყურვილით	t͡sʼ qʼ u r v i l i tʰ
ჭა	t͡ʃʼ a
ჭაბუკი	t͡ʃʼ a b u kʼ i
ჭაბუკურად	t͡ʃʼ a b u kʼ u r a d
ჭაბუკური	t͡ʃʼ a b u kʼ u r i
ჭაბურღილი	t͡ʃʼ a b u r ɣ i l i
ჭადარი	t͡ʃʼ a d a r i
ჭადრაკი	t͡ʃʼ a d r a kʼ i
ჭადრაკის	t͡ʃʼ a d r a kʼ i s
ჭავლი	t͡ʃʼ a v l i
ჭავჭავაძე	t͡ʃʼ a v t͡ʃʼ a v a d͡z ɛ
ჭალა	t͡ʃʼ a l a
ჭალაკი	t͡ʃʼ a l a kʼ i
ჭალი	t͡ʃʼ a l i
ჭამა	t͡ʃʼ a m a
ჭამს	t͡ʃʼ a m s
ჭანარი	t͡ʃʼ a n a r i
ჭანგი	t͡ʃʼ a n ɡ i
ჭანჭიკი	t͡ʃʼ a n t͡ʃʼ i kʼ i
ჭანჭური	t͡ʃʼ a n t͡ʃʼ u r i
ჭაობი	t͡ʃʼ a ɔ b i
ჭაობიანი	t͡ʃʼ a ɔ b i a n i
ჭარბად	t͡ʃʼ a r b a d
ჭარბი	t͡ʃʼ a r b i
ჭარბწარმოება	t͡ʃʼ a r b t͡sʼ a r m ɔ ɛ b a
ჭარტალა	t͡ʃʼ a r tʼ a l a
ჭარტალი	t͡ʃʼ a r tʼ a l i
ჭარტარი	t͡ʃʼ a r tʼ a r i
ჭარხალი	t͡ʃʼ a r x a l i
ჭაღარა	t͡ʃʼ a ɣ a r a
ჭაღი	t͡ʃʼ a ɣ i
ჭაშნიკი	t͡ʃʼ a ʃ n i kʼ i
ჭაჭა	t͡ʃʼ a t͡ʃʼ a
ჭდე	t͡ʃʼ d ɛ
ჭედადი	t͡ʃʼ ɛ d a d i
ჭედადობა	t͡ʃʼ ɛ d a d ɔ b a
ჭედავს	t͡ʃʼ ɛ d a v s
ჭედვა	t͡ʃʼ ɛ d v a
ჭერა	t͡ʃʼ ɛ r a
ჭერამი	t͡ʃʼ ɛ r a m i
ჭერი	t͡ʃʼ ɛ r i
ჭექა	t͡ʃʼ ɛ kʰ a
ჭექს	t͡ʃʼ ɛ kʰ s
ჭეშმარიტად	t͡ʃʼ ɛ ʃ m a r i tʼ a d
ჭეშმარიტება	t͡ʃʼ ɛ ʃ m a r i tʼ ɛ b a
ჭეშმარიტი	t͡ʃʼ ɛ ʃ m a r i tʼ i
ჭვავი	t͡ʃʼ v a v i
ჭვალი	t͡ʃʼ v a l i
ჭვარტალი	t͡ʃʼ v a r tʼ a l i
ჭვარტლი	t͡ʃʼ v a r tʼ l i
ჭვინტი	t͡ʃʼ v i n tʼ i
ჭვირი	t͡ʃʼ v i r i
ჭვირნარი	t͡ʃʼ v i r n a r i
ჭვიშტარი	t͡ʃʼ v i ʃ tʼ a r i
ჭვრეტითი	t͡ʃʼ v r ɛ tʼ i tʰ i
ჭი	t͡ʃʼ i
ჭია	t͡ʃʼ i a
ჭიამაია	t͡ʃʼ i a m a i a
ჭიანაჭამი	t͡ʃʼ i a n a t͡ʃʼ a m i
ჭიანჭველა	t͡ʃʼ i a n t͡ʃʼ v ɛ l a
ჭიანჭველად	t͡ʃʼ i a n t͡ʃʼ v ɛ l a d
ჭიანჭველამ	t͡ʃʼ i a n t͡ʃʼ v ɛ l a m
ჭიანჭველას	t͡ʃʼ i a n t͡ʃʼ v ɛ l a s
ჭიაყელა	t͡ʃʼ i a qʼ ɛ l a
ჭიდაობა	t͡ʃʼ i d a ɔ b a
ჭიდილი	t͡ʃʼ i d i l i
ჭივჭავი	t͡ʃʼ i v t͡ʃʼ a v i
ჭიკაანი	t͡ʃʼ i kʼ a a n i
ჭიკარტი	t͡ʃʼ i kʼ a r tʼ i
ჭილიბი	t͡ʃʼ i l i b i
ჭილობი	t͡ʃʼ i l ɔ b i
ჭილოფი	t͡ʃʼ i l ɔ pʰ i
ჭილყვავი	t͡ʃʼ i l qʼ v a v i
ჭიმავს	t͡ʃʼ i m a v s
ჭინკა	t͡ʃʼ i n kʼ a
ჭინჭილა	t͡ʃʼ i n t͡ʃʼ i l a
ჭინჭრაქა	t͡ʃʼ i n t͡ʃʼ r a kʰ a
ჭიპი	t͡ʃʼ i pʼ i
ჭირვეულად	t͡ʃʼ i r v ɛ u l a d
ჭირვეული	t͡ʃʼ i r v ɛ u l i
ჭირი	t͡ʃʼ i r i
ჭირისუფალი	t͡ʃʼ i r i s u pʰ a l i
ჭიქა	t͡ʃʼ i kʰ a
ჭიქური	t͡ʃʼ i kʰ u r i
