Abae	a b a e̯
vīperee	w iː p ɛ r e ɛ
vīpereum	w iː p ɛ r e ũː
vīpereā	w iː p ɛ r e aː
vīpereārum	w iː p ɛ r e aː r ũː
vīpereās	w iː p ɛ r e aː s
vīpereē	w iː p ɛ r e eː
vīpereī	w iː p ɛ r e iː
vīpereīs	w iː p ɛ r e iː s
vīpereō	w iː p ɛ r e oː
vīpereōrum	w iː p ɛ r e oː r ũː
vīpereōs	w iː p ɛ r e oː s
vīperārum	w iː p ɛ r aː r ũː
vīperās	w iː p ɛ r aː s
vīperīna	w iː p ɛ r iː n a
vīperīna	w iː p ɛ r iː n aː
vīperīnae	w iː p ɛ r iː n a e̯
vīperīnam	w iː p ɛ r iː n ãː
vīperīne	w iː p ɛ r iː n ɛ
vīperīnum	w iː p ɛ r iː n ũː
vīperīnā	w iː p ɛ r iː n a
vīperīnā	w iː p ɛ r iː n aː
vīperīnārum	w iː p ɛ r iː n aː r ũː
vīperīnās	w iː p ɛ r iː n aː s
vīperīnī	w iː p ɛ r iː n iː
vīperīnīs	w iː p ɛ r iː n iː s
vīperīnō	w iː p ɛ r iː n oː
vīperīnōrum	w iː p ɛ r iː n oː r ũː
vīperīnōs	w iː p ɛ r iː n oː s
vīperīs	w iː p ɛ r iː s
vīra	w iː r a
vīribus	w iː r ɪ b ʊ s
vīrium	w iː r i ũː
vīrulenta	w iː r ʊ ɫ ɛ n t a
vīrulenta	w iː r ʊ ɫ ɛ n t aː
vīrulentās	w iː r ʊ ɫ ɛ n t aː s
vīrulentī	w iː r ʊ ɫ ɛ n t iː
vīrulentō	w iː r ʊ ɫ ɛ n t oː
vīrulentōs	w iː r ʊ ɫ ɛ n t oː s
vīrēs	w iː r eː s
vīrēscō	w iː r eː s k oː
vīrī	w iː r iː
vīrīs	w iː r iː s
vīrō	w iː r oː
vīrōrum	w iː r oː r ũː
vīrōsīs	w iː r oː s iː s
vīs	w iː s
vīsa	w iː s a
vīsa	w iː s aː
vīscera	w iː s k ɛ r a
vīsitātis	w iː s ɪ t aː t ɪ s
vīsitātor	w iː s ɪ t aː t ɔ r
vīsitātīs	w iː s ɪ t aː t iː s
vīsitāverimus	w iː s ɪ t aː w ɛ r iː m ʊ s
vīsitāverimus	w iː s ɪ t aː w ɛ r ɪ m ʊ s
vīsitāveris	w iː s ɪ t aː w ɛ r iː s
vīsitāveris	w iː s ɪ t aː w ɛ r ɪ s
vīsitāveritis	w iː s ɪ t aː w ɛ r iː t ɪ s
vīsitāveritis	w iː s ɪ t aː w ɛ r ɪ t ɪ s
vīsiō	w iː s i oː
vīsōre	w iː s oː r ɛ
vīsōrem	w iː s oː r ẽː
vīsōribus	w iː s oː r ɪ b ʊ s
vīsōris	w iː s oː r ɪ s
vīsōrum	w iː s oː r ũː
vīsōrēs	w iː s oː r eː s
vīsōrī	w iː s oː r iː
vītae	w iː t a e̯
vītis	w iː t ɪ s
vītor	w iː t ɔ r
vītālia	w iː t aː l i a
vītāre	w iː t aː r ɛ
vītātū	w iː t aː t uː
vītīs	w iː t iː s
vīva	w iː w a
vīva	w iː w aː
vīvendō	w iː w ɛ n d oː
vīvent	w iː w ɛ n t
vīventēs	w iː w ɛ n t eː s
vīverēs	w iː w ɛ r eː s
vīvida	w iː w ɪ d a
vīvida	w iː w ɪ d aː
vīvidō	w iː w ɪ d oː
vīvipara	w iː w ɪ p a r a
vīvipara	w iː w ɪ p a r aː
vīvit	w iː w ɪ t
vīvum	w iː w ũː
vīvēs	w iː w eː s
vīvī	w iː w iː
vōbīs	w oː b iː s
vōcāle	w oː k aː ɫ ɛ
vōcālis	w oː k aː l ɪ s
vōcālēs	w oː k aː ɫ eː s
vōcālī	w oː k aː l iː
vōmis	w oː m ɪ s
vōta	w oː t a
vōta	w oː t aː
vōtam	w oː t ãː
vōte	w oː t ɛ
vōtum	w oː t ũː
vōtās	w oː t aː s
vōtī	w oː t iː
vōtīs	w oː t iː s
vōtīva	w oː t iː w a
vōtīva	w oː t iː w aː
vōtīve	w oː t iː w ɛ
vōtīvās	w oː t iː w aː s
vōtīvī	w oː t iː w iː
vōtīvō	w oː t iː w oː
vōtīvōs	w oː t iː w oː s
vōtō	w oː t oː
vōtō	w ɔ t oː
vōtōs	w oː t oː s
wainō	w a ɪ n oː
wante	w a n t ɛ
wantum	w a n t ũː
wantī	w a n t iː
wantīs	w a n t iː s
wantō	w a n t oː
wantōrum	w a n t oː r ũː
wantōs	w a n t oː s
werrae	w ɛ r r a e̯
werram	w ɛ r r ãː
werrārum	w ɛ r r aː r ũː
werrās	w ɛ r r aː s
werrīs	w ɛ r r iː s
witta	w ɪ t t a
wolframium	w ɔ ɫ f r a m i ũː
wītae	w iː t a e̯
wītam	w iː t ãː
wītārum	w iː t aː r ũː
wītās	w iː t aː s
wītīs	w iː t iː s
wȳta	w yː t a
xanthos	k s a n tʰ ɔ s
xylanolyticus	k s y ɫ a n ɔ l y t ɪ k ʊ s
xylobalsamum	k s y ɫ ɔ b a ɫ s a m ũː
xylosphongia	k s y ɫ ɔ s pʰ ɔ ŋ ɡ i a
xylosphongium	k s y ɫ ɔ s pʰ ɔ ŋ ɡ i ũː
xylosphongiī	k s y ɫ ɔ s pʰ ɔ ŋ ɡ i iː
xylosphongiīs	k s y ɫ ɔ s pʰ ɔ ŋ ɡ i iː s
xylosphongiō	k s y ɫ ɔ s pʰ ɔ ŋ ɡ i oː
xylosphongiōrum	k s y ɫ ɔ s pʰ ɔ ŋ ɡ i oː r ũː
xylosphongī	k s y ɫ ɔ s pʰ ɔ ŋ ɡ iː
xylospongia	k s y ɫ ɔ s p ɔ ŋ ɡ i a
xylospongiī	k s y ɫ ɔ s p ɔ ŋ ɡ i iː
xylospongiīs	k s y ɫ ɔ s p ɔ ŋ ɡ i iː s
xylospongiō	k s y ɫ ɔ s p ɔ ŋ ɡ i oː
xylospongiōrum	k s y ɫ ɔ s p ɔ ŋ ɡ i oː r ũː
xylospongī	k s y ɫ ɔ s p ɔ ŋ ɡ iː
xystarchēs	k s y s t a r kʰ eː s
xēranticus	k s eː r a n t ɪ k ʊ s
ydiōta	y d i oː t a
ymber	y m b ɛ r
ytterbium	y t t ɛ r b i ũː
ytterbiōrum	y t t ɛ r b i ɔ r ũː
yttrium	y t t r i ũː
zacōnus	z a k oː n ʊ s
zamorēnsis	z a m ɔ r ẽː s ɪ s
zanca	z a ŋ k a
zanga	z a ŋ ɡ a
zaplūtus	z a p ɫ uː t ʊ s
zardae	z a r d a e̯
zardam	z a r d ãː
zardārum	z a r d aː r ũː
zardīs	z a r d iː s
zebra	z ɛ b r a
zephire	z ɛ pʰ ɪ r ɛ
zephirum	z ɛ pʰ ɪ r ũː
zephirus	z ɛ pʰ ɪ r ʊ s
zephirī	z ɛ pʰ ɪ r iː
zephirīs	z ɛ pʰ ɪ r iː s
zephirō	z ɛ pʰ ɪ r oː
zephirōrum	z ɛ pʰ ɪ r oː r ũː
zephirōs	z ɛ pʰ ɪ r oː s
zephyre	z ɛ pʰ y r ɛ
zephyrius	z ɛ pʰ y r i ʊ s
zephyrum	z ɛ pʰ y r ũː
zephyrī	z ɛ pʰ y r iː
zephyrīs	z ɛ pʰ y r iː s
zephyrō	z ɛ pʰ y r oː
zephyrōrum	z ɛ pʰ y r oː r ũː
zephyrōs	z ɛ pʰ y r oː s
zeros	z ɛ r ɔ s
zeugītēs	z ɛ u̯ ɡ iː t eː s
zircōnium	z ɪ r k oː n i ũː
zircōniōrum	z ɪ r k ɔ n i ɔ r ũː
zizā̆niae	z ɪ z z a n i a e̯
zizā̆niae	z ɪ z z aː n i a e̯
zizā̆niam	z ɪ z z a n i ãː
zizā̆niam	z ɪ z z aː n i ãː
zizā̆niārum	z ɪ z z a n i aː r ũː
zizā̆niārum	z ɪ z z aː n i aː r ũː
zizā̆niās	z ɪ z z a n i aː s
zizā̆niās	z ɪ z z aː n i aː s
zizā̆niī	z ɪ z z a n i iː
zizā̆niī	z ɪ z z aː n i iː
zizā̆niīs	z ɪ z z a n i iː s
zizā̆niīs	z ɪ z z aː n i iː s
zizā̆niō	z ɪ z z a n i oː
zizā̆niō	z ɪ z z aː n i oː
zizā̆niōrum	z ɪ z z a n i oː r ũː
zizā̆niōrum	z ɪ z z aː n i oː r ũː
zizā̆nī	z ɪ z z a n iː
zizā̆nī	z ɪ z z aː n iː
zmaragdinus	z m a r a ɡ d ɪ n ʊ s
zmēgmata	z m eː ɡ m a t a
zmēgmate	z m eː ɡ m a t ɛ
zmēgmatibus	z m eː ɡ m a t ɪ b ʊ s
zmēgmatis	z m eː ɡ m a t ɪ s
zmēgmatum	z m eː ɡ m a t ũː
zmēgmatī	z m eː ɡ m a t iː
zmēgmatīs	z m eː ɡ m a t iː s
zmēgmatōrum	z m eː ɡ m a t oː r ũː
zuma	z ʊ m a
zura	z ʊ r a
zygapophyseālis	z y ɡ a p ɔ pʰ y s e aː l ɪ s
zygōmaticī	z y ɡ oː m a t ɪ k iː
zāconus	z aː k ɔ n ʊ s
zēbrātus	z eː b r aː t ʊ s
zēlantī	z eː ɫ a n t iː
zēphira	z eː pʰ ɪ r a
zēphirum	z eː pʰ ɪ r ũː
zēphirī	z eː pʰ ɪ r iː
zēphirīs	z eː pʰ ɪ r iː s
zēphirō	z eː pʰ ɪ r oː
zēphirōrum	z eː pʰ ɪ r oː r ũː
zēra	z eː r a
zērī	z eː r iː
zērīs	z eː r iː s
zērō	z eː r oː
zērōrum	z eː r oː r ũː
zēta	z eː t a
zētās	z eː t aː s
zīziphum	z iː z z ɪ pʰ ũː
zōnālēs	z oː n aː ɫ eː s
zōnāta	z oː n aː t a
zōnāta	z oː n aː t aː
zōnāte	z oː n aː t ɛ
zōoepidēmicus	z oː o ɛ p ɪ d eː m ɪ k ʊ s
zōologia	z oː ɔ ɫ ɔ ɡ i a
zōologica	z oː ɔ ɫ ɔ ɡ ɪ k a
zōologica	z oː ɔ ɫ ɔ ɡ ɪ k aː
zōologicō	z oː ɔ ɫ ɔ ɡ ɪ k oː
zōophagus	z oː ɔ pʰ a ɡ ʊ s
zōpissa	z oː p ɪ s s a
zōstērem	z oː s t eː r ẽː
zōstēribus	z oː s t eː r ɪ b ʊ s
Ægīdius	a e̯ ɡ iː d i ʊ s
æstumō	a e̯ s t ʊ m oː
ïambicinus	i a m b ɪ k ɪ n ʊ s
ïambēus	i a m b eː ʊ s
ïanthide	i a n tʰ ɪ d ɛ
ïanthidem	i a n tʰ ɪ d ẽː
ïanthidibus	i a n tʰ ɪ d ɪ b ʊ s
ïanthidis	i a n tʰ ɪ d ɪ s
ïanthidum	i a n tʰ ɪ d ũː
ïanthidēs	i a n tʰ ɪ d eː s
ïanthidī	i a n tʰ ɪ d iː
ïeram	i ɛ r ãː
ïerant	i ɛ r a n t
ïerat	i ɛ r a t
ïerim	i ɛ r ĩː
ïerimus	i ɛ r ɪ m ʊ s
ïerint	i ɛ r ɪ n t
ïeris	i ɛ r ɪ s
ïerit	i ɛ r ɪ t
ïeritis	i ɛ r ɪ t ɪ s
ïerāmus	i ɛ r aː m ʊ s
ïerās	i ɛ r aː s
ïerātis	i ɛ r aː t ɪ s
ïerīmus	i ɛ r iː m ʊ s
ïerīs	i ɛ r iː s
ïerītis	i ɛ r iː t ɪ s
ïerō	i ɛ r oː
ïimus	i ɪ m ʊ s
ïisse	i ɪ s s ɛ
ïissem	i ɪ s s ẽː
ïissent	i ɪ s s ɛ n t
ïisset	i ɪ s s ɛ t
ïissēmus	i ɪ s s eː m ʊ s
ïissēs	i ɪ s s eː s
ïissētis	i ɪ s s eː t ɪ s
ïistis	i ɪ s t ɪ s
ïistī	i ɪ s t iː
ïit	i ɪ t
ïēre	i eː r ɛ
ïērunt	i eː r ʊ n t
ïī	i iː
ïīs	i iː s
Ābadir	aː b a d ɪ r
Ābrahae	aː b r a a e̯
Ābrahae	aː b r a ɦ a e̯
Ābrahamō	aː b r a a m oː
Ābrahamō	aː b r a ɦ a m oː
Ābrahā	aː b r a aː
Ābrahā	aː b r a ɦ aː
Ābrahārum	aː b r a aː r ũː
Ābrahārum	aː b r a ɦ aː r ũː
Ābrahās	aː b r a aː s
Ābrahās	aː b r a ɦ aː s
Ābrahīs	aː b r a iː s
Ābrahīs	aː b r a ɦ iː s
Āctōrī	aː k t oː r iː
Ādae	aː d a e̯
Ādā	aː d aː
Ādāmō	aː d aː m oː
Ādārum	aː d aː r ũː
Ādās	aː d aː s
Ādīs	aː d iː s
Āfricae	aː f r ɪ k a e̯
Āfricam	aː f r ɪ k ãː
Āntverpīa	aː n t w ɛ r p iː a
Āpulēiō	a p p ʊ ɫ eː j oː
Āsis	aː s ɪ s
Ātlantis	aː t ɫ a n t ɪ s
Ā̆pennīnī	a p ɛ n n iː n iː
Ā̆pennīnī	aː p ɛ n n iː n iː
ābbaetō	aː b b a e̯ t oː
ābbætō	aː b b a e̯ t oː
ābbītō	aː b b iː t oː
ābætō	aː b a e̯ t oː
ābītō	aː b iː t oː
ācer	aː k ɛ r
āclydas	aː k l y d a s
āclyde	aː k l y d ɛ
āclydibus	a k l y d ɪ b ʊ s
āclydis	aː k l y d ɪ s
āclydēs	aː k l y d eː s
ācre	aː k r ɛ
ācrisiōnēus	aː k r ɪ s i oː n eː ʊ s
ācrēs	aː k r eː s
ācta	a k t a
ācta	aː k t a
ācta	aː k t aː
ācte	aː k t ɛ
āctuandō	aː k t u a n d oː
āctuem	aː k t u ẽː
āctus	aː k t ʊ s
āctuā	aː k t u aː
āctuālēs	aː k t u aː ɫ eː s
āctuārem	aː k t u aː r ẽː
āctuāria	aː k t u aː r i a
āctuāria	aː k t u aː r i aː
āctuāriam	aː k t u aː r i ãː
āctuāriās	aː k t u aː r i aː s
āctuārās	aː k t u aː r aː s
āctuārēs	aː k t u aː r eː s
āctuās	aː k t u aː s
āctuāsse	aː k t u aː s s ɛ
āctuāssem	aː k t u aː s s ẽː
āctuāssēs	aː k t u aː s s eː s
āctuēs	aː k t u eː s
āctā	a k t a
āctā	aː k t a
āctā	aː k t aː
āctīvās	aː k t iː w aː s
āctīvō	aː k t iː w oː
āctīvōs	aː k t iː w oː s
āctō	aː k t oː
āera	aː ɛ r a
āere	aː ɛ r ɛ
āerem	aː ɛ r ẽː
āereus	aː ɛ r e ʊ s
āeribus	aː ɛ r ɪ b ʊ s
āerifōrmis	aː ɛ r ɪ f oː r m ɪ s
āerinus	aː ɛ r ɪ n ʊ s
āeriportum	aː ɛ r ɪ p ɔ r t ũː
āeriportus	aː ɛ r ɪ p ɔ r t ʊ s
āeriportuī	aː ɛ r ɪ p ɔ r t u iː
āeris	aː ɛ r ɪ s
āerodynamicus	aː ɛ r ɔ d y n a m ɪ k ʊ s
āerolithus	aː ɛ r ɔ l ɪ tʰ ʊ s
āeromantīa	aː ɛ r ɔ m a n t iː a
āeronautica	aː ɛ r ɔ n a u̯ t ɪ k a
āeronautica	aː ɛ r ɔ n a u̯ t ɪ k aː
āeronauticus	aː ɛ r ɔ n a u̯ t ɪ k ʊ s
āeronauticī	aː ɛ r ɔ n a u̯ t ɪ k iː
āeronauticō	aː ɛ r ɔ n a u̯ t ɪ k oː
āeros	aː ɛ r ɔ s
āerum	aː ɛ r ũː
āerēs	aː ɛ r eː s
āerī	aː ɛ r iː
āfore	aː f ɔ r ɛ
āfricia	a f r ɪ k i a
āfricāna	aː f r ɪ k aː n a
āfricāna	aː f r ɪ k aː n aː
āfricāne	aː f r ɪ k aː n ɛ
āfricānās	aː f r ɪ k aː n aː s
āfricānī	aː f r ɪ k aː n iː
āfricānō	aː f r ɪ k aː n oː
āfricānōs	aː f r ɪ k aː n oː s
āfrāsiāticus	aː f r aː s i aː t ɪ k ʊ s
āfuam	aː f u ãː
āfuant	aː f u a n t
āfuat	aː f u a t
āfuerat	a f u ɛ r a t
āfuerās	aː f u ɛ r aː s
āfuerō	aː f u ɛ r oː
āfuāmus	aː f u aː m ʊ s
āfuās	aː f u aː s
āfuātis	aː f u aː t ɪ s
āfuēre	aː f u eː r ɛ
āgrāriās	aː ɡ r aː r i aː s
āgrāriōs	aː ɡ r aː r i oː s
āla	aː ɫ a
ālae	aː ɫ a e̯
ālam	aː ɫ ãː
āle	aː ɫ ɛ
āles	a ɫ eː s
āles	aː ɫ ɛ s
āleāris	aː ɫ e aː r ɪ s
āleārius	aː ɫ e aː r i ʊ s
āleīs	aː ɫ e iː s
ālia	aː l i a
ālium	aː l i ũː
āliī	aː l i iː
āliīs	aː l i iː s
āliō	aː l i oː
āliōrum	aː l i oː r ũː
ālāria	aː ɫ aː r i a
ālāria	aː ɫ aː r i aː
ālāriam	aː ɫ aː r i ãː
ālāris	aː ɫ aː r ɪ s
ālāriās	aː ɫ aː r i aː s
ālārum	aː ɫ aː r ũː
ālās	aː ɫ aː s
ālēc	aː ɫ eː k
ālī	aː l iː
ālīs	aː l iː s
ālō	aː ɫ oː
ālōrum	aː ɫ oː r ũː
ālōs	aː ɫ oː s
āmandās	aː m a n d aː s
āmandō	aː m a n d oː
āmentī	aː m ɛ n t iː
ānellō	aː n ɛ l l oː
ānfrāctus	ãː f r aː k t ʊ s
ānus	aː n ʊ s
ānxie	a ŋ k s i eː
ānxie	aː ŋ k s i ɛ
ānxius	aː ŋ k s i ʊ s
ānīs	aː n iː s
āpetala	aː p ɛ t a ɫ a
āpetalae	aː p ɛ t a ɫ a e̯
āpetalam	aː p ɛ t a ɫ ãː
āpetale	aː p ɛ t a ɫ ɛ
āpetalum	aː p ɛ t a ɫ ũː
āpetalā	aː p ɛ t a ɫ aː
āpetalārum	aː p ɛ t a ɫ aː r ũː
āpetalās	aː p ɛ t a ɫ aː s
āpetalī	aː p ɛ t a l iː
āpetalīs	aː p ɛ t a l iː s
āpetalō	aː p ɛ t a ɫ oː
āpetalōrum	aː p ɛ t a ɫ oː r ũː
āpetalōs	aː p ɛ t a ɫ oː s
ārae	aː r a e̯
āreface	aː r ɛ f a k ɛ
ārefacere	aː r ɛ f a k ɛ r ɛ
ārefacerem	aː r ɛ f a k ɛ r ẽː
ārefacerent	aː r ɛ f a k ɛ r ɛ n t
ārefaceret	aː r ɛ f a k ɛ r ɛ t
ārefacerēmus	aː r ɛ f a k ɛ r eː m ʊ s
ārefacerēs	aː r ɛ f a k ɛ r eː s
ārefacerētis	aː r ɛ f a k ɛ r eː t ɪ s
ārefaciam	aː r ɛ f a k i ãː
ārefaciant	aː r ɛ f a k i a n t
ārefaciat	aː r ɛ f a k i a t
ārefacient	aː r ɛ f a k i ɛ n t
ārefaciet	aː r ɛ f a k i ɛ t
ārefacimus	aː r ɛ f a k ɪ m ʊ s
ārefacis	aː r ɛ f a k ɪ s
ārefacit	aː r ɛ f a k ɪ t
ārefacite	aː r ɛ f a k ɪ t ɛ
ārefacitis	aː r ɛ f a k ɪ t ɪ s
ārefacitō	aː r ɛ f a k ɪ t oː
ārefacitōte	aː r ɛ f a k ɪ t oː t ɛ
ārefaciunt	aː r ɛ f a k i ʊ n t
ārefaciuntō	aː r ɛ f a k i ʊ n t oː
ārefaciāmus	aː r ɛ f a k i aː m ʊ s
ārefaciās	aː r ɛ f a k i aː s
ārefaciātis	aː r ɛ f a k i aː t ɪ s
ārefaciēbam	aː r ɛ f a k i eː b ãː
ārefaciēbant	aː r ɛ f a k i eː b a n t
ārefaciēbat	aː r ɛ f a k i eː b a t
ārefaciēbāmus	aː r ɛ f a k i eː b aː m ʊ s
ārefaciēbās	aː r ɛ f a k i eː b aː s
ārefaciēbātis	aː r ɛ f a k i eː b aː t ɪ s
ārefaciēmus	aː r ɛ f a k i eː m ʊ s
ārefaciēs	aː r ɛ f a k i eː s
ārefaciētis	aː r ɛ f a k i eː t ɪ s
ārefierem	aː r ɛ f i ɛ r ẽː
ārefierent	aː r ɛ f i ɛ r ɛ n t
ārefieret	aː r ɛ f i ɛ r ɛ t
ārefierēmus	aː r ɛ f i ɛ r eː m ʊ s
ārefierēs	aː r ɛ f i ɛ r eː s
ārefierētis	aː r ɛ f i ɛ r eː t ɪ s
ārefierī	aː r ɛ f i ɛ r iː
ārefit	aː r ɛ f ɪ t
ārefēceram	aː r ɛ f eː k ɛ r ãː
ārefēcerant	aː r ɛ f eː k ɛ r a n t
ārefēcerat	aː r ɛ f eː k ɛ r a t
ārefēcerim	aː r ɛ f eː k ɛ r ĩː
ārefēcerimus	aː r ɛ f eː k ɛ r ɪ m ʊ s
ārefēcerint	aː r ɛ f eː k ɛ r ɪ n t
ārefēceris	aː r ɛ f eː k ɛ r ɪ s
ārefēcerit	aː r ɛ f eː k ɛ r ɪ t
ārefēceritis	aː r ɛ f eː k ɛ r ɪ t ɪ s
ārefēcerāmus	aː r ɛ f eː k ɛ r aː m ʊ s
ārefēcerās	aː r ɛ f eː k ɛ r aː s
ārefēcerātis	aː r ɛ f eː k ɛ r aː t ɪ s
ārefēcerīmus	aː r ɛ f eː k ɛ r iː m ʊ s
ārefēcerīs	aː r ɛ f eː k ɛ r iː s
ārefēcerītis	aː r ɛ f eː k ɛ r iː t ɪ s
ārefēcerō	aː r ɛ f eː k ɛ r oː
ārefēcimus	aː r ɛ f eː k ɪ m ʊ s
ārefēcisse	aː r ɛ f eː k ɪ s s ɛ
ārefēcissem	aː r ɛ f eː k ɪ s s ẽː
ārefēcissent	aː r ɛ f eː k ɪ s s ɛ n t
ārefēcisset	aː r ɛ f eː k ɪ s s ɛ t
ārefēcissēmus	aː r ɛ f eː k ɪ s s eː m ʊ s
ārefēcissēs	aː r ɛ f eː k ɪ s s eː s
ārefēcissētis	aː r ɛ f eː k ɪ s s eː t ɪ s
ārefēcistis	aː r ɛ f eː k ɪ s t ɪ s
ārefēcistī	aː r ɛ f eː k ɪ s t iː
ārefēcit	aː r ɛ f eː k ɪ t
ārefēcēre	aː r ɛ f eː k eː r ɛ
ārefēcērunt	aː r ɛ f eː k eː r ʊ n t
ārefēcī	aː r ɛ f eː k iː
ārefī	aː r ɛ f iː
ārefīam	aː r ɛ f iː ãː
ārefīant	aː r ɛ f iː a n t
ārefīat	aː r ɛ f iː a t
ārefīent	aː r ɛ f iː ɛ n t
ārefīet	aː r ɛ f iː ɛ t
ārefīmus	aː r ɛ f iː m ʊ s
ārefīs	aː r ɛ f iː s
ārefīte	aː r ɛ f iː t ɛ
ārefītis	aː r ɛ f iː t ɪ s
ārefītō	aː r ɛ f iː t oː
ārefītōte	aː r ɛ f iː t oː t ɛ
ārefīunt	aː r ɛ f iː ʊ n t
ārefīuntō	aː r ɛ f iː ʊ n t oː
ārefīāmus	aː r ɛ f iː aː m ʊ s
ārefīās	aː r ɛ f iː aː s
ārefīātis	aː r ɛ f iː aː t ɪ s
ārefīēbam	aː r ɛ f iː eː b ãː
ārefīēbant	aː r ɛ f iː eː b a n t
ārefīēbat	aː r ɛ f iː eː b a t
ārefīēbāmus	aː r ɛ f iː eː b aː m ʊ s
ārefīēbās	aː r ɛ f iː eː b aː s
ārefīēbātis	aː r ɛ f iː eː b aː t ɪ s
ārefīēmus	aː r ɛ f iː eː m ʊ s
ārefīēs	aː r ɛ f iː eː s
ārefīētis	aː r ɛ f iː eː t ɪ s
ārefīō	aː r ɛ f iː oː
āreolātus	aː r e ɔ ɫ aː t ʊ s
āreāle	aː r e aː ɫ ɛ
āreālī	aː r e aː l iː
ārfaciō	aː r f a k i oː
āruī	aː r u iː
āsiātica	aː s i aː t ɪ k a
āsiātica	aː s i aː t ɪ k aː
āsiāticī	aː s i aː t ɪ k iː
ātlantica	aː t ɫ a n t ɪ k a
ātlantica	aː t ɫ a n t ɪ k aː
ātlanticī	aː t ɫ a n t ɪ k iː
ātra	aː t r a
ātrae	aː t r a e̯
ātram	aː t r ãː
ātrior	aː t r i ɔ r
ātrioventriculāribus	a t r i ɔ w ɛ n t r ɪ k ʊ ɫ a r ɪ b ʊ s
ātrioventriculāris	aː t r i ɔ w ɛ n t r ɪ k ʊ ɫ aː r ɪ s
ātrius	aː t r i ʊ s
ātriōra	aː t r i oː r a
ātriōre	aː t r i oː r ɛ
ātriōrem	aː t r i oː r ẽː
ātriōribus	aː t r i oː r ɪ b ʊ s
ātriōris	aː t r i oː r iː s
ātriōris	aː t r i oː r ɪ s
ātriōrum	aː t r i oː r ũː
ātriōrēs	aː t r i oː r eː s
ātriōrī	aː t r i oː r iː
ātrophicāns	aː t r ɔ pʰ ɪ k ãː s
ātrum	aː t r ũː
ātrā	aː t r aː
ātrārum	aː t r aː r ũː
ātrās	aː t r aː s
ātrī	aː t r iː
ātrīs	aː t r iː s
ātrō	aː t r oː
ātrōrum	aː t r oː r ũː
ātrōs	aː t r oː s
āversor	aː w ɛ r s ɔ r
āversūrī	aː w ɛ r s uː r iː
āverte	aː w ɛ r t ɛ
āvium	aː w i ũː
āvius	aː w i ʊ s
āviō	aː w i oː
āvocāmenta	aː w ɔ k aː m ɛ n t a
āvocāmentī	aː w ɔ k aː m ɛ n t iː
āvocāmentīs	aː w ɔ k aː m ɛ n t iː s
āvocāmentō	aː w ɔ k aː m ɛ n t oː
āvocāmentōrum	aː w ɔ k aː m ɛ n t oː r ũː
āvocātor	aː w ɔ k aː t ɔ r
Ēlidis	eː l ɪ d ɪ s
Ēlysia	eː l y s i a
Ēlysia	eː l y s i aː
Ēlysiae	eː l y s i a e̯
Ēlysiam	eː l y s i ãː
Ēlysie	eː l y s i ɛ
Ēlysius	eː l y s i ʊ s
Ēlysiārum	eː l y s i aː r ũː
Ēlysiās	eː l y s i aː s
Ēlysiī	eː l y s i iː
Ēlysiīs	eː l y s i iː s
Ēlysiō	eː l y s i oː
Ēlysiōrum	eː l y s i oː r ũː
Ēlysiōs	eː l y s i oː s
Ēlysī	eː l y s iː
Ēlēus	eː ɫ eː ʊ s
Ēpīrōtae	eː p iː r oː t a e̯
Ēpīrōtārum	eː p iː r oː t aː r ũː
Ēpīrōtās	eː p iː r oː t aː s
Ēpīrōtē	eː p iː r oː t eː
Ēpīrōtēn	eː p iː r oː t eː n
Ēpīrōtīs	eː p iː r oː t iː s
Ēsiode	eː s i ɔ d ɛ
Ēsiodum	eː s i ɔ d ũː
Ēsiodus	eː s i ɔ d ʊ s
Ēsiodī	eː s i ɔ d iː
Ēsiodō	eː s i ɔ d oː
Ē̆sāïae	eː s aː i a e̯
Ē̆sāïae	ɛ s aː i a e̯
Ē̆sāïam	eː s aː i ãː
Ē̆sāïam	ɛ s aː i ãː
Ē̆sāïā	eː s aː i aː
Ē̆sāïā	ɛ s aː i aː
Ē̆sāïān	eː s aː i aː n
Ē̆sāïān	ɛ s aː i aː n
Ē̆ōus	e oː ʊ s
Ē̆ōus	eː oː ʊ s
ē	eː
ēbria	eː b r i a
ēbria	eː b r i aː
ēbrium	eː b r i ũː
ēbullient	eː b ʊ l l i ɛ n t
ēcaudis	eː k a u̯ d ɪ s
ēchōn	eː kʰ oː n
ēchūs	eː kʰ uː s
ēderam	eː d ɛ r ãː
ēdere	eː d ɛ r ɛ
ēderis	eː d eː r ɪ s
ēderis	eː d ɛ r ɪ s
ēderās	eː d ɛ r aː s
ēdicte	eː d ɪ k t ɛ
ēdidērunt	ɛ d ɪ d ɛ r ʊ n t
ēdis	eː d ɪ s
ēdissertō	eː d ɪ s s ɛ r t oː
ēdit	eː d ɪ t
ēdita	eː d ɪ t a
ēdita	eː d ɪ t aː
ēdite	eː d ɪ t ɛ
ēditissime	eː d ɪ t ɪ s s ɪ m ɛ
ēditissimē	eː d ɪ t ɪ s s ɪ m eː
ēditum	eː d ɪ t ũː
ēditus	eː d ɪ t uː s
ēditus	eː d ɪ t ʊ s
ēducanda	eː d ʊ k a n d a
ēducanda	eː d ʊ k a n d aː
ēducō	eː d ʊ k oː
ēdunda	eː d ʊ n d a
ēdunda	eː d ʊ n d aː
