Ѓ	ɟ ə
просјачка	p r ɔ s j a t͡ʃ k a
просјачки	p r ɔ s j a t͡ʃ k i
протаза	p r ɔ t a z a
протактиниум	p r ɔ t a k t i n i j u m
протарашка	p r ɔ t a ɾ a ʃ k a
протегање	p r ɔ t ɛ ɡ a ɲ ɛ
протеже	p r ɔ t ɛ ʒ ɛ
протеза	p r ɔ t ɛ z a
протеин	p r ɔ t ɛ i n
протеини	p r ɔ t ɛ i n i
протеински	p r ɔ t ɛ i n s k i
протек	p r ɔ t ɛ k
протекува	p r ɔ t ɛ k u v a
протекување	p r ɔ t ɛ k u v a ɲ ɛ
протекционизам	p r ɔ t ɛ k t͡s i j ɔ n i z a m
протекционист	p r ɔ t ɛ k t͡s i j ɔ n i s t
протекционисти	p r ɔ t ɛ k t͡s i j ɔ n i s t i
протекционистички	p r ɔ t ɛ k t͡s i j ɔ n i s t i t͡ʃ k i
протекционистка	p r ɔ t ɛ k t͡s i j ɔ n i s t k a
протекција	p r ɔ t ɛ k t͡s i j a
протера	p r ɔ t ɛ ɾ a
протеран	p r ɔ t ɛ ɾ a n
протерува	p r ɔ t ɛ ɾ u v a
протеруван	p r ɔ t ɛ ɾ u v a n
протерување	p r ɔ t ɛ r u v a ɲ ɛ
протест	p r ɔ t ɛ s t
протестант	p r ɔ t ɛ s t a n t
протестантизам	p r ɔ t ɛ s t a n t i z a m
протестантка	p r ɔ t ɛ s t a n t k a
протестантски	p r ɔ t ɛ s t a n t s k i
протестен	p r ɔ t ɛ s t ɛ n
протестира	p r ɔ t ɛ s t i ɾ a
протестирање	p r ɔ t ɛ s t i ɾ a ɲ ɛ
протестно	p r ɔ t ɛ s t n ɔ
протече	p r ɔ t ɛ t͡ʃ ɛ
против	p r ɔ t i f
противакција	p r ɔ t i v a k t͡s i j a
противвоздушен	p r ɔ t i v v ɔ z d u ʃ ɛ n
противвоспалителен	p r ɔ t i v v ɔ s p a l i t ɛ l ɛ n
противвредност	p r ɔ t i v v r ɛ d n ɔ s t
противдејство	p r ɔ t i v d ɛ j s t v ɔ
противдождовен	p r ɔ t i v d ɔ ʒ d ɔ v ɛ n
противдоказ	p r ɔ t i v d ɔ k a s
противзаконски	p r ɔ t i v z a k ɔ n s k i
противкандидат	p r ɔ t i f k a n d i d a t
противкандидати	p r ɔ t i f k a n d i d a t i
противкандидатка	p r ɔ t i f k a n d i d a t k a
противмерка	p r ɔ t i v m ɛ r k a
противнапад	p r ɔ t i v n a p a t
противнароден	p r ɔ t i v n a ɾ ɔ d ɛ n
противник	p r ɔ t i v n i k
противници	p r ɔ t i v n i t͡s i
противничиште	p r ɔ t i v n i t͡ʃ i ʃ t ɛ
противничка	p r ɔ t i v n i t͡ʃ k a
противнички	p r ɔ t i v n i t͡ʃ k i
противобвинение	p r ɔ t i v ɔ b v i n ɛ n i j ɛ
противотров	p r ɔ t i v ɔ t r ɔ f
противотрови	p r ɔ t i v ɔ t r ɔ v i
противофанзива	p r ɔ t i v ɔ f a n z i v a
противофанзиви	p r ɔ t i v ɔ f a n z i v i
противпожарен	p r ɔ t i f p ɔ ʒ a ɾ ɛ n
противположен	p r ɔ t i f p ɔ ɫ ɔ ʒ ɛ n
противправен	p r ɔ t i f p r a v ɛ n
противпредлог	p r ɔ t i f p r ɛ d ɫ ɔ k
противпример	p r ɔ t i f p r i m ɛ r
противприроден	p r ɔ t i f p r i ɾ ɔ d ɛ n
противприродно	p r ɔ t i f p r i ɾ ɔ d n ɔ
противреформација	p r ɔ t i v r ɛ f ɔ r m a t͡s i j a
противречен	p r ɔ t i v r ɛ t͡ʃ ɛ n
противречење	p r ɔ t i v r ɛ t͡ʃ ɛ ɲ ɛ
противречи	p r ɔ t i v r ɛ t͡ʃ i
противречно	p r ɔ t i v r ɛ t͡ʃ n ɔ
противречност	p r ɔ t i v r ɛ t͡ʃ n ɔ s t
противтежа	p r ɔ t i f t ɛ ʒ a
противуставен	p r ɔ t i v u s t a v ɛ n
противуставно	p r ɔ t i v u s t a v n ɔ
протившпионски	p r ɔ t i f ʃ p i j ɔ n s k i
протившпиунски	p r ɔ t i f ʃ p i j u n s k i
протиња	p r ɔ t i ɲ a
протињање	p r ɔ t i ɲ a ɲ ɛ
проткае	p r ɔ t k a ɛ
проткан	p r ɔ t k a n
проткајан	p r ɔ t k a j a n
проткајува	p r ɔ t k a j u v a
проткајуван	p r ɔ t k a j u v a n
проткајување	p r ɔ t k a j u v a ɲ ɛ
протнат	p r ɔ t n a t
протне	p r ɔ t n ɛ
протнува	p r ɔ t n u v a
протнуван	p r ɔ t n u v a n
протнување	p r ɔ t n u v a ɲ ɛ
проток	p r ɔ t ɔ k
протокол	p r ɔ t ɔ k ɔ ɫ
протоколарен	p r ɔ t ɔ k ɔ ɫ a ɾ ɛ n
протолкува	p r ɔ t ɔ ɫ k u v a
протолкуван	p r ɔ t ɔ ɫ k u v a n
протолмачи	p r ɔ t ɔ ɫ m a t͡ʃ i
протон	p r ɔ t ɔ n
протони	p r ɔ t ɔ n i
протонски	p r ɔ t ɔ n s k i
протопрезвитер	p r ɔ t ɔ p r ɛ z v i t ɛ r
протопрезвитери	p r ɔ t ɔ p r ɛ z v i t ɛ ɾ i
прототип	p r ɔ t ɔ t i p
проточен	p r ɔ t ɔ t͡ʃ ɛ n
протојереи	p r ɔ t ɔ j ɛ ɾ ɛ i
протојереј	p r ɔ t ɔ j ɛ ɾ ɛ j
протресе	p r ɔ t r ɛ s ɛ
протресен	p r ɔ t r ɛ s ɛ n
протрие	p r ɔ t r i j ɛ
протриен	p r ɔ t r i j ɛ n
протуѓер	p r ɔ t u ɟ ɛ r
проучен	p r ɔ u t͡ʃ ɛ n
проучи	p r ɔ u t͡ʃ i
проучува	p r ɔ u t͡ʃ u v a
проучуван	p r ɔ u t͡ʃ u v a n
проучување	p r ɔ u t͡ʃ u v a ɲ ɛ
профактура	p r ɔ f a k t u ɾ a
профан	p r ɔ f a n
профано	p r ɔ f a n ɔ
професии	p r ɔ f ɛ s i i
професионален	p r ɔ f ɛ s i j ɔ n a l ɛ n
професионалец	p r ɔ f ɛ s i j ɔ n a l ɛ t͡s
професионализам	p r ɔ f ɛ s i j ɔ n a l i z a m
професионализација	p r ɔ f ɛ s i j ɔ n a l i z a t͡s i j a
професионализира	p r ɔ f ɛ s i j ɔ n a l i z i ɾ a
професионализиран	p r ɔ f ɛ s i j ɔ n a l i z i ɾ a n
професионализирање	p r ɔ f ɛ s i j ɔ n a l i z i ɾ a ɲ ɛ
професионалка	p r ɔ f ɛ s i j ɔ n a ɫ k a
професионално	p r ɔ f ɛ s i j ɔ n a ɫ n ɔ
професионалност	p r ɔ f ɛ s i j ɔ n a ɫ n ɔ s t
професионалци	p r ɔ f ɛ s i j ɔ n a ɫ t͡s i
професија	p r ɔ f ɛ s i j a
професор	p r ɔ f ɛ s ɔ r
професори	p r ɔ f ɛ s ɔ ɾ i
професориште	p r ɔ f ɛ s ɔ ɾ i ʃ t ɛ
професорка	p r ɔ f ɛ s ɔ r k a
професорке	p r ɔ f ɛ s ɔ r k ɛ
професорски	p r ɔ f ɛ s ɔ r s k i
професорство	p r ɔ f ɛ s ɔ r s t v ɔ
профил	p r ɔ f i ɫ
профилактика	p r ɔ f i ɫ a k t i k a
профилактичен	p r ɔ f i ɫ a k t i t͡ʃ ɛ n
профилактички	p r ɔ f i ɫ a k t i t͡ʃ k i
профилактично	p r ɔ f i ɫ a k t i t͡ʃ n ɔ
профилен	p r ɔ f i l ɛ n
профилира	p r ɔ f i l i ɾ a
профилиран	p r ɔ f i l i ɾ a n
профилирање	p r ɔ f i l i ɾ a ɲ ɛ
профитабилен	p r ɔ f i t a b i l ɛ n
профитабилно	p r ɔ f i t a b i ɫ n ɔ
профитен	p r ɔ f i t ɛ n
профитерски	p r ɔ f i t ɛ r s k i
профитира	p r ɔ f i t i ɾ a
профитирање	p r ɔ f i t i ɾ a ɲ ɛ
профункционира	p r ɔ f u ŋ k t͡s i j ɔ n i ɾ a
прохибиционизам	p r ɔ x i b i t͡s i j ɔ n i z a m
прохибиционист	p r ɔ x i b i t͡s i j ɔ n i s t
прохибиционистички	p r ɔ x i b i t͡s i j ɔ n i s t i t͡ʃ k i
прохибиција	p r ɔ x i b i t͡s i j a
процвета	p r ɔ t͡s v ɛ t a
процветан	p r ɔ t͡s v ɛ t a n
процветува	p r ɔ t͡s v ɛ t u v a
процветување	p r ɔ t͡s v ɛ t u v a ɲ ɛ
процеден	p r ɔ t͡s ɛ d ɛ n
процеди	p r ɔ t͡s ɛ d i
процедува	p r ɔ t͡s ɛ d u v a
процедуван	p r ɔ t͡s ɛ d u v a n
процедување	p r ɔ t͡s ɛ d u v a ɲ ɛ
процедура	p r ɔ t͡s ɛ d u ɾ a
процедурален	p r ɔ t͡s ɛ d u r a l ɛ n
процедурално	p r ɔ t͡s ɛ d u r a ɫ n ɔ
процедури	p r ɔ t͡s ɛ d u ɾ i
проценет	p r ɔ t͡s ɛ n ɛ t
процени	p r ɔ t͡s ɛ n i
проценка	p r ɔ t͡s ɛ ŋ k a
проценки	p r ɔ t͡s ɛ ŋ k i
процент	p r ɔ t͡s ɛ n t
процентуален	p r ɔ t͡s ɛ n t u a l ɛ n
процентуално	p r ɔ t͡s ɛ n t u a ɫ n ɔ
проценува	p r ɔ t͡s ɛ n u v a
проценуван	p r ɔ t͡s ɛ n u v a n
проценување	p r ɔ t͡s ɛ n u v a ɲ ɛ
процеп	p r ɔ t͡s ɛ p
процес	p r ɔ t͡s ɛ s
процесен	p r ɔ t͡s ɛ s ɛ n
процеси	p r ɔ t͡s ɛ s i
процесира	p r ɔ t͡s ɛ s i ɾ a
процесиран	p r ɔ t͡s ɛ s i ɾ a n
процесирање	p r ɔ t͡s ɛ s i ɾ a ɲ ɛ
процесија	p r ɔ t͡s ɛ s i j a
процесор	p r ɔ t͡s ɛ s ɔ r
процесори	p r ɔ t͡s ɛ s ɔ ɾ i
процесориште	p r ɔ t͡s ɛ s ɔ ɾ i ʃ t ɛ
процесорски	p r ɔ t͡s ɛ s ɔ r s k i
процесуален	p r ɔ t͡s ɛ s u a l ɛ n
процесуално	p r ɔ t͡s ɛ s u a ɫ n ɔ
процути	p r ɔ t͡s u t i
процутува	p r ɔ t͡s u t u v a
процутување	p r ɔ t͡s u t u v a ɲ ɛ
прочепка	p r ɔ t͡ʃ ɛ p k a
прочепкан	p r ɔ t͡ʃ ɛ p k a n
прочешла	p r ɔ t͡ʃ ɛ ʃ ɫ a
прочешлан	p r ɔ t͡ʃ ɛ ʃ ɫ a n
прочистен	p r ɔ t͡ʃ i s t ɛ n
прочисти	p r ɔ t͡ʃ i s t i
прочистува	p r ɔ t͡ʃ i s t u v a
прочистуван	p r ɔ t͡ʃ i s t u v a n
прочистување	p r ɔ t͡ʃ i s t u v a ɲ ɛ
прочита	p r ɔ t͡ʃ i t a
прочитан	p r ɔ t͡ʃ i t a n
прочитува	p r ɔ t͡ʃ i t u v a
прочитуван	p r ɔ t͡ʃ i t u v a n
прочитување	p r ɔ t͡ʃ i t u v a ɲ ɛ
прочуен	p r ɔ t͡ʃ u ɛ n
прошара	p r ɔ ʃ a ɾ a
прошаран	p r ɔ ʃ a ɾ a n
прошверца	p r ɔ ʃ v ɛ r t͡s a
прошверцан	p r ɔ ʃ v ɛ r t͡s a n
прошверцува	p r ɔ ʃ v ɛ r t͡s u v a
прошверцуван	p r ɔ ʃ v ɛ r t͡s u v a n
прошепотен	p r ɔ ʃ ɛ p ɔ t ɛ n
прошепоти	p r ɔ ʃ ɛ p ɔ t i
прошепотува	p r ɔ ʃ ɛ p ɔ t u v a
прошепотување	p r ɔ ʃ ɛ p ɔ t u v a ɲ ɛ
прошета	p r ɔ ʃ ɛ t a
прошетан	p r ɔ ʃ ɛ t a n
прошетка	p r ɔ ʃ ɛ t k a
проширен	p r ɔ ʃ i ɾ ɛ n
прошири	p r ɔ ʃ i ɾ i
проширува	p r ɔ ʃ i ɾ u v a
прошируван	p r ɔ ʃ i ɾ u v a n
проширување	p r ɔ ʃ i r u v a ɲ ɛ
прошка	p r ɔ ʃ k a
проштален	p r ɔ ʃ t a l ɛ n
проштално	p r ɔ ʃ t a ɫ n ɔ
проштева	p r ɔ ʃ t ɛ v a
проштевање	p r ɔ ʃ t ɛ v a ɲ ɛ
проѕевање	p r ɔ d͡z ɛ v a ɲ ɛ
проѕира	p r ɔ d͡z i ɾ a
проѕирен	p r ɔ d͡z i ɾ ɛ n
проѕирка	p r ɔ d͡z i r k a
проѕирки	p r ɔ d͡z i r k i
проѕирно	p r ɔ d͡z i r n ɔ
проѕирност	p r ɔ d͡z i r n ɔ s t
проја	p r ɔ j a
пројава	p r ɔ j a v a
пројавен	p r ɔ j a v ɛ n
пројави	p r ɔ j a v i
пројавува	p r ɔ j a v u v a
пројавуван	p r ɔ j a v u v a n
пројавување	p r ɔ j a v u v a ɲ ɛ
пројде	p r ɔ j d ɛ
пројден	p r ɔ j d ɛ n
про’ртен	p r ɔ r̩ t ɛ n
про’рти	p r ɔ r̩ t i
про’ртува	p r ɔ r̩ t u v a
про’ртување	p r ɔ r̩ t u v a ɲ ɛ
прпелкање	p r̩ p ɛ ɫ k a ɲ ɛ
прска	p r̩ s k a
прскалка	p r̩ s k a ɫ k a
прскан	p r̩ s k a n
прсканица	p r̩ s k a n i t͡s a
прскање	p r̩ s k a ɲ ɛ
прслук	p r̩ s ɫ u k
прслуци	p r̩ s ɫ u t͡s i
прслуче	p r̩ s ɫ u t͡ʃ ɛ
прснат	p r̩ s n a t
прсне	p r̩ s n ɛ
прснува	p r̩ s n u v a
прснуван	p r̩ s n u v a n
прснување	p r̩ s n u v a ɲ ɛ
прст	p r̩ s t
прсте	p r̩ s t ɛ
прстен	p r̩ s t ɛ n
прстенест	p r̩ s t ɛ n ɛ s t
прстени	p r̩ s t ɛ n i
прстените	p r̩ s t ɛ n i t ɛ
прстениште	p r̩ s t ɛ n i ʃ t ɛ
прстенче	p r̩ s t ɛ n t͡ʃ ɛ
прстенчето	p r̩ s t ɛ n t͡ʃ ɛ t ɔ
прстенчињата	p r̩ s t ɛ n t͡ʃ i ɲ a t a
прстења	p r̩ s t ɛ ɲ a
прстење	p r̩ s t ɛ ɲ ɛ
прсти	p r̩ s t i
прстиште	p r̩ s t i ʃ t ɛ
прсторед	p r̩ s t ɔ ɾ ɛ t
прстофати	p r̩ s t ɔ f a t i
прстуле	p r̩ s t u l ɛ
прт	p r̩ t
пртина	p r̩ t i n a
пруга	p r u ɡ a
пругав	p r u ɡ a f
пруги	p r u ɡ i
пружа	p r u ʒ a
пружан	p r u ʒ a n
пружање	p r u ʒ a ɲ ɛ
пружен	p r u ʒ ɛ n
пружи	p r u ʒ i
пружина	p r u ʒ i n a
пруски	p r u s k i
прц	p r̩ t͡s
прцка	p r̩ t͡s k a
прцкање	p r̩ t͡s k a ɲ ɛ
прч	p r̩ t͡ʃ
прче	p r̩ t͡ʃ ɛ
прчен	p r̩ t͡ʃ ɛ n
прчење	p r̩ t͡ʃ ɛ ɲ ɛ
прчи	p r̩ t͡ʃ i
прчиште	p r̩ t͡ʃ i ʃ t ɛ
прчови	p r̩ t͡ʃ ɔ v i
пршка	p r̩ ʃ k a
пршки	p r̩ ʃ k i
пршлен	p r̩ ʃ l ɛ n
пршлени	p r̩ ʃ l ɛ n i
пршленски	p r̩ ʃ l ɛ n s k i
пршута	p r̩ ʃ u t a
прљав	p r̩ ʎ a f
псалм	p s a ɫ m
псалтир	p s a ɫ t i r
псевдокласичен	p s ɛ v d ɔ k ɫ a s i t͡ʃ ɛ n
псевдонаучен	p s ɛ v d ɔ n a u t͡ʃ ɛ n
псевдонаучно	p s ɛ v d ɔ n a u t͡ʃ n ɔ
псевдоним	p s ɛ v d ɔ n i m
пси	p s i
психа	p s i x a
психички	p s i x i t͡ʃ k i
психијатар	p s i x i j a t a r
психијатарка	p s i x i j a t a r k a
психијатри	p s i x i j a t r i
психијатриски	p s i x i j a t r i s k i
психијатрија	p s i x i j a t r i j a
психо	p s i x ɔ
психоанализа	p s i x ɔ a n a l i z a
психоделичен	p s i x ɔ d ɛ l i t͡ʃ ɛ n
психоделично	p s i x ɔ d ɛ l i t͡ʃ n ɔ
психоза	p s i x ɔ z a
психолингвистика	p s i x ɔ l i ŋ ɡ v i s t i k a
психолингвистички	p s i x ɔ l i ŋ ɡ v i s t i t͡ʃ k i
психолог	p s i x ɔ ɫ ɔ k
психологија	p s i x ɔ ɫ ɔ ɡ i j a
психолози	p s i x ɔ ɫ ɔ z i
психолошки	p s i x ɔ ɫ ɔ ʃ k i
психопат	p s i x ɔ p a t
психопатија	p s i x ɔ p a t i j a
психопатка	p s i x ɔ p a t k a
психопатологија	p s i x ɔ p a t ɔ ɫ ɔ ɡ i j a
психопатски	p s i x ɔ p a t s k i
психотераписки	p s i x ɔ t ɛ r a p i s k i
психотерапија	p s i x ɔ t ɛ r a p i j a
психотропен	p s i x ɔ t r ɔ p ɛ n
психотропно	p s i x ɔ t r ɔ p n ɔ
псоријаза	p s ɔ ɾ i j a z a
пст	p sː t
пст	p ə s t
птица	p t i t͡s a
птици	p t i t͡s i
птичар	p t i t͡ʃ a r
птичарење	p t i t͡ʃ a ɾ ɛ ɲ ɛ
птичарник	p t i t͡ʃ a r n i k
птиче	p t i t͡ʃ ɛ
птиченце	p t i t͡ʃ ɛ n t͡s ɛ
птичиште	p t i t͡ʃ i ʃ t ɛ
птичка	p t i t͡ʃ k a
птичуле	p t i t͡ʃ u l ɛ
птичји	p t i t͡ʃ j i
пу	p u
пубертет	p u b ɛ r t ɛ t
пубертетлија	p u b ɛ r t ɛ t l i j a
пубертетски	p u b ɛ r t ɛ t s k i
публика	p u b l i k a
публикација	p u b l i k a t͡s i j a
публикува	p u b l i k u v a
публикуван	p u b l i k u v a n
публикување	p u b l i k u v a ɲ ɛ
публицитет	p u b l i t͡s i t ɛ t
пува	p u v a
пување	p u v a ɲ ɛ
пувеж	p u v ɛ ʃ
пувче	p u f t͡ʃ ɛ
пуд	p u t
пуда	p u d a
пудинг	p u d i ŋ k
пудинзи	p u d i n z i
пудлица	p u d l i t͡s a
пудов	p u d ɔ f
пудови	p u d ɔ v i
пудовиве	p u d ɔ v i v ɛ
пудовине	p u d ɔ v i n ɛ
пудовите	p u d ɔ v i t ɛ
пудон	p u d ɔ n
пудот	p u d ɔ t
пудра	p u d r a
пудрен	p u d r ɛ n
пудрење	p u d r ɛ ɲ ɛ
пудри	p u d r i
пудриште	p u d r i ʃ t ɛ
пуду	p u d u
пуздер	p u z d ɛ r
пука	p u k a
пукаа	p u k a a
пукаат	p u k a a t
пукав	p u k a f
пукавме	p u k a v m ɛ
пукавте	p u k a f t ɛ
пукал	p u k a ɫ
пукала	p u k a ɫ a
пукале	p u k a l ɛ
пукало	p u k a ɫ ɔ
пукам	p u k a m
пукаме	p u k a m ɛ
пукан	p u k a n
пуканка	p u k a ŋ k a
пуканки	p u k a ŋ k i
пукано	p u k a n ɔ
пукате	p u k a t ɛ
пукаш	p u k a ʃ
пукаше	p u k a ʃ ɛ
пукај	p u k a j
пукајте	p u k a j t ɛ
пукајќи	p u k a j c i
пукање	p u k a ɲ ɛ
пукнат	p u k n a t
пукнатина	p u k n a t i n a
пукнатинка	p u k n a t i ŋ k a
пукне	p u k n ɛ
пукнува	p u k n u v a
пукнуван	p u k n u v a n
пукнување	p u k n u v a ɲ ɛ
пукот	p u k ɔ t
пукотница	p u k ɔ t n i t͡s a
пуле	p u l ɛ
пулен	p u l ɛ n
пулејка	p u l ɛ j k a
пулејки	p u l ɛ j k i
пулмолог	p u ɫ m ɔ ɫ ɔ k
пулмологија	p u ɫ m ɔ ɫ ɔ ɡ i j a
пулмолошки	p u ɫ m ɔ ɫ ɔ ʃ k i
пуловер	p u ɫ ɔ v ɛ r
пуловериште	p u ɫ ɔ v ɛ ɾ i ʃ t ɛ
пулови	p u ɫ ɔ v i
пулпа	p u ɫ p a
пулс	p u ɫ s
пулсира	p u ɫ s i ɾ a
пулсирање	p u ɫ s i ɾ a ɲ ɛ
пулт	p u ɫ t
пума	p u m a
пумпа	p u m p a
пумпан	p u m p a n
пумпање	p u m p a ɲ ɛ
пумпен	p u m p ɛ n
пумпиче	p u m p i t͡ʃ ɛ
пумпичка	p u m p i t͡ʃ k a
пумпиште	p u m p i ʃ t ɛ
пункт	p u ŋ k t
пунктуација	p u ŋ k t u a t͡s i j a
пункција	p u ŋ k t͡s i j a
пунч	p u n t͡ʃ
пунџа	p u n d͡ʒ a
пунџи	p u n d͡ʒ i
пунџиче	p u n d͡ʒ i t͡ʃ ɛ
пунџичка	p u n d͡ʒ i t͡ʃ k a
пунџиште	p u n d͡ʒ i ʃ t ɛ
пупа	p u p a
пупка	p u p k a
пупки	p u p k i
пупунец	p u p u n ɛ t͡s
пупунци	p u p u n t͡s i
пупче	p u p t͡ʃ ɛ
пупчен	p u p t͡ʃ ɛ n
пупчење	p u p t͡ʃ ɛ ɲ ɛ
пупчи	p u p t͡ʃ i
пура	p u ɾ a
пургатив	p u r ɡ a t i f
пургативен	p u r ɡ a t i v ɛ n
пури	p u ɾ i
пуризам	p u r i z a m
пурист	p u r i s t
пуристи	p u r i s t i
пуристички	p u r i s t i t͡ʃ k i
пуристка	p u r i s t k a
пуританец	p u ɾ i t a n ɛ t͡s
пуританизам	p u ɾ i t a n i z a m
пуританка	p u ɾ i t a ŋ k a
пуритански	p u ɾ i t a n s k i
пуриште	p u ɾ i ʃ t ɛ
пурпурен	p u r p u ɾ ɛ n
пуст	p u s t
пустелија	p u s t ɛ l i j a
пустен	p u s t ɛ n
пустење	p u s t ɛ ɲ ɛ
пусти	p u s t i
пустина	p u s t i n a
пустиник	p u s t i n i k
пустиниште	p u s t i n i ʃ t ɛ
пустински	p u s t i n s k i
пусто	p u s t ɔ
пустош	p u s t ɔ ʃ
пустошен	p u s t ɔ ʃ ɛ n
пустошење	p u s t ɔ ʃ ɛ ɲ ɛ
пустоши	p u s t ɔ ʃ i
путер	p u t ɛ r
путерка	p u t ɛ r k a
путка	p u t k a
путки	p u t k i
пуф	p u f
пуфка	p u f k a
пуфкаст	p u f k a s t
пуфкасто	p u f k a s t ɔ
пуфнат	p u f n a t
пуфнување	p u f n u v a ɲ ɛ
пуч	p u t͡ʃ
пучист	p u t͡ʃ i s t
пучисти	p u t͡ʃ i s t i
пушална	p u ʃ a ɫ n a
пушам	p u ʃ a m
пушат	p u ʃ a t
пушач	p u ʃ a t͡ʃ
пушачи	p u ʃ a t͡ʃ i
пушачиште	p u ʃ a t͡ʃ i ʃ t ɛ
пушачка	p u ʃ a t͡ʃ k a
пушачки	p u ʃ a t͡ʃ k i
пушачко	p u ʃ a t͡ʃ k ɔ
пушеа	p u ʃ ɛ a
пушев	p u ʃ ɛ f
пушевме	p u ʃ ɛ v m ɛ
пушевте	p u ʃ ɛ f t ɛ
пушел	p u ʃ ɛ ɫ
пушела	p u ʃ ɛ ɫ a
пушеле	p u ʃ ɛ l ɛ
пушело	p u ʃ ɛ ɫ ɔ
пушете	p u ʃ ɛ t ɛ
пушеше	p u ʃ ɛ ʃ ɛ
пушење	p u ʃ ɛ ɲ ɛ
пуши	p u ʃ i
пушилница	p u ʃ i ɫ n i t͡s a
пушиме	p u ʃ i m ɛ
пушите	p u ʃ i t ɛ
пушиш	p u ʃ i ʃ
пушка	p u ʃ k a
пушкар	p u ʃ k a r
пушкари	p u ʃ k a ɾ i
пушки	p u ʃ k i
пушкиче	p u ʃ k i t͡ʃ ɛ
пушкиште	p u ʃ k i ʃ t ɛ
пушта	p u ʃ t a
пуштан	p u ʃ t a n
пуштање	p u ʃ t a ɲ ɛ
пуштен	p u ʃ t ɛ n
пушти	p u ʃ t i
пуј	p u j
пуј	p uː j
пци	p t͡s i
пцовиса	p t͡s ɔ v i s a
пцовисан	p t͡s ɔ v i s a n
пцовисува	p t͡s ɔ v i s u v a
пцовисување	p t͡s ɔ v i s u v a ɲ ɛ
пцовка	p t͡s ɔ f k a
пцовки	p t͡s ɔ f k i
пцост	p t͡s ɔ s t
пцости	p t͡s ɔ s t i
пцуе	p t͡s u ɛ
пцуен	p t͡s u ɛ n
пцуење	p t͡s u ɛ ɲ ɛ
пчела	p t͡ʃ ɛ ɫ a
пчелар	p t͡ʃ ɛ ɫ a r
пчеларка	p t͡ʃ ɛ ɫ a r k a
пчеларник	p t͡ʃ ɛ ɫ a r n i k
пчеларски	p t͡ʃ ɛ ɫ a r s k i
пчеларство	p t͡ʃ ɛ ɫ a r s t v ɔ
пчели	p t͡ʃ ɛ l i
пчелин	p t͡ʃ ɛ l i n
пчеличка	p t͡ʃ ɛ l i t͡ʃ k a
пчелиште	p t͡ʃ ɛ l i ʃ t ɛ
пченица	p t͡ʃ ɛ n i t͡s a
пченичен	p t͡ʃ ɛ n i t͡ʃ ɛ n
пченка	p t͡ʃ ɛ ŋ k a
пченкарен	p t͡ʃ ɛ ŋ k a ɾ ɛ n
пченкарник	p t͡ʃ ɛ ŋ k a r n i k
пченкарници	p t͡ʃ ɛ ŋ k a r n i t͡s i
пченче	p t͡ʃ ɛ n t͡ʃ ɛ
пчошки	p t͡ʃ ɔ ʃ k i
пјонгјангшки	p j ɔ ŋ ɡ j a ŋ k ʃ k i
пјонгјанжанец	p j ɔ ŋ ɡ j a n ʒ a n ɛ t͡s
пјонгјанжанка	p j ɔ ŋ ɡ j a n ʒ a ŋ k a
пљампа	p ʎ a m p a
пљампање	p ʎ a m p a ɲ ɛ
пљачка	p ʎ a t͡ʃ k a
пљачкан	p ʎ a t͡ʃ k a n
пљачкаш	p ʎ a t͡ʃ k a ʃ
пљачкање	p ʎ a t͡ʃ k a ɲ ɛ
пљачки	p ʎ a t͡ʃ k i
пљачкоса	p ʎ a t͡ʃ k ɔ s a
пљачкосан	p ʎ a t͡ʃ k ɔ s a n
пљачкосува	p ʎ a t͡ʃ k ɔ s u v a
пљачкосуван	p ʎ a t͡ʃ k ɔ s u v a n
пљачкосување	p ʎ a t͡ʃ k ɔ s u v a ɲ ɛ
пљука	p ʎ u k a
пљукање	p ʎ u k a ɲ ɛ
р	r̩
раат	r a a t
раат	r aː t
раб	r a p
рабат	r a b a t
рабатски	r a b a t s k i
рабаќанец	r a b a c a n ɛ t͡s
рабаќани	r a b a c a n i
рабаќанка	r a b a c a ŋ k a
рабен	r a b ɛ n
рабење	r a b ɛ ɲ ɛ
раби	r a b i
рабин	r a b i n
рабник	r a b n i k
рабници	r a b n i t͡s i
рабови	r a b ɔ v i
раболепен	r a b ɔ l ɛ p ɛ n
раболепие	r a b ɔ l ɛ p i j ɛ
раболепно	r a b ɔ l ɛ p n ɔ
работа	r a b ɔ t a
работеа	r a b ɔ t ɛ a
работел	r a b ɔ t ɛ ɫ
работела	r a b ɔ t ɛ ɫ a
работеле	r a b ɔ t ɛ l ɛ
работело	r a b ɔ t ɛ ɫ ɔ
работен	r a b ɔ t ɛ n
работење	r a b ɔ t ɛ ɲ ɛ
работи	r a b ɔ t i
работилница	r a b ɔ t i ɫ n i t͡s a
работилници	r a b ɔ t i ɫ n i t͡s i
работиште	r a b ɔ t i ʃ t ɛ
работлив	r a b ɔ t l i f
работливо	r a b ɔ t l i v ɔ
работливост	r a b ɔ t l i v ɔ s t
работна	r a b ɔ t n a
работник	r a b ɔ t n i k
работници	r a b ɔ t n i t͡s i
работничка	r a b ɔ t n i t͡ʃ k a
работнички	r a b ɔ t n i t͡ʃ k i
работодавец	r a b ɔ t ɔ d a v ɛ t͡s
работодавци	r a b ɔ t ɔ d a f t͡s i
работозависник	r a b ɔ t ɔ z a v i s n i k
работозависност	r a b ɔ t ɔ z a v i s n ɔ s t
