'ntós	n t o s
miyyor	m i kʲ o ɾ
miániques	m j a n i k e s
mocedá	m o θ e d a
moceru	m o θ e ɾ u
moces	m o θ e s
mochila	m o t͡ʃ i l a
mocu	m o k u
modernizáu	m o d e ɾ n i θ a u̯
moderáu	m o d e ɾ a u̯
modifica	m o d i f i k a
modificada	m o d i f i k a d a
modificáu	m o d i f i k a u̯
molineru	m o l i n e ɾ u
mollete	m o ʎ e t e
Mombuéi	m o m b w e i̯
momentos	m o m e n t o s
momentu	m o m e n t u
momia	m o m j a
Mon	m o n
mondongu	m o n d o n ɡ u
moneda	m o n e d a
monesteriu	m o n e s t e ɾ j u
mongolu	m o n ɡ o l u
monis	m o n i s
monopolizáu	m o n o p o l i θ a u̯
monoteísmu	m o n o t e i s m u
Monse	m o n s e
monta	m o n t a
monte	m o n t e
Montenegru	m o n t e n e ɡ ɾ u
montés	m o n t e s
monxa	m o n ʃ a
monxu	m o n ʃ u
monárquicu	m o n a ɾ k i k u
Morcín	m o ɾ θ i n
mortal	m o ɾ t a l
mortera	m o ɾ t e ɾ a
mortizu	m o ɾ t i θ u
mortífero	m o ɾ t i f e ɾ o
morúa	m o ɾ u a
mosquitu	m o s k i t u
motocicleta	m o t o θ i k l e t a
moventible	m o b e n t i b l e
movilizada	m o b i l i θ a d a
movilizáu	m o b i l i θ a u̯
movimientos	m o b i m j e n t o s
movimientu	m o b i m j e n t u
moyar	m o ʝ a ɾ
moza	m o θ a
mozacu	m o θ a k u
mozo	m o θ o
mozos	m o θ o s
mozu	m o θ u
moñar	m o ɲ a ɾ
moñeca	m o ɲ e k a
mucher	m u t͡ʃ e ɾ
mudar	m u d a ɾ
mudu	m u d u
muegu	m w e ɡ u
muela	m w e l a
muerte	m w e ɾ t e
muerto	m w e ɾ t o
muertu	m w e ɾ t u
mueyu	m w e ʝ u
multiplicáu	m u l t i p l i k a u̯
Mundo	m u n d o
mundu	m u n d u
mur	m u ɾ
murador	m u ɾ a d o ɾ
muralla	m u ɾ a ʎ a
murniu	m u ɾ n j u
Muros	m u ɾ o s
mus	m u s
museos	m u s e o s
musulmano	m u s u l m a n o
musulmán	m u s u l m a n
muséu	m u s e u̯
mutiláu	m u t i l a u̯
muxín	m u ʃ i n
muyer	m u ʝ e ɾ
muyereru	m u ʝ e ɾ e ɾ u
muyeriegu	m u ʝ e ɾ j e ɡ u
muyerín	m u ʝ e ɾ i n
muyeríu	m u ʝ e ɾ i u
muyier	m u ʝ j e ɾ
muyyer	m u kʲ e ɾ
muñir	m u ɲ i ɾ
máquina	m a k i n a
médica	m e d i k a
médicos	m e d i k o s
médicu	m e d i k u
médiques	m e d i k e s
mélicu	m e l i k u
mísere	m i s e ɾ e
míu	m i u
mócaru	m o k a ɾ u
música	m u s i k a
nabu	n a b u
nacimientos	n a θ i m j e n t o s
nacimientu	n a θ i m j e n t u
nacional	n a θ j o n a l
nacionalidá	n a θ j o n a l i d a
nacionalismu	n a θ j o n a l i s m u
nacionalistes	n a θ j o n a l i s t e s
nacionalizáu	n a θ j o n a l i θ a u̯
nación	n a θ j o n
nacíu	n a θ i u
nadar	n a d a ɾ
nadar	ɲ a d a ɾ
Nadaya	n a d a ʝ a
nade	n a d e
nade	ɲ a d e
nades	n a d e s
nades	ɲ a d e s
nalga	n a l ɡ a
nalgazu	n a l ɡ a θ u
namás	n a m a s
nana	n a n a
nanes	n a n e s
nano	n a n o
nanos	n a n o s
nanu	n a n u
Nardo	n a ɾ d o
nariz	n a ɾ i θ
nasal	n a s a l
nasales	n a s a l e s
nata	n a t a
natural	n a t u ɾ a l
naturaleza	n a t u ɾ a l e θ a
Nava	n a b a
Navarra	n a b a r a
nave	n a b e
navegador	n a b e ɡ a d o ɾ
navegáu	n a b e ɡ a u̯
Navia	n a b j a
neciu	n e θ j u
Nedi	n e d i
negociable	n e ɡ o θ j a b l e
negociar	n e ɡ o θ j a ɾ
negociáu	n e ɡ o θ j a u̯
negro	n e ɡ ɾ o
negru	n e ɡ ɾ u
negáu	n e ɡ a u̯
Nel	n e l
Nela	n e l a
nengunu	n e n ɡ u n u
nengún	n e n ɡ u n
nerbata	n e ɾ b a t a
nestonces	n e s t o n θ e s
nestoncias	n e s t o n θ j a s
nestóncianas	n e s t o n θ j a n a s
nestós	n e s t o s
netu	n e t u
neutralizáu	n e u̯ t ɾ a l i θ a u̯
nevada	n e b a d a
neón	n e o n
nieru	n j e ɾ u
nieta	n j e t a
nietes	n j e t e s
nietos	n j e t o s
nietu	n j e t u
nieve	n j e b e
nihilismu	n i i l i s m u
nin	n i n
nitróxenu	n i t ɾ o ʃ e n u
nivel	n i b e l
nocéu	n o θ e u̯
nogal	n o ɡ a l
nombro	n o m b ɾ o
nome	n o m e
Noreña	n o ɾ e ɲ a
norma	n o ɾ m a
normalidá	n o ɾ m a l i d a
normalizáu	n o ɾ m a l i θ a u̯
normalmente	n o ɾ m a l m e n t e
normes	n o ɾ m e s
norte	n o ɾ t e
nosotros	n o s o t ɾ o s
novedá	n o b e d a
noventa	n o b e n t a
noviembre	n o b j e m b ɾ e
noviu	n o b j u
ntós	n t o s
nube	n u b e
Nuberu	n u b e ɾ u
nueche	n w e t͡ʃ e
nueite	n w e i̯ t e
nueva	n w e b a
nueve	n w e b e
nueves	n w e b e s
nuevo	n w e b o
nuevos	n w e b o s
nuevu	n w e b u
nuistru	n w i s t ɾ u
nun	n u n
nunca	n u n k a
náyade	n a ʝ a d e
níquel	n i k e l
níu	n i u
númaru	n u m a ɾ u
númbero	n u m b e ɾ o
númberu	n u m b e ɾ u
númiru	n u m i ɾ u
o	o
obediencia	o b e d j e n θ j a
obleru	o b l e ɾ u
obligáu	o b l i ɡ a u̯
obrera	o b ɾ e ɾ a
obreres	o b ɾ e ɾ e s
obrero	o b ɾ e ɾ o
obreros	o b ɾ e ɾ o s
obreru	o b ɾ e ɾ u
observas	o b s e ɾ b a s
observáu	o b s e ɾ b a u̯
oca	o k a
occitanu	o k θ i t a n u
ocho	o t͡ʃ o
ochobre	o t͡ʃ o b ɾ e
ocla	o k l a
octava	o k t a b a
octavu	o k t a b u
ocupada	o k u p a d a
ocupáu	o k u p a u̯
ocurrida	o k u r i d a
ocurríu	o k u r i u
oeste	o e s t e
ofensible	o f e n s i b l e
oficializáu	o f i θ j a l i θ a u̯
ogru	o ɡ ɾ u
oi	o i̯
Olay	o l a i̯
Olaya	o l a ʝ a
oligárquico	o l i ɡ a ɾ k i k o
omitida	o m i t i d a
omitíu	o m i t i u
once	o n θ e
oncolóxico	o n k o l o ʃ i k o
onda	o n d a
ondulina	o n d u l i n a
Onís	o n i s
opción	o p θ j o n
operada	o p e ɾ a d a
operáu	o p e ɾ a u̯
opinión	o p i n j o n
oponer	o p o n e ɾ
oportunidá	o p o ɾ t u n i d a
oprimida	o p ɾ i m i d a
oprimíu	o p ɾ i m i u
optimismu	o p t i m i s m u
optáu	o p t a u̯
opuesta	o p w e s t a
opuestes	o p w e s t e s
opuesto	o p w e s t o
opuestos	o p w e s t o s
opuestu	o p w e s t u
ora	o ɾ a
orde	o ɾ d e
ordenador	o ɾ d e n a d o ɾ
orellar	o ɾ e ʎ a ɾ
oreya	o ɾ e ʝ a
organiza	o ɾ ɡ a n i θ a
organizar	o ɾ ɡ a n i θ a ɾ
organizas	o ɾ ɡ a n i θ a s
organizo	o ɾ ɡ a n i θ o
organizáu	o ɾ ɡ a n i θ a u̯
orgasmu	o ɾ ɡ a s m u
orientáu	o ɾ j e n t a u̯
orixe	o ɾ i ʃ e
orixináu	o ɾ i ʃ i n a u̯
orquestáu	o ɾ k e s t a u̯
ortográfica	o ɾ t o ɡ ɾ a f i k a
ortográficos	o ɾ t o ɡ ɾ a f i k o s
ortográficu	o ɾ t o ɡ ɾ a f i k u
oru	o ɾ u
osu	o s u
otoñu	o t o ɲ u
otru	o t ɾ u
ou	o u̯
oveya	o b e ʝ a
oyible	o ʝ i b l e
pacetible	p a θ e t i b l e
pacible	p a θ i b l e
paciencia	p a θ j e n θ j a
paciente	p a θ j e n t e
pacientes	p a θ j e n t e s
pacificáu	p a θ i f i k a u̯
pacifismu	p a θ i f i s m u
pactos	p a k t o s
pactu	p a k t u
padre	p a d ɾ e
padrinos	p a d ɾ i n o s
padrín	p a d ɾ i n
paeme	p a e m e
pagando	p a ɡ a n d o
pagar	p a ɡ a ɾ
pagaré	p a ɡ a ɾ e
pagoda	p a ɡ o d a
pagu	p a ɡ u
paime	p a i̯ m e
paisaxe	p a i̯ s a ʃ e
palaciu	p a l a θ j u
palancana	p a l a n k a n a
Palestina	p a l e s t i n a
paletu	p a l e t u
pallabra	p a ʎ a b ɾ a
palluezu	p a ʎ w e θ u
palma	p a l m a
palmera	p a l m e ɾ a
palomba	p a l o m b a
palombar	p a l o m b a ɾ
pame	p a m e
Panamá	p a n a m a
pande	p a n d e
pandemia	p a n d e m j a
panible	p a n i b l e
panocha	p a n o t͡ʃ a
panoya	p a n o ʝ a
pantasma	p a n t a s m a
pantufla	p a n t u f l a
papiellu	p a p j e ʎ u
papola	p a p o l a
Paraguái	p a ɾ a ɡ w a i̯
paraxismu	p a ɾ a ʃ i s m u
parcialmente	p a ɾ θ j a l m e n t e
pardal	p a ɾ d a l
parede	p a ɾ e d e
pareme	p a ɾ e m e
pariente	p a ɾ j e n t e
parlamentos	p a ɾ l a m e n t o s
parllamentos	p a ɾ ʎ a m e n t o s
parllamentu	p a ɾ ʎ a m e n t u
parllar	p a ɾ ʎ a ɾ
parllotar	p a ɾ ʎ o t a ɾ
parola	p a ɾ o l a
parolar	p a ɾ o l a ɾ
Parres	p a r e s
parrocha	p a r o t͡ʃ a
parroquia	p a r o k j a
participar	p a ɾ t i θ i p a ɾ
participáu	p a ɾ t i θ i p a u̯
partida	p a ɾ t i d a
partir	p a ɾ t i ɾ
partícula	p a ɾ t i k u l a
partíu	p a ɾ t i u
parva	p a ɾ b a
París	p a ɾ i s
pataca	p a t a k a
patialbu	p a t j a l b u
patriotismu	p a t ɾ j o t i s m u
paula	p a u̯ l a
paxareiru	p a ʃ a ɾ e i̯ ɾ u
paxareru	p a ʃ a ɾ e ɾ u
paxarina	p a ʃ a ɾ i n a
paya	p a ʝ a
payar	p a ʝ a ɾ
payares	p a ʝ a ɾ e s
paz	p a θ
paéme	p a e m e
paémeque	p a e m e k e
pañadizu	p a ɲ a d i θ u
pañador	p a ɲ a d o ɾ
pañal	p a ɲ a l
paḷḷuezu	p a t͡ʂ w e θ u
pecáu	p e k a u̯
pedazu	p e d a θ u
pedraz	p e d ɾ a θ
pedrisca	p e d ɾ i s k a
pega	p e ɡ a
pegasu	p e ɡ a s u
peime	p e i̯ m e
peliar	p e l j a ɾ
peligrosa	p e l i ɡ ɾ o s a
peligroso	p e l i ɡ ɾ o s o
peligrosos	p e l i ɡ ɾ o s o s
pelleyos	p e ʎ e ʝ o s
pelleyu	p e ʎ e ʝ u
peme	p e m e
penada	p e n a d a
pencu	p e n k u
pendayuri	p e n d a ʝ u ɾ i
pende	p e n d e
pendebaxo	p e n d e b a ʃ o
penderriba	p e n d e r i b a
pendiente	p e n d j e n t e
pendientes	p e n d j e n t e s
pensatible	p e n s a t i b l e
peor	p e o ɾ
peor	p j o ɾ
peor	p i o ɾ
pequeñu	p e k e ɲ u
pequeñín	p e k e ɲ i n
pequí	p e k i
pera	p e ɾ a
percibíu	p e ɾ θ i b i u
pericote	p e ɾ i k o t e
periodista	p e ɾ j o d i s t a
perllesía	p e ɾ ʎ e s i a
permitida	p e ɾ m i t i d a
permitíu	p e ɾ m i t i u
pernil	p e ɾ n i l
pero	p e ɾ o
perpetráu	p e ɾ p e t ɾ a u̯
perriellu	p e r j e ʎ u
perru	p e r u
persistida	p e ɾ s i s t i d a
persistíu	p e ɾ s i s t i u
personalizáu	p e ɾ s o n a l i θ a u̯
personax	p e ɾ s o n a ʃ
personaxe	p e ɾ s o n a ʃ e
personificáu	p e ɾ s o n i f i k a u̯
pervertíu	p e ɾ b e ɾ t i u
pes	p e s
pescadería	p e s k a d e ɾ i a
pescanciar	p e s k a n θ j a ɾ
pescar	p e s k a ɾ
pescuezu	p e s k w e θ u
peseta	p e s e t a
pesimismu	p e s i m i s m u
pesllar	p e s ʎ a ɾ
petar	p e t a ɾ
petrificáu	p e t ɾ i f i k a u̯
pexe	p e ʃ e
pexes	p e ʃ e s
peyor	p e ʝ o ɾ
pezuña	p e θ u ɲ a
Pezós	p e θ o s
peón	p e o n
picapodre	p i k a p o d ɾ e
picar	p i k a ɾ
pichete	p i t͡ʃ e t e
pictóricu	p i k t o ɾ i k u
pie	p j e
piedra	p j e d ɾ a
piel	p j e l
pies	p j e s
piescu	p j e s k u
piesllu	p j e s ʎ u
pieza	p j e θ a
pigazosu	p i ɡ a θ o s u
pigañón	p i ɡ a ɲ o n
Piloña	p i l o ɲ a
pilón	p i l o n
pimplar	p i m p l a ɾ
pimplón	p i m p l o n
pingar	p i n ɡ a ɾ
pingüín	p i n ɡ w i n
pintar	p i n t a ɾ
pintureru	p i n t u ɾ e ɾ u
pinu	p i n u
pior	p j o ɾ
pior	p i o ɾ
pioyu	p j o ʝ u
pipa	p i p a
piquiñín	p i k i ɲ i n
pirata	p i ɾ a t a
piraña	p i ɾ a ɲ a
pirámide	p i ɾ a m i d e
pistaña	p i s t a ɲ a
pitina	p i t i n a
pitisú	p i t i s u
Pitágoras	p i t a ɡ o ɾ a s
pitín	p i t i n
pixa	p i ʃ a
pixuatu	p i ʃ w a t u
pixuetu	p i ʃ w e t u
piyar	p i ʝ a ɾ
piyor	p i ʝ o ɾ
pizarra	p i θ a r a
piḥu	p i h u
plan	p l a n
planeta	p l a n e t a
planta	p l a n t a
planu	p l a n u
plata	p l a t a
platicar	p l a t i k a ɾ
playa	p l a ʝ a
playeru	p l a ʝ e ɾ u
playes	p l a ʝ e s
playu	p l a ʝ u
plaza	p l a θ a
pluma	p l u m a
Plutarcu	p l u t a ɾ k u
pláganu	p l a ɡ a n u
Pléyades	p l e ʝ a d e s
poblaciones	p o b l a θ j o n e s
población	p o b l a θ j o n
podida	p o d i d a
podiu	p o d j u
podre	p o d ɾ e
podredume	p o d ɾ e d u m e
podricu	p o d ɾ i k u
podrén	p o d ɾ e n
podíu	p o d i u
poema	p o e m a
poesía	p o e s i a
poeta	p o e t a
polarizáu	p o l a ɾ i θ a u̯
pollín	p o ʎ i n
polmón	p o l m o n
Polonia	p o l o n j a
política	p o l i t i k a
políticamente	p o l i t i k a m e n t e
pomar	p o m a ɾ
pomarada	p o m a ɾ a d a
ponderatible	p o n d e ɾ a t i b l e
poner	p o n e ɾ
Ponga	p o n ɡ a
ponte	p o n t e
popa	p o p a
popularizáu	p o p u l a ɾ i θ a u̯
porción	p o ɾ θ j o n
porcozón	p o ɾ k o θ o n
porgüeyu	p o ɾ ɡ w e ʝ u
pornografía	p o ɾ n o ɡ ɾ a f i a
pornográfica	p o ɾ n o ɡ ɾ a f i k a
pornográfico	p o ɾ n o ɡ ɾ a f i k o
pornográficos	p o ɾ n o ɡ ɾ a f i k o s
pornográficu	p o ɾ n o ɡ ɾ a f i k u
porque	p o ɾ k e
porreteru	p o r e t e ɾ u
porta	p o ɾ t a
portada	p o ɾ t a d a
portalada	p o ɾ t a l a d a
portar	p o ɾ t a ɾ
portiar	p o ɾ t j a ɾ
portiella	p o ɾ t j e ʎ a
portuguesa	p o ɾ t u ɡ e s a
portugués	p o ɾ t u ɡ e s
portáu	p o ɾ t a u̯
pos	p o s
posa	p o s a
posar	p o s a ɾ
posguerra	p o s ɡ e r a
pospuesta	p o s p w e s t a
pospuestes	p o s p w e s t e s
pospuesto	p o s p w e s t o
pospuestos	p o s p w e s t o s
pospuestu	p o s p w e s t u
pota	p o t a
potable	p o t a b l e
pousar	p o u̯ s a ɾ
povisa	p o b i s a
Pravia	p ɾ a b j a
prebar	p ɾ e b a ɾ
precedente	p ɾ e θ e d e n t e
predicha	p ɾ e d i t͡ʃ a
prediches	p ɾ e d i t͡ʃ e s
predicho	p ɾ e d i t͡ʃ o
predichos	p ɾ e d i t͡ʃ o s
predichu	p ɾ e d i t͡ʃ u
preferida	p ɾ e f e ɾ i d a
preferíu	p ɾ e f e ɾ i u
pregunta	p ɾ e ɡ u n t a
preguntar	p ɾ e ɡ u n t a ɾ
prendíu	p ɾ e n d i u
prescrito	p ɾ e s k ɾ i t o
prescritu	p ɾ e s k ɾ i t u
presea	p ɾ e s e a
presees	p ɾ e s e e s
presentar	p ɾ e s e n t a ɾ
presentimientu	p ɾ e s e n t i m j e n t u
presidente	p ɾ e s i d e n t e
presidentes	p ɾ e s i d e n t e s
presión	p ɾ e s j o n
prestar	p ɾ e s t a ɾ
preste	p ɾ e s t e
prestixu	p ɾ e s t i ʃ u
prestíu	p ɾ e s t i u
preséu	p ɾ e s e u̯
preveníu	p ɾ e b e n i u
preñada	p ɾ e ɲ a d a
prima	p ɾ i m a
primavera	p ɾ i m a b e ɾ a
primes	p ɾ i m e s
primos	p ɾ i m o s
primu	p ɾ i m u
primíu	p ɾ i m i u
principiu	p ɾ i n θ i p j u
principáu	p ɾ i n θ i p a u̯
Principáu	p ɾ i n θ i p a u̯
prisión	p ɾ i s j o n
Proaza	p ɾ o a θ a
probar	p ɾ o b a ɾ
probe	p ɾ o b e
probeza	p ɾ o b e θ a
probitú	p ɾ o b i t u
problema	p ɾ o b l e m a
procedáis	p ɾ o θ e d a i̯ s
procedéis	p ɾ o θ e d e i̯ s
procedía	p ɾ o θ e d i a
procedíu	p ɾ o θ e d i u
proclamáu	p ɾ o k l a m a u̯
producida	p ɾ o d u θ i d a
producir	p ɾ o d u θ i ɾ
productible	p ɾ o d u t i b l e
producíu	p ɾ o d u θ i u
profesión	p ɾ o f e s j o n
profesor	p ɾ o f e s o ɾ
profeta	p ɾ o f e t a
programa	p ɾ o ɡ ɾ a m a
progresivo	p ɾ o ɡ ɾ e s i b o
progresivu	p ɾ o ɡ ɾ e s i b u
prohibida	p ɾ o i b i d a
prohibíu	p ɾ o i b i u
promesa	p ɾ o m e s a
pronome	p ɾ o n o m e
pronto	p ɾ o n t o
pronunciáu	p ɾ o n u n θ j a u̯
proporción	p ɾ o p o ɾ θ j o n
propuesta	p ɾ o p w e s t a
propuestes	p ɾ o p w e s t e s
propuesto	p ɾ o p w e s t o
propuestos	p ɾ o p w e s t o s
propuestu	p ɾ o p w e s t u
protexíu	p ɾ o t e ʃ i u
proverbiu	p ɾ o b e ɾ b j u
provincia	p ɾ o b i n θ j a
provincies	p ɾ o b i n θ j e s
provocatible	p ɾ o b o k a t i b l e
provocáu	p ɾ o b o k a u̯
prudente	p ɾ u d e n t e
prudentes	p ɾ u d e n t e s
prueba	p ɾ w e b a
práuticamente	p ɾ a u̯ t i k a m e n t e
próximo	p ɾ o k s i m o
próximu	p ɾ o ʃ i m u
psiquiátrico	s i k j a t ɾ i k o
puarta	p w a ɾ t a
pueblu	p w e b l u
puente	p w e n t e
puercu	p w e ɾ k u
puerta	p w e ɾ t a
puerte	p w e ɾ t e
puerto	p w e ɾ t o
puertu	p w e ɾ t u
pues	p w e s
puesta	p w e s t a
puestes	p w e s t e s
puesto	p w e s t o
puestos	p w e s t o s
puestu	p w e s t u
pufista	p u f i s t a
pufu	p u f u
pulgar	p u l ɡ a ɾ
pulientes	p u l j e n t e s
pulsera	p u l s e ɾ a
pumar	p u m a ɾ
pumarada	p u m a ɾ a d a
Pumarín	p u m a ɾ i n
puntu	p u n t u
puorta	p w o ɾ t a
puorto	p w o ɾ t o
pura	p u ɾ a
pures	p u ɾ e s
pureza	p u ɾ e θ a
purifica	p u ɾ i f i k a
purificáu	p u ɾ i f i k a u̯
puro	p u ɾ o
puru	p u ɾ u
pus	p u s
puta	p u t a
putes	p u t e s
puya	p u ʝ a
puörte	p w ø ɾ t e
puös	p w ø s
páemeque	p a e m e k e
páimeque	p a i̯ m e k e
pámique	p a m i k e
párpagu	p a ɾ p a ɡ u
páxaru	p a ʃ a ɾ u
páxina	p a ʃ i n a
pémeque	p e m e k e
pémique	p e m i k e
péritu	p e ɾ i t u
pésimu	p e s i m u
pía	p i a
pïor	p i o ɾ
pólvora	p o l b o ɾ a
públicu	p u b l i k u
que	k e
querer	k e ɾ e ɾ
querida	k e ɾ i d a
queríes	k e ɾ i e s
queríos	k e ɾ i o s
queríu	k e ɾ i u
quesu	k e s u
quesín	k e s i n
quexume	k e ʃ u m e
qui	k i
quimera	k i m e ɾ a
quinientos	k i n j e n t o s
quintetu	k i n t e t u
quirosanu	k i ɾ o s a n u
Quirós	k i ɾ o s
quiái	k j a i̯
químiques	k i m i k e s
rabalbu	r a b a l b u
rabiosu	r a b j o s u
rabu	r a b u
rabín	r a b i n
racionalizáu	r a θ j o n a l i θ a u̯
raigañu	r a i̯ ɡ a ɲ u
raitán	r a i̯ t a n
rala	r a l a
rambla	r a m b l a
rampla	r a m p l a
rancor	r a n k o ɾ
rapacín	r a p a θ i n
rapaz	r a p a θ
rapazacu	r a p a θ a k u
rapazayu	r a p a θ a ʝ u
rapazos	r a p a θ o s
rapazón	r a p a θ o n
ratón	r a t o n
raza	r a θ a
razonable	r a θ o n a b l e
razón	r a θ o n
raíces	r a i θ e s
raíz	r a i θ
rebelgos	r e b e l ɡ o s
rebelguinos	r e b e l ɡ i n o s
rebeyón	r e b e ʝ o n
recapituláu	r e k a p i t u l a u̯
recibir	r e θ i b i ɾ
recibíu	r e θ i b i u
reciella	r e θ j e ʎ a
recielles	r e θ j e ʎ e s
recitáu	r e θ i t a u̯
reclamáu	r e k l a m a u̯
recomendación	r e k o m e n d a θ j o n
recompuesta	r e k o m p w e s t a
recompuestes	r e k o m p w e s t e s
recompuesto	r e k o m p w e s t o
recompuestos	r e k o m p w e s t o s
recompuestu	r e k o m p w e s t u
reconocer	r e k o n o θ e ɾ
reconocíu	r e k o n o θ i u
recubiertes	r e k u b j e ɾ t e s
reducida	r e d u θ i d a
reducir	r e d u θ i ɾ
reducíu	r e d u θ i u
reduplicáu	r e d u p l i k a u̯
Refael	r e f a e l
referencia	r e f e ɾ e n θ j a
referencies	r e f e ɾ e n θ j e s
referida	r e f e ɾ i d a
referíu	r e f e ɾ i u
refocil	r e f o θ i l
regantible	r e ɡ a n t i b l e
regatu	r e ɡ a t u
regresos	r e ɡ ɾ e s o s
regueifa	r e ɡ e i̯ f a
regular	r e ɡ u l a ɾ
reguláu	r e ɡ u l a u̯
rei	r e i̯
reimprimíu	r e i̯ m p ɾ i m i u
reinos	r e i̯ n o s
reinu	r e i̯ n u
rellacionar	r e ʎ a θ j o n a ɾ
rellación	r e ʎ a θ j o n
rellampu	r e ʎ a m p u
rellumante	r e ʎ u m a n t e
rellumu	r e ʎ u m u
rellámpagu	r e ʎ a m p a ɡ u
remedia	r e m e d j a
remediar	r e m e d j a ɾ
remedio	r e m e d j o
remitida	r e m i t i d a
remitíu	r e m i t i u
renacimientos	r e n a θ i m j e n t o s
renacimientu	r e n a θ i m j e n t u
renacíu	r e n a θ i u
renováu	r e n o b a u̯
renra	r e n r a
reparatible	r e p a ɾ a t i b l e
repercutíu	r e p e ɾ k u t i u
reposaremos	r e p o s a ɾ e m o s
reposáremos	r e p o s a ɾ e m o s
represa	r e p ɾ e s a
represes	r e p ɾ e s e s
represión	r e p ɾ e s j o n
reprimida	r e p ɾ i m i d a
reprimíu	r e p ɾ i m i u
reproducida	r e p ɾ o d u θ i d a
reproducíu	r e p ɾ o d u θ i u
repuesta	r e p w e s t a
repuestes	r e p w e s t e s
repuesto	r e p w e s t o
repuestos	r e p w e s t o s
repuestu	r e p w e s t u
repunante	r e p u n a n t e
requerida	r e k e ɾ i d a
requeríu	r e k e ɾ i u
requexu	r e k e ʃ u
rescamplante	r e s k a m p l a n t e
rescamplu	r e s k a m p l u
rescamplíu	r e s k a m p l i u
reserváu	r e s e ɾ b a u̯
resistida	r e s i s t i d a
resistíu	r e s i s t i u
respetible	r e s p e t i b l e
respeutive	r e s p e u̯ t i b e
respondíu	r e s p o n d i u
restallón	r e s t a ʎ o n
restauráu	r e s t a u̯ ɾ a u̯
restolador	r e s t o l a d o ɾ
restolar	r e s t o l a ɾ
restorante	r e s t o ɾ a n t e
restrinxida	r e s t ɾ i n ʃ i d a
restrinxir	r e s t ɾ i n ʃ i ɾ
restrinxíu	r e s t ɾ i n ʃ i u
resuelta	r e s w e l t a
resueltes	r e s w e l t e s
resuelto	r e s w e l t o
resueltos	r e s w e l t o s
resueltu	r e s w e l t u
resultada	r e s u l t a d a
resultaes	r e s u l t a e s
resultao	r e s u l t a o
resultaos	r e s u l t a o s
resultar	r e s u l t a ɾ
resultáu	r e s u l t a u̯
reta	r e t a
retan	r e t a n
retar	r e t a ɾ
retenida	r e t e n i d a
reteníes	r e t e n i e s
reteníu	r e t e n i u
retratu	r e t ɾ a t u
retrayida	r e t ɾ a ʝ i d a
retrayíes	r e t ɾ a ʝ i e s
retrayío	r e t ɾ a ʝ i o
retrayíos	r e t ɾ a ʝ i o s
retrayíu	r e t ɾ a ʝ i u
retrañir	r e t ɾ a ɲ i ɾ
retrete	r e t ɾ e t e
retrucar	r e t ɾ u k a ɾ
reunificáu	r e u̯ n i f i k a u̯
revertíu	r e b e ɾ t i u
revesosu	r e b e s o s u
revisáu	r e b i s a u̯
revolución	r e b o l u θ j o n
revueltu	r e b w e l t u
rial	r j a l
Ribadeva	r i b a d e b a
Ribedeva	r i b e d e b a
Ribesella	r i b e s e ʎ a
Ribeseya	r i b e s e ʝ a
riesgu	r j e s ɡ u
rinoceronte	r i n o θ e ɾ o n t e
Riosa	r i o s a
robando	r o b a n d o
roblar	r o b l a ɾ
roble	r o b l e
rocea	r o θ e a
roceanu	r o θ e a n u
Roces	r o θ e s
rodiya	r o d i ʝ a
roldar	r o l d a ɾ
romanizáu	r o m a n i θ a u̯
ronchel	r o n t͡ʃ e l
rosa	r o s a
rosca	r o s k a
roses	r o s e s
rostros	r o s t ɾ o s
rostru	r o s t ɾ u
roxo	r o ʃ o
roxu	r o ʃ u
roxura	r o ʃ u ɾ a
ruin	r w i n
ruines	r w i n e s
rula	r u l a
Rumanía	r u m a n i a
rural	r u ɾ a l
Rusia	r u s j a
rustidor	r u s t i d o ɾ
rustir	r u s t i ɾ
rusu	r u s u
ruto	r u t o
rábanos	r a b a n o s
réxime	r e ʃ i m e
ríu	r i u
ríxidu	r i ʃ i d u
sabelotoo	s a b e l o t o o
sabencia	s a b e n θ j a
saber	s a b e ɾ
sabichegu	s a b i t͡ʃ e ɡ u
sabicheru	s a b i t͡ʃ e ɾ u
sabida	s a b i d a
sable	s a b l e
saborgar	s a b o ɾ ɡ a ɾ
sabíu	s a b i u
sacaera	s a k a e ɾ a
sacaveira	s a k a b e i̯ ɾ a
sacavela	s a k a b e l a
sacavera	s a k a b e ɾ a
sacerdote	s a θ e ɾ d o t e
sacrificáu	s a k ɾ i f i k a u̯
sal	s a l
Salas	s a l a s
salida	s a l i d a
salinidá	s a l i n i d a
salir	s a l i ɾ
salmón	s a l m o n
salsu	s a l s u
saltadoriu	s a l t a d o ɾ j u
saltapraos	s a l t a p ɾ a o s
salvación	s a l b a θ j o n
salváu	s a l b a u̯
samartinos	s a m a ɾ t i n o s
samartín	s a m a ɾ t i n
samiguel	s a m i ɡ e l
sangre	s a n ɡ ɾ e
santamarina	s a n t a m a ɾ i n a
santificáu	s a n t i f i k a u̯
santinos	s a n t i n o s
santu	s a n t u
sapu	s a p u
Sariegu	s a ɾ j e ɡ u
sastre	s a s t ɾ e
satisfacer	s a t i s f a θ e ɾ
satisfecha	s a t i s f e t͡ʃ a
satisfeches	s a t i s f e t͡ʃ e s
satisfecho	s a t i s f e t͡ʃ o
satisfechos	s a t i s f e t͡ʃ o s
