ȁ	â
сљедећи	s ʎ ě d eː t͡ɕ iː
сљеме	s ʎ ê m e
сљепоочни	s ʎ e p ǒ o t͡ʃ n iː
сљепоочница	s ʎ e p o ǒ t͡ʃ n i t͡s a
сљубити	s ʎ ǔː b i t i
сљубљивати	s ʎ u b ʎ ǐː ʋ a t i
смагати	s m ǎː ɡ a t i
смазати	s m â z a t i
смакнути	s m ǎ k n u t i
смакнуће	s m a k n ǔː t͡ɕ e
смалаксати	s m a l ǎ k s a t i
смањивати	s m a ɲ ǐː ʋ a t i
смањити	s m ǎː ɲ i t i
смарагд	s m ǎ r a ɡ d
сматрати	s m ǎː t r a t i
смаћи	s m â t͡ɕ i
Смедерево	s m ê d e r e ʋ o
смеђ	s m ê d͡ʑ
смеђаст	s m ê d͡ʑ a s t
смежурати	s m e ʒ ǔ r a t i
смејати	s m ě j a t i
смена	s m ê n a
сменити	s m ěː n i t i
смењивати	s m e ɲ ǐː ʋ a t i
смео	s m ě o
смеон	s m ě o n
смеоно	s m ě o n o
смерати	s m ěː r a t i
смерница	s m ěː r n i t͡s a
смеса	s m ê s a
сместа	s m ê s t a
сместити	s m ê s t i t i
сметати	s m ěː t a t i
сметењак	s m e t ě ɲ aː k
смети	s m ê t i
сметња	s m ěː t ɲ a
смеће	s m ě t͡ɕ e
смешак	s m ěː ʃ a k
смешан	s m ěː ʃ a n
смешити	s m ěː ʃ i t i
смешно	s m ěː ʃ n o
смештај	s m ê ʃ t aː j
смештајни	s m ê ʃ t aː j n iː
смештати	s m ěː ʃ t a t i
смијати	s m ǐ j a t i
смијенити	s m j ěː n i t i
смијешак	s m j ěː ʃ a k
смијешан	s m j ěː ʃ a n
смијешити	s m j ěː ʃ i t i
смијешно	s m i j ěː ʃ n o
смиловати	s m î l o ʋ a t i
смио	s m ǐ o
смион	s m ǐ o n
смионо	s m ǐ o n o
смирак	s m ǐː r a k
смирен	s m îː r e n
смирено	s m îː r e n o
смиривати	s m i r ǐː ʋ a t i
смирити	s m ǐː r i t i
смирна	s m îː r n a
смисао	s m îː s a o
смислен	s m î s l e n
смислено	s m î s l e n o
смислити	s m î s l i t i
смицалица	s m î t͡s a l i t͡s a
смицати	s m î t͡s a t i
смишљати	s m ǐː ʃ ʎ a t i
смјелост	s m j ê l oː s t
смјена	s m j ê n a
смјењивати	s m j e ɲ ǐː ʋ a t i
смјерати	s m j ěː r a t i
смјерница	s m j ěː r n i t͡s a
смјеса	s m j ê s a
смјеста	s m j ê s t a
смјестити	s m j ê s t i t i
смјети	s m j ê t i
смјештај	s m j ê ʃ t aː j
смјештајни	s m j ê ʃ t aː j n iː
смјештати	s m j ěː ʃ t a t i
смог	s m ô ɡ
смогнути	s m ô ɡ n u t i
смоква	s m ô k ʋ a
смоквик	s m ǒ k ʋ iː k
смоквин	s m ô k ʋ i n
смокинг	s m ǒ k i n ɡ
смоков	s m ǒ k o ʋ
смотак	s m ô t a k
смотати	s m ǒ t a t i
смотрити	s m ǒ t r i t i
смотуљак	s m o t ǔː ʎ a k
смоћи	s m ô t͡ɕ i
смочити	s m ǒ t͡ʃ i t i
смочница	s m ǒ t͡ʃ n i t͡s a
смрад	s m r âː d
смрдети	s m ř d e t i
смрдити	s m ř d i t i
смрдљив	s m ř d ʎ i ʋ
смрека	s m r ê k a
смрзавати	s m r z ǎː ʋ a t i
смрзнути	s m r̂ z n u t i
смрзотина	s m ř z o t i n a
смрскавати	s m r s k ǎː ʋ a t i
смрскати	s m řː s k a t i
смрт	s m r̩ t
смртан	s m r̂ t a n
смртност	s m r̂ t n oː s t
смртоносан	s m r t ǒ n o s a n
смртоносно	s m r t ǒ n o s n o
смук	s m ûː k
снабдевати	s n a b d ěː ʋ a t i
снабдети	s n ǎ b d e t i
снабдијевати	s n a b d j ěː ʋ a t i
снабдјети	s n ǎ b d j e t i
снага	s n ǎː ɡ a
снагатор	s n ǎ ɡ aː t o r
снажан	s n ǎː ʒ a n
снажно	s n âː ʒ n o
снајперист	s n a j p ě r i s t
сналажљив	s n a l ǎ ʒ ʎ i ʋ
сналажљиво	s n a l ǎ ʒ ʎ i ʋ o
сналажљивост	s n a l ǎ ʒ ʎ i ʋ oː s t
сналазити	s n ǎ l a z i t i
снаћи	s n âː t͡ɕ i
снаха	s n ǎ x a
снаша	s n ǎː ʃ a
снебивати	s n e b ǐː ʋ a t i
снебити	s n ě b i t i
снег	s n êː ɡ
снеговит	s n e ɡ ǒ ʋ i t
снежан	s n ê ʒ a n
снежење	s n ěː ʒ eː ɲ e
снежити	s n ěː ʒ i t i
снен	s n ê n
снено	s n ê n o
снивати	s n ǐː ʋ a t i
снижавати	s n i ʒ ǎː ʋ a t i
снижење	s n i ʒ ěː ɲ e
снизивати	s n i z ǐː ʋ a t i
снизити	s n ǐː z i t i
снијег	s n j êː ɡ
снијежење	s n j ěː ʒ eː ɲ e
снијежити	s n j ěː ʒ i t i
снимак	s n î m a k
снимати	s n ǐː m a t i
снимити	s n ǐː m i t i
снимка	s n îː m k a
снисходљив	s n i s x ǒ d ʎ i ʋ
снисходљиво	s n i s x ǒ d ʎ i ʋ o
снифати	s n î f a t i
сноб	s n ô b
сноп	s n ô p
снопље	s n ô p ʎ e
сношај	s n ô ʃ aː j
сношљив	s n ǒ ʃ ʎ i ʋ
сношљиво	s n ǒ ʃ ʎ i ʋ o
снужден	s n û ʒ d e n
снуждено	s n û ʒ d e n o
сњеговит	s ɲ e ɡ ǒ ʋ i t
сњежан	s ɲ ê ʒ a n
сњежник	s ɲ ê ʒ n iː k
со	s ôː
соб	s ô b
собица	s ô b i t͡s a
собом	s ô b oː m
сова	s ǒː ʋ a
совјетски	s ǒ ʋ j e t s k iː
сода	s ǒː d a
содомизирати	s o d o m i z ǐː r a t i
содомија	s o d ǒ m i j a
сој	s ô j
соја	s ǒː j a
сојка	s ôː j k a
сок	s ôː k
сокак	s ǒ k aː k
сокл	s ǒ k l
сокна	s ǒ k n a
соко	s ô k o
сокол	s ô k o l
Соколац	s o k ǒ l a t͡s
соколити	s o k ǒ l i t i
сол	s ôː l
солватација	s o l ʋ a t ǎː t͡s i j a
солидан	s ô l iː d a n
солидаран	s ô l i d aː r a n
солидарно	s ô l i d aː r n o
солидарност	s o l i d ǎː r n oː s t
солити	s ǒ l i t i
Солун	s ǒ l uː n
сом	s ô m
Сомалија	s ǒ m aː l i j a
соман	s ǒ m a n
Сомбор	s ôː m b o r
сомерица	s ô m e r i t͡s a
сомнамбул	s o m n ǎ m b u l
сомун	s ǒ m uː n
сонар	s ǒ n aː r
сонатина	s o n a t ǐː n a
сонет	s ǒ n eː t
соноризација	s o n o r i z ǎː t͡s i j a
сопран	s ǒ p r aː n
сопранистица	s o p r a n ǐ s t i t͡s a
сос	s ôː s
Сотона	s o t ǒ n a
сотонизам	s o t o n ǐ z a m
сотонизирати	s o t o n i z ǐː r a t i
софизам	s o f ǐ z a m
Софија	s ǒ f i j a
софтвер	s ô f t ʋ eː r
соха	s ǒ x a
социјалан	s ô t͡s i j aː l a n
социјалдемокрација	s o t͡s i j a l d e m o k r ǎ t͡s i j a
социјализам	s o t͡s i j a l ǐ z a m
социјалистички	s o t͡s i j a l ǐ s t i t͡ʃ k iː
социјалистички	s o t͡s i j a l ǐ s t i t͡ʃ k i
социјално	s ô t͡s i j aː l n o
социолог	s o t͡s i ǒ l o ɡ
социологија	s o t͡s i o l ǒ ɡ i j a
социолошки	s o t͡s i ǒ l o ʃ k iː
социолошки	s o t͡s i ǒ l o ʃ k i
сочан	s ô t͡ʃ a n
сочиво	s ô t͡ʃ iː ʋ o
сочно	s ô t͡ʃ n o
спавалица	s p ǎː ʋ a l i t͡s a
спавало	s p ǎː ʋ a l o
спаваоница	s p a ʋ a ǒː n i t͡s a
спавати	s p ǎː ʋ a t i
спаваћи	s p ǎ ʋ aː t͡ɕ iː
спаваћица	s p a ʋ ǎ t͡ɕ i t͡s a
спавач	s p ǎ ʋ aː t͡ʃ
спавачица	s p a ʋ ǎ t͡ʃ i t͡s a
спада	s p âː d a
спадати	s p â d a t i
спазити	s p â z i t i
спазматичан	s p a z m ǎ t i t͡ʃ a n
спајати	s p ǎː j a t i
спаковати	s p â k o ʋ a t i
спалити	s p ǎː l i t i
спаљивати	s p a ʎ ǐː ʋ a t i
Спарта	s p âː r t a
Спартанац	s p a r t ǎː n a t͡s
спартански	s p ǎ r t aː n s k iː
спартански	s p ǎ r t aː n s k i
спас	s p âː s
спасавати	s p a s ǎː ʋ a t i
спасилац	s p ǎ s i l a t͡s
спасилачки	s p ǎ s i l a t͡ʃ k iː
спасити	s p ǎː s i t i
спасти	s p â s t i
спасти	s p âː s t i
спати	s p â t i
спахија	s p ǎ x i j a
спацкати	s p â t͡s k a t i
спачка	s p â t͡ʃ k a
спашавати	s p a ʃ ǎː ʋ a t i
спев	s p êː ʋ
спевати	s p ê ʋ a t i
спектакуларан	s p ê k t a k u l aː r a n
спектакуларно	s p ê k t a k u l aː r n o
спектралан	s p ê k t r aː l a n
спекулативан	s p ê k u l a t iː ʋ a n
спекулација	s p e k u l ǎː t͡s i j a
спекулирати	s p e k u l ǐː r a t i
спекулисати	s p e k ǔ l i s a t i
спелеолог	s p e l e ǒ l o ɡ
спелеологија	s p e l e o l ǒ ɡ i j a
спелеолошки	s p e l e ǒ l o ʃ k iː
спелеолошки	s p e l e ǒ l o ʃ k i
спеловати	s p ê l o ʋ a t i
сперма	s p ě r m a
спећи	s p ê t͡ɕ i
специјалан	s p ê t͡s i j aː l a n
специјализација	s p e t͡s i j a l i z ǎː t͡s i j a
специјализирати	s p e t͡s i j a l i z ǐː r a t i
специјалитет	s p e t͡s i j a l ǐ t eː t
специјално	s p ê t͡s i j aː l n o
специјалност	s p e t͡s i j ǎː l n oː s t
спецификација	s p e t͡s i f i k ǎː t͡s i j a
спецификовати	s p e t͡s ǐ f i k o ʋ a t i
спецификовати	s p ě t͡s i f i k o ʋ a t i
специфицирати	s p e t͡s i f i t͡s ǐː r a t i
специфичан	s p e t͡s ǐ f i t͡ʃ a n
специфично	s p e t͡s ǐ f i t͡ʃ n o
спиља	s p î ʎ a
спиналан	s p ǐ n aː l a n
спирала	s p i r ǎː l a
спиралан	s p ǐ r aː l a n
спирално	s p ǐ r aː l n o
спирати	s p ǐː r a t i
спиритизам	s p i r i t ǐ z a m
спиритуалан	s p î r i t u aː l a n
спиритуализам	s p i r i t u a l ǐ z a m
спиритуално	s p î r i t u aː l n o
спиритуалност	s p i r i t u ǎː l n oː s t
спис	s p î s
списак	s p î s a k
списатељ	s p ǐ s a t e ʎ
списатељица	s p i s a t ě ʎ i t͡s a
спискавати	s p i s k ǎː ʋ a t i
спискати	s p î s k a t i
спјев	s p j êː ʋ
спјевати	s p j ê ʋ a t i
сплав	s p l âː ʋ
сплавар	s p l ǎ ʋ aː r
сплетка	s p l ê t k a
сплеткарити	s p l e t k ǎː r i t i
Сплит	s p l î t
сплитски	s p l î t s k iː
Сплићанин	s p l î t͡ɕ a n i n
спљоштен	s p ʎ ô ʃ t e n
спљоштити	s p ʎ ô ʃ t i t i
спознавати	s p o z n ǎː ʋ a t i
спознаја	s p ô z n a j a
спознати	s p ǒ z n a t i
спој	s p ôː j
спојен	s p ô j e n
спојив	s p ǒ j i ʋ
спојити	s p ǒ j i t i
спојница	s p ǒː j n i t͡s a
спокој	s p ǒ k o j
спокојан	s p ô k oː j aː n
спокојно	s p ô k oː j n o
спокојство	s p o k ǒː j s t ʋ o
спол	s p ôː l
споља	s p ô ʎ a
спољашњи	s p ǒ ʎ a ʃ ɲ iː
споменар	s p o m ě n aː r
споменути	s p o m ěː n u t i
спомињати	s p ǒ m i ɲ a t i
спона	s p ô n a
спонзор	s p ô n z o r
спонзоруша	s p o n z ǒ r u ʃ a
спонтан	s p ô n t aː n
спонтано	s p ô n t aː n o
спонтаност	s p ô n t aː n oː s t
спопадати	s p ǒ p a d a t i
спопасти	s p ǒ p a s t i
спор	s p ô r
спор	s p ô r
спорадичан	s p o r ǎ d i t͡ʃ a n
спорадично	s p o r ǎ d i t͡ʃ n o
споразум	s p ô r a z uː m
споразумевати	s p o r a z u m ěː ʋ a t i
споразумети	s p o r a z ǔ m e t i
споразумијевати	s p o r a z u m i j ěː ʋ a t i
споразумјети	s p o r a z ǔ m j e t i
споран	s p ôː r a n
споредан	s p ô r e d a n
спорно	s p ôː r n o
спорт	s p ô r t
спорташ	s p ǒ r t aː ʃ
спортски	s p ô r t s k iː
спортски	s p ô r t s k i
способан	s p ô s o b a n
способност	s p o s ǒː b n oː s t
справа	s p r â ʋ a
спрат	s p r â t
спрати	s p r â t i
спрдати	s p řː d a t i
спрдачина	s p r̩ d ǎ t͡ʃ i n a
спрдња	s p řː d ɲ a
спреда	s p r ěː d a
спреј	s p r ê j
спреман	s p r ê m a n
спремати	s p r ěː m a t i
спремити	s p r ěː m i t i
спремно	s p r ê m n o
спремност	s p r ê m n oː s t
спретан	s p r ê t a n
спретно	s p r ê t n o
спретност	s p r ê t n oː s t
спречавати	s p r e t͡ʃ ǎː ʋ a t i
спречити	s p r ěː t͡ʃ i t i
спријатељивати	s p r i j a t e ʎ ǐː ʋ a t i
спријатељити	s p r i j a t ě ʎ i t i
сприједа	s p r i j ěː d a
спријечити	s p r j ěː t͡ʃ i t i
спровести	s p r ǒ ʋ e s t i
спроводити	s p r o ʋ ǒ d i t i
спруд	s p r ûː d
спустити	s p ǔ s t i t i
спутавати	s p u t ǎː ʋ a t i
спутан	s p û t aː n
спутати	s p ǔ t a t i
спуштати	s p ǔː ʃ t a t i
срам	s r âː m
сраман	s r âː m a n
срамежљивац	s r a m ě ʒ ʎ i ʋ a t͡s
срамежљивица	s r a m ě ʒ ʎ i ʋ i t͡s a
срамити	s r ǎː m i t i
срамно	s r âː m n o
срамота	s r a m ǒ t a
срамотан	s r â m o t a n
срамотити	s r a m ǒ t i t i
срамотно	s r â m o t n o
срање	s r ǎː ɲ e
срати	s r â t i
срачунавати	s r a t͡ʃ u n ǎː ʋ a t i
срачунати	s r a t͡ʃ ǔ n a t i
Србијанац	s r̩ b i j ǎː n a t͡s
Србијанка	s r b ǐ j aː n k a
србијански	s r̩ b ǐ j aː n s k iː
срдобоља	s r d ǒ b o ʎ a
Срђан	s r̩ d ʑ a n
сребрен	s r ê b r e n
Сребреница	s r ê b r e n i t͡s a
сребрн	s r ê b r̩ n
сребро	s r ě b r o
сред	s r ê d
среда	s r ěː d a
средина	s r e d ǐ n a
средином	s r e d ǐ n oː m
средити	s r ěː d i t i
средишни	s r ě d iː ʃ n iː
средишњи	s r ě d i ʃ ɲ iː
средиште	s r ê d iː ʃ t e
средњи	s r ê d ɲ iː
средњоамерички	s r e d ɲ o a m ě r i t͡ʃ k iː
средњоафрички	s r e d ɲ o ǎ f r i t͡ʃ k iː
средњовековни	s r e d ɲ o ʋ ě k oː ʋ n iː
средњовјековни	s r e d ɲ o ʋ j ě k oː ʋ n iː
средњошколац	s r e d ɲ o ʃ k ǒː l a t͡s
Средоземље	s r ê d o z eː m ʎ e
средоземни	s r ê d o z eː m n iː
средство	s r ě d s t ʋ o
сређивати	s r e d͡ʑ ǐː ʋ a t i
Срем	s r êː m
срести	s r ê s t i
сретан	s r ê t a n
сретати	s r ê t a t i
срећа	s r ê t͡ɕ a
срећан	s r ê t͡ɕ a n
срећом	s r ê t͡ɕ oː m
сриједа	s r i j ěː d a
Сријем	s r î j e m
Сријем	s r i j êː m
сркати	s řː k a t i
сркнути	s řː k n u t i
срљати	s ř ʎ a t i
сродан	s r ô d a n
сродност	s r ô d n oː s t
сродство	s r ǒ d s t ʋ o
српањ	s r̂ː p a ɲ
српањски	s r̂ː p a ɲ s k iː
Српкиња	s r̂ p k i ɲ a
српство	s ř p s t ʋ o
срушити	s r û ʃ i t i
срцолик	s r̩ t͡s ǒ l i k
стабилан	s t â b iː l a n
стабилизација	s t a b i l i z ǎː t͡s i j a
стабилно	s t â b iː l n o
стабилност	s t a b ǐː l n oː s t
стабло	s t ǎː b l o
стабљика	s t ǎ b ʎ i k a
став	s t â ʋ
ставак	s t â ʋ a k
ставити	s t â ʋ i t i
ставка	s t âː ʋ k a
стављати	s t ǎː ʋ ʎ a t i
стагнантан	s t a ɡ n ǎ n t a n
стагнација	s t a ɡ n ǎː t͡s i j a
стагнирати	s t a ɡ n ǐː r a t i
стаж	s t âː ʒ
стаја	s t â j a
стајалиште	s t â j a l iː ʃ t e
стајати	s t â j a t i
стајати	s t ǎ j a t i
стаклар	s t ǎ k l aː r
стакласт	s t â k l a s t
стаклен	s t ǎ k l e n
стакленик	s t a k l ě n iː k
стакленка	s t ǎ k l eː n k a
стакло	s t ǎ k l o
стаклопухач	s t a k l o p ǔ x aː t͡ʃ
сталан	s t ǎː l a n
сталеж	s t ǎː l e ʒ
сталешки	s t ǎː l e ʃ k iː
стално	s t âː l n o
стаљинизам	s t a ʎ i n ǐ z a m
стамбени	s t ǎ m b e n iː
стампедо	s t a m p êː d o
стан	s t âː n
станар	s t ǎ n aː r
станарка	s t ǎ n aː r k a
станарски	s t ǎ n aː r s k iː
станарски	s t ǎ n aː r s k i
стандард	s t ǎ n d a r d
стандардизација	s t a n d a r d i z ǎː t͡s i j a
станица	s t ǎ n i t͡s a
станични	s t ǎ n i t͡ʃ n iː
станиште	s t â n iː ʃ t e
Станковци	s t ǎː n k o ʋ t͡s i
становати	s t a n ǒ ʋ a t i
становник	s t a n ǒ ʋ n iː k
становница	s t a n ǒ ʋ n i t͡s a
становништво	s t a n o ʋ n ǐː ʃ t ʋ o
стање	s t ǎː ɲ e
стапати	s t ǎː p a t i
стар	s t â r
старалац	s t ǎ r a l a t͡s
старати	s t â r a t i
старац	s t â r a t͡s
старачки	s t â r a t͡ʃ k iː
старење	s t â r eː ɲ e
старети	s t â r e t i
старина	s t a r ǐ n a
старински	s t a r ǐ n s k iː
старити	s t â r i t i
старјети	s t â r j e t i
старомодан	s t â r o m oː d a n
старомодно	s t â r o m oː d n o
старославенски	s t a r o s l ǎ ʋ eː n s k iː
старословенски	s t a r o s l ǒ ʋ eː n s k iː
старост	s t â r oː s t
старчев	s t âː r t͡ʃ e ʋ
старчић	s t ǎ r t͡ʃ i t͡ɕ
стас	s t âː s
стати	s t âː t i
стати	s t â t i
статика	s t ǎ t i k a
статист	s t ǎ t i s t
статистика	s t a t ǐ s t i k a
статистичар	s t a t ǐ s t i t͡ʃ aː r
статистичарка	s t a t ǐ s t i t͡ʃ aː r k a
статистички	s t a t ǐ s t i t͡ʃ k iː
статистички	s t a t ǐ s t i t͡ʃ k i
статичан	s t ǎ t i t͡ʃ a n
статички	s t ǎ t i t͡ʃ k iː
статички	s t ǎ t i t͡ʃ k i
статус	s t ǎː t u s
статусни	s t ǎː t u s n iː
статут	s t ǎ t uː t
ствар	s t ʋ âː r
стваран	s t ʋ âː r a n
стварати	s t ʋ ǎː r a t i
стварно	s t ʋ âː r n o
створ	s t ʋ ô r
створење	s t ʋ o r ěː ɲ e
створити	s t ʋ ǒ r i t i
стеарин	s t e ǎ r iː n
Стеван	s t ê ʋ aː n
стег	s t êː ɡ
стегно	s t êː ɡ n o
стегнути	s t ěː ɡ n u t i
стекнути	s t ê k n u t i
стена	s t ěː n a
стеница	s t ě n i t͡s a
стењ	s t êː ɲ
стеон	s t ê o n
степа	s t ê p a
степен	s t ê p eː n
степски	s t ê p s k iː
стетоскоп	s t ê t o s k o p
стећи	s t ê t͡ɕ i
стечај	s t ê t͡ʃ aː j
стечајни	s t ê t͡ʃ aː j n iː
стечевина	s t ě t͡ʃ e ʋ i n a
стигнути	s t î ɡ n u t i
стид	s t îː d
стидан	s t ǐː d a n
стидети	s t ǐː d e t i
стидјети	s t ǐː d j e t i
стидљив	s t ǐ d ʎ i ʋ
стидљиво	s t ǐ d ʎ i ʋ o
стизати	s t î z a t i
стијег	s t j êː ɡ
стијена	s t j ěː n a
стијењ	s t j êː ɲ
стил	s t î l
стилист	s t ǐ l i s t
стилистика	s t i l ǐ s t i k a
стилски	s t î l s k iː
стипендија	s t i p ě n d i j a
стиска	s t î s k a
стискати	s t ǐː s k a t i
стиснути	s t î s n u t i
стићи	s t î t͡ɕ i
стих	s t î x
стицати	s t i t͡s a t i
стишавати	s t i ʃ ǎː ʋ a t i
стишати	s t ǐ ʃ a t i
стјеница	s t j ě n i t͡s a
стјецати	s t j ê t͡s a t i
сто	s t ôː
сто	s t ôː
стог	s t ôː ɡ
стога	s t ô ɡ aː
стогодишњица	s t o ɡ ǒ d i ʃ ɲ i t͡s a
стојећке	s t ǒ j eː t͡ɕ k e
стока	s t ô k a
стол	s t ôː l
столар	s t ô l aː r
столац	s t ǒ l a t͡s
Столац	s t ǒ l a t͡s
столећима	s t ǒ l e t͡ɕ i m a
столица	s t ǒ l i t͡s a
столњак	s t ôː l ɲ aː k
столчић	s t ǒː l t͡ʃ i t͡ɕ
стољеће	s t ǒ ʎ e t͡ɕ e
стољећима	s t ǒ ʎ e t͡ɕ i m a
стомак	s t ô m aː k
стонога	s t ǒ n o ɡ a
стопа	s t ǒ p a
стопало	s t ǒ p a l o
стопити	s t ǒ p i t i
стотина	s t ô t i n a
стотина	s t o t ǐ n a
стотинка	s t ǒ t iː n k a
стотињак	s t o t ǐː ɲ aː k
сточарски	s t ô t͡ʃ a r s k iː
сточић	s t ǒː t͡ʃ i t͡ɕ
страва	s t r ǎː ʋ a
страдавати	s t r a d ǎː ʋ a t i
страдалац	s t r ǎː d a l a t͡s
страдати	s t r ǎː d a t i
Страдун	s t r ǎ d uː n
стража	s t r âː ʒ a
стражар	s t r ǎ ʒ aː r
стражњица	s t r â ʒ ɲ i t͡s a
стран	s t r âː n
страна	s t r ǎː n a
странац	s t r ǎː n a t͡s
страница	s t r ǎ n i t͡s a
странка	s t r â n k a
страст	s t r âː s t
страствен	s t r â s t ʋ e n
стратегија	s t r ǎ t eː ɡ i j a
стратегијски	s t r ǎ t e ɡ iː j s k iː
стратешки	s t r ǎ t eː ʃ k iː
стратиграфија	s t r a t i ɡ r ǎ f i j a
стратопауза	s t r a t o p â u z a
стратосфера	s t r a t o s f ěː r a
страх	s t r âː x
страховати	s t r a x ǒ ʋ a t i
страховит	s t r a x ǒ ʋ i t
страхопоштовање	s t r a x o p o ʃ t o ʋ ǎː ɲ e
страхота	s t r a x ǒ t a
страхотан	s t r â x o t a n
страшан	s t r ǎː ʃ a n
страшило	s t r â ʃ i l o
страшити	s t r â ʃ i t i
страшно	s t r ǎː ʃ n o
стрвина	s t ř ʋ i n a
стрела	s t r ěː l a
стрелац	s t r ěː l a t͡s
стрелица	s t r ě l i t͡s a
стрепити	s t r ěː p i t i
стрепња	s t r ěː p ɲ a
стрефити	s t r ê f i t i
стреха	s t r ě x a
стризати	s t r ǐː z a t i
стријела	s t r j ěː l a
стријелац	s t r j ěː l a t͡s
стрип	s t r î p
стрипер	s t r î p e r
стриптиз	s t r ǐ p t iː z
стриптизер	s t r i p t ǐ z eː r
стриптизета	s t r i p t i z ě t a
стрићи	s t r î t͡ɕ i
стриц	s t r îː t͡s
стричев	s t r ǐː t͡ʃ e ʋ
стрм	s t r̂ m
стрмоглаво	s t r m ǒ ɡ l a ʋ o
стрмоглавце	s t r̩ m ǒ ɡ l a ʋ t͡s eː
строг	s t r ô ɡ
строго	s t r ô ɡ o
строј	s t r ôː j
стројница	s t r ǒː j n i t͡s a
стрпети	s t řː p e t i
стрпјети	s t řː p j e t i
стрпљење	s t r p ʎ ěː ɲ e
стрпљив	s t ř p ʎ i ʋ
стрпљиво	s t ř p ʎ i ʋ o
стрпљивост	s t ř p ʎ i ʋ oː s t
стругар	s t r ǔ ɡ aː r
стругати	s t r ǔː ɡ a t i
стругач	s t r ǔ ɡ aː t͡ʃ
стругнути	s t r û ɡ n u t i
струготина	s t r ǔ ɡ o t i n a
струја	s t r ǔː j a
струк	s t r ûː k
струка	s t r û k a
структура	s t r u k t ǔː r a
стручан	s t r û t͡ʃ a n
стручно	s t r û t͡ʃ n o
стручњак	s t r û t͡ʃ ɲ aː k
стуб	s t ûː b
стуба	s t û b a
студ	s t ûː d
студенац	s t u d ěː n a t͡s
студени	s t ǔ d e n iː
студент	s t ǔ d e n t
студиј	s t ûː d iː j
студија	s t ûː d i j a
студирати	s t u d ǐː r a t i
ступ	s t ûː p
ступа	s t û p a
ступати	s t ǔː p a t i
ступац	s t ǔː p a t͡s
ступити	s t ǔː p i t i
ступић	s t ǔ p i t͡ɕ
сублиман	s û b l iː m a n
субота	s ǔ b o t a
Суботица	s ǔ b o t i t͡s a
суботњи	s ǔ b o t ɲ iː
сув	s ûː ʋ
сувенир	s u ʋ ě n iː r
суверен	s u ʋ ě r eː n
суверен	s ǔ ʋ e r e n
суверенитет	s u ʋ e r e n ǐ t eː t
суверено	s ǔ ʋ e r e n o
сувереност	s ǔ ʋ e r e n oː s t
сувисао	s ǔ ʋ i s a o
сувисло	s ǔ ʋ i s l o
сувислост	s ǔ ʋ i s l oː s t
сувишан	s û ʋ iː ʃ a n
сувише	s û ʋ i ʃ eː
сувишно	s û ʋ iː ʃ n o
сувласник	s ǔ ʋ l aː s n iː k
сувласница	s ǔ ʋ l aː s n i t͡s a
сувозач	s û ʋ o z aː t͡ʃ
сугестиван	s û ɡ e s t iː ʋ a n
сугестивно	s û ɡ e s t iː ʋ n o
сугестивност	s u ɡ e s t ǐː ʋ n oː s t
сугестија	s u ɡ ě s t i j a
сугласје	s u ɡ l a s j e
сугласник	s ǔ ɡ l a s n iː k
сугласнички	s ǔ ɡ l a s n i t͡ʃ k iː
сугласнички	s ǔ ɡ l a s n i t͡ʃ k i
суграђанин	s ǔ ɡ r a d͡ʑ a n i n
суграђанка	s ǔ ɡ r a d͡ʑ aː n k a
суд	s ûː d
суд	s ûː d
Судан	s ǔ d aː n
Суданац	s u d ǎː n a t͡s
судански	s ǔ d a n s k iː
судар	s û d aː r
судац	s ǔː d a t͡s
судба	s ǔ d b a
судбина	s u d b ǐ n a
судбоносан	s u d b ǒ n o s a n
судбоносно	s u d b ǒ n o s n o
судбоносност	s u d b ǒ n o s n oː s t
суделовати	s ǔ d e l o ʋ a t i
судеоник	s u d e ǒ n iː k
судеоница	s u d e ǒ n i t͡s a
судија	s ǔ d i j a
судионик	s u d i ǒ n iː k
судионица	s u d i ǒ n i t͡s a
судити	s ǔː d i t i
судјеловати	s ǔ d j e l o ʋ a t i
судница	s ǔː d n i t͡s a
судопера	s ǔ d o p e r a
судски	s ǔ d s k iː
судство	s ǔ d s t ʋ o
суђе	s ǔ d͡ʑ e
суђење	s ǔː d͡ʑ eː ɲ e
Суез	s ǔ e z
сужавати	s u ʒ ǎː ʋ a t i
сужањ	s ûː ʒ a ɲ
сужањски	s ûː ʒ a ɲ s k iː
сужањски	s ûː ʒ a ɲ s k i
сужањство	s ûː ʒ a ɲ s t ʋ o
сужен	s ûː ʒ e n
суживот	s û ʒ i ʋ o t
суза	s û z a
сузавац	s û z a ʋ a t͡s
сузан	s û z a n
сузбијати	s u z b ǐː j a t i
сузбити	s ǔ z b i t i
суздржавати	s u z d r̩ ʒ ǎː ʋ a t i
сузивати	s u z ǐː ʋ a t i
сузити	s û z i t i
сузити	s ǔː z i t i
сузица	s û z i t͡s a
суицид	s u ǐ t͡s iː d
суицидалан	s û i t͡s i d aː l a n
суицидално	s û i t͡s i d aː l n o
суицидалност	s u i t͡s i d ǎː l n oː s t
сујеверан	s û j e ʋ eː r a n
сујеверје	s û j e ʋ eː r j e
сујеверност	s u j e ʋ ěː r n oː s t
сујевјеран	s û j e ʋ j eː r a n
сујевјерје	s û j e ʋ j eː r j e
сујевјерност	s u j e ʋ j ěː r n oː s t
сујетан	s ǔ j e t a n
сукладан	s ǔ k l a d a n
