á	aː
rúno	r uː n ɔ
Rus	r u s
Ruščák	r u ʃ t͡ʃ aː k
rušeň	r u ʃ e ɲ
Rusin	r u s i n
Rusín	r u s iː n
Ruska	r u s k a
ruská	r u s k aː
ruské	r u s k eː
ruského	r u s k eː ɦ ɔ
Rusko	r u s k ɔ
Ruskonovovešťan	r u s k ɔ n ɔ ʋ ɔ ʋ e ʃ c a n
Ruskonovovešťanka	r u s k ɔ n ɔ ʋ ɔ ʋ e ʃ c a ŋ k a
ruský	r u s k iː
ruských	r u s k iː x
rušňa	r u ʃ ɲ a
Rusnak	r u s n a k
Rusnák	r u s n aː k
rušne	r u ʃ ɲ e
rušni	r u ʃ ɲ i
rušňovodič	r u ʃ ɲ ɔ ʋ ɔ ɟ i t͡ʃ
rušňovodiči	r u ʃ ɲ ɔ ʋ ɔ ɟ i t͡ʃ i
rušňovodička	r u ʃ ɲ ɔ ʋ ɔ ɟ i t͡ʃ k a
rušňovodičmi	r u ʃ ɲ ɔ ʋ ɔ ɟ i t͡ʃ m i
rušňu	r u ʃ ɲ u
Ruso	r u s ɔ
rusofóbia	r u s ɔ f ɔː b i a
ruština	r u ʃ c i n a
Ruttkay	r u tː k a i
rúž	r uː ʃ
ruža	r u ʒ a
Ružanský	r u ʒ a n s k iː
Ružanský	r u ʒ a n̠ s k iː
Ružena	r u ʒ e n a
rúži	r uː ʒ i
Ružička	r u ʒ i t͡ʃ k a
Ružinský	r u ʒ i n s k iː
Ružinský	r u ʒ i n̠ s k iː
Ružomberok	r u ʒ ɔ m b e r ɔ k
rúžový	r uː ʒ ɔ ʋ iː
rúžu	r uː ʒ u
rwandčina	r̩ ʋ a n t͡ʃː i n a
rýb	r iː p
ryba	r i b a
Ryba	r i b a
rybách	r i b aː x
Rybák	r i b aː k
rybám	r i b aː m
rybami	r i b a m i
rybár	r i b aː r
Rybár	r i b aː r
Rybárik	r i b aː r i k
rybárka	r i b aː r k a
rybe	r i b e
rybí	r i b iː
rybičiek	r i b i t͡ʃ ɪ̯ e k
rybička	r i b i t͡ʃ k a
rybka	r i p k a
rybník	r i b ɲ iː k
Rybnikár	r i b ɲ i k aː r
rybojašter	r i b ɔ j a ʃ c e r
rybou	r i b ɔ u̯
rybu	r i b u
ryby	r i b i
rýchlosť	r iː x l ɔ s c
Rychlý	r i x l iː
rýchly	r iː x l i
rýdzik	r iː d͡z i k
rýdzosť	r iː d͡z ɔ s c
rýh	r iː x
ryha	r i ɦ a
ryhe	r i ɦ e
ryhou	r i ɦ ɔ u̯
ryhu	r i ɦ u
ryhy	r i ɦ i
rýľ	r iː ʎ
rýľ	r iː l
rýľa	r iː ʎ a
rýľa	r iː l a
rýle	r iː ʎ e
rýle	r iː l e
rýli	r iː ʎ i
rýli	r iː l i
rýľmi	r iː ʎ m i
rýľmi	r iː l m i
rýľoch	r iː ʎ ɔ x
rýľoch	r iː l ɔ x
rýľom	r iː ʎ ɔ m
rýľom	r iː l ɔ m
rýľov	r iː ʎ ɔ u̯
rýľov	r iː l ɔ u̯
rýľu	r iː ʎ u
rýľu	r iː l u
rys	r i s
Rys	r i s
Ryš	r i ʃ
rysa	r i s a
Ryša	r i ʃ a
ryšavec	r i ʃ a ʋ e t͡s
ryšavý	r i ʃ a ʋ iː
ryse	r i s e
rysí	r i s iː
ryšiak	r i ʃ ɪ̯ a k
ryšiaka	r i ʃ ɪ̯ a k a
rysica	r i s i t͡s a
ryska	r i s k a
Ryška	r i ʃ k a
Ryško	r i ʃ k ɔ
rysmi	r i s m i
rysoch	r i s ɔ x
rysom	r i s ɔ m
rysov	r i s ɔ u̯
rysovi	r i s ɔ ʋ i
rysu	r i s u
rysy	r i s i
ryť	r i c
rytier	r i c ɪ̯ e r
sa	s a
Sabína	s a b iː n a
Sabol	s a b ɔ l
sabotáž	s a b ɔ t aː ʃ
sácal	s aː t͡s a l
sácala	s aː t͡s a l a
sácať	s aː t͡s a c
sáče	s aː t͡ʃ e
šach	ʃ a x
šachor	ʃ a x ɔ r
šachový	ʃ a x ɔ ʋ iː
Sačko	s a t͡ʃ k ɔ
sáču	s aː t͡ʃ u
sad	s a t
sade	s a ɟ e
sadík	s a ɟ iː k
sadlo	s a d l ɔ
sadmi	s a d m i
sadoch	s a d ɔ x
sadom	s a d ɔ m
sadov	s a d ɔ u̯
sadová	s a d ɔ ʋ aː
sadové	s a d ɔ ʋ eː
sadoví	s a d ɔ ʋ iː
sadovník	s a d ɔ u̯ ɲ iː k
sadovník	s a d ɔ ʋ ɲ iː k
sadový	s a d ɔ ʋ iː
sadra	s a d r a
sady	s a d i
sadza	s a d͡z a
sadze	s a d͡z e
sadzi	s a d͡z i
sadzička	s a d͡z i t͡ʃ k a
sadzu	s a d͡z u
sága	s aː ɡ a
Šagát	ʃ a ɡ aː t
Šajbidor	ʃ a ɪ̯ b i d ɔ r
Sajda	s a ɪ̯ d a
Šajnoha	ʃ a ɪ̯ n ɔ ɦ a
šak	ʃ a k
Šak	ʃ a k
Sakajto	s a k a ɪ̯ t ɔ
šakal	ʃ a k a l
šakalí	ʃ a k a ʎ iː
šakalí	ʃ a k a l iː
Sako	s a k ɔ
Saksa	s a k s a
sála	s aː l a
Šalaga	ʃ a l a ɡ a
Salaj	s a l a ɪ̯
Šalák	ʃ a l aː k
salaka	s a l a k a
šalát	ʃ a l aː t
Šalata	ʃ a l a t a
šalátik	ʃ a l aː c i k
šalátika	ʃ a l aː c i k a
šalátu	ʃ a l aː t u
Salgó	s a l ɡ ɔː
Šalka	ʃ a l k a
šálka	ʃ aː l k a
salmonela	s a l m ɔ n e l a
šáločka	ʃ aː l ɔ t͡ʃ k a
Salvádor	s a l ʋ aː d ɔ r
Šamo	ʃ a m ɔ
samoderžavie	s a m ɔ ɟ e r ʒ a ʋ ɪ̯ e
samohláska	s a m ɔ ɦ l aː s k a
samojčina	s a m ɔ ɪ̯ t͡ʃ i n a
samolepka	s a m ɔ ʎ e p k a
samolepka	s a m ɔ l e p k a
samovrážd	s a m ɔ u̯ r aː ʃ t
samovrážd	s a m ɔ ʋ r aː ʃ t
samovražda	s a m ɔ ʋ r a ʒ d a
šampanské	ʃ a m p a n s k eː
šampanské	ʃ a m p a n̠ s k eː
šampiňón	ʃ a m p i ɲ ɔː n
šampión	ʃ a m p i ɔː n
šampióna	ʃ a m p i ɔː n a
šampiónmi	ʃ a m p i ɔː n m i
šampiónov	ʃ a m p i ɔː n ɔ u̯
šampiónsky	ʃ a m p i ɔː n s k i
šampiónsky	ʃ a m p i ɔː n̠ s k i
Samuel	s a m u e l
samuraj	s a m u r a ɪ̯
samurajka	s a m u r a ɪ̯ k a
Šandor	ʃ a n d ɔ r
Šanghaj	ʃ a ŋ ɡ ɦ a ɪ̯
sankcionovať	s a ŋ k t͡s i ɔ n ɔ ʋ a c
sánky	s aː ŋ k i
sánok	s aː n ɔ k
Santiago	s a n t i a ɡ ɔ
saponátový	s a p ɔ n aː t ɔ ʋ iː
Sára	s aː r a
Šara	ʃ a r a
Sarajevo	s a r a j e ʋ ɔ
Sarka	s a r k a
šarkan	ʃ a r k a n
šarkana	ʃ a r k a n a
Sársko	s aː r s k ɔ
sársky	s aː r s k i
Sas	s a s
Saša	s a ʃ a
Sasák	s a s aː k
sasanka	s a s a ŋ k a
Sasarák	s a s a r aː k
šasi	ʃ a s i
Sasko	s a s k ɔ
saský	s a s k iː
šašo	ʃ a ʃ ɔ
sať	s a c
satan	s a t a n
Šatan	ʃ a t a n
satanský	s a t a n s k iː
satanský	s a t a n̠ s k iː
Šatara	ʃ a t a r a
satén	s a t eː n
Satinský	s a c i n s k iː
Satinský	s a c i n̠ s k iː
šatka	ʃ a t k a
šatôčka	ʃ a t u̯ ɔ t͡ʃ k a
saturejka	s a t u r e ɪ̯ k a
šaty	ʃ a t i
Sauer	s a u e r
sauna	s a u n a
savá	s a ʋ aː
savé	s a ʋ eː
savej	s a ʋ e ɪ̯
Šavel	ʃ a ʋ e l
saví	s a ʋ iː
Savka	s a u̯ k a
savom	s a ʋ ɔ m
savou	s a ʋ ɔ u̯
savú	s a ʋ uː
savý	s a ʋ iː
saxofón	s a k s ɔ f ɔː n
saxofonista	s a k s ɔ f ɔ n i s t a
saxofonistka	s a k s ɔ f ɔ ɲ i s t k a
SBS	e z b eː e s
scenárista	s t͡s e n aː r i s t a
scenáristka	s t͡s e n aː r i s t k a
Schmögner	s x m ø ɡ ɲ e r
schod	s x ɔ t
schody	s x ɔ d i
schopnosť	s x ɔ p n ɔ s c
schopný	s x ɔ p n iː
Schranz	s x r a n s
Schranz	s x r a n̠ s
schudla	s x u d l a
schudne	s x u d ɲ e
schudnem	s x u d ɲ e m
schudneme	s x u d ɲ e m e
schudneš	s x u d ɲ e ʃ
schudnú	s x u d n uː
schudnúť	s x u d n uː c
schudol	s x u d ɔ l
šči	ʃ t͡ʃ i
sčítanie	s t͡ʃ iː t a ɲ ɪ̯ e
sčítať	s t͡ʃ iː t a c
sčítavať	s t͡ʃ iː t a ʋ a c
sčitovať	s t͡ʃ i t ɔ ʋ a c
seba	s e b a
sebaklam	s e b a k l a m
sebca	s e p t͡s a
sebec	s e b e t͡s
sebecky	s e b e t͡s k i
sebecký	s e b e t͡s k iː
Šebej	ʃ e b e ɪ̯
Šebek	ʃ e b e k
Šebeň	ʃ e b e ɲ
Šebeš	ʃ e b e ʃ
sebestačnosť	s e b e s t a t͡ʃ n ɔ s c
Šebok	ʃ e b ɔ k
šechtár	ʃ e x t aː r
Sečkár	s e t͡ʃ k aː r
sedem	s e ɟ e m
sedemdesiat	s e ɟ e m ɟ e s ɪ̯ a t
sedemdesiaty	s e ɟ e m ɟ e s ɪ̯ a t i
sedemnásť	s e ɟ e m n aː s c
sedemnásti	s e ɟ e m n aː s c i
sedemnástich	s e ɟ e m n aː s c i x
sedemnástim	s e ɟ e m n aː s c i m
sedemnástimi	s e ɟ e m n aː s c i m i
sedemnásty	s e ɟ e m n aː s t i
sedemsto	s e ɟ e m s t ɔ
sedemstý	s e ɟ e m s t iː
sedieť	s e ɟ ɪ̯ e c
Šedivý	ʃ e ɟ i ʋ iː
Sedláček	s e d l aː t͡ʃ e k
Sedlák	s e d l aː k
sedlo	s e d l ɔ
sedmokráska	s e d m ɔ k r aː s k a
Šedo	ʃ e d ɔ
Šefčovič	ʃ e f t͡ʃ ɔ ʋ i t͡ʃ
šéfe	ʃ eː f e
Segeš	s e ɡ e ʃ
segment	s e ɡ m e n t
seizmológia	s e ɪ̯ z m ɔ l ɔː ɡ i a
sej	s e ɪ̯
sejme	s e ɪ̯ m e
sejte	s e ɪ̯ c e
sekať	s e k a c
sekera	s e k e r a
Sekera	s e k e r a
sekerôčka	s e k e r u̯ ɔ t͡ʃ k a
sekerou	s e k e r ɔ u̯
sekeru	s e k e r u
sekier	s e k ɪ̯ e r
sekierka	s e k ɪ̯ e r k a
Seko	s e k ɔ
sekunda	s e k u n d a
Selecký	s e ʎ e t͡s k iː
Selecký	s e l e t͡s k iː
Šeliga	ʃ e ʎ i ɡ a
Šeliga	ʃ e l i ɡ a
semafor	s e m a f ɔ r
Seman	s e m a n
Semančík	s e m a n t͡ʃ iː k
semenník	s e m e n ɲ iː k
semeno	s e m e n ɔ
Semeš	s e m e ʃ
Semko	s e m k ɔ
Šemrinec	ʃ e m r i ɲ e t͡s
sen	s e n
sendvič	s e n d ʋ i t͡ʃ
sendviča	s e n d ʋ i t͡ʃ a
sendvičový	s e n d ʋ i t͡ʃ ɔ ʋ iː
sene	s e ɲ e
Senegalčan	s e ɲ e ɡ a l t͡ʃ a n
Senegalčanka	s e n e ɡ a l t͡ʃ a ŋ k a
Senk	s e ŋ k
Senko	s e ŋ k ɔ
seno	s e n ɔ
senom	s e n ɔ m
Sep	s e p
separatizmu	s e p a r a t i z m u
Šepeľa	ʃ e p e ʎ a
Šepeľa	ʃ e p e l a
šepkať	ʃ e p k a c
septembrový	s e p c e m b r ɔ ʋ iː
Sergej	s e r ɡ e ɪ̯
seriál	s e r i aː l
seriáli	s e r i aː ʎ i
seriáli	s e r i aː l i
seriálový	s e r i aː l ɔ ʋ iː
seriály	s e r i aː l i
sérum	s eː r u m
Šerý	ʃ e r iː
šesť	ʃ e s c
šesťdesiat	ʃ e z ɟː e s ɪ̯ a t
šesťdesiaty	ʃ e z ɟː e s ɪ̯ a t i
šestnásť	ʃ e s n aː s c
šestnásti	ʃ e s n aː s c i
šestnástich	ʃ e s n aː s c i x
šestnástim	ʃ e s n aː s c i m
šestnástimi	ʃ e s n aː s c i m i
šestnásty	ʃ e s t n aː s t i
sestra	s e s t r a
sestrička	s e s t r i t͡ʃ k a
sestrin	s e s t r i n
šesťsto	ʃ e s t ɔ
šesťstý	ʃ e s t iː
šesťuholník	ʃ e s c u ɦ ɔ l ɲ iː k
šešuľa	ʃ e ʃ u ʎ a
šešuľa	ʃ e ʃ u l a
Ševčík	ʃ e u̯ t͡ʃ iː k
Ševela	ʃ e ʋ e l a
sever	s e ʋ e r
Severín	s e ʋ e r iː n
severný	s e ʋ e r n iː
sexuálne	s e k s u aː l ɲ e
sexuálny	s e k s u aː l n i
sexuológ	s e k s u ɔ l ɔː k
sexuologička	s e k s u ɔ l ɔ ɡ i t͡ʃ k a
sexy	s e k s i
Shetland	ʃ e t ʎ e n t
Shetland	ʃ e t l e n t
si	s i
siaha	s ɪ̯ a ɦ a
siahodlhý	s ɪ̯ a ɦ ɔ d l̩ ɦ iː
siať	s ɪ̯ a c
šiat	ʃ ɪ̯ a t
Šiba	ʃ i b a
Šibík	ʃ i b iː k
Sibyla	s i b i l a
Sičák	s i t͡ʃ aː k
Sičár	s i t͡ʃ aː r
Sicília	s i t͡s iː l i a
Sicílie	s i t͡s iː l i e
Sicílii	s i t͡s iː ʎ i i
Sicílii	s i t͡s iː l i i
Sicíliou	s i t͡s iː ʎ i ɔ u̯
Sicíliou	s i t͡s iː l i ɔ u̯
Sicíliu	s i t͡s iː l i u
sídlisko	s iː d ʎ i s k ɔ
sídlisko	s iː d l i s k ɔ
sídlo	s iː d l ɔ
šidlo	ʃ i d l ɔ
Šidlo	ʃ i d l ɔ
Sidor	s i d ɔ r
siedmi	s ɪ̯ e d m i
siedmich	s ɪ̯ e d m i x
siedmim	s ɪ̯ e d m i m
siedmimi	s ɪ̯ e d m i m i
siedmy	s ɪ̯ e d m i
šiel	ʃ ɪ̯ e l
sieň	s ɪ̯ e ɲ
siene	s ɪ̯ e ɲ e
sieni	s ɪ̯ e ɲ i
siení	s ɪ̯ e ɲ iː
šiesta	ʃ ɪ̯ e s t a
šieste	ʃ ɪ̯ e s t e
šiesti	ʃ ɪ̯ e s c i
šiestich	ʃ ɪ̯ e s c i x
šiestim	ʃ ɪ̯ e s c i m
šiestimi	ʃ ɪ̯ e s c i m i
šiestu	ʃ ɪ̯ e s t u
šiesty	ʃ ɪ̯ e s t i
sieť	s ɪ̯ e c
siete	s ɪ̯ e c e
sieti	s ɪ̯ e c i
sietí	s ɪ̯ e c iː
sih	s i x
siha	s i ɦ a
sihoť	s i ɦ ɔ c
sihy	s i ɦ i
šija	ʃ i j a
šije	ʃ i j e
šiji	ʃ i j i
šijí	ʃ i j iː
šijou	ʃ i j ɔ u̯
šiju	ʃ i j u
šikana	ʃ i k a n a
šikanovanie	ʃ i k a n ɔ ʋ a ɲ ɪ̯ e
Siklienka	s i k ʎ ɪ̯ e ŋ k a
Siklienka	s i k l ɪ̯ e ŋ k a
Šiko	ʃ i k ɔ
šikovnosť	ʃ i k ɔ u̯ n ɔ s c
šikovnosť	ʃ i k ɔ ʋ n ɔ s c
šikovný	ʃ i k ɔ u̯ n iː
šikovný	ʃ i k ɔ ʋ n iː
siľ	s i ʎ
siľ	s i l
Sillanpää	s i l a m p eː
silvestrovský	s i l ʋ e s t r ɔ u̯ s k iː
Šima	ʃ i m a
Šimco	ʃ i m t͡s ɔ
Šimek	ʃ i m e k
Šimko	ʃ i m k ɔ
Šimon	ʃ i m ɔ n
Simona	s i m ɔ n a
Šimončič	ʃ i m ɔ n t͡ʃ i t͡ʃ
Simonides	s i m ɔ n i d e s
Šimonides	ʃ i m ɔ n i d e s
Šimonovič	ʃ i m ɔ n ɔ ʋ i t͡ʃ
šimpanz	ʃ i m p a n s
šimpanz	ʃ i m p a n̠ s
Šimunek	ʃ i m u ɲ e k
Šindliar	ʃ i n d ʎ ɪ̯ a r
Šindliar	ʃ i n d l ɪ̯ a r
Singapur	s i ŋ ɡ a p u r
Singapurčan	s i ŋ ɡ a p u r t͡ʃ a n
Singapurčanka	s i ŋ ɡ a p u r t͡ʃ a ŋ k a
sinka	s i ŋ k a
Šinkovic	ʃ i ŋ k ɔ ʋ i t͡s
Šino	ʃ i n ɔ
sínus	s iː n u s
siný	s i n iː
sionizmu	s i ɔ n i z m u
šíp	ʃ iː p
šípa	ʃ iː p a
šípe	ʃ iː p e
Šipka	ʃ i p k a
šípka	ʃ iː p k a
šípmi	ʃ iː p m i
šípoch	ʃ iː p ɔ x
šípom	ʃ iː p ɔ m
Šipoš	ʃ i p ɔ ʃ
šípov	ʃ iː p ɔ u̯
šípu	ʃ iː p u
šípy	ʃ iː p i
Šír	ʃ iː r
síra	s iː r a
Širaj	ʃ i r a ɪ̯
síre	s iː r e
sirka	s i r k a
Širka	ʃ i r k a
Širo	ʃ i r ɔ
široký	ʃ i r ɔ k iː
Široký	ʃ i r ɔ k iː
sirota	s i r ɔ t a
sirôtka	s i r u̯ ɔ t k a
sirôtočka	s i r u̯ ɔ t ɔ t͡ʃ k a
sírou	s iː r ɔ u̯
širší	ʃ i r ʃ iː
síru	s iː r u
síry	s iː r i
Sisik	s i s i k
Šišila	ʃ i ʃ i l a
šiška	ʃ i ʃ k a
sitár	s i t aː r
Sitár	s i t aː r
Sitárik	s i t aː r i k
sitina	s i c i n a
sito	s i t ɔ
situáciou	s i t u aː t͡s i ɔ u̯
situáciu	s i t u aː t͡s i u
sivá	s i ʋ aː
Sivák	s i ʋ aː k
Sivčo	s i u̯ t͡ʃ ɔ
Sivoška	s i ʋ ɔ ʃ k a
sivý	s i ʋ iː
Sivý	s i ʋ iː
Skákala	s k aː k a l a
skala	s k a l a
skalisko	s k a ʎ i s k ɔ
skalisko	s k a l i s k ɔ
skalka	s k a l k a
skalpel	s k a l p e l
Skalský	s k a l s k iː
škamra	ʃ k a m r a
škandál	ʃ k a n d aː l
škandálny	ʃ k a n d aː l n i
skanzen	s k a n z e n
skanzen	s k a n̠ z e n
Škarda	ʃ k a r d a
škatuľa	ʃ k a t u ʎ a
škatuľa	ʃ k a t u l a
skejtpark	s k e ɪ̯ t p a r k
skepticizmus	s k e p t i t͡s i z m u s
skibob	s k i b ɔ p
skibobe	s k i b ɔ b e
skibobový	s k i b ɔ b ɔ ʋ iː
skibobu	s k i b ɔ b u
skín	s k iː n
Sklenár	s k ʎ e n aː r
Sklenár	s k l e n aː r
skleník	s k ʎ e ɲ iː k
skleník	s k l e ɲ iː k
sklo	s k l ɔ
sklz	s k l̩ s
skočiť	s k ɔ t͡ʃ i c
škoda	ʃ k ɔ d a
Škoda	ʃ k ɔ d a
Skokan	s k ɔ k a n
škôl	ʃ k u̯ ɔ l
škola	ʃ k ɔ l a
škôlkar	ʃ k u̯ ɔ l k a r
skomolenina	s k ɔ m ɔ ʎ e ɲ i n a
skomolenina	s k ɔ m ɔ l e ɲ i n a
Škop	ʃ k ɔ p
Skopje	s k ɔ p j e
skôr	s k u̯ ɔ r
škorca	ʃ k ɔ r t͡s a
škorcami	ʃ k ɔ r t͡s a m i
škorce	ʃ k ɔ r t͡s e
škorčí	ʃ k ɔ r t͡ʃ iː
škorcom	ʃ k ɔ r t͡s ɔ m
škorec	ʃ k ɔ r e t͡s
Škoriak	ʃ k ɔ r ɪ̯ a k
škorica	ʃ k ɔ r i t͡s a
Škorica	ʃ k ɔ r i t͡s a
škorice	ʃ k ɔ r i t͡s e
škorici	ʃ k ɔ r i t͡s i
škoricou	ʃ k ɔ r i t͡s ɔ u̯
škoricu	ʃ k ɔ r i t͡s u
skoro	s k ɔ r ɔ
skorocel	s k ɔ r ɔ t͡s e l
skorocelový	s k ɔ r ɔ t͡s e l ɔ ʋ iː
škorpión	ʃ k ɔ r p i ɔː n
skorší	s k ɔ r ʃ iː
Škorvánek	ʃ k ɔ r ʋ aː ɲ e k
skorý	s k ɔ r iː
Škóta	ʃ k ɔː t a
Skoták	s k ɔ t aː k
Skotnický	s k ɔ t ɲ i t͡s k iː
škótština	ʃ k ɔː t͡ʃ c i n a
Skovajsa	s k ɔ ʋ a ɪ̯ s a
škovránok	ʃ k ɔ u̯ r aː n ɔ k
škovránok	ʃ k ɔ ʋ r aː n ɔ k
Škraban	ʃ k r a b a n
škrabať	ʃ k r a b a c
skratka	s k r a t k a
škrečok	ʃ k r e t͡ʃ ɔ k
Škrek	ʃ k r e k
Škreko	ʃ k r e k ɔ
škriabať	ʃ k r ɪ̯ a b a c
škridla	ʃ k r i d l a
škriekať	ʃ k r ɪ̯ e k a c
Škriniar	ʃ k r i ɲ ɪ̯ a r
škrkaviek	ʃ k r̩ k a ʋ ɪ̯ e k
škrkavka	ʃ k r̩ k a u̯ k a
škrkavky	ʃ k r̩ k a u̯ k i
Škrko	ʃ k r̩ k ɔ
škrt	ʃ k r̩ t
Škrtel	ʃ k r̩ c e l
škrtnúť	ʃ k r̩ t n uː c
škrupina	ʃ k r u p i n a
škrupinový	ʃ k r u p i n ɔ ʋ iː
skrutíniový	s k r u t iː n i ɔ ʋ iː
skrutínium	s k r u t iː n i u m
skrutkovať	s k r u t k ɔ ʋ a c
skrz	s k r̩ s
skrze	s k r̩ z e
skuhroš	s k u ɦ r ɔ ʃ
Škulavík	ʃ k u l a ʋ iː k
Škultéty	ʃ k u l t eː t i
Škumát	ʃ k u m aː t
škumpa	ʃ k u m p a
škuner	ʃ k u ɲ e r
skupáň	s k u p aː ɲ
Skurčák	s k u r t͡ʃ aː k
skúsenejší	s k uː s e ɲ e ɪ̯ ʃ iː
skúsený	s k uː s e n iː
Škuta	ʃ k u t a
skutočnosť	s k u t ɔ t͡ʃ n ɔ s c
Škvarenina	ʃ k ʋ a r e ɲ i n a
Škvor	ʃ k ʋ ɔ r
škvŕn	ʃ k ʋ r̩ː n
škvrna	ʃ k ʋ r̩ n a
škvrnový	ʃ k ʋ r̩ n ɔ ʋ iː
Skyba	s k i b a
šla	ʃ l a
slabá	s l a b aː
slabičný	s l a b i t͡ʃ n iː
slabika	s l a b i k a
slabina	s l a b i n a
slabosť	s l a b ɔ s c
slabý	s l a b iː
šľacha	ʃ ʎ a x a
šľacha	ʃ l a x a
šľachetný	ʃ ʎ a x e t n iː
šľachetný	ʃ l a x e t n iː
šľachtic	ʃ ʎ a x c i t͡s
šľachtic	ʃ l a x c i t͡s
šľachtičná	ʃ ʎ a x c i t͡ʃ n aː
šľachtičná	ʃ l a x c i t͡ʃ n aː
slad	s l a t
Sládek	s l aː d e k
sladký	s l a t k iː
sladovka	s l a d ɔ u̯ k a
Sladovník	s l a d ɔ u̯ ɲ iː k
Sladovník	s l a d ɔ ʋ ɲ iː k
Slafkovský	s l a f k ɔ u̯ s k iː
šláger	ʃ l aː ɡ e r
šľahúň	ʃ ʎ a ɦ uː ɲ
šľahúň	ʃ l a ɦ uː ɲ
slák	s l aː k
slama	s l a m a
Slančo	s l a n t͡ʃ ɔ
Slanička	s l a ɲ i t͡ʃ k a
slanina	s l a ɲ i n a
slaný	s l a n iː
Šlapka	ʃ l a p k a
slasť	s l a s c
Slašťan	s l a ʃ c a n
sláv	s l aː u̯
sláva	s l aː ʋ a
slávach	s l aː ʋ a x
slávam	s l aː ʋ a m
slávami	s l aː ʋ a m i
sláve	s l aː ʋ e
sláviček	s l aː ʋ i t͡ʃ e k
slávičí	s l aː ʋ i t͡ʃ iː
Slavík	s l a ʋ iː k
slávik	s l aː ʋ i k
Slávik	s l aː ʋ i k
Slavkovský	s l a u̯ k ɔ u̯ s k iː
Slavomír	s l a ʋ ɔ m iː r
slávou	s l aː ʋ ɔ u̯
slávu	s l aː ʋ u
slávy	s l aː ʋ i
slepo	s ʎ e p ɔ
slepo	s l e p ɔ
slepý	s ʎ e p iː
slepý	s l e p iː
slez	s ʎ e s
slez	s l e s
Slezák	s ʎ e z aː k
Slezák	s l e z aː k
slezina	s ʎ e z i n a
slezina	s l e z i n a
slezový	s ʎ e z ɔ ʋ iː
slezový	s l e z ɔ ʋ iː
šli	ʃ ʎ i
šli	ʃ l i
šliapadlo	ʃ ʎ ɪ̯ a p a d l ɔ
šliapadlo	ʃ l ɪ̯ a p a d l ɔ
šliapadlový	ʃ ʎ ɪ̯ a p a d l ɔ ʋ iː
šliapadlový	ʃ l ɪ̯ a p a d l ɔ ʋ iː
sliedič	s ʎ ɪ̯ e ɟ i t͡ʃ
sliedič	s l ɪ̯ e ɟ i t͡ʃ
sliepka	s ʎ ɪ̯ e p k a
sliepka	s l ɪ̯ e p k a
sliezština	s ʎ ɪ̯ e ʃ c i n a
sliezština	s l ɪ̯ e ʃ c i n a
slimák	s ʎ i m aː k
slimák	s l i m aː k
Slimák	s ʎ i m aː k
Slimák	s l i m aː k
slina	s ʎ i n a
slina	s l i n a
Sliško	s ʎ i ʃ k ɔ
Sliško	s l i ʃ k ɔ
Sliva	s ʎ i ʋ a
Sliva	s l i ʋ a
slivka	s ʎ i u̯ k a
slivka	s l i u̯ k a
Slivko	s ʎ i u̯ k ɔ
Slivko	s l i u̯ k ɔ
slivovica	s ʎ i ʋ ɔ ʋ i t͡s a
slivovica	s l i ʋ ɔ ʋ i t͡s a
sliz	s ʎ i s
sliz	s l i s
slíž	s ʎ iː ʃ
slíž	s l iː ʃ
sliziak	s ʎ i z ɪ̯ a k
sliziak	s l i z ɪ̯ a k
sliznica	s ʎ i z ɲ i t͡s a
sliznica	s l i z ɲ i t͡s a
sĺnc	s l̩ː n t͡s
slncový	s l̩ n t͡s ɔ ʋ iː
sĺnk	s l̩ː ŋ k
slnovrat	s l̩ n ɔ u̯ r a t
slnovrat	s l̩ n ɔ ʋ r a t
šlo	ʃ l ɔ
slobôd	s l ɔ b u̯ ɔ t
sloboda	s l ɔ b ɔ d a
Sloboda	s l ɔ b ɔ d a
Slobodník	s l ɔ b ɔ d ɲ iː k
slobodný	s l ɔ b ɔ d n iː
slobodomurárstvo	s l ɔ b ɔ d ɔ m u r aː r s t ʋ ɔ
sloj	s l ɔ ɪ̯
sloja	s l ɔ j a
sloje	s l ɔ j e
sloji	s l ɔ j i
slojmi	s l ɔ ɪ̯ m i
slojoch	s l ɔ j ɔ x
slojom	s l ɔ j ɔ m
slojov	s l ɔ j ɔ u̯
slojový	s l ɔ j ɔ ʋ iː
sloju	s l ɔ j u
slon	s l ɔ n
slonej	s l ɔ ɲ e ɪ̯
slonia	s l ɔ ɲ ɪ̯ a
slonica	s l ɔ ɲ i t͡s a
slonie	s l ɔ ɲ ɪ̯ e
sloník	s l ɔ ɲ iː k
sloníka	s l ɔ ɲ iː k a
sloníkmi	s l ɔ ɲ iː k m i
sloníkoch	s l ɔ ɲ iː k ɔ x
sloníkom	s l ɔ ɲ iː k ɔ m
sloníkov	s l ɔ ɲ iː k ɔ u̯
sloníkovi	s l ɔ ɲ iː k ɔ ʋ i
sloníky	s l ɔ ɲ iː k i
sloniu	s l ɔ ɲ ɪ̯ u
slonovina	s l ɔ n ɔ ʋ i n a
slonovine	s l ɔ n ɔ ʋ i ɲ e
slonovinový	s l ɔ n ɔ ʋ i n ɔ ʋ iː
slonovinu	s l ɔ n ɔ ʋ i n u
slonoviny	s l ɔ n ɔ ʋ i n i
Slosiar	s l ɔ s ɪ̯ a r
slota	s l ɔ t a
Slota	s l ɔ t a
