AFI	a f i
regueifa	r e ħ e j f a
regueifa	r e ɡ e j f a
regueira	r e ɣ e j ɾ a̝
regueiro	r e ɣ e j ɾ o̝
reguengo	r e ħ ɛ ŋ ħ o
reguengo	r e ɡ ɛ ŋ ɡ o
regulación	r e ħ u l a s j o ŋ
regulación	r e ħ u l a θ j o ŋ
regulación	r e ɡ u l a θ j o ŋ
regular	r e ħ u l a ɾ
regular	r e ɡ u l a ɾ
rei	r e j
reinar	r e j n a ɾ
reino	r e j n o
reintegracionismo	r e i n t ɛ ħ ɾ a s j o n i s m o
reintegracionismo	r e i n t ɛ ħ ɾ a θ j o n i s m o
reintegracionismo	r e i n t ɛ ɡ ɾ a θ j o n i s m o
reintegracionista	r e i n t ɛ ħ ɾ a s j o n i s t a
reintegracionista	r e i n t ɛ ħ ɾ a θ j o n i s t a
reintegracionista	r e i n t ɛ ɡ ɾ a θ j o n i s t a
reintegración	r e i n t e ħ ɾ a s j o ŋ
reintegración	r e i n t e ħ ɾ a θ j o ŋ
reintegración	r e i n t e ɡ ɾ a θ j o ŋ
reira	r e j ɾ a̝̝
reiseñor	r e j s e ɲ o ɾ
reixa	r e j ʃ a
relación	r e l a s j o ŋ
relación	r e l a θ j o ŋ
relampo	r e l a m p o
relance	r e l a n s e
relance	r e l a n θ e
relanzo	r e l a n s o
relanzo	r e l a n θ o
relativamente	r e l a t i b a m e n t e
relear	r e l e a ɾ
relevancia	r e l e b a n s j a
relevancia	r e l e b a n θ j a
releón	r e l e o ŋ
relinga	r e l i ŋ k a̝
relinga	r e l i ŋ ɡ a̝
relixioso	r e l i ʃ j o s o
rella	r e ʎ a̝
rello	r e ʎ o̝
relo	r e l o
relo	r ɛ l o
relouco	r e l o w k o
reloxo	r e l ɔ
reloxo	r e l ɔ ʃ o̝
reloxos	r e l ɔ ʃ o s
relucir	r e l u s i ɾ
relucir	r e l u θ i ɾ
reluscar	r e l u s k a ɾ
relusco	r e l u s k o̝
relustrar	r e l i s t ɾ a ɾ
relustrar	r e l u s t ɾ a ɾ
relustro	r e l i s t ɾ o̝
relustro	r e l u s t ɾ o̝
relón	r e l o ŋ
remanecer	r e m a n e s e ɾ
remanecer	r e m a n e θ e ɾ
rematar	r e m a t a ɾ
remedio	r e m ɛ d j o
remela	r e m ɛ l a̝
remelar	r e m e l a ɾ
remexer	r e m e ʃ e ɾ
remoción	r e m ɔ s j o ŋ
remoción	r e m ɔ θ j o ŋ
remol	r e m ɔ l
remollar	r e m o ʎ a ɾ
remontar	r e m o n t a ɾ
remorso	r e m ɔ ɾ s o̝
remoucar	r e m o w k a ɾ
remuíño	r e m u i ɲ o̝
ren	r e ŋ
renacer	r e n a s e ɾ
renacer	r e n a θ e ɾ
renano	r e n a n o
renda	r e n d a
rendeiro	r e n d e j ɾ o
render	r e n d e ɾ
renegar	r e n e ɣ a ɾ
rengo	r ɛ ŋ ɡ o̝
rengue	r ɛ ŋ ɡ e̝
reno	r e n o
rens	r e ŋ s
renumerar	r e n u m e ɾ a ɾ
renxer	r e n ʃ e ɾ
reo	r e o̝
reorganización	r e ɔ ɾ ħ a n i s a s j o ŋ
reorganización	r e ɔ ɾ ħ a n i θ a θ j o ŋ
reorganización	r e ɔ ɾ ɡ a n i θ a θ j o ŋ
reparación	r e p a ɾ a s j o ŋ
reparación	r e p a ɾ a θ j o ŋ
repenicar	r e p e n i k a ɾ
repenicar	r e p i n i k a ɾ
repouso	r e p o w s o
representación	r e p ɾ e s e n t a s j o ŋ
representación	r e p ɾ e s e n t a θ j o ŋ
representante	r e p ɾ e s e n t a n t e
represión	r e p ɾ e s j o ŋ
repugnante	r e p u ŋ n a n t e
reputación	r e p u t a s j o ŋ
reputación	r e p u t a θ j o ŋ
requecer	r e k ɛ θ e ɾ
requeixo	r e k e j ʃ o̝
res	r e s
reservar	r e s e ɾ b a ɾ
reseso	r e s ɛ s o̝
residencia	r e s i d e n s j a
residencia	r e s i d e n θ j a
resignación	r e s i ŋ n a s j o ŋ
resignación	r e s i ŋ n a θ j o ŋ
resignar	r e s i ŋ n a ɾ
resolución	r e s o l u s j o ŋ
resolución	r e s o l u θ j o ŋ
respectuoso	r e s p e k t w o s o
restaurante	r e s t a w ɾ a n t e
reste	r ɛ s t e̝
restinga	r e s t i ŋ ɡ a̝
restra	r ɛ s t ɾ a̝
restreba	r e s t ɾ e b a
restrelo	r e s t ɾ e l o̝
restrición	r e s t ɾ i s j o ŋ
restrición	r e s t ɾ i θ j o ŋ
restrinxir	r e s t ɾ i n ʃ i ɾ
restroballo	r e s t ɾ o b a ɟ o
restrollo	r e s t ɾ o ɟ o
resío	r e s i o̝
reta	r e t a
retallo	r e t a ɟ o
retan	r e t a ŋ
retar	r e t a ɾ
reticencia	r e t i s e n s j a
reticencia	r e t i s ɛ n s j a
reticencia	r e t i θ e n θ j a
reticencia	r e t i θ ɛ n θ j a
retorno	r e t o ɾ n o
retorto	r e t ɔ ɾ t o̝
retrama	r e t ɾ a m a
retrincar	r e t r i ŋ k a ɾ
retrinco	r e t ɾ i ŋ k o̝
retriza	r e t ɾ i s a̝
retriza	r e t ɾ i θ a̝
retrucar	r e t ɾ u k a ɾ
retrógrado	r e t ɾ ɔ ħ ɾ a d o
retrógrado	r e t ɾ ɔ ɡ ɾ a d o
reuma	r ɛ w m a
revellido	r e β e ʎ i ð o̝
revendedor	r e b e n d e d o ɾ
rever	r e β e ɾ
revirado	r e β i ɾ a ð o̝
revirar	r e β i ɾ a ɾ
reviravolta	r e β i ɾ a β ɔ l t a̝
revistar	r e b i s t a ɾ
revitalización	r e b i t a l i s a s j o ŋ
revitalización	r e b i t a l i θ a θ j o ŋ
revolta	r e b ɔ l t a
revolución	r e b o l u s j o ŋ
revolución	r e b o l u θ j o ŋ
rexeitamento	r e ʃ e j t a m e n t o̝
rexeitamento	r e ʃ e j t a m ɛ n t o̝
rexeitar	r e ʃ e j t a ɾ
rexelo	r e ʃ ɛ l o̝
rexencia	r e ʃ e n s j a
rexencia	r e ʃ e n θ j a
rexente	r e ʃ e n t e
rexional	r e ʃ j o n a l
rexistrar	r e ʃ i s t ɾ a ɾ
rexión	r e ʃ j o ŋ
rexurdir	r e ʃ u ɾ ð i ɾ
rezo	r ɛ s o
rezo	r ɛ θ o
riba	r i β a̝
ribada	r i β a ð a̝
ribeira	r i b e j ɾ a
ricamente	r i k a m e n t e
ricaz	r i k a s
ricaz	r i k a θ
richar	r i t͡ʃ a ɾ
rico	r i k o
ridiculamente	r i d i k u l a m e n t e
rifa	r i f a̝
rifar	r i f a ɾ
rifón	r i f o ŋ
rigoroso	r i ħ o ɾ o s o
rigoroso	r i ɡ o ɾ o s o
ril	r i l
rillar	r i ʎ a ɾ
rima	r i m a̝
rinchar	r i n t͡ʃ a ɾ
rincho	r i n t͡ʃ o
rinchón	r i n t͡ʃ o ŋ
rinoceronte	r i n ɔ s e ɾ o n t e
rinoceronte	r i n ɔ θ e ɾ o n t e
riola	r i ɔ l a̝
ripar	r i p a ɾ
ripo	r i p o̝
riqueza	r i k e s a
riqueza	r i k e θ a
rir	r i ɾ
risada	r i s a d a
riscar	r i s k a ɾ
risco	r i s k o̝
risón	r i s o ŋ
ritmicamente	r i t m i k a m e n t e
ritmo	r i t m o
rixo	r i ʃ o
riádego	r i a ð e̝ ɣ o̝
robaliza	r o β a l i s a̝
robaliza	r o β a l i θ a̝
robalo	r o β a l o̝
robot	r o b ɔ t
robra	r ɔ β ɾ a̝
roca	r ɔ k a
roca	r ɔ k a̝
rocha	r ɔ t͡ʃ a̝
rocho	r o t͡ʃ o̝
rocho	r ɔ t͡ʃ o̝
rocín	r o s i ŋ
rocín	r o θ i ŋ
roda	r ɔ d a
rodaballo	r o ð a β a ʎ o̝
rodada	r o d a d a
rodal	r o ð a l
rodar	r o d a ɾ
rodeira	r o ð e j ɾ a̝
rodeira	r ɔ ð e j ɾ a̝
rodela	r o ð ɛ l a̝
rodicio	r o d i s j o
rodicio	r o d i θ j o
rodo	r o ð o̝
rodo	r ɔ ð o̝
rodriga	r o d ɾ i ħ a
rodriga	r o d ɾ i ɡ a
rodrigar	r o ð ɾ i ɣ a ɾ
roer	r o e ɾ
rolada	r o l a d a
rollo	r o ʎ o̝
rolo	r o l o̝
rolo	r ɔ l o̝
rompedes	r o m p e d e s
romántico	r o m a n t i k o
roncón	r o ŋ k o ŋ
ronsel	r o n s ɛ l
roque	r o k e
rosa	r ɔ s a
rosada	r o s a d a̝
rosca	r o s k a
roseira	r o s e j ɾ a̝
roseta	r o s e t a
rosmar	r o s m a ɾ
rosmar	r ɔ s m a ɾ
rostro	r o s t ɾ o
roubar	r o w b a ɾ
roubo	r o w b o
roucear	r o w s e a ɾ
roucear	r o w θ e a ɾ
rouceo	r o w θ ɛ ʊ
roupas	r o w p ɐ s
roupeiro	r o w p e j ɾ o
rouquén	r o w k ɛ ŋ
rousar	r o w s a ɾ
roxar	r o ʃ a ɾ
roxo	r o ʃ o
roxón	r o ʃ o ŋ
roza	r o s a̝
roza	r o θ a̝
rozar	r o s a ɾ
rozar	r o θ a ɾ
roñar	r o ɲ a ɾ
ruada	r w a d a
ruar	r u a ɾ
rubio	r u b j o
rubir	r u β i ɾ
rubién	r u β j ɛ ŋ
rubo	r u b o
rubí	r u b i
rueiro	r u e j ɾ o̝
rufo	r u f o
rural	r u ɾ a l
ruso	r u s o
rustrido	r u s t ɾ i d o
rustrir	r u s t ɾ i ɾ
ruxido	r u ʃ i d o
ruxidoiro	r u ʃ i ð o j ɾ o̝
ruído	r u i d o
ruín	r u i ŋ
ruína	r u i n a
rá	r aː
rápido	r a p i d o
río	r i o
ríxido	r i ʃ i d o
rúa	r u a
sa	s aː
saba	s a β a̝
sabanduxa	s a b a n d u ʃ a
sabedor	s a b e d o ɾ
sabela	s a β ɛ l a̝
sabelo	s a β ɛ l o̝
sabenlo	s a β ɛ n l o̝
saber	s a b e ɾ
sabichón	s a b i t͡ʃ o ŋ
sabida	s a b i d a
sabio	s a b j o
sable	s a b l e
sabor	s a b o ɾ
saboroso	s a β o ɾ o s o̝
sabugueiro	s a β u ɣ e j ɾ o̝
sabuio	s a β u i o̝
sabuxo	s a β u ʃ o̝
sacar	s a k a ɾ
sacaúntos	s a k a u n t o̝ s
sachar	s a t͡ʃ a ɾ
sacho	s a t͡ʃ o
saco	s a k o̝
sacramento	s a k ɾ a m e n t o
sacramento	s a k ɾ a m ɛ n t o
sacrificio	s a k ɾ i f i s j o
sacrificio	s a k ɾ i f i θ j o
sacro	s a k ɾ o
saen	s a ɪ ŋ
sagrado	s a ħ ɾ a d o
sagrado	s a ɡ ɾ a d o
saia	s a j a
saias	s a j a s
saibro	s a j β ɾ o̝
salabardo	s a l a β a ɾ ð o̝
salaiar	s a l a j a ɾ
salame	s a l a m e
salchicha	s a l t͡ʃ i t͡ʃ a
saleiro	s a l e j ɾ o̝
salgadeira	s a l ɣ a ð e j ɾ a̝
salgado	s a l ħ a d o
salgado	s a l ɡ a d o
salgar	s a l ɣ a ɾ
salgueiro	s a l ɣ e j ɾ o̝
salmón	s a l m o ŋ
saloucar	s a l o w k a ɾ
salsa	s a l s a
saltar	s a l t a ɾ
salto	s a l t o
salubre	s a l u b ɾ e
salvación	s a l b a s j o ŋ
salvación	s a l b a θ j o ŋ
salvador	s a l b a d o ɾ
salvar	s a l b a ɾ
salvaste	s a l b a s t e
sambódromo	s a m b ɔ d ɾ o m o
samesuga	s a m e s u ħ a
samesuga	s a m e s u ɡ a
san	s a ŋ
sanción	s a n s j o ŋ
sanción	s a n θ j o ŋ
sandalia	s a n d a l j a
sandar	s a n d a ɾ
saneamento	s a n e a m e n t o
saneamento	s a n e a m ɛ n t o
sangano	s a ŋ ħ a n o
sangano	s a ŋ ɡ a n o
sangaño	s a ŋ ɡ a ɲ o̝
sangomiño	s a ŋ ɡ o m i ɲ o̝
sangría	s a ŋ ħ ɾ i a
sangría	s a ŋ ɡ ɾ i a
sangue	s a ŋ ħ e
sangue	s a ŋ ɡ e
sanguiño	s a ŋ k i ɲ o̝
sanguiño	s a ŋ ɡ i ɲ o̝
santa	s a n t a
santafollo	s a n t a f o ʎ o̝
santidade	s a n t i d a d e
santo	s a n t o
sapo	s a p o
sapoconcho	s a p o k o n t͡ʃ o
saponificar	s a p o n i f i k a ɾ
saramaganta	s a ɾ a m a ħ a n t a
saramaganta	s a ɾ a m a ɡ a n t a
saramago	s a ɾ a m a ɣ o̝
sarampelo	s a ɾ a m p ɛ l o
sarillo	s a ɾ i ʎ o̝
sarna	s a ɾ n a̝
sarrio	s a r j o̝
sarro	s a r o̝
sartaña	s a ɾ t a ɲ a
sarxar	s a ɾ ʃ a ɾ
satélite	s a t ɛ l i t e
saudade	s a w d a d e
saudades	s a w ð a ð e s
sazón	s a s o ŋ
sazón	s a θ o ŋ
saída	s a i ð a̝
saído	s a i d o
saín	s a i ŋ
saír	s a i ɾ
saña	s a ɲ a
sañudo	s a ɲ u d o
se	s e
seara	s e a ɾ a̝
seareiro	s e a ɾ e j ɾ o̝
seareiro	s j a ɾ e j ɾ o̝
sebe	s e β e̝
sebo	s e β o̝
secar	s e k a ɾ
sección	s ɛ k s j o ŋ
sección	s ɛ k θ j o ŋ
secreción	s e k ɾ ɛ s j o ŋ
secreción	s e k ɾ ɛ θ j o ŋ
secretaria	s e k ɾ e t a ɾ j a
secretarias	s e k ɾ e t a ɾ j a s
secretario	s e k ɾ e t a ɾ j o
secretarios	s e k ɾ e t a ɾ j o s
secreto	s e k ɾ e t o
secretor	s e k ɾ e t o ɾ
secretor	s e k ɾ ɛ t o ɾ
secularización	s ɛ k u l a ɾ i s a s j o ŋ
secularización	s ɛ k u l a ɾ i θ a θ j o ŋ
seda	s e d a
sedas	s e d a s
sedela	s e d ɛ l a
sedeño	s e ð e ɲ o̝
seducir	s e d u s i ɾ
seducir	s e d u θ i ɾ
segar	s e ħ a ɾ
segar	s e ɡ a ɾ
segmento	s e ħ m e n t o
segmento	s e ħ m ɛ n t o
segmento	s e ɡ m e n t o
segmento	s e ɡ m ɛ n t o
segorella	s e ɣ o ɾ e ʎ a̝
segregación	s e ħ ɾ ɛ ħ a s j o ŋ
segregación	s e ħ ɾ ɛ ħ a θ j o ŋ
segregación	s e ɡ ɾ ɛ ɡ a θ j o ŋ
seguir	s e ħ i ɾ
seguir	s e ɡ i ɾ
segur	s e ɣ u ɾ
seguridade	s e ħ u ɾ i d a d e
seguridade	s e ɡ u ɾ i d a d e
seica	s e j k a
seimeira	s e j m e j ɾ a̝
seis	s e j s
seita	s e j t a̝
seitura	s e j t u ɾ a̝
sela	s ɛ l a
selección	s e l ɛ k s j o ŋ
selección	s e l ɛ k θ j o ŋ
sella	s e ɟ a
semana	s e m a n a
semanas	s e m a n a s
seme	s ɛ m e
semellar	s e m e ʎ a ɾ
sementar	s e m e n t a ɾ
semente	s e m e n t e
semente	s e m ɛ n t e
sementeira	s e m e n t e j ɾ a
semicilindro	s ɛ m i s i l i n d ɾ o
semicilindro	s ɛ m i θ i l i n d ɾ o
semicilindros	s ɛ m i s i l i n d ɾ o s
semicilindros	s ɛ m i θ i l i n d ɾ o s
sempre	s ɛ m p ɾ e
semáforo	s e m a f o ɾ o
sen	s i ŋ
sen	s ɛ ŋ
senador	s e n a d o ɾ
senectude	s e n ɛ k t u d e
senhor	s e ɲ o ɾ
senlleiro	s e n ʎ e j ɾ o̝
senllo	s e n ʎ o̝
senllos	s e n ɟ o s
senra	s ɛ n r a
sensación	s e n s a s j o ŋ
sensación	s e n s a θ j o ŋ
sensibilidade	s e n s i b i l i d a d e
sensibilización	s e n s i b i l i s a s j o ŋ
sensibilización	s e n s i b i l i θ a θ j o ŋ
senso	s ɛ n s ʊ
senta	s ɛ n t ɐ
sentan	s ɛ n t ɐ ŋ
sentidiño	s e n t i d i ɲ o
sentido	s e n t i d o
sentimental	s e n t i m e n t a l
sentir	s e n t i ɾ
seo	s e o
separación	s e p a ɾ a s j o ŋ
separación	s e p a ɾ a θ j o ŋ
separadamente	s e p a ɾ a d a m e n t e
sepultar	s e p u l t a ɾ
sepultura	s e p u l t u ɾ a
sequeiro	s e k e j ɾ o̝
ser	s e ɾ
serea	s e ɾ e a̝
serenidade	s e ɾ e n i d a d e
serodio	s e ɾ o d j o
serpe	s ɛ ɾ p e
serra	s ɛ r a
serrapio	s e r a p j o̝
serrón	s e r o ŋ
servente	s e ɾ b e n t e
serventía	s e ɾ b e n t i a
servidume	s e ɾ b i d u m e
servir	s e ɾ b i ɾ
serviram	s e ɾ b i ɾ a m
serviras	s e ɾ b i ɾ a s
servizo	s e ɾ b i s o
servizo	s e ɾ b i θ o
servo	s ɛ ɾ b o
serán	s e ɾ a ŋ
sesenta	s e s e n t a
seta	s ɛ t a
sete	s ɛ t e
setembro	s e t e m b ɾ o
setembro	s e t ɛ m b ɾ o
setenta	s e t e n t a
setenta	s ɛ t e n t a
seus	s e w s
severidade	s e b e ɾ i d a d e
severo	s e b ɛ ɾ o
sevillano	s e b i ɟ a n o
sexa	s e ʃ ɐ
sexades	s e ʃ a d e s
sexan	s e ʃ ɐ ŋ
sextina	s ɛ k s t i n a
sexto	s e k s t o
sexual	s ɛ k s u a l
seña	s e ɲ a
señor	s e ɲ o ɾ
si	s i
sidra	s i d ɾ a
significado	s i ŋ n i f i k a d o
silencio	s i l ɛ n s j o
silencio	s i l ɛ n θ j o
silla	s i ɟ a
silva	s i l b a
silábico	s i l a b i k o
simpatizante	s i m p a t i s a n t e
simpatizante	s i m p a t i θ a n t e
simple	s i m p l e
simplemente	s i m p l e m e n t e
simplificar	s i m p l i f i k a ɾ
simulacro	s i m u l a k ɾ o
sinal	s i n a l
sinalar	s i n a l a ɾ
sinalizar	s i n a l i s a ɾ
sinalizar	s i n a l i θ a ɾ
sinapismo	s i n a p i s m o
sinceramente	s i n s ɛ ɾ a m e n t e
sinceramente	s i n θ ɛ ɾ a m e n t e
sinceridade	s i n s e ɾ i d a d e
sinceridade	s i n θ e ɾ i d a d e
sincero	s i n s ɛ ɾ o
sincero	s i n θ ɛ ɾ o
sindical	s i n d i k a l
sindicato	s i n d i k a t o
sineiro	s i n e j ɾ o
singapuriano	s i n ɡ a p u ɾ j ɐ n ʊ
singrar	s i ŋ ɡ ɾ a ɾ
singular	s i ŋ ħ u l a ɾ
singular	s i ŋ ɡ u l a ɾ
singularidade	s i ŋ ħ u l a ɾ i d a d e
singularidade	s i ŋ ɡ u l a ɾ i d a d e
sino	s i n o̝
sintomático	s i n t o m a t i k o
sinxebra	s i n ʃ e b ɾ a
sinxelo	s i n ʃ ɛ l o
sirgo	s i ɾ ħ o
sirgo	s i ɾ ɡ o
sisa	s i s a̝
siso	s i s o̝
sistema	s i s t e m a
sistema	s i s t ɛ m a
sistemático	s i s t e m a t i k o
sitio	s i t j o
situación	s i t w a s j o ŋ
situación	s i t w a θ j o ŋ
soar	s o a ɾ
soarego	s o a ɾ ɛ ɣ o̝
soarego	s o̯ a ɾ ɛ ɣ o̝
soaxe	s o a ʃ e̝
soberano	s o b e ɾ a n o
soberanía	s o b e ɾ a n i a
sobexo	s o β e ʃ o̝
sobradar	s o β ɾ a ð a ɾ
sobrado	s o β ɾ a ð o̝
sobrazar	s o b ɾ a s a ɾ
sobrazar	s o b ɾ a θ a ɾ
sobre	s o b ɾ e
sobrealimentación	s o b ɾ a l i m e n t a s j o ŋ
sobrealimentación	s o b ɾ a l i m e n t a θ j o ŋ
sobrealimentación	s o b ɾ a l i m ɛ n t a s j o ŋ
sobrealimentación	s o b ɾ a l i m ɛ n t a θ j o ŋ
sobrealimentación	s o b ɾ e a l i m e n t a s j o ŋ
sobrealimentación	s o b ɾ e a l i m e n t a θ j o ŋ
sobrealimentación	s o b ɾ e a l i m ɛ n t a s j o ŋ
sobrealimentación	s o b ɾ e a l i m ɛ n t a θ j o ŋ
sobreira	s o b ɾ e j ɾ a
sobriedade	s o b ɾ j e d a d e
sobriño	s o b ɾ i ɲ o
socalcar	s o k a l k a ɾ
socalco	s o k a l k o̝
sociable	s ɔ s j a b l e
sociable	s ɔ θ j a b l e
social	s ɔ s j a l
social	s ɔ θ j a l
socialismo	s ɔ s j a l i s m o
socialismo	s ɔ θ j a l i s m o
socialista	s ɔ s j a l i s t a
socialista	s ɔ θ j a l i s t a
sociedade	s ɔ s j ɛ d a d e
sociedade	s ɔ θ j ɛ d a d e
sociolingüística	s ɔ s j o l i ŋ ħ w i s t i k a
sociolingüística	s ɔ θ j o l i ŋ ħ w i s t i k a
sociolingüística	s ɔ θ j o l i ŋ ɡ w i s t i k a
sociolingüístico	s ɔ s j o l i ŋ ħ w i s t i k o
sociolingüístico	s ɔ θ j o l i ŋ ħ w i s t i k o
sociolingüístico	s ɔ θ j o l i ŋ ɡ w i s t i k o
sodes	s o d ɪ s
sodomía	s o d o m i a
soer	s o e ɾ
sofá	s o f a
sofás	s o f a s
soga	s o ħ a
soga	s o ɡ a
soio	s o j o̝
sol	s o l
sol	s ɔ l
sola	s ɔ l a̝
solaina	s o l a j n a̝
solar	s o l a ɾ
solda	s o l d a̝
solda	s ɔ l d a̝
soldado	s o l d a d o
soldadura	s o l d a ð u ɾ a̝
soldar	s o l ð a ɾ
solemne	s o l ɛ m n e
solemne	s o l ɛ ŋ n e
solla	s o ʎ a̝
sollar	s o ʎ a ɾ
solleiro	s o ɟ e j ɾ o
sollo	s o ʎ o̝
sollío	s o ɟ i o
solpor	s o l p o ɾ
soltar	s o l t a ɾ
solteiro	s o l t e j ɾ o
solto	s o l t o
solto	s ɔ l t o
solución	s o l u s j o ŋ
solución	s o l u θ j o ŋ
sombra	s o m b ɾ a
somorgullar	s o m o ɾ ɣ u ʎ a ɾ
somorgullo	s o m o ɾ ɣ u ʎ o̝
somos	s o m o s
son	s o ŋ
sona	s o n a
soneca	s o n ɛ k a̝
soneto	s o n e t o
sono	s o n o
sopa	s o p a
sopapo	s o p a p o
sorbeira	s o ɾ β e j ɾ a̝
soro	s o ɾ o̝̝
sorrir	s o r iː ɾ
sorte	s ɔ ɾ t e̝
sortella	s o ɾ t e ʎ a̝
sosegar	s o s e ħ a ɾ
sosegar	s o s e ɡ a ɾ
soterrar	s o t e r a ɾ
soto	s o t o
soutar	s o w t a ɾ
soutelo	s o w t e l o
souto	s o w t o
soviética	s o b j ɛ t i k a
soviéticos	s o b j ɛ t i k o s
soá	s o a
soán	s o a ŋ
soñar	s o ɲ a ɾ
soño	s o ɲ o
suba	s u b a
subarrendar	s u b a r e n d a ɾ
subela	s u b ɛ l a
subgrupo	s u b ħ ɾ u p o
subgrupo	s u b ɡ ɾ u p o
subgrupos	s u b ħ ɾ u p o s
subgrupos	s u b ɡ ɾ u p o s
submarino	s u b m a ɾ i n o
subsistencia	s u b s i s t e n s j a
subsistencia	s u b s i s t e n θ j a
substancia	s u b s t a n s j a
substancia	s u b s t a n θ j a
subtitulo	s u b t i t u l o
subtropical	s u b t ɾ ɔ p i k a l
subtítulo	s u b t i t u l o
subvención	s u b b e n s j o ŋ
subvención	s u b b e n θ j o ŋ
subversivo	s u b b ɛ ɾ s i b o
subversión	s u b b ɛ ɾ s j o ŋ
subversor	s u b b ɛ ɾ s o ɾ
subverter	s u b b e ɾ t e ɾ
subxectivo	s u b ʃ e k t i b o
sucada	s u k a ð a̝
sucar	s u k a ɾ
suceder	s u s e d e ɾ
suceder	s u θ e d e ɾ
suceso	s u s e s o
suceso	s u θ e s o
sucho	s u t͡ʃ o̝
sucho	θ u t͡ʃ o̝
sucidade	s u s i d a d e
sucidade	s u θ i d a d e
sucio	s u s j o
sucio	s u θ j o
suco	s u k o
sudanesa	s u d a n e s a
sudanesas	s u d a n e s a s
sudaneses	s u d a n e s e s
sudanés	s u d a n e s
sueco	s w ɛ k o
suficiente	s u f i s j ɛ n t e
suficiente	s u f i θ j ɛ n t e
suficientes	s u f i θ j e n t ɪ s
sufragáneo	s u f ɾ a ħ a n e o
sufragáneo	s u f ɾ a ɡ a n e o
sufrir	s u f ɾ i ɾ
suicidio	s u j s i d j o
suicidio	s u j θ i d j o
suicídio	s u j s i d j o
suicídio	s u j θ i d j o
sulfato	s u l f a t o
sultán	s u l t a ŋ
suma	s u m a
suor	s u o ɾ
suorento	s u o ɾ e n t o̝
suorento	s u o ɾ ɛ n t o̝
superficial	s u p e ɾ f i s j a l
superficial	s u p e ɾ f i θ j a l
superficie	s u p e ɾ i f i s j e
superficie	s u p e ɾ i f i θ j e
supostamente	s u p ɔ s t a m e n t e
suposto	s u p o s t o
suposto	s u p ɔ s t o
suprimida	s u p ɾ i m i d a
suprimiu	s u p ɾ i m i w
sur	s u ɾ
surafricano	s u ɾ a f ɾ i k a n o
surcoreano	s u ɾ k ɔ ɾ e a n o
suspirar	s u s p i ɾ a ɾ
suspiras	s u s p i ɾ a s
suspiro	s u s p i ɾ o
sutil	s u t i l
sutileza	s u t i l e s a
sutileza	s u t i l e θ a
suxeito	s u ʃ e j t o
sábado	s a b a d o
sábados	s a b a d o s
sé	s ɛ
sésil	s ɛ s i l
sétimo	s ɛ t i m o
sílaba	s i l a b a
símbolo	s i m b o l o
síntese	s i n t e s e
síntoma	s i n t o m a
sólido	s ɔ l i d o
tabaco	t a b a k o
tabardo	t a β a ɾ ð o̝
taberna	t a b ɛ ɾ n a
taberneiro	t a β e ɾ n e j ɾ o̝
taberneiro	t a β ɛ ɾ n e j ɾ o̝
taboado	t a β o̯ a ð o̝
tabuela	t a β u ɛ l a̝
tabán	t a β a ŋ
tacha	t a t͡ʃ a
tacho	t a t͡ʃ o
tacoar	t a k o a ɾ
tacón	t a k o ŋ
tafona	t a f o n a̝
tailandés	t a j l ɐ n d ɛ s
taleiga	t a l e j ħ a
taleiga	t a l e j ɡ a
taleigán	t a l e j ɣ a ŋ
talla	t a ɟ a
talladeira	t a ʎ a ð e j ɾ a̝
tallador	t a ʎ a ð o ɾ
tallar	t a ʎ a ɾ
talle	t a ɟ e
tallo	t a ʎ o̝
tamaño	t a m a ɲ o
tambo	t a m b o̝
tamboira	t a m b o j ɾ a̝
tambor	t a m b o ɾ
tamouca	t a m o w k a̝
tampa	t a m p a
tampouco	t a m p o w k o
tamén	t a m ɛ ŋ
tan	t a ŋ
tangaraño	t a ŋ ħ a ɾ a ɲ o
tangaraño	t a ŋ ɡ a ɾ a ɲ o
tanguer	t a ŋ ɡ e ɾ
tano	t a n o
tanza	t a n s a
tanza	t a n θ a
tapada	t a p a ð a̝
tapadeira	t a p a d e j ɾ a
tapadura	t a p a d u ɾ a
tapar	t a p a ɾ
tapume	t a p u m e
tarabela	t a ɾ a β ɛ l a̝
tarañola	t a ɾ a ɲ ɔ l ɐ
tardar	t a ɾ d a ɾ
tarde	t a ɾ d e
tardiña	t a ɾ ð i ɲ a̝
tardo	t a ɾ d o
tarefa	t a ɾ ɛ f a
targa	t a ɾ ɣ a̝
taro	t a ɾ o̝
tarrañola	t a r a ɲ ɔ l ɐ
tartaruga	t a ɾ t a ɾ u ħ a
tartaruga	t a ɾ t a ɾ u ɡ a
tasca	t a s k a̝
tascar	t a s k a ɾ
tasco	t a s k o̝
tascón	t a s k o ŋ
tatexar	t a t e ʃ a ɾ
tato	t a t o
tau	t a w
tauromaquia	t a u ɾ o m a k j a
taxa	t a ʃ a̝
te	t e
tea	t e a̝
tear	t e a ɾ
teatralmente	t e a t ɾ a l m e n t e
teatro	t e a t ɾ o
teaxe	t e a ʃ e
teaz	t e a s
teaz	t e a θ
tebra	t ɛ β ɾ a̝
tebras	t ɛ β ɾ a̝ s
tece	t e s e
tece	t e θ e
tecelán	t e s e l a ŋ
tecelán	t e θ e l a ŋ
tecer	t e s e ɾ
tecer	t e θ e ɾ
tecido	t e s i d o
tecido	t e θ i d o
