aachen	ɑː k eː n
rand	r a n d
ras	r ɑː s
rationell	r a t ɧ ʊ n ɛ l
rauk	r a͜ʊ k
realisationsvinstbeskattning	r eː a l ɪ s a ² ɧ uː n s v ɪ n s t b ɛ s k a t n ɪ ŋ
recept	r ɛ s ɛ p t
red	r eː d
reform	r e f ɔ r m
regera	r ɛ j eː r a
regering	r ɛ j eː r ɪ ŋ
regi	r ɛ ɧ iː
regim	r ɛ ɧ iː m
regissör	r ɛ ɧ ɪ s øː r
register	r ɛ j ɪ s t ɛ r
registrera	r ɛ ɡ ɪ s t r eː r a
registrera	r ɛ j ɪ s t r eː r a
regn	r ɛ ŋ n
regna	r e ŋ n a
rejäl	r ɛ j ɛː l
reklam	r ɛ k l ɑː m
reklamera	r ɛ k l a m eː r a
rekommendera	r ɛ k ʊ m ɛ n d eː r a
relation	r ɛ l a ɧ uː n
relativitet	r ɛ l a t ɪ v ɪ t eː t
relativitetsteori	r ɛ l a t ɪ v ɪ ² t eː t s t ɛ ʊ r iː
religion	r ɛ l ɪ j uː n
religiös	r ɛ l ɪ ɧ øː s
renommé	r ɛ n ɔ m eː
renommésnyltning	r ɛ n ɔ m eː s n ʏ l t n ɪ ŋ
rent	r eː n t
rep	r eː p
replokal	² r eː p l ʊ k ɑː l
reson	r ɛ s uː n
restaurang	r ɛ s t ɵ r a ŋ
restaurang	r ɛ s t a ʊ̯ r a ŋ
resultat	r ɛ s ɵ l t ɑː t
rev	r eː v
revolution	r ɛ v ʊ l ɵ ɧ uː n
reykjavik	² r ɛ j k j a v iː k
ribbstol	² r ɪ b s t uː l
rik	r iː k
rike	r iː k ɛ
riksrätt	² r ɪ k s r ɛ tː
rikssvenska	² r ɪ k s s v ɛ n s k a
riktig	² r ɪ kː t ɪ ɡ
ringand	ɾ ɪ ŋ a n d
ringduva	ɾ ɪ ŋ d ʉː v a
ris	r iː s
robert	¹ r oː b ɛ ʈ
robert	¹ r oː b æ ʈ
rock	¹ r ɔ k
roffe	² r ɔ f ɛ
rom	r ɔ m
rom	r ʊ m
rom	r ɔ m
rom	r ʊ m
rom	r oː m
romare	² r ʊ m a r ɛ
ros	r uː s
rosa	r oː s a
rosa	r uː s a
rosenstare	r uː s ɛ n s t ɑː r ɛ
rosentärna	r uː s ɛ n t ɜ r n a
rosett	r ʊ s ɛ t
roskarl	r uː s k ɑː r l
rostand	ɾ ɔ s t a n d
rostgumpsvala	r ɔ s t ɡ ɵ m p s v ɑː l a
rostmes	r ɔ s t m eː s
rot	r uː t
rotmos	² r uː t m uː s
rotting	² r ɔ t ɪ ŋ
rov	r uː v
rova	² r uː v a
ruckel	r ɵ k ɛ l
rulle	² r ɵ l ɛ
rum	r ɵ m
rumänska	r ɵ m ɛ n s k a
rumänska	r ɵ m ɛ n s k a
russin	² r ɵ s ɪ n
rwanda	² r v a n d a
ryska	² r ʏ s k a
ryssja	² r ʏ ɧː a
ryttare	r ʏ t a r e
räd	r ɛː d
rälig	r ɛː l ɪ ɡ
ränna	r ɛ n a
räv	r ɛː v
rävar	r ɛː v a r
rävtik	² r ɛː v t iː k
rävtikar	r ɛː v t iː k a r
rävtiken	r ɛː v t iː k ɛ n
rävunge	r ɛː v ɵ ŋ ɛ
rå	r oː
råd	r oː d
rådjur	r oː j ʉː r
råg	r oː ɡ
rån	r oː n
råtta	r ɔ t a
röd	r øː d
röd	r øː
rödbena	r øː d b eː n a
rödfalk	r øː d f a l k
rödlök	r øː d l øː k
rödspov	r øː d s p uː v
rödvarg	² r øː d v a r j
rök	r øː k
rökfritt	² r øː k f r ɪ t
rökning	² r øː k n ɪ ŋ
rölleka	r œ l ɛ k a
rölleka	r œ l ɛ k a
rörhöna	ɾ øː ɾ h øː n a
rörlig	² r œ ɭ ɪ ɡ
rörsångare	r øː r s ɔ ŋ a r ɛ
rösa	² r øː s a
röst	r œ s t
rövslickare	² r øː v s l ɪ k a r ɛ
sa	s ɑː
sabla	s ɑː b l a
sabotage	s a b ʊ t ɑː ɧ
sade	s ɑː d ɛ
saft	s a f t
sagt	s a k t
sak	s ɑː k
sakna	s ɑː k n a
saldo	s a l d ʊ
salt	s a l t
sam	s a m
sambo	s a m b ʊ
sambo	² s a m b uː
sambo	s a m b ʊ
samling	² s a m l ɪ ŋ
sammanhänga	² s a m a n h ɛ ŋ a
samt	s a m t
samtal	s a m t ɑː l
sandig	² s a n d ɪ ɡ
sandlöpare	s a n d l øː p a r e
sandsnäppa	s a n dː s n ɛ p a
sandtärna	s a n d t ɜ r n a
sandvita	s a n d v iː t a
sareptasenap	s a r ɛ p t a s eː n a p
satan	s ɑː t a n
saturnus	s a t ɵ r n ɵ s
schack	ɧ a k
schampo	ɧ a m p ʊ
schasa	² ɧ ɑː s a
schejk	ɧ ɛ j k
schema	ɧ eː m a
schlager	ɧ l ɑː ɡ e r
schweiz	ʂ v ɛ jː t s
se	s eː
sedan	s eː d a n
sedan	s ɛ n
sedel	s eː d ɛ l
seeda	s iː d a
seg	s eː ɡ
seger	s eː ɡ ɛ r
segling	² s eː ɡ l ɪ ŋ
sejour	s ɛ ɧ uː r
selen	s ɛ l eː n
semester	s ɛ m ɛ s t ɛ r
semestrar	s ɛ m ɛ s t r a r
semla	² s ɛ m l a
semla	² s e m l a
semla	s e m l ɑ
sen	s eː n
sen	s ɛ n
senapsgul	s eː n a p s ɡ ʉː l
senapssill	² s eː n a p s s ɪ l
sent	s eː n t
separation	s e p a r a ɧ uː n
september	s ɛ p t ɛ m b ɛ r
serve	s ɵ r v
set	s ɛ tː
seta	s ɛː t a
sett	s ɛ tː
sevilla	s ɛ v iː a
sex	s ɛ k s
sextio	² s ɛ k s t ɪ ʊ
sextio	² s ɛ k s t ɪ
sexton	s ɛ k s t ɔ n
sexualitet	s ɛ k s ɵ a l ɪ t eː t
sexualkunskap	s ɛ k s ɵ ɑː l k ɵ n s k ɑː p
shetlandsöarna	ɧ ɛ t l a n d s øː a ɳ a
shobresvenska	² ɕ uː b r ɛ s v ɛ n s k a
shopping	¹ ɧ ɔ p ɪ ŋ
shorts	ɧ oː ʈ ʂ
shorts	ʃ oː ʈ ʂ
show	ɧ ɔ͡ʊ
show	ɧ ɔ v
show	ɧ oː
sida	² s iː d a
sig	s ɛ j
sig	s a j
sikt	s ɪ k t
silkeshäger	s ɪ l k ɛ s h ɛ ɡ ɛ r
sill	s ɪ l
sillgrissla	s ɪ l ɡ r ɪ s l a
silltrut	s ɪ l t r ʉː t
silver	s ɪ l v ɛ r
silvertärna	s ɪ l v ɛ r t ɜ r n a
simma	² s ɪ m a
sin	s iː n
sinfonietta	s ɪ n f ɔ n ɪ ² ɛ t a
sinnes	² s ɪ n ɛ s
sitar	s ɪ t ɑː r
sitt	s ɪ tː
sitta	² s ɪ t a
situation	s ɪ t v a ɧ uː n
situation	s ɪ t ɵ a ɧ uː n
sjal	ɧ ɑː l
sjok	ɧ uː k
sju	ɧ ʉː
sjucker	ɧ ɵ k ɛ r
sjuda	ɧ ʉː d a
sjuk	ɧ ʉː k
sjuka	² ɧ ʉː k a
sjukdom	² ɧ ʉː k d ʊ m
sjukhus	² ɧ ʉː k h ʉː s
sjukna	² ɧ ʉː k n a
sjuksköterska	² ɧ ʉː k ɧ øː t ɛ r s k a
sjukt	ɧ ʉː k t
sjunde	ɧ ɵ n d ɛ
sjunga	² ɧ ɵ ŋ a
sjunka	ɧ ɵ ŋː k a
sjuttio	² ɧ ɵ t ɪ ʊ
sjuttio	² ɧ ɵ t ɪ
sjutton	ɧ ɵ t ɔ n
själ	ɧ ɛː l
själv	ɧ ɛ l v
självklar	² ɧ ɛ l v k l ɑː r
självklarhet	² ɧ ɛ l v k l ɑː r h eː t
sjätte	ɧ ɛ t ɛ
sjö	ɧ øː
sjökalv	² ɧ øː k a l v
sjökvist	² ɧ øː k v ɪ s t
sjöman	ɧ øː m a n
sjön	ɧ œ n
sjöorre	ɧ øː ɔ ɾ ɛ
sjöquist	² ɧ øː k v ɪ s t
sjöqvist	² ɧ øː k v ɪ s t
ska	s k ɑː
ska	s k ɑː
ska	s k aː
skabb	s k a b
skaffel	ɧ a fː ɛ l
skakis	¹ s k ɑː k ɪ s
skakning	s k ɑː k n ɪ ŋ
skall	s k a l
skam	s k a m
skandium	s k a n d ɪ ɵ m
skapa	s k ɑː p a
skapelse	s k ɑː p ɛ l s ɛ
skatgök	s k ɑː t j øː k
ske	ɧ eː
sked	ɧ eː d
skedand	ɧ eː d a n d
skedstork	ɧ eː d s t ɔ r k
sken	ɧ eː n
skepp	ɧ ɛ p
skepparkrans	ɧ ɛ pː a r k r a n s
skeptisk	¹ s k ɛ p t ɪ s k
skeptisk	¹ ɧ ɛ p t ɪ s k
sket	ɧ eː t
skev	ɧ eː v
skicka	ɧ ɪ k a
skiffer	ɧ ɪ f ɛ r
skiffermes	ɧ ɪ f ɛ ɾ m eː s
skiffertrut	ɧ ɪ f ɛ r t r ʉː t
skildring	² ɧ ɪ l d r ɪ ŋ
skilja	² ɧ ɪ l j a
skilling	ɧ ɪ l ɪ ŋ
skillnad	ɧ ɪ l n a d
skina	ɧ iː n a
skinn	ɧ ɪ nː
skit	ɧ iː t
skiva	² ɧ iː v a
skjorta	ɧ ʊ r t a
skjul	ɧ ʉː l
skjuta	² ɧ ʉː t a
skjutglad	ɧ ʉ̟ː t ɡ l ɑː d
skjutsa	ɧ ɵ sː a
sko	s k uː
skock	s k ɔ k
skogsduva	s k ʊ ɡ͡s d ʉː v a
skogssnäppa	s k ʊ ɡ s s n ɛ p a
skogsstjärna	s k ʊ k s ɧ ɛː r n a
skola	² s k uː l a
skolbespisning	² s k uː l b ɛ s p iː s n ɪ ŋ
skolka	s k ɔ l k a
skolmat	² s k uː l m ɑː t
skolmatsal	² s k uː l m ɑː t s ɑː l
skorsten	² s k ɔ ʂ t eː n
skorstensseglare	s k ɔ ʂ t eː n s eː ɡ l a ɾ ɛ
skoskav	² s k uː s k ɑː v
skotskt	s k ɔ t s k t
skottland	s k ɔ t l a n d
skraj	s k r a j
skribent	s k r ɪ b ɛ n t
skridsko	¹ s k r ɪ s k ʊ
skrik	s k r iː k
skrikstrandpipare	s k r iː k s t r a n d p iː p a r ɛ
skrikörn	s k r iː k øː r n
skrin	s k r iː n
skriva	s k r iː v a
skrivmaskin	² s k r iː v m a ɧ iː n
skrivning	s k r iː v n ɪ ŋ
skrota	s k r uː t a
skruv	s k r ʉː v
skrämma	² s k r ɛ m a
skräntärna	s k r ɛ n t ɜ r n a
skula	² s k ʉː l a
skull	s k ɵ lː
skulle	s k ɵ lː ə
skumvin	s k ʉ m v iː n
skur	s k ʉː r
skvader	s k v ɑː d ɛ r
sky	ɧ yː
skydd	ɧ ʏ d
skyddshjälm	ɧ ʏ d s j ɛ l m
skyddsväg	ɕ y d s v eː ɡ
skyfall	² ɧ ỳː f a l
skygg	ɧ ʏ ɡ
skyhög	ɧ ỳː h øː ɡ
skylt	ɧ ʏ l t
skymma	ɧ ʏ m a
skymning	ɧ ʏ m n ɪ ŋ
skytt	ɧ ʏ t
skytte	² ɧ ʏ t ɛ
skytten	¹ ɧ ʏ t ɛ n
skytten	² ɧ ʏ t ɛ n
skägg	ɧ ɛ ɡː
skäggdopping	ɧ ɛ ɡ d ɔ p ɪ ŋ
skäggmes	ɧ ɛ ɡ m eː s
skäggtärna	ɧ ɛ ɡ t ɜ r n a
skäl	ɧ ɛː l
skälig	² ɧ ɛː l ɪ ɡ
skämskudde	² ɧ ɛ m s k ɵ d ɛ
skämt	ɧ ɛ m t
skänka	² ɧ ɛ ŋ k a
skär	ɧ æː r
skära	ɧ æː r a
skärfläcka	ɧ ɛː ɾ f l ɛ k a
skärp	ɧ ɛ r p
skärp	ʃ æ r p
skärpa	² ɧ æ r p a
skärsnäppa	ɧ ɛː r s n ɛ p a
skåda	s k oː d a
sköld	ɧ œ l d
sköldpadda	ɧ œ l d p a d a
skölja	ɧ œ lː j a
skön	ɧ øː n
skönhetssalong	ɧ øː n h eː t s ‿ s a l ɔ ŋ
skörbjugg	² ɧ œː r b j ɵ ɡ
sköt	ɧ øː t
sköts	ɧ øː t s
slagsmål	s l a k s m oː l
slaguggla	s l ɑː ɡ ɵ ɡ l a
slangens	s l a ŋ e n s
sleva	² s l eː v a
slitvarg	² s l iː t v a r j
slog	s l uː ɡ
slogs	s l ʊ k s
slogs	s l uː ɡ s
slogs	s l uː k s
slussa	² s l ɵ s a
slut	s l ʉː t
sluten	¹ s l ʉː t ɛ n
sluten	² s l ʉː t ɛ n
slutrea	² s l ʉː t r eː a
slutspurt	s l ʉː t s p ɵ r t
släkt	s l ɛ k t
slät	s l ɛː t
slå	s l oː
slån	s l oː n
slö	s l øː
slöjd	s l œ j d
slösa	² s l øː s a
slöseri	s l øː s ɛ r iː
smarrig	² s m a r ɪ ɡ
smaska	² s m a s k a
smaskig	² s m a s k ɪ ɡ
smed	s m eː d
smet	s m eː t
smittkurva	² s m ɪ t k ɵ r v a
smoking	s m oː k ɪ ŋ
smulgubbe	² s m ʉ̟ː l ɡ ɵ b ɛ
smultron	s m ɵ l t r ɔ n
smultronställe	² s m ɵ l t r ɔ n s t ɛ l ɛ
smurf	s m ɵ r f
smutsgam	s m ɵ t s ɡ ɑː m
smyg	s m yː ɡ
små	s m oː
småborgare	² s m oː b ɔ r j a r e
småborgerlig	² s m oː b ɔ r j ɛ r l ɪ ɡ
småborgerlighet	² s m oː b ɔ r j ɛ r l ɪ ɡ h eː t
smådopping	s m oː d ɔ p ɪ ŋ
småkusin	² s m oː k ɵ s iː n
småkusin	s m oː k ʉ s iː n
smålom	s m oː l ʊ m
småskrake	s m oː k ɾ ɑː k ɛ
småskuren	² s m oː s k ʉ̟ː r ɛ n
småsnäppa	s m oː s n ɛ p a
småtrapp	s m ɔ t ɾ a p
småtärna	s m oː t ɜ r n a
smör	s m øː r
smörgås	s m œ r ɡ oː s
smörgås	s m œ r ɡ ɔ s
smörgåsbord	s m œ r ɡ ɔ s b uː r d
smörgåstårta	² s m œ r ɡ ɔ s t oː r t a
snabb	s n a b
snabbt	s n a p t
snacka	² s n a kː a
snapsvisa	² s n a p s v iː s a
snart	s n ɑː ʈ
snatterand	s n a t ɛ ɾ a n d
sne	s n eː
snickare	s n ɪ k a r ɛ
snickeri	s n ɪ k ɛ r iː
snickra	s n ɪ k r a
snida	s n iː d a
sno	s n uː
snor	s n uː r
snowboots	s n oː b ɔ t s
snowboots	s n ɔ b ɔ t s
snowboots	s n ɔ uː b ɔ t s
snowboots	s n o ʊ b uː t s
snudd	s n ɵ d
snus	s n ʉ̟ː s
snusa	² s n ʉ̟ː s a
snusare	² s n ʉ̟ː s a r ɛ
snusig	² s n ʉ̟ː s ɪ ɡ
snuskhummer	² s n ɵ s k h ɵ m ɛ r
snusmumrik	² s n ʉ̟ː s m ɵ m r ɪ k
snut	s n ʉː t
snutt	s n ɵ t
snygging	² s n ʏ ɡ ɪ ŋ
snylta	² s n ʏ l t a
snyltning	² s n ʏ l t n ɪ ŋ
snäll	s n ɛ lː
snälla	s n ɛ lː a
snäppa	s n ɛ p a
snål	s n oː l
snåljåp	² s n oː l j oː p
snålvarg	² s n oː l v a r j
snö	s n øː
snöa	² s n øː a
snöga	² s n øː ɡ a
snön	s n œ nː
so	s uː
social	s o s i ɑː l
social	s o ɧ ɑː l
sockenmål	² s ʊ k ɛ n m oː l
sockenmål	² s ɔ k ɛ n m oː l
soda	² s uː d a
sofia	s ʊ ² f iː a
sol	s uː l
solk	s ɔ l k
solna	² s oː l n a
solsken	² s uː l ɧ eː n
solvarg	² s uː l v a r j
som	s ɔ m
somaliames	s ɔ m ɑː l j a m eː s
sommar	s ɔ mː a r
sommartid	s ɔ m a r t iː d
somras	² s ɔ m r a s
son	s oː n
soppa	s ɔ p a
sorg	s ɔ r j
sorl	s oː r l
sortering	s ɔ r t eː r ɪ ŋ
sortering	s ʊ r t eː r ɪ ŋ
sosse	s ʊ s ɛ
sosse	s ɔ s ɛ
sossig	² s ʊ s ɪ ɡ
sossig	² s ɔ s ɪ ɡ
sot	s uː t
sothöna	s uː t h øː n a
sotis	¹ s uː t ɪ s
sottärna	s uː t t ɜ r n a
sov	s oː v
sova	² s oː v a
sovel	s oː v ɛ l
sovjet	s ʊ v ¹ j eː t
sovjet	s ʊ v ¹ j ɛ t
sovstad	s oː v s t ɑː d
sovstad	s oː v s t ɑː d
spanska	² s p a n s k a
spara	s p ɑː r a
sparvuggla	s p a r v ɵ ɡ l a
spasm	s p a s m
spegel	s p eː ɡ ɛ l
spel	s p eː l
spela	s p eː l a
spelar	s p eː l a r
spenat	s p ɛ n ɑː t
speta	² s p eː t a
spetsbergsgrissla	s p ɛ t s b ɛ r j s ɡ r ɪ s l a
spetsbergsgås	s p ɛ t s b ɛ ɾ j s ɡ oː s
spettekaka	² s p ɛ t ɛ k ɑː k a
spetälska	s p eː t æ l s k a
spik	s p iː k
spis	s p iː s
spisa	² s p iː s a
spjut	s p j ʉː t
sport	s p ɔ ʈ
sport	s p ʊ ʈ
spov	s p uː v
spovsnäppa	s p ʊː v s n ɛ p a
sprida	s p r iː d a
sprit	s p r iː t
spruta	² s p r ʉː t a
språk	s p r oː k
spurt	s p ɵ r t
spy	s p yː
spänna	s p ɛ nː a
spå	s p oː
spåga	² s p oː ɡ a
spår	s p oː r
spö	s p øː
spöke	² s p øː k ɛ
spöregn	s p ø̀ː r ɛ ŋ n
stab	s t ɑː b
stad	s t ɑː d
stad	s t a t s
stadig	s t ɑː d ɪ ɡ
stadsbo	² s t a t s b uː
stal	s t ɑː l
stamområde	² s t a m ɔ m r oː d ɛ
stat	s t ɑː t
station	s t a ɧ uː n
station	s t a t͡ʃ uː n
stationär	s t a t ɧ ʊ n æː r
statlig	s t ɑː t l ɪ ɡ
stav	s t ɑː v
stava	s t ɑː v a
stege	s t eː ɡ ɛ
stel	s t eː l
sten	s t eː n
stenfalk	s t eː n f a l k
stensvala	s t eː n s v ɑː l a
stickelbär	² s t ɪ k ɛ l b ɛː r
stig	s t iː ɡ
stig	s t iː ɡ
stillhet	s t ɪ l h eː t
stjäl	ɧ ɛː l
stjäla	ɧ ɛː l a
stjälk	¹ ɧ ɛ l k
stjälpa	ɧ ɛ l p a
stjärt	ɧ ɛ r t
stjärtand	ɧ ɛ ʈ a n d
stockholm	² s t ɔ k h ɔ l m
stockholmssyndrom	² s t ɔ k h ɔ l m s s ʏ n d r oː m
stod	s t uː d
stod	s t uː d
stod	s t uː ɡ
stoft	s t ɔ f t
stol	s t uː l
stomme	s t u m e
stor	s t uː r
storlabb	s t uː r l a b
storlom	s t uː r l ʊ m
storm	s t ɔ r m
stormaktstid	² s t uː r m a k t s t iː d
stormfågel	s t ɔ r m f oː ɡ ɛ l
storskrake	s t uː ɾ s k ɾ ɑː k ɛ
storspov	s t uː r s p uː v
stortrapp	s t uː ɾ t ɾ a p
stova	² s t oː v a
strandskata	s t ɾ a n d s k ɑː t a
strass	s t r a s
strejk	s t r ɛ jː k
strontium	s t r ɔ n t s ɪ ɵ m
stryka	s t r yː k a
stråla	s t ɾ oː l a
stråle	s t r oː l ə
ströbröd	² s t r œː b r œː d
ström	s t r œ m
strömand	s t ɾ œ m a n d
strömming	s t r œ m ɪ ŋ
stubb	s t ɵ b
stubbstjärtseglare	s t ɵ b ɧ ɛ ʈ s eː ɡ l a ɾ ɛ
student	s t ɵ d ɛ n t
studio	s t ʉː d ɪ ʊ
studsa	s t ɵ t s a
stuga	² s t ʉ̟ː ɡ a
stulit	s t ʉː l ɪ t
stut	s t ʉː t
stuva	² s t ʉ̟ː v a
styltlöpare	s t ʏ l t l øː p a ɾ ɛ
styltsnäppa	s t ʏ l t s n ɛ p a
städerska	s t ɛː d ɛ ʂ k a
ställningstagande	² s t ɛ l n ɪ ŋ s t ɑː ɡ a n d ɛ
stämma	² s t ɛ mː a
stäpp	s t ɛ p
stäppflyghöna	s t ɛ p f l yː ɡ h øː n a
stäpphök	s t ɛ p h øː k
stäppsångare	s t ɛ p s ɔ ŋ a r ɛ
stäppvarg	² s t ɛ p v a r j
stäppvipa	s t ɛ p v iː p a
stäppörn	s t ɛ p øː r n
stå	s t oː
stål	s t oː l
stöd	s t øː d
störa	² s t œː r a
störtregn	s t ɶ ʈ r ɛ ŋ n
störtregn	s t ɵ ʈ r ɛ ŋ n
störtskur	s t ɶ ʈ s k ʉː r
störtskur	s t ɵ ʈ s k ʉː r
subjekt	s ɵ b j ɛ k t
subjektiv	s ɵ b j ɛ k t iː v
substantiv	s ɵ b s t a n t iː v
succé	s ʉ k s eː
suck	s ɵ k
sumpvipa	s ɵ m p v iː p a
sund	s ɵ n d
sundsvall	s ɵ nː d s v a l
supa	s ʉː p a
super	² s ʉː p ɛ r
supinum	s ɵ p iː n ɵ m
sur	s ʉː r
sura	² s ʉː r a
surpuppa	² s ʉ̟ː r p ɵ p a
surströmming	s ʉː r s t r œ m ɪ ŋ
svag	s v ɑː ɡ
svala	² s v ɑː l a
svan	s v ɑː n
svans	s v a n s
svans	s v ɑː n s
svansrem	s v a n s r ɛ m
svar	s v ɑː r
svara	s v ɑː r a
svart	¹ s v a r t
svartand	s v a ʈ a n d
svarthakedopping	s v a ʈ h ɑː k ɛ d ɔ p ɪ ŋ
svartis	² s v a r t iː s
svartis	¹ s v a r t ɪ s
svartkråka	s v a r t k r oː k a
svartpeppar	s v a ʈ p ɛ p a ɾ
svartsenap	s v a ʈ s eː n a p
svartsnäppa	s v a r t s n ɛ p a
svarttärna	s v a r t t ɜ r n a
svarv	s v a r v
svavel	s v ɑː v ɛ l
sveg	s v eː ɡ
svek	s v eː k
sven	s v ɛ n
sven	s v ɛ n
svensk	s v ɛ nː s k
svenska	² s v ɛ n s k a
svenskjävel	² s v ɛ nː s k j ɛː v ɛ l
sverige	¹ s v ɛ r j ɛ
svika	² s v iː k a
svit	s v iː t
svor	s v uː r
svärd	s v æː r d
svärta	s v ɛ ʈ a
svåger	s v oː ɡ ə r
svår	¹ s v oː r
svårt	s v oː ʈ
swisha	² s w ɪ ɕː a
swisha	² s v ɪ ɕː a
syd	s yː d
sydafrikansk	s ỵː d a f r i k aː n s k
sydkorea	² s yː d k ʊ r eː a
sydsamiska	s yː d s ɑː m ɪ s k a
syl	s yː l
syll	s ʏ l
sylt	s ʏ l t
sylta	s ʏ l t a
sylvass	s yː l v a s
symfoni	s ʏ m f ʊ n iː
symfoniorkester	s ʏ m f ʊ n iː ɔ r k ɛ s t ɛ r
syntes	s ʏ n t eː s
syra	s yː r a
syrak	s yː r a k
syre	s yː r ɛ
syrra	² s ʏ r a
syssling	² s ʏ s l ɪ ŋ
syssna	² s ʏ s n a
systemet	s ʏ ² s t eː m ɛ t
syster	s ʏ sː t ɛ r
sädesfrö	² s ɛː d ɛ s f r øː
sädgås	s ɛː d ɡ oː s
säga	s ɛ jː a
säl	s ɛː l
sälarna	s æː l a ɳ a
sälg	s ɛ l j
sälja	s ɛ lː j a
säljare	s ɛ l j a r e
säll	s ɛ l
säng	s ɛ ŋː
sängram	s ɛ ŋ r ɑː m
säpo	s ɛː p ʊ
särbo	s ɛː r b ʊ
särbo	² s ɛː r b uː
särskild	² s ɛː r ɧ ɪ l d
särskrivning	² s ɛː r s k r iː v n ɪ ŋ
sätt	s ɛ tː
sävsångare	s ɛː v s ɔ ŋ a r ɛ
så	s oː
såg	s oː ɡ
sågverk	s oː ɡ v ɛ r k
sån	s oː n
sån	s ɔ nː
sång	s ɔ ŋː
sångsvan	s ɔ ŋ s v ɑː n
sånär	s ɔ n ɛː r
sår	s oː r
sås	s oː s
söder	s øː d ə r
södermanland	s øː d ɛ r m a n l a n d
södermanland	s œ r m l a n d
södertälje	s œ d ɛ ʈ ɛ lː j ɛ
sökbar	² s ø k b ɑː r
söm	s œ m
sömn	s œ m n
söndag	s œ n d ɑː ɡ
söndag	s œ n d a
söt	s øː t
sötebröd	² s øː t ɛ b r øː d
sötebrödsdagar	² s øː t ɛ b r øː d s d ɑː ɡ a r
sött	s œ t
söul	s øː ʉː l
t	t eː
ta	t ɑː
tabbe	t a b ɛ
tack	t a k
tag	t ɑː ɡ
taggstjärtseglare	t a ɡ ɧ ɛ ʈ s eː ɡ l a ɾ ɛ
taiwanmes	t a j w a n m eː s
tajgasädgås	t a j ɡ a ɡ oː s
tajgasångare	t a j ɡ a s ɔ ŋ a r ɛ
tak	t ɑː k
tala	t ɑː l a
talang	t a l a ŋ
talko	t a lː k ɔ
tall	t a l
tallbit	t a l b iː t
tallgråmes	t a l ɡ ɾ oː m eː s
talong	t a l ɔ ŋ
tambur	t a m b ʉː r
tand	t a n d
tango	t a ŋ ɡ ʊ
tanig	t ɑː n ɪ ɡ
tanke	² t a ŋː k ɛ
tankesmedja	² t a ŋ k ɛ s m eː d j a
tant	t a n t
tarzan	¹ t a ʂ a n
tasse	² t a s ɛ
tassemark	² t a s ɛ m a r k
tatarfalk	t a t ɑː r f a l k
tatta	² t a tː a
tattare	t a tː a r e
tatuera	t a t ɵ eː r a
te	t eː
team	t iː m
teg	t eː ɡ
telefon	t ɛ l ɛ f oː n
telefon	t e l e f uː n
telefon	t ɛ l ɛ f uː n
television	t ɛ l ɛ v ɪ ɧ uː n
teoretiker	t ɛ ʊ r eː t ɪ k ɛ r
teoretisk	t ɛ ʊ r eː t ɪ s k
teori	t ɛ ʊ r iː
tepumla	² t eː p ɵ m l a
terapeut	t æ r a p ɛː v t
terapeut	t æ r a p ɛː f t
terapeut	t æ r a p œ j t
terapeutisk	t e r a p e f t ɪ s k
terbium	t ɛ r b ɪ ɵ m
tereksnäppa	t ɛ r ɛ k s n ɛ p a
teve	t eː v eː
teve	t eː v ɛ
therese	t ɛ r eː s
thunberg	t ʉ̂ː n b æ r j
tid	t iː d
tiden	t iː d ɛ n
tiden	t iː n
tidning	² t iː n ɪ ŋ
tiger	¹ t iː ɡ ɛ r
tik	t iː k
tikar	t iː k a r
tiken	t iː k ɛ n
till	t ɪ l
tillbaka	t ɪ l b ɑː k a
tillförordnad	² t ɪ l f œː r oː r d n a d
tillhandahålla	t ɪ l ² h a n d a h ɔ l a
tills	t ɪ l s
tills	t ɪ s
tillsammans	t ɪ l ¹ s a m a n s
tillverkare	² t ɪ l v ɛ r k a r ɛ
timmar	t ɪ mː a r
tina	² t iː n a
tio	t iː ʊ
tio	t iː ɛ
tionde	t iː ɔ n d ɛ
tisdag	t iː s d ɑː ɡ
tisdag	t iː s d a
titan	t ɪ t ɑː n
titel	t ɪ t ɛ l
titel	t iː t ɛ l
tivoli	t ɪ v ʊ l iː
tivoli	t iː v ʊ l iː
tivoli	t ɪ v ɔ l iː
tivoli	t iː v ɔ l iː
tja	ɕ a
tja	t͡ɕ ɑ
tja	t ɕ ɑː
tjabba	ɕ a b a
tjalla	² ɕ a l a
tjeck	ɕ ɛ kː
tjej	ɕ ɛ j
tjena	ɕ eː n a
tjena	t͡ɕ eː n ɑ
tjenare	² ɕ eː n a r ɛ
tjenare	t͡ɕ eː n ɑ r e
tjenixen	ɕ e n ɪ k s ɛ n
tji	ɕ iː
tjock	ɕ ɔ k
tjockfot	ɧ ɔ k f uː t
tjog	ɕ oː ɡ
tjorre	² ɕ ɔ r ɛ
tjuga	ɕ ʉː ɡ a
tjugo	² ɕ ʉː ɡ ʊ
tjugo	ɕ ɵ
tjugo	² ɕ ʉː ɡ ɛ
tjugo	² ɕ ʉː ɡ ɪ
tjugo	² ɕ ʉː ɡ ɛ
tjugo	² ɕ ʉː ɡ ɪ
tjugo	t ɕ ʉː ɡ ʊ
tjugo	t ɕ ʉː ɡ ʉ
tjugonde	ɕ ʉː ɡ ɔ n d ɛ
tjugotredje	ɕ ʉː ɡ ʊ t r eː d j e
tjur	ɕ ʉː r
