adaş	a d a ʃ
toqquzmıncı	t ɔ q q ʊ z m ɪ̈ n d͡ʒ ɪ̈
toqsan	t ɔ q͡χ s a n
toqsan	d̥ ɔ χ s a n
toqsan	t ɔ q s a n
toqsan	t ʊ̞ χ s a n
toy	t oˑ i̯
toğılmaq	t o ʁ ʊ l m a q
toğmaq	t oː ʁ m a q
toğmaq	t o ʁ m a q
toğmaq	t oˑ ʁ m a q
toğmaq	t ʊ̞ˑ ʁ m a q
toğmaq	t o ʁ m a q
toğmaq	t ʊ̞ˑ ʁ m a q
toğrı	t ɔ ʁ ɾ ʊ
toğrı	t o ʁ ɾ ɪ̈
tund	t ʊ n t
tund	t ʊ n d
tunnûr	t ʊ n n uˑ ɾ
tunnûr	t ʊ n ʊ ɾ
tunnûr	t ʊ n ʊ̞ ɾ
tuolı	t u o̯ l ʊ̞
turmaq	t ʊ ɾ m a q
turmaq	t ʊ ɾ m a q
turpâq	t ʊ ɾ p ɒː qʰ
turpâq	t ʊ ɾ p ɑː q
turş	t ʊ ɾ ʃ
turş	t ʊ ʃ
turş	t ʊ ɾ ʃ
tutmaq	t ʊ t m a q
tâapân	t ɒː ɒ̯ p ɒː n
tâağ	t ɒː ɒ̯ ʁ
tâağ	t ɑː ɑ̯ ʁ
tâaş	t ɒː ɒ̯ ʃ
tâaş	t ɑː ɑ̯ ʃ
tâlaq	t ɑː l ɑː χ
tâlaq	t ɔ̞ː l ɒː χ
tâlaq	t oː l ɑ χ
tâlaq	t oː l a χ ɪ
tâlaq	t aː l ɑ q
tâlaq	t a a̯ l ɑˑ χ
tâlaq	t ɒː l ɑː χ
tâlaq	t ɑː l ɒː q
tâlaq	t ɑː l aˑ χ
tâlaq	t ɒː l ɒː qʰ
tâlaq	t ɒː l aː q
tâlaq	t ɒː l aː q ʊ m
tâlaq	t ɔ̞ː l ɒː q
tâlaq	t ɑː l ɑː qʰ
tâlaq	t ɔ̞ː l ɒː q͡χ
tâlaq	t ɑː ɑ̯ l ɑː q
tâlaq	t ɑː l ɑː q
tâlaq	t ɒː l ɑː q
tâlaq	t ɑː l ɑˑ χ
tâlaq	t ɔ̞ː l ɔ̞ː q
tâlaq	t ɔ̞ː l ɑː q
tâlaq	t ɔ̞ː l ɑː qʰ
tâlaq	t aː l aˑ χ
tâlaq	t ɔ̞ː l ɑ χ
tâlaq	t ɔ̞ː l ɑː qʰ
tâlaq	t aː l aː q
tâlaq	t ɑː l ɒː qʰ
tâlaq	t ɔ̞ː l a qʰ
tâlaq	t ɒː l ɑː qʰ
tâlaq	t ɒː l ɒː q
tâlaq	t ɑː ɑ̯ l ɑː χ
tâlaq	t ɑˑ l ɑˑ q
tâlaq	t ɑː l ɑː q
tâpân	t ɑː p ɑː n
tâpân	t ɒː p ɒː n
târ	t ɑː ɾ
târ	t ɑː ɑ̯ ɾ
tâta	t ɑː t a
tâta	t ɒː t ɑ
tâta	t ɒː t a
tâta	t ɑː ɑ̯ t a
tâta	t ɔ̞ː t aː
tâta	t ɔ̞ː t ɜ
tâta	t ɒˑ t aˑ
tâta	t ɒˑ t ɒˑ
tâza	t ɒː z a
tâzə	t ɒˑ z æ
tâğ	t oː ʁ
tâğ	t ɑː ʁ
tâğ	t ɑː ʁ
tâğ	d oː ʁ
tâğ	t ɑː ʁ
tâğ	t oː ʁ
têmi	t eː m ɪ
tîemi	t iː e̯ m ɪ
tîemiki	t iː e̯ m ɪ k ɪ
tîiz	t iː i̯ z
tîiş	t iː i̯ ʃ
tîiş	t i i̯ ʃ
tînc	t iː n d ʒ
tîrsək	t iː ɾ s æ k
tîrsək	t i̞ ɾ s æ k
tîrsək	t iː ɾ s æ k ʏ m
tîrsək	t iˑ ɾ s æ k
tîrsək	t i ɾ s æ k ʏ m
tîrsək	t iː i̯ ɾ s æ k
tîrsək	t i ɾ s æ̞ k
tîrsək	t ɪ ɾ s æ kʲ
tîrsək	t iː ɾ s æ kʲ
tîrsək	t iˑ ɾ s æ k
tîrsək	t iː ɾ s æ c
tîrsək	t iˑ ɾ s æ̞ k
tîrsək	t iˑ ɾ s æ kʲ
tîz	t iː z
tîz	t iː z
tîğ	t iː ʁ
tîş	t iː ʃ
tîş	t iˑ ʃ
tîş	t iː ʃ ʏ m
tîş	t iː i̯ ʃ
tîş	t i̹ː ʃ
tîş	t iː ʃ ʏ̜ m
tîş	t iː i̯ ʃ iˑ
tôla	t oː l a
tôla	t u̯ oː l a
tôlmaq	t oː l m a q
tôn	t oː n
tôn	t u̞ː n
tôq	t ɔ q
tôq	t ɔ χ
tôq	t o̞ː q
tôq	t o̞ q
tôq	t ɔː q
tökmək	t ɛ k m æ k
tökmək	t ø k m æ k
tökmək	t ø̜ k m æ k
tökmək	t e k m æ k
tökmək	t e̞ k m æ k
tö̂l	t ø̜ː l
tö̂l	t eː l
tö̂rt	t øː ɾ t
tö̂rt	t ø̜ː ɾ t
tö̂rt	t y̯ ø̜ˑ ɾ t
tö̂rt	t eː e̯ ɾ t
tö̂rt	t eː ɾ t
tö̂rt	t øː ø̯ ɾ t
tö̂rt	t øː ø̯ ɾ t
tö̂rt	t eː ɾ t
tö̂rt	t e ɾ t
tö̂rtminci	t y̯ øː ɾ t m ɪ n d͡ʒ ɪ
tö̂ş	t øː ʃ
tö̂ş	t e̞ː e̯ ʃ
tö̂ş	t eː e̯ ʃ ʏ m
tö̂ş	t eː e̯ ʃ
tö̂ş	t øː y̯ ʃ
tö̂ş	t e̞ː ʃ
tö̂ş	t eː e̯ ʃ
tö̂ş	t øː ø̯ ʃ
tö̂ş	d̥ øː ø̯ ʃ
tö̂ş	t i̯ e̹ː ʃ
tö̂ş	t øː ø̯ ʃ ʏ m
tûola	t ʊ ɔ̯ l a
tûola	t ʊː o̯ l a
tûola	t ʊ o̯ l a
tûolmaq	t u̞ː o̯ l m a q
tûon	t uː o̯ n
tûon	t ʊː ɔ̯ n
tûorâq	t u o̯ ɾ ɒˑ q
tûorâq	t uː o̯ ɾ ɒ q
tûorâq	t u o̯ ɾ ɑː q
tûorâq	t u̞ o̯ ɾ aˑ q
tûorâq	t ʊ̞ ɾ a q
tûuz	t uː u̯ z̥
tûuz	t uː u̯ z
tûz	t uː z
tûz	t uː z
tûz	t uː z
tûz	t uˑ z
tütimək	t i t i̹ m æ k
tütîn	t ɪ t iː n
tütîn	t ɪ t iː n
tütîn	t i̹ t y n
tüşmək	t ʏ ʃ m æ k
tüşmək	t ɪ̹ ʃ m æ k
tüşmək	t ɪ ʃ m æ k
tüşmək	t i̞ ʃ m æ k
tüşmək	t i ʃ m æ k
tü̂k	t yː k
tü̂k	t iː k
tü̂k	t y̞ k
tü̂k	t i̞ k ɪ
tü̂k	t iː k
tü̂k	t iː k
tü̂k	t yː y̯ k
tü̂öl	t i̞ e̯ l
tü̂öl	t ɪˑ e̯ l
tü̂ört	t iː e̯ ɾ t
tü̂ört	t iː e̯ ɾ t
tü̂ört	t iː e̯ ɾ t
tü̂ört	t yː ø̯ ɾ t
tü̂örtminci	t yː ø̯ ɾ t m ɪ n d͡ʒ ɪ
tü̂öş	t iː e̯ ʃ
təmir	t æ̞ m ɪ ɾ
təmir	t æ m ɪ ɾ
tənâb	t æ̞ n ɑˑ b̥
tənâb	t æ̞ n ɑˑ f
tənâb	t æ n aː f
təpə	t æ̞ b̥ æ̞
təpə	t æ p æ
tər	t æ ɾ
tər	t æ̞ ɾ
tər	t ɛ ɾ
tər	t æ ɾ
təri	t æ ɾ ɪ
təri	t æ̞ ɾ ɪ
təri	t ɛ ɾ ɪ
təri	t æ̞ ɾ i
təri	t æ ɾ ɪ
təvə	t æ v æ
təvə	t æ v æ
təxtə	t a χ t æ
təygûş	t ɛ j ɡ uː ʃ
təzmək	t æ z m æ k
uca	ʊ d d͡ʒ a
uca	ʊ d͡ʒ a
uca	u d͡ʒ a
uca	u d͡ʒ ɒː
utmaq	ʊ t m a q
uzâq	ʊ z ɒː q
uzâq	ʊ z ɑː q
uzâq	ʊ z aː q
uçmaq	ʊ t͡ʃ m a q
vaqmaq	v a q m a q
vaqt	v a χ t
vaqt	v a ʁ t
varmaq	v a ɾ m a q
varmaq	v a ɾ m a q
varmaq	β ɒ ɾ m a q
vurmaq	v ʊ ɾ m a q
vurmaq	v ʊ ɾ m a q
vuruşmaq	v ʊ ɾ ʊ ʃ m a q
vâr	v aː a̯ ɾ
vâr	v aː ɾ
vâr	v ɑː ɑ̯ ɾ
vâr	v ɑː ɾ
vâr	v ɒ ɾ
vâr	v ɑː ɑ̯ ɾ
vêrmək	v eː ɾ m æ k
vêrmək	v ɛ ɾ m æ k
vêrmək	v i̯ eː ɾ m æ k
vêrmək	v i̯ e̞ ɾ m æ k
vîermək	v iː e̯ ɾ m æ k
vîermək	v i e̯ ɾ m æ k
vək	v æ k æ k
vək	v æ k
vək	b ø k æ k
vək	v æ kʲ
vək	v æˑ k
vək	b æˑ k
xabar	χ a v a ɾ
xabar	χ a b a ɾ
xabarlamaq	χ a b a ɾ l a m a q
xabarlaşmaq	χ a b a ɾ l a ʃ m a q
xabû	χ a β ʊ
xabû	χ æ̞ b uː
xabû	χ a v u
xabû	χ æ̞ β u
xabû	χ æ̞ b u
xabû	χ a b ʊ m
xabû	χ a b uː
xabû	χ æ̞ β uː
xabû	χ æ̞ b uˑ
xabû	χ æ̞ v uː
xabû	χ a b u
xarman	χ a ɾ m a n
xazâna	χ a z a n a
xazâna	χ a z ɒː n a
xirs	χ ɪ ɾ s
xisîra	χ ɪ s iː ɾ a
xiyâr	χ i j ɒ ɾ
xiyâr	χ i j ɒː ɾ
xiyâr	χ i̞ j ɒː ɾ
xişt	χ i ʃ t
xişt	χ ɪ ʃ t
Xudâ	χ ʊ d ɒ
Xudâ	χ ʊ d ɒː
Xudâ	χ ʊ̞ d ɒː
xurôs	χ o ɾ oˑ s
xurôs	χ ʊ ɾ u̯ oː s
xurôs	χ ʊ ɾ ʊ̯ oː s
xurôs	χ ʊ ɾ ʊ̯ oˑ s
xurûos	χ ʊ̞ ɾ ʊː o̯ s
xurûos	χ ʊ̞ ɾ ʊ o̯ s
xurûos	χ ʊ ɾ ʊ o̯ s
xâla	χ a l a
xâla	χ ɔ̞ː l a
xâla	χ ɑ l ɒ
xâla	χ ɔ̞ː l ɑ
xâla	χ ɑ l a
xâla	χ ɑː l a
xâla	χ a l ɑ
xâla	χ ɑ l ɑ
xâla	χ aˑ l a
xâla	χ ɑˑ l a
xâla	χ ɒ l a
xâla	χ ɔ̞ː l ɒ
xâlə	χ ɒː l æ
xâlə	χ ɑː l æ
xâlə	χ ɔ̞ː l æ
xâlə	χ ɔˑ l æ
xâlə	χ ɔ̞ː l ɛ
xâlə	χ a l ɜ
xâlə	χ ɑ l æ
xâmatu	χ ɒˑ m a t ʊ̞
xâmatu	χ ɒː m a t u
xâmətu	χ ɒˑ m æ̞ t u
xâmətu	χ ɒˑ m æ̞ t ʊ
xârşuvər	χ ɔ̞ː ɾ ʃ u u̯ æ̞ ɾ
xəbər	χ æ̞ b æ ɾ
xərmən	χ æ ɾ m æ n
yalğamaq	j a l ʁ a m a q
yapışmaq	j a p ʊ ʃ m a q
yapışmaq	j aˑ p ʊ̜ ʃ m a q
yapışmaq	j a p ɪ ʃ m a q
yapışmaq	j a p ʊ ʃ m a q
yaqqa	j a q q a
yaqqa	j a q q a
yaqqa	j a q a
yastuq	j ɒˑ s d̥ ʊ q
yastuq	j aˑ s t ʊ q
yastuq	j a s t ʊ q͡χ
yatmaq	j a t m a q
yatmaq	j ɒː t m a q
yatmaq	j ɒ t m a q
yatmaq	j aː t m a q
yatmaq	j a t m a q
yatğırmaq	j aː t ʁ ɪ̈ ɾ m a q
yatğırmaq	j aː t ʁ ʊ ɾ m a q
yatğırmaq	j a t ʁ ɪ ɾ m a q
yaxa	j a χ a
yazmaq	j aˑ z m a q
yazmaq	j a z m a q
yağış	j a ʁ ɪ̈ ʃ
yağış	j a ʁ ʊ ʃ
yağış	j a ʁ ʏ̠ ʃ
yağış	j a ʁ ɪ ʃ
yağış	j ɑ ʁ ʊ ʃ
yağış	j a ʁ ɪ̈ ʃ
yağış	j a ʁ ɪ ʃ
yağmaq	j a ʁ m a q
yağâq	j ʊ̞ ʁ ɒˑ q
yağâq	j a ʁ ɒː q
yağâq	j a ʁ ɒˑ q
yağâq	j a ʁ ɑː q
yağâq	j a ʁ ɒː q
yağâq	j ʊ ʁ ɑː q
yel	j ɛˑ l
yel	j eˑ l
yel	j ɛ l
yel	j eˑ l
yel	j eː l
yer	j ɛ ɾ
yer	j eˑ ɾ
yer	j ɛ ɾ
yer	j e̞ˑ ɾ
yer	j eˑ ɾ
yer	j i e̯ ɾ
yeyin	j ɛ j ɪ n
yeyin	j ɛ ɡ ɪ n
yıd	j ɪ̈ d̥
yıd	j ɪ̈ t
yıdımaq	j ɪ d ʊ m a q
yıdımaq	j ɪ̈ d ɪ̈ m a q
yıdımaq	j ɪ̈ d ʊ m a q
yıdlamaq	j ɪ d l a m a q
yıdlamaq	j ɪ̈ d̥ l a m a q
yigirmi	j i ɡ i ɾ m ɪ
yigirmi	j i j i ɾ m ɪ
yigirmi	j i ɡ i ɾ m ɪ
yik	j iː k
yik	j iˑ k
yik	j i k
yik	j i̞ˑ k
yik	j i̞ k
yıl	j iˑ l
yıl	j i l
yıl	j i l
yıl	j ɪ̈ˑ l
yıl	j ɪ̈ l
yıl	j ɪ l
yıl	j iˑ l
yıl	j i l
yilgər	y ɪ l ɟ æ̞ ɾ
yılımaq	j ɪ l ʊ m a q
yılımaq	j ɪ̈ l ʊ m a q
yılımaq	j ʊ l ʊ m a q
Reconstruction:Khalaj/yilimək	j ɪ l ɪ m æ k
yılqı	j i l q ɨ
yılqı	j i l q ɪ̈
yılqı	j i̞ l q ɪ̈
yılqı	j ɪ̈ l χ ɪ̈
yilân	j i l ɒː n
yilân	j i̞ l ɑː n
yilân	ɡ i l ɑː n
yımmaq	j ɪ m m a q
yımmaq	j ʊ m m a q
yımmaq	j ɪ m m a q
yingül	j y ŋ ɡ y l
yingül	j ɪ ŋ ɡ ɪ l
yıqılmaq	j ɪ̈ q ʊ l m a q
yıqılmaq	j ɪ q ʊ l m a q
yıqılmaq	j ʊ q ʊ l m a q
yıqmaq	j ɪ̈ q m a q
yıqmaq	j ʊ q m a q
yırâq	j i ɾ ɒː q
yirək	j i ɾ æ k
yitmək	j ɪ t m æ k
yitmək	j ɪ t m æ k
yittig	j ɪ t t ɪ ɡ
yittig	j i t d̥ i
yittig	j ɪ t t iː
yittig	j ɪ t d i
yığmaq	j ɪ ʁ m a q
yorğân	j ʊ̞ ɾ ʁ ɒː n
yorğân	j o ɾ ʁ aː n
yovuq	j o u̯ q
yoğun	j o̞ ʁ ʊˑ n
yoğun	j o̞ ʁ ʊ n
yoğuq	j ɔ ʁ ʊ q
yulduz	y ʊ l d ʊ z̥
yulduz	y ʊ l d ʊˑ z
yulduz	y ʊ l d ʊ z
yumurtqa	j ʊ m ʊ ɾ t χ a
yumurtqa	j ʊ m ʊ ɾ q ⁽ʰ ⁾ a
yumuşaq	j u m ʊ̆ ʃ ɒ k
yung	j uˑ ŋ
yung	j u ŋ
yung	j u̞ˑ ŋ
yung	j u̞ ŋ
yung	j ʊˑ ŋ
yung	j ʊ ŋ
yung	j uː ŋ
yung	j u̞ː ŋ
yung	j u ŋ k
yung	j ʊˑ ŋ ɡ
yung	j ʊ ŋ ɡ
yuqqar	j ʊ̞ q q ɒ ɾ
yuqqar	j ʊ q q a ɾ
yâan	j ɑː ɑ̯ n
yâaz	j ɑː ɑ̯ z
yâağ	j ɑː ɑ̯ ʁ
yâaş	j ɑː ɑ̯ ʃ
yâd	j ɒː d
yâdamaq	j ɒː d a m a q
yâmaq	j ɑː ɑ̯ m a q
yâya	d͡ʒ ɔ̞ː j ɑ
yâyə	j ɔ̞ː j æ
yâyə	d͡ʒ ɑː j æ m
yâyə	j ɔ̞ː d i j ɛˑ
yâğ	j ɒˑ ʁ
yâğlığ	j ɒː ɒ̯ ʁ l ʊ χ
yâğlığ	j ɑː ɑ̯ ʁ l ʊ ʁ
yâşıl	j ɒː ɒ̯ ʃ ʊ l
yâşıl	j ɑː ɑ̯ ʃ ɪ̈ l
yêmək	j eː m æ k
yêmək	j e̞ː m æ k
yêmək	j eː e̯ m æ k
yêmək	j i̯ eː m æ k
yêmək	j i̯ e̞ː m æ k
yêtmiş	y eː t m i ʃ
yêtmiş	y e t m i ʃ
yêtti	j i̯ eː t ɪ
yîemək	j iː e̯ m æ k
yîetmiş	y i e̯ t m i ʃ
yîp	j iː p
yîp	j i p
yîp	j ɪ p
yîplik	j iː p l ʏ k
yîplik	j i p l ʏ k
yîrmi	j iː ɾ m ɪ
yîrmi	j ɪ ɾ m ɪ
yîrmi	j iː i̯ ɾ m i
yîrmi	j i ɾ m ɪ
yôl	j oː l
yôl	j u̯ oː l
yôllamaq	j ʊ̞ˑ lː ɑ m a q
yôq	j oː q
yôq	j u̯ oː q
yôrmaq	j oː ɾ m a q
yôrmaq	j o o̯ ɾ m a q
yûmaq	j uː u̯ m a q
yûmaq	j uː m a q
yûol	j uː o̯ l
yûol	j ʊː o̯ l
yûollamaq	j u o̯ lː a m a q
yûoq	j uː o̯ q
yûoq	j uː o̯ q
yûormaq	j u o̯ ɾ m a q
yûormaq	j ʊ o̯ ɾ m a q
yûormaq	j ʊ̞ o̯ ɾ m a q
yûrt	j uː u̯ ɾ t
yûtmaq	j uː t m a q
yûtmaq	j u t m a q
yûtmaq	j uː u̯ t m a q
yûtmaq	j uː u̯ t m a q
yü̂z	j iˑ z
yü̂z	j yː z
yü̂z	j yː z
yü̂z	j yː z̥
yü̂z	j y̜ː z
yü̂z	j iː z
yü̂z	j y z
yü̂z	j yː z
yü̂z	j y z
yü̂z	y iː i̯ z
yü̂z	y iː z
yü̂z	y i i̯ z
yü̂z	y iˑ z
yü̂z	y i z
yəkkə	j æ k ɡ̊ æ
yəkkə	j æ k k æ
yələk	j æ̞ l æ̞ k
yəngi	j ɛ ŋ ɡ i
yəngi	j æ ŋ ɡ i
yəngmək	j æ ŋ ɡ m æ k
yətmiş	j æ t m i ʃ
yətmiş	j æ t m ɪ ʃ
yətti	j æ tː i
yətti	j æ tː ɪ
yəvâş	j æ v ɒː ʃ
zamân	z a m ɒː n
zilf	z ɪ l f
zilf	z ɪ l f
zilf	z ʏ l f
zilf	z ɪ l f
zilf	z ɪ l f
zulf	z ʊ l f
zulf	z ʊ̈ l f
zulf	z ʊ l f
zulf	z ʊ l f
zulf	z ʊ l f
zulf	z ʊ l f ʊ m
zulf	z ʊ̞ l f
zulf	z ʊ̈ l f
zulf	z ʊ l f
zulf	z ʊ l f
zumruq	z ʊ m ɾ ʊ q
zuğâl	z ʊ ʁ ɑː l
zuğâl	z ʊ ʁ ɒː l
zə̂r	z æː ɾ
âar	ɑː ɑ̯ ɾ
âat	ɑː ɑ̯ t
âat	ɑː ɑ̯ t
âbi	ɒː b ɪ
âbistən	ɒˑ b ɪ s t æ n
âbəmbâr	ɒː b æ m b ɒː ɾ
âhən	ɒ h æ n
âhən	ɒː h ɪ n
âlu	ɒˑ l u
âlu	a l ʊ
âluça	a l ʊ t͡ʃ a
âluça	a l ʊ̆ t͡ʃ a
âman	ɒː m a n
âmı	ɑː m ɪ
âmı	ɑː m u
âmı	ɔ̞ː m ɪ
âmı	ɒːː m i̞
âmı	ɒː m ʊ
âmı	ɑː m u̞
âmı	ɑː m ʊ
âmı	ɒː m ɪ
âmı	ɔ̞ː m ɪ̈
âmı	ɑː m ʊˑ
âmı	ɔ̞ː m iː
âmı	ɔ̞ː m i̞
ând	aː n d
ârızu	ɒː ɾ ɪ̈ z ʊ
ârâm	ɒː ɾ ɒː m
ârənc	ɔ̞ː ɾ æ n t͡ʃ
ârənc	ɑː ɾ ɪ n d͡ʒ
ârənc	ɒː ɾ ʏ n t͡ʃ
ârənc	ɒː ɾ ɪ n d͡ʒ
ârənc	aː ɾ æ n d͡ʒ
ârənc	ɔ̞ː ɾ æ n d͡ʒ ɪ
ârənc	ɔ̞ː ɾ ʏ n t͡ʃ
ârənc	ɑ ɾ ɪ n d͡ʒ
ârənc	n ɔ̞ː ɾ ɪ n d͡ʒ
ârənc	ɔ̞ː ɾ ɪ n t͡ʃ
âsimân	ɒˑ s ɪ̆ m ɒː n
âsmân	ɑː s m ɑː n
âsmân	ɑː s v ɑː n
âsmân	oː s m ɒː n
âsmân	ɒː s m ɒː n
âsmân	ɒː s m ɑː n
âsmân	ɒˑ s m ɒˑ n
âstər	ɒ s t æ̞ ɾ
âsân	ɒː s ɒː n
ât	aː t
ât	ɑː t
âtlamaq	ɑː ɑ̯ t l a m a q
âtlığ	ɑː ɑ̯ t l ʊ ʁ
âvâz	ɒː v ɒː z
âvâz	ɒ v ɒˑ z
âxır	ɒː χ ɪ̈ ɾ
âxır	ɒː χ ɪ̈
âxır	a χ ɪ̈
âyılmaq	aː j ɪ̈ l m a q
âyılmaq	aː j ʊ l m a q
âyəndə	ɒː j æ n d æ
âzuqa	ɒː z ʊ ʁ a
âzâd	ɒː z ɒː d
âzâr	ɒː z ɒː ɾ
âç	ɒː ɒ̯ t͡ʃ
âç	ɑː t͡ʃ
âğız	ɑː ʁ ɪ z
âğız	ɑː ʁ ʊ z
âğız	ɒː ʁ ɪ z
âğız	aˑ ʁ ʊ z
âğız	ɑˑ ʁ ʊ z
âğız	ɑː ʁ ʏ̜ z
âğız	aː ʁ ɪ z
âğız	ɑː ʁ ʊ̞ z
âğız	ɒː ʁ ʊ z
âğız	aː ʁ ɪ̈ z
âğız	aː ʁ ʊ z
âğız	ɑː ʁ ʏ z
âğız	ɒ ʁ z
âğız	aː ʁ ʊ̜ z
âğız	aː ʁ ʊ̞ z
âğız	ɑː ʁ ɪ̹ z
âğız	ɑː ʁ ɪ z ɪ
âğız	ɑː ʁ z
âğız	ɑː ʁ z ʊ m
âğız	ɑ ʁ ɪ z
âğız	ɑˑ ʁ ɪ z
âğız	ɔ̞ː ʁ ɪ z
âş	ɒː ʃ
âş	ɑː ʃ
âş	ɒː ʃ
âşıq	ɒː ʃ ɪ̈ q
âşıq	a ʃ ɪ̈ ʁ
âşnâ	ɒː ʃ n ɒː
âşpəz	ɒː ʃ p æ z
âşpəzxânə	ɑː ʃ p a z χ ɑː n æ
âşub	ɒː ʃ u b
çalmaq	t͡ʃ ɒ l m a q
çalmaq	t͡ʃ aː l m a q
çalmaq	t͡ʃ a l m a q
çamur	t͡ʃ a m ʊ ɾ
çapmaq	t͡ʃ a p m a q
çaqır	t͡ʃ ɒ q ʊ ɾ
çaqır	t͡ʃ a q ɪ̈ ɾ
çarx	t͡ʃ a ɾ χ
çağurmaq	t͡ʃ a ʁ ʊ ɾ m a q
çinâr	t͡ʃ ɪ n ɒː ɾ
çirâğ	t͡ʃ i ɾ ɒ ʁ
çirâğ	t͡ʃ ɪ ɾ ɑː ʁ
çirâğ	t͡ʃ ɪ ɾ ɒː ʁ
çizmək	t͡ʃ iː z m æ k
çolaq	t͡ʃ ʊ̞ l ɒ q
çolaq	t͡ʃ o l aː q
çuluk	t͡ʃ ʊ l ʊ̈ kʲ
çuluk	t͡ʃ ʊ l ʊ k
çuluk	t͡ʃ ʊ l ʊ kʲ
çuluk	t͡ʃ ʊ l u̞ k
çuluk	t͡ʃ u̞ l ʊ k
çuluk	t͡ʃ ʊ l ʊ̈ k
çuluk	t͡ʃ ɪ l ʊ k
çuluk	t͡ʃ u l ʊ k
çâay	t͡ʃ ɒː ɒ̯ j
çân	t͡ʃ ɑː n
çân	t͡ʃ ɒː n
çâna	t͡ʃ ɑ n a
çâna	t͡ʃ a n ɑ
çâna	t͡ʃ a n a
çâna	t͡ʃ o̞ n ɜ
çâna	t͡ʃ aˑ n a
çâna	t͡ʃ ɒː n a
çâna	t͡ʃ ɒˑ n a
çânə	t͡ʃ ɔ̞ː n æ
çânə	t͡ʃ ɔˑ n æ
çânə	t͡ʃ ɑː n æ
çânə	t͡ʃ ɑː n æ
çânə	t͡ʃ ɒː n æ
çânə	t͡ʃ ɒˑ n æ̞
çânə	t͡ʃ a n æ
çânə	t͡ʃ aː n æ
çânə	t͡ʃ uː n æ
çâq	t͡ʃ ɑː q
çâq	t͡ʃ ɒː ʁ̥
çârt	t͡ʃ aː ɾ t
çârt	t͡ʃ aː ɾ t
çârt	t͡ʃ æ̞ː ɾ t
çârt	t͡ʃ aː ɾ t
çârt	t͡ʃ ɑˑ ɾ t
çây	t͡ʃ ɒː j
çâşt	t͡ʃ ɒː ʃ t
çîin	t͡ʃ iː i̯ n
çûç	t͡ʃ uː t͡ʃ
çülük	t͡ʃ y l y k
çülük	t͡ʃ y l ʏ k
çülük	t͡ʃ ɪ l ɪ k
çülük	t͡ʃ u̞ l ʏ̜ k
çülük	t͡ʃ y l y k
çülük	t͡ʃ y l y̞ k
çülük	t͡ʃ i l ɪ k
çü̂ç	t͡ʃ iː t͡ʃ
çü̂ç	t͡ʃ i̹ː t͡ʃ
çü̂ç	t͡ʃ uː t͡ʃ
çü̂ç	t͡ʃ yˑ t͡ʃ
çəkmək	t͡ʃ æ k m æ k
çəng	t͡ʃ æ ŋ ɡ
çəng	t͡ʃ æ ŋ
çənə	t͡ʃ æ n æ
çənə	t͡ʃ æ̞ n æ
çənə	t͡ʃ æ n æ m
çənə	t͡ʃ æ n ɛ
çənə	t͡ʃ æ̞ n a
êm	eː m
ênmək	eː n m æ k
ênə	i̯ eː n æ
ênə	i̯ e n æ
êsürmək	eː s ʏ ɾ m æ k
êtmək	i̯ ɛ t m æ k
êtmək	j ɛ t m æ k
êşük	eː ʃ ʏ k
êşük	eː ʃ ɪ k
îem	iː e̯ m
îenmək	iː e̯ n m æ k
îenə	iː e̯ n æ
îesürmə	iː e̯ s ʏ ɾ m æ
îesürmək	iː e̯ s ʏ ɾ m æ k
îesürmək	i e̯ s ʏ ɾ m æ k
îetmək	iː e̯ t m æ k
îetmək	i e̯ t m æ k
îeşük	iː e̯ ʃ i k
îeşük	ɪː ɛ̯ ʃ ɪ k
îeşük	iː e̯ ʃ ʏ k
îeşük	i e̯ ʃ ʏ̜ k
îeşük	iː e̯ ʃ ɪ k
ît	iː t
ît	iː t
ît	i t
ît	ɪˑ t
ît	ɪ t
ît	i̞ t
îş	iː ì̯ ʃ
îş	iː ʃ
îş	iˑ ʃ
îş	i ʃ
ô	oː
ô	oˑ
ô	o
ô	ʊ̞ː
ô	ʊ̞
ô	uː
ô	uˑ
ô	oˑ
ô	oː
ô	oː
ô	oˑ
ô	o
ô	ʊ̞
ô	uː
ôda	oː d a
ôda	u̯ oː d a
ôlmaq	oː l m a q
ôlmaq	o l m a q
ôlmaq	ʊ̞ l m a q
ôlmaq	o l m a q
ôlmaq	ʊ̞ l m a q
ôlmaq	u̯ ɔ l m a q
ôlmaq	u̯ o̞ː l m a q
ôlmaq	u̯ o̞ l m a q
ôlmaq	w o l m a q
ôn	u̯ ɔˑ n
ôn	ɔˑ n
ôn	o̯ ɔː n
ôn	oː n
ôn	u̯ o̞ˑ n
ôn	o̞ n
ônamaq	oː n a m a q
ônamaq	oː n a m a q
ôra	oː ɾ a
ôra	u̯ oː ɾ a
ölmək	œ l m æ k
öyrənmək	œ j ɾ æ̞ n m æ k
û	uː
û	uː
û	u̞ː
ûdımaq	uː d ɪ m a q
ûdımaq	uː d ʊ m a q
ûdımaq	u d ʊ m a q
ûdımaq	uː d ʊ m a q
ûo	ʊ̞ː o̯
ûo	uː o̯
ûolmaq	u o̯ l m a q
ûolmaq	ʊ o̯ l m a q
ûon	uː o n
ûon	uː o̯ n
ûon	u o̯ n
ûon	ʊː o̯ n
ûon	ʊ ɔ n
ûonamaq	uː o̯ n a m a q
