a.K.	a k o
ŝviti	ʃ v i t i
ŝvito	ʃ v i t o
t	t
t	d
t	t o
taa	t a a
taaj	t a a i̯
taajn	t a a i̯ n
taan	t a a n
tabako	t a b a k o
tabakoj	t a b a k o i̯
tabakojn	t a b a k o i̯ n
tabakon	t a b a k o n
tabano	t a b a n o
tabanoj	t a b a n o i̯
tabanojn	t a b a n o i̯ n
tabanon	t a b a n o n
tabelo	t a b e l o
tabeloj	t a b e l o i̯
tabelojn	t a b e l o i̯ n
tabelon	t a b e l o n
tabelvorto	t a b e l v o r t o
tabelvortoj	t a b e l v o r t o i̯
tabelvortojn	t a b e l v o r t o i̯ n
tabelvorton	t a b e l v o r t o n
tabernaklo	t a b e r n a k l o
tabernakloj	t a b e r n a k l o i̯
tabernaklojn	t a b e r n a k l o i̯ n
tabernaklon	t a b e r n a k l o n
tablo	t a b l o
tabloj	t a b l o i̯
tablojdo	t a b l o i̯ d o
tablojdoj	t a b l o i̯ d o i̯
tablojdojn	t a b l o i̯ d o i̯ n
tablojdon	t a b l o i̯ d o n
tablojn	t a b l o i̯ n
tablon	t a b l o n
tabloteniso	t a b l o t e n i s o
tablotenison	t a b l o t e n i s o n
tablotuko	t a b l o t u k o
tabulaturo	t a b u l a t u r o
tabuleto	t a b u l e t o
tabulludo	t a b u l l u d o
tabulo	t a b u l o
tabuloj	t a b u l o i̯
tabulojn	t a b u l o i̯ n
tabulon	t a b u l o n
tabuo	t a b u o
tabuoj	t a b u o i̯
tabuojn	t a b u o i̯ n
tabuon	t a b u o n
taĉmento	t a t͡ʃ m e n t o
taĉmentoj	t a t͡ʃ m e n t o i̯
taĉmentojn	t a t͡ʃ m e n t o i̯ n
taĉmenton	t a t͡ʃ m e n t o n
tadorno	t a d o r n o
tafto	t a f t o
taga	t a ɡ a
tage	t a ɡ e
tagiĝi	t a ɡ i d͡ʒ i
tagiĝo	t a ɡ i d͡ʒ o
taglibro	t a ɡ l i b r o
taglibroj	t a ɡ l i b r o i̯
taglibrojn	t a ɡ l i b r o i̯ n
taglibron	t a ɡ l i b r o n
taglumo	t a ɡ l u m o
tagmanĝanta	t a ɡ m a n d͡ʒ a n t a
tagmanĝante	t a ɡ m a n d͡ʒ a n t e
tagmanĝas	t a ɡ m a n d͡ʒ a s
tagmanĝi	t a ɡ m a n d͡ʒ i
tagmanĝinta	t a ɡ m a n d͡ʒ i n t a
tagmanĝinte	t a ɡ m a n d͡ʒ i n t e
tagmanĝis	t a ɡ m a n d͡ʒ i s
tagmanĝo	t a ɡ m a n d͡ʒ o
tagmanĝoj	t a ɡ m a n d͡ʒ o i̯
tagmanĝojn	t a ɡ m a n d͡ʒ o i̯ n
tagmanĝon	t a ɡ m a n d͡ʒ o n
tagmanĝonta	t a ɡ m a n d͡ʒ o n t a
tagmanĝonte	t a ɡ m a n d͡ʒ o n t e
tagmanĝos	t a ɡ m a n d͡ʒ o s
tagmanĝu	t a ɡ m a n d͡ʒ u
tagmanĝus	t a ɡ m a n d͡ʒ u s
tagmeze	t a ɡ m e z e
tagmezo	t a ɡ m e z o
tagmezoj	t a ɡ m e z o i̯
tagmezojn	t a ɡ m e z o i̯ n
tagmezon	t a ɡ m e z o n
tagnokto	t a ɡ n o k t o
tagnoktoj	t a ɡ n o k t o i̯
tagnoktojn	t a ɡ n o k t o i̯ n
tagnokton	t a ɡ n o k t o n
tago	t a ɡ o
tagoj	t a ɡ o i̯
tagojn	t a ɡ o i̯ n
tagolibro	t a ɡ o l i b r o
tagon	t a ɡ o n
tagvida	t a ɡ v i d a
tagvidaj	t a ɡ v i d a i̯
tagvidajn	t a ɡ v i d a i̯ n
tagvidan	t a ɡ v i d a n
Taĝikio	t a d͡ʒ i k i o
taĥikardio	t a x i k a r d i o
Taĥo	t a x o
Taĥon	t a x o n
taja	t a j a
tajan	t a j a n
tajasuo	t a j a s u o
tajdo	t a i̯ d o
tajdoj	t a i̯ d o i̯
tajdojn	t a i̯ d o i̯ n
tajdomuelejo	t a i̯ d o m u e l e j o
tajdomuelejoj	t a i̯ d o m u e l e j o i̯
tajdomuelejojn	t a i̯ d o m u e l e j o i̯ n
tajdomuelejon	t a i̯ d o m u e l e j o n
tajdon	t a i̯ d o n
tajfuno	t a i̯ f u n o
tajfunoj	t a i̯ f u n o i̯
tajfunojn	t a i̯ f u n o i̯ n
tajfunon	t a i̯ f u n o n
tajgo	t a i̯ ɡ o
tajgoj	t a i̯ ɡ o i̯
tajgojn	t a i̯ ɡ o i̯ n
tajgon	t a i̯ ɡ o n
tajkonaŭto	t a i̯ k o n a u̯ t o
tajkonaŭtoj	t a i̯ k o n a u̯ t o i̯
tajkonaŭtojn	t a i̯ k o n a u̯ t o i̯ n
tajkonaŭton	t a i̯ k o n a u̯ t o n
tajlanda	t a i̯ l a n d a
tajlandaj	t a i̯ l a n d a i̯
tajlandajn	t a i̯ l a n d a i̯ n
tajlandan	t a i̯ l a n d a n
Tajlando	t a i̯ l a n d o
Tajlandon	t a i̯ l a n d o n
tajli	t a i̯ l i
tajloro	t a i̯ l o r o
tajloroj	t a i̯ l o r o i̯
tajlorojn	t a i̯ l o r o i̯ n
tajloron	t a i̯ l o r o n
tajpas	t a i̯ p a s
Tajpeo	t a i̯ p e o
Tajpeon	t a i̯ p e o n
tajperaro	t a i̯ p e r a r o
tajperaroj	t a i̯ p e r a r o i̯
tajperarojn	t a i̯ p e r a r o i̯ n
tajperaron	t a i̯ p e r a r o n
tajpi	t a i̯ p i
tajpilo	t a i̯ p i l o
tajpiloj	t a i̯ p i l o i̯
tajpilojn	t a i̯ p i l o i̯ n
tajpilon	t a i̯ p i l o n
tajpis	t a i̯ p i s
tajpos	t a i̯ p o s
tajpu	t a i̯ p u
tajpus	t a i̯ p u s
Tajvano	t a i̯ v a n o
Tajvanon	t a i̯ v a n o n
Taĵo	t a ʒ o
tako	t a k o
takoj	t a k o i̯
takojn	t a k o i̯ n
takon	t a k o n
taksas	t a k s a s
taksi	t a k s i
taksiisto	t a k s i i s t o
taksio	t a k s i o
taksion	t a k s i o n
taksis	t a k s i s
taksistacio	t a k s i s t a t͡s i o
taksistacion	t a k s i s t a t͡s i o n
taksonomio	t a k s o n o m i o
taksos	t a k s o s
taksu	t a k s u
taksus	t a k s u s
taksuso	t a k s u s o
taktika	t a k t i k a
taktike	t a k t i k e
taktiko	t a k t i k o
takto	t a k t o
talenta	t a l e n t a
talento	t a l e n t o
talentulo	t a l e n t u l o
talentuloj	t a l e n t u l o i̯
talentulojn	t a l e n t u l o i̯ n
talentulon	t a l e n t u l o n
talidomido	t a l i d o m i d o
Talino	t a l i n o
Talinon	t a l i n o n
talio	t a l i o
talioj	t a l i o i̯
taliojn	t a l i o i̯ n
talion	t a l i o n
talko	t a l k o
talosa	t a l o s a
talpo	t a l p o
talpoj	t a l p o i̯
talpojn	t a l p o i̯ n
talpon	t a l p o n
tamburi	t a m b u r i
tamburo	t a m b u r o
tamen	t a m e n
tamtamo	t a m t a m o
Tanaĥo	t a n a x o
tanas	t a n a s
tangoro	t a n ɡ o r o
tani	t a n i
tanino	t a n i n o
tanis	t a n i s
tanko	t a n k o
tankoj	t a n k o i̯
tankojn	t a n k o i̯ n
tankon	t a n k o n
tanos	t a n o s
tantalo	t a n t a l o
tanu	t a n u
tanus	t a n u s
tanzaniano	t a n z a n i a n o
Tanzanio	t a n z a n i o
taoismo	t a o i s m o
tapeto	t a p e t o
tapioko	t a p i o k o
tapiro	t a p i r o
tapiŝo	t a p i ʃ o
tapiŝoj	t a p i ʃ o i̯
tapiŝojn	t a p i ʃ o i̯ n
tapiŝon	t a p i ʃ o n
tarantelo	t a r a n t e l o
tarantulo	t a r a n t u l o
tarda	t a r d a
tarifo	t a r i f o
taroko	t a r o k o
tartufo	t a r t u f o
taskas	t a s k a s
taski	t a s k i
taskiĝi	t a s k i d͡ʒ i
taskis	t a s k i s
tasko	t a s k o
taskos	t a s k o s
tasku	t a s k u
taskus	t a s k u s
Tasmanio	t a s m a n i o
Tasmanion	t a s m a n i o n
taso	t a s o
tasoj	t a s o i̯
tasojn	t a s o i̯ n
tason	t a s o n
Taŝkento	t a ʃ k e n t o
Taŝkenton	t a ʃ k e n t o n
tatara	t a t a r a
tataro	t a t a r o
tatuaĵo	t a t u a ʒ o
tatuo	t a t u o
taŭga	t a u̯ ɡ a
taŭgaj	t a u̯ ɡ a i̯
taŭgajn	t a u̯ ɡ a i̯ n
taŭgan	t a u̯ ɡ a n
taŭgas	t a u̯ ɡ a s
taŭge	t a u̯ ɡ e
taŭgi	t a u̯ ɡ i
taŭgis	t a u̯ ɡ i s
taŭgos	t a u̯ ɡ o s
taŭgu	t a u̯ ɡ u
taŭgus	t a u̯ ɡ u s
taŭo	t a u̯ o
taŭono	t a u̯ o n o
taŭro	t a u̯ r o
taŭzi	t a u̯ z i
taverno	t a v e r n o
tavolo	t a v o l o
tavoloj	t a v o l o i̯
tavolojn	t a v o l o i̯ n
tavolon	t a v o l o n
Tbiliso	t b i l i s o
teacoj	t e a t͡s o i̯
teamano	t e a m a n o
teamo	t e a m o
tearbo	t e a r b o
teatra	t e a t r a
teatraj	t e a t r a i̯
teatrajn	t e a t r a i̯ n
teatraĵo	t e a t r a ʒ o
teatran	t e a t r a n
teatrejo	t e a t r e j o
teatro	t e a t r o
tebaa	t e b a a
tebaaj	t e b a a i̯
tebaajn	t e b a a i̯ n
tebaan	t e b a a n
tebaino	t e b a i n o
tebaismo	t e b a i s m o
tebibitoko	t e b i b i t o k o
Tebo	t e b o
teda	t e d a
tedi	t e d i
teejo	t e e j o
tegas	t e ɡ a s
tegi	t e ɡ i
tegis	t e ɡ i s
tegmento	t e ɡ m e n t o
tego	t e ɡ o
tegolo	t e ɡ o l o
tegos	t e ɡ o s
tegu	t e ɡ u
tegus	t e ɡ u s
teĝo	t e d͡ʒ o
Teherano	t e h e r a n o
Tehrano	t e h r a n o
teĥnecio	t e x n e t͡s i o
teĥnika	t e x n i k a
teĥnikaj	t e x n i k a i̯
teĥnikajn	t e x n i k a i̯ n
teĥnikan	t e x n i k a n
teĥnike	t e x n i k e
teĥnikisto	t e x n i k i s t o
teĥnikistoj	t e x n i k i s t o i̯
teĥnikistojn	t e x n i k i s t o i̯ n
teĥnikiston	t e x n i k i s t o n
teĥniko	t e x n i k o
teĥnokratio	t e x n o k r a t i o
teĥnokrato	t e x n o k r a t o
teĥnologiisto	t e x n o l o ɡ i i s t o
teĥnologio	t e x n o l o ɡ i o
teĥnologo	t e x n o l o ɡ o
teino	t e i n o
teinon	t e i n o n
teismo	t e i s m o
teisto	t e i s t o
tekilo	t e k i l o
teknecio	t e k n e t͡s i o
teknika	t e k n i k a
teknikaj	t e k n i k a i̯
teknikajn	t e k n i k a i̯ n
teknikan	t e k n i k a n
teknike	t e k n i k e
teknikisto	t e k n i k i s t o
teknikistoj	t e k n i k i s t o i̯
teknikistojn	t e k n i k i s t o i̯ n
teknikiston	t e k n i k i s t o n
tekniko	t e k n i k o
tekno	t e k n o
teknokratio	t e k n o k r a t i o
teknokrato	t e k n o k r a t o
teknologia	t e k n o l o ɡ i a
teknologiisto	t e k n o l o ɡ i i s t o
teknologio	t e k n o l o ɡ i o
teknologo	t e k n o l o ɡ o
teknon	t e k n o n
teko	t e k o
tekoj	t e k o i̯
tekojn	t e k o i̯ n
tekokomputilo	t e k o k o m p u t i l o
tekon	t e k o n
tekruĉo	t e k r u t͡ʃ o
teksa	t e k s a
teksado	t e k s a d o
teksaj	t e k s a i̯
teksajn	t e k s a i̯ n
teksaĵo	t e k s a ʒ o
teksan	t e k s a n
teksas	t e k s a s
teksasa	t e k s a s a
Teksasano	t e k s a s a n o
Teksaso	t e k s a s o
teksi	t e k s i
teksis	t e k s i s
teksisto	t e k s i s t o
teksos	t e k s o s
tekstaro	t e k s t a r o
tekstaroj	t e k s t a r o i̯
tekstarojn	t e k s t a r o i̯ n
tekstaron	t e k s t a r o n
tekstas	t e k s t a s
teksti	t e k s t i
tekstigi	t e k s t i ɡ i
tekstis	t e k s t i s
teksto	t e k s t o
tekstoj	t e k s t o i̯
tekstojn	t e k s t o i̯ n
tekstolibro	t e k s t o l i b r o
tekston	t e k s t o n
tekstos	t e k s t o s
tekstu	t e k s t u
tekstus	t e k s t u s
teksu	t e k s u
teksus	t e k s u s
tekulero	t e k u l e r o
tekuleroj	t e k u l e r o i̯
tekulerojn	t e k u l e r o i̯ n
tekuleron	t e k u l e r o n
telefona	t e l e f o n a
telefonaj	t e l e f o n a i̯
telefonajn	t e l e f o n a i̯ n
telefonan	t e l e f o n a n
telefonas	t e l e f o n a s
telefonata	t e l e f o n a t a
telefoni	t e l e f o n i
telefonis	t e l e f o n i s
telefonnumero	t e l e f o n n u m e r o
telefono	t e l e f o n o
telefonos	t e l e f o n o s
telefonprefikso	t e l e f o n p r e f i k s o
telefonu	t e l e f o n u
telefonus	t e l e f o n u s
telegrafo	t e l e ɡ r a f o
telegramo	t e l e ɡ r a m o
telekablo	t e l e k a b l o
telekabloj	t e l e k a b l o i̯
telekablojn	t e l e k a b l o i̯ n
telekablon	t e l e k a b l o n
telekinezo	t e l e k i n e z o
telelabori	t e l e l a b o r i
telencefalo	t e l e n t͡s e f a l o
telepatia	t e l e p a t i a
telepatie	t e l e p a t i e
telepatio	t e l e p a t i o
teleportado	t e l e p o r t a d o
teleporti	t e l e p o r t i
teleportilo	t e l e p o r t i l o
teleregilo	t e l e r e ɡ i l o
telerlavilo	t e l e r l a v i l o
telero	t e l e r o
teleskopo	t e l e s k o p o
televida	t e l e v i d a
televidi	t e l e v i d i
televidilo	t e l e v i d i l o
televido	t e l e v i d o
telfero	t e l f e r o
telo	t e l o
teluro	t e l u r o
tema	t e m a
temaj	t e m a i̯
temajn	t e m a i̯ n
teman	t e m a n
temas	t e m a s
temaŝino	t e m a ʃ i n o
temerara	t e m e r a r a
temi	t e m i
temis	t e m i s
temo	t e m o
temos	t e m o s
tempaĝo	t e m p a d͡ʒ o
temperaturo	t e m p e r a t u r o
tempesto	t e m p e s t o
tempio	t e m p i o
tempiosto	t e m p i o s t o
templa	t e m p l a
templaj	t e m p l a i̯
templajn	t e m p l a i̯ n
templan	t e m p l a n
templo	t e m p l o
temploj	t e m p l o i̯
templojn	t e m p l o i̯ n
templon	t e m p l o n
tempo	t e m p o
tempoj	t e m p o i̯
tempojn	t e m p o i̯ n
tempon	t e m p o n
temporalo	t e m p o r a l o
temporaloj	t e m p o r a l o i̯
temporalojn	t e m p o r a l o i̯ n
temporalon	t e m p o r a l o n
temu	t e m u
temus	t e m u s
tenaca	t e n a t͡s a
tenanto	t e n a n t o
tenas	t e n a s
tendarfajro	t e n d a r f a i̯ r o
tendaro	t e n d a r o
tendaroj	t e n d a r o i̯
tendenco	t e n d e n t͡s o
tendeno	t e n d e n o
tendo	t e n d o
tendoj	t e n d o i̯
tendojn	t e n d o i̯ n
tendon	t e n d o n
tendumi	t e n d u m i
tenera	t e n e r a
tenero	t e n e r o
Tenesio	t e n e s i o
teni	t e n i
tenilo	t e n i l o
tenis	t e n i s
tenisisto	t e n i s i s t o
teniso	t e n i s o
tenison	t e n i s o n
tenoro	t e n o r o
tenos	t e n o s
tensio	t e n s i o
tensioj	t e n s i o i̯
tensiojn	t e n s i o i̯ n
tension	t e n s i o n
tenso	t e n s o
tensoj	t e n s o i̯
tensojn	t e n s o i̯ n
tenson	t e n s o n
tente	t e n t e
tenti	t e n t i
tento	t e n t o
tenu	t e n u
tenus	t e n u s
teo	t e o
Teobaldo	t e o b a l d o
Teodoro	t e o d o r o
Teodoron	t e o d o r o n
teoj	t e o i̯
teojn	t e o i̯ n
teokratia	t e o k r a t i a
teokratio	t e o k r a t i o
teokrato	t e o k r a t o
teologia	t e o l o ɡ i a
teologio	t e o l o ɡ i o
teologo	t e o l o ɡ o
teon	t e o n
teorbo	t e o r b o
teoremo	t e o r e m o
teoria	t e o r i a
teoriaj	t e o r i a i̯
teoriajn	t e o r i a i̯ n
teorian	t e o r i a n
teorie	t e o r i e
teorii	t e o r i i
teorio	t e o r i o
tera	t e r a
terabajto	t e r a b a i̯ t o
terabajtoj	t e r a b a i̯ t o i̯
terabajtojn	t e r a b a i̯ t o i̯ n
terabajton	t e r a b a i̯ t o n
terabito	t e r a b i t o
terabitoko	t e r a b i t o k o
teraj	t e r a i̯
terajn	t e r a i̯ n
terakoto	t e r a k o t o
teramaso	t e r a m a s o
teran	t e r a n
terano	t e r a n o
terapio	t e r a p i o
teraplano	t e r a p l a n o
terarmeo	t e r a r m e o
teraso	t e r a s o
terbio	t e r b i o
tere	t e r e
terebinto	t e r e b i n t o
teren	t e r e n
tereno	t e r e n o
tergaso	t e r ɡ a s o
terglito	t e r ɡ l i t o
terglobo	t e r ɡ l o b o
terglobuso	t e r ɡ l o b u s o
terglobusoj	t e r ɡ l o b u s o i̯
terglobusojn	t e r ɡ l o b u s o i̯ n
terglobuson	t e r ɡ l o b u s o n
teritorio	t e r i t o r i o
teritorioj	t e r i t o r i o i̯
teritorion	t e r i t o r i o n
terkarbo	t e r k a r b o
terkolo	t e r k o l o
terkrusto	t e r k r u s t o
terkulturisto	t e r k u l t u r i s t o
terkulturo	t e r k u l t u r o
termantelo	t e r m a n t e l o
termanteloj	t e r m a n t e l o i̯
termantelojn	t e r m a n t e l o i̯ n
termantelon	t e r m a n t e l o n
termastro	t e r m a s t r o
termastroj	t e r m a s t r o i̯
termastrojn	t e r m a s t r o i̯ n
termastron	t e r m a s t r o n
terminaro	t e r m i n a r o
terminaroj	t e r m i n a r o i̯
terminarojn	t e r m i n a r o i̯ n
terminaron	t e r m i n a r o n
termino	t e r m i n o
terminologio	t e r m i n o l o ɡ i o
termo	t e r m o
termofonto	t e r m o f o n t o
termoj	t e r m o i̯
termojn	t e r m o i̯ n
termometro	t e r m o m e t r o
termon	t e r m o n
ternas	t e r n a s
terni	t e r n i
terniga	t e r n i ɡ a
ternis	t e r n i s
terno	t e r n o
ternos	t e r n o s
ternu	t e r n u
ternus	t e r n u s
tero	t e r o
Tero	t e r o
teroformigo	t e r o f o r m i ɡ o
terorismo	t e r o r i s m o
teroristo	t e r o r i s t o
teroro	t e r o r o
terpeno	t e r p e n o
terpenon	t e r p e n o n
terpomfingro	t e r p o m f i n ɡ r o
terpomfingroj	t e r p o m f i n ɡ r o i̯
terpomfingron	t e r p o m f i n ɡ r o n
terpomfloko	t e r p o m f l o k o
terpomflokoj	t e r p o m f l o k o i̯
terpomflokojn	t e r p o m f l o k o i̯ n
terpomflokon	t e r p o m f l o k o n
terpomfritoj	t e r p o m f r i t o i̯
terpomfritojn	t e r p o m f r i t o i̯ n
terpomkaĉo	t e r p o m k a t͡ʃ o
terpomo	t e r p o m o
terpomon	t e r p o m o n
terŝoviĝo	t e r ʃ o v i d͡ʒ o
tertremo	t e r t r e m o
terura	t e r u r a
teruraĵo	t e r u r a ʒ o
terure	t e r u r e
terurega	t e r u r e ɡ a
teruri	t e r u r i
teruro	t e r u r o
terzono	t e r z o n o
testamento	t e s t a m e n t o
testiko	t e s t i k o
testo	t e s t o
testosterono	t e s t o s t e r o n o
testudo	t e s t u d o
tetano	t e t a n o
teto	t e t o
tetrao	t e t r a o
tetrapeptido	t e t r a p e p t i d o
tetrarĥo	t e t r a r x o
tetrarĥoj	t e t r a r x o i̯
tetrarĥojn	t e t r a r x o i̯ n
tetrarĥon	t e t r a r x o n
tetrarko	t e t r a r k o
tetro	t e t r o
tetrozo	t e t r o z o
teujo	t e u j o
tezaŭro	t e z a u̯ r o
tezo	t e z o
tia	t i a
tiaj	t i a i̯
tiajn	t i a i̯ n
tiaĵo	t i a ʒ o
tial	t i a l
tiam	t i a m
tiama	t i a m a
tiamaj	t i a m a i̯
tiamajn	t i a m a i̯ n
tiaman	t i a m a n
tiamaniere	t i a m a n i e r e
tian	t i a n
tiaro	t i a r o
tibetano	t i b e t a n o
tibio	t i b i o
tie	t i e
tiea	t i e a
tiel	t i e l
tiele	t i e l e
tien	t i e n
ties	t i e s
tieulo	t i e u l o
tieuloj	t i e u l o i̯
tieulojn	t i e u l o i̯ n
tieulon	t i e u l o n
tifono	t i f o n o
tifonoj	t i f o n o i̯
tifonojn	t i f o n o i̯ n
tifonon	t i f o n o n
tigo	t i ɡ o
tigobrasiko	t i ɡ o b r a s i k o
tigoj	t i ɡ o i̯
tigojn	t i ɡ o i̯ n
tigon	t i ɡ o n
tigra	t i ɡ r a
tigridino	t i ɡ r i d i n o
tigrido	t i ɡ r i d o
tigrino	t i ɡ r i n o
tigro	t i ɡ r o
tigroj	t i ɡ r o i̯
tigrojn	t i ɡ r o i̯ n
tigron	t i ɡ r o n
tiki	t i k i
tiklas	t i k l a s
tikli	t i k l i
tiklis	t i k l i s
tiklos	t i k l o s
tiklu	t i k l u
tiklus	t i k l u s
tiko	t i k o
tikoj	t i k o i̯
tikojn	t i k o i̯ n
tikon	t i k o n
tiktako	t i k t a k o
tiktaliko	t i k t a l i k o
tilapio	t i l a p i o
tildo	t i l d o
tilio	t i l i o
tima	t i m a
timbalo	t i m b a l o
time	t i m e
timeco	t i m e t͡s o
timegi	t i m e ɡ i
timego	t i m e ɡ o
timegu	t i m e ɡ u
timegus	t i m e ɡ u s
timema	t i m e m a
timeman	t i m e m a n
timeme	t i m e m e
timi	t i m i
timiano	t i m i a n o
timida	t i m i d a
timiga	t i m i ɡ a
timigi	t i m i ɡ i
timinda	t i m i n d a
timino	t i m i n o
timo	t i m o
timoj	t i m o i̯
timojn	t i m o i̯ n
timolo	t i m o l o
timon	t i m o n
timono	t i m o n o
timpano	t i m p a n o
timu	t i m u
timulo	t i m u l o
timus	t i m u s
tineo	t i n e o
tineoj	t i n e o i̯
tineojn	t i n e o i̯ n
tineon	t i n e o n
tinito	t i n i t o
tinko	t i n k o
tinkturi	t i n k t u r i
tinkturo	t i n k t u r o
tintado	t i n t a d o
tintas	t i n t a s
tinti	t i n t i
tintilo	t i n t i l o
tintis	t i n t i s
tintos	t i n t o s
tintu	t i n t u
tintus	t i n t u s
tinusaĵo	t i n u s a ʒ o
tinuso	t i n u s o
tio	t i o
tioj	t i o i̯
tiojn	t i o i̯ n
tiom	t i o m
tiomege	t i o m e ɡ e
tion	t i o n
tipa	t i p a
tipaj	t i p a i̯
tipajn	t i p a i̯ n
tipan	t i p a n
tiparo	t i p a r o
tipe	t i p e
tiphava	t i p h a v a
tipika	t i p i k a
tipo	t i p o
tipografio	t i p o ɡ r a f i o
tipografo	t i p o ɡ r a f o
tipoj	t i p o i̯
tipojn	t i p o i̯ n
tipolo	t i p o l o
tipon	t i p o n
tirado	t i r a d o
tiradoj	t i r a d o i̯
tiradojn	t i r a d o i̯ n
tiradon	t i r a d o n
tirana	t i r a n a
tiraneco	t i r a n e t͡s o
tirano	t i r a n o
Tirano	t i r a n o
tiranosaŭro	t i r a n o s a u̯ r o
tiranosaŭroj	t i r a n o s a u̯ r o i̯
tiranosaŭrojn	t i r a n o s a u̯ r o i̯ n
tiranosaŭron	t i r a n o s a u̯ r o n
tirante	t i r a n t e
tiras	t i r a s
tiri	t i r i
tiris	t i r i s
tirita	t i r i t a
tiritaj	t i r i t a i̯
tiritajn	t i r i t a i̯ n
tiritan	t i r i t a n
tirite	t i r i t e
tirkesto	t i r k e s t o
tirkestoj	t i r k e s t o i̯
tirkestojn	t i r k e s t o i̯ n
tirkeston	t i r k e s t o n
tiro	t i r o
tiroido	t i r o i d o
tiroj	t i r o i̯
tirojn	t i r o i̯ n
tiron	t i r o n
tiros	t i r o s
tiru	t i r u
tirus	t i r u s
titana	t i t a n a
titanio	t i t a n i o
titano	t i t a n o
titino	t i t i n o
titoli	t i t o l i
titolo	t i t o l o
titulo	t i t u l o
tiu	t i u
tiufoje	t i u f o j e
tiuj	t i u i̯
tiujn	t i u i̯ n
tiun	t i u n
tiuokaze	t i u o k a z e
tiutempa	t i u t e m p a
tiutempe	t i u t e m p e
tlaspo	t l a s p o
tlaspoj	t l a s p o i̯
tlaspojn	t l a s p o i̯ n
tlaspon	t l a s p o n
to	t o
tofuo	t o f u o
togo	t o ɡ o
Togolando	t o ɡ o l a n d o
Togolandon	t o ɡ o l a n d o n
tohuvabohuo	t o h u v a b o h u o
tohuvabohuoj	t o h u v a b o h u o i̯
tohuvabohuojn	t o h u v a b o h u o i̯ n
tohuvabohuon	t o h u v a b o h u o n
tokato	t o k a t o
Tokio	t o k i o
tokipona	t o k i p o n a
tokiponido	t o k i p o n i d o
tokiponisto	t o k i p o n i s t o
Tokipono	t o k i p o n o
toksa	t o k s a
toksaj	t o k s a i̯
toksajn	t o k s a i̯ n
toksan	t o k s a n
tokseco	t o k s e t͡s o
toksikologo	t o k s i k o l o ɡ o
toksino	t o k s i n o
tokso	t o k s o
toksomanio	t o k s o m a n i o
toksomaniulo	t o k s o m a n i u l o
tola	t o l a
tolaj	t o l a i̯
tolajn	t o l a i̯ n
tolaĵo	t o l a ʒ o
tolan	t o l a n
tolerebla	t o l e r e b l a
tolereble	t o l e r e b l e
tolereco	t o l e r e t͡s o
tolerema	t o l e r e m a
tolereme	t o l e r e m e
toleri	t o l e r i
tolo	t o l o
tolŝuo	t o l ʃ u o
tomata	t o m a t a
tomato	t o m a t o
tomatoj	t o m a t o i̯
tomatojn	t o m a t o i̯ n
tomaton	t o m a t o n
tombejo	t o m b e j o
tombejoj	t o m b e j o i̯
tombejojn	t o m b e j o i̯ n
tombejon	t o m b e j o n
tombo	t o m b o
tomboj	t o m b o i̯
tombojn	t o m b o i̯ n
tombomonumento	t o m b o m o n u m e n t o
tombon	t o m b o n
tomboskribo	t o m b o s k r i b o
tomboskriboj	t o m b o s k r i b o i̯
tomboskribojn	t o m b o s k r i b o i̯ n
tomboskribon	t o m b o s k r i b o n
tomboŝtono	t o m b o ʃ t o n o
tomboŝtonoj	t o m b o ʃ t o n o i̯
tomboŝtonojn	t o m b o ʃ t o n o i̯ n
tomboŝtonon	t o m b o ʃ t o n o n
tompuso	t o m p u s o
tonalto	t o n a l t o
tondas	t o n d a s
tondi	t o n d i
tondilo	t o n d i l o
tondis	t o n d i s
tondisto	t o n d i s t o
tondos	t o n d o s
tondra	t o n d r a
tondraj	t o n d r a i̯
tondrajn	t o n d r a i̯ n
tondran	t o n d r a n
tondras	t o n d r a s
tondri	t o n d r i
tondris	t o n d r i s
tondro	t o n d r o
tondrodio	t o n d r o d i o
tondroj	t o n d r o i̯
tondrojn	t o n d r o i̯ n
tondron	t o n d r o n
tondros	t o n d r o s
tondru	t o n d r u
tondrus	t o n d r u s
tondu	t o n d u
tondus	t o n d u s
tonelo	t o n e l o
tongano	t o n ɡ a n o
tono	t o n o
tonoj	t o n o i̯
tonojn	t o n o i̯ n
tonon	t o n o n
tonsilo	t o n s i l o
tonsuro	t o n s u r o
topazo	t o p a z o
topografio	t o p o ɡ r a f i o
topografo	t o p o ɡ r a f o
torako	t o r a k o
torakon	t o r a k o n
Torao	t o r a o
torĉo	t o r t͡ʃ o
torĉoj	t o r t͡ʃ o i̯
torĉojn	t o r t͡ʃ o i̯ n
torĉon	t o r t͡ʃ o n
tordi	t o r d i
toreado	t o r e a d o
toreadon	t o r e a d o n
torei	t o r e i
toreisto	t o r e i s t o
torento	t o r e n t o
torfo	t o r f o
torfoj	t o r f o i̯
torfojn	t o r f o i̯ n
torfon	t o r f o n
torio	t o r i o
tornado	t o r n a d o
tornadoj	t o r n a d o i̯
tornadojn	t o r n a d o i̯ n
tornadon	t o r n a d o n
tornas	t o r n a s
torni	t o r n i
tornis	t o r n i s
tornistro	t o r n i s t r o
tornistroj	t o r n i s t r o i̯
tornistrojn	t o r n i s t r o i̯ n
tornistron	t o r n i s t r o n
tornos	t o r n o s
tornu	t o r n u
tornus	t o r n u s
