ஃ	ɐ hᵄ
மதறாஸ்	m ɐ d̪ ɐ r aː s
மதி	m ɐ d̪ i
மதிக்கத்தக்க	m ɐ d̪ i kː ɐ t̪ː ɐ kː ɐ
மதிநுட்பமிக்க	m ɐ d̪ i n̪ u ʈ p ɐ m i kː ɐ
மதிப்பு	m ɐ d̪ i pː u
மதிய	m ɐ d̪ i j ɐ
மதியம்	m ɐ d̪ i j ɐ m
மதிராஸ்	m ɐ d̪ i ɾ aː s
மதில்	m ɐ d̪ i l
மது	m ɐ d̪ u
மதுசூதன்	m ɐ d̪ u t͡ɕ uː d̪ ɐ n
மதுரம்	m ɐ d̪ u ɾ ɐ m
மதுரை	m ɐ d̪ u ɾ a ɪ̯
மத்தளம்	m ɐ t̪ː ɐ ɭ ɐ m
மத்திய	m ɐ t̪ː i j ɐ
மத்தேயு	m ɐ t̪ː eː j u
மத்ரித்	m ɐ t̪ ɾ i t̪
மத்ஸ்யம்	m ɐ t̪ s j ɐ m
மந்தம்	m ɐ n̪ d̪ ɐ m
மந்தாரம்	m ɐ n̪ d̪ aː ɾ ɐ m
மந்தினி	m ɐ n̪ d̪ i n i
மந்திரகூர்மை	m ɐ n̪ d̪ i ɾ ɐ ɡ uː ɾ m a ɪ̯
மந்திரர்	m ɐ n̪ d̪ i ɾ ɐ ɾ
மந்திரி	m ɐ n̪ d̪ i ɾ i
மந்து	m ɐ n̪ d̪ u
மந்துரை	m ɐ n̪ d̪ u ɾ a ɪ̯
மந்தை	m ɐ n̪ d̪ a ɪ̯
மந்தைவெளி	m ɐ n̪ d̪ a ɪ̯ ʋ e ɭ i
மனசாட்சி	m ɐ n ɐ t͡ɕ aː ʈ t͡ɕ i
மனசு	m ɐ n ɐ t͡ɕ u
மனது	m ɐ n ɐ d̪ u
மனநலம்	m ɐ n ɐ n̪ ɐ l ɐ m
மனநிலை	m ɐ n ɐ n̪ i l a ɪ̯
மனனம்	m ɐ n ɐ n ɐ m
மனப்பதைப்பு	m ɐ n ɐ pː ɐ d̪ a ɪ̯ pː u
மனப்பாங்கு	m ɐ n ɐ pː aː ŋ ɡ u
மனப்போக்கு	m ɐ n ɐ pː oː kː u
மனமாற்றம்	m ɐ n ɐ m aː rː ɐ m
மனம்	m ɐ n ɐ m
மனஸ்தாபம்	m ɐ n ɐ s t̪ aː b ɐ m
மனிதன்	m ɐ n i d̪ ɐ n
மனிதவளம்	m ɐ n i d̪ ɐ ʋ ɐ ɭ ɐ m
மனிதவியல்	m ɐ n i d̪ ɐ ʋ i j ɐ l
மனுஷன்	m ɐ n u ʂ ɐ n
மனை	m ɐ n a ɪ̯
மனைவி	m ɐ n a ɪ̯ ʋ i
மனோபாவம்	m ɐ n oː b aː ʋ ɐ m
மன்னன்	m ɐ nː ɐ n
மன்னி	m ɐ nː i
மன்னிப்பு	m ɐ nː i pː u
மன்னும்	m ɐ nː u m
மன்றம்	m ɐ n r ɐ m
மன்றாட்டு	m ɐ n r aː ʈː u
மன்வந்தரம்	m ɐ n ʋ ɐ n̪ d̪ ɐ ɾ ɐ m
மப்பு	m ɐ b b u
மப்பு	m ɐ pː u
மம்மர்	m ɐ mː ɐ ɾ
மம்மல்	m ɐ mː ɐ l
மயக்கடி	m ɐ j ɐ kː ɐ ɖ i
மயக்கம்	m ɐ j ɐ kː ɐ m
மயங்கு	m ɐ j ɐ ŋ ɡ u
மயடம்	m ɐ j ɐ ɖ ɐ m
மயண்டை	m ɐ j ɐ ɳ ɖ a ɪ̯
மயர்வு	m ɐ j ɐ ɾ ʋ u
மயல்	m ɐ j ɐ l
மயிரிழவு	m ɐ j i ɾ i ɻ ɐ ʋ u
மயிர்	m ɐ j i ɾ
மயிற்கொன்றை	m ɐ j i r k o n r a ɪ̯
மயிலாடுதுறை	m ɐ j i l aː ɖ u d̪ u r a ɪ̯
மயிலை	m ɐ j i l a ɪ̯
மயில்	m ɐ j i l
மயூரம்	m ɐ j uː ɾ ɐ m
மரகதம்	m ɐ ɾ ɐ ɡ ɐ d̪ ɐ m
மரக்கட்டை	m ɐ ɾ ɐ kː ɐ ʈː a ɪ̯
மரக்கலம்	m ɐ ɾ ɐ kː ɐ l ɐ m
மரங்கள்	m ɐ ɾ ɐ ŋ ɡ ɐ ɭ
மரணம்	m ɐ ɾ ɐ ɳ ɐ m
மரத்தக்காளி	m ɐ ɾ ɐ t̪ː ɐ kː aː ɭ i
மரம்	m ɐ ɾ ɐ m
மரவள்ளி	m ɐ ɾ ɐ ʋ ɐ ɭː i
மரியாதை	m ɐ ɾ i j aː d̪ a ɪ̯
மருங்கு	m ɐ ɾ u ŋ ɡ u
மருட்டு	m ɐ ɾ u ʈː u
மருட்டுதல்	m ɐ ɾ u ʈː u d̪ ɐ l
மருதாணி	m ɐ ɾ u d̪ aː ɳ i
மருத்துவமனை	m ɐ ɾ u t̪ː u ʋ ɐ m ɐ n a ɪ̯
மருத்துவம்	m ɐ ɾ u t̪ː u ʋ ɐ m
மருத்துவர்	m ɐ ɾ u t̪ː u ʋ ɐ ɾ
மருநிலம்	m ɐ ɾ u n̪ i l ɐ m
மருந்தகம்	m ɐ ɾ u n̪ d̪ ɐ ɡ ɐ m
மருந்தாளர்	m ɐ ɾ u n̪ d̪ aː ɭ ɐ ɾ
மருந்து	m ɐ ɾ u n̪ d̪ u
மருந்துக்கடை	m ɐ ɾ u n̪ d̪ u kː ɐ ɖ a ɪ̯
மருப்பு	m ɐ ɾ u pː u
மருமகன்	m ɐ ɾ u m ɐ h ɐ n
மருமகன்	m ɐ ɾ u m ɐ ɡ ɐ n
மருமகள்	m ɐ ɾ u m ɐ h ɐ ɭ
மருமகள்	m ɐ ɾ u m ɐ ɡ ɐ ɭ
மருவு	m ɐ ɾ u ʋ u
மர்தோவியா	m ɐ ɾ d̪ oː ʋ i j aː
மற	m ɐ r ɐ
மறு	m ɐ r u
மறுகால்	m ɐ r u ɡ aː l
மறுகு	m ɐ r u ɡ u
மறுக்க	m ɐ r u kː ɐ
மறுக்கம்	m ɐ r u kː ɐ m
மறுசுழற்சி	m ɐ r u t͡ɕ u ɻ ɐ r t͡ɕ i
மறுசொல்	m ɐ r u t͡ɕ o l
மறுநாள்	m ɐ r u n̪ aː ɭ
மறுபடியும்	m ɐ r u b ɐ ɖ i j u m
மறுபரிசீலனை	m ɐ r u b ɐ ɾ i t͡ɕ iː l ɐ n a ɪ̯
மறுமொழி	m ɐ r u m o ɻ i
மறுரூபம்	m ɐ r u ɾ uː b ɐ m
மறை	m ɐ r a ɪ̯
மற்ற	m ɐ rː ɐ
மற்றப்படி	m ɐ rː ɐ pː ɐ ɖ i
மற்று	m ɐ rː u
மற்றும்	m ɐ rː u m
மற்றை	m ɐ rː a ɪ̯
மலக்கழிவு	m ɐ l ɐ kː ɐ ɻ i ʋ u
மலக்கு	m ɐ l ɐ kː u
மலச்சிக்கல்	m ɐ l ɐ t͡ɕː i kː ɐ l
மலப்புறம்	m ɐ l ɐ pː u r ɐ m
மலம்	m ɐ l ɐ m
மலர்	m ɐ l ɐ ɾ
மலர்க்கடை	m ɐ l ɐ ɾ kː ɐ ɖ a ɪ̯
மலர்ச்சி	m ɐ l ɐ ɾ t͡ɕː i
மலாக்கா	m ɐ l aː kː aː
மலேசியா	m ɐ l eː t͡ɕ i j aː
மலை	m ɐ l a ɪ̯
மலைகலக்கி	m ɐ l a ɪ̯ ɡ ɐ l ɐ kː i
மலைக்கொய்யா	m ɐ l a ɪ̯ kː o jː aː
மலைப்பாம்பு	m ɐ l a ɪ̯ pː aː m b u
மலைப்புன்கு	m ɐ l a ɪ̯ pː u n ɡ u
மலைப்பேரீச்சு	m ɐ l a ɪ̯ pː eː ɾ iː t͡ɕː u
மலையாளம்	m ɐ l a ɪ̯ j aː ɭ ɐ m
மலையாழம்	m ɐ l a ɪ̯ j aː ɻ ɐ m
மலைவு	m ɐ l a ɪ̯ ʋ u
மலைவேங்கை	m ɐ l a ɪ̯ ʋ eː ŋ ɡ a ɪ̯
மல்கியா	m ɐ l ɡ i j aː
மல்லி	m ɐ l l i
மல்லிகை	m ɐ l l i ɡ a ɪ̯
மழலை	m ɐ ɻ ɐ l a ɪ̯
மழை	m ɐ ɻ a ɪ̯
மழைக்காலம்	m ɐ ɻ a ɪ̯ kː aː l ɐ m
மழைத்துளி	m ɐ ɻ a ɪ̯ t̪ː u ɭ i
மழைநீர்	m ɐ ɻ a ɪ̯ n̪ iː ɾ
மவன்	m ɐ ʋ ɐ n
மஹாபாரதம்	m ɐ h aː b aː ɾ ɐ d̪ ɐ m
மஹால்	m ɐ h aː l
மா	m aː
மாகாணம்	m aː ɡ aː ɳ ɐ m
மாங்காய்	m aː ŋ ɡ aː j
மாங்கிஸ்	m aː ŋ ɡ i s
மாசம்	m aː t͡ɕ ɐ m
மாசவிடாய்	m aː t͡ɕ ɐ ʋ i ɖ aː j
மாசி	m aː t͡ɕ i
மாச்சல்	m aː t͡ɕː ɐ l
மாடம்	m aː ɖ ɐ m
மாடி	m aː ɖ i
மாடு	m aː ɖ u
மாட்டிடையன்	m aː ʈː i ɖ a ɪ̯ j ɐ n
மாட்டிறைச்சி	m aː ʈː i r a ɪ̯ t͡ɕː i
மாட்டு	m aː ʈː u
மாட்டுக்கிடை	m aː ʈː u kː i ɖ a ɪ̯
மாட்டுவண்டி	m aː ʈː u ʋ ɐ ɳ ɖ i
மாணவகம்	m aː ɳ ɐ ʋ ɐ ɡ ɐ m
மாணவன்	m aː ɳ ɐ ʋ ɐ n
மாணாக்கி	m aː ɳ aː kː i
மாணிக்கம்	m aː ɳ i kː ɐ m
மாண்	m aː ɳ
மாண்டரின்	m aː ɳ ɖ ɐ ɾ i n
மாண்டல்	m aː ɳ ɖ ɐ l
மாண்பு	m aː ɳ b u
மாதங்கள்	m aː d̪ ɐ ŋ ɡ ɐ ɭ
மாதனம்	m aː d̪ ɐ n ɐ m
மாதம்	m aː d̪ ɐ m
மாதறி	m aː d̪ ɐ r i
மாதவன்	m aː d̪ ɐ ʋ ɐ n
மாதிரி	m aː d̪ i ɾ i
மாதிரு	m aː d̪ i ɾ u
மாதுபாகம்	m aː d̪ u b aː ɡ ɐ m
மாதுளம்	m aː d̪ u ɭ ɐ m
மாதுளை	m aː d̪ u ɭ a ɪ̯
மாத்திரை	m aː t̪ː i ɾ a ɪ̯
மாத்து	m aː t̪ː u
மாநாடு	m aː n̪ aː ɖ u
மாநிலம்	m aː n̪ i l ɐ m
மாந்தர்	m aː n̪ d̪ ɐ ɾ
மானம்	m aː n ɐ m
மானிடன்	m aː n i ɖ ɐ n
மானிடவியல்	m aː n i ɖ ɐ ʋ i j ɐ l
மான்	m aː n
மான்கள்	m aː n ɡ ɐ ɭ
மாப்பிசின்	m aː pː i t͡ɕ i n
மாப்பிள்ளை	m aː pː i ɭː a ɪ̯
மாப்பு	m aː pː u
மாமனார்	m aː m ɐ n aː ɾ
மாமன்	m aː m ɐ n
மாமன்னன்	m aː m ɐ nː ɐ n
மாமரம்	m aː m ɐ ɾ ɐ m
மாமல்லபுரம்	m aː m a l l a p u ɾ a m
மாமல்லபுரம்	m aː m ɐ l l ɐ b u ɾ ɐ m
மாமல்லபுரம்	m aː m ɐ l l ɐ p u ɾ ɐ m
மாமா	m aː m aː
மாமிசம்	m aː m i t͡ɕ ɐ m
மாமியார்	m aː m i j aː ɾ
மாம்பழம்	m aː m b ɐ ɻ ɐ m
மாயிழை	m aː j i ɻ a ɪ̯
மாயோள்	m aː j oː ɭ
மாய்	m aː j
மாய்ச்சி	m aː j t͡ɕː i
மாரடைப்பு	m aː ɾ ɐ ɖ a ɪ̯ pː u
மாரி	m aː ɾ i
மாரிகாலம்	m aː ɾ i ɡ aː l ɐ m
மாருதி	m aː ɾ u d̪ i
மார்	m aː ɾ
மார்கழி	m aː ɾ ɡ ɐ ɻ i
மார்க்கம்	m aː ɾ kː ɐ m
மார்ச்	m aː ɾ t͡ɕ
மார்பகம்	m aː ɾ b ɐ ɡ ɐ m
மாறு	m aː r u
மாறுபாடு	m aː r u b aː ɖ u
மாற்றம்	m aː rː ɐ m
மாற்று	m aː rː u
மாற்றுத்திறனாளி	m aː rː u t̪ː i r ɐ n aː ɭ i
மாற்றுமருந்து	m aː rː u m ɐ ɾ u n̪ d̪ u
மாலை	m aː l a ɪ̯
மாலோன்	m aː l oː n
மால்	m aː l
மாளிகை	m aː ɭ i ɡ a ɪ̯
மாழை	m aː ɻ a ɪ̯
மாவட்டம்	m aː ʋ ɐ ʈː ɐ m
மாவு	m aː ʋ u
மாஸ்	m aː s
மிக	m i ɡ ɐ
மிகவும்	m i ɡ ɐ ʋ u m
மிகாவேல்	m i ɡ aː ʋ eː l
மிகு	m i ɡ u
மிகுதல்	m i ɡ u d̪ ɐ l
மிகுதி	m i ɡ u d̪ i
மிகுதியும்	m i ɡ u d̪ i j u m
மிகுந்த	m i ɡ u n̪ d̪ ɐ
மிகை	m i ɡ a ɪ̯
மிசோரம்	m i t͡ɕ oː ɾ ɐ m
மிச்சம்	m i t͡ɕː ɐ m
மிஞ்சு	m i ɲ d͡ʑ u
மிடையீரர்	m i ɖ a ɪ̯ j iː ɾ ɐ ɾ
மிட்டாய்	m i ʈː aː j
மித	m i d̪ ɐ
மிதழ்	m i d̪ ɐ ɻ
மிதவை	m i d̪ ɐ ʋ a ɪ̯
மிதியடி	m i d̪ i j ɐ ɖ i
மிதுனம்	m i d̪ u n ɐ m
மினுக்கம்	m i n u kː ɐ m
மினுக்கு	m i n u kː u
மினுங்கு	m i n u ŋ ɡ u
மினுமினுப்பு	m i n u m i n u pː u
மின்சாரம்	m i n t͡ɕ aː ɾ ɐ m
மின்சாரவண்டி	m i n t͡ɕ aː ɾ ɐ ʋ ɐ ɳ ɖ i
மின்னஞ்சல்	m i nː ɐ ɲ d͡ʑ ɐ l
மின்னணு	m i nː ɐ ɳ u
மின்னல்	m i nː ɐ l
மின்னு	m i nː u
மியான்மர்	m i j aː n m ɐ ɾ
மிரட்டு	m i ɾ ɐ ʈː u
மிருகசீருடம்	m i ɾ u ɡ ɐ t͡ɕ iː ɾ u ɖ ɐ m
மிருகம்	m i ɾ u ɡ ɐ m
மிருதங்கம்	m i ɾ u d̪ ɐ ŋ ɡ ɐ m
மிருதம்	m i ɾ u d̪ ɐ m
மிருது	m i ɾ u d̪ u
மிருத்தியு	m i ɾ u t̪ː i j u
மிறை	m i r a ɪ̯
மிளகாய்	m i ɭ ɐ ɡ aː j
மிளகு	m i ɭ ɐ h u
மிளகு	m i ɭ ɐ ɡ u
மிளகுத்தண்ணீர்	m i ɭ ɐ ɡ u t̪ː ɐ ɳː iː ɾ
மீ	m iː
மீகடத்தி	m iː k ɐ ɖ ɐ t̪ː i
மீகா	m iː ɡ aː
மீக்கணினி	m iː kː ɐ ɳ i n i
மீக்கூர்	m iː kː uː ɾ
மீக்கூறல்	m iː kː uː r ɐ l
மீக்கூற்றம்	m iː kː uː rː ɐ m
மீக்கோள்	m iː kː oː ɭ
மீசு	m iː t͡ɕ u
மீசை	m iː t͡ɕ a ɪ̯
மீச்செலவு	m iː t͡ɕː e l ɐ ʋ u
மீட்டு	m iː ʈː u
மீண்டும்	m iː ɳ ɖ u m
மீநாயகன்	m iː n̪ aː j ɐ ɡ ɐ n
மீனம்	m iː n ɐ m
மீனவர்	m iː n ɐ ʋ ɐ ɾ
மீனாக்ஷி	m iː n aː k ʂ i
மீனாட்சி	m iː n aː ʈ t͡ɕ i
மீன்	m iː n
மீன்காரன்	m iː n ɡ aː ɾ ɐ n
மீன்சிறகு	m iː n t͡ɕ i r ɐ ɡ u
மீன்வெட்டி	m iː n ʋ e ʈː i
மீன்வேட்டை	m iː n ʋ eː ʈː a ɪ̯
மீப்பு	m iː pː u
மீளி	m iː ɭ i
மீள்	m iː ɭ
மீள்மம்	m iː ɭ m ɐ m
முகக்குறி	m u ɡ ɐ kː u r i
முகடு	m u ɡ ɐ ɖ u
முகநூல்	m u ɡ ɐ n̪ uː l
முகம்	m u ɡ ɐ m
முகர்	m u ɡ ɐ ɾ
முகவுரை	m u ɡ ɐ ʋ u ɾ a ɪ̯
முகில்	m u ɡ i l
முகை	m u ɡ a ɪ̯
முக்கா	m u kː aː
முக்காலி	m u kː aː l i
முக்கால்	m u kː aː l
முக்கியமான	m u kː i j ɐ m aː n ɐ
முக்கியம்	m u kː i j ɐ m
முக்கோணம்	m u kː oː ɳ ɐ m
முச்சம்	m u t͡ɕː ɐ m
முடக்கு	m u ɖ ɐ kː u
முடி	m u ɖ i
முடியாட்சி	m u ɖ i j aː ʈ t͡ɕ i
முடிவிலி	m u ɖ i ʋ i l i
முடிவு	m u ɖ i ʋ u
முடுக்கு	m u ɖ u kː u
முட்கொன்றை	m u ʈ k o n r a ɪ̯
முட்செவ்வந்தி	m u ʈ t͡ɕ e ʋː ɐ n̪ d̪ i
முட்டாள்	m u ʈː aː ɭ
முட்டு	m u ʈː u
முட்டுக்கால்	m u ʈː u kː aː l
முட்டை	m u ʈː a ɪ̯
முண்டகம்	m u ɳ ɖ ɐ ɡ ɐ m
முதன்மை	m u d̪ ɐ n m a ɪ̯
முதலாளி	m u d̪ ɐ l aː ɭ i
முதலீடு	m u d̪ ɐ l iː ɖ u
முதலுதவி	m u d̪ ɐ l u d̪ ɐ ʋ i
முதலை	m u d̪ ɐ l a ɪ̯
முதல்	m u d̪ ɐ l
முதல்வர்	m u d̪ ɐ l ʋ ɐ ɾ
முதிர்ச்சி	m u d̪ i ɾ t͡ɕː i
முதுகு	m u d̪ u ɡ u
முதுகுநாணி	m u d̪ u ɡ u n̪ aː ɳ i
முதுமை	m u d̪ u m a ɪ̯
முதுவேனில்	m u d̪ u ʋ eː n i l
முத்தமிடு	m u t̪ː ɐ m i ɖ u
முத்தம்	m u t̪ː ɐ m
முத்தாடு	m u t̪ː aː ɖ u
முத்திக்கை	m u t̪ː i kː a ɪ̯
முத்து	m u t̪ː u
முந்திரி	m u n̪ d̪ i ɾ i
முன்	m u n
முன்கை	m u n ɡ a ɪ̯
முன்னடியார்	m u nː ɐ ɖ i j aː ɾ
முன்னடியில்	m u nː ɐ ɖ i j i l
முன்னதாக	m u nː ɐ d̪ aː ɡ ɐ
முன்னர்	m u nː ɐ ɾ
முன்னாடி	m u nː aː ɖ i
முன்னுற	m u nː u r ɐ
முன்னூறு	m u nː uː r u
முன்னே	m u nː eː
முன்னேற்றம்	m u nː eː rː ɐ m
முன்னொட்டு	m u nː o ʈː u
முன்னோர்	m u nː oː ɾ
முன்பனி	m u n b ɐ n i
முன்பால்	m u n b aː l
முன்பிற்படி	m u n b i r p ɐ ɖ i
முன்பிலாண்டு	m u n b i l aː ɳ ɖ u
முன்பில்	m u n b i l
முன்பு	m u n b u
முன்புருவம்	m u n b u ɾ u ʋ ɐ m
முன்மாதிரி	m u n m aː d̪ i ɾ i
முன்முகனை	m u n m u ɡ ɐ n a ɪ̯
முன்றுறை	m u n r u r a ɪ̯
முப்பது	m u pː ɐ d̪ u
முப்பாட்டன்	m u pː aː ʈː ɐ n
முப்பால்	m u pː aː l
முப்புள்ளி	m u pː u ɭː i
முப்புவனம்	m u pː u ʋ ɐ n ɐ m
மும்பை	m u m b a ɪ̯
மும்மாரி	m u mː aː ɾ i
முயற்சி	m u j ɐ r t͡ɕ i
முயற்செவி	m u j ɐ r t͡ɕ e ʋ i
முயல்	m u j ɐ l
முரசு	m u ɾ ɐ t͡ɕ u
முரடு	m u ɾ ɐ ɖ u
முரணுரை	m u ɾ ɐ ɳ u ɾ a ɪ̯
முரண்	m u ɾ ɐ ɳ
முரண்மொழி	m u ɾ ɐ ɳ m o ɻ i
முரளீதரன்	m u ɾ ɐ ɭ iː d̪ ɐ ɾ ɐ n
முரி	m u ɾ i
முருகன்	m u ɾ u ɡ ɐ n
முருங்கை	m u ɾ u ŋ ɡ a ɪ̯
முறுக்கு	m u r u kː u
முறை	m u r a ɪ̯
முறைமை	m u r a ɪ̯ m a ɪ̯
முறையீடு	m u r a ɪ̯ j iː ɖ u
முற்கோள்	m u r k oː ɭ
முற்பகல்	m u r p ɐ ɡ ɐ l
முற்படு	m u r p ɐ ɖ u
முற்றிலும்	m u rː i l u m
முலை	m u l a ɪ̯
முலையூட்டி	m u l a ɪ̯ j uː ʈː i
முளரி	m u ɭ ɐ ɾ i
முளை	m u ɭ a ɪ̯
முளைக்கீரை	m u ɭ a ɪ̯ kː iː ɾ a ɪ̯
முள்	m u ɭ
முள்கு	m u ɭ ɡ u
முள்நாறி	m u ɭ n̪ aː r i
முள்மகிழ்	m u ɭ m ɐ ɡ i ɻ
முள்ளங்கி	m u ɭː ɐ ŋ ɡ i
முள்ளங்கிழங்கு	m u ɭː ɐ ŋ ɡ i ɻ ɐ ŋ ɡ u
முள்ளம்பன்றி	m u ɭː ɐ m b ɐ n r i
முள்ளம்பன்றிகள்	m u ɭː ɐ m b ɐ n r i ɡ ɐ ɭ
முள்ளம்பலாச்சை	m u ɭː ɐ m b ɐ l aː t͡ɕː a ɪ̯
முள்ளிலவு	m u ɭː i l ɐ ʋ u
முள்ளுக்களா	m u ɭː u kː ɐ ɭ aː
முள்ளுமுருக்கு	m u ɭː u m u ɾ u kː u
முள்வாளை	m u ɭ ʋ aː ɭ a ɪ̯
முள்வேலி	m u ɭ ʋ eː l i
முழங்கால்	m u ɻ ɐ ŋ ɡ aː l
முழங்கை	m u ɻ ɐ ŋ ɡ a ɪ̯
முழம்	m u ɻ ɐ m
முழி	m u ɻ i
முழு	m u ɻ u
முழுங்கு	m u ɻ u ŋ ɡ u
முழுமதி	m u ɻ u m ɐ d̪ i
முழுமை	m u ɻ u m a ɪ̯
முழுவதும்	m u ɻ u ʋ ɐ d̪ u m
முழை	m u ɻ a ɪ̯
முஸ்தாஜிரி	m u s t̪ aː d͡ʑ i ɾ i
முஸ்லிம்	m u s l i m
முஸ்லீம்	m u s l iː m
மூக்கண்ணாடி	m uː kː ɐ ɳː aː ɖ i
மூக்கன்	m uː kː ɐ n
மூக்கு	m uː kː u
மூக்குக்கொம்பன்	m uː kː u kː o m b ɐ n
மூக்குத்தி	m uː kː u t̪ː i
மூக்கை	m uː kː a ɪ̯
மூங்கா	m uː ŋ ɡ aː
மூங்கில்	m uː ŋ ɡ i l
மூச்சு	m uː t͡ɕː u
மூஞ்சி	m uː ɲ d͡ʑ i
மூடி	m uː ɖ i
மூடு	m uː ɖ u
மூடுபனி	m uː ɖ u b ɐ n i
மூட்டம்	m uː ʈː ɐ m
மூட்டு	m uː ʈː u
மூதாதையர்	m uː d̪ aː d̪ a ɪ̯ j ɐ ɾ
மூதாய்	m uː d̪ aː j
மூது	m uː d̪ u
மூதுரை	m uː d̪ u ɾ a ɪ̯
மூத்திரம்	m uː t̪ː i ɾ ɐ m
மூன்று	m uː n r u
மூர்ச்சனை	m uː ɾ t͡ɕː ɐ n a ɪ̯
மூலக்கூறு	m uː l ɐ kː uː r u
மூலதனம்	m uː l ɐ d̪ ɐ n ɐ m
மூலம்	m uː l ɐ m
மூளை	m uː ɭ a ɪ̯
மூழ்கு	m uː ɻ ɡ u
மெட்டி	m e ʈː i
மெட்ராஸ்	m e ɖ ɾ aː s
மெது	m e d̪ u
மெதுவான	m e d̪ u ʋ aː n ɐ
மெத்தம்பாரை	m e t̪ː ɐ m b aː ɾ a ɪ̯
மெத்து	m e t̪ː u
மெத்தை	m e t̪ː a ɪ̯
மென்தங்கம்	m e n d̪ ɐ ŋ ɡ ɐ m
மென்னடை	m e nː ɐ ɖ a ɪ̯
மென்பொருள்	m e n b o ɾ u ɭ
மென்மை	m e n m a ɪ̯
மென்வெள்ளி	m e n ʋ e ɭː i
மெய்	m e j
மெய்க்கோள்	m e j kː oː ɭ
மெய்ப்பாட்டிசைக்குறி	m e j pː aː ʈː i t͡ɕ a ɪ̯ kː u r i
மெய்யியல்	m e jː i j ɐ l
மெய்யெழுத்து	m e jː e ɻ u t̪ː u
மெருகு	m e ɾ u ɡ u
மெல்	m e l
மெல்லினம்	m e l l i n ɐ m
மெல்லிய	m e l l i j ɐ
மே	m eː
மேகம்	m eː h ɐ m
மேகம்	m eː ɡ ɐ m
மேகாலயா	m eː ɡ aː l ɐ j aː
மேசை	m eː t͡ɕ a ɪ̯
மேஜை	m eː d͡ʑ a ɪ̯
மேடு	m eː ɖ u
மேடூகம்	m eː ɖ uː ɡ ɐ m
மேட்டிமை	m eː ʈː i m a ɪ̯
மேனாடு	m eː n aː ɖ u
மேனீர்	m eː n iː ɾ
மேன்மூடி	m eː n m uː ɖ i
மேன்மை	m eː n m a ɪ̯
மேன்றலை	m eː n r ɐ l a ɪ̯
மேம்படு	m eː m b ɐ ɖ u
மேம்பாடு	m eː m b aː ɖ u
மேம்பாலம்	m eː m b aː l ɐ m
மேயல்	m eː j ɐ l
மேய்	m eː j
மேய்ச்சல்	m eː j t͡ɕː ɐ l
மேய்ப்பன்	m eː j pː ɐ n
மேய்ப்பு	m eː j pː u
மேரை	m eː ɾ a ɪ̯
மேற்கு	m eː r k u
மேற்கூரை	m eː r k uː ɾ a ɪ̯
மேற்கொண்டு	m eː r k o ɳ ɖ u
மேற்கோப்பு	m eː r k oː pː u
மேற்செலவு	m eː r t͡ɕ e l ɐ ʋ u
மேற்படு	m eː r p ɐ ɖ u
மேற்பட்டை	m eː r p ɐ ʈː a ɪ̯
மேற்பார்வை	m eː r p aː ɾ ʋ a ɪ̯
மேற்றளம்	m eː rː ɐ ɭ ɐ m
மேலங்கி	m eː l ɐ ŋ ɡ i
மேலாண்மை	m eː l aː ɳ m a ɪ̯
மேலால்	m eː l aː l
மேலிடு	m eː l i ɖ u
மேலிமை	m eː l i m a ɪ̯
மேலும்	m eː l u m
மேலோடி	m eː l oː ɖ i
மேல்	m eː l
மேஷம்	m eː ʂ ɐ m
மை	m a ɪ̯
மைதா	m a ɪ̯ d̪ aː
மைதானம்	m a ɪ̯ d̪ aː n ɐ m
மைந்தன்	m a ɪ̯ n̪ d̪ ɐ n
மைனா	m a ɪ̯ n aː
மைனி	m a ɪ̯ n i
மைல்	m a ɪ̯ l
மொச்சை	m o t͡ɕː a ɪ̯
மொட்டு	m o ʈː u
மொத்தம்	m o t̪ː ɐ m
மொய்	m o j
மொய்ம்பு	m o j m b u
மொய்யற்சன்னி	m o jː ɐ r t͡ɕ ɐ nː i
மொழி	m o ɻ i
மொழிபு	m o ɻ i b u
மொழிபெயர்ப்பு	m o ɻ i p e j a ɾ pː u
மொழியியல்	m o ɻ i j i j ɐ l
மோ	m oː
மோகினியாட்டம்	m oː ɡ i n i j aː ʈː ɐ m
மோசம்	m oː t͡ɕ ɐ m
மோசே	m oː t͡ɕ eː
மோடு	m oː ɖ u
மோதிரம்	m oː d̪ i ɾ ɐ m
மோது	m oː d̪ u
மோர்	m oː ɾ
மௌனம்	m a ʊ̯ n ɐ m
மௌவல்	m a ʊ̯ ʋ ɐ l
ம்	i m
ம்	i mː ɯ
ம்	m
ய	j ɐ
யக்கியோபவீதம்	j ɐ kː i j oː b ɐ ʋ iː d̪ ɐ m
யமன்	j ɐ m ɐ n
யமுனை	j ɐ m u n a ɪ̯
யாகுவம்	j aː ɡ u ʋ ɐ m
யானம்	j aː n ɐ m
யானை	j aː n a ɪ̯
யான்	j aː n
யாமம்	j aː m ɐ m
யாம்	j aː m
யாரோ	j aː ɾ oː
யார்	j aː ɾ
யாளி	j aː ɭ i
யாழ்	j aː ɻ
யாழ்ப்பாணம்	j aː ɻ pː aː ɳ ɐ m
யாவரும்	j aː ʋ ɐ ɾ u m
யாவர்	j aː ʋ ɐ ɾ
யுகம்	j u ɡ ɐ m
யுத்தம்	j u t̪ː ɐ m
யூகி	j uː ɡ i
யூதம்	j uː d̪ ɐ m
