㑚	n a ² ³
迭能	d ə ʔ ¹ ¹ n ə n ² ³
迭能介	d i ɪ ʔ ¹ ¹ n ə n ² ² k a ² ³
迭能介	d ə ʔ ¹ ¹ n ə n ² ² k a ² ³
迭能樣子	d i ɪ ʔ ¹ ¹ n ə n ² ² ɦ i ã ² ² t͡s z̩ ² ³
迭能樣子	d ə ʔ ¹ ¹ n ə n ² ² ɦ i ã ² ² t͡s z̩ ² ³
迭誠	d i ɪ ʔ ¹ ¹ z ə n ² ³
述	z ə ʔ ¹ ²
迴形針	ɦ u e ² ² ɦ i n ⁵ ⁵ t͡s ə n ² ¹
迷	m i ² ³
迷路	m i ² ² l u ⁴ ⁴
迷離	m i ² ² l i ⁴ ⁴
迷霧	m i ² ² ɦ u ⁴ ⁴
追	t͡s ø ⁵ ³
退	tʰ e ³ ⁴
退流	tʰ e ³ ³ z ɔ ⁴ ⁴
退流	tʰ e ⁴ ⁴ z ɔ ² ³
退貨	tʰ e ³ ³ h u ⁴ ⁴
退貨	tʰ e ⁴ ⁴ h u ³ ⁴
退避	tʰ e ³ ³ b i ⁴ ⁴
送	s o ŋ ³ ⁴
送喪	s o ŋ ³ ³ s ɑ̃ ⁴ ⁴
送灶	s o ŋ ³ ³ t͡s ɔ ⁴ ⁴
送禮	s o ŋ ⁴ ⁴ l i ² ³
送葬	s o ŋ ³ ³ t͡s ɑ̃ ⁴ ⁴
送葬	s o ŋ ⁴ ⁴ t͡s ɑ̃ ³ ⁴
送親	s o ŋ ³ ³ t͡ɕʰ i n ⁴ ⁴
送貨汽車	s o ŋ ³ ³ h u ⁵ ⁵ t͡ɕʰ i ³ ³ t͡sʰ o ² ¹
逆	n̠ʲ i ɪ ʔ ¹ ²
逆風	n̠ʲ i ɪ ʔ ¹ ¹ f o ŋ ² ³
逍遙	ɕ i ɔ ⁵ ⁵ ɦ i ɔ ² ¹
透	tʰ ɤ ³ ⁴
逐	z o ʔ ¹ ²
逐個	z o ʔ ¹ ¹ ɡ ə ʔ ² ³
逐步	z o ʔ ¹ ¹ b u ² ³
途	d u ² ³
這	t͡s e ³ ⁴
這	t͡s ə ʔ ⁵ ⁵
通	tʰ o ŋ ⁵ ³
通宵	tʰ o ŋ ⁵ ⁵ ɕ i ɔ ² ¹
通心粉	tʰ o ŋ ⁵ ⁵ ɕ i n ³ ³ f ə n ² ¹
通性	tʰ o ŋ ⁵ ⁵ ɕ i n ² ¹
通盤	tʰ o ŋ ⁵ ⁵ b ø ² ¹
通知	tʰ o ŋ ⁵ ⁵ t͡s z̩ ² ¹
通稱	tʰ o ŋ ⁵ ⁵ t͡sʰ ə n ² ¹
通風	tʰ o ŋ ⁵ ⁵ f o ŋ ² ¹
逝	z z̩ ² ³
速	s o ʔ ⁵ ⁵
造	z ɔ ² ³
造反	z ɔ ² ² f e ⁴ ⁴
造房子	z ɔ ² ² v ɑ̃ ⁵ ⁵ t͡s z̩ ² ¹
逢	v o ŋ ² ³
連	l i ² ³
連刀塊	l i ² ² t ɔ ⁵ ⁵ kʰ u e ² ¹
連坐	l i ² ² z u ⁴ ⁴
連帶	l i ² ² t a ⁴ ⁴
連底凍	l i ² ² t i ⁵ ⁵ t o ŋ ² ¹
連得	l i ² ² t ə ʔ ⁴ ⁴
連忙	l i ² ² m ɑ̃ ⁴ ⁴
連枷	l i ² ² k a ⁴ ⁴
連牽	l i ² ² t͡ɕʰ i ⁴ ⁴
連續劇	l i ² ² z o ʔ ⁵ ⁵ d͡ʑ i ɪ ʔ ² ¹
連陰雨	l i ² ² i n ⁵ ⁵ ɦ y ² ¹
連雲港	l i ² ² ɦ y n ⁵ ⁵ k ɑ̃ ² ¹
週	t͡s ɤ ⁵ ³
週期	t͡s ɤ ⁵ ⁵ d͡ʑ i ² ¹
進	t͡ɕ i n ³ ⁴
進分	t͡ɕ i n ³ ³ f ə n ⁴ ⁴
進化	t͡ɕ i n ³ ³ h o ⁴ ⁴
進教	t͡ɕ i n ³ ³ t͡ɕ i ɔ ⁴ ⁴
進教者	t͡ɕ i n ⁵ ⁵ t͡ɕ i ɔ ³ ³ t͡s e ² ¹
進步	t͡ɕ i n ³ ³ b u ⁴ ⁴
進深	t͡s ə n ³ ³ s ə n ⁴ ⁴
進而	t͡ɕ i n ³ ³ ɦ ə l ⁴ ⁴
進貨	t͡ɕ i n ³ ³ h u ⁴ ⁴
進貨	t͡ɕ i n ⁴ ⁴ h u ³ ⁴
進賬	t͡ɕ i n ³ ³ t͡s ã ⁴ ⁴
逸	ɦ i ɪ ʔ ¹ ²
逼	p i ɪ ʔ ⁵ ⁵
遂	z ø ² ³
遇	n̠ʲ y ² ³
遊	ɦ i ɤ ² ³
遊戲	ɦ i ɤ ² ² ɕ i ⁴ ⁴
遊碼頭	ɦ i ɤ ² ² m o ⁵ ⁵ d ɤ ² ¹
遊碼頭	ɦ i ɤ ³ ³ m o ² ² d ɤ ⁴ ⁴
運	ɦ i o ŋ ² ³
運	ɦ y n ² ³
運動	ɦ i o ŋ ² ² d o ŋ ⁴ ⁴
運動	ɦ y n ² ² d o ŋ ⁴ ⁴
運動場	ɦ i o ŋ ² ² d o ŋ ⁵ ⁵ z ã ² ¹
運動場	ɦ y n ² ² d o ŋ ⁵ ⁵ z ã ² ¹
運氣	ɦ y n ² ² t͡ɕʰ i ⁴ ⁴
遍	p i ³ ⁴
遍	pʰ i ³ ⁴
過	k u ³ ⁴
過來	k u ³ ³ l e ⁴ ⁴
過去	k u ³ ³ t͡ɕʰ i ⁴ ⁴
過去	k u ³ ³ t͡ɕʰ y ⁴ ⁴
過度	k u ³ ³ d u ⁴ ⁴
過後	k u ³ ³ ɦ ɤ ⁴ ⁴
過念頭	k u ³ ³ n̠ʲ i ⁵ ⁵ d ɤ ² ¹
過念頭	k u ⁴ ⁴ n̠ʲ i ² ² d ɤ ⁴ ⁴
過房	k u ³ ³ v ɑ̃ ⁴ ⁴
過房兒子	k u ³ ³ v ɑ̃ ⁵ ⁵ n̠ʲ i ³ ³ t͡s z̩ ² ¹
過房囡兒	k u ³ ³ v ɑ̃ ⁵ ⁵ n ø ³ ³ ŋ̍ ² ¹
過於	k u ³ ³ ɦ y ⁴ ⁴
過路	k u ³ ³ l u ⁴ ⁴
過路人	k u ³ ³ l u ⁵ ⁵ n̠ʲ i n ² ¹
過門	k u ³ ³ m ə n ⁴ ⁴
過門	k u ⁴ ⁴ m ə n ² ³
遏	ə ʔ ⁵ ⁵
道	d ɔ ² ³
道光	d ɔ ² ² k u ɑ̃ ⁴ ⁴
道具	d ɔ ² ² t͡ɕ y ⁴ ⁴
道地	d ɔ ² ² d i ⁴ ⁴
道士	d ɔ ² ² z z̩ ⁴ ⁴
道德	d ɔ ² ² t ə ʔ ⁴ ⁴
道德經	d ɔ ² ² t ə ʔ ⁵ ⁵ t͡ɕ i n ² ¹
道教	d ɔ ² ² t͡ɕ i ɔ ⁴ ⁴
道理	d ɔ ² ² l i ⁴ ⁴
道路	d ɔ ² ² l u ⁴ ⁴
達	d a ʔ ¹ ²
違	ɦ u e ² ³
違司	ɦ u e ² ² s z̩ ⁴ ⁴
遙	ɦ i ɔ ² ³
遞	d i ² ³
遠	ɦ y ø ² ³
遠來頭	ɦ y ø ² ² l e ⁵ ⁵ d ɤ ² ¹
遠足	ɦ ø ² ² t͡s o ʔ ⁴ ⁴
遣	t͡ɕʰ i ³ ⁴
遨	ŋ ɔ ² ³
適	s ə ʔ ⁵ ⁵
適意	s ə ʔ ³ ³ i ⁴ ⁴
遭	t͡s ɔ ⁵ ³
遮	t͡s o ⁵ ³
遲	z z̩ ² ³
遲到	z z̩ ² ² t ɔ ⁴ ⁴
遷	t͡ɕʰ i ⁵ ³
遷徙	t͡ɕʰ i ⁵ ⁵ ɕ i ² ¹
選	ɕ i ³ ⁴
選舉	ɕ i ³ ³ t͡ɕ y ⁴ ⁴
遺	ɦ i ² ³
遺憾	ɦ i ² ² ɦ ø ⁴ ⁴
遺精	ɦ i ² ² t͡ɕ i n ⁴ ⁴
遺精	ɦ i ³ ³ t͡ɕ i n ⁵ ³
遺腹子	ɦ i ² ² f o ʔ ⁵ ⁵ t͡s z̩ ² ¹
遼	l i ɔ ² ³
遼寧	l i ɔ ² ² n i n ⁴ ⁴
遽	d͡ʑ y ² ³
邀	i ɔ ⁵ ³
邁進	m e ² ² t͡ɕ i n ⁴ ⁴
邂逅	ɦ a ² ² ɦ ɤ ⁴ ⁴
還	e ⁵ ³
還	ɦ e ² ³
還	ɦ u e ² ³
還價	ɦ u e ² ² k a ⁴ ⁴
還價	ɦ u e ³ ³ k a ³ ⁴
還可以	ɦ u e ³ ³ kʰ u ³ ³ i ⁴ ⁴
還嘴	ɦ u e ² ² t͡s z̩ ⁴ ⁴
還嘴	ɦ u e ³ ³ t͡s z̩ ³ ⁴
還是	e ⁵ ⁵ z z̩ ² ¹
還是	ɦ e ² ² z z̩ ⁴ ⁴
還是	ɦ u e ² ² z z̩ ⁴ ⁴
還有	ɦ u e ² ² ɦ i ɤ ⁴ ⁴
還款	ɦ u e ² ² kʰ u ø ⁴ ⁴
還潮	ɦ u e ² ² z ɔ ⁴ ⁴
還潮天	ɦ u e ² ² z ɔ ⁵ ⁵ tʰ i ² ¹
還潮天氣	ɦ u e ² ² z ɔ ⁵ ⁵ tʰ i ³ ³ t͡ɕʰ i ² ¹
還願	ɦ u e ² ² n̠ʲ y ø ⁴ ⁴
邊	p i ⁵ ³
邊塞	p i ⁵ ⁵ s e ² ¹
邊旁	p i ⁵ ⁵ b ɑ̃ ² ¹
邊旁	p i ⁵ ⁵ p ɑ̃ ² ¹
邊沿	p i ⁵ ⁵ ɦ i ² ¹
邊邊	p i ⁵ ⁵ p i ² ¹
邊邊頭	p i ⁵ ⁵ p i ³ ³ d ɤ ² ¹
邊頭	p i ⁵ ⁵ d ɤ ² ¹
邋遢	l a ʔ ¹ ¹ tʰ a ʔ ² ³
邋遢天	l a ʔ ¹ ¹ tʰ a ʔ ² ² tʰ i ² ³
邋遢天氣	l a ʔ ¹ ¹ tʰ a ʔ ² ² tʰ i ² ² t͡ɕʰ i ² ³
邏	l u ² ³
邑	i ɪ ʔ ⁵ ⁵
邕	i o ŋ ³ ⁴
邢	ɦ i n ² ³
那	n a ⁵ ³
那麼	n a ² ² m ə ʔ ⁴ ⁴
邦	p ɑ̃ ⁵ ³
邦交	p ɑ̃ ⁵ ⁵ t͡ɕ i ɔ ² ¹
邪	ɦ i a ² ³
邪	ʑ i a ² ³
邪教	ʑ i a ² ² t͡ɕ i ɔ ⁴ ⁴
邪氣	ʑ i a ² ² t͡ɕʰ i ⁴ ⁴
邪狗	ʑ i a ² ² k ɤ ⁴ ⁴
邱	t͡ɕʰ i ɤ ⁵ ³
邵	z ɔ ² ³
郁	i o ʔ ⁵ ⁵
郁	y ɪ ʔ ⁵ ⁵
郊	t͡ɕ i ɔ ⁵ ³
郊區	t͡ɕ i ɔ ⁵ ⁵ t͡ɕʰ y ² ¹
郎	l ɑ̃ ² ³
郎中	l ɑ̃ ² ² t͡s o ŋ ⁴ ⁴
郡	t͡ɕ y n ³ ⁴
部	b u ² ³
部分	b u ² ² v ə n ⁴ ⁴
部署	b u ² ² z z̩ ⁴ ⁴
部長	b u ² ² t͡s ã ⁴ ⁴
部首	b u ² ² s ɤ ⁴ ⁴
郭	k o ʔ ⁵ ⁵
郵	ɦ i ɤ ² ³
郵件	ɦ i ɤ ² ² t͡ɕ i ⁴ ⁴
郵包	ɦ i ɤ ² ² p ɔ ⁴ ⁴
郵局	ɦ i ɤ ² ² d͡ʑ i o ʔ ⁴ ⁴
郵局	ɦ i ɤ ² ² d͡ʑ y ɪ ʔ ⁴ ⁴
郵差	ɦ i ɤ ² ² t͡sʰ a ⁴ ⁴
郵政	ɦ i ɤ ² ² z ə n ⁴ ⁴
郵政局	ɦ i ɤ ² ² z ə n ⁵ ⁵ d͡ʑ i o ʔ ² ¹
郵政局	ɦ i ɤ ² ² z ə n ⁵ ⁵ d͡ʑ y ɪ ʔ ² ¹
郵票	ɦ i ɤ ² ² pʰ i ɔ ⁴ ⁴
郵筒	ɦ i ɤ ² ² d o ŋ ⁴ ⁴
郵箱	ɦ i ɤ ² ² ɕ i ã ⁴ ⁴
郵遞員	ɦ i ɤ ² ² d i ⁵ ⁵ ɦ y ø ² ¹
都	t u ⁵ ³
都市	t u ⁵ ⁵ z z̩ ² ¹
都柏林	t u ⁵ ⁵ p a ʔ ³ ³ l i n ² ¹
鄂州	ŋ o ʔ ¹ ¹ t͡s ɤ ² ³
鄉	ɕ i ã ⁵ ³
鄉下	ɕ i ã ⁵ ⁵ ɦ o ² ¹
鄉下人	ɕ i ã ⁵ ⁵ ɦ o ³ ³ n̠ʲ i n ² ¹
鄉下佬	ɕ i ã ⁵ ⁵ ɦ o ³ ³ l ɔ ² ¹
鄉下頭	ɕ i ã ⁵ ⁵ ɦ o ³ ³ d ɤ ² ¹
鄉思	ɕ i ã ⁵ ⁵ s z̩ ² ¹
鄉村	ɕ i ã ⁵ ⁵ t͡sʰ ə n ² ¹
鄉鄰	ɕ i ã ⁵ ⁵ l i n ² ¹
鄒	t͡s ɤ ⁵ ³
鄔	u ⁵ ³
鄙	p i ³ ⁴
鄞	n̠ʲ i n ² ³
鄧	d ə n ² ³
鄧祿普	d ə n ² ² l o ʔ ⁵ ⁵ pʰ u ² ¹
鄭	z ə n ² ³
鄭州	z ə n ² ² t͡s ɤ ⁴ ⁴
鄰	l i n ² ³
鄰	l ə n ² ³
鄰舍	l i n ² ² s o ⁴ ⁴
鄰近	l i n ² ² d͡ʑ i n ⁴ ⁴
鄺	k u ɑ̃ ³ ⁴
酉	ɦ i ɤ ² ³
酋	ʑ i ɤ ² ³
酌	t͡s a ʔ ⁵ ⁵
酒	t͡ɕ i ɤ ³ ⁴
酒吧	t͡ɕ i ɤ ³ ³ b a ⁴ ⁴
酒吧間	t͡ɕ i ɤ ³ ³ p a ⁵ ⁵ k e ² ¹
酒家	t͡ɕ i ɤ ³ ³ t͡ɕ i a ⁴ ⁴
酒店	t͡ɕ i ɤ ³ ³ t i ⁴ ⁴
酒杯	t͡ɕ i ɤ ³ ³ p e ⁴ ⁴
酒板	t͡ɕ i ɤ ³ ³ p e ⁴ ⁴
酒水	t͡ɕ i ɤ ³ ³ s z̩ ⁴ ⁴
酒瓶	t͡ɕ i ɤ ³ ³ b i n ⁴ ⁴
酒盅	t͡ɕ i ɤ ³ ³ t͡s o ŋ ⁴ ⁴
酒窩	t͡ɕ i ɤ ³ ³ u ⁴ ⁴
酒糟	t͡ɕ i ɤ ³ ³ t͡s ɔ ⁴ ⁴
酒缸	t͡ɕ i ɤ ³ ³ k ɑ̃ ⁴ ⁴
酒釀	t͡ɕ i ɤ ³ ³ n̠ʲ i ã ⁴ ⁴
酒靨	t͡ɕ i ɤ ³ ³ i ɪ ʔ ⁴ ⁴
酗	ɕ y ³ ⁴
酢	t͡sʰ u ³ ⁴
酥	s u ⁵ ³
酪	l o ʔ ¹ ²
酬	z ɤ ² ³
酵	k ɔ ³ ⁴
酵	t͡ɕ i ɔ ³ ⁴
酵	ɕ i ɔ ³ ⁴
酷	kʰ o ʔ ⁵ ⁵
酸	s ø ⁵ ³
酸奶	s ø ⁵ ⁵ n a ² ¹
酸梅	s ø ⁵ ⁵ m e ² ¹
酸梅湯	s ø ⁵ ⁵ m e ³ ³ tʰ ɑ̃ ² ¹
酸辣湯	s ø ⁵ ⁵ l a ʔ ³ ³ tʰ ɑ̃ ² ¹
醃	i ⁵ ³
醃篤鮮	i ⁵ ⁵ t o ʔ ³ ³ ɕ i ² ¹
醇	z ə n ² ³
醉	t͡s ø ³ ⁴
醉方乳腐	t͡s ø ³ ³ f ɑ̃ ⁴ ⁴ z z̩ ² ² v u ⁴ ⁴
醉方乳腐	t͡s ø ³ ³ f ɑ̃ ⁴ ⁴ z z̩ ² ² ɦ u ⁴ ⁴
醉方乳腐	t͡s ø ³ ³ f ɑ̃ ⁵ ⁵ z z̩ ³ ³ v u ² ¹
醉方乳腐	t͡s ø ³ ³ f ɑ̃ ⁵ ⁵ z z̩ ³ ³ ɦ u ² ¹
醋	t͡sʰ u ³ ⁴
醋栗	t͡sʰ u ³ ³ l i ɪ ʔ ⁴ ⁴
醒	ɕ i n ³ ⁴
醜	t͡sʰ ɤ ³ ⁴
醜八怪	t͡sʰ ɤ ³ ³ p a ʔ ⁵ ⁵ k u a ² ¹
醫	i ⁵ ³
醫家	i ⁵ ⁵ t͡ɕ i a ² ¹
醫生	i ⁵ ⁵ s ã ² ¹
醫療	i ⁵ ⁵ l i ɔ ² ¹
醫院	i ⁵ ⁵ ɦ y ø ² ¹
醬	t͡ɕ i ã ³ ⁴
醬乳腐	t͡ɕ i ã ³ ³ z z̩ ⁵ ⁵ v u ² ¹
醬乳腐	t͡ɕ i ã ³ ³ z z̩ ⁵ ⁵ ɦ u ² ¹
醬園	t͡ɕ i ã ³ ³ ɦ y ø ⁴ ⁴
醬大頭菜	t͡ɕ i ã ³ ³ d a ⁵ ⁵ d ɤ ³ ³ t͡sʰ e ² ¹
醬板草	t͡ɕ i ã ³ ³ p e ⁵ ⁵ t͡sʰ ɔ ² ¹
醬油	t͡ɕ i ã ³ ³ ɦ i ɤ ⁴ ⁴
醬煨蛋	t͡ɕ i ã ³ ³ u e ⁵ ⁵ d e ² ¹
醬瓜	t͡ɕ i ã ³ ³ k u ⁴ ⁴
醬菜	t͡ɕ i ã ³ ³ t͡sʰ e ⁴ ⁴
醬豆腐	t͡ɕ i ã ³ ³ d ɤ ⁵ ⁵ v u ² ¹
醬豆腐	t͡ɕ i ã ³ ³ d ɤ ⁵ ⁵ ɦ u ² ¹
醬豬肉	t͡ɕ i ã ³ ³ t͡s z̩ ⁵ ⁵ n̠ʲ i o ʔ ² ¹
醬鴨	t͡ɕ i ã ³ ³ a ʔ ⁴ ⁴
釀	n̠ʲ i ã ² ³
釅	n̠ʲ i ² ³
釉	ɦ i ɤ ² ³
釋	s ə ʔ ⁵ ⁵
里	l i ² ³
里加	l i ² ² k a ⁴ ⁴
里斯本	l i ² ² s z̩ ⁵ ⁵ p ə n ² ¹
里程	l i ² ² z ə n ⁴ ⁴
重	z o ŋ ² ³
重慶	z o ŋ ² ² t͡ɕʰ i n ⁴ ⁴
重新	z o ŋ ² ² ɕ i n ⁴ ⁴
重罪	z o ŋ ² ² z ø ⁴ ⁴
重要	z o ŋ ² ² i ɔ ⁴ ⁴
重陽	z o ŋ ² ² h i ã ⁴ ⁴
重陽節	z o ŋ ² ² h i ã ⁵ ⁵ t͡ɕ i ɪ ʔ ² ¹
重陽糕	z o ŋ ² ² ɦ i ã ⁵ ⁵ k ɔ ² ¹
野	ɦ i a ² ³
野客	ɦ i a ² ² kʰ a ʔ ⁴ ⁴
野日頭吃家日頭	ɦ i a ² ² n̠ʲ i ɪ ʔ ⁵ ⁵ d ɤ ³ ³ t͡ɕʰ i ɪ ʔ ⁴ ⁴ k a ⁵ ⁵ n̠ʲ i ɪ ʔ ³ ³ d ɤ ² ¹
野月吃家月	ɦ i a ² ² ɦ y ɪ ʔ ³ ³ t͡ɕʰ i ɪ ʔ ⁴ ⁴ k a ⁵ ⁵ ɦ y ɪ ʔ ² ¹
野貓	ɦ i a ² ² m ɔ ⁴ ⁴
野雞	ɦ i a ² ² t͡ɕ i ⁴ ⁴
野雞車	ɦ i a ² ² t͡ɕ i ⁵ ⁵ t͡sʰ o ² ¹
野鴨	ɦ i a ² ² a ʔ ⁴ ⁴
量	l i ã ² ³
金	t͡ɕ i n ⁵ ³
金剛烷	t͡ɕ i n ⁵ ⁵ k ɑ̃ ³ ³ ɦ u ø ² ¹
金剛烷胺	t͡ɕ i n ⁵ ⁵ k ɑ̃ ³ ³ ɦ u ø ³ ³ ø ² ¹
金圓券	t͡ɕ i n ⁵ ⁵ ɦ y ø ³ ³ t͡ɕʰ y ø ² ¹
金子	t͡ɕ i n ⁵ ⁵ t͡s z̩ ² ¹
金字招牌	t͡ɕ i n ⁵ ⁵ z z̩ ³ ³ t͡s ɔ ³ ³ b a ² ¹
金字旁	t͡ɕ i n ⁵ ⁵ z z̩ ³ ³ b ɑ̃ ² ¹
金字旁	t͡ɕ i n ⁵ ⁵ z z̩ ³ ³ p ɑ̃ ² ¹
金山	t͡ɕ i n ⁵ ⁵ s e ² ¹
金工	t͡ɕ i n ⁵ ⁵ k o ŋ ² ¹
金幣	t͡ɕ i n ⁵ ⁵ b i ² ¹
金星	t͡ɕ i n ⁵ ⁵ ɕ i n ² ¹
金條	t͡ɕ i n ⁵ ⁵ d i ɔ ² ¹
金玉	t͡ɕ i n ⁵ ⁵ n̠ʲ i o ʔ ² ¹
金睛魚	t͡ɕ i n ⁵ ⁵ t͡ɕ i n ³ ³ ŋ̍ ² ¹
金線魚	t͡ɕ i n ⁵ ⁵ ɕ i ³ ³ ŋ̍ ² ¹
金胡蟲	t͡ɕ i n ⁵ ⁵ ɦ u ³ ³ z o ŋ ² ¹
金花菜	t͡ɕ i n ⁵ ⁵ h o ³ ³ t͡sʰ e ² ¹
金華	t͡ɕ i n ⁵ ⁵ ɦ o ² ¹
金融	t͡ɕ i n ⁵ ⁵ ɦ i o ŋ ² ¹
金針	t͡ɕ i n ⁵ ⁵ t͡s ə n ² ¹
金針菜	t͡ɕ i n ⁵ ⁵ t͡s ə n ³ ³ t͡sʰ e ² ¹
金鈴子	t͡ɕ i n ⁵ ⁵ l i n ³ ³ t͡s z̩ ² ¹
金錢豹	t͡ɕ i n ⁵ ⁵ ʑ i ³ ³ p ɔ ² ¹
金鐘	t͡ɕ i n ⁵ ⁵ t͡s o ŋ ² ¹
金陵	t͡ɕ i n ⁵ ⁵ l i n ² ¹
金雞湖	t͡ɕ i n ⁵ ⁵ t͡ɕ i ³ ³ ɦ u ² ¹
金額	t͡ɕ i n ⁵ ⁵ ŋ a ʔ ² ¹
金髮	t͡ɕ i n ⁵ ⁵ f a ʔ ² ¹
金鯽魚	t͡ɕ i n ⁵ ⁵ t͡ɕ i ɪ ʔ ³ ³ ŋ̍ ² ¹
釓	k a ʔ ⁵ ⁵
釔	i ɪ ʔ ⁵ ⁵
釘書機	t i n ³ ³ s z̩ ⁵ ⁵ t͡ɕ i ² ¹
釘耙	t i n ⁵ ⁵ b o ² ¹
釜	f u ³ ⁴
針	t͡s ə n ⁵ ³
針對	t͡s ə n ⁵ ⁵ t e ² ¹
釣	t i ɔ ³ ⁴
釣魚竿	t i ɔ ³ ³ ŋ̍ ⁵ ⁵ k ø ² ¹
釣魚鉤	t i ɔ ³ ³ ŋ̍ ⁵ ⁵ k ɤ ² ¹
釦	kʰ ɤ ³ ⁴
釧	t͡sʰ ø ³ ⁴
釩	v e ² ³
釷	tʰ u ³ ⁴
釹	n̠ʲ y ² ³
鈁	f ɑ̃ ⁵ ³
鈇	f u ⁵ ³
鈈	p ə ʔ ⁵ ⁵
鈉	n ə ʔ ¹ ²
鈍	d ə n ² ³
鈍劍	d ə n ² ² t͡ɕ i ⁴ ⁴
鈔	t͡sʰ ɔ ³ ⁴
鈔票	t͡sʰ ɔ ³ ³ pʰ i ɔ ⁴ ⁴
鈔票	t͡sʰ ɔ ⁵ ⁵ pʰ i ɔ ² ¹
鈞	t͡ɕ i o ŋ ⁵ ³
鈞	t͡ɕ y n ⁵ ³
鈣	k e ³ ⁴
鈥	h u ³ ⁴
鈦	tʰ a ³ ⁴
鈧	kʰ ɑ̃ ³ ⁴
鈮	n̠ʲ i ² ³
鈰	z z̩ ² ³
鈴	l i n ² ³
鈷	k u ³ ⁴
鈹	b i ² ³
鈹	pʰ i ⁵ ³
鈾	ɦ i ɤ ² ³
鈿	d i ² ³
鈿	l i ² ³
鉀	t͡ɕ i a ʔ ⁵ ⁵
鉆子	t͡s ø ⁵ ⁵ t͡s z̩ ² ¹
鉍	p i ɪ ʔ ⁵ ⁵
鉗工	d͡ʑ i ² ² k o ŋ ⁴ ⁴
鉛	kʰ e ⁵ ³
鉛皮	kʰ e ⁵ ⁵ b i ² ¹
鉛筆	kʰ e ⁵ ⁵ p i ɪ ʔ ² ¹
鉛筆刀	kʰ e ⁵ ⁵ p i ɪ ʔ ³ ³ t ɔ ² ¹
鉛筆盒	kʰ e ⁵ ⁵ p i ɪ ʔ ³ ³ ɦ a ʔ ² ¹
鉛筆盒子	kʰ e ⁵ ⁵ p i ɪ ʔ ³ ³ ɦ a ʔ ³ ³ t͡s z̩ ² ¹
鉛角子	kʰ e ⁵ ⁵ k o ʔ ³ ³ t͡s z̩ ² ¹
鉝	l i ɪ ʔ ¹ ²
鉢陀	p ə ʔ ³ ³ d u ⁴ ⁴
鉤	k ɤ ⁵ ³
鉬	m o ʔ ¹ ²
鉸	k ɔ ³ ⁴
鉸	t͡ɕ i ɔ ³ ⁴
鉺	ɦ ə l ² ³
鉻	k o ʔ ⁵ ⁵
銀	n̠ʲ i n ² ³
銀元	n̠ʲ i n ² ² ɦ y ø ⁴ ⁴
銀子	n̠ʲ i n ² ² t͡s z̩ ⁴ ⁴
銀杏	n̠ʲ i n ² ² ɦ ã ⁴ ⁴
銀杏樹	n̠ʲ i n ² ² ɦ ã ⁵ ⁵ z z̩ ² ¹
銀樓	n̠ʲ i n ² ² l ø ⁴ ⁴
銀河	n̠ʲ i n ² ² ɦ u ⁴ ⁴
銀洋鈿	n̠ʲ i n ² ² ɦ i ã ⁵ ⁵ d i ² ¹
銀行	n̠ʲ i n ² ² ɦ ɑ̃ ⁴ ⁴
銅	d o ŋ ² ³
銅元	d o ŋ ² ² ɦ y ø ⁴ ⁴
銅匠	d o ŋ ² ² ʑ i ã ⁴ ⁴
銅鈿	d o ŋ ² ² d i ⁴ ⁴
銅鈿銀子	d o ŋ ² ² d i ⁵ ⁵ n̠ʲ i n ³ ³ t͡s z̩ ² ¹
銅鑼	d o ŋ ² ² l u ⁴ ⁴
銅鑼灣	d o ŋ ² ² l u ⁵ ⁵ u e ² ¹
銅陵	d o ŋ ² ² l i n ⁴ ⁴
銚子	t i ɔ ⁵ ⁵ t͡s z̩ ² ¹
銜	ŋ e ² ³
銜	ɦ e ² ³
銠	l ɔ ² ³
銣	z z̩ ² ³
銥	i ⁵ ³
銩	t i ɤ ⁵ ³
銪	ɦ i ɤ ² ³
銫	s ə ʔ ⁵ ⁵
銳	s ø ³ ⁴
銳	z ø ² ³
銷	ɕ i ɔ ⁵ ³
銷釘	ɕ i ɔ ⁵ ⁵ t i n ² ¹
銼刀	t͡sʰ u ³ ³ t ɔ ⁴ ⁴
鋁	l y ² ³
鋇	p e ³ ⁴
鋒	f o ŋ ⁵ ³
鋤	z u ² ³
鋤	z z̩ ² ³
鋤頭	z u ² ² d ɤ ⁴ ⁴
鋤頭	z z̩ ² ² d ɤ ⁴ ⁴
鋪	pʰ u ³ ⁴
鋪	pʰ u ⁵ ³
鋯	k ɔ ³ ⁴
鋰	l i ² ³
鋱	tʰ ə ʔ ⁵ ⁵
鋸	k e ³ ⁴
鋸	t͡ɕ y ³ ⁴
鋸子	k e ³ ³ t͡s z̩ ⁴ ⁴
鋸子	ɡ a ² ² t͡s z̩ ⁴ ⁴
鋼	k ɑ̃ ⁵ ³
鋼宗	k ɑ̃ ⁵ ⁵ t͡s o ŋ ² ¹
鋼琴	k ɑ̃ ⁵ ⁵ d͡ʑ i n ² ¹
鋼筆	k ɑ̃ ⁵ ⁵ p i ɪ ʔ ² ¹
錀	l ə n ² ³
錄	l o ʔ ¹ ²
錄音	l o ʔ ¹ ¹ i n ² ³
錄音機	l o ʔ ¹ ¹ i n ² ² t͡ɕ i ² ³
錇	b e ² ³
錒	a ⁵ ³
錘	z ø ² ³
錢	ʑ i ² ³
