㐁	tʰ ʌ m H
遪	d͡ʑ ʌ p̚
遫	ʈʰ ɨ k̚
遭	t͡s ɑ u
遮	t͡ɕ i a
遰	d e i H
遱	l ə u
遲	ɖˠ i ɪ
遲日	ɖˠ i ɪ
遲疑	ɖˠ i ɪ
遳	t͡sʰ u ɑ
遴	l i ɪ n H
遵	t͡s i u ɪ n
遷	t͡sʰ i ᴇ n
遷延	t͡sʰ i ᴇ n
遷怒	t͡sʰ i ᴇ n
選	s i u ᴇ n X
選舉	s i u ᴇ n X
遹	j i u ɪ t̚
遺	j i u ɪ
遺	j i u ɪ H
遺孤	j i u ɪ
遺書	j i u ɪ
遺書	j i u ɪ H
遺稿	j i u ɪ
遺腹子	j i u ɪ
遻	ŋ u o H
遼	l e u
遼東	l e u
遼河	l e u
遼西	l e u
遼遠	l e u
遽	ɡ ɨ ʌ H
遾	d͡ʑ i ᴇ i H
避	b i ᴇ H
避事	b i ᴇ H
避匿	b i ᴇ H
避役	b i ᴇ H
邀	k e u
邁	mˠ a i H
邂	ɦˠ ɛ H
邂逅	ɦˠ ɛ H
邃	s i u ɪ H
還	z i u ᴇ n
還	ɦˠ u a n
邅	ʈˠ i ᴇ n
邇	ȵ i ᴇ X
邈	mˠ ʌ k̚
邈邈	mˠ ʌ k̚
邊	p e n
邊庭	p e n
邊關	p e n
邊陲	p e n
邋	l i ᴇ p̚
邋	l ɑ p̚
邌	l e i
邎	j ɨ u
邏	l ɑ H
邏些	l ɑ H
邏娑	l ɑ H
邐	l i ᴇ X
邑	ʔˠ i ɪ p̚
邔	kʰ ɨ X
邕	ʔ ɨ o ŋ
邗	ɦ ɑ n
邘	ɦ ɨ o
邙	m ʉ ɐ ŋ
邛	ɡ ɨ o ŋ
邟	kʰ ɑ ŋ
邠	pˠ i ɪ n
邡	p ʉ ɐ ŋ
邡	pʰ ʉ ɐ ŋ H
邢	ɦ e ŋ
那	n ɑ
那	n ɑ H
那	n ɑ X
那伽	n ɑ
那由他	n ɑ
那羅延	n ɑ
那落迦	n ɑ
那薩羅	n ɑ
邤	h ɨ n
邥	ɕ i ɪ m X
邦	pˠ ʌ ŋ
邧	ŋ ʉ ɐ n
邪	j i a
邪	z i a
邪世	z i a
邪心	z i a
邪說	z i a
邪馬臺	j i a
邭	k ɨ o H
邮	j ɨ u
邯	ɦ ɑ m
邯	ɦ ɑ n
邯鄲	ɦ ɑ n
邰	tʰ ʌ i
邱	kʰ ɨ u
邲	pˠ i ɪ H
邳	bˠ i ɪ
邴	pˠ i æ ŋ X
邵	d͡ʑ i ᴇ u H
邶	b u ʌ i H
邷	ŋˠ u a X
邸	t e i X
邼	kʰ ʉ ɐ ŋ
邽	k w e i
邾	ʈ ɨ o
邿	ɕ ɨ
郀	kʰ u o
郁	ʔ ɨ u k̚
郁久閭	ʔ ɨ u k̚
郁郁	ʔ ɨ u k̚
郂	k ʌ i
郃	ɦ ʌ p̚
郅	t͡ɕ i ɪ t̚
郇	s i u ɪ n
郇	ɦˠ u a n
郊	kˠ a u
郊外	kˠ a u
郊社	kˠ a u
郋	ɦ e i
郎	l ɑ ŋ
郔	j i ᴇ n
郖	t ə u
郗	ʈʰˠ i ɪ
郙	pʰ ɨ o
郚	ŋ u o
郛	pʰ ɨ o
郜	k ɑ u H
郝	h ɑ k̚
郟	kˠ ɛ p̚
郡	ɡ ɨ u n H
郡縣	ɡ ɨ u n H
郢	j i ᴇ ŋ X
郣	b u ə t̚
郤	kʰˠ i æ k̚
部	b u o X
部落	b u o X
郩	ʔ ɑ u X
郪	t͡sʰ i ɪ
郫	bˠ i ᴇ
郭	k w ɑ k̚
郭公	k w ɑ k̚
郮	t͡ɕ ɨ u
郯	d ɑ m
郰	t͡ʃ ɨ u
郱	b e ŋ
郲	l ʌ i
郳	ŋ e i
郴	ʈʰˠ i ɪ m
郵	ɦ ɨ u
郹	k w e k̚
郺	ʔ ɨ o ŋ
郻	kʰ e u
郼	ʔ ɨ i
都	t u o
都合	t u o
都會	t u o
都督	t u o
都護	t u o
都護府	t u o
都邑	t u o
郾	ʔ ɨ ɐ n X
郿	mˠ i ɪ
鄀	ȵ ɨ ɐ k̚
鄁	b u ʌ i H
鄂	ŋ ɑ k̚
鄃	j ɨ o
鄄	k i u ᴇ n H
鄅	ɦ ɨ o X
鄆	ɦ ɨ u n H
鄈	ɡ i u ɪ
鄉	h ɨ ɐ ŋ
鄉愿	h ɨ ɐ ŋ
鄉關	h ɨ ɐ ŋ
鄉黨	h ɨ ɐ ŋ
鄍	m e ŋ
鄏	ȵ ɨ o k̚
鄑	t͡s i ᴇ
鄒	t͡ʃ ɨ u
鄔	ʔ u o
鄖	ɦ ɨ u n
鄗	kʰˠ a u
鄘	j ɨ o ŋ
鄙	pˠ i ɪ X
鄙人	pˠ i ɪ X
鄙吝	pˠ i ɪ X
鄚	m ɑ k̚
鄛	d͡ʒˠ a u
鄜	pʰ ɨ o
鄝	l e u X
鄞	ŋˠ i ɪ n
鄟	d u ɑ n
鄠	ɦ u o X
鄡	kʰ e u
鄣	t͡ɕ ɨ ɐ ŋ
鄦	h ɨ ʌ X
鄧	d ə ŋ H
鄨	p i ᴇ i H
鄩	z i ɪ m
鄪	pˠ i ɪ H
鄫	d͡z ɨ ŋ
鄭	ɖ i ᴇ ŋ H
鄭重	ɖ i ᴇ ŋ H
鄮	m ə u H
鄯	d͡ʑ i ᴇ n X
鄰	l i ɪ n
鄰國	l i ɪ n
鄰家	l i ɪ n
鄱	b u ɑ
鄲	t ɑ n
鄳	mˠ æ ŋ
鄴	ŋ ɨ ɐ p̚
鄵	t͡sʰ ɑ u H
鄶	k u ɑ i H
鄸	m ɨ u ŋ H
鄹	t͡ʃ ɨ u
鄺	h w ɑ ŋ
鄼	t͡s u ɑ n X
鄽	ɖˠ i ᴇ n
鄾	ʔ ɨ u
酀	ʔ e n H
酁	d͡ʒˠ ɛ m
酃	l e ŋ
酄	h u ɑ n
酅	ɦ w e i
酆	pʰ ɨ u ŋ
酇	d͡z u ɑ n
酇	t͡s ɑ n H
酈	l e k̚
酈	l i ᴇ
酉	j ɨ u X
酊	t e ŋ X
酋	d͡z ɨ u
酌	t͡ɕ ɨ ɐ k̚
配	pʰ u ʌ i H
酎	ɖ ɨ u H
酏	j i ᴇ
酐	h ɑ ŋ X
酒	t͡s ɨ u X
酒家	t͡s ɨ u X
酒星	t͡s ɨ u X
酒樽	t͡s ɨ u X
酒池肉林	t͡s ɨ u X
酒泉	t͡s ɨ u X
酒瓶	t͡s ɨ u X
酒糟	t͡s ɨ u X
酒色	t͡s ɨ u X
酓	ʔ e m H
酓	ʔ i ᴇ m X
酕	m ɑ u
酖	t ʌ m
酗	h ɨ o H
酘	d ə u H
酡	d ɑ
酢	d͡z ɑ k̚
酣	ɦ ɑ m
酤	k u o
酤	k u o H
酤	ɦ u o X
酥	s u o
酨	d͡z ʌ i H
酩	m e ŋ X
酩酊	m e ŋ X
酪	l ɑ k̚
酬	d͡ʑ ɨ u
酮	d u ŋ
酮	d u ŋ X
酲	ɖ i ᴇ ŋ
酳	j i ɪ n H
酴	d u o
酵	kˠ a u H
酶	m u ʌ i
酷	kʰ u o k̚
酸	s u ɑ n
酹	l u ɑ i H
酺	b u o
醁	l ɨ o k̚
醂	l ʌ m X
醃	ʔˠ i ᴇ m
醅	pʰ u ʌ i
醆	t͡ʃˠ ɛ n X
醇	d͡ʑ i u ɪ n
醉	t͡s i u ɪ H
醉翁之意不在酒	t͡s i u ɪ H
醊	ʈˠ i u ᴇ i H
醋	t͡sʰ u o H
醍	d e i
醍	tʰ e i X
醍醐	d e i
醏	t u o
醐	ɦ u o
醑	s ɨ ʌ X
醒	s e ŋ
醒酒	s e ŋ
醔	t͡ʃʰ ɨ u
醙	s ɨ u X
醜	t͡ɕʰ ɨ u X
醝	d͡z ɑ
醞	ʔ ɨ u n X
醟	ɦˠ w i æ ŋ H
醠	ʔ ɑ ŋ X
醢	h ʌ i X
醥	pʰ i ᴇ u X
醦	t͡ʃʰˠ i ɪ m X
醧	ʔ ə u
醨	l i ᴇ
醩	t͡s ɑ u
醪	l ɑ u
醫	ʔ ɨ
醫療	ʔ ɨ
醬	t͡s ɨ ɐ ŋ H
醭	pʰ u k̚
醮	t͡s i ᴇ u
醯	h e i
醯醢	h e i
醰	d ʌ m X
醲	ɳ ɨ o ŋ
醳	j i ᴇ k̚
醴	l e i X
醵	ɡ ɨ ʌ
醶	lˠ ɛ m X
醷	ʔ ɨ X
醹	ȵ ɨ o
醺	h ɨ u n
醽	l e ŋ
醿	mˠ i ᴇ
釀	ɳ ɨ ɐ ŋ H
釀酒	ɳ ɨ ɐ ŋ H
釁	hˠ i ɪ n H
釂	t͡s i ᴇ u H
釃	ʃˠ i ᴇ
釅	ŋ ɨ ɐ m H
釆	bˠ ɛ n H
采	t͡sʰ ʌ i X
采詩	t͡sʰ ʌ i X
采邑	t͡sʰ ʌ i X
釋	ɕ i ᴇ k̚
釋奠	ɕ i ᴇ k̚
釋尊	ɕ i ᴇ k̚
釋提桓因	ɕ i ᴇ k̚
釋迦	ɕ i ᴇ k̚
釋迦文尼	ɕ i ᴇ k̚
釋迦牟尼	ɕ i ᴇ k̚
里	l ɨ X
里正	l ɨ X
重	ɖ ɨ o ŋ
重	ɖ ɨ o ŋ H
重	ɖ ɨ o ŋ X
重價	ɖ ɨ o ŋ X
重創	ɖ ɨ o ŋ
重創	ɖ ɨ o ŋ X
重慶	ɖ ɨ o ŋ
野	d͡ʑ ɨ ʌ X
野	j i a X
野人	j i a X
野戰	j i a X
野獸	j i a X
野馬	d͡ʑ ɨ ʌ X
量	l ɨ ɐ ŋ
量	l ɨ ɐ ŋ H
釐	l ɨ
金	kˠ i ɪ m
金剛	kˠ i ɪ m
金剛石	kˠ i ɪ m
金匱	kˠ i ɪ m
金友	kˠ i ɪ m
金城湯池	kˠ i ɪ m
金天	kˠ i ɪ m
金娥	kˠ i ɪ m
金帛	kˠ i ɪ m
金斗	kˠ i ɪ m
金星	kˠ i ɪ m
金烏	kˠ i ɪ m
金甌	kˠ i ɪ m
金盆	kˠ i ɪ m
金石	kˠ i ɪ m
金礦	kˠ i ɪ m
金縷衣	kˠ i ɪ m
金虎	kˠ i ɪ m
金輪	kˠ i ɪ m
金鉦	kˠ i ɪ m
金銀	kˠ i ɪ m
金鑼	kˠ i ɪ m
金陵	kˠ i ɪ m
金雞	kˠ i ɪ m
金馬	kˠ i ɪ m
金馬客	kˠ i ɪ m
金馬玉堂	kˠ i ɪ m
金鴉	kˠ i ɪ m
釕	t e u X
釗	k e u
釘	t e ŋ
釘	t e ŋ H
釚	ɡ ɨ u
釜	b ɨ o X
針	t͡ɕ i ɪ m
釟	pˠ ɛ t̚
釣	t e u H
釣竿	t e u H
釣魚	t e u H
釤	ʃˠ a m H
釥	t͡sʰ i ᴇ u X
釦	kʰ ə u X
釧	t͡ɕʰ i u ᴇ n H
釩	pʰ ɨ ɐ m X
釪	ɦ ɨ o
釬	ɦ ɑ n H
釭	k u ŋ
釱	d e i H
釱	d ɑ i H
釳	h ɨ t̚
釴	j ɨ k̚
釵	t͡ʃʰˠ ɛ
釾	j i a
釿	k ɨ n
鈀	pʰˠ a
鈁	p ʉ ɐ ŋ
鈂	ɖˠ i ɪ m
鈃	ɦ e ŋ
鈄	tʰ ə u X
鈅	ŋ ʉ ɐ t̚
鈆	t͡ɕ ɨ o ŋ
鈇	p ɨ o
鈉	ȵ i u ᴇ i H
鈋	ŋ u ɑ
鈌	k w e t̚
鈍	d u ə n H
鈏	j i ɪ n X
鈐	ɡˠ i ᴇ m
鈑	pˠ a n X
鈒	ʃˠ i ɪ p̚
鈔	t͡ʃʰˠ a u
鈕	ɳ ɨ u X
鈙	ɡˠ i ɪ m H
鈚	b i ɪ
鈜	ɦˠ w ɛ ŋ
鈞	k i u ɪ n
鈠	j w i ᴇ k̚
鈭	t͡s i ᴇ
鈯	d u ə t̚
鈱	mˠ i ɪ n
鈳	ʔ ɑ
鈴	l e ŋ
鈵	pˠ i æ ŋ H
鈶	z ɨ X
鈷	k u o X
鈷鉧	k u o X
鈸	b u ɑ t̚
鈹	pʰˠ i ᴇ
鈼	d͡z ɑ k̚
鈿	d e n
鉀	k ɑ p̚
鉅	ɡ ɨ ʌ X
鉆	tʰ e p̚
鉆	ɡˠ i ᴇ m
鉈	d͡ʑ i a
鉉	ɦ w e n X
鉊	t͡ɕ i ᴇ u
鉌	ɦ u ɑ
鉍	pˠ i ɪ H
鉎	ʃˠ æ ŋ
鉏	d͡ʒ ɨ ʌ X
鉐	d͡ʑ i ᴇ k̚
鉒	ʈ ɨ o H
鉖	d u o ŋ
鉗	ɡˠ i ᴇ m
鉛	j i u ᴇ n
鉛華	j i u ᴇ n
鉜	b ɨ u
鉞	ɦ ʉ ɐ t̚
鉟	bˠ i ɪ
鉠	ʔ ɨ ɐ ŋ
鉠鉠	ʔ ɨ ɐ ŋ
鉣	k ɨ ɐ p̚
鉤	k ə u
鉦	t͡ɕ i ᴇ ŋ
鉵	d u o ŋ
鉶	ɦ e ŋ
鉷	ɦ u ŋ
鉸	kˠ a u
鉹	j i ᴇ
鉻	kˠ æ k̚
鉻	l ɑ k̚
鉼	p i ᴇ ŋ X
鉽	ɕ ɨ k̚
鉿	k ʌ p̚
銀	ŋˠ i ɪ n
銀河	ŋˠ i ɪ n
銀浦	ŋˠ i ɪ n
銀漢	ŋˠ i ɪ n
銀潢	ŋˠ i ɪ n
銀灣	ŋˠ i ɪ n
銃	t͡ɕʰ ɨ u ŋ H
銅	d u ŋ
銅鏡	d u ŋ
銆	mˠ æ k̚
銇	l u ʌ i H
銉	j i u ɪ t̚
銊	s i u ɪ t̚
銋	ȵ i ɪ m
銍	t͡ɕ i ɪ t̚
銎	h ɨ o ŋ
銐	t͡ɕʰ i ᴇ i H
銑	s e n X
銓	t͡sʰ i u ᴇ n
銖	d͡ʑ ɨ o
銗	ɦ ə u
銘	m e ŋ
銙	kʰˠ u a X
銚	d e u H
銚	j i ᴇ u
銛	k u ɑ t̚
銛	s i ᴇ m
銛	tʰ e m X
銜	ɦˠ a m
銜冤	ɦˠ a m
銜恨	ɦˠ a m
銳	d u ɑ i H
銳	j i u ᴇ i H
銴	j i u ᴇ i H
銵	kʰˠ ɛ ŋ
銶	ɡ ɨ u
銷	s i ᴇ u
銻	d e i
銼	d͡z u ɑ
銿	j ɨ o ŋ
鋀	tʰ ə u
鋂	m u ʌ i
鋃	l ɑ ŋ
鋇	p ɑ i H
鋈	ʔ u o k̚
鋊	j ɨ o k̚
鋋	j i ᴇ n
鋌	d e ŋ X
鋌而走險	d e ŋ X
鋏	k e p̚
鋑	t͡s i u ᴇ n
鋒	pʰ ɨ o ŋ
鋒刃	pʰ ɨ o ŋ
鋒芒	pʰ ɨ o ŋ
鋖	s i ɪ
鋗	h w e n
鋘	ŋ u o
鋙	ŋ ɨ ʌ
鋙	ŋ ɨ ʌ X
鋚	d e u
鋜	d͡ʒˠ ʌ k̚
鋝	l i u ᴇ t̚
鋞	ɦ e ŋ
鋟	t͡s i ᴇ m
鋟	t͡sʰ i ɪ m X
鋠	d͡ʑ i ɪ n X
鋡	ɦ ʌ m
鋤	d͡ʒ ɨ ʌ
鋥	ɖˠ æ ŋ H
鋦	k ɨ o k̚
鋩	m ʉ ɐ ŋ
鋪	pʰ u o
鋪	pʰ u o H
鋪頭	pʰ u o H
鋸	k ɨ ʌ H
鋸子	k ɨ ʌ H
鋸齒	k ɨ ʌ H
鋹	ʈʰ ɨ ɐ ŋ X
鋻	k e n H
鋼	k ɑ ŋ
鋽	tʰ e u H
鋿	d͡ʑ ɨ ɐ ŋ
錀	pʰ ɨ u n
錊	t͡s u o k̚
錍	p i ᴇ
錎	kʰ ʌ m X
錏	ʔˠ a
錐	t͡ɕ i u ɪ
錑	l u ʌ i H
錔	tʰ ʌ p̚
錕	k u ə n
錕	k u ə n X
錕鋙	k u ə n
錖	t u o k̚
錘	ɖˠ i u ᴇ
錙	t͡ʃ ɨ
錙銖	t͡ʃ ɨ
錚	t͡ʃʰˠ ɛ ŋ
錜	n e p̚
錝	t͡s u o ŋ H
錞	d u ʌ i X
錞	d͡ʑ i u ɪ n
錟	d ɑ m
錠	d e ŋ H
錡	ŋˠ i ᴇ X
錡	ɡˠ i ᴇ
錢	d͡z i ᴇ n
錢	t͡s i ᴇ n X
錣	ʈˠ i u ᴇ i H
錤	ɡ ɨ
錥	j ɨ u k̚
錦	kˠ i ɪ m X
錦上添花	kˠ i ɪ m X
錦囊	kˠ i ɪ m X
錦官城	kˠ i ɪ m X
錦標	kˠ i ɪ m X
錦江	kˠ i ɪ m X
錦繡	kˠ i ɪ m X
錦雞	kˠ i ɪ m X
錧	k u ɑ n X
錪	tʰ e n X
錫	s e k̚
錭	d ɑ u
錮	k u o H
錯	t͡sʰ u o H
錯	t͡sʰ ɑ k̚
錯愕	t͡sʰ u o H
錯雜	t͡sʰ ɑ k̚
錽	m ɨ ɐ m X
鍇	kˠ ɛ i
鍉	t e i
鍊	l e n H
鍋	k u ɑ
鍍	d u o
鍏	ɦ ʉ i
鍑	p ɨ u H
鍒	ȵ ɨ u
鍔	ŋ ɑ k̚
鍖	ʈʰˠ i ɪ m X
鍚	j ɨ ɐ ŋ
鍛	t u ɑ n H
鍜	ɦˠ a
鍝	ŋ ɨ o
鍠	ɦˠ w æ ŋ
鍡	ʔ u ʌ i X
鍤	t͡ʃʰˠ ɛ p̚
鍥	k e t̚
鍦	ɕ i ᴇ
鍧	hˠ w ɛ ŋ
鍨	ɡˠ i u ɪ
鍪	m ɨ u
鍫	t͡sʰ i ᴇ u
鍭	ɦ ə u
鍮	tʰ ə u
鍰	ɦˠ u a n
鍱	j i ᴇ p̚
鍲	mˠ i ɪ n
鍴	t u ɑ n
鍵	ɡˠ i ᴇ n
鍺	t u ɑ X
鍻	k ɨ ɐ t̚
鍼	t͡ɕ i ɪ m
鍼	ɡˠ i ᴇ m
鍾	t͡ɕ ɨ o ŋ
鍾馗	t͡ɕ ɨ o ŋ
鎁	j i a
鎊	pʰ ɑ ŋ
鎋	ɦˠ a t̚
鎎	h ɨ i H
鎐	t͡s u k̚
鎒	n ə u H
鎔	j ɨ o ŋ
鎕	d ɑ ŋ
鎖	s u ɑ X
鎛	p w ɑ k̚
鎜	b u ɑ n
鎞	p e i
鎡	t͡s ɨ
鎢	ʔ u o
鎣	j w i ᴇ ŋ
鎣	ʔ e ŋ H
鎦	l ɨ u
鎧	kʰ ʌ i X
鎧甲	kʰ ʌ i X
鎩	ʃˠ i ᴇ i H
鎬	ɦ ɑ u X
鎬京	ɦ ɑ u X
鎬鎬	ɦ ɑ u X
鎮	ʈˠ i ɪ n
鎮壓	ʈˠ i ɪ n
鎮星	ʈˠ i ɪ n H
鎰	j i ɪ t̚
鏀	l u o X
鏂	ʔ ə u
鏃	t͡s u k̚
鏆	k u ɑ n H
鏇	z i u ᴇ n
鏈	ʈʰˠ i ᴇ n
鏉	s ə u
鏉	ʃ ɨ u H
鏊	ŋ ɑ u H
鏋	m u ɑ n X
鏌	m ɑ k̚
鏏	z i u ᴇ i H
鏐	l ɨ u
鏑	t e k̚
鏔	j i ɪ
鏕	l u k̚
鏖	ʔ ɑ u
鏗	kʰˠ ɛ ŋ
鏗鏘	kʰˠ ɛ ŋ
鏘	t͡sʰ ɨ ɐ ŋ
鏜	tʰ ɑ ŋ
鏝	m u ɑ n
鏞	j ɨ o ŋ
鏟	t͡ʃʰˠ ɛ n X
鏡	kˠ i æ ŋ H
鏡面	kˠ i æ ŋ H
鏢	pʰ i ᴇ u
鏤	l ɨ o
鏦	t͡sʰ ɨ o ŋ
鏦鏦	t͡sʰ ɨ o ŋ
鏨	d͡z ɑ m
鏳	d͡ʒˠ ɛ ŋ
鏵	ɦˠ u a
鏶	d͡z i ɪ p̚
鏷	b u o k̚
鏸	ɦ w e i H
鏹	k ɨ ɐ ŋ X
鏺	pʰ u ɑ t̚
鏻	l i ɪ n
鏾	s ɑ n X
鐁	s i ᴇ
鐃	ɳˠ a u
鐄	ɦˠ w æ ŋ
鐅	pʰ e t̚
鐇	b ʉ ɐ n
鐈	ɡˠ i ᴇ u
鐉	t͡sʰ i u ᴇ n
鐎	d͡z i ᴇ u
鐏	d͡z u ə n H
鐐	l e u
鐓	d u ʌ i H
鐔	z i ɪ m
鐖	k ɨ i
鐘	t͡ɕ ɨ o ŋ
鐘聲	t͡ɕ ɨ o ŋ
鐘鳴鼎食	t͡ɕ ɨ o ŋ
鐙	t ə ŋ H
鐧	kˠ a n H
鐩	z i u ɪ H
鐪	l u o X
鐫	t͡s i u ᴇ n
鐬	h u ɑ i H
鐮	l i ᴇ m
鐯	ʈ ɨ ɐ k̚
鐰	t͡sʰ i ᴇ u
鐲	d͡ʑ ɨ o k̚
鐳	l u ʌ i
鐴	p i ᴇ k̚
鐵	tʰ e t̚
鐵勒	tʰ e t̚
鐵屋	tʰ e t̚
鐵馬	tʰ e t̚
鐶	ɦˠ u a n
鐸	d ɑ k̚
鐹	k u ɑ X
鐺	t ɑ ŋ
鐺	t͡ʃʰˠ æ ŋ
鐻	k ɨ ʌ H
鐻	ɡ ɨ ʌ
鐼	b ɨ u n
鑄	t͡ɕ ɨ o H
鑈	n e i X
鑊	ɦ w ɑ k̚
鑋	kʰ i ᴇ ŋ
鑌	p i ɪ n
鑏	ɳˠ ɛ ŋ
鑐	s ɨ o
鑒	k e n
鑕	t͡ɕ i ɪ t̚
鑗	l i ɪ
鑘	l u ʌ i
鑞	l ɑ p̚
鑠	ɕ ɨ ɐ k̚
鑢	l ɨ ʌ H
鑣	pˠ i ᴇ u
鑩	ŋ ɑ k̚
鑪	l u o
鑭	l ɑ n H
鑮	b w ɑ k̚
鑯	t͡s i ᴇ m
鑰	j ɨ ɐ k̚
鑱	d͡ʒˠ a m
鑲	ȵ ɨ ɐ ŋ
鑴	h i u ᴇ
鑷	ɳˠ i ᴇ p̚
鑹	t͡sʰ u ɑ n H
鑺	ɡ ɨ o
鑼	l ɑ
鑽	t͡s u ɑ n
鑽	t͡s u ɑ n H
鑾	l u ɑ n
鑿	d͡z u k̚
鑿	d͡z ɑ k̚
鑿	t͡s ɑ k̚
鑿鑿	t͡s ɑ k̚
钀	ŋ ɨ ɐ t̚
钁	k ʉ ɐ k̚
钃	ʈ ɨ o k̚
長	ɖ ɨ ɐ ŋ
長	ɖ ɨ ɐ ŋ H
長	ʈ ɨ ɐ ŋ X
長城	ɖ ɨ ɐ ŋ
長壽	ɖ ɨ ɐ ŋ
長子	ʈ ɨ ɐ ŋ X
長安	ɖ ɨ ɐ ŋ
長庚	ɖ ɨ ɐ ŋ
長春	ɖ ɨ ɐ ŋ
長江	ɖ ɨ ɐ ŋ
長沙	ɖ ɨ ɐ ŋ
長津	ɖ ɨ ɐ ŋ
長生	ɖ ɨ ɐ ŋ
長老	ʈ ɨ ɐ ŋ X
長者	ʈ ɨ ɐ ŋ X
長號	ɖ ɨ ɐ ŋ
長袖善舞	ɖ ɨ ɐ ŋ
長辭	ɖ ɨ ɐ ŋ
镺	ʔ ɑ u X
镻	d e t̚
镽	l e u X
镾	m i ᴇ
門	m u ə n
門人	m u ə n
門第	m u ə n
閃	ɕ i ᴇ m X
閃閃	ɕ i ᴇ m X
閇	p e i H
閈	ɦ ɑ n H
閉	p e i H
開	kʰ ʌ i
開元	kʰ ʌ i
開化	kʰ ʌ i
開可	kʰ ʌ i
開國	kʰ ʌ i
開封	kʰ ʌ i
開建	kʰ ʌ i
開張	kʰ ʌ i
開心	kʰ ʌ i
開悟	kʰ ʌ i
開拓	kʰ ʌ i
開方	kʰ ʌ i
開皇	kʰ ʌ i
開罪	kʰ ʌ i
開邊	kʰ ʌ i
開題	kʰ ʌ i
閌	kʰ ɑ ŋ H
閍	pˠ æ ŋ
閎	ɦˠ w ɛ ŋ
閏	ȵ i u ɪ n H
閑	ɦˠ ɛ n
閒	ɦˠ ɛ n
閒田	ɦˠ ɛ n
間	kˠ ɛ n
間	kˠ ɛ n H
閔	mˠ i ɪ n X
閘	k ɑ p̚
閛	pʰˠ ɛ ŋ
閜	hˠ a X
閝	l e ŋ
閞	b ʉ ɐ n H
閟	pˠ i ɪ H
閡	ŋ ʌ i H
閣	k ɑ k̚
閤	k ʌ p̚
閥	b ʉ ɐ t̚
閨	k w e i
閨中	k w e i
閨怨	k w e i
閩	mˠ i ɪ n
閫	kʰ u ə n X
閬	l ɑ ŋ
閬閬	l ɑ ŋ
閭	l ɨ ʌ
閭閻	l ɨ ʌ
閰	k ɨ u k̚
閱	j i u ᴇ t̚
閵	l i ɪ n H
閶	t͡ɕʰ ɨ ɐ ŋ
閶闔	t͡ɕʰ ɨ ɐ ŋ
閷	ʃˠ ɛ i H
閹	ʔˠ i ᴇ m
閻	j i ᴇ m
閻摩	j i ᴇ m
閻浮	j i ᴇ m
閻浮提	j i ᴇ m
閻王	j i ᴇ m
閻羅	j i ᴇ m
閻羅王	j i ᴇ m
閻魔	j i ᴇ m
閼	ʔ e n
閼氏	ʔ e n
閽	h u ə n
閾	h w ɨ k̚
闃	kʰ w e k̚
闄	ʔ i ᴇ u X
闅	mˠ i ɪ n
闇	ʔ ʌ m H
闇魄	ʔ ʌ m H
闈	ɦ ʉ i
闉	ʔ i ɪ n
闊	kʰ u ɑ t̚
闊達	kʰ u ɑ t̚
闋	kʰ w e t̚
闌	l ɑ n
闌干	l ɑ n
闌珊	l ɑ n
闍	d͡ʑ i a
闍	t u o
闍婆	d͡ʑ i a
闐	d e n
闐	d e n H
闑	ŋ e t̚
闒	d ɑ p̚
闓	kʰ ʌ i X
闓陽	kʰ ʌ i X
闔	ɦ ɑ p̚
闕	kʰ ʉ ɐ t̚
闕如	kʰ ʉ ɐ t̚
闖	ʈʰˠ i ɪ m H
闚	kʰ i u ᴇ
闛	d ɑ ŋ
關	kˠ u a n
關塞	kˠ u a n
關山	kˠ u a n
關東	kˠ u a n
關鍵	kˠ u a n
關門	kˠ u a n
關關	kˠ u a n
關隘	kˠ u a n
闞	hˠ a m H
闞	hˠ ɛ m X
闞	kʰ ɑ m H
闟	hˠ i ɪ p̚
闠	ɦ u ʌ i H
闡	t͡ɕʰ i ᴇ n X
闢	b i ᴇ k̚
闣	t ɑ ŋ H
闤	ɦˠ u a n
闤闠	ɦˠ u a n
闥	tʰ ɑ t̚
阜	b ɨ u X
阠	ʃ ɪ n
阡	t͡sʰ e n
阡陌	t͡sʰ e n
阢	ŋ u ə t̚
阢隉	ŋ u ə t̚
阤	ɖˠ i ᴇ X
阧	t ə u X
阪	p ʉ ɐ n X
阬	kʰ ɑ ŋ H
阬	kʰˠ æ ŋ
阮	ŋ ʉ ɐ n
阮	ŋ ʉ ɐ n X
阮咸	ŋ ʉ ɐ n X
阰	b i ɪ
阱	d͡z i ᴇ ŋ X
防	b ʉ ɐ ŋ
防遏	b ʉ ɐ ŋ
阸	ʔˠ ɛ H
阹	kʰ ɨ ʌ
阺	ɖˠ i ɪ
阻	t͡ʃ ɨ ʌ X
阼	d͡z u o H
阽	j i ᴇ m
阽危	j i ᴇ m
阿	ʔ ɑ
阿修羅	ʔ ɑ
阿僧祇	ʔ ɑ
阿儂	ʔ ɑ
阿哥	ʔ ɑ
阿堵	ʔ ɑ
阿堵物	ʔ ɑ
阿姨	ʔ ɑ
阿干	ʔ ɑ
阿彌陀佛	ʔ ɑ
阿月渾子	ʔ ɑ
阿毗曇	ʔ ɑ
阿毗達磨	ʔ ɑ
阿羅本	ʔ ɑ
阿羅漢	ʔ ɑ
阿羅訶	ʔ ɑ
阿耆多	ʔ ɑ
阿耨多羅	ʔ ɑ
阿耨多羅三藐三菩提	ʔ ɑ
