ᆜ	j ɯ
조반	t͡ɕ o̞ː b a̠ n
조밥	t͡ɕ o̞ b a̠ p̚
조부모	t͡ɕ o̞ b u m o̞
조뼛	t͡ɕ o̞ p͈ j ʌ̹ t̚
조뼛조뼛	t͡ɕ o̞ p͈ j ʌ̹ t̚ t͡ɕ͈ o̞ p͈ j ʌ̹ t̚
조사	t͡ɕ o̞ sʰ a̠
조사	t͡ɕ o̞ː sʰ a̠
조사관	t͡ɕ o̞ sʰ a̠ ɡ w a̠ n
조사하다	t͡ɕ o̞ sʰ a̠ ɦ a̠ d a̠
조사하다	t͡ɕ o̞ː sʰ a̠ ɦ a̠ d a̠
조산부	t͡ɕ o̞ː sʰ a̠ n b u
조산사	t͡ɕ o̞ː sʰ a̠ n sʰ a̠
조상	t͡ɕ o̞ sʰ a̠ ŋ
조선	t͡ɕ o̞ sʰ ʌ̹ n
조선	t͡ɕ o̞ː sʰ ʌ̹ n
조선글	t͡ɕ o̞ sʰ ʌ̹ n ɡ ɯ ɭ
조선말	t͡ɕ o̞ sʰ ʌ̹ n m a̠ ɭ
조선무	t͡ɕ o̞ sʰ ʌ̹ n m u
조선민족	t͡ɕ o̞ sʰ ʌ̹ n m i ɲ d͡ʑ o̞ k̚
조선반도	t͡ɕ o̞ sʰ ʌ̹ n b a̠ n d o̞
조선봉건왕조	t͡ɕ o̞ sʰ ʌ̹ n b o̞ ŋ ɡ ʌ̹ n w a̠ ŋ d͡ʑ o̞
조선어	t͡ɕ o̞ sʰ ʌ̹ n ʌ̹
조선옷	t͡ɕ o̞ sʰ ʌ̹ n o̞ t̚
조선인	t͡ɕ o̞ sʰ ʌ̹ n i n
조선적	t͡ɕ o̞ sʰ ʌ̹ ɲ d͡ʑ ʌ̹ k̚
조선족	t͡ɕ o̞ sʰ ʌ̹ ɲ d͡ʑ o̞ k̚
조성	t͡ɕ o̞ sʰ ʌ̹ ŋ
조성되다	t͡ɕ o̞ː sʰ ʌ̹ ŋ d w e̞ d a̠
조성하다	t͡ɕ o̞ː sʰ ʌ̹ ŋ ɦ a̠ d a̠
조세	t͡ɕ o̞ sʰ e̞
조센징	t͡ɕ o̞ sʰ e̞ ɲ d͡ʑ i ŋ
조수	t͡ɕ o̞ː sʰ u
조수석	t͡ɕ o̞ sʰ u sʰ ʌ̹ k̚
조식	t͡ɕ o̞ ɕʰ i k̚
조심	t͡ɕ o̞ː ɕʰ i m
조심스럽다	t͡ɕ o̞ː ɕʰ i m sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
조심스레	t͡ɕ o̞ː ɕʰ i m sʰ ɯ ɾ e̞
조심하다	t͡ɕ o̞ː ɕʰ i m ɦ a̠ d a̠
조약	t͡ɕ o̞ j a̠ k̚
조약돌	t͡ɕ o̞ j a̠ k̚ t͈ o̞ ɭ
조어	t͡ɕ o̞ ʌ̹
조어	t͡ɕ o̞ː ʌ̹
조언	t͡ɕ o̞ː ʌ̹ n
조언하다	t͡ɕ o̞ː ʌ̹ n ɦ a̠ d a̠
조예	t͡ɕ o̞ː j e̞
조왕	t͡ɕ o̞ w a̠ ŋ
조용	t͡ɕ o̞ j o ŋ
조용조용	t͡ɕ o̞ j o ŋ d͡ʑ o̞ j o ŋ
조용조용하다	t͡ɕ o̞ j o ŋ d͡ʑ o̞ j o ŋ ɦ a̠ d a̠
조용조용히	t͡ɕ o̞ j o ŋ d͡ʑ o̞ j o ŋ ʝ i
조용하다	t͡ɕ o̞ j o ŋ ɦ a̠ d a̠
조용히	t͡ɕ o̞ j o ŋ ʝ i
조우	t͡ɕ o̞ u
조율	t͡ɕ o̞ j u ɭ
조의	t͡ɕ o̞ ɰ i
조이다	t͡ɕ o̞ i d a̠
조이스틱	t͡ɕ o̞ i sʰ ɯ tʰ i k̚
조임틀	t͡ɕ o̞ i m tʰ ɯ ɭ
조작	t͡ɕ o̞ː d͡ʑ a̠ k̚
조작체계	t͡ɕ o̞ d͡ʑ a̠ k̚ t͡ɕʰ e̞ ɡ j e̞
조장	t͡ɕ o̞ d͡ʑ a̠ ŋ
조장	t͡ɕ o̞ː d͡ʑ a̠ ŋ
조절	t͡ɕ o̞ d͡ʑ ʌ̹ ɭ
조정	t͡ɕ o̞ d͡ʑ ʌ̹ ŋ
조정자	t͡ɕ o̞ d͡ʑ ʌ̹ ŋ d͡ʑ a̠
조제	t͡ɕ o̞ d͡ʑ e̞
조제	t͡ɕ o̞ː d͡ʑ e̞
조제학	t͡ɕ o̞ d͡ʑ e̞ ɦ a̠ k̚
조종	t͡ɕ o̞ d͡ʑ o̞ ŋ
조종	t͡ɕ o̞ː d͡ʑ o̞ ŋ
조종사	t͡ɕ o̞ d͡ʑ o̞ ŋ sʰ a̠
조종하다	t͡ɕ o̞ d͡ʑ o̞ ŋ ɦ a̠ d a̠
조주기능사	t͡ɕ o̞ː d͡ʑ u ɡ i n ɯ ŋ sʰ a̠
조지	t͡ɕ o̞ d͡ʑ i
조지아	t͡ɕ o̞ d͡ʑ i a̠
조지아어	t͡ɕ o̞ d͡ʑ i a̠ ʌ̹
조지타운	t͡ɕ o̞ d͡ʑ i tʰ a̠ u n
조직	t͡ɕ o̞ d͡ʑ i k̚
조직자	t͡ɕ o̞ d͡ʑ i k̚ t͡ɕ͈ a̠
조직학	t͡ɕ o̞ d͡ʑ i kʰ a̠ k̚
조짐	t͡ɕ o̞ d͡ʑ i m
조청	t͡ɕ o̞ t͡ɕʰ ʌ̹ ŋ
조촐하다	t͡ɕ o̞ t͡ɕʰ o̞ ɾ ɦ a̠ d a̠
조춘	t͡ɕ o̞ː t͡ɕʰ u n
조치	t͡ɕ o̞ t͡ɕʰ i
조카	t͡ɕ o̞ kʰ a̠
조카딸	t͡ɕ o̞ kʰ a̠ t͈ a̠ ɭ
조타	t͡ɕ o̞ː tʰ a̠
조타수	t͡ɕ o̞ː tʰ a̠ sʰ u
조팝나무	t͡ɕ o̞ pʰ a̠ m n a̠ m u
조폭	t͡ɕ o̞ pʰ o̞ k̚
조피볼락	t͡ɕ o̞ pʰ i b o̞ ɭ ɭ a̠ k̚
조한	t͡ɕ o̞ ɦ a̠ n
조합	t͡ɕ o̞ ɦ a̠ p̚
조합형	t͡ɕ o̞ ɦ a̠ pʰ j ʌ̹ ŋ
조항	t͡ɕ o̞ ɦ a̠ ŋ
조현병	t͡ɕ o̞ ʝ ʌ̹ n b j ʌ̹ ŋ
조혈	t͡ɕ o̞ ʝ ʌ̹ ɭ
조화	t͡ɕ o̞ β w a̠
조화	t͡ɕ o̞ː β w a̠
조화롭다	t͡ɕ o̞ β w a̠ ɾ o̞ p̚ t͈ a̠
조회	t͡ɕ o̞ β w e̞
조회	t͡ɕ o̞ː β w e̞
조회수	t͡ɕ o̞ː β w e̞ s͈ u
족	t͡ɕ o̞ k̚
족발	t͡ɕ o̞ k̚ p͈ a̠ ɭ
족욕	t͡ɕ o̞ ɡ j o k̚
족적	t͡ɕ o̞ k̚ t͡ɕ͈ ʌ̹ k̚
족제비	t͡ɕ o̞ k̚ t͡ɕ͈ e̞ b i
족제비오소리	t͡ɕ o̞ k̚ t͡ɕ͈ e̞ b i o̞ sʰ o̞ ɾ i
족집게	t͡ɕ o̞ k̚ t͡ɕ͈ i p̚ k͈ e̞
존	t͡ɕ o̞ n
존경	t͡ɕ o̞ n ɡ j ʌ̹ ŋ
존경하다	t͡ɕ o̞ n ɡ j ʌ̹ ŋ ɦ a̠ d a̠
존맛	t͡ɕ o̞ n m a̠ t̚
존망	t͡ɕ o̞ n m a̠ ŋ
존버	t͡ɕ o̞ n b ʌ̹
존숭	t͡ɕ o̞ n sʰ u ŋ
존숭하다	t͡ɕ o̞ n sʰ u ŋ ɦ a̠ d a̠
존엄	t͡ɕ o̞ n ʌ̹ m
존엄사	t͡ɕ o̞ n ʌ̹ m sʰ a̠
존예	t͡ɕ o̞ n ɲ e̞
존예	t͡ɕ o̞ ɲ e̞
존잘남	t͡ɕ o̞ ɲ d͡ʑ a̠ ɭ ɭ a̠ m
존중	t͡ɕ o̞ ɲ d͡ʑ u ŋ
존중하다	t͡ɕ o̞ ɲ d͡ʑ u ŋ ɦ a̠ d a̠
존호	t͡ɕ o̞ n β o̞
졸	t͡ɕ o̞ ɭ
졸다	t͡ɕ o̞ː ɭ d a̠
졸도	t͡ɕ o̞ ɭ d o̞
졸리다	t͡ɕ o̞ ʎ ʎ i d a̠
졸리다	t͡ɕ o̞ː ʎ ʎ i d a̠
졸망	t͡ɕ o̞ ɭ m a̠ ŋ
졸부	t͡ɕ o̞ ɭ b u
졸업	t͡ɕ o̞ ɾ ʌ̹ p̚
졸업식	t͡ɕ o̞ ɾ ʌ̹ p ɕ͈ i k̚
졸업장	t͡ɕ o̞ ɾ ʌ̹ p̚ t͡ɕ͈ a̠ ŋ
졸업하다	t͡ɕ o̞ ɾ ʌ̹ pʰ a̠ d a̠
졸음	t͡ɕ o̞ ɾ ɯ m
졸인젖	t͡ɕ o̞ ɾ i ɲ d͡ʑ ʌ̹ t̚
졸작	t͡ɕ o̞ ʎ t͡ɕ͈ a̠ k̚
졸참나무	t͡ɕ o̞ ʎ t͡ɕʰ a̠ m n a̠ m u
졸혼	t͡ɕ o̞ ɾ β o̞ n
좀	t͡ɕ o̞ m
좀겨풀	t͡ɕ o̞ m ɡ j ʌ̹ pʰ u ɭ
좀구굴치	t͡ɕ o̞ m ɡ u ɡ u ʎ t͡ɕʰ i
좀비	t͡ɕ o̞ m b i
좀수수치	t͡ɕ o̞ m sʰ u sʰ u t͡ɕʰ i
좀약	t͡ɕ o̞ m j a̠ k̚
좀처럼	t͡ɕ o̞ː m t͡ɕʰ ʌ̹ ɾ ʌ̹ m
좁다	t͡ɕ o̞ p̚ t͈ a̠
좁쌀	t͡ɕ o̞ p s͈ a̠ ɭ
좁쌀풀	t͡ɕ o̞ p s͈ a̠ ɭ pʰ u ɭ
종	t͡ɕ o̞ ŋ
종	t͡ɕ o̞ː ŋ
종가시나무	t͡ɕ o̞ ŋ ɡ a̠ ɕʰ i n a̠ m u
종결	t͡ɕ o̞ ŋ ɡ j ʌ̹ ɭ
종교	t͡ɕ o̞ ŋ ɡ j o
종교적	t͡ɕ o̞ ŋ ɡ j o d͡ʑ ʌ̹ k̚
종국	t͡ɕ o̞ ŋ ɡ u k̚
종다리	t͡ɕ o̞ ŋ d a̠ ɾ i
종렬	t͡ɕ o̞ ŋ ɲ ʌ̹ ɭ
종로	t͡ɕ o̞ ŋ n o̞
종료	t͡ɕ o̞ ŋ ɲ o
종료하다	t͡ɕ o̞ ŋ ɲ o ɦ a̠ d a̠
종류	t͡ɕ o̞ː ŋ ɲ u
종마	t͡ɕ o̞ ŋ m a̠
종목	t͡ɕ o̞ ŋ m o̞ k̚
종북	t͡ɕ o̞ ŋ b u k̚
종성	t͡ɕ o̞ ŋ sʰ ʌ̹ ŋ
종소리	t͡ɕ o̞ ŋ s͈ o̞ ɾ i
종속	t͡ɕ o̞ ŋ sʰ o̞ k̚
종속절	t͡ɕ o̞ ŋ sʰ o̞ k̚ t͡ɕ͈ ʌ̹ ɭ
종식	t͡ɕ o̞ ŋ ɕʰ i k̚
종아리	t͡ɕ o̞ː ŋ a̠ ɾ i
종아리뼈	t͡ɕ o̞ː ŋ a̠ ɾ i p͈ j ʌ̹
종야등	t͡ɕ o̞ ŋ j a̠ d ɯ ŋ
종양	t͡ɕ o̞ː ŋ j a̠ ŋ
종양학	t͡ɕ o̞ː ŋ j a̠ ŋ ɦ a̠ k̚
종어	t͡ɕ o̞ ŋ ʌ̹
종업원	t͡ɕ o̞ ŋ ʌ̹ b w ʌ̹ n
종용	t͡ɕ o̞ ŋ j o ŋ
종용하다	t͡ɕ o̞ ŋ j o ŋ ɦ a̠ d a̠
종유석	t͡ɕ o̞ ŋ j u sʰ ʌ̹ k̚
종이	t͡ɕ o̞ ŋ i
종이접기	t͡ɕ o̞ ŋ i d͡ʑ ʌ̹ p̚ k͈ i
종일	t͡ɕ o̞ ŋ i ɭ
종자	t͡ɕ o̞ ŋ d͡ʑ a̠
종적	t͡ɕ o̞ ŋ d͡ʑ ʌ̹ k̚
종적	t͡ɕ o̞ ŋ t͡ɕ͈ ʌ̹ k̚
종점	t͡ɕ o̞ ŋ d͡ʑ ʌ̹ m
종족	t͡ɕ o̞ ŋ d͡ʑ o̞ k̚
종종	t͡ɕ o̞ ŋ d͡ʑ o̞ ŋ
종종	t͡ɕ o̞ː ŋ d͡ʑ o̞ ŋ
종주	t͡ɕ o̞ ŋ d͡ʑ u
종주국	t͡ɕ o̞ ŋ d͡ʑ u ɡ u k̚
종지부	t͡ɕ o̞ ŋ d͡ʑ i b u
종착	t͡ɕ o̞ ŋ t͡ɕʰ a̠ k̚
종착역	t͡ɕ o̞ ŋ t͡ɕʰ a̠ ɡ j ʌ̹ k̚
종파	t͡ɕ o̞ ŋ pʰ a̠
종합	t͡ɕ o̞ ŋ ɦ a̠ p̚
종합하다	t͡ɕ o̞ ŋ ɦ a̠ pʰ a̠ d a̠
종횡	t͡ɕ o̞ ŋ β w e̞ ŋ
종횡가	t͡ɕ o̞ ŋ β w e̞ ŋ ɡ a̠
좆	t͡ɕ o̞ t̚
좆같다	t͡ɕ o̞ t̚ k͈ a̠ t̚ t͈ a̠
좆나	t͡ɕ o̞ n n a̠
좆되다	t͡ɕ o̞ t̚ t͈ w e̞ d a̠
좆린이	t͡ɕ o̞ n n i n i
좆목	t͡ɕ o̞ n m o̞ k̚
좆문가	t͡ɕ o̞ n m u n ɡ a̠
좆물	t͡ɕ o̞ n m u ɭ
좆밥	t͡ɕ o̞ t̚ p͈ a̠ p̚
좆족	t͡ɕ o̞ t̚ t͡ɕ͈ o̞ k̚
좇다	t͡ɕ o̞ t̚ t͈ a̠
좋다	t͡ɕ o̞ː tʰ a̠
좋아	t͡ɕ o̞ː a̠
좋아지다	t͡ɕ o̞ː a̠ d͡ʑ i d a̠
좋아하다	t͡ɕ o̞ː a̠ ɦ a̠ d a̠
좋이	t͡ɕ o̞ i
좌빨	t͡ɕ w a̠ː p͈ a̠ ɭ
좌석	t͡ɕ w a̠ sʰ ʌ̹ k̚
좌식	t͡ɕ w a̠ː ɕʰ i k̚
좌안	t͡ɕ w a̠ a̠ n
좌우	t͡ɕ w a̠ː u
좌우명	t͡ɕ w a̠ː u m j ʌ̹ ŋ
좌익수	t͡ɕ w a̠ː i k s͈ u
좌절	t͡ɕ w a̠ː d͡ʑ ʌ̹ ɭ
좌좀	t͡ɕ w a̠ː d͡ʑ o̞ m
좌지우지	t͡ɕ w a̠ d͡ʑ i u d͡ʑ i
좌파	t͡ɕ w a̠ː pʰ a̠
좌표	t͡ɕ w a̠ː pʰ j o
좌현	t͡ɕ w a̠ː ʝ ʌ̹ n
좌회전	t͡ɕ w a̠ː β w e̞ d͡ʑ ʌ̹ n
좽이	t͡ɕ w ɛː ŋ i
죄	t͡ɕ w e̞ː
죄다	t͡ɕ w e̞ː d a̠
죄송하다	t͡ɕ w e̞ː sʰ o̞ ŋ ɦ a̠ d a̠
죄수	t͡ɕ w e̞ː sʰ u
죄수복	t͡ɕ w e̞ː sʰ u b o̞ k̚
죄악	t͡ɕ w e̞ː a̠ k̚
죄의식	t͡ɕ w e̞ː ɰ i ɕʰ i k̚
죄인	t͡ɕ w e̞ː i n
죙이	t͡ɕ w e̞ ŋ i
죠지아	t͡ɕ o̞ d͡ʑ i a̠
주	t͡ɕ u
주	t͡ɕ uː
주가	t͡ɕ u k͈ a̠
주간	t͡ɕ u ɡ a̠ n
주거	t͡ɕ uː ɡ ʌ̹
주걱	t͡ɕ u ɡ ʌ̹ k̚
주걱뿔사슴	t͡ɕ u ɡ ʌ̹ k̚ p͈ u ɭ sʰ a̠ sʰ ɯ m
주검	t͡ɕ u ɡ ʌ̹ m
주격	t͡ɕ u k͈ j ʌ̹ k̚
주고받다	t͡ɕ u ɡ o̞ b a̠ t̚ t͈ a̠
주교	t͡ɕ u ɡ j o
주교관	t͡ɕ u ɡ j o ɡ w a̠ n
주구	t͡ɕ u ɡ u
주권	t͡ɕ u k͈ w ʌ̹ n
주기	t͡ɕ u ɡ i
주기	t͡ɕ uː ɡ i
주기율표	t͡ɕ u ɡ i j u ɭ pʰ j o
주꾸미	t͡ɕ u k͈ u m i
주년	t͡ɕ u ɲ ʌ̹ n
주노	t͡ɕ u n o̞
주님	t͡ɕ u n i m
주다	t͡ɕ u d a̠
주도	t͡ɕ u d o̞
주되다	t͡ɕ u d w e̞ d a̠
주두	t͡ɕ u d u
주둔	t͡ɕ uː d u n
주둔지	t͡ɕ uː d u ɲ d͡ʑ i
주둥이	t͡ɕ u d u ŋ i
주둥치	t͡ɕ u d u ŋ t͡ɕʰ i
주라	t͡ɕ u ɾ a̠
주령구	t͡ɕ u ɾ j ʌ̹ ŋ ɡ u
주로	t͡ɕ u ɾ o̞
주루	t͡ɕ u ɾ u
주류	t͡ɕ u ɾ j u
주름	t͡ɕ u ɾ ɯ m
주름위	t͡ɕ u ɾ ɯ m ɥ i
주름투성이	t͡ɕ u ɾ ɯ m tʰ u sʰ ʌ̹ ŋ i
주리다	t͡ɕ uː ɾ i d a̠
주막	t͡ɕ u m a̠ k̚
주말	t͡ɕ u m a̠ ɭ
주머니	t͡ɕ u m ʌ̹ n i
주머니칼	t͡ɕ u m ʌ̹ n i kʰ a̠ ɭ
주먹	t͡ɕ u m ʌ̹ k̚
주먹감자	t͡ɕ u m ʌ̹ k̚ k͈ a̠ m d͡ʑ a̠
주먹밥	t͡ɕ u m ʌ̹ k̚ p͈ a̠ p̚
주모자	t͡ɕ u m o̞ d͡ʑ a̠
주목하다	t͡ɕ uː m o̞ kʰ a̠ d a̠
주무르다	t͡ɕ u m u ɾ ɯ d a̠
주무시다	t͡ɕ u m u ɕʰ i d a̠
주문	t͡ɕ uː m u n
주문하다	t͡ɕ uː m u n ɦ a̠ d a̠
주민	t͡ɕ uː m i n
주민등록증	t͡ɕ u m i n d ɯ ŋ n o̞ k̚ t͡ɕ͈ ɯ ŋ
주바	t͡ɕ u b a̠
주발	t͡ɕ u b a̠ ɭ
주방	t͡ɕ u b a̠ ŋ
주방장	t͡ɕ u b a̠ ŋ d͡ʑ a̠ ŋ
주번	t͡ɕ u b ʌ̹ n
주변	t͡ɕ u b j ʌ̹ n
주보	t͡ɕ u b o̞
주부	t͡ɕ u b u
주비	t͡ɕ u b i
주뼛	t͡ɕ u p͈ j ʌ̹ t̚
주뼛주뼛	t͡ɕ u p͈ j ʌ̹ t̚ t͡ɕ͈ u p͈ j ʌ̹ t̚
주사	t͡ɕ uː sʰ a̠
주사기	t͡ɕ uː sʰ a̠ ɡ i
주사위	t͡ɕ u sʰ a̠ ɥ i
주사율	t͡ɕ u sʰ a̠ j u ɭ
주석	t͡ɕ u sʰ ʌ̹ k̚
주소	t͡ɕ uː sʰ o̞
주소창	t͡ɕ u sʰ o̞ t͡ɕʰ a̠ ŋ
주스	t͡ɕ u sʰ ɯ
주시	t͡ɕ uː ɕʰ i
주시하다	t͡ɕ uː ɕʰ i ɦ a̠ d a̠
주식	t͡ɕ u ɕʰ i k̚
주식시장	t͡ɕ u ɕʰ i k ɕ͈ i d͡ʑ a̠ ŋ
주식회사	t͡ɕ u ɕʰ i kʰ w e̞ sʰ a̠
주어	t͡ɕ u ʌ̹
주어지다	t͡ɕ u ʌ̹ d͡ʑ i d a̠
주억	t͡ɕ u ʌ̹ k̚
주연	t͡ɕ u j ʌ̹ n
주엽나무	t͡ɕ u j ʌ̹ m n a̠ m u
주요	t͡ɕ u j o
주요하다	t͡ɕ u j o ɦ a̠ d a̠
주워듣다	t͡ɕ u w ʌ̹ d ɯ t̚ t͈ a̠
주위	t͡ɕ u ɥ i
주유소	t͡ɕ uː j u sʰ o̞
주의	t͡ɕ u ɰ i
주의	t͡ɕ uː ɰ i
주의하다	t͡ɕ uː ɰ i ɦ a̠ d a̠
주인	t͡ɕ u i n
주인공	t͡ɕ u i n ɡ o̞ ŋ
주일	t͡ɕ u i ɭ
주일	t͡ɕ uː i ɭ
주자	t͡ɕ u d͡ʑ a̠
주작	t͡ɕ u d͡ʑ a̠ k̚
주작	t͡ɕ uː d͡ʑ a̠ k̚
주장	t͡ɕ u d͡ʑ a̠ ŋ
주장하다	t͡ɕ u d͡ʑ a̠ ŋ ɦ a̠ d a̠
주저	t͡ɕ u d͡ʑ ʌ̹
주저앉다	t͡ɕ u d͡ʑ ʌ̹ a̠ n t͈ a̠
주전자	t͡ɕ u d͡ʑ ʌ̹ ɲ d͡ʑ a̠
주절	t͡ɕ u d͡ʑ ʌ̹ ɭ
주점	t͡ɕ u d͡ʑ ʌ̹ m
주정	t͡ɕ uː d͡ʑ ʌ̹ ŋ
주정꾼	t͡ɕ uː d͡ʑ ʌ̹ ŋ k͈ u n
주제	t͡ɕ u d͡ʑ e̞
주제가	t͡ɕ u d͡ʑ e̞ ɡ a̠
주제곡	t͡ɕ u d͡ʑ e̞ ɡ o̞ k̚
주주	t͡ɕ u d͡ʑ u
주중	t͡ɕ u d͡ʑ u ŋ
주지	t͡ɕ u d͡ʑ i
주지	t͡ɕ uː d͡ʑ i
주지사	t͡ɕ u d͡ʑ i sʰ a̠
주차	t͡ɕ uː t͡ɕʰ a̠
주차장	t͡ɕ uː t͡ɕʰ a̠ d͡ʑ a̠ ŋ
주차하다	t͡ɕ uː t͡ɕʰ a̠ ɦ a̠ d a̠
주체	t͡ɕ u t͡ɕʰ e̞
주체사상	t͡ɕ u t͡ɕʰ e̞ sʰ a̠ sʰ a̠ ŋ
주체스럽다	t͡ɕ u t͡ɕʰ e̞ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
주판	t͡ɕ uː pʰ a̠ n
주한	t͡ɕ u ɦ a̠ n
주형	t͡ɕ u ʝ ʌ̹ ŋ
주형	t͡ɕ uː ʝ ʌ̹ ŋ
주형공	t͡ɕ uː ʝ ʌ̹ ŋ ɡ o̞ ŋ
주형유	t͡ɕ uː ʝ ʌ̹ ŋ j u
죽	t͡ɕ u k̚
죽다	t͡ɕ u k̚ t͈ a̠
죽림	t͡ɕ u ŋ n i m
죽마	t͡ɕ u ŋ m a̠
죽마고우	t͡ɕ u ŋ m a̠ ɡ o̞ u
죽부인	t͡ɕ u k̚ p͈ u i n
죽빵	t͡ɕ u k̚ p͈ a̠ ŋ
죽순	t͡ɕ u k s͈ u n
죽염	t͡ɕ u ɡ j ʌ̹ m
죽음	t͡ɕ u ɡ ɯ m
죽이다	t͡ɕ u ɡ i d a̠
죽지	t͡ɕ u k̚ t͡ɕ͈ i
죽편	t͡ɕ u k̚ pʰ j ʌ̹ n
준공	t͡ɕ uː n ɡ o̞ ŋ
준말	t͡ɕ uː n m a̠ ɭ
준비	t͡ɕ uː n b i
준비하다	t͡ɕ uː n b i ɦ a̠ d a̠
준수	t͡ɕ u n sʰ u
준수하다	t͡ɕ u n sʰ u ɦ a̠ d a̠
준주	t͡ɕ uː ɲ d͡ʑ u
줄	t͡ɕ u ɭ
줄	t͡ɕ uː ɭ
줄거리	t͡ɕ u ɭ ɡ ʌ̹ ɾ i
줄곧	t͡ɕ u ɭ ɡ o̞ t̚
줄공치	t͡ɕ u ɭ ɡ o̞ ŋ t͡ɕʰ i
줄기	t͡ɕ u ɭ ɡ i
줄기줄기	t͡ɕ u ɭ ɡ i d͡ʑ u ɭ ɡ i
줄기차다	t͡ɕ u ɭ ɡ i t͡ɕʰ a̠ d a̠
줄납자루	t͡ɕ u ɭ ɭ a̠ p̚ t͡ɕ͈ a̠ ɾ u
줄넘기	t͡ɕ u ɭ ɭ ʌ̹ m k͈ i
줄넘기줄	t͡ɕ u ɭ ɭ ʌ̹ m k͈ i d͡ʑ u ɭ
줄넘기하다	t͡ɕ u ɭ ɭ ʌ̹ m k͈ i ɦ a̠ d a̠
줄다	t͡ɕ uː ɭ d a̠
줄망둑	t͡ɕ u ɭ m a̠ ŋ d u k̚
줄무늬	t͡ɕ u ɭ m u n i
줄어들다	t͡ɕ u ɾ ʌ̹ d ɯ ɭ d a̠
줄이다	t͡ɕ u ɾ i d a̠
줄임말	t͡ɕ u ɾ i m m a̠ ɭ
줄임표	t͡ɕ u ɾ i m pʰ j o
줄풀	t͡ɕ u ɭ pʰ u ɭ
줌	t͡ɕ uː m
줌바	t͡ɕ u m b a̠
줍다	t͡ɕ uː p̚ t͈ a̠
중	t͡ɕ u ŋ
중	t͡ɕ uː ŋ
중간	t͡ɕ u ŋ ɡ a̠ n
중거	t͡ɕ u ŋ ɡ ʌ̹
중견수	t͡ɕ u ŋ ɡ j ʌ̹ n sʰ u
중경	t͡ɕ uː ŋ ɡ j ʌ̹ ŋ
중계	t͡ɕ u ŋ ɡ j e̞
중고	t͡ɕ u ŋ ɡ o̞
중고기	t͡ɕ uː ŋ ɡ o̞ ɡ i
중고품	t͡ɕ u ŋ ɡ o̞ pʰ u m
중공	t͡ɕ u ŋ ɡ o̞ ŋ
중공업	t͡ɕ uː ŋ ɡ o̞ ŋ ʌ̹ p̚
중국	t͡ɕ u ŋ ɡ u k̚
중국말	t͡ɕ u ŋ ɡ u ŋ m a̠ ɭ
중국쏘가리	t͡ɕ u ŋ ɡ u k s͈ o̞ ɡ a̠ ɾ i
중국어	t͡ɕ u ŋ ɡ u ɡ ʌ̹
중국인	t͡ɕ u ŋ ɡ u ɡ i n
중국집	t͡ɕ u ŋ ɡ u k̚ t͡ɕ͈ i p̚
중국학	t͡ɕ u ŋ ɡ u kʰ a̠ k̚
중국화	t͡ɕ u ŋ ɡ u kʰ w a̠
중년	t͡ɕ u ŋ ɲ ʌ̹ n
중뇌	t͡ɕ u ŋ n w e̞
중단하다	t͡ɕ u ŋ d a̠ n ɦ a̠ d a̠
중도	t͡ɕ u ŋ d o̞
중도	t͡ɕ uː ŋ d o̞
중도주의	t͡ɕ u ŋ d o̞ d͡ʑ u ɰ i
중독	t͡ɕ u ŋ d o̞ k̚
중독자	t͡ɕ u ŋ d o̞ k̚ t͡ɕ͈ a̠
중동	t͡ɕ u ŋ d o̞ ŋ
중량	t͡ɕ uː ŋ ɲ a̠ ŋ
중력	t͡ɕ uː ŋ ɲ ʌ̹ k̚
중력자	t͡ɕ uː ŋ ɲ ʌ̹ k̚ t͡ɕ͈ a̠
중령	t͡ɕ u ŋ ɲ ʌ̹ ŋ
중립	t͡ɕ u ŋ n i p̚
중문	t͡ɕ u ŋ m u n
중미주	t͡ɕ u ŋ m i d͡ʑ u
중반	t͡ɕ u ŋ b a̠ n
중복되다	t͡ɕ uː ŋ b o̞ k̚ t͈ w e̞ d a̠
중부	t͡ɕ u ŋ b u
중사	t͡ɕ u ŋ sʰ a̠
중산층	t͡ɕ u ŋ sʰ a̠ ɲ t͡ɕʰ ɯ ŋ
중상	t͡ɕ u ŋ sʰ a̠ ŋ
중성	t͡ɕ u ŋ sʰ ʌ̹ ŋ
중성자	t͡ɕ u ŋ sʰ ʌ̹ ŋ d͡ʑ a̠
중성자별	t͡ɕ u ŋ sʰ ʌ̹ ŋ d͡ʑ a̠ b j ʌ̹ ɭ
중세	t͡ɕ u ŋ sʰ e̞
중세국어	t͡ɕ u ŋ sʰ e̞ ɡ u ɡ ʌ̹
중소기업	t͡ɕ u ŋ sʰ o̞ ɡ i ʌ̹ p̚
중순	t͡ɕ u ŋ sʰ u n
중식	t͡ɕ u ŋ ɕʰ i k̚
중심	t͡ɕ u ŋ ɕʰ i m
중심닮음	t͡ɕ u ŋ ɕʰ i m d a̠ ɭ m ɯ m
중심지	t͡ɕ u ŋ ɕʰ i m d͡ʑ i
중앙	t͡ɕ u ŋ a̠ ŋ
중앙아메리카	t͡ɕ u ŋ a̠ ŋ a̠ m e̞ ɾ i kʰ a̠
