ং	ŋ
চলচ্চিত্র	t ʃ ɔ l o t ʃː i t̪ ɾ o
চশম	t ʃ ɔ ʃ o m
চশমা	t ʃ ɔ ʃ m a
চা	t ʃ a
চাঁছা	t ʃ ã t ʃʰ a
চাঁটগাঁ	t ʃ ã ʈ ɡ ã
চাঁদ	t ʃ ã d̪
চাঁপা	t ʃ ã p a
চাউর	t ʃ a u̯ ɾ
চাউল	t ʃ a u̯ l
চাওয়া	t ʃ a o̯ a
চাকমা	t ʃ a k m a
চাকরানী	t ʃ a k ɾ a n i
চাকরী	t ʃ a k ɾ i
চাকা	t ʃ a k a
চাকু	t ʃ a k u
চাগা	t ʃ a ɡ a
চাটগাঁ	t ʃ a ʈ ɡ ã
চাটনি	t ʃ a ʈ n i
চাটা	t ʃ a ʈ a
চাটুজ্জে	t ʃ a ʈ u d ʒː e
চাতক	t ʃ a t̪ o k
চাদর	t ʃ a d̪ o ɾ
চান্দ্র	t ʃ a n d̪ ɾ o
চাপ	t ʃ a p
চাপাতি	t ʃ a p a t̪ i
চাবি	t ʃ a b i
চাবুক	t ʃ a b u k
চামচ	t ʃ a m o t ʃ
চামচ	t ʃ a m u t ʃ
চামচিকা	t͡ʃ a m t͡ʃ i k a
চামড়া	t ʃ a m ɽ a
চামড়া	t ʃ a m ɾ a
চামেলি	t ʃ a m e l i
চার	t ʃ a ɾ
চার্চ	t ʃ a ɾ t ʃ
চার্লস	t ʃ a ɾ l s
চাল	t ʃ a l
চালতা	c a l t a
চালানো	t͡ʃ a l a n o
চালু	t ʃ a l u
চাষ	t ʃ a ʃ
চাহিদা	t ʃ a ɦ i d̪ a
চিংড়ি	t ʃ i ŋ ɽ i
চিংড়ি	t ʃ i ŋ ɾ i
চিকন	t ʃ i k o n
চিকিত্সা	t ʃ i k i t̪ ʃ a
চিকিৎসক	t͡ʃ i k i ʈ ʃ ɔ k
চিটাগুড়	t ʃ i ʈ a ɡ u ɽ
চিটাগুড়	t ʃ i ʈ a ɡ u ɾ
চিঠা	t͡ʃ i ʈʰ a
চিঠি	t ʃ i ʈʰ i
চিড়িয়াখানা	t ʃ i ɽ i̯ a kʰ a n a
চিড়িয়াখানা	t ʃ i ɾ i̯ a kʰ a n a
চিতা	t ʃ i t̪ a
চিত্র	t ʃ i t̪ ɾ o
চিত্রিত	t ʃ i t̪ ɾ i t̪ o
চিনি	t ʃ i n i
চিবানো	t ʃ i b a n o
চিমনি	t ʃ i m n i
চিলমচি	t ʃ i l ɔ m t ʃ i
চিলি	t ʃ i l i
চিল্লাচিল্লি	t ʃ i lː a t ʃ i lː i
চিহ্ন	t ʃ i n ɦ o
চিহ্ন	t ʃ i nː o
চিৎ	t ʃ i t̪
চীন	t ʃ i n
চীনামাটি	t ʃ i n a m a ʈ i
চুদা	t ʃ u d̪ a
চুন	t ʃ u n
চুম্বন	t ʃ u m b ɔ n
চুরট	t͡ʃ u ɾ ɔ ʈ̟
চুরি	t ʃ u ɾ i
চুরুট	t ʃ u ɾ u ʈ
চুরুলিয়া	t ʃ u ɾ u l i̯ a
চুল	t ʃ u l
চুলা	t ʃ u l a
চূর্ণ	t ʃ u ɾ n o
চেত	s ɛ t̪
চেত	t͡s ɛ t̪
চেত	t͡ʃ e t̪ o
চেতা	s ɛ t̪ a
চেতা	t͡s ɛ t̪ a
চেতা	t͡ʃ e t̪ a
চেপটা	t ʃ e p ʈ a
চেয়ার	t ʃ e a ɾ
চেয়ে	t ʃ e
চেয়ে	t ʃ e e
চেরা	t ʃ e ɾ a
চেষ্টা	t ʃ e ʃ ʈ a
চেহারা	t ʃ e ɦ a ɾ a
চেহারা	t ʃ æ ɦ a ɾ a
চৈত্র	t ʃ o i̯ t̪ ɾ o
চৈনিক	t͡ʃ o i̯ n i k
চোখ	t ʃ o kʰ
চোথা	c o t̪ʰ a
চোদা	t ʃ o d̪ a
চোর	t ʃ o ɾ
চোষা	t ʃ o ʃ a
চৌঃ	t ɕ o u h
চৌধুরি	t͡s o u̯ d̪ʱ u ɾ i
চৌধুরি	t͡ʃ o u̯ d̪ʱ u ɾ i
চ্যাটার্জী	t ʃ æ ʈ a ɾ d ʒ i
চ্যাপটা	t ʃ æ p ʈ a
ছ	s ɔ
ছ	t͡sʰ ɔ
ছ	t͡ʃʰ ɔ
ছটফট	t ʃʰ ɔ ʈ f ɔ ʈ
ছত্তিশগড়	t ʃʰ ɔ t̪ː i s ɡ ɔ ɽ
ছত্তিশগড়	t ʃʰ ɔ t̪ː i s ɡ ɔ ɾ
ছত্তীসগঢ়	t͡ʃ ɔ t t i s ɡ ɔ ɽ
ছদ্মনাম	t ʃʰ ɔ d̪ː o n a m
ছবি	t ʃʰ o b i
ছয়	t ʃʰ ɔ e̯
ছা	t ʃʰ a
ছাই	t ʃʰ a i̯
ছাওয়াল	t͡ʃʰ a w a l
ছাড়া	t ʃʰ a ɽ a
ছাড়া	t ʃʰ a ɾ a
ছাত্র	t ʃʰ a t̪ ɾ o
ছাদ	t ʃʰ a d̪
ছানা	t ʃʰ a n a
ছাপা	t ʃʰ a p a
ছাপান্ন	t ʃʰ a p a nː o
ছায়া	s a e̯ a
ছায়া	t ʃʰ a e̯ a
ছায়াছবি	t ʃʰ a e̯ a t ʃʰ b i
ছাল	t ʃʰ a l
ছি	t ʃʰ i
ছিটকানো	t ʃʰ i ʈ k a n o
ছিটমহল	t ʃʰ i ʈ m ɔ ɦ o l
ছিপ	s í p
ছিপ	s í ɸ
ছিপ	t͡ʃʰ i p
ছিপি	s í p i
ছিপি	s í ɸ i
ছিপি	t͡ʃʰ i p i
ছুঁচ	t ʃʰ ũ t ʃ
ছুটি	t ʃʰ u ʈ i
ছুড়ান	t͡ʃʰ u r a n
ছুরি	t ʃʰ u ɾ i
ছেঁচকি	t ʃʰ ẽ t ʃ k i
ছেচল্লিশ	t ʃʰ e t ʃ ɔ lː i ʃ
ছেলে	t ʃʰ e l e
ছেলেধরা	t ʃʰ e l e d̪ʱ ɔ ɾ a
ছেলেমেয়ে	t ʃʰ e l e m e e̯ e
ছোঁয়া	t ʃʰ õ a
ছোকরা	t ʃʰ o k ɾ a
ছোট	t ʃʰ o ʈ o
ছোলা	t ʃʰ o l a
জ	d ʒ ɔ
জংলি	d ʒ o ŋ l i
জওজ	d ʒ ɔ o̯ d ʒ
জওহর	d ʒ ɔ o̯ ɦ o ɾ
জখম	d ʒ ɔ kʰ o m
জগ	d ʒ ɔ ɡ
জগৎ	d ʒ ɔ ɡ o t̪
জঘন্য	d ʒ ɔ ɡʱ o nː o
জঙ	ɟ ɔ ŋ
জঙ্গল	d ʒ ɔ n ɡ o l
জজ	d ʒ ɔ d ʒ
জটামাংসী	d ʒ ɔ ʈ a m a ŋ ʃ i
জটিল	d ʒ o ʈ i l
জন	d ʒ ɔ n
জনসংখ্যা	d ʒ ɔ n o ʃ ɔ ŋ kʰ a
জন্তু	d ʒ ɔ n t̪ u
জন্ম	d ʒ ɔ n m o
জন্মদিন	d ʒ ɔ n m o d̪ i n
জন্মস্থান	d ʒ ɔ n m ɔ s t̪ʰ a n
জন্য	d ʒ ɔ nː o
জন্যে	d ʒ ɔ nː e
জপ	d ʒ ɔ p
জপা	d ʒ ɔ p a
জফর	d ʒ ɔ f o ɾ
জফর	z ɔ f o ɾ
জবা	d ʒ ɔ b a
জবাই	d ʒ ɔ b a i̯
জবান	d ʒ ɔ b a n
জবান	z ɔ b a n
জবাব	d ʒ ɔ b a b
জব্দ	d ʒ ɔ b d̪ o
জমানা	d ʒ ɔ m a n a
জমানা	z ɔ m a n a
জমি	d ʒ o m i
জমিদার	d ʒ o m i d̪ a ɾ
জমিন	d ʒ o m i n
জমিন	z o m i n
জয়ন্ত	d ʒ ɔ e̯ o n t̪ o
জরুরি	d ʒ o ɾ u ɾ i
জরুরী	d ʒ o ɾ u ɾ i
জল	d ʒ ɔ l
জলদ	d ʒ ɔ l o d̪
জলদি	d ʒ o l d̪ i
জলবায়ু	d ʒ ɔ l o b a u̯
জলসা	d ʒ ɔ l ʃ a
জলহস্তী	d ʒ ɔ l o ɦ ɔ s t̪ i
জল্লাদ	d ʒ ɔ lː a d̪
জা	d ʒ a
জাকারিয়া	d ʒ a k a ɾ i̯ a
জাকারিয়া	z a k a ɾ i̯ a
জাঙ্গিয়া	d ʒ a ŋ i̯ a
জাড়	d ʒ a ɽ
জাড়	d͡z a ɾ
জাড়	z a ɾ
জাত	d ʒ a t̪
জাতি	d ʒ a t̪ i
জাতিভ্রংশ	d ʒ a t̪ i bʱ ɾ ɔ ŋ ʃ o
জাতিসংঘ	d ʒ a t̪ i ʃ ɔ n ɡʱ o
জাতীয়	d ʒ a t̪ i̯ o
জাতীয়তা	d ʒ a t̪ i̯ o t̪ a
জাদু	d ʒ a d̪ u
জাদুকর	d ʒ a d̪ u k ɔ ɾ
জাদুকর	d ʒ a d̪ u ɡ ɔ ɾ
জাদুঘর	d ʒ a d̪ u ɡʱ ɔ ɾ
জানলা	d ʒ a n l a
জানা	d ʒ a n a
জানানো	d ʒ a n a n o
জানালা	d ʒ a n a l a
জানুয়ারি	d ʒ a n u̯ a ɾ i
জানোয়ার	d ʒ a n o̯ a ɾ
জান্নাত	d ʒ a nː a t̪
জাপান	d͡ʒ a p a n
জাফর	d ʒ a f o ɾ
জাফরান	z a f ɾ a n
জাভা	d ʒ a bʰ a
জাভেদ	d ʒ a bʱ e d̪
জামাই	d ʒ a m a i̯
জামাইকা	d ʒ a m a i̯ k a
জামাতা	d ʒ a m a t̪ a
জামিন	z a m i n
জামেয়া	d ʒ a m e a
জায়গা	d ʒ a e̯ ɡ a
জায়নামাজ	d ʒ a e̯ n a m a d ʒ
জার্মানি	d ʒ a r m a n i
জালাল	d ʒ a l a l
জালেম	d ʒ a l e m
জালেম	z a l e m
জাহাঁপনা	d ʒ a ɦ ã p ɔ n a
জাহাজ	d ʒ a ɦ a d ʒ
জাহান	d ʒ a ɦ a n
জাহান্নাম	d ʒ a ɦ a nː a m
জিজ্ঞাসা	d ʒ i ɡː a ʃ a
জিন	d ʒ i n
জিনিস	d ʒ i n i ʃ
জিন্দা	d ʒ i n d̪ a
জিন্দা	z i n d̪ a
জিন্দাবাদ	d ʒ i n d̪ a b a d̪
জিন্দাবাদ	z i n d̪ a b a d̪
জিন্দেগি	d ʒ i n d̪ e ɡ i
জিন্দেগি	z i n d̪ e ɡ i
জিব	d ʒ i b o
জিব্ভা	d͡ʒ i b bʱ a
জিভ	d ʒ i bʱ
জিয়া	d ʒ i̯ a
জিয়ারত	d ʒ i̯ a ɾ ɔ t̪
জিরা	d ʒ i ɾ a
জিষ্ণু	d͡ʒ i ʃ n u
জিহ্বা	d ʒ i u̯ bʱ a
জীবন	d ʒ i b o n
জীবনসঙ্গী	d ʒ i b n ɔ ʃ ɔ ŋ ɡ i
জীবন্ত	d ʒ i b ɔ n t̪ o
জীববিজ্ঞান	j i b b i ɡ ɡ æ n
জীবিত	d ʒ i b i t̪ o
জুঝা	d ʒ u d ʒʱ a
জুঝানো	d ʒ u d ʒʱ a n o
জুতো	d ʒ u t̪ o
জুন	d ʒ u n
জুনায়েদ	d ʒ u n a e̯ d̪
জুম্মা	d ʒ u mː a
জুম্মাবার	d ʒ u mː a b a ɾ
জুয়া	d ʒ u̯ a
জুলাই	d ʒ u l a i̯
জুলুম	d ʒ u l u m
জুলুম	z u l u m
জেয়াদা	d ʒ e a d̪ a
জেরাত	z e ɾ a t̪
জেরুসালেম	d ʒ e r u ʃ a l e m
জেলা	d ʒ e l a
জেলেনস্কি	d͡ʒ e l e n ʃ k i
জেসমিন	d ʒ e s m i n
জেসমিন	d ʒ æ s m i n
জৈন	d ʒ o i̯ n
জোঁক	d ʒ õ k
জোচ্চর	d ʒ o t ʃː o ɾ
জোছনা	d ʒ o t ʃʰ n a
জোনাকি	d ʒ o n a k i
জোয়ার	d ʒ o̯ a ɾ
জোয়াল	d ʒ o̯ a l
জোর	d ʒ o ɾ
জোরে	d ʒ o ɾ e
জোস	d ʒ o s
জোস	d ʒ o ʃ
জ্ঞান	ɡ æ n
জ্ঞান	ɡ æ̃ n
জ্ঞানতত্ত্ব	ɡ æ n ɔ t̪ o t̪ː o
জ্ঞানী	ɡ æ n i
জ্বর	d ʒ ɔ ɾ
জ্বালাতন	d ʒ a l a t̪ o n
জ্বালানো	d ʒ a l a n o
জ্যাম	d ʒ a m
জ্যাম	d ʒ æ m
জ্যৈষ্ঠ	d ʒ o i̯ ʃ ʈʰ o
জ্যোতি	d ʒ o t̪ i
জ্যোতিষী	d ʒ o t̪ i ʃ i
জ্যোৎস্না	d ʒ o t̪ s n a
ঝ	d͡ʒʱ ɔ
ঝগড়া	d ʒʱ ɔ ɡ ɽ a
ঝগড়া	d ʒʱ ɔ ɡ ɾ a
ঝড়	d ʒʱ ɔ ɽ
ঝড়	d ʒʱ ɔ ɾ
ঝনঝন	d ʒʱ ɔ n d ʒʱ ɔ n
ঝরনা	d ʒʱ ɔ ɾ n a
ঝরা	d ʒʱ ɔ ɾ a
ঝাঁকানো	d ʒʱ ã k a n o
ঝাঁটা	d ʒʱ ã ʈ a
ঝাড়খণ্ড	d ʒʱ a ɽ ɔ kʰ ɔ n ɖ o
ঝাড়খণ্ড	d ʒʱ a ɾ ɔ kʰ ɔ n ɖ o
ঝান্ডা	d ʒʱ a n ɖ a
ঝি	d ʒʱ i
ঝিঙা	ɟʱ i ŋ a
ঝিঙ্গা	ɟʱ i ŋ ɡ a
ঝিনাইদহ	d ʒʱ i n a i̯ d̪ ɔ ɦ o
ঝিনুক	d ʒʱ i n u k
ঝুট	d ʒʱ u ʈ
ঝুলা	d ʒʱ u l a
ঝুলানো	d ʒʱ u l a n o
ঝোলা	d͡ʒʱ o l a
ঝোলানো	d ʒʰ o l a n o
ঞ	ĩ j ɔ
ট	ʈ ɔ
টমটম	ʈ ɔ m ʈ ɔ m
টমেটো	ʈ ɔ m e ʈ o
টরন্টো	ʈ ɔ ɾ o n ʈ o
টাংকি	ʈ a ŋ k i
টাউট	ʈ a u̯ ʈ
টাক	ʈ a k
টাকা	ʈ a k a
টানা	ʈ a n a
টিকট	ʈ̟ i k ɔ ʈ̟
টিকটিকি	ʈ i k ʈ i k i
টিকা	ʈ i k a
টিকিট	ʈ i k i ʈ
টিয়া	ʈ i̯ a
টীকা	ʈ i k a
টুপি	ʈ u p i
টেংরা	ʈ æ ŋ ɾ a
টেবিল	ʈ e b i l
টের	ʈ e ɾ
টেলক	t̺ ɛ l ɔ k
টেলক	ʈ æ l ɔ k
টেলিফোন	ʈ e l i pʰ o n
টেলিভিশন	ʈ e l i bʱ i ʃ ɔ n
টোনি	ʈ o n i
টোপর	ʈ o p ɔ ɾ
ট্যাক্সি	ʈ æ k ʃ i
ট্রানজিস্টার	ʈ ɾ a n d ʒ i s ʈ a ɾ
ট্রানজিস্টার	ʈ ɾ a n d ʒ i ʃ ʈ a ɾ
ট্রেডমার্ক	ʈ̟ ɾ e ɖ̟ m ɑ ɾ k
ট্রেন	ʈ ɾ e n
ঠ	ʈʰ ɔ
ঠাঁঁই	ʈʰ ã i
ঠাঁই	ʈʰ ã i
ঠাকুর	ʈʰ a k u r
ঠাকুরগাঁও	ʈʰ a k u ɾ ɡ ã o
ঠাকুরঘর	ʈʰ a k u ɾ ɡʱ ɔ ɾ
ঠান্ডা	ʈʰ a n ɖ a
ঠিক	ʈʰ i k
ঠিকানা	ʈʰ i k a n a
ঠোঁট	ʈʰ õ ʈ
ঠ্যাং	ʈʰ æ ŋ
ড	ɖ ɔ
ডঙ্কা	ɖ ɔ ŋ k a
ডজন	ɖ ɔ d ʒ o n
ডবল	ɖ ɔ b o l
ডলফিন	ɖ ɔ l f i n
ড়	ɽ̟
ডাঁট	ɖ ã ʈ
ডাকনাম	ɖ a k n a m
ডাকা	ɖ a k a
ডাক্তার	ɖ a k t̪ a ɾ
ডাক্তারখানা	ɖ̟ ɑ k t̪ ɑ ɾ kʰ ɑ n ɑ
ডাঙা	ɖ a ŋ a
ডাঙ্গা	ɖ a ŋ ɡ a
ডান	ɖ a n
ডানা	ɖ a n a
ডান্ডা	ɖ a n ɖ a
ডাব	ɖ a b
ডাবু	ɖ a b u
ডাবু	ɖ æ b u
ডাল	ɖ a l
ডিভিডি	ɖ i bʱ i ɖ i
ডিম	ɖ i m
ডিলডো	ɖ i l ɖ o
ডিল্ডো	ɖ i l ɖ o
ডিসেম্বর	ɖ i s e m b ɔ ɾ
ডুবা	ɖ u b a
ডুমুর	ɖ u m u ɾ
ডুরিয়ান	ɖ̟ u ɾ i ɑ n
ডেকচি	ɖ e k t ʃ i
ডেবরা	ɖ e b ɾ a
ডেবরা	ɖ æ b ɾ a
ডেস্ক	ɖ e s k
ডেস্কটপ	ɖ e s k ɔ ʈ ɔ p
ডোবা	ɖ o b a
ডোবানো	ɖ o b a n o
ঢ	ɖʱ ɔ
ঢ়	ɽ̟
ঢাকনা	ɖʱ a k n a
ঢাকা	ɖʱ a k a
ঢালা	ɖʰ a l a
ঢালিউড	ɖʱ a l i u ɖ
ঢেঁড়স	ɖʱ æ̃ ɽ o ʃ
ঢেঁড়স	ɖʱ æ̃ ɾ o ʃ
ঢেউ	ɖʱ e u
ঢোকা	ɖʰ o k a
ঢোকানো	ɖʰ o k a n o
ঢোল	ɖʱ o l
ণ	n ɔ
ণই	n o i̯
ত	t ɔ
তছু	t̪ ɔ t ʃʰ u
তটিনী	t o ʈ i n i
তড়িৎ	t̪ o ɽ i t̪
তড়িৎ	t̪ o ɾ i t̪
ততদিন	t̪ ɔ t̪ o d̪ i n
তত্ত্ব	t̪ ɔ t̪ː o
তথাগত	t̪ ɔ t̪ʰ a ɡ ɔ t̪ o
তদানীং	t̪ ɔ d̪ a n i ŋ
তদ্ভব	t̪ ɔ d̪ bʱ ɔ b o
তনিমা	t̪ o n i m a
তনুকা	t̪ o n u k a
তন্ত্র	t̪ ɔ n t̪ ɾ o
তফাত	t̪ ɔ f a t̪
তবু	t̪ o b u
তবুও	t̪ o b u̯ o
তবে	t̪ ɔ b e
তরঙ্গ	t̪ ɔ ɾ o ŋ ɡ o
তরফ	t̪ ɔ ɾ o f
তরফদার	t̪ ɔ ɾ o f d̪ a ɾ
তরবারি	t̪ ɔ ɾ b a ɾ i
তরমুজ	t̪ o ɾ m u d ʒ
তরমুজ	t̪ o ɾ m u z
তরী	t̪ o ɾ i
তরুণ	t̪ o ɾ u n
তরোয়াল	t̪ ɔ ɾ o̯ a l
তর্জমা	t̪ ɔ ɾ d ʒ ɔ m a
তলব	t̪ ɔ l o b
তলা	t̪ ɔ l a
তলোয়ার	t̪ ɔ l o̯ a ɾ
তল্লাশি	t ɔ l l a ʃ i
তশতরী	t̪ ɔ s t̪ o ɾ i
তশতরী	t̪ ɔ ʃ t̪ o ɾ i
তসবির	t̪ o s b i ɾ
তসবীহ	t̪ o s b i
তসলিম	t̪ o s l i m
তা	t̪ a
তাঁত	t̪ ã t̪
তাঁরা	t̪ ã r a
তাং	t̪ a ŋ
তাই	t̪ a i̯
তাইওয়ান	t̪ a i̯ o̯ a n
তাইপে	t̪ a i p e
তাওয়া	t̪ a o̯ a
তাকানো	t̪ a k a n̪ o
তাজ	t̪ a d ʒ
তাজদার	t̪ a d ʒ d̪ a ɾ
তাজা	t̪ a d ʒ a
তাড়ানো	t̪ a ɽ a n o
তাড়ানো	t̪ a ɾ a n o
তাণ্ডব	t̪ a n ɖ ɔ b
তাপ	t̪ a p
তাপমাত্রা	t a p m a t r a
তাবাসসুম	t̪ a b a sː u m
তাবিজ	t̪ a b i d ʒ
তাবিজ	t̪ a b i z
তামলি	t̪ a m o l i
তামা	t̪ a m a
তামাক	t̪ a m a k
তামাশা	t̪ a m a ʃ a
তামিলনাড়ু	t̪ a m i l n a ɽ u
তামিলনাড়ু	t̪ a m i l n a ɾ u
তার	t̪ a r
তারা	t̪ a ɾ a
তারিপ	t̪ ä ɾ i p
তারিফ	t̪ a ɾ i f
তালব্য	t̪ a l ɔ bː o
তালা	t a l a
তালাশ	t̪ a l a ʃ
তালিকা	t̪ a l i k a
তালুকদার	t̪ a l u k d̪ a ɾ
তাহা	t̪ a ɦ a
তিন	t̪ i n
তিনি	t̪ i n i
তিন্দু	t̪ i n d̪ u
তিন্দুক	t̪ i n d̪ u k
তিমি	t̪ i m i
তিরুবনন্তপুরম	t̪ i ɾ u b ɔ n o n t̪ ɔ p u ɾ o m
তিল	t̪ i l
তিলক	t̪ i l ɔ k
তিষ্ণা	t̪ i ʃ n a
তিসি	t i ʃ i
তীব্র	t̪ i b ɾ o
তীর	t̪ i ɾ
তুঁই	t̪ ũ i
তুই	t̪ ʊ i
তুফান	t̪ u f a n
তুমি	t̪ u m i
তুরস্ক	t̪ u ɾ o ʃ k o
তুরিত	t̪ u ɾ i t̪
তুরুপ	t̪ u ɾ u p
তুর্কি	t̪ u ɾ k i
তুলনা	t̪ u l o n a
তুলনামূলক	t̪ u l n a m u l ɔ k
তুলসী	t̪ u l ʃ i
তুলি	t u l i
তুলো	t̪ u l o
তুষার	t̪ u ʃ a ɾ
তৃণ	t̪ ɾ i n o
তৃণমূল	t̪ ɾ i n ɔ m u l
তে	t̪ e
তেঁতুল	t ẽ t u l
তেওড়া	t̪ e o ɽ a
তেওড়া	t̪ e o ɾ a
তেওড়া	t̪ æ o ɽ a
তেওড়া	t̪ æ o ɾ a
তেড়া	t̪ æ ɽ a
তেড়া	t̪ æ ɾ a
তেরো	t̪ e ɾ o
তেল	t̪ e l
তেলেঙ্গানা	t̪ e l e ŋ ɡ a n a
তৈরি	t̪ o i̯ ɾ i
তোকমা	t̪ o k m a
তোমাদের	t̪ o m a d̪ e ɾ
তোমার	t̪ o m a ɾ
তোয়াক্কা	t̪ o̯ a kː a
তোয়ালে	t̪ o̯ a l e
তোলপাড়	t̪ o l p a ɽ
তোলপাড়	t̪ o l p a ɾ
তোলা	t̪ o l a
তোশক	t̪ o ʃ o k
তৌরাত	t̪ o u̯ ɾ a t̪
ত্বক	t̪ ɔ k
ত্যাগ	t̪ æ ɡ
ত্রিচক্রযান	t̪ ɾ i t ʃ ɔ k ɾ ɔ d ʒ a n
ত্রিপত্র	t ɾ i p ɔ tː ɾ ɔ
ত্রিপদ	t̪ ɾ i p ɔ d̪
ত্রিপুরা	t̪ ɾ i p u ɾ a
ত্রিশ	t̪ ɾ i ʃ
তৎসম	t̪ ɔ t̪ ʃ ɔ m o
থ	t̪ʰ ɔ
থলি	t̪ʰ ɔ l i
থাকা	t̪ʰ ɑ k ɑ
থাকানো	t̪ʰ a k a n o
থানকুনি	tʰ a n k u n i
থানা	t̪ʰ a n a
থামা	tʰ a m a
থার্মোমিটার	t̪ʰ a ɾ m o m i ʈ a ɾ
থালা	t h a l a
থুতু	t̪ʰ u t̪ u
থেকে	t̪ʰ e k e
থোক	t̪ʰ o k
দ	d̪ ɔ
দই	d o i
দক্ষিণ	d̪ ɔ kʰː i n
দখল	d̪ ɔ kʰ o l
দড়ি	d o ɽ i
দণ্ড	d̪ ɔ n ɖ o
দত্ত	d̪ ɔ t̪ː o
দন্ত	d̪ ɔ n t̪ o
দন্ত্য	d̪ ɔ n t̪ː o
দপ্তর	d̪ ɔ p t̪ ɔ ɾ
দফতর	d̪ ɔ f t̪ ɔ ɾ
দফা	d̪ ɔ f a
দমা	d̪ ɔ m a
দয়াল	d̪ ɔ e̯ a l
দয়ালু	d̪ ɔ e̯ a l u
দরকার	d̪ ɔ ɾ k a ɾ
দরখাস্ত	d̪ ɔ ɾ kʰ a s t̪ o
দরজা	d̪ ɔ ɾ d ʒ a
দরবার	d̪ ɔ r b a r
দরবেশ	d̪ ɔ ɾ b e ʃ
দরাজ	d̪ ɔ ɾ a d ʒ
দরিয়া	d̪ o ɾ i̯ a
দল	d̪ ɔ l
দলিত	d o l i t
দশ	d̪ ɔ ʃ
দশক	d̪ ɔ ʃ ɔ k
দশমাংশ	d ɔ ʃ ɔ m a ŋ ʃ ɔ
দস্তাবেজ	d ɔ s t a b e d ʒ
দহ	d̪ ɔ ɦ o
দা	d̪ a
দাঁড়	d̪ ã ɽ
দাঁড়	d̪ ã ɾ
দাঁড়ানো	d̪ ã ɽ a n o
দাঁড়ানো	d̪ ã ɾ a n o
দাঁড়ি	d̪ ã ɽ i
দাঁড়ি	d̪ ã ɾ i
দাঁত	d̪ ã t̪
দাই	d̪ a i̯
দাউদাউ	d̪ a u̯ d̪ a u̯
দাওয়াই	d̪ a o̯ a i̯
দাওয়াত	d̪ a o̯ a t̪
দাখিল	d̪ a kʰ i l
দাগ	d̪ a ɡ
দাড়ি	d̪ a ɽ i
দাড়ি	d̪ a ɾ i
দাতা	d̪ a t̪ a
দাদা	d̪ a d̪ a
দাদী	d̪ a d̪ i
দানা	d a n a
দান্দান	d̪ a n d̪ a n
দাব	d̪ a b
দাবদাহ	d̪ a b o d̪ a ɦ o
দাবানল	d̪ a b a n ɔ l
দাবী	d̪ a b i
দাম	d̪ a m
দামড়া	d̪ a m ɽ a
দামড়া	d̪ a m ɾ a
দায়িত্ব	d̪ a i̯ t̪ː o
দারচিনি	d̪ a ɾ t ʃ i n i
দারুণ	d̪ a ɾ u n
দারোয়ান	d̪ a ɾ o̯ a n
দার্জিলিং	d̪ a ɾ d ʒ i l i ŋ
দালান	d̪ a l a n
দাশগুপ্ত	d̪ a ʃ ɡ u p t̪ o
দাস	d̪ a ʃ
দাসী	d̪ a ʃ i
দিওয়ালি	d̪ i̯ o̯ a l i
দিকে	d̪ i k e
দিঘি	d̪ i ɡʱ i
দিদিভাই	d̪ i d̪ i bʱ a i̯
দিন	d̪ i n
দিনরাত	d̪ i n ɾ a t̪
দিবস	d̪ i b ɔ ʃ
দিবা	d̪ i b a
দিবানিদ্রা	d̪ i b a n i d̪ ɾ a
দিবারাত্রি	d̪ i b a ɾ a t̪ ɾ i
দিল	d̪ i l
দিলীপ	d̪ i l i p
দিল্লি	d i l l i
দীপঙ্কর	d̪ i p ɔ ŋ k ɔ ɾ
দীপাঞ্জন	d̪ i p ɑ n d͡ʒ ɔ n
দীপান্বিতা	d̪ i p a nː i t̪ a
দীপাবলি	d̪ i p ä b o l i
দীপাবলি	d̪ i p ɑ b ɔ l i
দীপোৎসব	d̪ i p o t̪ ʃ ɔ b
দীয়া	d̪ i̯ a
দীর্ঘ	d̪ i ɾ ɡʱ o
দু	d̪ u
দুঃখ	d̪ u kʰː o
দুঃস্বপ্ন	d̪ u h ʃː ɔ p n o
দুই	d̪ u̯ i
দুগি	d̪ u ɡ i
দুগ্ধ	d̪ u ɡ d̪ʱ o
দুধ	d̪ u d̪ʱ
দুনিয়া	d̪ u n i̯ a
দুপুর	d̪ u p u ɾ
দুম্বা	d u m b æ
দুয়ার	d̪ u̯ a ɾ
দুরিয়ান	d̪ u ɾ i̯ a n
দুর্গজয়	d̪ u ɾ ɡ ɔ d ʒ ɔ e̯
দুর্গন্ধ	d̪ u r ɡ ɔ n d̪ʰ o
দুর্ঘটনা	d̪ u ɾ ɡʱ ɔ ʈ o n a
দুর্দান্ত	d̪ u ɾ d̪ a n t̪ o
দুর্বল	d u ɾ b ɔ l
দুর্বলতা	d u ɾ b ɔ l ɔ t a
দুশমন	d̪ u ʃ m o n
দুশমন	d̪ u ʃ m ɔ n
দুস্থ	d̪ u s t̪ʰ o
দুহিতা	d̪ u ɦ i t̪ a
দূরদর্শন	d̪ u ɾ d̪ ɔ ɾ ʃ ɔ n
দূরদর্শন	d̪ u ɾ ɔ d̪ o ɾ ʃ ɔ n
দূরবিন	d̪ u ɾ b i n
দৃঢ়	d̪ ɾ i ɽ o
দৃঢ়	d̪ ɾ i ɽʱ o
দৃঢ়	d̪ ɾ i ɾ ɦ o
