Ⴀ	ɑ
შეუცდომლად	ʃ e u t͡sʰ d o m ɫ a d
შეუცვლელი	ʃ e u t͡sʰʷ l e l i
შეუძლებელი	ʃ e u d͡z l e b e l i
შეუძლებლად	ʃ e u d͡z l e b ɫ a d
შეუძლებლობა	ʃ e u d͡z l e b ɫ o b a
შეუძლია	ʃ e u d͡z l i a
შეუწვავი	ʃ e u t͡sʼʷ a v i
შეუწუხებელი	ʃ e u t͡sʼ u χ e b e l i
შეუწყვეტელი	ʃ e u t͡sʼ χʼʷ e tʼ e l i
შეუწყნარებლად	ʃ e u t͡sʼ χʼ n a ɾ e b ɫ a d
შეუჭმელი	ʃ e u t͡ʃʼ m e l i
შეუხორცებელი	ʃ e u χ o ɾ t͡sʰ e b e l i
შეფარდებული	ʃ e pʰ a ɾ d e b u l i
შეფასება	ʃ e pʰ a s e b a
შეფასებადი	ʃ e pʰ a s e b a d i
შეფასებითი	ʃ e pʰ a s e b i tʰ i
შექმნა	ʃ e kʰ m n a
შექმნილი	ʃ e kʰ m n i l i
შექცევადი	ʃ e kʰ t͡sʰ e v a d i
შექცევადობა	ʃ e kʰ t͡sʰ e v a d o b a
შეღებილი	ʃ e ʁ e b i l i
შეღწევადი	ʃ e ʁ t͡sʼ e v a d i
შეღწევადობა	ʃ e ʁ t͡sʼ e v a d o b a
შეღწეული	ʃ e ʁ t͡sʼ e u l i
შეყვარებული	ʃ e χʼʷ a ɾ e b u l i
შეშა	ʃ e ʃ a
შეშინებული	ʃ e ʃ i n e b u l i
შეშლილი	ʃ e ʃ l i l i
შეშლილივით	ʃ e ʃ l i l i v i tʰ
შეშფოთებული	ʃ e ʃ pʰ o tʰ e b u l i
შეჩვეული	ʃ e t͡ʃʰʷ e u l i
შეცბუნებულად	ʃ e t͡sʰ b u n e b u ɫ a d
შეცბუნებული	ʃ e t͡sʰ b u n e b u l i
შეცდომა	ʃ e t͡sʰ d o m a
შეცდომით	ʃ e t͡sʰ d o m i tʰ
შეცვლადი	ʃ e t͡sʰʷ ɫ a d i
შეძლება	ʃ e d͡z l e b a
შეძლებს	ʃ e d͡z l e b s
შეძლებული	ʃ e d͡z l e b u l i
შეძლო	ʃ e d͡z ɫ o
შეძრწუნებული	ʃ e d͡z ɾ t͡sʼ u n e b u l i
შეწეული	ʃ e t͡sʼ e u l i
შეწვა	ʃ e t͡sʼʷ a
შეწირულება	ʃ e t͡sʼ i ɾ u l e b a
შეწირული	ʃ e t͡sʼ i ɾ u l i
შეწუხებული	ʃ e t͡sʼ u χ e b u l i
შეწყალება	ʃ e t͡sʼ χʼ a l e b a
შეწყალებად	ʃ e t͡sʼ χʼ a l e b a d
შეწყალებამ	ʃ e t͡sʼ χʼ a l e b a m
შეწყალებას	ʃ e t͡sʼ χʼ a l e b a s
შეწყალებით	ʃ e t͡sʼ χʼ a l e b i tʰ
შეწყალების	ʃ e t͡sʼ χʼ a l e b i s
შეჭმუხნილი	ʃ e t͡ʃʼ m u χ n i l i
შეხება	ʃ e χ e b a
შეხვედრა	ʃ e χʷ e d ɾ a
შეხსნილი	ʃ e χ s n i l i
შეჯვარებული	ʃ e d͡ʒʷ a ɾ e b u l i
შეჯიბრი	ʃ e d͡ʒ i b ɾ i
შვა	ʃʷ a
შვაბრა	ʃʷ a b ɾ a
შვებულება	ʃʷ e b u l e b a
შვედეთი	ʃʷ e d e tʰ i
შვედი	ʃʷ e d i
შვედური	ʃʷ e d u ɾ i
შვეიცარი	ʃʷ e i t͡sʰ a ɾ i
შვეიცარია	ʃʷ e i t͡sʰ a ɾ i a
შვეიცარული	ʃʷ e i t͡sʰ a ɾ u l i
შველი	ʃʷ e l i
შვენება	ʃʷ e n e b a
შვეულად	ʃʷ e u ɫ a d
შვიდი	ʃʷ i d i
შვიდკუთხა	ʃʷ i d kʼ u tʰ χ a
შვიდკუთხედი	ʃʷ i d kʼ u tʰ χ e d i
შვიდჯერ	ʃʷ i d d͡ʒ e ɾ
შვილი	ʃʷ i l i
შვილიკო	ʃʷ i l i kʼ o
შვილიშვილი	ʃʷ i l i ʃʷ i l i
შვილობილი	ʃʷ i ɫ o b i l i
შვილოსნობა	ʃʷ i ɫ o s n o b a
შვრია	ʃʷ ɾ i a
შთაბეჭდილება	ʃ tʰ a b e t͡ʃʼ d i l e b a
შთამაგონებლად	ʃ tʰ a m a ɡ o n e b ɫ a d
შთამბეჭდავად	ʃ tʰ a m b e t͡ʃʼ d a v a d
შთამბეჭდავი	ʃ tʰ a m b e t͡ʃʼ d a v i
შთამბეჭდაობა	ʃ tʰ a m b e t͡ʃʼ d a o b a
შთამომავალი	ʃ tʰ a m o m a v a l i
შთამომავლობა	ʃ tʰ a m o m a v ɫ o b a
შთამომავლობით	ʃ tʰ a m o m a v ɫ o b i tʰ
შია	ʃ i a
შიგ	ʃ i ɡ
შიგთავსი	ʃ i ɡ tʰ a f s i
შიგნეულობა	ʃ i ɡ n e u ɫ o b a
შიგნით	ʃ i ɡ n i tʰ
შიდა	ʃ i d a
შიზოფრენია	ʃ i z o pʰ ɾ e n i a
შიკრიკი	ʃ i kʼ ɾ i kʼ i
შილდა	ʃ i l d a
შილი	ʃ i l i
შილინგი	ʃ i l i n ɡ i
შიმპანზე	ʃ i m pʼ a n z e
შიმშილი	ʃ i m ʃ i l i
შინ	ʃ i n
შინაარსი	ʃ i n a a ɾ s i
შინაბერა	ʃ i n a b e ɾ a
შინაგანად	ʃ i n a ɡ a n a d
შინაგანი	ʃ i n a ɡ a n i
შინაურად	ʃ i n a u ɾ a d
შინაური	ʃ i n a u ɾ i
შინაურული	ʃ i n a u ɾ u l i
შინდი	ʃ i n d i
შინდისფერი	ʃ i n d i s pʰ e ɾ i
შინტოიზმი	ʃ i n tʼ o i z m i
შინშილა	ʃ i n ʃ i ɫ a
შიოლაშვილი	ʃ i o ɫ a ʃʷ i l i
შირმა	ʃ i ɾ m a
შიფერი	ʃ i pʰ e ɾ i
შიფონი	ʃ i pʰ o n i
შიფრი	ʃ i pʰ ɾ i
შიშველი	ʃ i ʃʷ e l i
შიშვლად	ʃ i ʃʷ ɫ a d
შიში	ʃ i ʃ i
შიშით	ʃ i ʃ i tʰ
შიშინა	ʃ i ʃ i n a
შკივი	ʃ kʼ i v i
შკიპერი	ʃ kʼ i pʼ e ɾ i
შლა	ʃ ɫ a
შლაგბაუმი	ʃ ɫ a ɡ b a u m i
შლანგი	ʃ ɫ a n ɡ i
შლის	ʃ l i s
შმაგად	ʃ m a ɡ a d
შმაგი	ʃ m a ɡ i
შნო	ʃ n o
შნოიანი	ʃ n o i a n i
შობა	ʃ o b a
შობენ	ʃ o b e n
შობს	ʃ o b s
შოვინიზმი	ʃ o v i n i z m i
შოვინისტი	ʃ o v i n i s tʼ i
შოვინისტური	ʃ o v i n i s tʼ u ɾ i
შოკი	ʃ o kʼ i
შოკოლადი	ʃ o kʼ o ɫ a d i
შოლტი	ʃ o l tʼ i
შონია	ʃ o n i a
შოპინგი	ʃ o pʼ i n ɡ i
შორენა	ʃ o ɾ e n a
შორეული	ʃ o ɾ e u l i
შორი	ʃ o ɾ i
შორის	ʃ o ɾ i s
შორს	ʃ o ɾ s
შორსმიმავალი	ʃ o ɾ s m i m a v a l i
შორსმჭვრეტელობა	ʃ o ɾ s m t͡ʃʼʷ ɾ e tʼ e ɫ o b a
შორსმხედველი	ʃ o ɾ s m χ e dʷ e l i
შოტლანდია	ʃ o tʼ ɫ a n d i a
შოტლანდიელი	ʃ o tʼ ɫ a n d i e l i
შოტლანდიური	ʃ o tʼ ɫ a n d i u ɾ i
შოფინგი	ʃ o pʰ i n ɡ i
შოშია	ʃ o ʃ i a
შპალერი	ʃ pʼ a l e ɾ i
შპატი	ʃ pʼ a tʼ i
შპილი	ʃ pʼ i l i
შპიონაჟი	ʃ pʼ i o n a ʒ i
შპონი	ʃ pʼ o n i
შპრიცი	ʃ pʼ ɾ i t͡sʰ i
შპს	ʃ pʼ s
შრაპნელი	ʃ ɾ a pʼ n e l i
შრატი	ʃ ɾ a tʼ i
შრე	ʃ ɾ e
შრიფტი	ʃ ɾ i pʰ tʼ i
შრომა	ʃ ɾ o m a
შრომისმოყვარე	ʃ ɾ o m i s m o χʼʷ a ɾ e
შრომისმოყვარედ	ʃ ɾ o m i s m o χʼʷ a ɾ e d
შრომობდნენ	ʃ ɾ o m o b d n e n
შრომობს	ʃ ɾ o m o b s
შროშანა	ʃ ɾ o ʃ a n a
შროშანი	ʃ ɾ o ʃ a n i
შტაბი	ʃ tʼ a b i
შტამპი	ʃ tʼ a m pʼ i
შტატები	ʃ tʼ a tʼ e b i
შტატი	ʃ tʼ a tʼ i
შტერი	ʃ tʼ e ɾ i
შტრიხი	ʃ tʼ ɾ i χ i
შტურმანი	ʃ tʼ u ɾ m a n i
შტუტგარტი	ʃ tʼ u tʼ ɡ a ɾ tʼ i
შუა	ʃ u a
შუაგული	ʃ u a ɡ u l i
შუაგულში	ʃ u a ɡ u l ʃ i
შუადღე	ʃ u a d ʁ e
შუადღემდე	ʃ u a d ʁ e m d e
შუალედი	ʃ u a l e d i
შუალედურად	ʃ u a l e d u ɾ a d
შუალედური	ʃ u a l e d u ɾ i
შუამავალი	ʃ u a m a v a l i
შუამავლობა	ʃ u a m a v ɫ o b a
შუამდგომლობა	ʃ u a m d ɡ o m ɫ o b a
შუაში	ʃ u a ʃ i
შუბი	ʃ u b i
შუბლი	ʃ u b l i
შუგა	ʃ u ɡ a
შუკა	ʃ u kʼ a
შულერი	ʃ u l e ɾ i
შურდული	ʃ u ɾ d u l i
შური	ʃ u ɾ i
შურიანად	ʃ u ɾ i a n a d
შურიანი	ʃ u ɾ i a n i
შურისგება	ʃ u ɾ i s ɡ e b a
შურისმაძიებლად	ʃ u ɾ i s m a d͡z i e b ɫ a d
შურისმაძიებლურად	ʃ u ɾ i s m a d͡z i e b ɫ u ɾ a d
შურისმგებელი	ʃ u ɾ i s m ɡ e b e l i
შურისძიება	ʃ u ɾ i s d͡z i e b a
შუქი	ʃ u kʰ i
შუქნიშანი	ʃ u kʰ n i ʃ a n i
შუქურა	ʃ u kʰ u ɾ a
შუქური	ʃ u kʰ u ɾ i
შუქჩრდილი	ʃ u kʰ t͡ʃʰ ɾ d i l i
შუღლი	ʃ u ʁ l i
შუშა	ʃ u ʃ a
შუშხუნა	ʃ u ʃ χ u n a
შუშხუნი	ʃ u ʃ χ u n i
შქმერული	ʃ kʰ m e ɾ u l i
შხამი	ʃ χ a m i
შხამიანად	ʃ χ a m i a n a d
შხამიანი	ʃ χ a m i a n i
შხაპი	ʃ χ a pʼ i
შხეფი	ʃ χ e pʰ i
შხუნა	ʃ χ u n a
ჩ	t͡ʃʰ
ჩაასწორებს	t͡ʃʰ a a s t͡sʼ o ɾ e b s
ჩაგეთვალა	t͡ʃʰ a ɡ e tʰʷ a ɫ a
ჩაგერიცხათ	t͡ʃʰ a ɡ e ɾ i t͡sʰ χ a tʰ
ჩადი	t͡ʃʰ a d i
ჩადიან	t͡ʃʰ a d i a n
ჩადის	t͡ʃʰ a d i s
ჩადრი	t͡ʃʰ a d ɾ i
ჩადუნა	t͡ʃʰ a d u n a
ჩაერიცხება	t͡ʃʰ a e ɾ i t͡sʰ χ e b a
ჩაეხუტება	t͡ʃʰ a e χ u tʼ e b a
ჩაზნექილი	t͡ʃʰ a z n e kʰ i l i
ჩაზნექილობა	t͡ʃʰ a z n e kʰ i ɫ o b a
ჩაზრდილი	t͡ʃʰ a z ɾ d i l i
ჩათლახი	t͡ʃʰ a tʰ ɫ a χ i
ჩაი	t͡ʃʰ a i
ჩაიდანი	t͡ʃʰ a i d a n i
ჩაინიკი	t͡ʃʰ a i n i kʼ i
ჩაიხანა	t͡ʃʰ a i χ a n a
ჩაიხუტებს	t͡ʃʰ a i χ u tʼ e b s
ჩაკერებული	t͡ʃʰ a kʼ e ɾ e b u l i
ჩაკეტილი	t͡ʃʰ a kʼ e tʼ i l i
ჩაკეტილობა	t͡ʃʰ a kʼ e tʼ i ɫ o b a
ჩაკვეტაძე	t͡ʃʰ a kʼʷ e tʼ a d͡z e
ჩაკიდული	t͡ʃʰ a kʼ i d u l i
ჩაკირული	t͡ʃʰ a kʼ i ɾ u l i
ჩალა	t͡ʃʰ a ɫ a
ჩალისფერი	t͡ʃʰ a l i s pʰ e ɾ i
ჩალიჩი	t͡ʃʰ a l i t͡ʃʰ i
ჩალიჩობა	t͡ʃʰ a l i t͡ʃʰ o b a
ჩალიჩობს	t͡ʃʰ a l i t͡ʃʰ o b s
ჩამოდიან	t͡ʃʰ a m o d i a n
ჩამოდის	t͡ʃʰ a m o d i s
ჩამოეთრევა	t͡ʃʰ a m o e tʰ ɾ e v a
ჩამოვა	t͡ʃʰ a m o v a
ჩამოთრევა	t͡ʃʰ a m o tʰ ɾ e v a
ჩამოკიდებული	t͡ʃʰ a m o kʼ i d e b u l i
ჩამოკონკილი	t͡ʃʰ a m o kʼ o n kʼ i l i
ჩამომტვირთავი	t͡ʃʰ a m o m tʼʷ i ɾ tʰ a v i
ჩამონათვალი	t͡ʃʰ a m o n a tʰʷ a l i
ჩამორჩენილი	t͡ʃʰ a m o ɾ t͡ʃʰ e n i l i
ჩამოსვლა	t͡ʃʰ a m o sʷ ɫ a
ჩამოსმა	t͡ʃʰ a m o s m a
ჩამოტვირთვა	t͡ʃʰ a m o tʼʷ i ɾ tʰʷ a
ჩამოტვირთვადი	t͡ʃʰ a m o tʼʷ i ɾ tʰʷ a d i
ჩამოტვირთვადობა	t͡ʃʰ a m o tʼʷ i ɾ tʰʷ a d o b a
ჩამოქცევა	t͡ʃʰ a m o kʰ t͡sʰ e v a
ჩამოქცეული	t͡ʃʰ a m o kʰ t͡sʰ e u l i
ჩამტვირთავი	t͡ʃʰ a m tʼʷ i ɾ tʰ a v i
ჩამქრალი	t͡ʃʰ a m kʰ ɾ a l i
ჩანასახოვანი	t͡ʃʰ a n a s a χ o v a n i
ჩანაწერი	t͡ʃʰ a n a t͡sʼ e ɾ i
ჩანგალი	t͡ʃʰ a n ɡ a l i
ჩანგი	t͡ʃʰ a n ɡ i
ჩანთა	t͡ʃʰ a n tʰ a
ჩანთოსანი	t͡ʃʰ a n tʰ o s a n i
ჩანს	t͡ʃʰ a n s
ჩანტლისყურე	t͡ʃʰ a n tʼ l i s χʼ u ɾ e
ჩანჩქერი	t͡ʃʰ a n t͡ʃʰ kʰ e ɾ i
ჩანჩქერო	t͡ʃʰ a n t͡ʃʰ kʰ e ɾ o
ჩარდახი	t͡ʃʰ a ɾ d a χ i
ჩართე	t͡ʃʰ a ɾ tʰ e
ჩართული	t͡ʃʰ a ɾ tʰ u l i
ჩარლსტონი	t͡ʃʰ a ɾ l s tʼ o n i
ჩარტიზმი	t͡ʃʰ a ɾ tʼ i z m i
ჩარტისტი	t͡ʃʰ a ɾ tʼ i s tʼ i
ჩარჩო	t͡ʃʰ a ɾ t͡ʃʰ o
ჩარხი	t͡ʃʰ a ɾ χ i
ჩასაწვდომი	t͡ʃʰ a s a t͡sʼʷ d o m i
ჩასვლა	t͡ʃʰ a sʷ ɫ a
ჩატბოტი	t͡ʃʰ a tʼ b o tʼ i
ჩატვირთვა	t͡ʃʰ a tʼʷ i ɾ tʰʷ a
ჩატვირთვადი	t͡ʃʰ a tʼʷ i ɾ tʰʷ a d i
ჩატვირთვადობა	t͡ʃʰ a tʼʷ i ɾ tʰʷ a d o b a
ჩაუკოკლოზინებს	t͡ʃʰ a u kʼ o kʼ ɫ o z i n e b s
ჩაურევლობა	t͡ʃʰ a u ɾ e v ɫ o b a
ჩაუქრობელი	t͡ʃʰ a u kʰ ɾ o b e l i
ჩაფი	t͡ʃʰ a pʰ i
ჩაფსკვნილი	t͡ʃʰ a pʰ s kʼʷ n i l i
ჩაფხუტი	t͡ʃʰ a pʰ χ u tʼ i
ჩაქაფული	t͡ʃʰ a kʰ a pʰ u l i
ჩაქრება	t͡ʃʰ a kʰ ɾ e b a
ჩაქრი	t͡ʃʰ a kʰ ɾ i
ჩაქუჩი	t͡ʃʰ a kʰ u t͡ʃʰ i
ჩაშენებული	t͡ʃʰ a ʃ e n e b u l i
ჩაშლა	t͡ʃʰ a ʃ ɫ a
ჩაშლის	t͡ʃʰ a ʃ l i s
ჩაცმა	t͡ʃʰ a t͡sʰ m a
ჩაძირული	t͡ʃʰ a d͡z i ɾ u l i
ჩახარშავს	t͡ʃʰ a χ a ɾ ʃ a f s
ჩახერგვა	t͡ʃʰ a χ e ɾ ɡʷ a
ჩახლართულად	t͡ʃʰ a χ ɫ a ɾ tʰ u ɫ a d
ჩახლართული	t͡ʃʰ a χ ɫ a ɾ tʰ u l i
ჩახლეჩილად	t͡ʃʰ a χ l e t͡ʃʰ i ɫ a d
ჩახლეჩილი	t͡ʃʰ a χ l e t͡ʃʰ i l i
ჩახმახი	t͡ʃʰ a χ m a χ i
ჩახოხბილი	t͡ʃʰ a χ o χ b i l i
ჩახტომა	t͡ʃʰ a χ tʼ o m a
ჩახუტება	t͡ʃʰ a χ u tʼ e b a
ჩახუჭუჭებული	t͡ʃʰ a χ u t͡ʃʼ u t͡ʃʼ e b u l i
ჩახშობა	t͡ʃʰ a χ ʃ o b a
ჩეკი	t͡ʃʰ e kʼ i
ჩელსი	t͡ʃʰ e l s i
ჩემი	t͡ʃʰ e m i
ჩემოდანი	t͡ʃʰ e m o d a n i
ჩემპიონატი	t͡ʃʰ e m pʼ i o n a tʼ i
ჩემპიონი	t͡ʃʰ e m pʼ i o n i
ჩემს	t͡ʃʰ e m s
ჩენა	t͡ʃʰ e n a
ჩენჩო	t͡ʃʰ e n t͡ʃʰ o
ჩერგოლეიშვილი	t͡ʃʰ e ɾ ɡ o l e i ʃʷ i l i
ჩერნოგორია	t͡ʃʰ e ɾ n o ɡ o ɾ i a
ჩერო	t͡ʃʰ e ɾ o
ჩერჩეტი	t͡ʃʰ e ɾ t͡ʃʰ e tʼ i
ჩესტერფილდი	t͡ʃʰ e s tʼ e ɾ pʰ i l d i
ჩექმა	t͡ʃʰ e kʰ m a
ჩეჩავს	t͡ʃʰ e t͡ʃʰ a f s
ჩეჩნეთი	t͡ʃʰ e t͡ʃʰ n e tʰ i
ჩეხა	t͡ʃʰ e χ a
ჩეხეთი	t͡ʃʰ e χ e tʰ i
ჩეხი	t͡ʃʰ e χ i
ჩეხოსლოვაკელი	t͡ʃʰ e χ o s ɫ o v a kʼ e l i
ჩეხოსლოვაკი	t͡ʃʰ e χ o s ɫ o v a kʼ i
ჩეხოსლოვაკია	t͡ʃʰ e χ o s ɫ o v a kʼ i a
ჩეხოსლოვაკური	t͡ʃʰ e χ o s ɫ o v a kʼ u ɾ i
ჩეხს	t͡ʃʰ e χ s
ჩეხური	t͡ʃʰ e χ u ɾ i
ჩვარი	t͡ʃʰʷ a ɾ i
ჩვენ	t͡ʃʰʷ e n
ჩვენება	t͡ʃʰʷ e n e b a
ჩვენებური	t͡ʃʰʷ e n e b u ɾ i
ჩვენი	t͡ʃʰʷ e n i
ჩვეულად	t͡ʃʰʷ e u ɫ a d
ჩვეულება	t͡ʃʰʷ e u l e b a
ჩვეულებრივ	t͡ʃʰʷ e u l e b ɾ i v
ჩვეულებრივად	t͡ʃʰʷ e u l e b ɾ i v a d
ჩვეულებრივი	t͡ʃʰʷ e u l e b ɾ i v i
ჩვეული	t͡ʃʰʷ e u l i
ჩვიდმეტი	t͡ʃʰʷ i d m e tʼ i
ჩვიდმეტკუთხა	t͡ʃʰʷ i d m e tʼ kʼ u tʰ χ a
ჩვიდმეტკუთხედი	t͡ʃʰʷ i d m e tʼ kʼ u tʰ χ e d i
ჩვილი	t͡ʃʰʷ i l i
ჩიბუხი	t͡ʃʰ i b u χ i
ჩივილი	t͡ʃʰ i v i l i
ჩითი	t͡ʃʰ i tʰ i
ჩითილი	t͡ʃʰ i tʰ i l i
ჩიკაგო	t͡ʃʰ i kʼ a ɡ o
ჩილე	t͡ʃʰ i l e
ჩილედ	t͡ʃʰ i l e d
ჩილემ	t͡ʃʰ i l e m
ჩილეს	t͡ʃʰ i l e s
ჩინარი	t͡ʃʰ i n a ɾ i
ჩინეთი	t͡ʃʰ i n e tʰ i
ჩინეთით	t͡ʃʰ i n e tʰ i tʰ
ჩინეთის	t͡ʃʰ i n e tʰ i s
ჩინეთმა	t͡ʃʰ i n e tʰ m a
ჩინეთს	t͡ʃʰ i n e tʰ s
ჩინოვნიკი	t͡ʃʰ i n o v n i kʼ i
ჩინოვნიკობა	t͡ʃʰ i n o v n i kʼ o b a
ჩინური	t͡ʃʰ i n u ɾ i
ჩირაღდანი	t͡ʃʰ i ɾ a ʁ d a n i
ჩირაღი	t͡ʃʰ i ɾ a ʁ i
ჩირი	t͡ʃʰ i ɾ i
ჩირქი	t͡ʃʰ i ɾ kʰ i
ჩირქოვანი	t͡ʃʰ i ɾ kʰ o v a n i
ჩიტბატონა	t͡ʃʰ i tʼ b a tʼ o n a
ჩიტი	t͡ʃʰ i tʼ i
ჩიყვი	t͡ʃʰ i χʼʷ i
ჩიჩახვი	t͡ʃʰ i t͡ʃʰ a χʷ i
ჩიხი	t͡ʃʰ i χ i
ჩიხირთმა	t͡ʃʰ i χ i ɾ tʰ m a
ჩიხუახუა	t͡ʃʰ i χ u a χ u a
ჩლიქი	t͡ʃʰ l i kʰ i
ჩლუნგად	t͡ʃʰ ɫ u n ɡ a d
ჩლუნგი	t͡ʃʰ ɫ u n ɡ i
ჩმორი	t͡ʃʰ m o ɾ i
ჩობანი	t͡ʃʰ o b a n i
ჩოგანი	t͡ʃʰ o ɡ a n i
ჩოგბურთი	t͡ʃʰ o ɡ b u ɾ tʰ i
ჩოლოყაშვილი	t͡ʃʰ o ɫ o χʼ a ʃʷ i l i
ჩონგური	t͡ʃʰ o n ɡ u ɾ i
ჩონჩხი	t͡ʃʰ o n t͡ʃʰ χ i
ჩორთი	t͡ʃʰ o ɾ tʰ i
ჩოხა	t͡ʃʰ o χ a
ჩოხატაური	t͡ʃʰ o χ a tʼ a u ɾ i
ჩოხოსანი	t͡ʃʰ o χ o s a n i
ჩრდილი	t͡ʃʰ ɾ d i l i
ჩრდილიანი	t͡ʃʰ ɾ d i l i a n i
ჩრდილოაღმოსავლეთით	t͡ʃʰ ɾ d i ɫ o a ʁ m o s a v l e tʰ i tʰ
ჩრდილოაღმოსავლური	t͡ʃʰ ɾ d i ɫ o a ʁ m o s a v ɫ u ɾ i
ჩრდილოდასავლეთით	t͡ʃʰ ɾ d i ɫ o d a s a v l e tʰ i tʰ
ჩრდილოდასავლური	t͡ʃʰ ɾ d i ɫ o d a s a v ɫ u ɾ i
ჩრდილოეთი	t ʂ tʰ i l o ɛ tʰ i
ჩრდილოეთით	t͡ʃʰ ɾ d i ɫ o e tʰ i tʰ
ჩრდილოეთისკენ	t͡ʃʰ ɾ d i ɫ o e tʰ i s kʼ e n
ჩრდილოელი	t͡ʃʰ ɾ d i ɫ o e l i
ჩრდილოური	t͡ʃʰ ɾ d i ɫ o u ɾ i
ჩრჩილი	t͡ʃʰ ɾ t͡ʃʰ i l i
ჩუბინი	t͡ʃʰ u b i n i
ჩუმად	t͡ʃʰ u m a d
ჩუმი	t͡ʃʰ u m i
ჩურუღა	t͡ʃʰ u ɾ u ʁ a
ჩურჩხელა	t͡ʃʰ u ɾ t͡ʃʰ χ e ɫ a
ჩურჩხელას	t͡ʃʰ u ɾ t͡ʃʰ χ e ɫ a s
ჩუსტი	t͡ʃʰ u s tʼ i
ჩუტყვავილა	t͡ʃʰ u tʼ χʼʷ a v i ɫ a
ჩუქება	t͡ʃʰ u kʰ e b a
ჩუქურთმა	t͡ʃʰ u kʰ u ɾ tʰ m a
ჩქარა	t͡ʃʰ kʰ a ɾ a
ჩქარი	t͡ʃʰ kʰ a ɾ i
ჩქაროსნული	t͡ʃʰ kʰ a ɾ o s n u l i
ჩხამა	t͡ʃʰ χ a m a
ჩხართვი	t͡ʃʰ χ a ɾ tʰʷ i
ჩხვლეტს	t͡ʃʰ χʷ l e tʼ s
ჩხიკვი	t͡ʃʰ χ i kʼʷ i
ჩხუბი	t͡ʃʰ χ u b i
ც	t͡sʰ
ცა	t͡sʰ a
ცაავა	t͡sʰ a a v a
ცავ	t͡sʰ a v
ცაიში	t͡sʰ a i ʃ i
ცალგვერდა	t͡sʰ a l ɡʷ e ɾ d a
ცალთვალა	t͡sʰ a l tʰʷ a ɫ a
ცალი	t͡sʰ a l i
ცალკე	t͡sʰ a l kʼ e
ცალკეული	t͡sʰ a l kʼ e u l i
ცალმხრივად	t͡sʰ a l m χ ɾ i v a d
ცალმხრივი	t͡sʰ a l m χ ɾ i v i
ცალობით	t͡sʰ a ɫ o b i tʰ
ცალფიცარი	t͡sʰ a l pʰ i t͡sʰ a ɾ i
ცალხაზიანი	t͡sʰ a l χ a z i a n i
ცამეტი	t͡sʰ a m e tʼ i
ცამეტკუთხა	t͡sʰ a m e tʼ kʼ u tʰ χ a
ცამეტკუთხედი	t͡sʰ a m e tʼ kʼ u tʰ χ e d i
ცარიელად	t͡sʰ a ɾ i e ɫ a d
ცარიელი	t͡sʰ a ɾ i e l i
ცარცი	t͡sʰ a ɾ t͡sʰ i
ცაცია	t͡sʰ a t͡sʰ i a
ცაციაშვილი	t͡sʰ a t͡sʰ i a ʃʷ i l i
ცაცხვი	t͡sʰ a t͡sʰ χʷ i
ცაცხვისფერი	t͡sʰ a t͡sʰ χʷ i s pʰ e ɾ i
ცახცახი	t͡sʰ a χ t͡sʰ a χ i
ცახცახით	t͡sʰ a χ t͡sʰ a χ i tʰ
ცბიერად	t͡sʰ b i e ɾ a d
ცბიერება	t͡sʰ b i e ɾ e b a
ცბიერი	t͡sʰ b i e ɾ i
ცდა	t͡sʰ d a
ცდილობს	t͡sʰ d i ɫ o b s
ცდომილება	t͡sʰ d o m i l e b a
ცეზიუმი	t͡sʰ e z i u m i
ცეილონი	t͡sʰ e i ɫ o n i
ცეკვა	t͡sʰ e kʼʷ a
ცელი	t͡sʰ e l i
ცელოფანი	t͡sʰ e ɫ o pʰ a n i
ცელულოზა	t͡sʰ e ɫ u ɫ o z a
ცელულოიდი	t͡sʰ e ɫ u ɫ o i d i
ცელქად	t͡sʰ e l kʰ a d
ცელქი	t͡sʰ e l kʰ i
ცემა	t͡sʰ e m a
ცემენტი	t͡sʰ e m e n tʼ i
ცემს	t͡sʰ e m s
ცენზორი	t͡sʰ e n z o ɾ i
ცენზორობა	t͡sʰ e n z o ɾ o b a
ცენზურა	t͡sʰ e n z u ɾ a
ცენტი	t͡sʰ e n tʼ i
ცენტნერი	t͡sʰ e n tʼ n e ɾ i
ცენტრალური	t͡sʰ e n tʼ ɾ a ɫ u ɾ i
ცენტრი	t͡sʰ e n tʼ ɾ i
ცენტრიდანული	t͡sʰ e n tʼ ɾ i d a n u l i
ცენტრიფუგა	t͡sʰ e n tʼ ɾ i pʰ u ɡ a
ცენტურიონი	t͡sʰ e n tʼ u ɾ i o n i
ცეპელინი	t͡sʰ e pʼ e l i n i
ცერემონია	t͡sʰ e ɾ e m o n i a
ცერემონიალი	t͡sʰ e ɾ e m o n i a l i
ცერემონიულად	t͡sʰ e ɾ e m o n i u ɫ a d
ცერემონიული	t͡sʰ e ɾ e m o n i u l i
ცერი	t͡sʰ e ɾ i
ცერიუმი	t͡sʰ e ɾ i u m i
ცერობი	t͡sʰ e ɾ o b i
ცერცველა	t͡sʰ e ɾ t͡sʰʷ e ɫ a
ცერცვი	t͡sʰ e ɾ t͡sʰʷ i
ცეცხლგამძლე	t͡sʰ e t͡sʰ χ l ɡ a m d͡z l e
ცეცხლი	t͡sʰ e t͡sʰ χ l i
ცეცხლოვანი	t͡sʰ e t͡sʰ χ ɫ o v a n i
