'bout	b a ʊ t
precreative	p ɹ iː k ɹ ɪ e ɪ t ɪ v
precursive	p ɹ iː k ɜː ɹ s ɪ v
precursive	p ɹ ɪ k ɜː ɹ s ɪ v
predate	p ɹ iː d e ɪ t
predate	p ɹ ɪ d e ɪ t
predatory	p ɹ e d ə t ə ɹ i
predecease	p ɹ iː d ə s iː s
predecessor	p ɹ iː d ɪ s ɛ s ə ɹ
predella	p ɹ ɪ d ɛ l ə
predestination	p ɹ i d ɛ s t ɪ n e ɪ ʃ e n
predestine	p ɹ e d ɛ s t ɪ n
predestine	p ɹ i d ɛ s t ɪ n
predicament	p ɹ ɪ d ɪ k ə m ə n t
predicate	p ɹ ɛ d ɪ k e ɪ t
predicate	p ɹ ɛ d ɪ k ə t
predicated	p ɹ ɛ d ɪ k e ɪ t ə d
predicates	p ɹ ɛ d ɪ k e ɪ t s
predicates	p ɹ ɛ d ɪ k ə t s
predicative	p ɹ ɛ d ə k ə t ɪ v
predicative	p ɹ ɛ d ɪ k ə t ɪ v
predicatively	p ɹ ɛ d ə k ə t ɪ v l i
predicatively	p ɹ ɛ d ɪ k ə t ɪ v l i
predict	p ɹ ɪ d ɪ k t
predictable	p ɹ ɪ d ɪ k t ə b l̩
predicted	p ɹ ɪ d ɪ k t ɪ d
prediction	p ɹ ɪ d ɪ k ʃ n
predikant	p ɹ ɛ d ɪ k a n t
predilection	p ɹ iː d ə l ɛ k ʃ n̩
prednisolone	p ɹ ɛ d n ɪ s ə l ə ʊ n
prednisone	p ɹ ɛ d n ɪ z ə ʊ n
predominance	p ɹ ə d ɒ m ɪ n ə n s
predominant	p ɹ ɪ d ɒ m ɪ n ə n t
predominantly	p ɹ ɪ d ɒ m ɪ n ə n t l i
preeminent	p ɹ iː ɛ m ɪ n ə n t
preemption	p r iː ɛ m p ʃ ə n
preemptive	p ɹ iː ɛ m p t ɪ v
preen	p ɹ iː n
preenact	p ɹ i ɛ n æ k t
preengage	p r iː ɪ n ɡ e ɪ d͡ʒ
preeternity	p ɹ iː ɪ t ɜː ɹ n ɪ t i
preface	p ɹ ɛ f ə s
prefect	p ɹ iː f e k t
prefecture	p ɹ iː f ɛ k t j ʊ ə
prefecture	p ɹ iː f ɛ k t ʃ ə
prefer	p ɹ ɪ f ɜː
preferable	p ɹ ɛ f ə ɹ ə b ə l
preferably	p ɹ ə f ɜː ɹ ə b l i
preferably	p ɹ ɛ f ɹ ə b l i
preference	p ɹ ɛ f ə ɹ ə n s
preferential	p ɹ ɛ f ɜː ɹ ɛ n ʃ ə l
preferentially	p ɹ ɛ f ɜː ɹ ɛ n ʃ ə l i
preferment	p ɹ ɪ f əː m ə n t
preferrable	p ɹ ə f ɜː ɹ ə b ə l
preferred	p ɹ ɪ f ɜː d
prefigure	p ɹ iː f ɪ ɡ j ɚ
prefixa	p ɹ iː f ɪ k s a
prefixum	p ɹ iː f ɪ k s ə m
preformation	p ɹ iː f ɔː m e ɪ ʃ ə n
pregnant	p ɹ ɛ ɡ n ə n t
prehensile	p ɹ ɪ h ɛ n s a ɪ l
prehension	p r ɪ h ɛ n ʃ ə n
prejudicate	p ɹ iː d ʒ uː d ɪ k e ɪ t
prejudicate	p ɹ iː d ʒ uː d ɪ k ə t
prejudice	p ɹ ɛ d͡ʒ ə d ɪ s
prejudices	p ɹ ɛ d͡ʒ ə d ɪ s ɪ z
preke	p ɹ iː k
prelal	p ɹ iː l ə l
prelapsarian	p ɹ iː l a p s ɛː ɹ ɪ ə n
prelate	p ɹ ɛ l ə t
prelateship	p ɹ ɛ l ə t ʃ ɪ p
prelatical	p ɹ ɪ l a t ɪ k ə l
prelaty	p ɹ ɛ l ə t i
prelect	p ɹ ɪ l ɛ k t
prelection	p ɹ ɪ l ɛ k ʃ ə n
preliminary	p ɹ ɪ l ɪ m ɪ n ə ɹ i
prelude	p ɹ e ɪ l j uː d
prelude	p ɹ iː l uː d
prelude	p ɹ ɛ l j uː d
prelusive	p ɹ ɪ l uː s ɪ v
prem	p ɹ ɛ m
premalignant	p ɹ i m ə l ɪ ɡ n ə n t
premarin	p ɹ ɛ m ə ɹ ɪ n
premature	p ɹ ɛ m ə t j ə
premature	p ɹ ɛ m ə t j ʊ ə
premenstrual	p ɹ iː m ɛ n s t ɹ ʊ l
premenstrual	p ɹ iː m ɛ n s t ɹ ʊ ə l
premices	p ɹ iː m ɪ s ɪ z
premices	p ɹ ɛ m ɪ s ɪ z
premier	p ɹ ɛ m i ə
premier	p ɹ ɛ m i ɛː
premier	p ɹ ɛ m j ə
premier	p ɹ ɛ m j ɛː
premiere	p ɹ ɛ m j ɛ ə
premiership	p ɹ ɛ m ɪ ə ʃ ɪ p
premillennialism	p ɹ iː m ɪ l ɛ n ɪ ə l ɪ z ə m
premise	p ɹ ɛ m ɪ s
premises	p ɹ ɛ m ə s iː z
premises	p ɹ ɛ m ə s ɪ s
prenatally	p ɹ iː n e ɪ t ə l i
prenazone	p ɹ ɛ n ə z ə ʊ n
prenunciative	p ɹ i n ʌ n s ɪ ə t ɪ v
prenuptual	p ɹ i n ʌ p t ʃ w ə ɫ
prenylated	p ɹ iː n ɪ l e ɪ t ɪ d
preoccupy	p ɹ ɪ ɒ k j u p a ɪ
preorgasmic	p ɹ iː ɔː ɡ a z m ɪ k
prep	p ɹ ɛ p
prepaid	p ɹ iː p e ɪ d
preparable	p ɹ ɛ p ə ɹ ə b ə l
preparable	p ɹ ɪ p æ ɹ ə b ə l
preparation	p ɹ ɛ p ə ɹ e ɪ ʃ ə n
preparations	p ɹ ɛ p ə ɹ e ɪ ʃ ə n z
preparative	p ɹ ə p æ ɹ ə t ɪ v
prepare	p ɹ ɪ p ɛ ə
prepared	p ɹ ɪ p ɛ ə d
preparing	p ɹ ɪ p ɛ ə ɹ ɪ ŋ
prepend	p ɹ ɪ p ɛ n d
prepense	p ɹ ɪ p ɛ n s
preponderance	p ɹ ɪ p ɒ n d ə ɹ ə n s
prepose	p ɹ iː p ə ʊ z
preposition	p ɹ iː p ə z ɪ ʃ ə n
preposition	p ɹ ɛ p ə z ɪ ʃ ə n
prepositus	p ɹ iː p ɒ z ɪ t ə s
prepossess	p ɹ iː p ə z ɛ s
prepossession	p ɹ iː p ə z ɛ ʃ ə n
prepotent	p ɹ ɪ p o ʊ t ə n t
prepped	p ɹ ɛ p t
prepping	p ɹ ɛ p ɪ ŋ
preprandial	p ɹ iː p ɹ a n d ɪ ə l
preprandially	p ɹ iː p ɹ a n d ɪ ə l i
preprepare	p ɹ iː p ɹ ɪ p ɛ ə
preps	p ɹ ɛ p s
prepuce	p ɹ iː p j uː s
prequel	p ɹ iː k w ə l
prerequisite	p ɹ iː ɹ ɛ k w ɪ z ɪ t
prerogative	p ɹ ɪ ɹ ɒ ɡ ə t ɪ v
presage	p ɹ ɛ s ɪ d ʒ
presage	p ɹ ɪ s e ɪ d ʒ
presbycusis	p ɹ ɛ z b ə k j uː s ə s
presbyopic	p ɹ ɛ s b i ɒ p ɪ k
presbyopic	p ɹ ɛ z b i ɒ p ɪ k
presbyter	p ɹ e z b ɪ t ə
presbyterian	p ɹ ɛ z b ɪ t ɪ ə ɹ ɪ ə n
presbytery	p ɹ ɛ z b ɪ t ɛ ɹ i
prescience	p ɹ ɛ s ɪ ə n s
prescient	p ɹ iː ʃ ɪ ə n t
prescient	p ɹ ɛ s ɪ ə n t
prescious	p ɹ ɛ s i ə s
prescribe	p ɹ ə s k ɹ a ɪ b
prescribe	p ɹ ɪ s k ɹ a ɪ b
prescribed	p ɹ ə s k ɹ a ɪ b d
prescriptive	p ɹ ɪ s k ɹ ɪ p t ɪ v
prescriptivism	p ɹ ə s k ɹ ɪ p t ɪ v ɪ z m̩
preseed	p ɹ ɪ s iː d
presence	p ɹ ɛ z ə n s
present	p ɹ ɛ z ə n t
present	p ɹ ɪ z ɛ n t
presentable	p ɹ ə z ɛ n t ə b ə l
presentation	p ɹ i z ə n t e ɪ ʃ ə n
presentation	p ɹ ɛ z ə n t e ɪ ʃ ə n
presentative	p ɹ ə z ɛ n t ə t ɪ v
presented	p ɹ ɪ z ɛ n t ɪ d
presenter	p ɹ ɪ z ɛ n t ə ɹ
presential	p ɹ ɪ z ɛ n ʃ i ə l
presential	p ɹ ɪ z ɛ n ʃ ə l
presentiment	p r ɪ z e n t ɪ m ə n t
presently	p ɹ ɛ z ə n t l i
presentment	p ɹ ɪ z ɛ n t m ə n t
presents	p ɹ ɛ z ə n t s
presents	p ɹ ɪ z ɛ n t s
preserve	p ɹ ə z ɜː v
preserved	p ɹ ə z ɜː v d
presidency	p ɹ e z ɪ d ə n s i
president	p ɹ ɛ z ɨ d ə n t
presidentiable	p ɹ ɛ z ɪ d ɛ n ʃ ə b ə l
presidential	p ɹ ɛ z ɪ d ɛ n ʃ ə l
presidentialness	p ɹ ɛ z ɪ d ɛ n ʃ ə l n ə s
presidial	p ɹ ɪ s ɪ d ɪ ə l
presidium	p ɹ ɪ s ɪ d i ə m
presley	p ɹ ɛ s l i
presley	p ɹ ɛ z l i
preso	p ɹ i z ə ʊ
preso	p ɹ ɛ z ə ʊ
press	p ɹ ɛ s
pressburg	p ɹ ɛ s b ɚ ɡ
pressed	p ɹ ɛ s t
pressing	p ɹ ɛ s ɪ ŋ
pressings	p ɹ ɛ s ɪ ŋ z
pressure	p ɹ ɛ ʃ ə ɹ
prest	p r ɛ s t
prestatyn	p ɹ ɛ s t æ t ɪ n
presteigne	p ɹ ɛ s t iː n
prestidigitation	p ɹ ɛ s t ɪ d ɪ d ʒ ɪ t e ɪ ʃ ə n
prestige	p ɹ ə s t i d ʒ
prestige	p ɹ ɛ s t i d ʒ
prestigious	p ɹ ɛ s t iː d ʒ ə s
prestigious	p ɹ ɛ s t ɪ d ʒ ə s
prestissimo	p ɹ ɛ s t ɪ s ɪ m ə ʊ
presto	p ɹ ɛ s t ə ʊ
preston	p ɹ ɛ s t ə n
prestwich	p ɹ ɛ s t w ɪ t ʃ
presuit	p ɹ ɪ s j u t
presumably	p ɹ ɪ z j uː m ə b l i
presume	p ɹ ɪ z j uː m
presumptive	p ɹ ɪ z ʌ m p t ɪ v
presumptuous	p ɹ ə z ʌ m p t j uː ə s
presumptuous	p ɹ ə z ʌ m p t ʃ uː ə s
presupposition	p ɹ iː s ʌ p ə z ɪ ʃ ə n
pretence	p ɹ ɪ t ɛ n s
pretend	p ɹ ɪ t ɛ n d
pretended	p ɹ ɪ t ɛ n d ɪ d
pretense	p ɹ iː t ɛ n s
pretentious	p ɹ ɪ t ɛ n ʃ ə s
pretentiously	p ɹ ə t ɛ n ʃ ə s l iː
pretentiously	p ɹ ɪ t ɛ n ʃ ə s l iː
preterist	p ɹ ɛ t ə ɹ ɪ s t
preterite	p ɹ ɛ t ə ɹ ə t
preterite	p ɹ ɛ t ə ɹ ɪ t
preternatural	p ɹ iː t ə n æ t͡ʃ ə ɹ ə l
preternature	p ɹ iː t ə n e ɪ t ʃ ə
pretest	p ɹ iː t ɛ s t
pretext	p ɹ iː t ɛ k s t
pretotype	p ɹ iː t ə t a ɪ p
pretour	p ɹ iː t ʊ ə
pretrial	p ɹ ɪ t ɹ a ɪ ə l
prettiest	p ɹ ɪ t i ɪ s t
prettify	p ɹ ɪ t ɪ f ʌ ɪ
pretty	p ɹ ɪ t i
pretzel	p ɹ ɛ t s ə l
preussen	p ɹ ɔ ɪ s ə n
prevail	p ɹ ɪ v e ɪ l
prevailed	p ɹ ɪ v e ɪ l d
prevalent	p ɹ ɛ v ə l ə n t
prevaricate	p ɹ ɪ v a ɹ ɪ k e ɪ t
prevent	p ɹ ɪ v ɛ n t
preventative	p ɹ ɪ v ɛ n t ə t ɪ v
prevented	p ɹ ɪ v ɛ n t ɪ d
preventing	p ɹ ɪ v ɛ n t ɪ ŋ
prevention	p ɹ ɪ v ɛ n ʃ ə n
preventive	p ɹ ɪ v ɛ n t ɪ v
preview	p ɹ iː v j ʉː
previous	p ɹ iː v ɪ ə s
previously	p ɹ iː v i ə s l i
prevision	p ɹ ɪ v ɪ ʒ ə n
previsive	p ɹ ɪ v a ɪ s ɪ v
prevocalically	p ɹ i v ə ʊ k æ l ɪ k l i
prevocalically	p ɹ i v ə ʊ k æ l ɪ k ə l i
prexy	p ɹ ɛ k s i
prey	p ɹ e ɪ
preyed	p ɹ e ɪ d
preyer	p ɹ e ɪ j ə ɹ
preys	p ɹ e ɪ z
prezygapophysis	p ɹ iː z a ɪ ɡ ə p ɒ f ɪ s ɪ s
preëmpt	p ɹ iː ɛ m p t
preëmption	p ɹ iː ɛ m p ʃ ə n
preëmptioner	p ɹ iː ɛ m p ʃ ə n ə
preëmptive	p ɹ iː ɛ m p t ɪ v
preëmptor	p ɹ iː ɛ m p t ɔː
preëmptory	p ɹ iː ɛ m p t ə ɹ i
priam	p ɹ a ɪ ə m
priapi	p ɹ a ɪ e ɪ p i
priapic	p ɹ a ɪ e ɪ p ɪ k
priapic	p ɹ a ɪ æ p ɪ k
priapus	p ɹ a ɪ e ɪ p ə s
price	p ɹ a ɪ s
priced	p ɹ a ɪ s t
priceless	p ɹ a ɪ s l ə s
prices	p ɹ a ɪ s ɪ z
pricey	p ɹ a ɪ s i
pricing	p ɹ a ɪ s ɪ ŋ
pricings	p ɹ a ɪ s ɪ ŋ z
prick	p ɹ ɪ k
pricked	p ɹ ɪ k t
pricker	p ɹ ɪ k ə ɹ
pricket	p ɹ ɪ k ɪ t
pricking	p ɹ ɪ k ɪ ŋ
prickings	p ɹ ɪ k ɪ ŋ z
prickle	p ɹ ɪ k ə l
pricklouse	p ɹ ɪ k l a ʊ s
pricks	p ɹ ɪ k s
pride	p ɹ a ɪ d
prideful	p ɹ ʌ ɪ d f ə l
prider	p ɹ a ɪ d ə ɹ
prides	p ɹ a ɪ d z
priding	p ɹ a ɪ d ɪ ŋ
pridnestrovie	p r iː d n ɛ s t r o ʊ v j e ɪ
pried	p ɹ ɑ j d
pries	p ɹ a ɪ z
priest	p ɹ iː s t
priestess	p r iː s t e s
priestess	p r iː s t ɛ s
priesthood	p ɹ iː s t h ʊ d
priestly	p ɹ iː s t l i
priests	p ɹ iː s t s
prig	p ɹ ɪ ɡ
priggish	p ɹ ɪ ɡ ɪ ʃ
prill	p ɹ ɪ l
prim	p ɹ ɪ m
prima	p ɹ iː m ə
primacy	p ɹ a ɪ m ə s i
primacy	p ɹ ɪ m ə s i
primal	p ɹ a ɪ m ə l
primaquine	p ɹ a ɪ m ə k w ɪ n
primaquine	p ɹ ɪ m ə k w ɪ n
primarily	p ɹ a ɪ m ɛ ɹ ə l i
primary	p ɹ a ɪ m ə ɹ i
primatal	p ɹ ʌ ɪ m e ɪ t ə l
primate	p ɹ a ɪ m e ɪ t
primates	p ɹ a ɪ m e ɪ t s
primatial	p ɹ ʌ ɪ m e ɪ ʃ ə l
prime	p ɹ a ɪ̯ m
prime	p ɹ iː m
primed	p ɹ a ɪ m d
primely	p ɹ ʌ ɪ m l i
primer	p ɹ a ɪ m ə ɹ
primes	p ɹ a ɪ m z
primeval	p ɹ a ɪ m i v ə l
primidone	p ɹ ɪ m ə d ə ʊ n
primigravida	p ɹ a ɪ m ɪ ɡ ɹ æ v ɪ d ə
priming	p ɹ a ɪ m ɪ ŋ
primings	p ɹ a ɪ m ɪ ŋ z
primipara	p ɹ a ɪ m ɪ p ə ɹ ə
primipara	p ɹ a ɪ m ɪ p ɹ ə
primipilar	p ɹ a ɪ m ɪ p a ɪ l ə ɹ
primitia	p ɹ ɪ m ɪ ʃ ə
primitive	p ɹ ɪ m ɪ t ɪ v
primity	p ɹ ɪ m ɪ t i
primmer	p ɹ ɪ m ə
primo	p ɹ iː m o ʊ
primordial	p ɹ a ɪ m ɔː d i ə l
primordiate	p ɹ a ɪ m ɔː ɹ d i ə t
primp	p ɹ ɪ m p
primrose	p ɹ ɪ m ɹ ə ʊ z
primus	p ɹ a ɪ m ə s
prince	p ɹ ɪ n s
princely	p ɹ ɪ n s l i
princes	p ɹ ɪ n s ɪ z
princess	p ɹ ɪ n s ɛ s
princeton	p ɹ ɪ n s t ə n
principal	p ɹ ɪ n s ə p ə l
principal	p ɹ ɪ n s ɪ p ə l
principality	p ɹ ɪ n s ɪ p æ l ɪ t i
principle	p ɹ ɪ n s ə p ə l
principle	p ɹ ɪ n s ɪ p ə l
principled	p ɹ ɪ n s ə p ə l d
principled	p ɹ ɪ n s ɪ p ə l d
principles	p ɹ ɪ n s ɪ p l̩ z
print	p ɹ ɪ n t
printed	p ɹ ɪ n t ɪ d
printer	p ɹ ɪ n t ə ɹ
printing	p ɹ ɪ n t ɪ ŋ
printings	p ɹ ɪ n t ɪ ŋ z
prints	p ɹ ɪ n t s
printshop	p ɹ ɪ n t ʃ ɒ p
printworthy	p ɹ ɪ n t w ɜː ð i
prion	p ɹ a ɪ ə n
prion	p ɹ iː ɒ n
prion	p ɹ ʌ ɪ ə n
prioritize	p ɹ a ɪ ɒ ɹ ə t a ɪ z
priority	p ɹ a ɪ ɒ ɹ ɨ t i
priscilla	p ɹ ɪ s ɪ l ə
prise	p ɹ a ɪ z
prised	p ɹ a ɪ z d
prising	p ɹ a ɪ z ɪ ŋ
prism	p ɹ ɪ z ə m
prison	p ɹ ɪ z ə n
prisoned	p ɹ ɪ z ə n d
prisoner	p ɹ ɪ z n ə
prisoner	p ɹ ɪ z ə n ə
prisoners	p ɹ ɪ z n ə z
prisoners	p ɹ ɪ z ə n ə z
prisoning	p ɹ ɪ z ə n ɪ ŋ
prisonment	p ɹ ɪ z ə n m ə n t
prisons	p ɹ ɪ z ə n z
priss	p ɹ ɪ s
prissy	p ɹ ɪ s i
pristinate	p ɹ ɪ s t ɪ n ə t
pristine	p ɹ ɪ s t a ɪ n
pristine	p ɹ ɪ s t iː n
prithee	p ɹ ɪ ð i
privacy	p ɹ a ɪ v ə s ɪ
privacy	p ɹ ɪ v ə s ɪ
privado	p ɹ ɪ v e ɪ d ə ʊ
privado	p ɹ ɪ v ɑː d ə ʊ
private	p ɹ a ɪ v ə t
private	p ɹ a ɪ v ɪ t
privateer	p ɹ a ɪ v ə t ɪ ə
privately	p ɹ a ɪ v ə t l i
privately	p ɹ a ɪ v ɪ t l i
privative	p r ɪ v ə t ɪ v
privet	p ɹ ɪ v ɪ t
privilege	p ɹ ɪ v ɪ l ɪ d ʒ
privileged	p ɹ ɪ v ɪ l ɪ d ʒ d
privileges	p ɹ ɪ v ɪ l ɪ d ʒ ɪ z
privily	p ɹ ɪ v ɪ l i
privity	p ɹ ɪ v ɪ t i
privy	p ɹ ɪ v i
prize	p ɹ a ɪ z
prized	p ɹ a ɪ z d
prizing	p ɹ a ɪ z ɪ ŋ
prizings	p ɹ a ɪ z ɪ ŋ z
prndl	p ɹ ɪ n d l̩
pro	p ɹ ə ʊ
prob'ly	p ɹ ɒ b l i
probability	p ɹ ɒ b ə b ɪ l ɪ t i
probable	p ɹ ɒ b ə b l̩
probably	p ɹ ɒ b l i
probably	p ɹ ɒ b ə b l i
probate	p ɹ ə ʊ b e ɪ t
probe	p ɹ ə ʊ b
probenecid	p ɹ ə ʊ b ɛ n ɪ s ɪ d
probity	p ɹ ə ʊ b ɪ t i
problem	p ɹ ɒ b l ə m
problem	p ɹ ɒ b l ɪ m
problematic	p ɹ ɒ b l ə m æ t ɪ k
problemo	p ɹ ɑ b l e ɪ̯ m o ʊ̯
problems	p ɹ ɒ b l ə m z
probly	p ɹ ɒ b l i
proboscidate	p ɹ ə b ɒ s ɪ d e ɪ t
proboscidate	p ɹ ə b ɒ s ɪ d ə t
proboscis	p ɹ o ʊ b ɒ s k ɪ s
proboscis	p ɹ o ʊ b ɒ s ɪ s
probyn	p ɹ ə ʊ b ɪ n
procacious	p ɹ ə k e ɪ ʃ ə s
procainamide	p ɹ ə ʊ k e ɪ n ə m ʌ ɪ d
procaine	p ɹ ə ʊ k e ɪ n
procedure	p ɹ ə s iː d ʒ ə
procedures	p ɹ ə s iː d ʒ ə s
proceed	p ɹ ə s iː d
proceeded	p ɹ ə s iː d ɪ d
proceeding	p ɹ ə s iː d ɪ ŋ
proceedings	p ɹ ə s iː d ɪ ŋ z
proceedings	p ɹ ə ʊ s iː d ɪ ŋ z
proceeds	p ɹ ə ʊ s iː d z
process	p ɹ ə s ɛ s
process	p ɹ ə ʊ s ɛ s
processes	p ɹ ə ʊ̯ s ɛ s ɪ z
processing	p ɹ ə ʊ s ɛ s ɪ ŋ
procession	p ɹ ə s ɛ ʃ ə n
processor	p ɹ ə ʊ s ɛ s ə ɹ
prochlorophyte	p ɹ ə ʊ k l ɒ ɹ ə f ʌ ɪ t
prochlorophyte	p ɹ ə ʊ k l ɔː ɹ ə f ʌ ɪ t
prochlorperazine	p ɹ ə ʊ k l ɔː p ɛ ɹ ə z iː n
prochronism	p ɹ o ʊ k ɹ ə n ɪ z m
prochronism	p ɹ ɑ k ɹ ə n ɪ z m
prochronisms	p ɹ o ʊ k ɹ ə n ɪ z m z
prochronisms	p ɹ ɑ k ɹ ə n ɪ z m z
proclaim	p ɹ o ʊ k l e ɪ m
proclaimed	p ɹ o ʊ k l e ɪ m d
proclamation	p ɹ ɒ k l ə m e ɪ ʃ ə n
proclive	p ɹ ə ʊ k l ɪ v
proconsul	p ɹ ə ʊ k ɒ n s ə l
procraltruism	p ɹ ə ʊ k ɹ ɑ l t ɹ u ɪ s ɪ z ə m̩
procrastinate	p ɹ ə ʊ k ɹ æ s t ɪ n e ɪ t
procrastination	p ɹ ə ʊ k ɹ æ s t ɪ n e ɪ ʃ ə n
procrustean	p ɹ ə ʊ k ɹ ʌ s t i ə n
proctocracy	p ɹ ɒ k t ɒ k ɹ ə s i
proctocracy	p ɹ ɒ k t ɒ k ɹ ə s ɪ
proctodeum	p ɹ ɒ k t ə d iː ə m
proctopathy	p ɹ ɒ k t ɒ p ə θ i
proctor	p ɹ ɒ k t ə ɹ
procurator	p ɹ ɒ k j ʊ ɹ e ɪ t ə
procuratorate	p ɹ ɒ k j ʊ ɹ e ɪ t ə ɹ ɪ t
procure	p ɹ ə k j ɔː
procure	p ɹ ə k j ʊ ə
procured	p ɹ ə k j ɔː d
procured	p ɹ ə k j ʊ ə d
procurement	p ɹ ə k j ʊ ə m ə n t
procuress	p ɹ ə k j ʊ ə ɹ ɪ s
procyon	p ɹ ə ʊ s i ɒ n
prod	p ɹ ɒ d
prodelision	p ɹ ə ʊ d ɪ l ɪ ʒ n̩
prodigal	p ɹ ɒ d ɪ ɡ ə l
prodigence	p ɹ ɒ d ɪ d ʒ ə n s
prodigious	p ɹ ə d ɪ d͡ʒ ə s
prodigy	p ɹ ɒ d ɪ d ʒ i
prodition	p ɹ ə ʊ d ɪ ʃ ə n
proditor	p ɹ ɒ d ɪ t ə
prodromal	p ɹ ə ʊ d ɹ ə ʊ m ə l
produce	p ɹ ɒ d j uː s
produce	p ɹ ɒ d͡ʒ uː s
produce	p ɹ ə d j uː s
produce	p ɹ ə d͡ʒ uː s
produced	p ɹ ə d j uː s t
produced	p ɹ ə d͡ʒ uː s t
producer	p ɹ ə d j uː s ə
produces	p ɹ ə d j uː s ɪ z
producing	p ɹ ə d j uː s ɪ ŋ
producorial	p ɹ ɒ d j ʊ s ɔː ɹ ɪ ə l
product	p ɹ ɒ d ə k t
product	p ɹ ɒ d ʌ k t
production	p ɹ ə d ʌ k ʃ ə n
productions	p ɹ ə d ʌ k ʃ ə n z
productive	p ɹ ə d ʌ k t ɪ v
productivity	p ɹ ɒ d ʌ k t ɪ v ə t i
products	p ɹ ɒ d ə k t s
proem	p ɹ ə ʊ ə m
profanation	p ɹ ɒ f ə n e ɪ ʃ ə n
profane	p ɹ ə f e ɪ n
profectitious	p ɹ ɒ f ɪ k t ɪ ʃ ə s
profectitious	p ɹ ə ʊ f ɛ k t ɪ ʃ ə s
profer	p ɹ ə ʊ f ɜː
profess	p ɹ ə f ɛ s
professed	p ɹ ə f ɛ s t
profession	p ɹ ə f ɛ ʃ ə n
professional	p ɹ ə f ɛ ʃ ə n ə l
professionalization	p ɹ ə f ɛ ʃ n̩ ə l ʌ ɪ z e ɪ ʃ ə n
professor	p ɹ ə f ɛ s ə
proffer	p ɹ ɒ f ə ɹ
proficiency	p ɹ ə f ɪ ʃ ə n s i
proficient	p ɹ ə f ɪ ʃ ə n t
profile	p ɹ ə ʊ f a ɪ l
profit	p ɹ ɒ f ɪ t
profitable	p ɹ ɒ f ɪ t ə b l̩
profits	p ɹ ɒ f ɪ t s
profligate	p ɹ ɒ f l ɪ ɡ e ɪ t
profligate	p ɹ ɒ f l ɪ ɡ ə t
profluence	p ɹ ə ʊ f l ʊ ə n s
profluent	p ɹ ɒ f l u ə n t
profluent	p ɹ ɒ f l ə w ə n t
profound	p ɹ ə f a ʊ n d
profoundly	p ɹ ə f a ʊ n d l i
profulgent	p ɹ ə f ʌ l d ʒ ə n t
profundicate	p ɹ ə f ʌ n d ɪ k e ɪ t
profundify	p ɹ ə f ʌ n d ɪ f a ɪ
profundity	p ɹ ə f ʌ n d ɪ t i
profuse	p ɹ ə f j uː s
profusion	p ɹ ə ʊ f j uː ʒ ə n
prog	p ɹ ɒ ɡ
progenitor	p ɹ ə d ʒ ɛ n ə t ə
progenitor	p ɹ ə ʊ d ʒ ɛ n ɪ t ə
progeny	p ɹ ɒ d ʒ ə n i
progesterone	p ɹ ə d ʒ ɛ s t ə ɹ ə ʊ n
prognathous	p r ɑ ɡ n e ɪ θ ə s
prognathous	p r ɑ ɡ n ə θ ə s
prognoses	p ɹ ɒ ɡ n ə ʊ s iː z
prognosis	p ɹ ɒ ɡ n ə ʊ s ɪ s
prognostic	p ɹ ɒ ɡ n ɒ s t ɪ k
prognostic	p ɹ ə ɡ n ɒ s t ɪ k
prognosticate	p ɹ ɒ ɡ n ɒ s t ɪ k e ɪ t
prognosticator	p ɹ ɒ ɡ n ɒ s t ɪ k e ɪ t ə ɹ
prognosticatory	p ɹ ɒ ɡ n ɒ s t ɪ k ə t ə ɹ i
prognostics	p ɹ ɒ ɡ n ɒ s t ɪ k s
prograde	p ɹ ə ʊ ɡ ɹ e ɪ d
program	p ɹ ə ʊ ɡ ɹ æ m
programmable	p ɹ ə ʊ ɡ ɹ æ m ə b ə l
programmatically	p ɹ o ʊ ɡ ɹ ə m æ t ɪ k ə l i
programme	p ɹ ə ʊ ɡ ɹ æ m
programmer	p ɹ ə ʊ ɡ ɹ æ m ə
programming	p ɹ ə ʊ ɡ ɹ ə m ɪ ŋ
programs	p ɹ ə ʊ ɡ ɹ æ m s
progress	p ɹ ɒ ɡ ɹ ɛ s
progress	p ɹ ə ɡ ɹ ɛ s
progress	p ɹ ə ʊ ɡ ɹ ɛ s
progressive	p ɹ ə ɡ ɹ ɛ s ɪ v
prohibit	p ɹ ə h ɪ b ɪ t
prohibit	p ɹ ə ʊ h ɪ b ɪ t
prohibited	p ɹ ə h ɪ b ɪ t ɪ d
prohibited	p ɹ ə ʊ h ɪ b ɪ t ɪ d
prohibition	p ɹ ə ʊ h ɪ b ɪ ʃ ə n
proinflammatory	p ɹ ə ʊ ɪ n f l æ m ə t ɹ i
project	p ɹ ɒ d ʒ ɛ k t
project	p ɹ ə d ʒ ɛ k t
project	p ɹ ə ʊ d ʒ ɛ k t
projected	p ɹ ə d ʒ ɛ k t ɪ d
projectile	p ɹ ə ʊ d ʒ ɛ k t ɪ l
projectile	p ɹ ə ʊ d ʒ ɛ k t ʌ ɪ l
projecting	p ɹ ə d͡ʒ ɛ k t ɪ ŋ
projection	p ɹ ə d ʒ ɛ k ʃ ə n
projector	p ɹ ə d ʒ ɛ k t ɚ
projects	p ɹ ɒ d ʒ ɛ k t s
projects	p ɹ ə d ʒ ɛ k t s
prolapsion	p ɹ ə ʊ l æ p ʃ ə n
