aba	a b a
ukameňovať	u k a m e ɲ o v a c
ulanbátar	u l a n b aː t a r
úloha	uː l o ɦ a
umelá	u m e l aː
umelé	u m e l eː
umelí	u m e l iː
umelý	u m e l iː
umieráčik	u m i̯ e r aː t͡ʃ i k
úpal	uː p a l
upír	u p iː r
úplatkárstvo	uː p l a t k aː r s t v o
uraninit	u r a n i n i t
uspávanka	u s p aː v a n k a
uterák	u t e r aː k
utilitarizmus	u t i l i t a r i z m u s
uzmout	u z m o u t
uzol	u z o l
uzurpovať	u z u r p o v a c
učeň	u t͡ʃ e ɲ
učiteľ	u t͡ʃ i t e ʎ
učiteľka	u t͡ʃ i t e ʎ k a
učiť	u t͡ʃ i c
úľ	uː ʎ
ušami	u ʃ a m i
uši	u ʃ i
uší	u ʃ iː
ušiam	u ʃ i̯ a m
úžas	uː ʒ a s
úžera	uː ʒ e r a
úžerník	uː ʒ e r n iː k
vaduz	v a d u s
vaječník	v a j e t͡ʃ n iː k
val	v a l
valletta	v a l e t a
vandalizmus	v a n d a l i z m u s
variť	v a r i c
varna	v a r n a
vavrín	v a v r iː n
väz	v ɛ ɐ̯ s
väzeň	v ɛ ɐ̯ z e ɲ
vdova	v d o v a
vdovec	v d o v e t͡s
veda	v e d a
vedách	v e d aː x
vedám	v e d aː m
vedami	v e d a m i
vede	v e d e
vedieť	v e d i̯ e c
vedou	v e d o u
vedu	v e d u
vedy	v e d i
vegetariánstvo	v e ɡ e t a r i aː n s t v o
veka	v e k a
veká	v e k aː
vekách	v e k aː x
vekám	v e k aː m
vekami	v e k a m i
vekmi	v e k m i
vekoch	v e k o x
vekom	v e k o m
vekov	f e k o f
veku	v e k u
veky	v e k i
vemeno	v e m e n o
venezuela	v e n e z u e l a
veno	v e n o
veronika	v e r o ɲ iː k a
vesiel	v e s i̯ e l
veslami	v e s l a m i
vetchý	v e t x iː
veterinárstvo	v e t e r i n aː r s t v o
vetra	v e t r a
vetrami	v e t r a m i
vetre	v e t r e
vetroch	v e t r o x
vetrom	v e t r o m
vetrov	f e t r o f
vetru	v e t r u
vetry	v e t r i
večernica	v e t͡ʃ e r n i t͡s a
veľkohubosť	v e ʎ k o ɦ u b o s c
veľryba	v e ʎ r i b a
veštiť	v e ʃ t i c
video	v i d e o
vidiek	v i ɟ i eː k
vied	v i̯ e t
viek	v i̯ e k
vier	v i̯ e r
vierach	v i̯ e r a x
vieram	v i̯ e r a m
vierami	v i̯ e r a m i
viere	v i̯ e r e
vierohodnosť	v i̯ e r o ɦ o d n o s c
vieru	v i̯ e r u
vietnam	v i̯ e t n a m
viktória	v i k t oː r i̯ a
víla	v iː l a
vincent	v i n t͡s e n t
vinohradníctvo	v i n o ɦ r a d n iː t͡s t v o
vláknica	v l aː k ɲ i t͡s a
vláknice	v l aː k ɲ i t͡s e
vlákno	v l aː k n o
vlažný	v l a ʒ n iː
vĺh	v l̩ː x
vlha	v l̩ ɦ a
vlk	v l̩ k
vlkolak	v l̩ k o l a k
vĺn	v l̩ː n
vltava	v l̩ t a v a
vĺča	v l̩ː t͡ʃ a
vlčica	v l̩ t͡ʃ i t͡s a
vôd	v u̯ o t
vodka	v o t k a
vôdzka	v ʊ̯ ɔ t s k a
vojna	v o j n a
vojny	v o j n i
vokatív	v ɔ k a t iː u̯
volant	v o l a n t
volmi	v o l m i
voloch	v o l o x
volom	v o l o m
von	v o n
vorkoholizmus	v o r k o ɦ o l i z m u s
voľba	v o ʎ b a
vôňa	v u̯ o ɲ a
vrán	v r aː n
vrane	v r a n e
vranou	v r a n o u
vranu	v r a n u
vrany	v r a n i
vraný	v r a n iː
vrása	v r aː s a
vráska	v r aː s k a
vrásnenie	v r aː s n e n i̯ e
vrátanie	v r aː t a n i̯ e
vratič	v r a t i t͡ʃ
vraňou	v r a ɲ o u
vŕb	v r̩ː p
vŕba	v r̩ː b a
vrch	v r̩ x
vrchol	v r̩ x o l
vrh	v r̩ x
vrt	v r̩ t
vrš	v r̩ ʃ
vŕš	v r̩ː ʃ
vtieravý	v t i̯ e r a v iː
vtip	v t i p
vtĺcť	v t l̩ː t͡s c
vulkanológia	v u l k a n o l oː ɡ i̯ a
výber	v iː b e r
výbušnina	v iː b u ʃ n i n a
vydavateľstvo	v i d a v a t e ʎ s t v o
vydediť	v i d e d i c
výhovorka	v iː ɦ o v o r k a
vykonateľnosť	v i k o n a t e ʎ n o s c
vykonateľný	v i k o n a t e ʎ n iː
vyrásť	v i r aː s c
vyrážka	v i r aː ʒ k a
výrečnosť	v iː r e t͡ʃ n o s c
výrobca	v iː r o b t͡s a
vyspelý	v i s p e l iː
vzbudiť	v z b u d i c
wales	v e j l s
wales	u e l s
washington	v o ʃ i n k t o n
whisky	v i s k i
wikipédia	v i k i p eː d i̯ a
windhoek	v i n d ɦ u k
xantipa	k s a n t i p a
xenón	k s e n oː n
xylofón	k s i l o f oː n
xylograf	k s i l o ɡ r a f
yeti	j e t i
ymca	i m k a
yzop	i z o p
zabiť	z a b i c
zábradlie	z aː b r a d l i̯ e
zahojiť	z a ɦ o j i c
zamestnanec	z a m e s t n a n e t͡s
zámožnosť	z aː m o ʒ n o s c
zanedbať	z a n e d b a c
zápalka	z aː p a l k a
zapaľovač	z a p a ʎ o v a t͡ʃ
zápestie	z aː p e s t i̯ e
záplata	z aː p l a t a
zarásť	z a r aː s c
zárez	s aː r e s
zármutok	z aː r m u t o k
zaspať	z a s p a c
závet	z aː v e t
závideniahodný	z aː v i d e n i̯ a ɦ o d n iː
závislosť	z aː v i s l o s c
závislý	z aː v i s l iː
závora	z aː v o r a
závrat	z aː v r a t
zbabelec	z b a b e l e t͡s
zbabelosť	z b a b e l o s c
zbabelý	z b a b e l iː
zem	z e m
zeus	z e u s
zhorenisko	z ɦ o r e n i s k o
zhorieť	z ɦ o r i̯ e c
zima	z i m a
zime	z i m e
zimu	z i m u
zitu	z i t u
zlé	z l eː
zlej	z l e j
zlému	z l eː m u
zliatina	z l i̯ a t i n a
zloch	z l o x
zlocha	z l o x a
zlochová	z l o x o v aː
zlom	z l o m
zlomenina	z l o m ɛ ɲ i n a
zlou	z l o u
zložitý	z l o ʒ i t iː
zlú	z l uː
zlý	z l iː
zmijach	z m i j a x
zmijam	z m i j a m
zmijami	z m i j a m i
zmije	z m i j e
zmiji	z m i j i
zmijí	z m i j iː
zmijou	z m i j o u
zmiju	z m i j u
zmrd	z m r̩ t
zolvica	z o l v i t͡s a
zombi	z o m b i
zombie	z o m b i̯ e
zornica	z o r n i t͡s a
zoženštenosť	z o ʒ e n ʃ t e n o s c
zrelosť	z r e l o s c
zŕn	z r̩ː n
zuba	z u b a
zubami	z u b a m i
zube	z u b e
zubmi	z u b m i
zuboch	z u b o x
zubom	z u b o m
zubov	z u b o f
zubu	z u b u
zverolekárstvo	z v e r o l e k aː r s t v o
ångström	a ŋ k s t r e m
čadič	t͡ʃ a d i t͡ʃ
čajový	t͡ʃ a j o v iː
čajovňa	t͡ʃ a j o v ɲ a
čakáreň	t͡ʃ a k aː r e ɲ
čamorčina	t͡ʃ a m o r t͡ʃ i n a
čandígarh	t͡ʃ a n d iː ɡ a r x
čapík	t͡ʃ a p iː k
čardáš	t͡ʃ a r d aː ʃ
časmi	t͡ʃ a s m i
časoch	t͡ʃ a s o x
časom	t͡ʃ a s o m
časopis	t͡ʃ a s o p i s
časov	t͡ʃ a s o f
častuška	t͡ʃ a s t u ʃ k a
času	t͡ʃ a s u
časy	t͡ʃ a s i
čech	t͡ʃ e x
čecha	t͡ʃ e x a
čechmi	t͡ʃ e x m i
čechoch	t͡ʃ e x o x
čechom	t͡ʃ e x o m
čechov	t͡ʃ e x o f
čechovi	t͡ʃ e x o v i
čechračka	t͡ʃ e x r a t͡ʃ k a
čerebľa	t͡ʃ e r e b ʎ a
čerešňovica	t͡ʃ e r e ʃ ɲ o v i t͡s a
červivý	t͡ʃ e r v i v iː
česať	t͡ʃ e s a c
česi	t͡ʃ e s i
česko	t͡ʃ e s k o
čečensko	t͡ʃ e t͡ʃ e n s k o
čeľabinsk	t͡ʃ e ʎ a b i n s k
čhattísgarh	t͡ʃ x a t iː s ɡ a r x
čias	t͡ʃ i̯ a s
čierna	t͡ʃ i̯ e r n a
čiernohorský	t͡ʃ i̯ e r n o ɦ o r s k iː
čile	t͡ʃ i l e
činka	t͡ʃ i n k a
činný	t͡ʃ i n iː
čkavka	t͡ʃ k a v k a
členstvo	t͡ʃ l e n s t v o
čremcha	t͡ʃ r e m x a
črevný	t͡ʃ r e v n iː
čŕt	t͡ʃ r̩ː t
črtách	t͡ʃ r̩ t aː x
črtám	t͡ʃ r̩ t aː m
črtami	t͡ʃ r̩ t a m i
črte	t͡ʃ r̩ t e
črtou	t͡ʃ r̩ t o u
črtu	t͡ʃ r̩ t u
črty	t͡ʃ r̩ t i
čuch	t͡ʃ u x
čuchový	t͡ʃ u x o v iː
čvíkota	t͡ʃ v iː k o t a
ďakovať	ɟ a k o v a c
ďalekopis	ɟ a l e k o p i s
ďalekozrakosť	ɟ a l e k o z r a k o s c
ďasien	ɟ a s i̯ e n
ďasna	ɟ a s n a
ďasná	ɟ a s n aː
ďasnách	ɟ a s n aː x
ďasnám	ɟ a s n aː m
ďasnami	ɟ a s n a m i
ďasne	ɟ a s n e
ďasno	ɟ a s n o
ďasnom	ɟ a s n o m
ďasnu	ɟ a s n u
ďumbier	ɟ u m b i̯ e r
ďumbierový	ɟ u m b i̯ e r o v iː
ľade	ʎ a d e
ľadom	ʎ a d o m
ľadovec	ʎ a d o v e t͡s
ľadu	ʎ a d u
ľan	ʎ a n
ľubica	ʎ u b i t͡s a
ľúbiť	ʎ uː b i c
ľubľana	ʎ u b ʎ a n a
ľud	ʎ u t
ľudstvo	ʎ u d s t v o
ňom	ɲ o m
ňu	ɲ u
šampiňón	ʃ a m p i ɲ ɔː n
šanghaj	ʃ a n ɡ ɦ a j
šarkan	ʃ a r k a n
šepkať	ʃ e p k a c
šestnásť	ʃ e s t n aː s c
šesť	ʃ e s c
šesťuholník	ʃ e s c u ɦ o l n iː k
šešuľa	ʃ e ʃ u ʎ a
šiesta	ʃ i̯ e s t a
šieste	ʃ i̯ e s t e
šiesti	ʃ i̯ e s t i
šiestu	ʃ i̯ e s t u
šiesty	ʃ i̯ e s t i
šikanovanie	ʃ i k a n o v a n i̯ e
šípa	ʃ iː p a
šípe	ʃ iː p e
šípmi	ʃ iː p m i
šípoch	ʃ iː p o x
šípom	ʃ iː p o m
šípov	ʃ iː p o f
šípu	ʃ iː p u
šípy	ʃ iː p i
škôl	ʃ k u̯ o l
škrabať	ʃ k r a b a c
škriabať	ʃ k r i̯ a b a c
škrkavka	ʃ k r k a ʊ̯ k a
škrt	ʃ k r̩ t
škrtnúť	ʃ k r̩ t n uː c
škvŕn	ʃ k v r̩ː n
šmirgeľ	ʃ m i r ɡ e ʎ
šmrnc	ʃ m r n̩ t͡s
šoférka	ʃ o f eː r k a
šoférovať	ʃ o f eː r o v a c
špička	ʃ p i t͡ʃ k a
šplh	ʃ p l̩ x
šprt	ʃ p r̩ t
štedrosť	ʃ t e d r o s c
štedrý	ʃ t e d r iː
štekať	ʃ t e k a c
štetín	ʃ t e t iː n
štikútať	ʃ t i k uː t a c
štikútka	ʃ t i k uː t k a
štít	ʃ t iː t
štokholm	ʃ t o k ɦ o l m
štrasburg	ʃ t r a s b u r k
štrk	ʃ t r̩ k
štrnásť	ʃ t r n aː s c
štvoruholník	ʃ t v o r u ɦ o l n iː k
štvrtý	ʃ t v r̩ t iː
štvrť	ʃ t v r̩ c
štvrťhrsť	ʃ t v r̩ c ɦ r̩ s c
štyri	ʃ t i r i
štyridsať	ʃ t i r i t͡s a c
šuhaj	ʃ u ɦ a j
šum	ʃ u m
šumný	ʃ u m n iː
šušlať	ʃ u ʃ l a c
švihadlo	ʃ v i ɦ a d l o
šľacha	ʃ ʎ a x a
šťastie	ʃ c a s c i̯ e
šťastný	ʃ c a s t n iː
šťúk	ʃ c uː k
šťuka	ʃ c u k a
šťuke	ʃ c u k e
šťuku	ʃ c u k u
šťuky	ʃ c u k i
ťa	c a
ťarbavý	c a r b a v iː
žabám	ʒ a b aː m
žabe	ʒ a b e
žabou	ʒ a b o u
žabu	ʒ a b u
žaby	ʒ a b i
žaluď	ʒ a l u c
žartovnosť	ʒ a r t o v n o s c
žbŕnd	ʒ b r̩ː n t
žehlička	ʒ e ɦ l i t͡ʃ k a
železnica	ʒ e l e z n i t͡s a
žena	ʒ e n a
ženeva	ʒ e n e v a
ženích	ʒ e n iː x
žiaľ	ʒ i̯ a ʎ
žihľava	ʒ i ɦ ʎ a v a
žíl	ʒ iː l
žile	ʒ i l e
žilina	ʒ i l i n a
žilou	ʒ i l o u
žilu	ʒ i l u
žily	ʒ i l i
život	ʒ i v o t
živočíšnosť	ʒ i v o t͡ʃ iː ʃ n o s c
žízeň	ʒ iː z e ɲ
žlč	ʒ l̩ t͡ʃ
žlčník	ʒ l̩ t͡ʃ n iː k
žlť	ʒ l̩ c
žobrák	ʒ o b r aː k
žoldnier	ʒ o l d n i̯ e r
žralok	ʒ r a l o k
žrď	ʒ r̩ c
žul	ʒ u l
žula	ʒ u l a
žuli	ʒ u l i
žurnalistka	ʒ u r n a l i s t k a
žľaza	ʒ ʎ a z a
