㒒	p ɔ k̚ ⁴
行伍	h a ŋ ² ³ ⁻ ³ ³ ŋ ɔ̃ ⁴ ¹
行使	h i ɪ ŋ ² ³ ⁻ ³ ³ s u ⁴ ¹
行兇	h i ɪ ŋ ² ³ ⁻ ³ ³ h i ɔ ŋ ⁴ ⁴
行刑	h i ɪ ŋ ² ³ ⁻ ³ ³ h i ɪ ŋ ² ³
行列	h a ŋ ² ³ ⁻ ³ ³ l i ɛ t̚ ⁴
行刺	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡sʰ i ² ¹
行劫	h i ɪ ŋ ² ³ ⁻ ³ ³ k i a p̚ ³ ²
行動	h i ɪ ŋ ² ³ ⁻ ³ ³ t ɔ ŋ ³ ³
行動	k i ã ² ³ ⁻ ³ ³ t a ŋ ³ ³
行動電話	h i ɪ ŋ ² ³ ⁻ ³ ³ t ɔ ŋ ³ ³ ⁻ ² ¹ t i ɛ n ³ ³ ⁻ ² ¹ u e ³ ³
行勻	k i ã ² ³ ⁻ ³ ³ u n ² ³
行員	h a ŋ ² ³ ⁻ ³ ³ u a n ² ³
行員	h a ŋ ² ³ ⁻ ³ ³ ɡ u a n ² ³
行商	h i ɪ ŋ ² ³ ⁻ ³ ³ s i ɔ ŋ ⁴ ⁴
行善	h i ɪ ŋ ² ³ ⁻ ³ ³ s i ɛ n ³ ³
行天宮	h i ɪ ŋ ² ³ ⁻ ³ ³ tʰ i ɛ n ⁴ ⁴ ⁻ ³ ³ k i ɔ ŋ ⁴ ⁴
行宮	h i ɪ ŋ ² ³ ⁻ ³ ³ k i ɔ ŋ ⁴ ⁴
行家	h a ŋ ² ³ ⁻ ³ ³ k a ⁴ ⁴
行山	k i ã ² ³ ⁻ ³ ³ s u ã ⁴ ⁴
行徑	h i ɪ ŋ ² ³ ⁻ ³ ³ k i ɪ ŋ ² ¹
行情	h a ŋ ² ³ ⁻ ³ ³ t͡s i ɪ ŋ ² ³
行房	h i ɪ ŋ ² ³ ⁻ ³ ³ p a ŋ ² ³
行房	k i ã ² ³ ⁻ ³ ³ p a ŋ ² ³
行政	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡s i ɪ ŋ ² ¹
行政區	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡s i ɪ ŋ ² ¹ ⁻ ⁴ ¹ kʰ u ⁴ ⁴
行政院	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡s i ɪ ŋ ² ¹ ⁻ ⁴ ¹ ĩ ³ ³
行政院長	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡s i ɪ ŋ ² ¹ ⁻ ⁴ ¹ ĩ ³ ³ ⁻ ² ¹ t i ũ ⁴ ¹
行文	h i ɪ ŋ ² ³ ⁻ ³ ³ b u n ² ³
行星	h i ɪ ŋ ² ³ ⁻ ³ ³ s i ɪ ŋ ⁴ ⁴
行星	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡sʰ ẽ ⁴ ⁴
行星	k i ã ² ³ ⁻ ³ ³ t͡sʰ ẽ ⁴ ⁴
行時	k i ã ² ³ ⁻ ³ ³ s i ² ³
行書	h i ɪ ŋ ² ³ ⁻ ³ ³ s u ⁴ ⁴
行李	h i ɪ ŋ ² ³ ⁻ ³ ³ l i ⁴ ¹
行李箱	h i ɪ ŋ ² ³ ⁻ ³ ³ l i ⁴ ¹ ⁻ ⁴ ⁴ s i ũ ⁴ ⁴
行棋	k i ã ² ³ ⁻ ³ ³ k i ² ³
行業	h a ŋ ² ³ ⁻ ³ ³ ɡ i a p̚ ⁴
行止	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡s i ⁴ ¹
行氣	h i ɪ ŋ ² ³ ⁻ ³ ³ kʰ i ² ¹
行氣	k i ã ² ³ ⁻ ³ ³ kʰ i ² ¹
行氣	k i ã ² ³ ⁻ ³ ³ kʰ u i ² ¹
行江湖	k i ã ² ³ ⁻ ³ ³ k a ŋ ⁴ ⁴ ⁻ ³ ³ ɔ ² ³
行為	h i ɪ ŋ ² ³ ⁻ ³ ³ u i ² ³
行為能力	h i ɪ ŋ ² ³ ⁻ ³ ³ u i ² ³ ⁻ ³ ³ l i ɪ ŋ ² ³ ⁻ ³ ³ l i ɪ k̚ ⁴
行癀	k i ã ² ³ ⁻ ³ ³ h ɔ ŋ ² ³
行省	h i ɪ ŋ ² ³ ⁻ ³ ³ s i ɪ ŋ ⁴ ¹
行短路	k i ã ² ³ ⁻ ³ ³ t e ⁴ ¹ ⁻ ⁴ ⁴ l ɔ ³ ³
行禮	h i ɪ ŋ ² ³ ⁻ ³ ³ l e ⁴ ¹
行禮	k i ã ² ³ ⁻ ³ ³ l e ⁴ ¹
行程	h i ɪ ŋ ² ³ ⁻ ³ ³ t i ɪ ŋ ² ³
行竊	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡sʰ i a p̚ ³ ²
行經	k i ã ² ³ ⁻ ³ ³ k i ɪ ŋ ⁴ ⁴
行者	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡s i a ⁴ ¹
行腳	k i ã ² ³ ⁻ ³ ³ kʰ a ⁴ ⁴
行船	k i ã ² ³ ⁻ ³ ³ t͡s u n ² ³
行船討海三分命	k i ã ² ³ ⁻ ³ ³ t͡s u n ² ³ ⁻ ³ ³ tʰ ɤ ⁴ ¹ ⁻ ⁴ ⁴ h a i ⁴ ¹ ⁻ ⁴ ⁴ s ã ⁴ ⁴ ⁻ ³ ³ h u n ⁴ ⁴ ⁻ ³ ³ m i ã ³ ³
行規	h a ŋ ² ³ ⁻ ³ ³ k u i ⁴ ⁴
行賄	h i ɪ ŋ ² ³ ⁻ ³ ³ h u e ² ¹
行走	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡s ɔ ⁴ ¹
行走	k i ã ² ³ ⁻ ³ ³ t͡s a u ⁴ ¹
行跡	k i ã ² ³ ⁻ ³ ³ z i a ʔ ³ ²
行路	k i ã ² ³ ⁻ ³ ³ l ɔ ³ ³
行踏	k i ã ² ³ ⁻ ³ ³ t a ʔ ⁴
行蹤	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡s ɔ ŋ ⁴ ⁴
行車	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡sʰ i a ⁴ ⁴
行軍	h i ɪ ŋ ² ³ ⁻ ³ ³ k u n ⁴ ⁴
行透透	k i ã ² ³ ⁻ ³ ³ tʰ a u ² ¹ ⁻ ⁴ ¹ tʰ a u ² ¹
行進	h i ɪ ŋ ² ³ ⁻ ³ ³ t͡s i n ² ¹
行運	k i ã ² ³ ⁻ ³ ³ u n ² ³
行道樹	h i ɪ ŋ ² ³ ⁻ ³ ³ t ɤ ³ ³ ⁻ ² ¹ t͡sʰ i u ³ ³
行銷	h i ɪ ŋ ² ³ ⁻ ³ ³ s i a u ⁴ ⁴
行頭	h i ɪ ŋ ² ³ ⁻ ³ ³ tʰ a u ² ³
行駛	h i ɪ ŋ ² ³ ⁻ ³ ³ s u ⁴ ¹
行騙	h i ɪ ŋ ² ³ ⁻ ³ ³ pʰ i ɛ n ² ¹
衍	i ɛ n ⁴ ¹
衍生	i ɛ n ⁴ ¹ ⁻ ⁴ ⁴ s i ɪ ŋ ⁴ ⁴
術	s u t̚ ⁴
術仔	s u t̚ ⁴ ⁻ ³ ² a ⁴ ¹
術士	s u t̚ ⁴ ⁻ ³ ² s u ³ ³
術語	s u t̚ ⁴ ⁻ ³ ² ɡ i ⁴ ¹
衕	t ɔ ŋ ² ¹
街	k e ⁴ ⁴
街仔	k e ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹
街仔路	k e ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ l ɔ ³ ³
街市	k e ⁴ ⁴ ⁻ ³ ³ t͡sʰ i ³ ³
街景	k e ⁴ ⁴ ⁻ ³ ³ k i ɪ ŋ ⁴ ¹
街景	k u e ⁴ ⁴ ⁻ ³ ³ k i ɪ ŋ ⁴ ¹
街舞	k e ⁴ ⁴ ⁻ ³ ³ b u ⁴ ¹
街路	k e ⁴ ⁴ ⁻ ³ ³ l ɔ ³ ³
街頂	k e ⁴ ⁴ ⁻ ³ ³ t i ɪ ŋ ⁴ ¹
街頭	k e ⁴ ⁴ ⁻ ³ ³ tʰ a u ² ³
衙	ɡ e ² ³
衙門	ɡ e ² ³ ⁻ ³ ³ m ŋ̍ ² ³
衚	h ɔ ² ³
衚	ɔ ² ³
衛	u e ³ ³
衛	u i ³ ³
衛兵	u e ³ ³ ⁻ ² ¹ p i ɪ ŋ ⁴ ⁴
衛兵	u i ³ ³ ⁻ ² ¹ p i ɪ ŋ ⁴ ⁴
衛冕	u e ³ ³ ⁻ ² ¹ b i ɛ n ⁴ ¹
衛星	u e ³ ³ ⁻ ² ¹ t͡sʰ ẽ ⁴ ⁴
衛星	u i ³ ³ ⁻ ² ¹ t͡sʰ ẽ ⁴ ⁴
衛生	u e ³ ³ ⁻ ² ¹ s i ɪ ŋ ⁴ ⁴
衛生	u i ³ ³ ⁻ ² ¹ s i ɪ ŋ ⁴ ⁴
衛生所	u e ³ ³ ⁻ ² ¹ s i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ s ɔ ⁴ ¹
衛生棉	u e ³ ³ ⁻ ² ¹ s i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ m ĩ ² ³
衛生紙	u e ³ ³ ⁻ ² ¹ s i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ t͡s u a ⁴ ¹
衛生紙	u i ³ ³ ⁻ ² ¹ s i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ t͡s u a ⁴ ¹
衛生衣	u e ³ ³ ⁻ ² ¹ s i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ i ⁴ ⁴
衛道	u e ³ ³ ⁻ ² ¹ t ɤ ³ ³
衛隊	u e ³ ³ ⁻ ² ¹ t u i ³ ³
衝	t͡s i ɪ ŋ ⁴ ⁴
衝	t͡sʰ i a ŋ ³ ³
衝	t͡sʰ i ɔ ŋ ⁴ ⁴
衝	t͡sʰ i ɪ ŋ ² ¹
衝動	t͡sʰ i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ t ɔ ŋ ³ ³
衝撞	t͡sʰ i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ t ŋ̍ ³ ³
衝擊	t͡sʰ i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ k i ɪ k̚ ³ ²
衝破	t͡sʰ i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ pʰ u a ² ¹
衝突	t͡sʰ i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ t u t̚ ⁴
衝紅燈	t͡sʰ i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ a ŋ ² ³ ⁻ ³ ³ t i ɪ ŋ ⁴ ⁴
衝鋒	t͡sʰ i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴
衝鋒陷陣	t͡sʰ i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴ ⁻ ³ ³ h a m ³ ³ ⁻ ² ¹ t i n ³ ³
衡	h i ɪ ŋ ² ³
衡量	h i ɪ ŋ ² ³ ⁻ ³ ³ l i ɔ ŋ ³ ³
衢	k u ² ³
衢州	k u ² ³ ⁻ ³ ³ t͡s i u ⁴ ⁴
衣	i ² ¹
衣	i ⁴ ⁴
衣	u i ⁴ ⁴
衣冠	i ⁴ ⁴ ⁻ ³ ³ k u a n ⁴ ⁴
衣字爿	i ⁴ ⁴ ⁻ ³ ³ z i ³ ³ ⁻ ² ¹ p i ɪ ŋ ² ³
衣帶	u i ⁴ ⁴ ⁻ ³ ³ t u a ² ¹
衣服	i ⁴ ⁴ ⁻ ³ ³ h ɔ k̚ ⁴
衣物	i ⁴ ⁴ ⁻ ³ ³ b u t̚ ⁴
衣箱	i ⁴ ⁴ ⁻ ³ ³ s i ũ ⁴ ⁴
衣缽	i ⁴ ⁴ ⁻ ³ ³ p u a t̚ ³ ²
衣裙	i ⁴ ⁴ ⁻ ³ ³ k u n ² ³
衣裳	i ⁴ ⁴ ⁻ ³ ³ t͡s i ũ ² ³
衣錦還鄉	i ⁴ ⁴ ⁻ ³ ³ ɡ i m ⁴ ¹ ⁻ ⁴ ⁴ h u a n ² ³ ⁻ ³ ³ h i ɔ ŋ ⁴ ⁴
衣食	i ⁴ ⁴ ⁻ ³ ³ s i t̚ ⁴
衣食	u i ⁴ ⁴ ⁻ ³ ³ s i t̚ ⁴
表	p i a u ⁴ ¹
表	p i ɤ ⁴ ¹
表兄	p i a u ⁴ ¹ ⁻ ⁴ ⁴ h i ã ⁴ ⁴
表兄弟	p i a u ⁴ ¹ ⁻ ⁴ ⁴ h i ã ⁴ ⁴ ⁻ ³ ³ t i ³ ³
表叔	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t͡s i ɪ k̚ ³ ²
表哥	p i a u ⁴ ¹ ⁻ ⁴ ⁴ k ɤ ⁴ ⁴
表妹	p i a u ⁴ ¹ ⁻ ⁴ ⁴ m u ẽ ³ ³
表姊	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t͡s e ⁴ ¹
表姊	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t͡s i ⁴ ¹
表姊妹	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t͡s i ⁴ ¹ ⁻ ⁴ ⁴ m u ẽ ³ ³
表姐	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t͡s e ⁴ ¹
表姪	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t i t̚ ⁴
表小妹	p i a u ⁴ ¹ ⁻ ⁴ ⁴ s i ɤ ⁴ ¹ ⁻ ⁴ ⁴ m u ẽ ³ ³
表小弟	p i a u ⁴ ¹ ⁻ ⁴ ⁴ s i ɤ ⁴ ¹ ⁻ ⁴ ⁴ t i ³ ³
表層	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t͡s a n ² ³
表弟	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t e ³ ³
表彰	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t͡s i ɔ ŋ ⁴ ⁴
表情	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t͡s i ɪ ŋ ² ³
表態	p i a u ⁴ ¹ ⁻ ⁴ ⁴ tʰ a i ² ¹
表揚	p i a u ⁴ ¹ ⁻ ⁴ ⁴ i ɔ ŋ ² ³
表明	p i a u ⁴ ¹ ⁻ ⁴ ⁴ b i ɪ ŋ ² ³
表格	p i a u ⁴ ¹ ⁻ ⁴ ⁴ k e ʔ ³ ²
表格	p i ɤ ⁴ ¹ ⁻ ⁴ ⁴ k e ʔ ³ ²
表樣	p i a u ⁴ ¹ ⁻ ⁴ ⁴ i ũ ³ ³
表汗	p i a u ⁴ ¹ ⁻ ⁴ ⁴ h a n ³ ³
表決	p i a u ⁴ ¹ ⁻ ⁴ ⁴ k u a t̚ ³ ²
表演	p i a u ⁴ ¹ ⁻ ⁴ ⁴ i ɛ n ⁴ ¹
表演賽	p i a u ⁴ ¹ ⁻ ⁴ ⁴ i ɛ n ⁴ ¹ ⁻ ⁴ ⁴ s a i ² ¹
表率	p i a u ⁴ ¹ ⁻ ⁴ ⁴ s u a i ² ¹
表率	p i a u ⁴ ¹ ⁻ ⁴ ⁴ s u t̚ ³ ²
表現	p i a u ⁴ ¹ ⁻ ⁴ ⁴ h i ɛ n ³ ³
表白	p i a u ⁴ ¹ ⁻ ⁴ ⁴ p i ɪ k̚ ⁴
表皮	p i a u ⁴ ¹ ⁻ ⁴ ⁴ pʰ u e ² ³
表示	p i a u ⁴ ¹ ⁻ ⁴ ⁴ s i ³ ³
表親	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i n ⁴ ⁴
表象	p i a u ⁴ ¹ ⁻ ⁴ ⁴ s i ɔ ŋ ³ ³
表達	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t a t̚ ⁴
表露	p i a u ⁴ ¹ ⁻ ⁴ ⁴ l ɔ ³ ³
表面	p i a u ⁴ ¹ ⁻ ⁴ ⁴ b i n ³ ³
表面	p i a u ⁴ ¹ ⁻ ⁴ ⁴ b i ɛ n ³ ³
表音文字	p i a u ⁴ ¹ ⁻ ⁴ ⁴ i m ⁴ ⁴ ⁻ ³ ³ b u n ² ³ ⁻ ³ ³ l i ³ ³
表音文字	p i a u ⁴ ¹ ⁻ ⁴ ⁴ i m ⁴ ⁴ ⁻ ³ ³ b u n ² ³ ⁻ ³ ³ z i ³ ³
衫	s a m ⁴ ⁴
衫	s ã ⁴ ⁴
衫仔弓	s ã ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ k i ɪ ŋ ⁴ ⁴
衫仔架	s ã ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ k e ² ¹
衫仔櫥	s ã ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ t u ² ³
衫仔裾	s ã ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ k i ⁴ ⁴
衫仔褲	s ã ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ kʰ ɔ ² ¹
衫仔領	s ã ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ n i ã ⁴ ¹
衫弓仔	s ã ⁴ ⁴ ⁻ ³ ³ k i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹
衫短褲闊人矮鼻直	s ã ⁴ ⁴ t e ⁴ ¹ kʰ ɔ ² ¹ kʰ u a ʔ ³ ² l a ŋ ² ³ e ⁴ ¹ pʰ ĩ ³ ³ t i t̚ ⁴
衫褲	s ã ⁴ ⁴ ⁻ ³ ³ kʰ ɔ ² ¹
衫領	s ã ⁴ ⁴ ⁻ ³ ³ n i ã ⁴ ¹
衰	s u e ⁴ ⁴
衰䆀	s u e ⁴ ⁴ ⁻ ³ ³ b a i ⁴ ¹
衰人	s u e ⁴ ⁴ ⁻ ³ ³ l a ŋ ² ³
衰弱	s u e ⁴ ⁴ ⁻ ³ ³ z i ɔ k̚ ⁴
衰微	s u e ⁴ ⁴ ⁻ ³ ³ b i ² ³
衰敗	s u e ⁴ ⁴ ⁻ ³ ³ p a i ³ ³
衰潲	s u e ⁴ ⁴ ⁻ ³ ³ s i a u ² ³
衰落	s u e ⁴ ⁴ ⁻ ³ ³ l ɤ ʔ ⁴
衰退	s u e ⁴ ⁴ ⁻ ³ ³ tʰ e ² ¹
衰退	s u e ⁴ ⁴ ⁻ ³ ³ tʰ u e ² ¹
衷	t i ɔ ŋ ⁴ ⁴
衷	tʰ i ɔ ŋ ⁴ ⁴
衷心	tʰ i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ s i m ⁴ ⁴
衾	kʰ i m ⁴ ⁴
袁	u a n ² ³
袂	b e ³ ³
袂	ŋ̍ ⁴ ¹
袂博假博	b e ³ ³ ⁻ ² ¹ pʰ ɔ k̚ ³ ² ⁻ ⁴ k e ⁴ ¹ ⁻ ⁴ ⁴ pʰ ɔ k̚ ³ ²
袂合	b e ³ ³ ⁻ ² ¹ h a ʔ ⁴
袂赴	b e ³ ³ ⁻ ² ¹ h u ² ¹
袈	k a ⁴ ⁴
袈裟	k a ⁴ ⁴ ⁻ ³ ³ s e ⁴ ⁴
袋	t a i ³ ³
袋	t e ³ ³
袋仔	t e ³ ³ a ⁴ ¹
袋鼠	t a i ² ¹ ⁻ ⁴ ¹ s u ² ³
袋鼠	t a i ³ ³ ⁻ ² ¹ t͡sʰ i ⁴ ¹
袋鼠	t e ³ ³ ⁻ ² ¹ t͡sʰ i ⁴ ¹
袍	p a u ² ³
袍	p ɔ ² ³
袍	pʰ a u ² ³
袍	pʰ a u ² ¹
袍澤	pʰ a u ² ¹ ⁻ ⁴ ¹ t i ɪ k̚ ⁴
袒	tʰ a n ⁴ ¹
袖	s i u ² ¹
袖	s i u ³ ³
袖	ŋ̍ ⁴ ¹
袖手旁觀	s i u ³ ³ ⁻ ² ¹ t͡sʰ i u ⁴ ¹ ⁻ ⁴ ⁴ p ɔ ŋ ² ³ ⁻ ³ ³ k u a n ⁴ ⁴
袚	pʰ u a ʔ ⁴
袚鏈	pʰ u a ʔ ⁴ ⁻ ² ¹ l i ɛ n ³ ³
袚鏈	pʰ u a ⁴ ⁻ ² ¹ l i ɛ n ³ ³
袞	k u n ⁴ ¹
被	p i ³ ³
被	pʰ u e ³ ³
被俘	p i ³ ³ ⁻ ² ¹ h u ² ³
被加數	p i ³ ³ ⁻ ² ¹ k a ⁴ ⁴ ⁻ ³ ³ s ɔ ² ¹
被動	p i ³ ³ ⁻ ² ¹ t ɔ ŋ ³ ³
被包	pʰ u e ³ ³ ⁻ ² ¹ p a u ⁴ ⁴
被告	p i ³ ³ ⁻ ² ¹ k ɤ ² ¹
被單	pʰ u e ³ ³ ⁻ ² ¹ t u ã ⁴ ⁴
被囊	pʰ u e ³ ³ ⁻ ² ¹ l ɔ ŋ ² ³
被害	p i ³ ³ ⁻ ² ¹ h a i ³ ³
被害人	p i ³ ³ ⁻ ² ¹ h a i ³ ³ ⁻ ² ¹ z i n ² ³
被害者	p i ³ ³ ⁻ ² ¹ h a i ³ ³ ⁻ ² ¹ t͡s i a ⁴ ¹
被迫	p i ³ ³ ⁻ ² ¹ p i ɪ k̚ ³ ²
被選舉權	p i ³ ³ ⁻ ² ¹ s u a n ⁴ ¹ ⁻ ⁴ ⁴ k i ⁴ ¹ ⁻ ⁴ ⁴ k u a n ² ³
袱	h ɔ k̚ ⁴
裁	t͡sʰ a i ² ³
裁併	t͡sʰ a i ² ³ ⁻ ³ ³ p i ɪ ŋ ² ¹
裁判	t͡sʰ a i ² ³ ⁻ ³ ³ pʰ u ã ² ¹
裁判官	t͡sʰ a i ² ³ ⁻ ³ ³ pʰ u ã ² ¹ ⁻ ⁴ ¹ k u ã ⁴ ⁴
裁剪	t͡sʰ a i ² ³ ⁻ ³ ³ t͡s i ɛ n ⁴ ¹
裁員	t͡sʰ a i ² ³ ⁻ ³ ³ u a n ² ³
裁奪	t͡sʰ a i ² ³ ⁻ ³ ³ t u a t̚ ³ ²
裁奪	t͡sʰ a i ² ³ ⁻ ³ ³ t u a t̚ ⁴
裁定	t͡sʰ a i ² ³ ⁻ ³ ³ t i ɪ ŋ ³ ³
裁撤	t͡sʰ a i ² ³ ⁻ ³ ³ tʰ i ɛ t̚ ³ ²
裁斷	t͡sʰ a i ² ³ ⁻ ³ ³ t u a n ² ¹
裁斷	t͡sʰ a i ² ³ ⁻ ³ ³ t u a n ³ ³
裁決	t͡sʰ a i ² ³ ⁻ ³ ³ k u a t̚ ³ ²
裁減	t͡sʰ a i ² ³ ⁻ ³ ³ k i a m ⁴ ¹
裁示	t͡sʰ a i ² ³ ⁻ ³ ³ s i ³ ³
裁縫	t͡s a i ² ³ ⁻ ³ ³ h ɔ ŋ ² ³
裁縫	t͡sʰ a i ² ³ ⁻ ³ ³ h ɔ ŋ ² ³
裁縫店	t͡sʰ a i ² ³ ⁻ ³ ³ h ɔ ŋ ² ³ ⁻ ³ ³ t i a m ² ¹
裁縫車	t͡s a i ² ³ ⁻ ³ ³ h ɔ ŋ ² ³ ⁻ ³ ³ t͡sʰ i a ⁴ ⁴
裁縫車	t͡sʰ a i ² ³ ⁻ ³ ³ h ɔ ŋ ² ³ ⁻ ³ ³ t͡sʰ i a ⁴ ⁴
裁處	t͡sʰ a i ² ³ ⁻ ³ ³ t͡sʰ u ² ¹
裁軍	t͡sʰ a i ² ³ ⁻ ³ ³ k u n ⁴ ⁴
裂	l i ɛ t̚ ⁴
裂	l i ʔ ⁴
裂痕	l i ɛ t̚ ⁴ ⁻ ³ ² h u n ² ³
裂痕	l i ʔ ⁴ ⁻ ² ¹ h u n ² ³
裂痕	l i ⁴ ⁻ ² ¹ h u n ² ³
裂縫	l i ʔ ⁴ ⁻ ² ¹ pʰ a ŋ ³ ³
裂縫	l i ⁴ ⁻ ² ¹ pʰ a ŋ ³ ³
裂開	l e ʔ ⁴ ⁻ ² ¹ kʰ u i ⁴ ⁴
裂開	l e ⁴ ⁻ ² ¹ kʰ u i ⁴ ⁴
裂開	l i a ³ ² ⁻ ⁴ ¹ kʰ u i ⁴ ⁴
裂開	l i a ʔ ³ ² ⁻ ⁴ ¹ kʰ u i ⁴ ⁴
裂開	l i ʔ ⁴ ⁻ ² ¹ kʰ u i ⁴ ⁴
裂開	l i ⁴ ⁻ ² ¹ kʰ u i ⁴ ⁴
裂隙	l i a ³ ² ⁻ ⁴ ¹ kʰ i a ʔ ³ ²
裂隙	l i a ʔ ³ ² ⁻ ⁴ ¹ kʰ i a ʔ ³ ²
裊	n i ã u ⁴ ¹
裔	e ² ¹
裔	i ² ¹
裔孫	e ² ¹ ⁻ ⁴ ¹ s u n ⁴ ⁴
裕	z u ³ ³
裘	h i u ² ³
裘	k i u ² ³
裘仔	h i u ² ³ ⁻ ³ ³ a ⁴ ¹
裙	k u n ² ³
裙帶	k u n ² ³ ⁻ ³ ³ t u a ² ¹
裙裾	k u n ² ³ ⁻ ³ ³ k i ⁴ ⁴
補	p ɔ ⁴ ¹
補䋎	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ tʰ ĩ ³ ³
補休	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ s i u ⁴ ⁴
補修	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ s i u ⁴ ⁴
補假	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ k a ⁴ ¹
補償	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ s i ɔ ŋ ² ³
補償	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ s i ɔ ŋ ⁴ ¹
補充	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i ɔ ŋ ⁴ ⁴
補冬	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ t a ŋ ⁴ ⁴
補助	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ t͡s ɔ ³ ³
補品	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ pʰ i n ⁴ ¹
補救	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ k i u ² ¹
補正	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ t͡s i ɪ ŋ ² ¹
補漏	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ l a u ³ ³
補發	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ h u a t̚ ³ ²
補給	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ k i p̚ ³ ²
補缺	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ kʰ u e ʔ ³ ²
補習	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ s i p̚ ⁴
補習班	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ s i p̚ ⁴ ⁻ ³ ² p a n ⁴ ⁴
補考	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ kʰ ɤ ⁴ ¹
補腎	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ s i n ³ ³
補藥	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ i ɤ ʔ ⁴
補血	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ h i ɛ t̚ ³ ²
補血	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ h u e ʔ ³ ²
補課	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ kʰ ɤ ² ¹
補貨	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ h u e ² ¹
補貼	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ tʰ i a p̚ ³ ²
