't	t
offälleg	o f f æ l ə ɕ
ofginn	oː f ɡ i n
Oflaf	o f l aː f
oflafen	o f l aː f ə n
Ofleef	o f l eː f
ofleeën	oː f l eː ə n
ofschafen	oː f ʃ aː f ə n
ofschléissen	o f ʃ l ɜ ɪ̯ s ə n
ofsetzen	oː v z æ t s ə n
ofspriechen	oː f ʃ p ʀ i ə̯ χ e n
Ofstamung	o f ʃ t aː m u ŋ
Oliv	o l iː f
Olivenueleg	o l iː v e n u e̯ l e χ
onbaarmhäerzeg	o n b aː ʀ m h eː ʀ t͡s e χ
Onbaarmhäerzegkeet	o n b aː m h ɛː ə̯ t͡s ə ɕ k e t
onbedéngt	o n b ə d e ŋ t
onerwaart	o n ɐ v aː χ t
onerwaart	o n ɐ v aː t
Ongedold	o n ɡ ə d o l t
Ongléck	o ŋ ɡ l e k
ongutt	o n ɡ u t
Onkraut	o ŋ k ʀ æː ʊ̯ t
onnatierlech	o n n a t iː ʀ l e χ
Onrecht	o n ʀ æ ɕ t
Onuerdnung	o n uː ə̯ d n u ŋ
onverfälscht	o n f ɐ f æ l ʃ t
Oochen	oː χ e n
ootmen	oː t m ə n
Ootmung	oː t m u ŋ
op	o p
operstoen	o p ɐ ʃ t oː ə n
opfaassen	o p f aː s ə n
Opfaassung	o p f aː s u ŋ
opféieren	o p f ɜ ɪ ə ʀ ə n
oppen	o p ə n
opreegen	o p ʀ eː ʁ e n
Oprou	o p ʀ ə ʊ̯
Opsaz	o p z aː t͡s
opschloen	o p ʃ l oː ə n
opschléissen	o p ʃ l ɜ ɪ̯ s ə n
opsetzen	o b z æ t s ə n
optrieden	o p t ʀ i ə̯ d ə n
Optrieden	o p t ʀ i ə̯ d ə n
Optrëtt	o p t ʀ ə t
opwéckelen	o b v e k ə l ə n
orange	o ʁ ɑ̃ː ʃ
Orange	o ʁ ɑ̃ː ʃ
Orangëbam	o ʁ ɑ̃ː ʃ ə b aː m
Orientéierungslaf	o ʀ j ə n t ɜ ɪ̯ ə ʀ u ŋ z l aː f
Origine	o ʀ i ʒ i n
Osten	o s t ə n
Otem	oː t ə m
Owend	oː v ə n t
Owendiessen	oː v ə n d i ə̯ s ə n
ower	oː v ɐ
owes	oː v ə s
Ozean	oː t͡s e aː n
paakt	p aː k t
Paangech	p aː ŋ e χ
Pabeier	p ɑ b ɜ ɪ̯ ɐ
Pad	p aː t
Paf	p aː f
paff	p ɑ f
Pai	p ɑ ɪ̯
pak	p aː k
Pak	p aː k
paken	p aː k ə n
Palais	p ɑ l eː
Pampelmousse	p ɑ m p ə l m u s
Pampelmuss	p ɑ m p ə l m u s
Pan	p aː n
Pand	p ɑ n t
Pandemie	p ɑ n d e m iː
Panech	p aː n e χ
Panewippchen	p aː n ə v i p ɕ ə n
Pankech	p ɑ ŋ k e χ
Pankuch	p aː ŋ k u χ
Pann	p ɑ n
Panz	p ɑ n t͡s
Panéil	p ɑ n ɜ ɪ l
Pap	p aː p
Papagei	p ɑ p ɑ ɡ ɑ ɪ̯
Papp	p ɑ p
Paprika	p ɑ p ʀ i k aː
Par	p aː r
Parréck	p ɑ ʀ e k
Parzell	p a ʁ t s æ l
Paschtouer	p ɑ ʃ t ə ʊ̯ ɐ
Pass	p ɑ s
passen	p ɑ s ə n
Passiounsfruucht	p ɑ s j ə ʊ̯ n s f ʁ uː χ t
Patent	p ɑ t æ n t
Pawee	p ɑ v eː
paweeën	p ɑ v eː ə n
Pech	p æ ɕ
Pechband	p æ ʑ b ɑ n t
Pechbänner	p æ ʑ b æ n ɐ
pechen	p æ χ e n
Pedagogik	p eː d a ɡ o ʒ iː k
peeks	p eː k s
peekt	p eː k t
Peepst	p eː p s t
Peffer	p æ f ɐ
Peffermënz	p æ f ɐ m ə n t͡s
Peiler	p a i̯ l e r
Pennek	p æ n e k
pennen	p æ n ə n
Personal	p æ ʀ z o n aː l
Persoun	p e r z e u̯ n
perséinlech	p e r z e i̯ n l e χ
Pescht	p æ ʃ t
Peschtvull	p æ ʃ t f u l
Phar	f aː ʀ
Phas	f aː s
Physik	f i z i k
Piipsert	p iː p s ɐ t
Piisch	p iː ʃ
Pijen	p iː ʒ ə n
Pilger	p i l ʑ ɐ
Pilgerfaart	p i l ʑ ɐ f aː χ t
Pill	p i l
Pimpampel	p i m p ɑ m p ə l
Pinguin	p i ŋ ɡ u iː n
Pissblumm	p i z b l u m
Pistoul	p i s t ə ʊ̯ l
Piwitsch	p iː v i t͡ʃ
Pizzasdeeg	p i t s aː s d eː ɕ
Plafong	p l ɑ f o ŋ
Plage	p l aː ʃ
Plang	p l ɑ ŋ
plangen	p l ɑ ŋ ə n
Planz	p l ɑ n t s
Plastik	p l ɑ s t iː k
platt	p l ɑ t
Plaum	p l a u̯ m
plazeweis	p l aː t͡s ə v ɑ ɪ̯ s
plo	p l oː
Plo	p l oː
ploen	p l oː e n
Plomm	p l o m
Plott	p l o t
Plou	p l e u̯
Pluriel	p l u ʀ i ə̯ l
Pluriel	p l u ʀ i æ l
plädéieren	p l æ d ɜ ɪ̯ ə ʀ ə n
Pläng	p l æ ŋ
plëmmen	p l ə m ə n
plënneren	p l ə n ə ʀ ə n
plécken	p l e k ə n
Poker	p oː k ɐ
Pol	p oː l
Polarbier	p oː l aː b i ə̯
Polen	p oː l ə n
Police	p o l i s
Politiker	p o l i t i k ɐ
Polizist	p o l i t͡s i s t
Polizistin	p o l i t͡s i s t i n
Polver	p o l f e r
Polver	p o l v e r
Pompjeesgefier	p o m p j eː z ɡ ə f iː ə̯
Pond	p o n t
Poopst	p oː p s t
Popp	p o p
Por	p oː r
Pornographie	p o ʁ n o ɡ ʁ a f iː
Porrett	p o ʀ æ t
Portal	p o χ t aː l
Portier	p o ʀ t j eː
Portmonni	p o χ t m o n i
Posch	p o ʃ
Post	p o s t
Pouk	p ə ʊ̯ k
Poul	p ə ʊ̯ l
Pout	p ə ʊ̯ t
Praff	p ʀ ɑ f
praffen	p ʀ ɑ f ə n
Praum	p ʀ a u̯ m
prett	p ʀ æ t
priedegen	p ʀ i ə̯ d e ʁ e n
Priedeger	p ʀ i ə̯ d e ʁ e ʀ
Priedegt	p ʀ i ə̯ d e χ t
Primmel	p ʀ i m ə l
Prisong	p r i z ɔ ŋ
pro	p ʀ oː
Problem	p ʁ o b l æ m
Programm	p ʀ o ɡ ʀ ɑ m
Promenad	p ʀ o m ə n aː t
Promm	p ʀ o m
propper	p ʀ o p ɐ
Prouf	p ʀ ə ʊ̯ f
Provënz	p ʁ oː v ə n t͡s
Pruecht	p r u e̯ χ t
Präis	p ʀ æː ɪ̯ s
Publikatioun	p u b l i k ɑ s j ə ʊ̯ n
puer	p u ɐ̯
Puer	p u ɐ
Pull	p u l
Punkt	p ʊ ŋ k t
Puppelchen	p u p e l χ e n
Päerd	p eː r t
Päerdsbier	p eː r t s b iː r
Päerdscourse	p ɛː ə̯ t s k u ʀ s
Päif	p æː ɪ̯ f
päifen	p æː ɪ̯ f ə n
Päifint	p æː ɪ̯ v i n t
Päinetsch	p æː ɪ̯ n ə t͡ʃ
Päiperlek	p æː ɪ̯ p ɐ l e k
Pällem	p æ l ə m
Pärel	p ɛː ʀ ə l
Pëll	p e l
Pëppel	p ə p ə l
pësperen	p ə s p ə ʀ ə n
Pëtz	p e t s
Péil	p ɜ ɪ̯ l
Péis	p ɜ ɪ̯ s
Péng	p e ŋ
Quecksëlwer	k v æ k z e l v e ʀ
Quell	k v æ l
Quetsch	k v æ t ʃ
quiitschen	k v iː t ʃ ə n
quëllen	k v e l e n
raachen	ʀ aː χ ə n
raaft	ʀ aː f t
rabbelen	ʀ ɑ b ə l ə n
Rack	r a k
Rad	r aː t
Radio	ʀ aː d j o
Radioaktivitéit	ʀ aː d j o ɑ k t i v i t ɜ ɪ̯ t
Radiowell	ʀ aː d j oː v æ l
raf	ʀ aː f
Raf	ʀ aː f
rafen	r aː f e n
Raim	r a i̯ m
Rakéit	ʀ ɑ k ɜ ɪ̯ t
Ram	ʀ aː m
Ramm	ʀ ɑ m
Rampli	ʀ ɑ m p l i
Rand	ʀ ɑ n t
Rank	ʀ ɑ ŋ k
Rapfen	ʀ ɑ p f ə n
Rapp	ʀ ɑ p
rappen	ʀ ɑ p ə n
raschten	ʀ ɑ ʃ t ə n
Rass	ʀ ɑ s
Rat	r aː t
rau	r æ u̯
Raum	r æ u̯ m
raumen	ʀ ɑ ʊ̯ m ə n
Raup	ʀ æː ʊ̯ p
Raut	r æ u̯ t
Rauten	r æ u̯ t e n
Realisatioun	ʀ e ɑ l i z ɑ s j ə ʊ̯ n
rechnen	ʀ æ ɕ n ə n
Recht	ʀ æ ɕ t
Rechteck	ʀ æ ɕ t æ k
rechtlech	ʀ æ χ t l e χ
rechtwénkleg	ʀ æ ʑ d v e ŋ k l ə ɕ
Reck	ʀ æ k
Reebou	r eː b e u̯
Reeboufrell	ʀ eː b ə ʊ̯ f ʀ æ l
Reebéi	ʀ eː b ɜ ɪ̯
Reef	ʀ eː f
reefs	ʀ eː f s
reeft	ʀ eː f t
Reegel	r eː ʁ e l
Reemantel	ʀ eː m ɑ n t ə l
Reemäntel	ʀ eː m æ n t ə l
Reen	ʀ eː n
Reendrëps	ʀ eː n d ʀ ə p s
reenen	ʀ eː n ə n
Rees	ʀ eː s
rees	ʀ eː s
Reeschauer	ʀ eː ʃ ɑ ʊ̯ ɐ
reesen	ʀ eː z ə n
reest	ʀ eː s t
Reewaasser	r eː v aː s e r
Reewierm	ʀ eː v iː ə̯ m
Reewollek	ʀ eː v o l e k
Reewuerm	ʀ eː v uː ə̯ m
reflexiv	ʀ ə f l æ k s iː f
Rei	ʀ ɑ ɪ̯
reiden	ʀ ɑ ɪ̯ d ə n
Reider	ʀ ɑ ɪ̯ d ɐ
reien	ʀ ɑ ɪ̯ ə n
reifs	ʀ ɑ ɪ̯ f s
reit	ʀ ɑ ɪ̯ t
reits	ʀ ɑ ɪ̯ t s
reiwen	ʀ ɑ ɪ v ə n
Rekolt	ʀ e k o l t
Rendéier	ʀ æ n d ɜ ɪ̯ ɐ
reng	ʀ æ ŋ
rengegen	ʀ æ ŋ e ʁ e n
rennen	ʀ æ n ə n
residéieren	ʀ æ z i d ɜ ɪ̯ ə ʀ ə n
retten	ʀ æ t ə n
Revolutioun	ʀ e v o l u s j ə ʊ̯ n
Rhäin	r æ i̯ n
Ribb	ʀ i p
richen	ʀ i ɕ ə n
richteg	r i χ t e χ
Ridd	ʀ i t
Rido	ʀ iː d oː
Ried	ʀ i ə t
Riedelen	ʀ i ə̯ d ə l ə n
rieden	ʀ i ə̯ d ə n
Riedner	ʀ i ə d n ɐ
Riednerin	ʀ i ə d n ə ʀ i n
Rief	ʀ i ə f
riets	ʀ i ə̯ t s
riicht	ʀ iː χ t
riichtbéien	ʀ iː χ t b e ɪ̯ e n
riichten	ʀ iː χ t e n
Riichter	ʀ iː χ t e ʀ
Rill	ʀ i l
Rimm	ʀ i m
Ris	ʀ iː s
Riselen	ʀ iː z ə l ə n
Rock	ʀ o k
roden	ʀ oː d e n
Roff	ʀ o f
Roll	ʀ o l
Rollschong	ʀ o l ʃ o ŋ
ronderëm	r o n d ə ʀ ə m
Rong	ʀ o ŋ
ronn	ʀ o n
Ronn	ʀ o n
Ros	ʀ oː s
rosa	ʀ oː z a
rosen	ʀ oː z ə n
Roserei	ʀ oː z ə ʀ ɑ ɪ̯
Rot	ʀ oː t
Rou	ʀ ə ʊ
Roum	ʀ ə ʊ m
Rous	ʀ ə ʊ̯ s
Rousekranz	ʀ ə ʊ̯ z ə k ʀ ɑ n t͡s
Rousemaräin	ʀ ə ʊ̯ z ə m ɑ ʀ æː ɪ̯ n
Rousenueleg	ʀ ə ʊ̯ z ə n u ə̯ l ə ɕ
rout	r e u̯ t
Routa	r e u̯ t aː
Routbrëschtchen	ʀ ə ʊ̯ d b ʀ ə ʃ t ɕ ə n
Routdréischel	ʀ ə ʊ̯ d d ʀ ɜ ɪ̯ ʃ ə l
Routfieder	ʀ ə ʊ̯ t f i ə̯ d ɐ
Routschwanz	ʀ ə ʊ̯ t ʃ w ɑ n t͡s
Rubbel	ʀ u b ə l
Rudder	ʀ u d ɐ
rueden	ʀ u ə̯ d ə n
Ruff	ʀ u f
ruffen	ʀ u f ə n
Rugby	ʀ ɑ ɡ b iː
Rull	ʀ u l
Rumeur	r y m øː r
Rumeuren	r y m øː r e n
Rumm	ʀ u m
Russ	ʁ u s
Rutt	ʀ u t
Räer	ʀ ɛː ə
Räich	ʀ æː ɪ̯ ɕ
räich	r æ i̯ χ
Räif	ʀ æː ɪ̯ f
räissen	r æ i̯ s e n
Rëmeleng	ʀ e m e l e ŋ
Rëndfleesch	ʀ ə n t f l eː ʃ
Rëndvéi	ʀ ə n t f ɜ ɪ̯
rënnen	r e n e n
Rëpp	r e p
Rëppen	r e p e n
Rëpper	r e p e r
rëselen	ʀ ə z ə l ə n
Rëtsch	ʀ ə t ʃ
Réck	r e k
Réckstrank	ʀ e k ʃ t ʀ ɑ ŋ k
réi	r e i̯
Réi	r e i̯
Réidchen	ʀ ɛ ɪ̯ t ɕ ə n
Réiden	ʀ ɜ ɪ̯ d ə n
réieren	ʀ ɜ ɪ̯ ə ʀ ə n
Réimech	ʀ ɜ ɪ̯ m ə ɕ
réimesch	ʀ ɜ ɪ̯ m ə ʃ
Réng	ʀ e ŋ
réngen	ʀ e ŋ ə n
Réngglott	ʀ e ŋ ɡ l o t
Saach	z aː χ
Saaft	z aː f t
sachlech	z ɑ χ l e χ
Saier	z ɑ ɪ̯ ɐ
Sail	z a i̯ l
Sak	z aː k
Sakgaass	z aː ɡ ɡ aː s
Salami	s ɑ l aː m i
Salem	z aː l ə m
Sall	z ɑ l
Sallef	z ɑ l ə f
Salut	s ɑ l yː
Salz	z ɑ l t͡s
salzeg	z a l t s e χ
Sam	z aː m
Samett	z ɑ m æ t
Samschdeg	z ɑ m ʃ d e χ
Sand	z ɑ n t
Sandal	s ɑ n d aː l
sangen	z ɑ ŋ ə n
sat	z aː t
Sau	z æː ʊ̯
sauer	z a u̯ e r
Sauer	z ɑ ʊ̯ ɐ
Sauerampel	z ɑ ʊ̯ ɐ ɑ m p ə l
Sauermous	z ɑ ʊ̯ ɐ m ə ʊ̯ s
Sauerstoff	z ɑ ʊ̯ ɐ ʃ t o f
saufen	z æ u̯ f e n
Saumon	s oː m õː
Saz	z aː t s
schaarf	ʃ aː ʀ f
Schach	ʃ ɑ χ
Schachfigur	ʃ ɑ χ f i ɡ u ə̯
Schaf	ʃ aː f
Schaffner	ʃ ɑ f n ɐ
Schal	ʃ aː l
schalen	ʃ aː l ə n
Schall	ʃ ɑ l
Schallott	ʃ ɑ l o t
Schan	ʃ aː n
Schank	ʃ ɑ ŋ k
Schantjen	ʃ ɑ n t χ e n
Scharlach	ʃ ɑ ʀ l ɑ χ
Schauer	ʃ ɑ ʊ̯ ɐ
Schaum	ʃ æː ʊ̯ m
Scheed	ʃ eː t
scheeden	ʃ eː d ə n
Scheedenagank	ʃ eː d ə n ɑ ɡ ɑ ŋ k
Scheedung	ʃ eː d u ŋ
Scheek	ʃ eː k
Scheekefruucht	ʃ eː k ə f ʀ uː χ t
Scheet	ʃ eː t
schei	ʃ a i̯
scheien	ʃ ɑ ɪ̯ ə n
Scheif	ʃ a i̯ f
Schell	ʃ æ l
Schenkel	ʃ æ ŋ k ə l
schiel	ʃ i ə l
schielen	ʃ i ə l ə n
schieren	ʃ i ə ʀ ə n
Schiertech	ʃ iː ʀ t e χ
schif	ʃ iː f
Schifer	ʃ iː f e r
Schimt	ʃ i m t
Schimtlëps	ʃ i m d l ə p s
Schinn	ʃ i n
schinnen	ʃ i n ə n
Schlaang	ʃ l aː ŋ
Schlag	ʃ l aː χ
Schlak	ʃ l aː k
Schlaken	ʃ l aː k ə n
Schlamm	ʃ l ɑ m
schlamm	ʃ l ɑ m
schlank	ʃ l ɑ ŋ k
Schlapp	ʃ l ɑ p
Schlass	ʃ l a s
schlecht	ʃ l æ ɕ t
schleefen	ʃ l eː f ə n
Schlei	ʃ l ɑ ɪ̯
Schleider	ʃ l ɑ ɪ d ɐ
schliisslech	ʃ l iː s l e χ
Schlitt	ʃ l i t
Schlo	ʃ l oː
schloen	ʃ l oː e n
Schlof	ʃ l oː f
schlofen	ʃ l oː f ə n
Schloff	ʃ l o f
Schluecht	ʃ l u ə ɕ t
schluechten	ʃ l u ə̯ χ t e n
Schluechtfeld	ʃ l u ə̯ ɕ t f æ l t
Schluechthaus	ʃ l u ə̯ ɕ t h æː ʊ̯ s
Schluet	ʃ l u ə̯ t
Schluss	ʃ l u s
Schläich	ʃ l æː ɪ̯ ɕ
schläichen	ʃ l æː ɪ̯ ɕ ə n
schläifen	ʃ l æː ɪ̯ f ə n
Schläifsteen	ʃ l æː ɪ̯ f ʃ t eː n
Schläim	ʃ l æː ɪ̯ m
schläimen	ʃ l æː ɪ̯ m ə n
Schläiss	ʃ l æː ɪ̯ s
schläissen	ʃ l æː ɪ s ə n
Schlëff	ʃ l ə f
schlëmm	ʃ l ə m
Schlëssel	ʃ l e s e l
Schléck	ʃ l e k
Schléi	ʃ l ɜ ɪ̯
Schléier	ʃ l ɜ ɪ̯ ɐ
schléissen	ʃ l e i̯ s e n
schmaachen	ʃ m aː χ ə n
Schmadd	ʃ m a t
Schmalz	ʃ m ɑ l t͡s
schmidden	ʃ m i d ə n
Schmier	ʃ m iː r
schmieren	ʃ m i ə ʀ ə n
schmäissen	ʃ m æ i̯ s e n
Schmëdd	ʃ m ə t
Schnapp	ʃ n a p
Schnatt	ʃ n ɑ t
Schnatz	ʃ n ɑ t s
Schnauer	ʃ n a u̯ e r
Schnauer	ʃ n a u̯ r
Schnaueren	ʃ n a u̯ r e n
Schnauftubak	ʃ n æː ʊ̯ f t u b aː k
Schneid	ʃ n ɑ ɪ̯ t
schneiden	ʃ n ɑ ɪ̯ d ə n
Schneider	ʃ n ɑ ɪ̯ d ɐ
Schneiderfësch	ʃ n ɑ ɪ̯ d ɐ f ə ʃ
schneien	ʃ n ɑ ɪ̯ ə n
schnell	ʃ n æ l
Schniewel	ʃ n i ə̯ v ə l
Schnieweldéier	ʃ n i ə̯ v ə l d ɜ ɪ̯ ɐ
Schnouer	ʃ n e u̯ e r
Schnouer	ʃ n e u̯ r
Schnuddel	ʃ n u d ə l
Schnuddelhong	ʃ n u d ə l h o ŋ
schnäizen	ʃ n æː ɪ̯ t͡s ə n
Schnëss	ʃ n ə s
Schnëtt	ʃ n ə t
Schnëtz	ʃ n ə t s
Schnëtzel	ʃ n ə t s ə l
Schnéi	ʃ n ɜ ɪ
Schnéibier	ʃ n ɜ ɪ̯ b iː ə̯
Schnéibiesem	ʃ n ɜ ɪ̯ b i ə̯ z ə m
schnéiblann	ʃ n ɜ ɪ̯ b l ɑ n
Schnéieil	ʃ n ɜ ɪ ɑ ɪ l
Schnéiflack	ʃ n ɜ ɪ̯ f l ɑ k
Schnéiklatz	ʃ n e i̯ k l a t s
Schnéikläckelchen	ʃ n ɜ ɪ̯ k l æ k ə l ɕ ə n
Schnéimännchen	ʃ n ɜ ɪ̯ m æ n ɕ ə n
Schnéiplou	ʃ n ɜ ɪ̯ p l ə ʊ̯
Schnéireen	ʃ n ɜ ɪ̯ ʀ eː n
Schnéischauer	ʃ n ɜ ɪ̯ ʃ ɑ ʊ̯ ɐ
Schnéischëpp	ʃ n ɜ ɪ̯ ʃ ə p
Schnéiwick	ʃ n ɜ ɪ̯ v i k
schnéiwäiss	ʃ n ɜ ɪ̯ v æː ɪ̯ s
Schockelasbotter	ʃ o k ə l aː z b o t ɐ
Schold	ʃ o l t
Schong	ʃ o ŋ
Schongbiischt	ʃ o ŋ b i ʃ t
schonn	ʃ o n
Schoss	ʃ o s
Schossel	ʃ o s ə l
Schoul	ʃ ə ʊ̯ l
Schoulkand	ʃ ə ʊ̯ l k ɑ n t
Schoun	ʃ ə ʊ̯ n
Schouss	ʃ ə ʊ̯ s
Schouster	ʃ ə ʊ̯ s t ɐ
Schrack	ʃ r a k
Schrauf	ʃ ʀ ɑ ʊ̯ f
Schreifmaschinn	ʃ ʀ a ɪ v m ɑ ʃ i n
Schrëft	ʃ ʀ ə f t
Schrëftgeléierten	ʃ ʀ ə v d ɡ ə l ɜ ɪ̯ ɐ t ə n
Schrëtt	ʃ r e t
schréi	ʃ ʀ ɜ ɪ̯
schréien	ʃ ʀ ɜ ɪ̯ ə n
Schuel	ʃ u e̯ l
schwaach	ʃ w aː χ
Schwaarm	ʃ w aː ʀ m
Schwaarm	ʃ w aː m
Schwaart	ʃ v aː χ t
schwaarz	ʃ v aː r t s
Schwaarzbier	ʃ v aː r t s b iː r
Schwamp	ʃ w ɑ m p
Schwan	ʃ w aː n
Schwangerschaft	ʃ w ɑ ŋ ɐ ʃ ɑ f t
Schwanz	ʃ w ɑ n t͡s
Schwanzmees	ʃ w ɑ n d͡z m eː s
Schweess	ʃ w eː s
schweessen	ʃ v eː s e n
Schwell	ʃ w æ l
Schwiefel	ʃ v i e̯ f e l
Schwier	ʃ w iː ə̯
schwieren	ʃ w i ə̯ ʀ ə n
Schwong	ʃ w o ŋ
Schwonk	ʃ w o ŋ k
Schwäert	ʃ v eː r t
Schwäerter	ʃ v eː r t e r
Schwäin	ʃ v æ i̯ n
Schwäiz	ʃ v æː ɪ̯ t͡s
Schwämm	ʃ v æ m
Schwänz	ʃ w æ n t͡s
schwëllen	ʃ w ə l ə n
schwéier	ʃ w ɜ ɪ̯ ɐ
Schwéngchen	ʃ v e ŋ χ e n
Schwéngefleesch	ʃ v e ŋ e f l eː ʃ
Schäin	ʃ æː ɪ̯ n
schäinbar	ʃ æː ɪ̯ n b aː ʀ
schäinbar	ʃ æː ɪ̯ n b aː
Schäiss	ʃ æː ɪ̯ s
schäissen	ʃ æ i̯ s e n
Schätz	ʃ æ t͡s
Schëff	ʃ ə f
Schëld	ʃ ə l t
schëlleg	ʃ e l e χ
Schëller	ʃ ə l ɐ
schënnen	ʃ ə n ə n
Schënner	ʃ ə n ɐ
Schëpp	ʃ ə p
Schëppen	ʃ e p e n
schëppen	ʃ ə p ə n
Schëtz	ʃ ə t͡s
schécken	ʃ e k ə n
Schéier	ʃ ɜ ɪ̯ ɐ
schéin	ʃ ɜ ɪ̯ n
schéngen	ʃ e ŋ e n
se	z ə
sech	z e χ
sechs	z æ k s
sechst	z æ k s t
Secourist	s e k u ʀ i s t
See	z eː
Seech	z eː ɕ
seechen	z eː ɕ ə n
Seef	z eː f
Seegel	z eː ʁ e l
seegelen	z eː ʁ e l e n
Seegen	z eː ʁ e n
Seel	z eː l
Seem	z eː m
seemen	z eː m ə n
Seen	z eː n
seenen	z eː n ə n
seeën	z eː ə n
Seid	z ɑ ɪ̯ t
selwer	z æ l v ɐ
Sensatioun	s ãː s ɑ s j ə ʊ̯ n
setzen	z æ t s e n
Setzgromper	z æ t s ɡ ʀ o m p ɐ
si	z i
Sich	z i ɕ
sichen	z i ɕ ə n
Sichmaschinn	z i ɕ m ɑ ʃ i n
siechzeg	z i ə̯ ɕ t͡s ə ɕ
siechzéng	z i ə̯ ɕ t͡s e ŋ
siechzéngt	z i ə̯ ɕ t͡s e ŋ t
siedegen	z i ə̯ d e ʁ e n
sielen	z i ə̯ l ə n
Siff	z i f
Sigel	z i ʁ e l
Signal	s i n j aː l
Siicht	z iː ɕ t
Silb	z i l p
sinn	z i n
Sireen	z i ʀ eː n
Site	s i t
Sitt	z i t
siwen	z iː v e n
siwent	z iː v ə n t
siwwenzéngt	z i v ə n t͡s e ŋ t
Skelett	s k e l æ t
Skizz	s k i t͡s
Sklaverei	s k l aː v ə ʀ ɑ ɪ̯
Skorpioun	s k o r p j e u̯ n
Slip	s l i p
So	z oː
soen	z oː e n
Soff	z o f
sollen	z o l ə n
Som	z oː m
Sonn	z o n
Sonndeg	z o n d e χ
Sonneblumm	z o n ə b l u m
Sonnebrëll	s o n ə b ʀ ə l
Sonnefleck	z o n ə f l æ k
sonneg	z o n ə ɕ
Sonnenauer	z o n ə n ɑ ʊ̯ ɐ
Sonnenopgang	z o n ə n o p ɡ ɑ ŋ
Sonnenënnergang	z o n e n e n ɐ ɡ ɑ ŋ
Sonneprabbeli	z o n p ʀ ɑ b ə l iː
Sonneschäin	z o n ə ʃ æː ɪ̯ n
soss	z o s
sou	z ə ʊ
sou	z u
soueren	z ə ʊ̯ ə ʀ ə n
Soumissioun	s u m i s j ə ʊ̯ n
Soutien	s u t j ɛ̃ː
Souvenir	s u v ə n iː ʀ
Souvenir	s u v ə n iː ə̯
souwisou	z ə ʊ̯ v i z ə ʊ̯
Spaass	ʃ p aː s
spaassen	ʃ p aː s ə n
Spackelter	ʃ p ɑ k æ l t ɐ
spadséieren	ʃ p ɑ d͡z ɜ ɪ̯ ə ʀ ə n
Spadséiergang	ʃ p ɑ d͡z ɜ ɪ̯ ɐ ɡ ɑ ŋ
Spargel	ʃ p a ʁ ʑ ə l
Spatz	ʃ p ɑ t s
spatz	ʃ p ɑ t s
Spaut	ʃ p ɑ ʊ̯ t
Spaweck	ʃ p aː v æ k
Speck	ʃ p æ k
Speech	ʃ p eː ɕ
Spelz	ʃ p æ l t͡s
spezifesch	ʃ p æ t͡s iː f ə ʃ
Spidol	ʃ p i d oː l
Spiecht	ʃ p i e̯ χ t
spieren	ʃ p iː r e n
Spierk	ʃ p iː ə̯ k
Spigel	ʃ p i ʁ e l
Spigelee	ʃ p i ʑ ə l eː
Spigelkaarp	ʃ p i ʑ ə l k aː p
Spill	ʃ p i l
spillen	ʃ p i l ə n
Spillkaart	ʃ p i l k aː χ t
Spillkaart	ʃ p i l k aː t
Spinat	ʃ p i n aː t
spionéieren	ʃ p i o n ɜ ɪ̯ ə ʀ ə n
Spioun	ʃ p i ə ʊ̯ n
spläissen	ʃ p l æː ɪ s ə n
Spoun	ʃ p e u̯ n
Sprachwuert	ʃ p ʀ a χ v u e̯ t
sprang	ʃ p ʀ ɑ ŋ
sprangen	ʃ p r a ŋ e n
sprangt	ʃ p ʀ ɑ ŋ t
spreeden	ʃ p ʀ eː d ə n
spreeën	ʃ p ʀ eː ə n
Sprenz	ʃ p ʀ æ n t͡s
spriechen	ʃ p ʀ i e̯ χ e n
Spriecher	ʃ p ʀ i ə̯ χ ɐ
Sproch	ʃ p ʀ o χ
Sprong	ʃ p ʀ o ŋ
Spronk	ʃ p r o ŋ k
Sprooch	ʃ p ʀ oː χ
Sproochgebitt	ʃ p r oː χ ɡ e b i t
sproochlech	ʃ p ʀ oː χ l e χ
Sprëtz	ʃ p ʀ ə t s
sprëtzen	ʃ p ʀ ə t͡s ə n
Spréif	ʃ p ʀ ɜ ɪ f
spréngs	ʃ p ʀ e ŋ s
spréngt	ʃ p ʀ e ŋ t
Spuenesch	ʃ p u ə̯ n ə ʃ
spuenesch	ʃ p u ə̯ n ə ʃ
Spuenier	ʃ p u ə̯ n i ɐ
Spuer	ʃ p uː ə̯
spueren	ʃ p uː r e n
Spuerk	ʃ p uː ə̯ k
spuert	ʃ p uː r t
Spuervigel	ʃ p uː ə̯ f i ʑ ə l
Spuervull	ʃ p uː ə̯ f u l
Spull	ʃ p u l
Spur	ʃ p uː ə̯
Sputt	ʃ p u t
Späicher	ʃ p æː ɪ̯ ɕ ɐ
späizen	ʃ p æː ɪ̯ t͡s ə n
spären	ʃ p eː ʀ e n
Spëtz	ʃ p ə t s
spëtzen	ʃ p ə t͡s ə n
Spëtzt	ʃ p ə t s t
Staang	ʃ t aː ŋ
staark	ʃ t aː r k
Stad	ʃ t aː t
Stadmauer	ʃ t aː d m ɑ ʊ̯ ə
Stall	ʃ t ɑ l
Stam	ʃ t aː m
stamen	ʃ t aː m ə n
Stamm	ʃ t ɑ m
