Є	j ɛ
трояндам	t r ɔ j a n d ɐ m
трояндами	t r ɔ j a n d ɐ m e
трояндах	t r ɔ j a n d ɐ x
троянди	t r ɔ j a n d e
трояндо	t r ɔ j a n d ɔ
трояндою	t r ɔ j a n d ɔ j ʊ
троянду	t r ɔ j a n d ʊ
троянді	t r ɔ j a nʲ dʲ i
троянець	t r ɔ j a n e t͡sʲ
троянський	t r ɔ j a nʲ sʲ k e i̯
троє	t r ɔ j e
труб	t r u b
труба	t r ʊ b a
трубам	t r u b ɐ m
трубами	t r u b ɐ m e
трубах	t r u b ɐ x
труби	t r u b e
труби	t r ʊ b ɪ
трубкозуб	t r ʊ b k o z u b
трубопровід	t r ʊ b ɔ p r ɔ ʋʲ i d
трубою	t r ʊ b ɔ j ʊ
трубу	t r ʊ b u
трубі	t r ʊ bʲ i
трудитися	t r ʊ d ɪ t e sʲ ɐ
трудний	t r ʊ d n ɪ i̯
труднощі	t r u d n ɔ ʃ t͡ʃʲ i
труднощів	t r u d n ɔ ʃ t͡ʃʲ i u̯
трудність	t r u dʲ nʲ i sʲ tʲ
трудовий	t r ʊ d ɔ ʋ ɪ i̯
трудодень	t r ʊ d ɔ d ɛ nʲ
трудівник	t r ʊ dʲ i u̯ n ɪ k
труна	t r ʊ n a
трункові	t r u n k ɔ ʋʲ i
трунку	t r u n k ʊ
трунок	t r u n ɔ k
труп	t r u p
трупа	t r u p ɐ
труси	t r u s e
труси	t r ʊ s ɪ
трусики	t r u s e k e
трусити	t r ʊ s ɪ t e
трускавка	t r u s k ɐ u̯ k ɐ
трутень	t r u t e nʲ
труїти	t r ʊ j i t e
трьом	tʲ rʲ ɔ m
трьома	tʲ rʲ ɔ m a
трьох	tʲ rʲ ɔ x
трьохсот	tʲ rʲ ɔ x s ɔ t
трьохсотий	tʲ rʲ ɔ x s ɔ t e i̯
трьохсоттисячний	tʲ rʲ ɔ x s ɔ tː ɪ sʲ ɐ t͡ʃ n e i̯
трьохтисячний	tʲ rʲ ɔ x t ɪ sʲ ɐ t͡ʃ n e i̯
трясти	tʲ rʲ ɐ s t ɪ
тріпати	tʲ rʲ i p a t e
тріпати	tʲ rʲ i p ɐ t e
тріска	tʲ rʲ i s k a
тріска	tʲ rʲ i s k ɐ
тріумфальна	tʲ rʲ i ʊ m f a lʲ n ɐ
тріумфальний	tʲ rʲ i ʊ m f a lʲ n e i̯
трішечки	tʲ rʲ i ʃ e t͡ʃ k e
трішки	tʲ rʲ i ʃ k e
тріщина	tʲ rʲ i ʃ t͡ʃ e n ɐ
ту	t u
туалет	t ʊ ɐ ɫ ɛ t
туалетам	t ʊ ɐ ɫ ɛ t ɐ m
туалетами	t ʊ ɐ ɫ ɛ t ɐ m e
туалетах	t ʊ ɐ ɫ ɛ t ɐ x
туалети	t ʊ ɐ ɫ ɛ t e
туалетний	t ʊ ɐ ɫ ɛ t n e i̯
туалетові	t ʊ ɐ ɫ ɛ t ɔ ʋʲ i
туалетом	t ʊ ɐ ɫ ɛ t ɔ m
туалету	t ʊ ɐ ɫ ɛ t ʊ
туалеті	t ʊ ɐ ɫ ɛ tʲ i
туалетів	t ʊ ɐ ɫ ɛ tʲ i u̯
туба	t u b ɐ
туберкульоз	t ʊ b e r k ʊ lʲ ɔ z
тугий	t ʊ ɦ ɪ i̯
туди	t ʊ d ɪ
тудою	t ʊ d ɔ j ʊ
тужити	t u ʒ e t e
тужити	t ʊ ʒ ɪ t e
тужливий	t ʊ ʒ ɫ ɪ ʋ e i̯
туз	t u z
тула	t u ɫ ɐ
тулити	t ʊ ɫ ɪ t e
тулитися	t ʊ ɫ ɪ t e sʲ ɐ
тулуб	t u ɫ ʊ b
тульський	t u lʲ sʲ k e i̯
тульчинський	t ʊ lʲ t͡ʃ ɪ nʲ sʲ k e i̯
тулій	t u lʲ i i̯
туман	t ʊ m a n
туманам	t ʊ m a n ɐ m
туманами	t ʊ m a n ɐ m e
туманах	t ʊ m a n ɐ x
тумани	t ʊ m a n e
туманний	t ʊ m a nː e i̯
туманом	t ʊ m a n ɔ m
туману	t ʊ m a n ʊ
тумані	t ʊ m a nʲ i
туманів	t ʊ m a nʲ i u̯
тунелеві	t ʊ n ɛ ɫ e ʋʲ i
тунелем	t ʊ n ɛ ɫ e m
тунель	t ʊ n ɛ lʲ
тунелю	t ʊ n ɛ lʲ ʊ
тунелям	t ʊ n ɛ lʲ ɐ m
тунелями	t ʊ n ɛ lʲ ɐ m e
тунелях	t ʊ n ɛ lʲ ɐ x
тунелі	t ʊ n ɛ lʲ i
тунелів	t ʊ n ɛ lʲ i u̯
тунець	t ʊ n ɛ t͡sʲ
тупенький	t ʊ p ɛ nʲ k e i̯
тупий	t ʊ p ɪ i̯
тупуватий	t ʊ p ʊ ʋ a t e i̯
тупість	t u pʲ i sʲ tʲ
тура	t ʊ r a
турбація	t ʊ r b a t͡sʲ i j ɐ
турбота	t ʊ r b ɔ t ɐ
турботливий	t ʊ r b ɔ t ɫ e ʋ e i̯
турбувати	t ʊ r b ʊ ʋ a t e
турбуватися	t ʊ r b ʊ ʋ a t e sʲ ɐ
турбулентний	t ʊ r b ʊ ɫ ɛ n t n e i̯
турбулентність	t ʊ r b ʊ ɫ ɛ n tʲ nʲ i sʲ tʲ
турбіна	t ʊ r bʲ i n ɐ
турецький	t ʊ r ɛ t͡sʲ k e i̯
туризм	t ʊ r ɪ z m
турист	t ʊ r ɪ s t
туриста	t ʊ r ɪ s t ɐ
туристам	t ʊ r ɪ s t ɐ m
туристами	t ʊ r ɪ s t ɐ m e
туристах	t ʊ r ɪ s t ɐ x
туристе	t ʊ r ɪ s t e
туристи	t ʊ r ɪ s t e
туристичний	t ʊ r e s t ɪ t͡ʃ n e i̯
туристка	t ʊ r ɪ s t k ɐ
туристові	t ʊ r ɪ s t ɔ ʋʲ i
туристом	t ʊ r ɪ s t ɔ m
туристу	t ʊ r ɪ s t ʊ
туристі	t ʊ r ɪ sʲ tʲ i
туристів	t ʊ r ɪ sʲ tʲ i u̯
турити	t u r e t e
турків	t u r kʲ i u̯
турне	t ʊ r n ɛ
турнікет	t ʊ r nʲ i k ɛ t
турнір	t ʊ r nʲ i r
турок	t u r ɔ k
турчанка	t ʊ r t͡ʃ a n k ɐ
тут	t u t
тутешній	t ʊ t ɛ ʃ nʲ i i̯
туфель	t u f e lʲ
туфлею	t u f ɫ e j ʊ
туфлю	t u f lʲ ʊ
туфля	t u f lʲ ɐ
туфлям	t u f lʲ ɐ m
туфлями	t u f lʲ ɐ m e
туфлях	t u f lʲ ɐ x
туфлі	t u f lʲ i
тухнути	t u x n ʊ t e
туча	t u t͡ʃ ɐ
туш	t u ʃ
тхір	tʲ xʲ i r
тьма	tʲ m a
тьми	tʲ m ɪ
тьмо	tʲ m ɔ
тьмяний	tʲ mʲ a n e i̯
тьмяніти	tʲ mʲ ɐ nʲ i t e
тьмяніють	tʲ mʲ ɐ nʲ i j ʊ tʲ
тьмяніє	tʲ mʲ ɐ nʲ i j e
тьмі	tʲ mʲ i
тьотя	tʲ ɔ tʲ ɐ
тьфу	tʲ f u
тьху	tʲ x u
тю	tʲ u
тюлень	tʲ ʊ ɫ ɛ nʲ
тюль	tʲ u lʲ
тюльпан	tʲ ʊ lʲ p a n
тюльпанний	tʲ ʊ lʲ p a nː e i̯
тюльпановий	tʲ ʊ lʲ p a n ɔ ʋ e i̯
тюльпанчик	tʲ ʊ lʲ p a n t͡ʃ e k
тюрбан	tʲ ʊ r b a n
тюремний	tʲ ʊ r ɛ m n e i̯
тюринзький	tʲ ʊ r ɪ nʲ zʲ k e i̯
тюркський	tʲ u r k sʲ k e i̯
тюрма	tʲ ʊ r m a
тютюн	tʲ ʊ tʲ u n
тютюновий	tʲ ʊ tʲ ʊ n ɔ ʋ e i̯
тюхтій	tʲ ʊ x tʲ i i̯
тягар	tʲ ɐ ɦ a r
тягати	tʲ ɐ ɦ a t e
тягнеться	tʲ a ɦ n e t͡sʲː ɐ
тягнути	tʲ ɐ ɦ n u t e
тягнутися	tʲ ɐ ɦ n u t e sʲ ɐ
тягнуться	tʲ a ɦ n ʊ t͡sʲː ɐ
тягнуться	tʲ ɐ ɦ n u t͡sʲː ɐ
тягти	tʲ ɐ ɦ t ɪ
тягтися	tʲ ɐ ɦ t ɪ sʲ ɐ
тяжкий	tʲ ɐ ʒ k ɪ i̯
тяжко	tʲ a ʒ k ɔ
тяжкуватий	tʲ ɐ ʒ k ʊ ʋ a t e i̯
тяжчий	tʲ a ʒ t͡ʃ e i̯
тяти	tʲ a t e
тячівський	tʲ a t͡ʃʲ i u̯ sʲ k e i̯
ті	tʲ i
тіара	tʲ i a r ɐ
тій	tʲ i i̯
тікати	tʲ i k a t e
тікати	tʲ i k ɐ t e
тілесний	tʲ i ɫ ɛ s n e i̯
тіло	tʲ i ɫ ɔ
тільки	tʲ i lʲ k e
тілі	tʲ i lʲ i
тім	tʲ i m
тім'я	tʲ i m j ɐ
тінь	tʲ i nʲ
тіні	tʲ i nʲ i
тісний	tʲ i s n ɪ i̯
тісно	tʲ i s n ɔ
тістечко	tʲ i s t e t͡ʃ k ɔ
тісто	tʲ i s t ɔ
тітка	tʲ i t k ɐ
тіткам	tʲ i t k a m
тітками	tʲ i t k a m e
тітках	tʲ i t k a x
тітки	tʲ i t k e
тітки	tʲ i t k ɪ
тітко	tʲ i t k ɔ
тіткою	tʲ i t k ɔ j ʊ
тітку	tʲ i t k ʊ
тіток	tʲ i t ɔ k
тітушка	tʲ i t u ʃ k ɐ
тітці	tʲ i t͡sʲː i
тітчин	tʲ i t͡ʃː e n
тішити	tʲ i ʃ e t e
тією	tʲ i j ɛ j ʊ
тієї	tʲ i j ɛ j i
убивати	ʊ b e ʋ a t e
убивство	ʊ b ɪ u̯ s t w ɔ
убити	ʊ b ɪ t e
ублюдка	ʊ b lʲ u d k ɐ
ублюдкам	ʊ b lʲ u d k ɐ m
ублюдками	ʊ b lʲ u d k ɐ m e
ублюдках	ʊ b lʲ u d k ɐ x
ублюдки	ʊ b lʲ u d k e
ублюдкові	ʊ b lʲ u d k ɔ ʋʲ i
ублюдком	ʊ b lʲ u d k ɔ m
ублюдку	ʊ b lʲ u d k ʊ
ублюдків	ʊ b lʲ u dʲ kʲ i u̯
ублюдок	ʊ b lʲ u d ɔ k
убогий	ʊ b ɔ ɦ e i̯
убік	ʊ bʲ i k
ув'язнений	ʊ ʋ j a z n e n e i̯
ув'язнення	ʊ ʋ j a z n e nʲː ɐ
ув'язнити	ʊ ʋ j ɐ z n ɪ t e
ув'язнювати	ʊ ʋ j a zʲ nʲ ʊ ʋ ɐ t e
уваг	ʊ ʋ a ɦ
увага	ʊ ʋ a ɦ ɐ
увагам	ʊ ʋ a ɦ ɐ m
увагами	ʊ ʋ a ɦ ɐ m e
увагах	ʊ ʋ a ɦ ɐ x
уваги	ʊ ʋ a ɦ e
увагою	ʊ ʋ a ɦ ɔ j ʊ
увагу	ʊ ʋ a ɦ ʊ
уважний	ʊ ʋ a ʒ n e i̯
уважно	ʊ ʋ a ʒ n ɔ
уважніший	ʊ ʋ a ʒ nʲ i ʃ e i̯
увазі	ʊ ʋ a zʲ i
увезти	ʊ ʋ e z t ɪ
увесь	ʊ ʋ ɛ sʲ
увечері	ʊ ʋ ɛ t͡ʃ e rʲ i
увозити	ʊ w ɔ z e t e
уві	ʊ ʋʲ i
увійти	ʊ ʋʲ i i̯ t ɪ
увімкнути	ʊ ʋʲ i m k n u t e
увінчатися	ʊ ʋʲ i n t͡ʃ a t e sʲ ɐ
увінчуватися	ʊ ʋʲ i n t͡ʃ ʊ ʋ ɐ t e sʲ ɐ
увічнити	ʊ ʋʲ i t͡ʃ n e t e
увічнювати	ʊ ʋʲ i t͡ʃ nʲ ʊ ʋ ɐ t e
угадати	ʊ ɦ ɐ d a t e
угадувати	ʊ ɦ a d ʊ ʋ ɐ t e
угода	ʊ ɦ ɔ d ɐ
угорець	ʊ ɦ ɔ r e t͡sʲ
угорка	ʊ ɦ ɔ r k ɐ
угорський	ʊ ɦ ɔ r sʲ k e i̯
угорськомовний	ʊ ɦ ɔ r sʲ k ɔ m ɔ u̯ n e i̯
угруповання	ʊ ɦ r ʊ p ɔ ʋ ɐ nʲː ɐ
угіддя	ʊ ɦʲ i dʲː ɐ
удар	ʊ d a r
ударам	ʊ d a r ɐ m
ударами	ʊ d a r ɐ m e
ударах	ʊ d a r ɐ x
ударе	ʊ d a r e
удари	ʊ d a r e
ударити	ʊ d a r e t e
ударові	ʊ d a r ɔ ʋʲ i
ударом	ʊ d a r ɔ m
удару	ʊ d a r ʊ
ударяти	ʊ d ɐ rʲ a t e
ударі	ʊ d a rʲ i
ударів	ʊ d a rʲ i u̯
удача	ʊ d a t͡ʃ ɐ
удачі	ʊ d a t͡ʃʲ i
удень	ʊ d ɛ nʲ
удосвіта	ʊ d ɔ sʲ ʋʲ i t ɐ
удосконалення	ʊ d ɔ s k ɔ n a ɫ e nʲː ɐ
удосконалень	ʊ d ɔ s k ɔ n a ɫ e nʲ
удосконалити	ʊ d ɔ s k ɔ n a ɫ e t e
удосконалювати	ʊ d ɔ s k ɔ n a lʲ ʊ ʋ ɐ t e
ужгородський	u ʒ ɦ ɔ r ɔ d͡zʲ sʲ k e i̯
уже	ʊ ʒ ɛ
уживаний	ʊ ʒ ɪ ʋ ɐ n e i̯
уживати	ʊ ʒ e ʋ a t e
ужити	ʊ ʒ ɪ t e
ужитий	ʊ ʒ ɪ t e i̯
узагальнений	ʊ z ɐ ɦ a lʲ n e n e i̯
узагальнення	ʊ z ɐ ɦ a lʲ n e nʲː ɐ
узагальнити	ʊ z ɐ ɦ a lʲ n e t e
узагальнювати	ʊ z ɐ ɦ a lʲ nʲ ʊ ʋ ɐ t e
узагалі	ʊ z ɐ ɦ ɐ lʲ i
узаконити	ʊ z ɐ k ɔ n e t e
узаконювати	ʊ z ɐ k ɔ nʲ ʊ ʋ ɐ t e
узбек	ʊ z b ɛ k
узбережжя	ʊ z b e r ɛ ʒʲː ɐ
узбецький	ʊ z b ɛ t͡sʲ k e i̯
узбечка	ʊ z b ɛ t͡ʃ k ɐ
узбіччя	ʊ zʲ bʲ i t͡ʃʲː ɐ
узгоджувати	ʊ z ɦ ɔ d͡ʒ ʊ ʋ ɐ t e
узгодити	ʊ z ɦ ɔ d e t e
узлісся	ʊ zʲ lʲ i sʲː ɐ
узурпатор	ʊ z ʊ r p a t ɔ r
узяти	ʊ zʲ a t e
узір	ʊ zʲ i r
уйгур	ʊ i̯ ɦ u r
указ	ʊ k a z
укомплектовувати	ʊ k ɔ m p ɫ e k t ɔ w ʊ ʋ ɐ t e
укомплектувати	ʊ k ɔ m p ɫ e k t ʊ ʋ a t e
украдений	ʊ k r a d e n e i̯
украсти	ʊ k r a s t e
україна	ʊ k r a j i n ɐ
україна	ʊ k r ɐ j i n ɐ
українець	ʊ k r ɐ j i n e t͡sʲ
українка	ʊ k r ɐ j i n k ɐ
українки	ʊ k r ɐ j i n k e
українознавство	ʊ k r ɐ j i n ɔ z n a u̯ s t w ɔ
україномовний	ʊ k r ɐ j i n ɔ m ɔ u̯ n e i̯
українофоб	ʊ k r ɐ j i n ɔ f ɔ b
українофобський	ʊ k r ɐ j i n ɔ f ɔ b sʲ k e i̯
українофобія	ʊ k r ɐ j i n ɔ f ɔ bʲ i j ɐ
українофіл	ʊ k r ɐ j i n o fʲ i ɫ
українофілка	ʊ k r ɐ j i n o fʲ i ɫ k ɐ
українофільство	ʊ k r ɐ j i n o fʲ i lʲ s t w ɔ
українофільський	ʊ k r ɐ j i n o fʲ i lʲ sʲ k e i̯
українофілія	ʊ k r ɐ j i n o fʲ i lʲ i j ɐ
україноцентричний	ʊ k r ɐ j i n ɔ t͡s e n t r ɪ t͡ʃ n e i̯
українство	ʊ k r ɐ j i n s t w ɔ
українська	ʊ k r ɐ j i nʲ sʲ k ɐ
українське	ʊ k r ɐ j i nʲ sʲ k e
український	ʊ k r ɐ j i nʲ sʲ k e i̯
українським	ʊ k r ɐ j i nʲ sʲ k e m
українськими	ʊ k r ɐ j i nʲ sʲ k e m e
українських	ʊ k r ɐ j i nʲ sʲ k e x
українського	ʊ k r ɐ j i nʲ sʲ k ɔ ɦ ɔ
українськомовний	ʊ k r ɐ j i nʲ sʲ k ɔ m ɔ u̯ n e i̯
українському	ʊ k r ɐ j i nʲ sʲ k ɔ m ʊ
українською	ʊ k r ɐ j i nʲ sʲ k ɔ j ʊ
української	ʊ k r ɐ j i nʲ sʲ k ɔ j i
українську	ʊ k r ɐ j i nʲ sʲ k ʊ
українські	ʊ k r ɐ j i n sʲ kʲ i
українській	ʊ k r ɐ j i n sʲ kʲ i i̯
українськім	ʊ k r ɐ j i n sʲ kʲ i m
українськість	ʊ k r ɐ j i n sʲ kʲ i sʲ tʲ
українцеві	ʊ k r ɐ j i n t͡s e ʋʲ i
українцем	ʊ k r ɐ j i n t͡s e m
українцю	ʊ k r ɐ j i nʲ t͡sʲ ʊ
українця	ʊ k r ɐ j i nʲ t͡sʲ ɐ
українцям	ʊ k r ɐ j i nʲ t͡sʲ ɐ m
українцями	ʊ k r ɐ j i nʲ t͡sʲ ɐ m e
українцях	ʊ k r ɐ j i nʲ t͡sʲ ɐ x
українці	ʊ k r ɐ j i nʲ t͡sʲ i
українців	ʊ k r ɐ j i nʲ t͡sʲ i u̯
українізатор	ʊ k r ɐ j i nʲ i z a t ɔ r
українізація	ʊ k r ɐ j i nʲ i z a t͡sʲ i j ɐ
українізувати	ʊ k r ɐ j i nʲ i z ʊ ʋ a t e
укриття	ʊ k r e tʲː a
укріп	ʊ k rʲ i p
укріпити	ʊ k rʲ i p ɪ t e
укріплювати	ʊ k rʲ i p lʲ ʊ ʋ ɐ t e
укус	ʊ k u s
уламок	ʊ ɫ a m ɔ k
улаштування	ʊ ɫ ɐ ʃ t ʊ ʋ a nʲː ɐ
ультиматум	ʊ lʲ t e m a t ʊ m
ультрафіолетовий	ʊ lʲ t r ɐ fʲ i ɔ ɫ ɛ t ɔ ʋ e i̯
улюблена	ʊ lʲ u b ɫ e n ɐ
улюблене	ʊ lʲ u b ɫ e n e
улюбленець	ʊ lʲ u b ɫ e n e t͡sʲ
улюблений	ʊ lʲ u b ɫ e n e i̯
улюбленим	ʊ lʲ u b ɫ e n e m
улюбленими	ʊ lʲ u b ɫ e n e m e
улюблених	ʊ lʲ u b ɫ e n e x
улюбленка	ʊ lʲ u b ɫ e n k ɐ
улюбленого	ʊ lʲ u b ɫ e n ɔ ɦ ɔ
улюбленому	ʊ lʲ u b ɫ e n ɔ m ʊ
улюбленою	ʊ lʲ u b ɫ e n ɔ j ʊ
улюбленої	ʊ lʲ u b ɫ e n ɔ j i
улюблену	ʊ lʲ u b ɫ e n ʊ
улюблені	ʊ lʲ u b ɫ e nʲ i
улюбленій	ʊ lʲ u b ɫ e nʲ i i̯
улюбленім	ʊ lʲ u b ɫ e nʲ i m
улітку	ʊ lʲ i t k ʊ
ум	u m
уманський	u m ɐ nʲ sʲ k e i̯
умерти	ʊ m ɛ r t e
умикати	ʊ m e k a t e
умирати	ʊ m e r a t e
умиротворення	ʊ m e r ɔ t w ɔ r e nʲː ɐ
умисний	ʊ m ɪ s n e i̯
умишляти	ʊ m e ʃ lʲ a t e
умов	ʊ m ɔ u̯
умова	ʊ m ɔ ʋ ɐ
умовам	ʊ m ɔ ʋ ɐ m
умовами	ʊ m ɔ ʋ ɐ m e
умовах	ʊ m ɔ ʋ ɐ x
умови	ʊ m ɔ ʋ e
умовляти	ʊ m ɔ u̯ lʲ a t e
умовний	ʊ m ɔ u̯ n e i̯
умовно	ʊ m ɔ u̯ n ɔ
умово	ʊ m ɔ w ɔ
умовою	ʊ m ɔ w ɔ j ʊ
умову	ʊ m ɔ w ʊ
умові	ʊ m ɔ ʋʲ i
уможливити	ʊ m ɔ ʒ ɫ ɪ ʋ e t e
уможливлювати	ʊ m ɔ ʒ ɫ ɪ u̯ lʲ ʊ ʋ ɐ t e
уміння	ʊ mʲ i nʲː ɐ
уміти	ʊ mʲ i t e
унеможливити	ʊ n e m ɔ ʒ ɫ ɪ ʋ e t e
унеможливлювати	ʊ n e m ɔ ʒ ɫ ɪ u̯ lʲ ʊ ʋ ɐ t e
унести	ʊ n e s t ɪ
унести	ʊ n ɛ s t e
уникав	ʊ n e k a u̯
уникай	ʊ n e k a i̯
уникаймо	ʊ n e k a i̯ m ɔ
уникайте	ʊ n e k a i̯ t e
уникала	ʊ n e k a ɫ ɐ
уникали	ʊ n e k a ɫ e
уникало	ʊ n e k a ɫ ɔ
уникати	ʊ n e k a t e
уникатиме	ʊ n e k a t e m e
уникатимемо	ʊ n e k a t e m e m ɔ
уникатимете	ʊ n e k a t e m e t e
уникатимеш	ʊ n e k a t e m e ʃ
уникатиму	ʊ n e k a t e m ʊ
уникатимуть	ʊ n e k a t e m ʊ tʲ
уникаю	ʊ n e k a j ʊ
уникають	ʊ n e k a j ʊ tʲ
уникаючи	ʊ n e k a j ʊ t͡ʃ e
уникає	ʊ n e k a j e
уникаємо	ʊ n e k a j e m ɔ
уникаєте	ʊ n e k a j e t e
уникаєш	ʊ n e k a j e ʃ
уникнути	ʊ n ɪ k n ʊ t e
уносити	ʊ n ɔ s e t e
уночі	ʊ n o t͡ʃʲ i
універсал	ʊ nʲ i ʋ e r s a ɫ
універсальна	ʊ nʲ i ʋ e r s a lʲ n ɐ
універсальне	ʊ nʲ i ʋ e r s a lʲ n e
універсальний	ʊ nʲ i ʋ e r s a lʲ n e i̯
універсальним	ʊ nʲ i ʋ e r s a lʲ n e m
універсальними	ʊ nʲ i ʋ e r s a lʲ n e m e
універсальних	ʊ nʲ i ʋ e r s a lʲ n e x
універсального	ʊ nʲ i ʋ e r s a lʲ n ɔ ɦ ɔ
універсальному	ʊ nʲ i ʋ e r s a lʲ n ɔ m ʊ
універсальною	ʊ nʲ i ʋ e r s a lʲ n ɔ j ʊ
універсальної	ʊ nʲ i ʋ e r s a lʲ n ɔ j i
універсальну	ʊ nʲ i ʋ e r s a lʲ n ʊ
універсальні	ʊ nʲ i ʋ e r s a lʲ nʲ i
універсальній	ʊ nʲ i ʋ e r s a lʲ nʲ i i̯
універсальнім	ʊ nʲ i ʋ e r s a lʲ nʲ i m
універсальність	ʊ nʲ i ʋ e r s a lʲ nʲ i sʲ tʲ
університет	ʊ nʲ i ʋ e r s e t ɛ t
університетам	ʊ nʲ i ʋ e r s e t ɛ t ɐ m
університетами	ʊ nʲ i ʋ e r s e t ɛ t ɐ m e
університетах	ʊ nʲ i ʋ e r s e t ɛ t ɐ x
університети	ʊ nʲ i ʋ e r s e t ɛ t e
університетові	ʊ nʲ i ʋ e r s e t ɛ t ɔ ʋʲ i
університетом	ʊ nʲ i ʋ e r s e t ɛ t ɔ m
університетська	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k ɐ
університетське	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k e
університетський	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k e i̯
університетським	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k e m
університетськими	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k e m e
університетських	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k e x
університетського	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k ɔ ɦ ɔ
університетському	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k ɔ m ʊ
університетською	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k ɔ j ʊ
університетської	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k ɔ j i
університетську	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k ʊ
університетські	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ kʲ i
університетській	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ kʲ i i̯
університетськім	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ kʲ i m
університету	ʊ nʲ i ʋ e r s e t ɛ t ʊ
університеті	ʊ nʲ i ʋ e r s e t ɛ tʲ i
університетів	ʊ nʲ i ʋ e r s e t ɛ tʲ i u̯
унікальний	ʊ nʲ i k a lʲ n e i̯
унікальність	ʊ nʲ i k a lʲ nʲ i sʲ tʲ
унітаз	ʊ nʲ i t a z
унітарний	ʊ nʲ i t a r n e i̯
уніфікувати	ʊ nʲ i fʲ i k ʊ ʋ a t e
уособити	ʊ ɔ s ɔ b e t e
уособлення	ʊ ɔ s ɔ b ɫ e nʲː ɐ
уособлювати	ʊ ɔ s ɔ b lʲ ʊ ʋ ɐ t e
уп'ять	ʊ p j a tʲ
упаковка	ʊ p ɐ k ɔ u̯ k ɐ
упанішади	ʊ p ɐ nʲ i ʃ a d e
упасти	ʊ p a s t e
упевнений	ʊ p ɛ u̯ n e n e i̯
упевненість	ʊ p ɛ u̯ n e nʲ i sʲ tʲ
упереджений	ʊ p e r ɛ d͡ʒ e n e i̯
упередження	ʊ p e r ɛ d͡ʒ e nʲː ɐ
упертий	ʊ p ɛ r t e i̯
упир	ʊ p ɪ r
уповати	ʊ p ɔ ʋ a t e
уповноваження	ʊ p ɔ u̯ n ɔ ʋ a ʒ e nʲː ɐ
уповноважити	ʊ p ɔ u̯ n ɔ ʋ a ʒ e t e
уповноважувати	ʊ p ɔ u̯ n ɔ ʋ a ʒ ʊ ʋ ɐ t e
уповільнити	ʊ p ɔ ʋʲ i lʲ n e t e
уповільнювати	ʊ p ɔ ʋʲ i lʲ nʲ ʊ ʋ ɐ t e
уповільнюватися	ʊ p ɔ ʋʲ i lʲ nʲ ʊ ʋ ɐ t e sʲ ɐ
уподібнення	ʊ p o dʲ i b n e nʲː ɐ
упоратися	ʊ p ɔ r ɐ t e sʲ ɐ
упорядковувати	ʊ p ɔ rʲ ɐ d k ɔ w ʊ ʋ ɐ t e
упорядкувати	ʊ p ɔ rʲ ɐ d k ʊ ʋ a t e
управління	ʊ p r ɐ u̯ lʲ i nʲː ɐ
управлінський	ʊ p r ɐ u̯ lʲ i nʲ sʲ k e i̯
упритул	ʊ p r e t u ɫ
ураган	ʊ r ɐ ɦ a n
ураження	ʊ r a ʒ e nʲː ɐ
уран	ʊ r a n
уранці	ʊ r a nʲ t͡sʲ i
урбанізація	ʊ r b ɐ nʲ i z a t͡sʲ i j ɐ
урбанізм	ʊ r b ɐ nʲ i z m
урбанізований	ʊ r b ɐ nʲ i z ɔ ʋ ɐ n e i̯
урбанізувати	ʊ r b ɐ nʲ i z ʊ ʋ a t e
урду	ʊ r d u
уривчастий	ʊ r ɪ u̯ t͡ʃ ɐ s t e i̯
урка	u r k ɐ
уркам	u r k ɐ m
урками	u r k ɐ m e
урках	u r k ɐ x
урки	u r k e
урко	u r k ɔ
уркою	u r k ɔ j ʊ
урку	u r k ʊ
урода	ʊ r ɔ d ɐ
уродженець	ʊ r ɔ d͡ʒ e n e t͡sʲ
уроди	ʊ r ɔ d e
уродин	ʊ r ɔ d ɪ n
уродинам	ʊ r ɔ d ɪ n ɐ m
уродинами	ʊ r ɔ d ɪ n ɐ m e
уродинах	ʊ r ɔ d ɪ n ɐ x
уродини	ʊ r ɔ d ɪ n e
уродливий	ʊ r ɔ d ɫ ɪ ʋ e i̯
уродо	ʊ r ɔ d ɔ
уродою	ʊ r ɔ d ɔ j ʊ
уроду	ʊ r ɔ d ʊ
уроді	ʊ r ɔ dʲ i
урожай	ʊ r ɔ ʒ a i̯
урожайне	ʊ r ɔ ʒ a i̯ n e
урожайний	ʊ r ɔ ʒ a i̯ n e i̯
урок	u r ɔ k
урок	ʊ r ɔ k
урокам	ʊ r ɔ k ɐ m
уроками	ʊ r ɔ k ɐ m e
уроках	ʊ r ɔ k ɐ x
уроки	ʊ r ɔ k e
