@	a̠ t̚ t o̞
浜木綿	h a̠ m a̠ j ɯ̟ː
破魔弓	h a̠ m a̠ j ɯ̟ mʲ i
はまり役	h a̠ m a̠ ɾʲ i j a̠ k ɯ̟
嵌まる	h a̠ m a̠ ɾ ɯ̟
蝮	h a̠ mʲ i
馬銜	h a̠ mʲ i
バミー	b a̠ mʲ iː
歯磨き	h a̠ mʲ i ɡ a̠ kʲ i
歯磨き粉	h a̠ mʲ i ɡ a̠ kʲ i̥ k o̞
はみだす	h a̠ mʲ i d a̠ s ɨ
はみでる	h a̠ mʲ i d e̞ ɾ ɯ̟
はみパン	h a̠ mʲ i p ã̠ ɴ
食み物	h a̠ mʲ i m o̞ n o̞
バミューダ	b a̠ mʲ ɨː d a̠
ばみり	b a̠ mʲ i ɾʲ i
ばみる	b a̠ mʲ i ɾ ɯ̟
ハミング	h a̠ mʲ ĩ ŋ ɡ ɯ̟
ハム	h a̠ m ɯ̟
食む	h a̠ m ɯ̟
歯向かう	h a̠ m ɯ̟ k a̠ ɯ̟
ハムスター	h a̠ m ɯ̟ s ɨ̥ t a̠ː
はむはむ	h a̠ m ɯ̟ h a̠ m ɯ̟
ハムる	h a̠ m ɯ̟ ɾ ɯ̟
羽目	h a̠ m e̞
はめ倒す	h a̠ m e̞ t a̠ o̞ s ɨ
破滅	h a̠ m e̞ t͡s ɨ
嵌める	h a̠ m e̞ ɾ ɯ̟
場面	b a̠ m ẽ̞ ɴ
鱧	h a̠ m o̞
は文字	h a̠ m o̞ ʑ i
刃物	h a̠ m o̞ n o̞
葉物	h a̠ m o̞ n o̞
ハモり	h a̠ m o̞ ɾʲ i
波紋	h a̠ m õ̞ ɴ
破門	h a̠ m õ̞ ɴ
早	h a̠ j a̠
早足	h a̠ j a̠ a̠ ɕ i
早歩き	h a̠ j a̠ a̠ ɾ ɯ̟ kʲ i
早い	h a̠ j a̠ i
速い	h a̠ j a̠ i
早起き	h a̠ j a̠ o̞ kʲ i
早送り	h a̠ j a̠ o̞ k ɯ̟ ɾʲ i
はやおし	h a̠ j a̠ o̞ ɕ i
はやおしき	h a̠ j a̠ o̞ ɕ i kʲ i
はやがき	h a̠ j a̠ ɡ a̠ kʲ i
早合点	h a̠ j a̠ ɡ a̠ t ẽ̞ ɴ
早川	h a̠ j a̠ k a̠ β̞ a̠
はやく	h a̠ j a̠ k ɯ̟
破約	h a̠ j a̠ k ɯ̟
端役	h a̠ j a̠ k ɯ̟
早食い	h a̠ j a̠ ɡ ɯ̟ i
早口	h a̠ j a̠ k ɯ̟ t͡ɕ i
早口言葉	h a̠ j a̠ k ɯ̟̊ t͡ɕ i k o̞ t o̞ b a̠
速さ	h a̠ j a̠ s a̠
早咲き	h a̠ j a̠ z a̠ kʲ i
暴雨	h a̠ j a̠ s a̠ m e̞
はやし	h a̠ j a̠ ɕ i
囃子	h a̠ j a̠ ɕ i
林	h a̠ j a̠ ɕ i
はやしことば	h a̠ j a̠ ɕ i k o̞ t o̞ b a̠
囃し立てる	h a̠ j a̠ ɕ i t a̠ t e̞ ɾ ɯ̟
早死に	h a̠ j a̠ ʑ i ɲ̟ i
ハヤシライス	h a̠ j a̠ ɕ i ɾ a̠ i s ɨ
囃す	h a̠ j a̠ s ɨ
生やす	h a̠ j a̠ s ɨ
早瀬	h a̠ j a̠ s e̞
隼人瓜	h a̠ j a̠ t o̞ ɯ̟ ɾʲ i
早とちり	h a̠ j a̠ t o̞ t͡ɕ i ɾʲ i
早寝	h a̠ j a̠ n e̞
早飲み込み	h a̠ j a̠ n o̞ mʲ i k o̞ mʲ i
早々	h a̠ j a̠ b a̠ j a̠
早番	h a̠ j a̠ b ã̠ ɴ
はやびき	h a̠ j a̠ bʲ i kʲ i
はやぶさ	h a̠ j a̠ b ɯ̟ s a̠
ハヤブサ	h a̠ j a̠ b ɯ̟ s a̠
隼	h a̠ j a̠ b ɯ̟ s a̠
早弁	h a̠ j a̠ b ẽ̞ ɴ
はやまる	h a̠ j a̠ m a̠ ɾ ɯ̟
早見	h a̠ j a̠ mʲ i
早見表	h a̠ j a̠ mʲ i ç o̞ː
はやめ	h a̠ j a̠ m e̞
はやめる	h a̠ j a̠ m e̞ ɾ ɯ̟
流行り	h a̠ j a̠ ɾʲ i
逸り	h a̠ j a̠ ɾʲ i
流行り歌	h a̠ j a̠ ɾʲ i ɯ̟ t a̠
流行り言葉	h a̠ j a̠ ɾʲ i k o̞ t o̞ b a̠
流行り廃り	h a̠ j a̠ ɾʲ i s ɨ t a̠ ɾʲ i
流行りっ子	h a̠ j a̠ ɾʲ i k̚ k o̞
流行り病	h a̠ j a̠ ɾʲ i j a̠ m a̠ i
流行る	h a̠ j a̠ ɾ ɯ̟
逸る	h a̠ j a̠ ɾ ɯ̟
はやわかり	h a̠ j a̠ β̞ a̠ k a̠ ɾʲ i
はやわざ	h a̠ j a̠ β̞ a̠ z a̠
生ゆ	h a̠ j ɯ̟
はよ	h a̠ j o̞
パヨク	p a̠ j o̞ k ɯ̟
原	h a̠ ɾ a̠
腹	h a̠ ɾ a̠
薔薇	b a̠ ɾ a̠
パラ	p a̠ ɾ a̠
バラード	b a̠ ɾ a̠ː d o̞
ハラーム	h a̠ ɾ a̠ː m ɯ̟
ハラール	h a̠ ɾ a̠ː ɾ ɯ̟
払い	h a̠ ɾ a̠ i
はらいせ	h a̠ ɾ a̠ i s e̞
パライソ	p a̠ ɾ a̠ i s o̞
払い除ける	h a̠ ɾ a̠ i n o̞ k e̞ ɾ ɯ̟
払います	h a̠ ɾ a̠ i m a̠ s ɨ
払い戻し	h a̠ ɾ a̠ i m o̞ d o̞ ɕ i
払い戻す	h a̠ ɾ a̠ i m o̞ d o̞ s ɨ
薔薇色	b a̠ ɾ a̠ i ɾ o̞
払う	h a̠ ɾ a̠ ɯ̟
祓う	h a̠ ɾ a̠ ɯ̟
はらえ	h a̠ ɾ a̠ e̞
バラエティー	b a̠ ɾ a̠ e̞ tʲ iː
祓戸	h a̠ ɾ a̠ e̞ d o̞
薔薇園	b a̠ ɾ a̠ ẽ̞ ɴ
パラオ	p a̠ ɾ a̠ o̞
パラオ語	p a̠ ɾ a̠ o̞ ɡ o̞
はらから	h a̠ ɾ a̠ k a̠ ɾ a̠
同胞	d o̞ː h o̞ː
腹切り	h a̠ ɾ a̠ kʲ i ɾʲ i
パラグアイ	p a̠ ɾ a̠ ɡ ɯ̟ a̠ i
腹黒い	h a̠ ɾ a̠ ɡ ɯ̟ ɾ o̞ i
腹芸	h a̠ ɾ a̠ ɡ e̞ː
散ける	b a̠ ɾ a̠ k e̞ ɾ ɯ̟
パラコート	p a̠ ɾ a̠ k o̞ː t o̞
はらごしらえ	h a̠ ɾ a̠ ɡ o̞ ɕ i ɾ a̠ e̞
腹ごなし	h a̠ ɾ a̠ ɡ o̞ n a̠ ɕ i
パラジウム	p a̠ ɾ a̠ ʑ i ɯ̟ m ɯ̟
パラジクロロベンゼン	p a̠ ɾ a̠ ʑ i k ɯ̟ ɾ o̞ ɾ o̞ b ẽ̞ n d͡z ẽ̞ ɴ
パラシュート	p a̠ ɾ a̠ ɕ ɨː t o̞
原宿	h a̠ ɾ a̠ ʑ ɨ k ɯ̟
ハラショー	h a̠ ɾ a̠ ɕ o̞ː
晴らす	h a̠ ɾ a̠ s ɨ
腫らす	h a̠ ɾ a̠ s ɨ
ばらす	b a̠ ɾ a̠ s ɨ
パラス	p a̠ ɾ a̠ s ɨ
ハラスメント	h a̠ ɾ a̠ s ɨ m ẽ̞ n t o̞
パラソル	p a̠ ɾ a̠ s o̞ ɾ ɯ̟
腹立たしい	h a̠ ɾ a̠ d a̠ t a̠ ɕ iː
腹立ち	h a̠ ɾ a̠ d a̠ t͡ɕ i
薔薇鱮	b a̠ ɾ a̠ t a̠ n a̠ ɡ o̞
腹違い	h a̠ ɾ a̠ t͡ɕ i ɡ a̠ i
パラチンタ	p a̠ ɾ a̠ t͡ɕ ĩ n t a̠
バラッド	b a̠ ɾ a̠ d̚ d̥ o̞
原っぱ	h a̠ ɾ a̠ p̚ p a̠
ハラッパー	h a̠ ɾ a̠ p̚ p a̠ː
パラドックス	p a̠ ɾ a̠ d o̞ k̚ k ɯ̟ s ɨ
肋肉	b a̠ ɾ a̠ ɲ̟ i k ɯ̟
はらばい	h a̠ ɾ a̠ b a̠ i
腹這う	h a̠ ɾ a̠ b a̠ ɯ̟
薔薇羽太	b a̠ ɾ a̠ h a̠ t a̠
腹八分	h a̠ ɾ a̠ h a̠ t͡ɕ i b ɯ̟
はらはら	h a̠ ɾ a̠ h a̠ ɾ a̠
ぱらぱら	p a̠ ɾ a̠ p a̠ ɾ a̠
ばらばら	b a̠ ɾ a̠ b a̠ ɾ a̠
腹パン	h a̠ ɾ a̠ p ã̠ ɴ
パラフィン	p a̠ ɾ a̠ ɸʲ ĩ ɴ
腹ペコ	h a̠ ɾ a̠ p e̞ k o̞
パラボラ	p a̠ ɾ a̠ b o̞ ɾ a̠
ばらまく	b a̠ ɾ a̠ m a̠ k ɯ̟
はらみ	h a̠ ɾ a̠ mʲ i
腹身	h a̠ ɾ a̠ mʲ i
波羅蜜	h a̠ ɾ a̠ mʲ i t͡s ɨ
孕む	h a̠ ɾ a̠ m ɯ̟
パラメータ	p a̠ ɾ a̠ m e̞ː t a̠
はらもち	h a̠ ɾ a̠ m o̞ t͡ɕ i
バラモン	b a̠ ɾ a̠ m õ̞ ɴ
バラモン教	b a̠ ɾ a̠ m õ̞ ŋʲ kʲ o̞ː
婆羅門参	b a̠ ɾ a̠ m õ̞ ɲ̟ d͡ʑ ĩ ɴ
バラライカ	b a̠ ɾ a̠ ɾ a̠ i k a̠
鮞	h a̠ ɾ a̠ ɾ a̠ ɡ o̞
はらり	h a̠ ɾ a̠ ɾʲ i
パラリンピック	p a̠ ɾ a̠ ɾʲ ĩ m pʲ i̥ k̚ k ɯ̟
パラレル	p a̠ ɾ a̠ ɾ e̞ ɾ ɯ̟
波瀾	h a̠ ɾ ã̠ ɴ
破卵	h a̠ ɾ ã̠ ɴ
バランス	b a̠ ɾ ã̠ ɰ̃ s ɨ
バランススクーター	b a̠ ɾ ã̠ ɰ̃ s ɨ s ɨ k ɯ̟ː t a̠ː
波瀾万丈	h a̠ ɾ ã̠ m b ã̠ ɲ̟ d͡ʑ o̞ː
波瀾含み	h a̠ ɾ ã̠ m b ɯ̟ k ɯ̟ mʲ i
張り	h a̠ ɾʲ i
玻璃	h a̠ ɾʲ i
針	h a̠ ɾʲ i
鍼	h a̠ ɾʲ i
ばり	b a̠ ɾʲ i
バリ	b a̠ ɾʲ i
罵詈	b a̠ ɾʲ i
パリ	p a̠ ɾʲ i
巴里	p a̠ ɾʲ i
張り合い	h a̠ ɾʲ i a̠ i
張り合う	h a̠ ɾʲ i a̠ ɯ̟
張り上げる	h a̠ ɾʲ i a̠ ɡ e̞ ɾ ɯ̟
貼り合わせる	h a̠ ɾʲ i a̠ β̞ a̠ s e̞ ɾ ɯ̟
ハリーサ	h a̠ ɾʲ iː s a̠
ハリーファ	h a̠ ɾʲ iː ɸ a̠
聖林	h a̠ ɾʲ i ɯ̟ d̚ d̥ o̞
バリウム	b a̠ ɾʲ i ɯ̟ m ɯ̟
バリエーション	b a̠ ɾʲ i e̞ː ɕ õ̞ ɴ
針金雀児	h a̠ ɾʲ i e̞ ɲ̟ i ɕ i d a̠
張り扇	h a̠ ɾʲ i o̞ː ɡʲ i
バリオン	b a̠ ɾʲ i õ̞ ɴ
張形	h a̠ ɾʲ i k a̠ t a̠
針金	h a̠ ɾʲ i ɡ a̠ n e̞
張り紙	h a̠ ɾʲ i ɡ a̠ mʲ i
貼り紙	h a̠ ɾʲ i ɡ a̠ mʲ i
バリカン	b a̠ ɾʲ i k ã̠ ɴ
馬力	b a̠ ɾʲ i kʲ i
バリキャリ	b a̠ ɾʲ i kʲ a̠ ɾʲ i
張り切る	h a̠ ɾʲ i kʲ i ɾ ɯ̟
バリケード	b a̠ ɾʲ i k e̞ː d o̞
ハリケーン	h a̠ ɾʲ i k ẽ̞ː ɴ
バリケン	b a̠ ɾʲ i k ẽ̞ ɴ
張り子	h a̠ ɾʲ i k o̞
針子	h a̠ ɾʲ i k o̞
ハリコフ	h a̠ ɾʲ i k o̞ ɸ ɯ̟
張り込む	h a̠ ɾʲ i k o̞ m ɯ̟
張り裂ける	h a̠ ɾʲ i s a̠ k e̞ ɾ ɯ̟
針仕事	h a̠ ɾʲ i ɕ i ɡ o̞ t o̞
パリス	p a̠ ɾʲ i s ɨ
バリスタ	b a̠ ɾʲ i s ɨ t a̠
針千本	h a̠ ɾʲ i s ẽ̞ m b õ̞ ɴ
罵詈雑言	b a̠ ɾʲ i z o̞ː ɡ õ̞ ɴ
張り倒す	h a̠ ɾʲ i t a̠ o̞ s ɨ
玻璃長石	h a̠ ɾʲ i t͡ɕ o̞ː s e̞ kʲ i
ハリッサ	h a̠ ɾʲ i sː a̠
張り付く	h a̠ ɾʲ i t͡s ɨ̥ k ɯ̟
磔	h a̠ ɾʲ i t͡s ɨ̥ k e̞
張り付ける	h a̠ ɾʲ i t͡s ɨ̥ k e̞ ɾ ɯ̟
張り詰める	h a̠ ɾʲ i t͡s ɨ m e̞ ɾ ɯ̟
パリティー	p a̠ ɾʲ i tʲ iː
バリ島	b a̠ ɾʲ i t o̞ː
バリニーズ	b a̠ ɾʲ i ɲ̟ iː z ɨ
針鼠	h a̠ ɾʲ i n e̞ z ɨ mʲ i
ばりばり	b a̠ ɾʲ i b a̠ ɾʲ i
パリピ	p a̠ ɾʲ i pʲ i
貼り札	h a̠ ɾʲ i ɸ ɯ̟ d a̠
はりぼて	h a̠ ɾʲ i b o̞ t e̞
ハリモグラ科	h a̠ ɾʲ i m o̞ ɡ ɯ̟ ɾ a̠ k a̠
バリン	b a̠ ɾʲ ĩ ɴ
張る	h a̠ ɾ ɯ̟
春	h a̠ ɾ ɯ̟
貼る	h a̠ ɾ ɯ̟
バル	b a̠ ɾ ɯ̟
治明	h a̠ ɾ ɯ̟ a̠ kʲ i
春一番	h a̠ ɾ ɯ̟ i t͡ɕ i b ã̠ ɴ
バルーン	b a̠ ɾ ɯ̟̃ː ɴ
治夫	h a̠ ɾ ɯ̟ o̞
治男	h a̠ ɾ ɯ̟ o̞
日花	h a̠ ɾ ɯ̟ k a̠
遥	h a̠ ɾ ɯ̟ k a̠
遥か	h a̠ ɾ ɯ̟ k a̠
春風	h a̠ ɾ ɯ̟ k a̠ z e̞
春川	h a̠ ɾ ɯ̟ k a̠ β̞ a̠
巴爾幹	b a̠ ɾ ɯ̟ k ã̠ ɴ
春希	h a̠ ɾ ɯ̟ kʲ i
春樹	h a̠ ɾ ɯ̟ kʲ i
晴樹	h a̠ ɾ ɯ̟ kʲ i
遥輝	h a̠ ɾ ɯ̟ kʲ i
春着	h a̠ ɾ ɯ̟ ɡʲ i
ハルキウ	h a̠ ɾ ɯ̟ kʲ i ɯ̟
パルクール	p a̠ ɾ ɯ̟ k ɯ̟ː ɾ ɯ̟
バルクメール	b a̠ ɾ ɯ̟ k ɯ̟ m e̞ː ɾ ɯ̟
春子	h a̠ ɾ ɯ̟ k o̞
治子	h a̠ ɾ ɯ̟ k o̞
春蚕	h a̠ ɾ ɯ̟ ɡ o̞
パルサー	p a̠ ɾ ɯ̟ s a̠ː
バルサミコ酢	b a̠ ɾ ɯ̟ s a̠ mʲ i k o̞ s ɨ
バルサム	b a̠ ɾ ɯ̟ s a̠ m ɯ̟
春雨	h a̠ ɾ ɯ̟ s a̠ m e̞
ハルシネーション	h a̠ ɾ ɯ̟ ɕ i n e̞ː ɕ õ̞ ɴ
パルス	p a̠ ɾ ɯ̟ s ɨ
パルチザン	p a̠ ɾ ɯ̟ t͡ɕ i z ã̠ ɴ
ハルツーム	h a̠ ɾ ɯ̟ t͡s ɨː m ɯ̟
春告草	h a̠ ɾ ɯ̟ t͡s ɨ ɡ e̞ ɡ ɯ̟ s a̠
パルテノン	p a̠ ɾ ɯ̟ t e̞ n õ̞ ɴ
バルト	b a̠ ɾ ɯ̟ t o̞
バルトリン腺	b a̠ ɾ ɯ̟ t o̞ ɾʲ ĩ ɰ̃ s ẽ̞ ɴ
バルトロマイ	b a̠ ɾ ɯ̟ t o̞ ɾ o̞ m a̠ i
春奈	h a̠ ɾ ɯ̟ n a̠
春場所	h a̠ ɾ ɯ̟ b a̠ ɕ o̞
バルバドス	b a̠ ɾ ɯ̟ b a̠ d o̞ s ɨ
はるばる	h a̠ ɾ ɯ̟ b a̠ ɾ ɯ̟
バルビツール酸	b a̠ ɾ ɯ̟ bʲ i t͡s ɨː ɾ ɯ̟ s ã̠ ɴ
ハルビン	h a̠ ɾ ɯ̟ bʲ ĩ ɴ
パルプ・フィクション	p a̠ ɾ ɯ̟ p ɯ̟ ɸʲ i k ɯ̟ ɕ õ̞ ɴ
パルプ	p a̠ ɾ ɯ̟ p ɯ̟
バルブ	b a̠ ɾ ɯ̟ b ɯ̟
春巻き	h a̠ ɾ ɯ̟ m a̠ kʲ i
ハルマゲドン	h a̠ ɾ ɯ̟ m a̠ ɡ e̞ d õ̞ ɴ
春祭り	h a̠ ɾ ɯ̟ m a̠ t͡s ɨ ɾʲ i
晴美	h a̠ ɾ ɯ̟ mʲ i
パルミチン酸	p a̠ ɾ ɯ̟ mʲ i t͡ɕ ĩ ɰ̃ s ã̠ ɴ
ハルモニウム	h a̠ ɾ ɯ̟ m o̞ ɲ̟ i ɯ̟ m ɯ̟
春休み	h a̠ ɾ ɯ̟ j a̠ s ɨ mʲ i
晴れ	h a̠ ɾ e̞
馬鈴薯	b a̠ ɾ e̞ː ɕ o̞
バレエ	b a̠ ɾ e̞ː
バレー	b a̠ ɾ e̞ː
ハレーション	h a̠ ɾ e̞ː ɕ õ̞ ɴ
パレード	p a̠ ɾ e̞ː d o̞
バレーボール	b a̠ ɾ e̞ː b o̞ː ɾ ɯ̟
パレオ	p a̠ ɾ e̞ o̞
パレオグラフィー	p a̠ ɾ e̞ o̞ ɡ ɯ̟ ɾ a̠ ɸʲ iː
晴れがましい	h a̠ ɾ e̞ ɡ a̠ m a̠ ɕ iː
晴れ着	h a̠ ɾ e̞ ɡʲ i
パレス	p a̠ ɾ e̞ s ɨ
パレスチナ	p a̠ ɾ e̞ s ɨ̥ t͡ɕ i n a̠
パレスティナ	p a̠ ɾ e̞ s ɨ̥ tʲ i n a̠
バレッタ	b a̠ ɾ e̞ t̚ t a̠
バレット	b a̠ ɾ e̞ t̚ t o̞
パレット	p a̠ ɾ e̞ t̚ t o̞
破裂	h a̠ ɾ e̞ t͡s ɨ
破裂音	h a̠ ɾ e̞ t͡s ɨ õ̞ ɴ
晴れて	h a̠ ɾ e̞ t e̞
ばればれ	b a̠ ɾ e̞ b a̠ ɾ e̞
腫れぼったい	h a̠ ɾ e̞ b o̞ t̚ t a̠ i
ハレム	h a̠ ɾ e̞ m ɯ̟
腫れ物	h a̠ ɾ e̞ m o̞ n o̞
はれものあつかい	h a̠ ɾ e̞ m o̞ n o̞ a̠ t͡s ɨ k a̠ i
晴れやか	h a̠ ɾ e̞ j a̠ k a̠
バレリーナ	b a̠ ɾ e̞ ɾʲ iː n a̠
晴れる	h a̠ ɾ e̞ ɾ ɯ̟
腫れる	h a̠ ɾ e̞ ɾ ɯ̟
ばれる	b a̠ ɾ e̞ ɾ ɯ̟
バレル	b a̠ ɾ e̞ ɾ ɯ̟
ハレルヤ	h a̠ ɾ e̞ ɾ ɯ̟ j a̠
馬簾	b a̠ ɾ ẽ̞ ɴ
バレンシア	b a̠ ɾ ẽ̞ ɰ̃ ɕ i a̠
バレンシア語	b a̠ ɾ ẽ̞ ɰ̃ ɕ i a̠ ɡ o̞
破廉恥	h a̠ ɾ ẽ̞ ɲ̟ t͡ɕ i
パレンバン	p a̠ ɾ ẽ̞ m b ã̠ ɴ
パロ	p a̠ ɾ o̞
波浪	h a̠ ɾ o̞ː
ハロウィーン	h a̠ ɾ o̞ β̞ ĩː ɴ
ハロウィン	h a̠ ɾ o̞ β̞ ĩ ɴ
ハロー	h a̠ ɾ o̞ː
パロール	p a̠ ɾ o̞ː ɾ ɯ̟
パロディ	p a̠ ɾ o̞ dʲ i
パロディー	p a̠ ɾ o̞ dʲ iː
パロる	p a̠ ɾ o̞ ɾ ɯ̟
ハロワ	h a̠ ɾ o̞ β̞ a̠
パワー	p a̠ β̞ a̠ː
パワープレイ	p a̠ β̞ a̠ː p ɯ̟ ɾ e̞ː
ハワイ	h a̠ β̞ a̠ i
ハワイ州	h a̠ β̞ a̠ i ɕ ɨː
はわく	h a̠ β̞ a̠ k ɯ̟
はわさび	h a̠ β̞ a̠ s a̠ bʲ i
パワスポ	p a̠ β̞ a̠ s ɨ p o̞
パワハラ	p a̠ β̞ a̠ h a̠ ɾ a̠
パワフル	p a̠ β̞ a̠ ɸ ɯ̟̊ ɾ ɯ̟
判	h ã̠ ɴ
半	h ã̠ ɴ
恨	h ã̠ ɴ
班	h ã̠ ɴ
繁	h ã̠ ɴ
般	h ã̠ ɴ
飯	h ã̠ ɴ
BAN	b ã̠ ɴ
バン	b ã̠ ɴ
伴	b ã̠ ɴ
晩	b ã̠ ɴ
番	b ã̠ ɴ
盤	b ã̠ ɴ
蕃	b ã̠ ɴ
鷭	b ã̠ ɴ
パン	p ã̠ ɴ
犯意	h ã̠ ɰ̃ i
範囲	h ã̠ ɰ̃ i
藩医	h ã̠ ɰ̃ i
蕃衣	b ã̠ ɰ̃ i
反意語	h ã̠ ɰ̃ i ɡ o̞
パンイチ	p ã̠ ɰ̃ i t͡ɕ i
半影	h ã̠ ɰ̃ e̞ː
反映	h ã̠ ɰ̃ e̞ː
反英	h ã̠ ɰ̃ e̞ː
繁栄	h ã̠ ɰ̃ e̞ː
反英雄	h ã̠ ɰ̃ e̞ː j ɯ̟ː
反映論	h ã̠ ɰ̃ e̞ː ɾ õ̞ ɴ
磐越	b ã̠ ɰ̃ e̞ t͡s ɨ
半円	h ã̠ ɰ̃ ẽ̞ ɴ
藩王	h ã̠ ɰ̃ o̞ː
反歌	h ã̠ ŋ k a̠
汎化	h ã̠ ŋ k a̠
繁夥	h ã̠ ŋ k a̠
繁柯	h ã̠ ŋ k a̠
繁科	h ã̠ ŋ k a̠
繁苛	h ã̠ ŋ k a̠
繁華	h ã̠ ŋ k a̠
挽歌	b ã̠ ŋ k a̠
版画	h ã̠ ŋ ɡ a̠
蕃茄	b ã̠ ŋ k a̠
ハンガー	h ã̠ ŋ ɡ a̠ː
バンカー	b ã̠ ŋ k a̠ː
半壊	h ã̠ ŋ k a̠ i
挽回	b ã̠ ŋ k a̠ i
蕃界	b ã̠ ŋ k a̠ i
番外	b ã̠ ŋ ɡ a̠ i
繁華街	h ã̠ ŋ k a̠ ɡ a̠ i
半角	h ã̠ ŋ k a̠ k ɯ̟
反核	h ã̠ ŋ k a̠ k ɯ̟
半額	h ã̠ ŋ ɡ a̠ k ɯ̟
万学	b ã̠ ŋ ɡ a̠ k ɯ̟
晩学	b ã̠ ŋ ɡ a̠ k ɯ̟
反角柱	h ã̠ ŋ k a̠ k ɯ̟ t͡ɕ ɨː
反革命	h ã̠ ŋ k a̠ k ɯ̟ m e̞ː
蕃瓜樹	b ã̠ ŋ k a̠ ʑ ɨ
半化石	h ã̠ ŋ k a̠ s e̞ kʲ i
ハンカチ	h ã̠ ŋ k a̠ t͡ɕ i
蛮カラ	b ã̠ ŋ k a̠ ɾ a̠
ハンガリー	h ã̠ ŋ ɡ a̠ ɾʲ iː
ハンガリー語	h ã̠ ŋ ɡ a̠ ɾʲ iː ɡ o̞
ハンガリー人	h ã̠ ŋ ɡ a̠ ɾʲ iː ʑ ĩ ɴ
反感	h ã̠ ŋ k ã̠ ɴ
判官	h ã̠ ŋ ɡ ã̠ ɴ
半旗	h ã̠ ŋʲ kʲ i
半期	h ã̠ ŋʲ kʲ i
反旗	h ã̠ ŋʲ kʲ i
万機	b ã̠ ŋʲ kʲ i
晩期	b ã̠ ŋʲ kʲ i
版木	h ã̠ ŋʲ ɡʲ i
板木	b ã̠ ŋʲ ɡʲ i
半規管	h ã̠ ŋʲ kʲ i k ã̠ ɴ
反義語	h ã̠ ŋʲ ɡʲ i ɡ o̞
バンギャ	b ã̠ ŋʲ ɡʲ a̠
万客	b ã̠ ŋʲ kʲ a̠ k ɯ̟
反逆	h ã̠ ŋʲ ɡʲ a̠ k ɯ̟
反逆罪	h ã̠ ŋʲ ɡʲ a̠ k ɯ̟ z a̠ i
反逆者	h ã̠ ŋʲ ɡʲ a̠ k ɯ̟ ɕ a̠
バンギャル	b ã̠ ŋʲ ɡʲ a̠ ɾ ɯ̟
はんきゅう	h ã̠ ŋʲ kʲ ɨː
半休	h ã̠ ŋʲ kʲ ɨː
半弓	d a̠ i kʲ ɨː
半球	h ã̠ ŋʲ kʲ ɨː
反響	h ã̠ ŋʲ kʲ o̞ː
バンク	b ã̠ ŋ k ɯ̟
パンク	p ã̠ ŋ k ɯ̟
バンクーバー	b ã̠ ŋ k ɯ̟ː b a̠ː
晩香坡	b ã̠ ŋ k ɯ̟ː b a̠ː
番組	b ã̠ ŋ ɡ ɯ̟ mʲ i
バングラデシュ	b ã̠ ŋ ɡ ɯ̟ ɾ a̠ d e̞ ɕ ɨ
ハングリー	h ã̠ ŋ ɡ ɯ̟ ɾʲ iː
ハングル	h ã̠ ŋ ɡ ɯ̟ ɾ ɯ̟
バングル	b ã̠ ŋ ɡ ɯ̟ ɾ ɯ̟
ハングル語	h ã̠ ŋ ɡ ɯ̟ ɾ ɯ̟ ɡ o̞
番狂わせ	b ã̠ ŋ k ɯ̟ ɾ ɯ̟ β̞ a̠ s e̞
半グレ	h ã̠ ŋ ɡ ɯ̟ ɾ e̞
半夏	h ã̠ ŋ ɡ e̞
判型	h ã̠ ŋ k e̞ː
半径	h ã̠ ŋ k e̞ː
パンケーキ	p ã̠ ŋ k e̞ː kʲ i
反撃	h ã̠ ŋ ɡ e̞ kʲ i
半夏生	h ã̠ ŋ ɡ e̞ ɕ o̞ː
判決	h ã̠ ŋ k e̞ t͡s ɨ
半月	h ã̠ ŋ ɡ e̞ t͡s ɨ
判決文	h ã̠ ŋ k e̞ t͡s ɨ b ɯ̟̃ ɴ
半券	h ã̠ ŋ k ẽ̞ ɴ
番犬	b ã̠ ŋ k ẽ̞ ɴ
半減期	h ã̠ ŋ ɡ ẽ̞ ŋʲ kʲ i
半舷上陸	h ã̠ ŋ ɡ ẽ̞ ɲ̟ d͡ʑ o̞ː ɾʲ i k ɯ̟
判子	h ã̠ ŋ k o̞
万古	b ã̠ ŋ k o̞
反語	h ã̠ ŋ ɡ o̞
盤古	b ã̠ ŋ k o̞
パン粉	p ã̠ ŋ k o̞
蕃語	b ã̠ ŋ ɡ o̞
蛮語	b ã̠ ŋ ɡ o̞
反抗	h ã̠ ŋ k o̞ː
反攻	h ã̠ ŋ k o̞ː
犯行	h ã̠ ŋ k o̞ː
蛮行	b ã̠ ŋ k o̞ː
飯盒	h ã̠ ŋ ɡ o̞ː
番号	b ã̠ ŋ ɡ o̞ː
反抗期	h ã̠ ŋ k o̞ː kʲ i
犯行現場	h ã̠ ŋ k o̞ː ɡ ẽ̞ m b a̠
バンコク	b ã̠ ŋ k o̞ k ɯ̟
万国	b ã̠ ŋ k o̞ k ɯ̟
万国旗	b ã̠ ŋ k o̞ k ɯ̟ kʲ i
万国博覧会	b ã̠ ŋ k o̞ k ɯ̟ h a̠ k ɯ̟ ɾ ã̠ ŋ k a̠ i
反骨	h ã̠ ŋ k o̞ t͡s ɨ
晩御飯	b ã̠ ŋ ɡ o̞ h ã̠ ɴ
万古不易	b ã̠ ŋ k o̞ ɸ ɯ̟ e̞ kʲ i
