Ada	aː t a
sníkja	s n iː c a
snípur	s t n iː p ʏ r
sníð	s n iː ð
sníða	s n iː ð a
snóker	s t n o uː k ɛ r
snöggur	s t n œ kː ʏ r
snökt	s n œ x t
snökta	s n œ x t a
snörla	s n œ r t l a
snös	s n œː s
snúðugur	s t n uː ð ʏː ʏ r
snúður	s t n uː ð ʏ r
sofa	s ɔː v a
sofi	s ɔː v ɪ
sofir	s ɔː v ɪ r
sofna	s ɔ p n a
sog	s ɔː ɣ
sokkur	s ɔ h k ʏ r
soldill	s ɔ l t ɪ t l
sonardóttir	s ɔː n a r t o u h t ɪ r
sonur	s ɔː n ʏ r
sorg	s ɔ r k
sori	s ɔː r ɪ
sorta	s ɔ r̥ t a
sorti	s ɔ r̥ t ɪ
sortna	s ɔ r̥ t n a
sortulyng	s ɔ r̥ t ʏ l i ŋ k
soð	s ɔː ð
spakmæli	s p aː k m a iː l ɪ
spakur	s p aː k ʏ r
spark	s p a r̥ k
sparka	s p a r̥ k a
sparnaður	s p a r t n aː ð ʏ r
sparð	s p a r ð
spaug	s p ø yː ɣ
spauga	s p ø yː ɣ a
spað	s p aː ð
spaði	s p aː ð ɪ
spegill	s p e iː j ɪ t l
spegla	s p e i k l a
speki	s p ɛː c ɪ
spekja	s p ɛː c a
spekt	s p ɛ x t
speli	s p ɛː l ɪ
spendýr	s p ɛ n t iː r
speni	s p ɛː n ɪ
spenna	s p ɛ nː a
spennandi	s p ɛ nː a n t ɪ
spenntur	s p ɛ n̥ t ʏ r
spergilkál	s p ɛ r c ɪ l kʰ a uː l
spergill	s p ɛ r c ɪ t l
sperðileitrun	s p ɛ r ð ɪ l e iː t r ʏ n
spik	s p ɪː k
spil	s p ɪː l
spila	s p ɪː l a
spilling	s p ɪ t l i ŋ k
spindill	s p ɪ n t ɪ t l
spinna	s p ɪ nː a
spjald	s p j a l t
spjaldtölva	s p j a l t tʰ œ l v a
spjalla	s p j a t l a
spjót	s p j o uː t
spjótkast	s p j o uː t kʰ a s t
spjör	s p j œː r
sporvagn	s p ɔ r v a k n
sporðdreki	s p ɔ r ð t r ɛː c ɪ
sporður	s p ɔ r ð ʏ r
sprauta	s p r œ i̯ː t a
sprengja	s p r e i ɲ c a
spretta	s p r ɛ h t a
sprettur	s p r ɛ h t ʏ r
sprikla	s p r ɪ h k l a
springa	s p r i ŋ k a
spritt	s p r ɪ h t
sproti	s p r ɔː t ɪ
sprunga	s p r u ŋ k a
spuni	s p ʏː n ɪ
spurnaratviksorð	s p ʏ r t n a r aː t v ɪ k s ɔ r ð
spurnarfornafn	s p ʏ r t n a r f ɔ r n a p n
spurning	s p ʏ r t n i ŋ k
spyrja	s p ɪ r j a
spyrja	s p ʏ r j a
spá	s p a uː
spámaður	s p a uː m aː ð ʏ r
spánarkerfill	s p a uː n a r cʰ ɛ r v ɪ t l
spánska	s p a u n s k a
spánskur	s p a u n s k ʏ r
spæla	s p a iː l a
spæll	s p a i t l
spænska	s p a i n s k a
spænskur	s p a i n s k ʏ r
spæta	s p a iː t a
spínat	s p iː n aː t
spíra	s p iː r a
spíri	s p iː r ɪ
spítali	s p iː tʰ aː l ɪ
spítt	s p i h t
spítta	s p i h t a
spói	s p o uː ɪ
spónn	s p o u t n
spöng	s p ø y ŋ k
spönn	s p œ nː
spúa	s p uː a
spýja	s p iː j a
stafa	s t aː v a
stafafura	s t aː v a f ʏː r a
stafla	s t a p l a
stafli	s t a p l ɪ
stafróf	s t a v r o uː v
stafur	s t aː v ʏ r
stak	s t aː k
stakket	s t a h k ɛː t
stakur	s t aː k ʏ r
stama	s t aː m a
stampur	s t a m̥ p ʏ r
standa	s t a n t a
standpína	s t a n t pʰ iː n a
stansa	s t a n s a
stappa	s t a h p a
stara	s t aː r a
starf	s t a r v
starfa	s t a r v a
starfsemi	s t a r v s ɛː m ɪ
stari	s t aː r ɪ
statistík	s t aː t ɪ s t iː k
staukur	s t ø yː k ʏ r
staur	s t ø yː r
staða	s t aː ð a
staðall	s t aː ð a t l
staðaratviksorð	s t aː ð a r aː t v ɪ k s ɔ r ð
staðarfall	s t aː ð a r f a t l
staðhæfa	s t a ð h a iː v a
staðhæfing	s t a ð h a iː v i ŋ k
staður	s t aː ð ʏ r
stef	s t ɛː v
stefna	s t ɛ p n a
stefni	s t ɛ p n ɪ
stefnuljós	s t ɛ p n ʏ l j o uː s
steik	s t e iː k
steikarhnífur	s t e iː k a r n̥ iː v ʏ r
steikja	s t e iː c a
stein	s t e iː n
steinbrjótur	s t e i n p r j o uː t ʏ r
steinefni	s t e iː n ɛ p n ɪ
steinn	s t e i t n
steinselja	s t e i n s ɛ l j a
stelkur	s t ɛ l̥ k ʏ r
stell	s t ɛ lː
stell	s t ɛ t l
stelling	s t ɛ t l i ŋ k
stelpa	s t ɛ l̥ p a
stemma	s t ɛ mː a
steri	s t ɛː r ɪ
sterkur	s t ɛ r̥ k ʏ r
steypa	s t e iː p a
steytill	s t e iː t ɪ t l
steðji	s t ɛ ð j ɪ
stig	s t ɪː ɣ
stigi	s t ɪ iː j ɪ
stika	s t ɪː k a
stikill	s t ɪː c ɪ t l
stikla	s t ɪ h k l a
stilkur	s t ɪ l̥ k ʏ r
stilla	s t ɪ t l a
stilling	s t ɪ t l i ŋ k
stimpill	s t ɪ m̥ p ɪ t l
stinga	s t i ŋ k a
stinnasef	s t ɪ nː a s ɛː v
stinnastör	s t ɪ nː a s t œː r
stirfinn	s t ɪ r v ɪ nː
stirðlegur	s t ɪ r ð l ɛː ɣ ʏ r
stirðna	s t ɪ r t n a
stirður	s t ɪ r ð ʏ r
stjaki	s t j aː c ɪ
stjarfi	s t j a r v ɪ
stjarfur	s t j a r v ʏ r
stjarna	s t j a r t n a
stjarneðlisfræði	s t j a r t n ɛ ð l ɪ s f r a iː ð ɪ
stjarneðlisfræðingur	s t j a r t n ɛ ð l ɪ s f r a iː ð i ŋ k ʏ r
stjóri	s t j o uː r ɪ
stjórn	s t j o u r t n
stjórna	s t j o u r t n a
stjórnarbylting	s t j o u r t n a r p ɪ l̥ t i ŋ k
stjórnborð	s t j o u r t n p ɔ r ð
stjórnborði	s t j o u r t n p ɔ r ð ɪ
stjórnklefi	s t j o u r t n kʰ l ɛː v ɪ
stjórnleysi	s t j o u r t n l e iː s ɪ
stjórnmál	s t j o u r t n m a uː l
stjórnmálamaður	s t j o u r t n m a uː l a m aː ð ʏ r
stjórnpallur	s t j o u r t n pʰ a t l ʏ r
stjórnvölur	s t j o u r t n v œː l ʏ r
stjörnuarfi	s t j œ r t n ʏ a r v ɪ
stjörnufræði	s t j œ r t n ʏ f r a iː ð ɪ
stjörnufræðingur	s t j œ r t n ʏ f r a iː ð i ŋ k ʏ r
stjörnuspeki	s t j œ r t n ʏ s p ɛː c ɪ
stjörnuspekingur	s t j œ r t n ʏ s p ɛː c i ŋ k ʏ r
stjörnuspá	s t j œ r t n ʏ s p a uː
stjúpdóttir	s t j uː p t o u h t ɪ r
stjúpmóðir	s t j uː p m o uː ð ɪ r
stjúpsonur	s t j uː p s ɔː n ʏ r
stofa	s t ɔː v a
stofn	s t ɔ p n
stofna	s t ɔ p n a
stofnfélagi	s t ɔ p n f j ɛː l aː j ɪ
stofnun	s t ɔ p n ʏ n
stoppa	s t ɔ h p a
stoppun	s t ɔ h p ʏ n
storkur	s t ɔ r̥ k ʏ r
storma	s t ɔ r m a
stormur	s t ɔ r m ʏ r
stoða	s t ɔː ð a
strand	s t r a n t
stranda	s t r a n t a
strandsauðlaukur	s t r a n t s ø y ð l ø yː k ʏ r
strangi	s t r a u ɲ c ɪ
strangur	s t r a u ŋ k ʏ r
strauja	s t r ø yː j a
straumur	s t r œ yː m ʏ r̥
streita	s t r e iː t a
strekkingur	s t r ɛ h c i ŋ k ʏ r
strekkja	s t r ɛ h c a
strengja	s t r e i ɲ c a
strengur	s t r e i ŋ k ʏ r
stress	s t r ɛ sː
stressa	s t r ɛ sː a
streyma	s t r e iː m a
streð	s t r ɛː ð
streða	s t r ɛː ð a
strigaskór	s t r ɪː ɣ a s k o uː r
strigi	s t r ɪː j ɪ
strik	s t r ɪː k
strikamerki	s t r ɪː k a m ɛ r̥ c ɪ
strimill	s t r ɪː m ɪ t l
strit	s t r ɪː t
strita	s t r ɪː t a
strjálingur	s t r j a uː l i ŋ k ʏ r
strjáll	s t r j a u t l
strjúka	s t r j uː k a
stroff	s t r ɔ fː
strokka	s t r ɔ h k a
strompur	s t r ɔ m̥ p ʏ r
strumpur	s t r ʏ m̥ p ʏ r
strá	s t r a uː
strákur	s t r a uː k ʏ r
strápils	s t r a uː pʰ ɪ l s
strætisvagn	s t r a iː t ɪ s v a k n
strítkar	s t r iː t kʰ aː r
stríð	s t r iː ð
stríða	s t r iː ð a
stríðni	s t r i ð n ɪ
strútur	s t r uː t ʏ r
strý	s t r iː
stulta	s t ʏ l̥ t a
stuna	s t ʏː n a
stund	s t ʏ n t
stunda	s t ʏ n t a
stundum	s t ʏ n t ʏ m
sturta	s t ʏ r̥ t a
stutt	s t ʏ h t
stuttermabolur	s t ʏ h t ɛ r m a p ɔː l ʏ r
stuttur	s t ʏ h t ʏ r
stuðlun	s t ʏ ð l ʏ n
stuðningur	s t ʏ ð n i ŋ k ʏ r
stuðull	s t ʏː ð ʏ t l
styggja	s t ɪ cː a
styggur	s t ɪ kː ʏ r
styggð	s t ɪ ɣ ð
stykkja	s t ɪ h c a
stynja	s t ɪ n j a
styrja	s t ɪ r j a
styrkja	s t ɪ r̥ c a
styrkleiki	s t ɪ r̥ k l e iː c ɪ
styrkur	s t ɪ r̥ k ʏ r
stytta	s t ɪ h t a
stytting	s t ɪ h t i ŋ k
styðja	s t ɪ ð j a
stál	s t a uː l
stálull	s t a uː l ʏ t l
stáss	s t a u sː
stát	s t a uː t
stækja	s t a iː c a
stækka	s t a i h k a
stæla	s t a iː l a
stæll	s t a i t l
stæra	s t a iː r a
stærð	s t a i r ð
stærðfræði	s t a i r ð f r a iː ð ɪ
stæði	s t a iː ð ɪ
stél	s t j ɛː l
stétt	s t j ɛ h t
stía	s t iː j a
stífa	s t iː v a
stífkrampi	s t i v kʰ r a m̥ p ɪ
stífla	s t i p l a
stífna	s t i p n a
stífni	s t i p n ɪ
stífur	s t iː v ʏ r
stíga	s t iː ɣ a
stígur	s t iː ɣ ʏ r
stígvél	s t i ɣ v j ɛː l
stíll	s t i t l
stó	s t o uː
stóla	s t o uː l a
stóll	s t o u t l
stór	s t o uː r
stórfenglegur	s t o u r̥ f e i ŋ k l ɛː ɣ ʏ r
stórhertogi	s t o uː r h ɛ r̥ tʰ ɔ j ɪ
stóriburkni	s t o uː r ɪ p ʏ r̥ k n ɪ
stóð	s t o uː ð
stökk	s t œ h k
stökkva	s t œ h k v a
stöng	s t ø y ŋ k
stöngull	s t ø y ŋ k ʏ t l
stör	s t œː r
stöð	s t œː ð
stöðugur	s t œː ð ʏ ɣ ʏ r
stöðva	s t œ ð v a
stöðvun	s t œ ð v ʏ n
stúlka	s t u l̥ k a
stýfa	s t iː v a
stýra	s t iː r a
stýri	s t iː r ɪ
stýrikerfi	s t iː r ɪ cʰ ɛ r v ɪ
suddi	s ʏ tː ɪ
sull	s ʏ t l
sulla	s ʏ t l a
sullur	s ʏ t l ʏ r
sulta	s ʏ l̥ t a
sumar	s ʏː m aː r
sumarhnoðri	s ʏː m a r n̥ ɔ ð r ɪ
sund	s ʏ n t
sundgleraugu	s ʏ n t k l ɛː r ø yː ɣ ʏ
sundlaug	s ʏ n t l ø yː ɣ
sunnan	s ʏ nː a n
sunnudagur	s ʏ nː ʏ t aː ɣ ʏ r
surtur	s ʏ r̥ t ʏ r
suðaustur	s ʏː ð ø y s t ʏ r
suðurljós	s ʏː ð ʏ r l j o uː s
suðvestur	s ʏː ð v ɛ s t ʏ r
svaf	s v aː v
svakalegur	s ʋ aː k a l ɛ ɣ ʏ r
svaladrykkur	s v aː l a t r ɪ h k ʏ r
svali	s v aː l ɪ
svalir	s v aː l ɪ r
svalur	s v aː l ʏ r
svampur	s v a m̥ p ʏ r
svangur	s v a u ŋ k ʏ r
svanur	s v aː n ʏ r
svar	s v aː r
svara	s v aː r a
svartburkni	s v a r̥ t p ʏ r̥ k n ɪ
svarthol	s v a r̥ t h ɔː l
svartsýnn	s v a r̥ t s i t n
svartur	s v a r̥ t ʏ r
svarðmosi	s v a r ð m ɔː s ɪ
svað	s v aː ð
svefn	s v ɛ p n
svefnherbergi	s v ɛ p n h ɛ r p ɛ r c ɪ
svefnpoki	s v ɛ p n pʰ ɔː c ɪ
sveif	s v e iː v
sveifgras	s v e i v k r aː s
sveifla	s v e i p l a
sveigja	s v e iː j a
sveigur	s v e iː ɣ ʏ r
sveinn	s v e i t n
sveipa	s v e iː p a
sveipur	s v e iː p ʏ r
sveit	s v e iː t
sveiti	s v e iː t ɪ
sveittur	s v e i h t ʏ r
svekkja	s v ɛ h c a
svella	s v ɛ t l a
svelta	s v ɛ l̥ t a
svengd	s v e i ŋ t
svengja	s v e i ɲ c a
sveppafræði	s v ɛ h p a f r a iː ð ɪ
sveppur	s v ɛ h p ʏ r
sver	s v ɛː r
sverfa	s v ɛ r v a
sverja	s v ɛ r j a
sverta	s v ɛ r̥ t a
svertingi	s v ɛ r̥ t i ɲ c ɪ
sverð	s v ɛ r ð
sverðfiskur	s v ɛ r ð f ɪ s k ʏ r
sveðja	s v ɛ ð j a
sviftifall	s v ɪ f t ɪ f a t l
svigi	s v ɪː j ɪ
svigna	s v ɪ k n a
svik	s v ɪː k
svikari	s v ɪː k aː r ɪ
svikull	s v ɪː k ʏ t l
svil	s v ɪː l
svili	s v ɪː l ɪ
svilkona	s v ɪ l kʰ ɔː n a
svindl	s v ɪ n t l
svindla	s v ɪ n t l a
svindlari	s v ɪ n t l aː r ɪ
svipta	s v ɪ f t a
svipur	s v ɪː p ʏ r
sviss	s v ɪ sː
svissneskur	s v ɪ sː t n ɛ s k ʏ r
sviti	s v ɪː t ɪ
svitna	s v ɪ h t n a
svið	s v ɪː ð
sviði	s v ɪː ð ɪ
svo	s v ɔː
svo	s ɔː
svona	s v ɔː n a
svona	s ɔː n a
svunta	s v ʏ n̥ t a
svæfa	s v a iː v a
svæfi	s v a iː v ɪ
svæfill	s v a iː v ɪ t l
svæfing	s v a iː v i ŋ k
svæla	s v a iː l a
svæði	s v a iː ð ɪ
svífa	s v iː v a
svíkja	s v iː c a
svín	s v iː n
svínakjöt	s v iː n a cʰ œː t
svíri	s v iː r ɪ
svíta	s v iː t a
svívirða	s v iː v ɪ r ð a
svíða	s v iː ð a
svöfn	s v œ p n
svörtu	s v œ r̥ t ʏ
sykra	s ɪː k r a
sykur	s ɪː k ʏ r
sykurmoli	s ɪː k ʏ r m ɔː l ɪ
sykurpúði	s ɪː k ʏ r pʰ uː ð ɪ
sykurreyr	s ɪː k ʏ r r e iː r
sykurrófa	s ɪː k ʏ r r o uː v a
sylgja	s ɪ l c a
synd	s ɪ n t
synda	s ɪ n t a
syndga	s ɪ n t k a
syndur	s ɪ n t ʏ r
syngja	s i ɲ c a
synja	s ɪ n j a
synjun	s ɪ n j ʏ n
syrgja	s ɪ r c a
syrja	s ɪ r j a
syrjóttur	s ɪ r j o u h t ʏ r
syrta	s ɪ r̥ t a
systir	s ɪ s t ɪ r
systkin	s ɪ s t k ɪː n
systur	s ɪ s t ʏ r
systursonur	s ɪ s t ʏ r̥ s ɔː n ʏ r
sá	s a uː
sál	s a uː l
sálarfræði	s a uː l a r f r a iː ð ɪ
sálfræði	s a u l f r a iː ð ɪ
sálfræðilegur	s a u l f r a iː ð i l ɛː ɣ ʏ r
sálfræðingur	s a u l f r a iː ð i ŋ k ʏ r
sálgreining	s a uː l k r e iː n i ŋ k
sálmabók	s a u l m a p o uː k
sálmur	s a u l m ʏ r
sálufélagi	s a uː l u f j ɛː l aː j ɪ
sálumessa	s a uː l ʏ m ɛ sː a
sáning	s a uː n i ŋ k
sápa	s a uː p a
sár	s a uː r
sárasótt	s a uː r a s o u h t
sársauki	s a u r̥ s ø yː c ɪ
sáta	s a uː t a
sáttmáli	s a u h t m a uː l ɪ
sáttur	s a u h t ʏ r
sáð	s a uː ð
sáðfruma	s a u ð f r ʏː m a
sáðrás	s a u ð r a u s
sæbjúga	s a iː p j uː a
sæfífill	s a iː f iː v ɪ t l
sækja	s a iː c a
sæl	s a i l̥
sæla	s a iː l a
sælgæti	s a i l c a iː t ɪ
sælilja	s a iː l ɪ l j a
sæll	s a i t l̥
sæma	s a iː m a
sæng	s a i ŋ k
sænska	s a i n s k a
sænskur	s a i n s k ʏ r
sær	s a iː r
særa	s a iː r a
sæta	s a iː t a
sæti	s a iː t ɪ
sætta	s a i h t a
sætur	s a iː t ʏ r
sæða	s a iː ð a
sæði	s a iː ð ɪ
sé	s j ɛː
séní	s j ɛː n iː
sér	s ɛː r
séra	s j ɛː r a
sérhljóð	s j ɛː r l̥ j o uː ð
sérstaklega	s j ɛ r̥ s t aː k l ɛː ɣ a
sérstakur	s j ɛ r̥ s t aː k ʏ r
séríslenskur	s j ɛː r i s t l ɛ n s k ʏ r
sérð	s j ɛ r ð
sí	s iː
sía	s iː j a
síberíulerki	s iː p ɛː r iː j ʏ l ɛ r̥ c ɪ
sídd	s i tː
sífelldur	s iː f ɛ l t ʏ r
sífellt	s iː f ɛ l̥ t
síga	s iː ɣ a
sígaretta	s iː k a r ɛ h t a
síki	s iː c ɪ
síld	s i l t
síma	s iː m a
símaklefi	s iː m a kʰ l ɛː v ɪ
símasamband	s iː m a s a m p a n t
símaskrá	s iː m a s k r a uː
símbréf	s iː m p r j ɛː v
símgreiðsla	s i m k r e i ð s t l a
sími	s iː m ɪ
símtal	s i m tʰ aː l
sínus	s iː n ʏ s
síra	s iː r a
síróp	s iː r o uː p
sís	s iː s
síst	s i s t
sítar	s iː tʰ aː r
sítróna	s iː tʰ r o uː n a
sítrónusafi	s iː tʰ r o uː n ʏ s aː v ɪ
sítrónusýra	s iː tʰ r o uː n ʏ s iː r a
sívalningur	s iː v a l n i ŋ k ʏ r
sívalur	s iː v aː l ʏ r
síða	s iː ð a
síður	s iː ð ʏ r
sófi	s o uː f ɪ
sól	s o uː l
sólarlag	s o uː l a r l aː ɣ
sólarljós	s o uː l a r l j o uː s
sólbað	s o u l p aː ð
sólber	s o u l p ɛː r
sólblóm	s o u l p l o uː m
sóldögg	s o u̯ l t œ kː
sóley	s o uː l e iː
sólhattur	s o u l h a h t ʏ r
sóli	s o uː l ɪ
sólmyrkvi	s o u l m ɪ r̥ k v ɪ
sólsetur	s o u l s ɛː t ʏ r
sólskin	s o u l s k ɪː n
sónata	s o uː n aː t a
sónatína	s o uː n a tʰ iː n a
sónötuform	s o uː n œː t ʏ f ɔ r m
sópa	s o uː p a
sópur	s o uː p ʏ r
sót	s o uː t
sótt	s o u h t
sótthreinsa	s o u h t r̥ e i n s a
sóttir	s o u̯ h t ɪ r
sóun	s o uː ʏ n
sög	s œː ɣ
sögn	s œ k n
sögumaður	s œː ɣ ʏ m aː ð ʏ r
sögur	s œː ɣ ʏ r
söguríkur	s œː ɣ ʏ r iː k ʏ r
sögusögn	s œː ɣ ʏ s œ k n
sök	s œː k
sökk	s œ h k
sökka	s œ h k a
sökkull	s œ h k ʏ t l
sökkva	s œ h k v a
söl	s œː l
sölt	s œ l̥ t
söluskattur	s œː l ʏ s k a h t ʏ r
söngkona	s ø y ŋ k kʰ ɔː n a
söngur	s ø y ŋ k ʏ r
söngvari	s ø y ŋ k v aː r ɪ
sönnun	s œ nː ʏ n
söðull	s œː ð ʏ t l
súkkulaði	s u h k ʏ l aː ð ɪ
súld	s u l t
súpa	s uː p a
súr	s uː r
súra	s uː r a
súrkál	s u r̥ kʰ a uː l
súrmjólk	s u r m j o u l̥ k
sút	s uː t
súta	s uː t a
sútari	s uː t a r ɪ
sútun	s uː t ʏ n
sýgill	s iː j ɪ t l
sýki	s iː c ɪ
sýkill	s iː c ɪ t l
sýking	s iː c i ŋ k
sýkja	s iː c a
sýkn	s i h k n
sýkna	s i h k n a
sýn	s iː n
sýna	s iː n a
sýning	s iː n i ŋ k
sýnishorn	s iː n ɪ s h ɔ r t n
sýnishorn	s iː n ɪ s h ɔ t n
sýnn	s i t n
sýr	s iː r
sýra	s iː r a
sýrena	s iː r ɛː n a
tabú	tʰ aː p uː
tafl	tʰ a p l
tafla	tʰ a p l a
tafnið	tʰ a p n ɪ ð
tagga	tʰ a kː a
tagl	tʰ a k l
tak	tʰ aː k
taka	tʰ aː k a
takk	tʰ a h k
tal	tʰ aː l
tala	tʰ aː l a
talenta	tʰ a l ɛ n̥ t a
talmynd	tʰ a l m ɪ n t
talsmaður	tʰ a l s m aː ð ʏ r
tamur	tʰ aː m ʏ r
tangi	tʰ a u ɲ c ɪ
tankur	tʰ a u ŋ̊ k ʏ r
tankur	tʰ a ŋ̊ k ʏ r
tannhvalur	tʰ a nː kʰ v aː l ʏ r
tannhvalur	tʰ a nː xʷ aː l ʏ r
tanta	tʰ a n̥ t a
tap	tʰ aː p
tapa	tʰ aː p a
tappatogari	tʰ a h p a tʰ ɔː ɣ a r ɪ
tappi	tʰ a h p ɪ
tarfur	tʰ a r v ʏ r
taska	tʰ a s k a
tattóvera	tʰ aʰ t o u v ɛ r a
tattú	tʰ a h t uː
tau	tʰ ø yː
taug	tʰ ø yː ɣ
taugafræði	tʰ ø yː ɣ a f r a iː ð ɪ
taugakerfi	tʰ ø yː ɣ a cʰ ɛ r v ɪ
taumur	tʰ ø yː m ʏ r
taut	tʰ ø yː t
tauta	tʰ ø yː t a
tað	tʰ aː ð
te	tʰ ɛː
tefja	tʰ ɛ v j a
tefla	tʰ ɛ p l a
tegra	tʰ ɛ ɣ r a
tegrun	tʰ ɛ ɣ r ʏ n
tegund	tʰ ɛː ɣ ʏ n t
tegur	tʰ ɛː ɣ ʏ r
teigur	tʰ e iː ɣ ʏ r
teikn	tʰ e i h k n
teikna	tʰ e i h k n a
teikning	tʰ e i h k n i ŋ k
teinóttur	tʰ e iː n o u h t ʏ r
teip	tʰ e iː p
teista	tʰ e i s t a
teknetín	tʰ ɛʰ k n̥ ɛ t iː n̥
telja	tʰ ɛ l j a
teljast	tʰ ɛ l j a s t
telpa	tʰ ɛ l̥ p a
temja	tʰ ɛ m j a
tengdadóttir	tʰ e i ŋ t a t o u h t ɪ r
tengill	tʰ e i ɲ c ɪ t l
tenging	tʰ e i ɲ c i ŋ k
tengja	tʰ e i ɲ c a
teningur	tʰ ɛː n i ŋ k ʏ r
tennis	tʰ ɛ nː ɪ s
teppa	tʰ ɛ h p a
teppi	tʰ ɛ h p ɪ
tepra	tʰ ɛː p r a
teskeið	tʰ ɛː s k e iː ð
testósterón	tʰ ɛ s t o uː s t ɛː r o uː n
textavarp	tʰ ɛ x s t a v a r̥ p
teygja	tʰ e iː j a
teygjanlegur	tʰ e iː j a n l ɛː ɣ ʏ r
teygjanleiki	tʰ e iː j a n l e iː c ɪ
teygjubyssa	tʰ e iː j ʏ p ɪ sː a
teygjudýr	tʰ e iː j ʏ t iː r
teygjulak	tʰ e iː j ʏ l aː k
teygjustökk	tʰ e iː j ʏ s t œ h k
teðja	tʰ ɛ ð j a
tif	tʰ ɪː v
tiggi	tʰ ɪ cː ɪ
tigl	tʰ ɪ k l
tign	tʰ ɪ k n
tigna	tʰ ɪ k n a
tignarlegur	tʰ ɪ k n a r l ɛː ɣ ʏ r
til	tʰ ɪː l
tilboð	tʰ ɪ l p ɔː ð
tilfinning	tʰ ɪ l f ɪ nː i ŋ k
tilfinningalaus	tʰ ɪ l f ɪ nː i ŋ k a l ø yː s
tilfinningalegur	tʰ ɪ l f ɪ nː i ŋ k a l ɛː ɣ ʏ r
tilfinningaleysi	tʰ ɪ l f ɪ nː i ŋ k a l e iː s ɪ
tilfinninganæmur	tʰ ɪ l f ɪ nː i ŋ k a n a iː m ʏ r
tilfinningasamur	tʰ ɪ l f ɪ nː i ŋ k a s aː m ʏ r
tilgangsfall	tʰ ɪ l k a u ŋ k s f a t l
tilgangur	tʰ ɪ l k a u ŋ k ʏ r
tilkynning	tʰ ɪ l cʰ ɪ nː i ŋ k
tillit	tʰ ɪ l l ɪː t
tilraun	t ɪ l r ø yː n
tiltaka	tʰ ɪː l tʰ aː k a
tiltekinn	tʰ ɪː l tʰ ɛː c ɪ nː
tiltekt	tʰ ɪː l tʰ ɛ x t
tilviljun	tʰ ɪ l v ɪ l j ʏ n
tilviljunarkenndur	tʰ ɪ l v ɪ l j ʏ n a r cʰ ɛ n t ʏ r
tilvitnun	tʰ ɪ l v ɪ h t n ʏ n
tilvísunarfornafn	tʰ ɪ l v iː s ʏː n a r f ɔ r n a p n
timburmaður	tʰ ɪ m p ʏ r m aː ð ʏ r
tin	tʰ ɪː n
tinda	tʰ ɪ n t a
tindur	tʰ ɪ n t ʏ r
tinna	tʰ ɪ nː a
tipla	tʰ ɪ h p l a
titrari	tʰ ɪː t r a r ɪ
titringur	tʰ ɪː t r i ŋ k ʏ r
tittlingur	tʰ ɪ h t l i ŋ k ʏ r
tittur	tʰ ɪ h t ʏ r
tjakkur	tʰ j a h k ʏ r
tjald	tʰ j a l t
tjaldur	tʰ j a l t ʏ r
tjara	tʰ j aː r a
tjarga	tʰ j a r k a
tjarnablaðka	tʰ j a r t n a p l a ð k a
tjarnastör	tʰ j a r t n a s t œː r
tjull	tʰ j ʏ lː
tjá	tʰ j a uː
tjákn	tʰ j a u h k n
tjása	tʰ j a uː s a
tjón	tʰ j o uː n
tjóðra	t j o uː ð r a
tjóður	t j o uː ð ʏ r
toddi	tʰ ɔ tː ɪ
tog	tʰ ɔː ɣ
toga	tʰ ɔː ɣ a
togi	tʰ ɔː j ɪ
togna	tʰ ɔ k n a
tognun	tʰ ɔ k n ʏ n
tokkata	tʰ ɔ h k aː t a
tollera	tʰ ɔ lː ɛː r a
tollskýrsla	tʰ ɔ t l̥ s c i r̥ s t l a
tollur	tʰ ɔ t l ʏ r
tollvirði	t ɔ t l v ɪ r ð ɪ
tomma	tʰ ɔ mː a
toppur	tʰ ɔ h p ʏ r
tordýfill	tʰ ɔ r t iː v ɪ l̥
torf	tʰ ɔ r v
torfa	tʰ ɔ r v a
torg	tʰ ɔ r k
torkenna	tʰ ɔ r̥ cʰ ɛ nː a
torvelda	tʰ ɔ r v ɛ l t a
torveldi	tʰ ɔ r v ɛ l t ɪ
torveldur	tʰ ɔ r v ɛ l t ʏ r
tossa	tʰ ɔ sː a
tossi	tʰ ɔ sː ɪ
tota	tʰ ɔː t a
traf	tʰ r aː v
traktor	tʰ r a x t ɔ r
traust	tʰ r ø y s t
traustur	tʰ r ø y s t ʏ r
trefill	tʰ r ɛː v ɪ t l
trefjasóley	tʰ r ɛ v j a s o uː l e iː
trega	tʰ r ɛː ɣ a
tregi	tʰ r e iː j ɪ
tregur	tʰ r ɛː ɣ ʏ r
tregða	tʰ r ɛ ɣ ð a
trekkja	tʰ r ɛ h c a
trekt	tʰ r ɛ x t
tremmi	tʰ r ɛ mː ɪ
treyja	tʰ r e iː j a
treysta	tʰ r e i s t a
trikk	tʰ r ɪ h k
trimma	tʰ r ɪ mː a
trippi	tʰ r ɪ h p ɪ
trissa	tʰ r ɪ sː a
trjóna	tʰ r j o uː n a
trog	tʰ r ɔː ɣ
troga	tʰ r ɔː ɣ a
trommari	tʰ r ɔ mː aː r ɪ
trommuleikari	tʰ r ɔ mː ʏ l e iː k aː r ɪ
tromp	tʰ r ɔ m̥ p
trompet	tʰ r ɔ m̥ p ɛː t
troða	tʰ r ɔː ð a
trufla	tʰ r ʏ p l a
trumba	tʰ r ʏ m p a
trunta	t r ʏ n̥ t a
trygging	tʰ r ɪ cː i ŋ k
