ಅ	ɐ
ಶೂರ	ʃ uː ɾ ɐ
ಶೌರ್ಯ	ʃ ə w ɾ j ɑ
ಶ್ರದ್ಧೆ	ʃ ɾ ə d̪ d̪ʱ e
ಶ್ರೀ	ʃ ɾ iː
ಶ್ರೀಧರ	ʃ ɾ iː d̪ʱ ɐ ɾ ɐ
ಶ್ರೀನಿವಾಸ	ʃ ɾ iː n̪ i ʋ aː s ɐ
ಶ್ರೇಷ್ಠ	ʃ ɾ eː ʂ ʈʰ ɐ
ಶ್ಲೋಕ	ʃ l oː k ɐ
ಶ್ವಾನ	ʃ ʋ aː n̪ ɐ
ಶ್ವಾಪದ	ʃ ʋ aː p ɐ d̪ ɐ
ಶ್ವಾಸ	ʃ ʋ aː s ɐ
ಶ್ವಾಸಕೋಶ	ʃ ʋ aː s ɐ k oː ʃ ɐ
ಶ್ವೇತ	ʃ ʋ eː t̪ ɐ
ಷಟ್ಕೋನ	ʂ ɐ ʈ k oː n̪ ɐ
ಷಡ್ಯಂತ್ರ	ʂ ɐ ɖ j ɐ n̪ t̪ ɾ ɐ
ಸಂಕೇತ	s ɐ ŋ k eː t̪ ɐ
ಸಂಖ್ಯೆ	s ɐ ŋ kʰ j e
ಸಂತೆ	s ɐ n̪ t̪ e
ಸಂತೋಷ	s ɐ n̪ t̪ oː ʂ ɐ
ಸಂದರ್ಭ	s ɐ n̪ d̪ ɐ ɾ bʱ ɐ
ಸಂದೇಶ	s ɐ n̪ d̪ eː ʃ ɐ
ಸಂದೇಹ	s ɐ n̪ d̪ eː h ɐ
ಸಂಪರ್ಕ	s ɐ m p ɐ ɾ k ɐ
ಸಂಪರ್ಕಿಸು	s ɐ m p ɐ ɾ k i s u
ಸಂಪಿಗೆ	s ɐ m p i ɡ e
ಸಂಬಳ	s ɐ m b ɐ ɭ ɐ
ಸಂಯುಕ್ತ	s ə j̃ j ʊ k t̪ ɑ
ಸಂಶಯ	s ɐ m ʃ ɐ j ɐ
ಸಂಸ್ಕೃತ	s ɐ m s k ɾ ŭ t̪ ɐ
ಸಂಸ್ಥಾನ	s ɐ m s t̪ʰ aː n̪ ɐ
ಸಂಸ್ಥೆ	s ɐ m s t̪ʰ e
ಸಡಿಲ	s ɐ ɖ i l ɐ
ಸಣ್ಣ	s ɐ ɳ ɳ ɐ
ಸಣ್ಣಗಿಡ	s ɐ ɳ ɳ ɐ ɡ i ɖ ɐ
ಸತ್ಯ	s ə t̪ j ɑ
ಸದಾಶಿವ	s ɐ d̪ aː ʃ i ʋ ɐ
ಸದ್ದು	s ɐ d̪ d̪ u
ಸದ್ಯ	s ɐ d̪ j ɐ
ಸಭೆ	s ɑ bʱ e
ಸಮಯ	s ɐ m ɐ j ɐ
ಸಮಸ್ಯೆ	s ɐ m ɐ s j e
ಸಮಾಜವಾದ	s ɐ m aː d͡ʒ ɐ ʋ aː d̪ ɐ
ಸಮಾಧಾನ	s ɐ m aː d̪ʱ aː n̪ ɐ
ಸಮೀಪ	s ɐ m iː p ɐ
ಸಮೀಪಿಸು	s ɐ m iː p i s u
ಸಮುದ್ರ	s ɐ m u d̪ ɾ ɐ
ಸಮೃದ್ಧಿ	s ɐ m ɾ ŭ d̪ d̪ʱ i
ಸರಸ್ಸು	s ɐ ɾ ɐ s s u
ಸರಿ	s ɐ ɾ i
ಸರೋವರ	s ɐ ɾ oː ʋ ɐ ɾ ɐ
ಸರೋವರಕ್ಕೆ	s ɐ ɾ oː ʋ ɐ ɾ ɐ k k e
ಸರೋವರಗಳ	s ɐ ɾ oː ʋ ɐ ɾ ɐ ɡ ɐ ɭ ɐ
ಸರೋವರಗಳಿಗೆ	s ɐ ɾ oː ʋ ɐ ɾ ɐ ɡ ɐ ɭ i ɡ e
ಸರೋವರಗಳು	s ɐ ɾ oː ʋ ɐ ɾ ɐ ɡ ɐ ɭ u
ಸರೋವರದ	s ɐ ɾ oː ʋ ɐ ɾ ɐ d̪ ɐ
ಸರ್ಕಾರ	s ɐ ɾ k aː ɾ ɐ
ಸರ್ಪ	s ɐ ɾ p ɐ
ಸರ್ವತ್ರ	s ɐ ɾ ʋ ɐ t̪ ɾ ɐ
ಸಲ	s ɐ l ɐ
ಸಲಹೆ	s ɐ l ɐ h e
ಸವಲತ್ತು	s ɐ ʋ ɐ l ɐ t̪ t̪ u
ಸವಾರ	s ɐ ʋ aː ɾ ɐ
ಸಸಿ	s ɐ s i
ಸಹ	s ɐ h ɐ
ಸಹನಶೀಲತೆ	s ɐ h ɐ n̪ ɐ ʃ iː l ɐ t̪ e
ಸಹನೆ	s ɐ h ɐ n̪ e
ಸಹಾಯ	s ɐ h aː j ɐ
ಸಹಿ	s ɐ h i
ಸಹೋದರ	s ɐ h oː d̪ ɐ ɾ ɐ
ಸಾಕಷ್ಟು	s aː k ɐ ʂ ʈ u
ಸಾಗರ	s aː ɡ ɐ ɾ ɐ
ಸಾಧನ	s aː d̪ʱ ɐ n̪ ɐ
ಸಾಧು	s aː d̪ʱ u
ಸಾಧ್ಯ	s aː d̪ʱ j ɐ
ಸಾಮಾನು	s aː m aː n̪ u
ಸಾಮೀಪ್ಯ	s aː m iː p j ɐ
ಸಾಯು	s aː j u
ಸಾರಿಗೆ	s aː ɾ i ɡ e
ಸಾರು	s aː ɾ u
ಸಾವಿರ	s aː ʋ i ɾ ɐ
ಸಾವು	s aː ʋ u
ಸಾವೆ	s aː ʋ e
ಸಾಸವ	s aː s ɐ ʋ ɐ
ಸಾಸಿವೆ	s aː s i ʋ e
ಸಾಹಿತ್ಯ	s aː h i t̪ j ɐ
ಸಿಂಹ	s i m h ɑ
ಸಿಂಹ	s ĩ w w ɑ
ಸಿಂಹಿ	s i m h i
ಸಿಟ್ಟು	s i ʈ ʈ u
ಸಿದ್ಧಾರ್ಥ	s i d̪ d̪ʱ aː ɾ t̪ʰ ɐ
ಸಿಪಾಯಿ	s i p aː j i
ಸಿಹಿ	s i h i
ಸೀಗಡಿ	s iː ɡ ɐ ɖ i
ಸೀತೆ	s iː t̪ e
ಸೀಮಂತ	s iː m ɐ n̪ t̪ ɐ
ಸೀರು	s iː ɾ u
ಸೀರೆ	s iː ɾ e
ಸೀಳು	s iː ɭ u
ಸುಂಡಿಲಿ	s u ɳ ɖ i l i
ಸುಂದರ	s u n̪ d̪ ɐ ɾ ɐ
ಸುಡು	s u ɖ u
ಸುಣ್ಣ	s u ɳ ɳ ɐ
ಸುದ್ದಿ	s u d̪ d̪ i
ಸುಧಾರಿಸು	s u d̪ʱ aː ɾ i s u
ಸುಮಾರು	s u m aː ɾ u
ಸುಮ್ಮನೆ	s u m m ɐ n̪ e
ಸುಲಭ	s u l ɐ bʱ ɐ
ಸುಳ್ಳು	s u ɭ ɭ u
ಸೂರ್ಯ	s uː ɾ j ɐ
ಸೃಷ್ಟಿ	s ɾ ŭ ʂ ʈ i
ಸೆಪ್ಟೆಂಬರ್	s e p ʈ e m b ɐ ɾ
ಸೇಡು	s eː ɖ u
ಸೇತುವೆ	s eː t̪ u ʋ e
ಸೇನೆ	s eː n̪ e
ಸೇರಿಸು	s eː ɾ i s u
ಸೇರು	s eː ɾ u
ಸೇರುವಿಕೆ	s eː ɾ u ʋ i k e
ಸೇರುವೆ	s eː ɾ u ʋ e
ಸೇವನೆ	s eː ʋ ɐ n̪ e
ಸೈನ್ಯ	s ɐ i̯ n̪ j ɐ
ಸೊನ್ನೆ	s o n̪ n̪ e
ಸೊಲ್ಪ	s o l p ɐ
ಸೊಳ್ಳೆ	s o ɭ ɭ e
ಸೊಸೆ	s ɔ s ɛ
ಸೋಮವಾರ	s oː m ɐ ʋ aː ɾ ɐ
ಸೋಮಾರಿ	s oː m aː ɾ i
ಸೋಮಾರಿತನ	s oː m aː ɾ i t̪ ɐ n̪ ɐ
ಸೌಖ್ಯ	s ɐ u̯ kʰ j ɐ
ಸ್ತನ	s t̪ ɐ n̪ ɐ
ಸ್ತೋತ್ರ	s t̪ oː t̪ ɾ ɐ
ಸ್ತ್ರೀ	s t̪ ɾ iː
ಸ್ತ್ರೀಯರು	s t̪ ɾ iː j ɐ ɾ u
ಸ್ತ್ರೀಲಿಂಗ	s t̪ ɾ iː l i ŋ ɡ ɐ
ಸ್ಥಾನ	s t̪ʰ aː n̪ ɐ
ಸ್ನಾನ	s n̪ aː n̪ ɐ
ಸ್ನಾನಗೃಹ	s n̪ aː n̪ ɐ ɡ ɾ ŭ h ɐ
ಸ್ನೇಹ	s n̪ eː h ɐ
ಸ್ನೇಹಿತ	s n̪ eː h i t̪ ɐ
ಸ್ಮರಣೆ	s m ɐ ɾ ɐ ɳ e
ಸ್ವತಂತ್ರ	s ʋ ɐ t̪ ɐ n̪ t̪ ɾ ɐ
ಸ್ವತಃ	s ʋ ɐ t̪ ɐ h
ಸ್ವಪ್ನ	s ʋ ɐ p n̪ ɐ
ಸ್ವರ	s ʋ ɐ ɾ ɐ
ಸ್ವರ್ಗ	s ʋ ɐ ɾ ɡ ɐ
ಸ್ವಲ್ಪ	s ʋ ɐ l p ɐ
ಸ್ವಸ್ತಿಕ	s ʋ ɐ s t̪ i k ɐ
ಸ್ವೀಕಾರ	s ʋ iː k aː ɾ ɐ
ಹಂಕಣಿ	h ɐ ŋ k ɐ ɳ i
ಹಂಕಣಿದಲೆ	h ɐ ŋ k ɐ ɳ i d̪ ɐ l e
ಹಂಕರ	h ɐ ŋ k ɐ ɾ ɐ
ಹಂಕೃತಿ	h ɐ ŋ k ɾ ŭ t̪ i
ಹಂದಿ	h ɐ n̪ d̪ i
ಹಂಬಲ	h ɐ m b ɐ l ɐ
ಹಂಸ	h ɐ m s ɐ
ಹಕ್ಕಿ	h ɐ k k i
ಹಕ್ಕಿಯರಿಮೆ	h ɐ k k i j ɐ ɾ i m e
ಹಕ್ಕು	h ɐ k k u
ಹಗಲು	h ɐ ɡ ɐ l u
ಹಚ್ಚು	h ɐ t͡ʃ t͡ʃ u
ಹಚ್ಚುಮದ್ದು	h ɐ t͡ʃ t͡ʃ u m ɐ d̪ d̪ u
ಹಟ್ಟ	h ɐ ʈ ʈ ɐ
ಹಟ್ಟಿ	h ɐ ʈ ʈ i
ಹಠ	h ɐ ʈʰ ɐ
ಹಡಗು	h ɐ ɖ ɐ ɡ u
ಹಣ	h ɐ ɳ ɐ
ಹಣತಿ	h ɐ ɳ ɐ t̪ i
ಹಣತೆ	h ɐ ɳ ɐ t̪ e
ಹಣ್ಣು	h ɐ ɳ ɳ u
ಹತ್ತಿ	h ɐ t̪ t̪ i
ಹತ್ತಿರ	h ɐ t̪ t̪ i ɾ ɐ
ಹತ್ತು	h ɐ t̪ t̪ u
ಹತ್ಯೆ	h ɐ t̪ j e
ಹದ್ದು	h ɐ d̪ d̪ u
ಹನಿ	h ɐ n̪ i
ಹನ್ನೆರಡು	h ɐ n̪ n̪ e ɾ ɐ ɖ u
ಹನ್ನೊಂದು	h ɐ n̪ n̪ o n̪ d̪ u
ಹಪ್ಪಳ	h ɐ p p ɐ ɭ ɐ
ಹಬ್ಬ	h ɐ b b ɐ
ಹರಯ	h ɐ ɾ ɐ j ɐ
ಹರಿ	h ɐ ɾ i
ಹರಿತ	h ɐ ɾ i t̪ ɐ
ಹಲ	h ɐ l ɐ
ಹಲಗೆ	h ɐ l ɐ ɡ e
ಹಲವು	h ɐ l ɐ ʋ u
ಹಲಸು	h ɐ l ɐ s u
ಹಲ್ಲಿ	h ɐ l l i
ಹಲ್ಲು	h ɐ l l u
ಹಳದಿ	h ɐ ɭ ɐ d̪ i
ಹಳು	h ɐ ɭ u
ಹಳುವು	h ɐ ɭ u ʋ u
ಹಳೆ	h ɐ ɭ e
ಹಳೆಗನ್ನಡ	h ɐ ɭ e ɡ ɐ n̪ n̪ ɐ ɖ ɐ
ಹಳೆಯ	h ɐ ɭ e j ɐ
ಹಳ್ಳಿ	h ɐ ɭ ɭ i
ಹವಾಮಾನ	h ɐ ʋ aː m aː n̪ ɐ
ಹವೀಕ	h ɐ ʋ iː k ɐ
ಹವೀಗ	h ɐ ʋ iː ɡ ɐ
ಹವ್ಯಕ	h ɐ ʋ j ɐ k ɐ
ಹಸಿರು	h ɐ s i ɾ u
ಹಸು	h ɐ s u
ಹಸ್ತ	h ɐ s t̪ ɐ
ಹಾಜರಿ	h aː d͡ʒ ɐ ɾ i
ಹಾಡು	h aː ɖ u
ಹಾದರಿ	h aː d̪ ɐ ɾ i
ಹಾದಿ	h aː d̪ i
ಹಾಯನ	h aː j ɐ n̪ ɐ
ಹಾಲು	h aː l u
ಹಾವು	h aː ʋ u
ಹಾಸಿಗೆ	h aː s i ɡ e
ಹಿಂಡು	h i ɳ ɖ u
ಹಿಂದಿ	h i n̪ d̪ i
ಹಿಂದೆ	h i n̪ d̪ e
ಹಿಂಸೆ	h i m s e
ಹಿಚುಕು	h i t͡ʃ u k u
ಹಿಜಡ	h i d͡ʒ ɐ ɖ ɐ
ಹಿಟ್ಟು	h i ʈ ʈ u
ಹಿಡಿ	h i ɖ i
ಹಿತ್ತಾಳೆ	h i t̪ t̪ aː ɭ e
ಹಿನ್ನಡೆ	h i n̪ n̪ ɐ ɖ e
ಹಿನ್ನೋಟ	h i n̪ n̪ oː ʈ ɐ
ಹಿಮ	h i m ɐ
ಹಿಮಪಾತ	h i m ɐ p aː t̪ ɐ
ಹಿಮವರ್ಷ	h i m ɐ ʋ ɐ ɾ ʂ ɐ
ಹಿಮಸರಳು	h i m ɐ s ɐ ɾ ɐ ɭ u
ಹಿರಿಯ	h i ɾ i j ɐ
ಹುಚ್ಚ	h u t͡ʃ t͡ʃ ɐ
ಹುಚ್ಚಿ	h u t͡ʃ t͡ʃ i
ಹುಚ್ಚು	h u t͡ʃ t͡ʃ u
ಹುಚ್ಚುತನ	h u t͡ʃ t͡ʃ u t̪ ɐ n̪ ɐ
ಹುಟ್ಟು	h u ʈ ʈ u
ಹುಟ್ಟುಹಬ್ಬ	h u ʈ ʈ u h ɐ b b ɐ
ಹುಡಿ	h u ɖ i
ಹುಡುಕು	h u ɖ u k u
ಹುಡುಕುವುದು	h u ɖ u k u ʋ u d̪ u
ಹುಡುಗ	h u ɖ u ɡ ɐ
ಹುಡುಗಿ	h u ɖ u ɡ i
ಹುಣ್ಣಿಮೆ	h u ɳ ɳ i m e
ಹುಬ್ಬಳ್ಳಿ	h u b b ɐ ɭ ɭ i
ಹುಬ್ಬು	h u b b u
ಹುರುಳಿ	h u ɾ u ɭ i
ಹುಲಿ	h u l i
ಹುಲ್ಲು	h u l l u
ಹುಳ	h u ɭ ɐ
ಹುಳಿ	h u ɭ i
ಹುಳು	h u ɭ u
ಹುಷಾರು	h u ʂ aː ɾ u
ಹೂ	h uː
ಹೂಗು	h uː ɡ u
ಹೂವು	h uː ʋ u
ಹೃದಯ	h ɾ ŭ d̪ ɐ j ɐ
ಹೃದ್ರೋಗ	h ɾ ŭ d̪ ɾ oː ɡ ɐ
ಹೆಂಗಸು	h e ŋ ɡ ɐ s u
ಹೆಂಡತಿ	h e ɳ ɖ ɐ t̪ i
ಹೆಗ್ಗಣ	h e ɡ ɡ ɐ ɳ ɐ
ಹೆಚ್ಚು	h e t͡ʃ t͡ʃ u
ಹೆಜ್ಜೆ	h e d͡ʒ d͡ʒ e
ಹೆಣ	h e ɳ ɐ
ಹೆಣ್ಣಿಗ	h e ɳ ɳ i ɡ ɐ
ಹೆಣ್ಣು	h e ɳ ɳ u
ಹೆದರು	h e d̪ ɐ ɾ u
ಹೆದ್ದೊರೆ	h e d̪ d̪ o ɾ e
ಹೆಪ್ಪುಗಟ್ಟು	h e p p u ɡ ɐ ʈ ʈ u
ಹೆಬ್ಬಾವು	h e b b aː ʋ u
ಹೆಬ್ಬುಲಿ	h e b b u l i
ಹೆಸರಿಸು	h e s ɐ ɾ i s u
ಹೆಸರು	h e s ɐ ɾ u
ಹೇನು	h eː n̪ u
ಹೇಮಂತ	h eː m ɐ n̪ t̪ ɐ
ಹೇರಿಕೆ	h eː ɾ i k e
ಹೇಳು	h eː ɭ u
ಹೇವ	h eː ʋ ɐ
ಹೈಗ	h ɐ i̯ ɡ ɐ
ಹೈರಾಣ	h ɐ i̯ ɾ aː ɳ ɐ
ಹೊಗೆ	h o ɡ e
ಹೊಗೆಬಂಡಿ	h o ɡ e b ɐ ɳ ɖ i
ಹೊಟ್ಟೆ	h o ʈ ʈ e
ಹೊಡೆ	h o ɖ e
ಹೊತ್ತು	h o t̪ t̪ u
ಹೊನ್ನು	h o n̪ n̪ u
ಹೊರಸು	h o ɾ ɐ s u
ಹೊಲ	h o l ɐ
ಹೊಲಸು	h o l ɐ s u
ಹೊಳಲು	h o ɭ ɐ l u
ಹೊಳೆ	h o ɭ e
ಹೊಸ	h o s ɐ
ಹೊಸಪೇಟೆ	h o s ɐ p eː ʈ e
ಹೋತ	h oː t̪ ɐ
ಹೋಮ	h oː m ɐ
ಹೋರಾಟ	h oː ɾ aː ʈ ɐ
ಹೋರಾಡು	h oː ɾ aː ɖ u
ಹೋಳಿಗೆ	h oː ɭ i ɡ e
ಹೌದು	h ɐ u̯ d̪ u
ಹ್ರಸ್ವ	h ɾ ɐ s ʋ ɐ
ಾ	a a
ು	u
ೝ	n
ೞ	ɻ
ೡ	l iː
