't	t
Zweiwel	t s v a i̯ v e l
Zwilling	t͡s w i l i ŋ
Zwir	t͡s w iː ə̯
Zwirkinnek	t͡s w iː ə̯ k i n e k
Zwiwwel	t͡s w i v ə l
Zwäig	t s v æ i̯ χ
Zylinder	t͡s i l i n d ɐ
Zäertlechkeet	t͡s ɛː ə̯ t l ə ɕ k eː t
Zäit	t s æ i̯ t
Zäitplang	t͡s æː ɪ̯ t p l ɑ ŋ
Zäitschrëft	t͡s æː ɪ̯ t ʃ ʁ ə f t
Zänn	t͡s æ n
Zänndokter	t͡s æ n d o k t ɐ
Zäregas	t s eː r e ɡ aː s
Zäreneffekt	t͡s ɛː ʀ ə n e f æ k t
Zécken	t͡s e k ə n
Zéif	t͡s ɜ ɪ f
Zéiwennol	t͡s ɜ ɪ̯ v ə n oː l
Zénk	t͡s e ŋ k
Zëmmer	t͡s ə m ɐ
Zënn	t s ə n
aacht	aː χ t
aarbechtslos	aː r b e χ t s l oː s
aarm	aː r m
aartlech	aː r t l e χ
abiméiert	ɑ b i m ɜ ɪ̯ ɐ t
ablécklech	ɑ p l e k l e χ
abonnéieren	ɑ b o n ɜ ɪ̯ ə ʀ ə n
absichtlech	ɑ p z i χ t l e χ
abstrakt	ɑ p s t ʀ ɑ k t
absurd	ɑ p z u ʀ t
adeleg	aː d e l e χ
afen	aː f e n
agreabel	ɑ ɡ ʁ e aː b ə l
agresséieren	ɑ ɡ ʀ æ s ɜ ɪ̯ ə ʀ ə n
ahnen	aː n e n
akadeemesch	ɑ k ɑ d eː m ə ʃ
akribesch	ɑ k r iː b e ʃ
aktivéieren	ɑ k t i v ɜ ɪ̯ ə ʀ ə n
al	aː l
alertéieren	ɑ l æ ʀ t ɜ ɪ̯ ə ʀ ə n
alignéieren	ɑ l i n j ɜ ɪ̯ ə ʀ ə n
allefalls	ɑ l ə f ɑ l s
allenenn	ɑ l ə n æ n
allerdéngs	ɑ l ɐ d e ŋ s
amplaz	a m p l aː t s
an	a n
anchecken	a n t ʃ æ k e n
andecken	a n d æ k e n
andeelen	a n d eː l e n
andeems	a n d eː m s
andreiwen	a n d ʀ a i̯ v e n
androen	a n d ʀ o e n
aner	aː n e ʀ
anescht	aː n e ʃ t
apaart	a p aː ʀ t
aplaz	a p l aː t s
aschléissen	a ʃ l e i̯ s e n
aschätzen	a ʃ æ t s e n
asetzen	a z æ t s e n
ausfroen	æː ʊ s f ʀ oː ə n
awanderen	a v a n d e ʀ e n
awar	a v aː ʀ
awer	aː v e ʀ
baang	b aː ŋ
baken	b aː k e n
bal	b aː l
bannen	b a n e n
batter	b a t e r
bedeckt	b e d æ k t
bedeiten	b e d a i̯ t e n
bedrécken	b e d ʀ e k e n
beezen	b eː t s e n
befielen	b e f i e̯ l e n
begieren	b e ɡ i e̯ ʀ e n
begierlech	b e ɡ iː ʀ l e χ
begleeden	b e ɡ l eː d e n
begrënnen	b e ɡ ʀ e n e n
begéinen	b e ɡ e i̯ n e n
behaapten	b e h aː p t e n
beige	b eː ʃ
beleedegen	b e l eː d e ʁ e n
beleeën	b e l e e n
belsch	b æ l ʃ
bemierken	b e m i e̯ k e n
beobachten	b e oː b a χ t e n
bereien	b e ʀ a i̯ e n
beriichten	b e ʀ iː χ t e n
beréieren	b e ʀ e i̯ ʀ e n
beschléissen	b e ʃ l e i̯ s e n
beschreiwen	b e ʃ ʀ a i̯ v e n
beschränken	b e ʃ ʀ æ ŋ k e n
beschwéiert	b e ʃ v e ɪ̯ e ʀ t
besetzen	b e z æ t s e n
besonnesch	b e z o n e ʃ
bespriechen	b e ʃ p ʀ i e̯ χ e n
bestellen	b e ʃ t æ l e n
bestiits	b e ʃ t iː t s
bestit	b e ʃ t iː t
bestrofen	b e ʃ t ʀ oː f e n
bestueden	b e ʃ t u e̯ d e n
bestuet	b e ʃ t u e̯ t
betounen	b e t e u̯ n e n
beuechten	b e u e̯ χ t e n
bewegen	b e v eː ʁ e n
bezeechnen	b e t s eː χ n e n
bezeien	b e t s a i̯ e n
bezuelen	b e t s u e̯ l e n
bezweiwelen	b e t s v a i̯ v e l e n
bezwéngen	b ə t͡s w e ŋ ə n
bidden	b i d e n
bieden	b i e̯ d e n
biergen	b i e̯ ʁ e n
biergof	b iː ʀ χ oː f
biergop	b i ə̯ ʀ χ o p
biewen	b i e̯ v e n
biichten	b iː χ t e n
biischten	b iː ʃ t ə n
bilden	b i l d e n
billen	b i l e n
bis	b i s
bitzen	b i t s e n
blann	b l a n
blatzeg	b l ɑ t s e χ
bleech	b l eː χ
bleechen	b l eː χ e n
bleiwen	b l a i̯ v e n
blennen	b l æ n e n
blesséieren	b l æ s e i̯ ʀ e n
blitt	b l i t
blitts	b l i t s
blo	b l o
bloost	b l oː s t
blos	b l oː s
blosen	b l oː z e n
blouss	b l e u̯ s
bludden	b l u d e n
bluttjonk	b l u t j o ŋ k
bluttrout	b l u t ʀ e u̯ t
bläien	b l æ i̯ e n
bläifräi	b l æ i̯ f r æ i̯
bléien	b l e i̯ e n
bléis	b l e i̯ s
bléist	b l e i̯ s t
bléit	b l e i̯ t
blénken	b l e ŋ k e n
blëtzen	b l e t s e n
botanesch	b oː t aː n e ʃ
botzen	b o t s e n
braconnéieren	b ʀ a k o n e i̯ ʀ e n
brauchen	b ʀ æ u̯ χ e n
brauen	b r a u̯ e n
breet	b ʀ eː t
brennen	b ʀ æ n e n
bretzeg	b ʀ æ t s ə ɕ
bretzen	b ʀ æ t s e n
briech	b ʀ i e̯ χ
briecht	b ʀ i e̯ χ t
brittesch	b ʀ i t e ʃ
broden	b ʀ oː d e n
brodéieren	b ʀ o d e i̯ ʀ e n
brong	b ʀ o ŋ
bronkeg	b ʀ o ŋ k e χ
brooch	b ʀ oː χ
brot	b ʀ oː t
bréchs	b ʀ e χ s
brécht	b r e χ t
bréien	b ʀ e i̯ e n
bréit	b ʀ e i̯ t
bréits	b ʀ e i̯ t s
bréngen	b r e ŋ e n
brëllen	b r e l e n
buchen	b u χ e n
buddelen	b u d e l e n
bueden	b u e̯ d e n
bueren	b uː r e n
bäikommen	b æ i̯ k o m e n
bäileeën	b æ i̯ l e e n
bäisetzen	b æ i̯ z æ t s e n
bäiss	b æ i̯ s
bäissen	b æ i̯ s e n
bäisst	b æ i̯ s t
bécken	b e k e n
béid	b e i̯ t
béiden	b e i̯ d e n
béien	b e i̯ e n
béis	b e i̯ s
béissen	b e i̯ s e n
bëlleg	b e l e χ
bënns	b e n s
bënnt	b e n t
bëselen	b e z e l e n
capabel	k a p aː b e l
catchen	k a t ʃ e n
changéieren	ʃ ã ʒ e i̯ ʀ e n
chaufféieren	ʃ o f e i̯ ʀ e n
chrëschtlech	k ʀ e ʃ t l e χ
coachen	k oː t͡ʃ ə n
couragéiert	k u ʀ aː ʒ e ɪ̯ e ʀ t
d'	d
d'	t
daachen	d aː χ e n
dach	d a χ
dacks	d a k s
daf	d aː f
dafstomm	d aː f ʃ t o m
dangen	d a ŋ e n
danken	d a ŋ k e n
dann	d a n
danzen	d a n t s e n
daper	d aː p e ʀ
dass	d a s
dat	d a t
dat	d aː t
datt	d a t
dauchen	d æ u̯ χ e n
daueren	d a u̯ ʀ e n
dausend	d a u̯ z e n t
dech	d e χ
decken	d æ k e n
deefen	d eː f e n
deeglech	d eː χ l e χ
deelen	d eː l e n
deem	d eː m
deemno	d eː m n o
deemools	d eː m oː l s
deen	d eː n
dees	d eː s
deet	d eː t
degustéieren	d eː ɡ y s t e i̯ ʀ e n
deier	d a i̯ e ʀ
deiten	d a i̯ t e n
dem	d e m
den	d e n
deng	d e ŋ
dengem	d e ŋ e m
dengen	d e ŋ e n
denger	d e ŋ e ʀ
denken	d æ ŋ k e n
der	d e r
derhanner	d e ʀ h a n e ʀ
dicht	d i χ t
dichteg	d i χ t e χ
dier	d iː r
diktéieren	d i k t e i̯ ʀ e n
dillen	d i l e n
dinn	d i n
dir	d iː r
diskutéieren	d i s k u t e i̯ ʀ e n
ditzen	d i t s e n
do	d o
dobannen	d o b a n e n
dobaussen	d o b æ u̯ s e n
dobäi	d o b æ i̯
doduerch	d o d u e̯ χ
doen	d oː e n
dofir	d o f iː ʀ
doften	d o f t e n
dogéint	d o ɡ e i̯ n t
dohannen	d o h a n e n
dohanner	d o h a n e ʀ
doheem	d o h eː m
dohin	d o h i n
dohinner	d o h i n e ʀ
domat	d oː m a t
domm	d o m
donkel	d o ŋ k e l
donneren	d o n e ʀ e n
dono	d o n o
dono	d oː n o
doran	d o ʀ a n
doran	d oː ʀ a n
doraus	d o ʀ æ u̯ s
doraus	d oː ʀ æ u̯ s
doriwwer	d o ʀ i v e ʀ
doriwwer	d oː ʀ i v e ʀ
doropshin	d o ʀ o p s h i n
dorun	d o ʀ u n
dorun	d oː ʀ u n
dot	d oː t
dout	d e u̯ t
dovun	d o f u n
dovun	d oː f u n
dovunner	d o f u n e ʀ
dovunner	d oː f u n e ʀ
dozou	d o t s e u̯
dozou	d oː t s e u̯
draleeën	d ʀ a l e e n
dran	d ʀ a n
dreemen	d r eː m e n
dreeën	d r eː e n
dreif	d ʀ a i̯ f
dreifs	d ʀ a i̯ f s
dreift	d r a i̯ f t
dreiwen	d r a i̯ v e n
dreschen	d ʀ æ ʃ e n
driwwer	d ʀ i v e ʀ
dro	d ʀ o
droen	d r oː e n
droleg	d ʀ oː l e χ
drot	d ʀ oː t
drun	d ʀ u n
dräifach	d ʀ æ i̯ f a χ
dräimol	d ʀ æ i̯ m oː l
dräizéng	d ʀ æ i̯ t s e ŋ
dräizéngt	d ʀ æ i̯ t s e ŋ t
drängen	d ʀ æ ŋ e n
dränken	d ʀ æ ŋ k e n
dréchnen	d ʀ e χ n e n
drécken	d r e k e n
dréien	d r e i̯ e n
dréif	d ʀ ɜ ɪ f
dréinen	d r e i̯ n e n
dréis	d ʀ e i̯ s
dréit	d r e i̯ t
dréiwen	d ʀ e i̯ v e n
dréngen	d ʀ e ŋ e n
drénk	d ʀ e ŋ k
drénks	d ʀ e ŋ s
drénkt	d ʀ e ŋ t
drënner	d ʀ e n e ʀ
drësseg	d ʀ e s e χ
drëtt	d ʀ e t
du	d u
ducken	d u k e n
duebel	d u e̯ b e l
duer	d uː ʀ
duerch	d u e̯ χ
duercherneen	d uː ʀ χ e ʀ n eː n
duerchsetzen	d u e̯ χ z æ t s e n
duerleeën	d uː ʀ l e e n
duerno	d u e̯ n o
dunn	d u n
duschen	d u ʃ e n
duuss	d uː s
däerfen	d eː ʀ f e n
däin	d æ i̯ n
däischter	d æ i̯ ʃ t e r
däitsch	d æ i̯ t ʃ
däitschsproocheg	d æ i̯ t ʃ ʃ p ʀ oː χ e χ
dämpen	d æ m p e n
där	d eː r
déck	d e k
déi	d e i̯
déi	d i
déif	d e i̯ f
déijéineg	d e i̯ ʒ e i̯ n e χ
déngen	d e ŋ e n
dëllen	d e l e n
dëmpen	d e m p e n
dënn	d e n
dës	d e s
dësem	d e z e m
dësen	d e z e n
dëser	d e z e ʀ
dëst	d e s t
dösen	d øː z e n
ech	e χ
eddy	æ d i
eechen	eː χ e n
eedel	eː d e l
eegen	eː ʁ e n
eegentlech	eː ʁ e n t l e χ
eekelen	eː k e l e n
eelef	eː l e f
eeleft	eː l e f t
eemol	eː m oː l
een	eː n
eenegen	eː n e ʁ e n
eent	eː n t
eenzel	eː n t s e l
eescht	eː ʃ t
eesäiteg	eː z æ i̯ t e χ
eeteren	eː t e ʀ e n
effikass	æ f i k a s
einfach	ɑ ɪ̯ n f ɑ χ
eleng	e l æ ŋ
ellen	æ l e n
ellent	æ l e n t
elo	e l o
em	e m
en	e n
endlech	æ n t l e χ
eneen	e n eː n
eng	æ ŋ
engem	æ ŋ e m
engen	æ ŋ e n
enger	æ ŋ e ʀ
engersäits	æ ŋ ɐ z æː ɪ̯ t͡s
enk	æ ŋ k
enorm	e n o ʀ m
enregistréieren	ã ʀ e ʒ i s t ʀ e i̯ ʀ e n
entbannen	æ n t b a n e n
entbieren	æ n t b iː r e n
entdecken	æ n t d æ k e n
entfléien	æ n t f l e i̯ e n
entsat	æ n t z aː t
entschlofen	æ n t ʃ l oː f e n
entschléissen	æ n t ʃ l e i̯ s e n
entschëllegen	æ n t ʃ e l e ʁ e n
entschëllegt	æ n t ʃ e l e χ t
entsetzen	æ n t z æ t s e n
entspriechen	æ n t ʃ p ʀ i e̯ χ e n
entstoen	æ n t ʃ t oː ə n
entweeder	æ n t v eː d ɐ
entwéckelen	æ n t v e k e l e n
entwëschen	æ n t v e ʃ e n
eppes	æ p e s
eraleeën	e ʀ a l e e n
erbaarmen	e ʀ b aː ʀ m e n
erfrëschen	e ʀ f ʀ e ʃ e n
ergätzen	e ʀ ɡ æ t s e n
erhuuschen	e ʀ h uː ʃ e n
erhuuschten	e ʀ h uː ʃ t e n
eriwwer	e ʀ i v e ʀ
erkennen	e ʀ k æ n e n
erlaben	e ʀ l aː b e n
erof	e ʀ oː f
eroffalen	e ʀ oː f f aː l e n
eroflueden	e r o f l uː d e n
erofsetzen	e ʀ oː f z æ t s e n
eropsetzen	e ʀ o p z æ t͡s e n
ersetzen	e ʀ z æ t͡s e n
erstaunlech	ɐ ʃ t ɑ ʊ̯ n l ə ɕ
erstécken	e ʀ ʃ t e k e n
erwaarden	e ʀ v aː ʀ d e n
erwëschen	e ʀ v e ʃ e n
erzéien	e ʀ t s e i̯ e n
eréischt	e ʀ e i̯ ʃ t
erëm	e r e m
erënneren	e ʀ e n e ʁ e n
esou	e z e u̯
esou	e z u
esoubal	e z u b aː l
esouguer	e z u ɡ uː ʀ
esoulaang	e z u l aː ŋ
et	e t
ewech	e v æ χ
ewell	e v æ l
ewéi	e v e i̯
ewéi	e v i
exageréieren	æ k z a ʒ e ʀ e i̯ ʀ e n
explizéieren	æ k s p l i t s e i̯ r e n
exteren	æ k s t e ʀ e n
faarweblann	f aː r v e b l a n
faaschten	f aː ʃ t e n
faassen	f aː s e n
fad	f aː t
falen	f aː l e n
falls	f a l s
fann	f a n
fannen	f a n e n
fannt	f a n t
faul	f æː ʊ l
faul	f ɑ ʊ l
faulen	f a u̯ l e n
faulenzen	f æ u̯ l æ n t s e n
feelen	f eː l e n
feeën	f e e n
feieren	f a i̯ ʀ e n
fest	f æ s t
festsetzen	f æ s t z æ t s e n
feststellen	f æ s t ʃ t æ l e n
fidderen	f i d e ʀ e n
fierwen	f i e̯ v e n
fiicht	f iː χ t
fillen	f i l e n
fir	f e ʀ
fir	f iː ʀ
firwat	f i ə̯ v aː t
firwat	f ə v aː t
fiselen	f i z e l e n
fit	f i t
flaach	f l aː χ
fladderen	f l a d e ʀ e n
flappseg	f l ɑ p s ə ɕ
flechten	f l æ χ t e n
flirten	f l œː ʀ t e n
flitt	f l i t
flitts	f l i t s
flitzen	f l i t s e n
flott	f l o t
flou	f l u
fluchen	f l u χ ə n
flutschen	f l u t ʃ e n
fläissen	f l æ i̯ s e n
fléck	f l e k
flécken	f l e k e n
fléi	f l e i̯
fléien	f l e i̯ e n
fléissen	f l e i̯ s e n
fofzeg	f o f t s e χ
fofzéng	f o f t s e ŋ
fofzéngt	f o f t s e ŋ t
follegen	f o l e ʁ e n
fonnt	f o n t
fooschen	f oː ʃ e n
formatéieren	f o ʀ m a t e i̯ ʀ e n
formidabel	f o ʀ m i d aː b e l
fouen	f e u̯ e n
foussen	f e u̯ s e n
freeën	f ʀ e e n
freien	f ʀ a i̯ e n
friddlech	f ʀ i t l e χ
friem	f ʀ i e̯ m
friess	f ʀ i e̯ s
friessen	f ʀ i e̯ s e n
friesst	f ʀ i e̯ s t
froen	f ʀ oː e n
fromm	f ʀ o m
frou	f r e u̯
fräi	f r æ i̯
fréi	f r e i̯
fréier	f r e i̯ e r
fréieren	f r e i̯ r e n
frësch	f r e ʃ
frëss	f ʀ e s
frësst	f ʀ e s t
fuebelen	f u e̯ b e l e n
fueren	f uː r e n
fuerschen	f u e̯ ʃ e n
fuert	f uː ʀ t
fuerzen	f u e̯ t s e n
futti	f u t i
fäeg	f e e χ
fäeg	f æ e χ
fäerdeg	f eː ʀ d e χ
fäerten	f eː ʀ t e n
fälleg	f æ l e χ
fälschen	f æ l ʃ e n
fänken	f æ ŋ k e n
fécken	f e k e n
féieren	f e i̯ ʀ e n
fëllen	f e l e n
fëmmen	f e m e n
fënnef	f e n e f
fënneft	f e n e f t
fënns	f e n s
fënnt	f e n t
fëschen	f e ʃ e n
gaapsen	ɡ aː p s e n
ganz	ɡ a n s
gebass	ɡ e b a s
geblitt	ɡ e b l i t
geblosen	ɡ e b l oː z e n
gebonnen	ɡ e b o n e n
gebrauchen	ɡ e b ʀ æ u̯ χ e n
gebroden	ɡ e b ʀ oː d e n
gebräichlech	ɡ e b ʀ æ i̯ χ l e χ
gebueden	ɡ e b u e̯ d e n
gebuer	ɡ e b uː r
gedoen	ɡ e d o e n
gedriwwen	ɡ e d r i v e n
gedroen	ɡ e d ʀ o e n
gedronk	ɡ e d ʀ o ŋ k
geeschteg	ɡ eː ʃ t e χ
geeschtlech	ɡ eː ʃ t l e χ
gefalen	ɡ e f aː l e n
geflass	ɡ e f l a s
geflunn	ɡ e f l u n
gefriess	ɡ e f ʀ i e̯ s
gefuer	ɡ e f uː ʀ
gehaen	ɡ e h a e n
gehalen	ɡ e h aː l e n
geheien	ɡ e h a i̯ e n
geheim	ɡ e h a i̯ m
geholl	ɡ e h o l
gehuewen	ɡ e h u e̯ v e n
gehéiereg	ɡ e h e i̯ ʀ e χ
gehéieren	ɡ e h e i̯ ʀ e n
gejot	ɡ e j oː t
gejot	ɡ e ʒ oː t
geklommen	ɡ e k l o m e n
gelaf	ɡ e l aː f
geleeën	ɡ e l e e n
gelidden	ɡ e l i d e n
gelooss	ɡ e l oː s
gelungen	ɡ e l u ŋ e n
gelunn	ɡ e l u n
geléngen	ɡ e l e ŋ e n
gemaach	ɡ e m aː χ
gemeng	ɡ e m æ ŋ
gemidden	ɡ e m i d e n
genee	ɡ e n eː
genuch	ɡ e n u χ
genéieren	ʒ e n e i̯ ʀ e n
genéissen	ɡ e n e i̯ s e n
gepaakt	ɡ e p aː k t
geraf	ɡ e ʀ aː f
geraimeg	ɡ e ʀ a i̯ m e χ
gerass	ɡ e r a s
gerecht	ɡ e ʀ æ χ t
gereest	ɡ e ʀ eː s t
geridden	ɡ e ʀ i d e n
geriwwen	ɡ e ʀ i v e n
germanesch	ɡ eː ʀ m aː n e ʃ
geroden	ɡ e ʀ oː d e n
geréieren	ʒ e ʀ e i̯ ʀ ə n
geschass	ɡ e ʃ a s
gescheit	ɡ ə ʃ ɑ ɪ̯ t
geschitt	ɡ e ʃ i t
geschlass	ɡ e ʃ l a s
geschlechtsflësseg	ɡ e ʃ l æ χ t s f l e s e χ
geschmass	ɡ e ʃ m a s
geschwënn	ɡ e ʃ v e n
geschéien	ɡ e ʃ e i̯ e n
gesetzlech	ɡ e z æ t s l e χ
gesinn	ɡ e z i n
gesond	ɡ e z o n t
gesprongen	ɡ e ʃ p ʀ o ŋ e n
gespréicheg	ɡ e ʃ p ʀ e i̯ χ e χ
gespuert	ɡ e ʃ p uː r t
gesträift	ɡ e ʃ t ʀ æ i̯ f t
getratt	ɡ e t ʀ a t
getrueden	ɡ e t ʀ u e̯ d e n
getëppelt	ɡ e t e p e l t
gewannen	ɡ e v a n e n
gewiescht	ɡ e v i e̯ ʃ t
gewosst	ɡ e v o s t
gewuess	ɡ e v u e̯ s
gewuesst	ɡ e v u e̯ s t
gezunn	ɡ e t s u n
gezwitschert	ɡ e t s v i t ʃ e ʀ t
giel	ɡ i e̯ l
gierwen	ɡ i e̯ v e n
giess	ɡ i e̯ s
ginn	ɡ i n
gipsen	ɡ i p s ə n
glaseg	ɡ l aː z e χ
glat	ɡ l aː t
gleewen	ɡ l eː v e n
gliddeg	ɡ l i d e χ
glidderen	ɡ l i d e ʀ e n
gliesen	ɡ l i e̯ z e n
glott	ɡ l o t
glousen	ɡ l e u̯ z e n
gläich	ɡ l æ i̯ χ
gläichen	ɡ l æ i̯ χ e n
glécken	ɡ l e k e n
goen	ɡ oː e n
gonnen	ɡ o n e n
graff	ɡ r a f
gratinéieren	ɡ ʀ a t i n e i̯ ʀ e n
grell	ɡ ʀ æ l
griichesch	ɡ ʀ iː χ e ʃ
grillen	ɡ ʀ i l ə n
gro	ɡ ʀ o
grommelen	ɡ ʀ o m e l e n
grouss	ɡ r e u̯ s
groussaarteg	ɡ r e u̯ s aː r t e χ
groussem	ɡ ʀ e u̯ s e m
groussen	ɡ ʀ e u̯ s e n
grousser	ɡ ʀ e u̯ s e ʀ
grousst	ɡ ʀ e u̯ s t
gräifen	ɡ ʀ æ i̯ f e n
gräisslech	ɡ ʀ æ i̯ s l e χ
gréng	ɡ r e ŋ
gréngen	ɡ r e ŋ e n
grënnen	ɡ ʀ e n e n
guddem	ɡ u d e m
gudden	ɡ u d e n
gudder	ɡ u d e ʀ
guer	ɡ uː r
gutt	ɡ u t
gäisselen	ɡ æ i̯ s e l e n
gäizen	ɡ æ i̯ t s e n
gär	ɡ eː r
géi	ɡ e i̯
géint	ɡ e i̯ n t
géinteneen	ɡ e i̯ n t e n eː n
géintiwwer	ɡ e i̯ n t i v e ʀ
géissen	ɡ e i̯ s e n
gëllen	ɡ e l e n
gënnen	ɡ e n e n
gëscht	ɡ e ʃ t
gëschter	ɡ e ʃ t e ʀ
haalt	h aː l t
haaptsächlech	h aː p t z æ χ l e χ
haart	h aː r t
haassen	h aː s e n
hachéieren	h a ʃ e i̯ ʀ e n
hafteg	h ɑ f t ə ɕ
haiteg	h a i̯ t e χ
hal	h aː l
halen	h aː l e n
hallef	h a l e f
hamsteren	h ɑ m s t ə ʁ ə n
handelen	h a n d e l e n
hannen	h a n e n
hannendran	h a n e n d ʀ a n
hannendrun	h a n e n d ʀ u n
hannenno	h a n e n n o
hanner	h a n e ʀ
hannereneen	h a n e ʀ e n eː n
hannerwands	h a n e ʀ v a n s
hanneschtsetzen	h a n e ʃ t z æ t s e n
hannevir	h a n e f iː ʀ
hat	h aː t
hatt	h a t
haut	h a u̯ t
hautdesdaags	h a u̯ t d e s d aː χ s
heefen	h eː f e n
heelen	h eː l e n
heem	h eː m
heemschécken	h eː m ʃ e k e n
hees	h eː s
heeschen	h eː ʃ e n
heet	h eː t
heften	h æ f t e n
hei	h a i̯
heiansdo	h a i̯ a n s d o
hell	h æ l
hellblo	h æ l b l o
helleg	h æ l e χ
hellegspriechen	h æ l e χ ʃ p ʀ i e̯ χ e n
herrlech	h æ ʀ l e χ
hessesch	h æ s e ʃ
hexen	h æ k s e n
hicken	h i k e n
hidden	h i d e n
hien	h i e̯ n
hier	h iː r
hiert	h iː ʀ t
hiewen	h i e̯ v e n
him	h i m
himmelblo	h i m e l b l o
himmelen	h i m e l e n
hindeiten	h i n d a i̯ t e n
hinnen	h i n e n
hir	h iː ʀ
historesch	h i s t oː ʀ e ʃ
hiweisen	h i v a i̯ z e n
hoffen	h o f e n
hollännesch	h o l æ n ə ʃ
honnert	h o n e ʀ t
hoppelen	h o p e l e n
hospitaliséieren	h ɔ s p i t ɑ l i z ɜ ɪ̯ ə ʁ ə n
houfreg	h e u̯ f ʀ e χ
houschten	h e u̯ ʃ t e n
huel	h u e̯ l
huelen	h u e̯ l e n
huelt	h u e̯ l t
huerteg	h ʊ ə̯ ʀ t e χ
hummeren	h u m ə ʀ ə n
hunn	h u n
huppen	h u p e n
huschen	h u ʃ e n
huwwelen	h u v e l e n
häerden	h eː ʀ d e n
häerzeg	h eː r t s e χ
häls	h æ l s
hält	h æ l t
hänken	h æ ŋ k e n
hänselen	h æ n z e l e n
hätschelen	h æ t ʃ e l e n
héchstens	h e k s t e n s
héich	h e i̯ χ
héieren	h e i̯ r e n
héiflech	h e i̯ f l e χ
héijen	h e i̯ ʁ e n
héissen	h e i̯ s e n
hëllefen	h e l e f e n
hëls	h e l s
hëlt	h e l t
hëlzen	h e l t s e n
hënt	h e n t
hëtzen	h e t s e n
ideal	i d e aː l
ideal	i d i aː l
ieren	iː r e n
ierflech	i e̯ f l e χ
iergenden	i e̯ ʁ e n t e n
iergendeng	i e̯ ʁ e n t æ ŋ
iergendengem	i e̯ ʁ e n t æ ŋ e m
iergendenger	i e̯ ʁ e n t æ ŋ e ʀ
iergeren	i e̯ ʁ e ʀ e n
ierwen	i e̯ v e n
iess	i e̯ s
iessen	i e̯ s e n
iesst	i e̯ s t
iewescht	i e̯ v e ʃ t
iwwel	i v e l
iwwer	i v e ʀ
iwwerdreiwen	i v e r d r a i̯ v e n
iwwerdriwwen	i v e ʀ d ʀ i v e n
iwwergräifen	i v e ʀ ɡ ʀ æ i̯ f e n
iwwerhaapt	i v ɐ h aː p t
iwwerliewen	i v e r l i e̯ v e n
iwwersetzen	i v e ʀ z æ t s e n
iwwerweisen	i v e ʀ v a i̯ z e n
jauwen	ʒ a u̯ v e n
jee	j eː
jees	j eː s
jees	ʒ eː s
jeet	j eː t
jeet	ʒ eː t
jidder	j i d e r
jidder	ʒ i d e r
jiddereen	j i d e r eː n
jo	j o
joen	j oː e n
joen	ʒ oː e n
jong	j o ŋ
jongléieren	ʒ o ŋ ɡ l e i̯ ʀ e n
jonk	j o ŋ k
jorelaang	j oː ə̯ ʀ ə l aː ŋ
jot	j oː t
jot	ʒ oː t
jubiléieren	j u b i l e i̯ ʀ e n
jäizen	j æ i̯ t s e n
jéimeren	j e i̯ m e ʀ e n
kaaft	k aː f t
kachen	k a χ e n
kaf	k aː f
kafen	k aː f e n
kal	k aː l
kammoud	k a m e u̯ t
kann	k a n
kanns	k a n s
kaschten	k ɑ ʃ t ə n
kathoulesch	k a t ə ʊ l ə ʃ
katzen	k ɑ t s ə n
kaum	k æː ʊ̯ m
kazen	k aː t s ə n
keefs	k eː f s
keeft	k eː f t
keen	k eː n
keng	k æ ŋ
kengem	k æ ŋ ə m
kengen	k æ ŋ ə n
kenger	k æ ŋ ɐ
kennen	k æ n ə n
kieren	k i ə̯ ʀ ə n
kill	k i l
killen	k i l ə n
klaken	k l aː k ə n
klamm	k l ɑ m
klammen	k l ɑ m ə n
klammt	k l ɑ m t
klappen	k l ɑ p ə n
klassesch	k l ɑ s ə ʃ
kleeden	k l eː d ə n
kleesper	k l eː s p ɐ
kleng	k l æ ŋ
klengem	k l æ ŋ ə m
klengen	k l æ ŋ ə n
klenger	k l æ ŋ ɐ
klengt	k l æ ŋ t
klicken	k l i k ə n
kliewen	k l i e̯ v e n
kloen	k l oː e n
kloer	k l oː e r
klécken	k l e k ə n
kléngen	k l e ŋ ə n
klëmms	k l ə m s
klëmmt	k l ə m t
knapps	k n ɑ p s
knieden	k n i ə̯ d ə n
knécken	k n e k ə n
knëppen	k n ə p ə n
kollen	k o l e n
komesch	k oː m ə ʃ
komm	k o m
kommen	k o m ə n
kommt	k o m t
kompetent	k o m p ə t æ n t
komplett	k o m p l æ t
konfus	k o n f uː s
konnt	k o n t
konnten	k o n t ə n
konnts	k o n t s
konzentréieren	k o n t͡s æ n t ʀ ɜ ɪ̯ e ʀ e n
koppeg	k o p ə ɕ
korrekt	k o ʀ æ k t
koum	k ə ʊ̯ m
koumen	k ə ʊ̯ m ə n
koums	k ə ʊ̯ m s
koumt	k ə ʊ̯ m t
kraachen	k ʀ aː χ ə n
krank	k ʀ ɑ ŋ k
krappeg	k ʀ ɑ p ə ɕ
krazen	k ʀ aː t s ə n
kriddeleg	k ʀ i d ə l ə ɕ
kriits	k ʀ iː t s
kriss	k ʀ i s
krit	k ʀ iː t
kriten	k ʀ iː t ə n
kritesch	k ʀ i t ə ʃ
kritt	k ʀ i t
kromm	k ʀ o m
krut	k ʀ uː t
kruten	k ʀ uː t ə n
kruuts	k ʀ uː t s
kräischen	k r æ i̯ ʃ e n
