あ	a̠
こなゆき	k o̞ n a̠ j ɯ̟ kʲ i
こぬ	k o̞ n ɯ̟
この	k o̞ n o̞
このごろ	k o̞ n o̞ ɡ o̞ ɾ o̞
このざま	k o̞ n o̞ z a̠ m a̠
こばしり	k o̞ b a̠ ɕ i ɾʲ i
こばら	k o̞ b a̠ ɾ a̠
こぶ	k o̞ b ɯ̟
こぼればなし	k o̞ b o̞ ɾ e̞ b a̠ n a̠ ɕ i
こまい	k o̞ m a̠ i
こまおくり	k o̞ m a̠ o̞ k ɯ̟ ɾʲ i
こまがく	k o̞ m a̠ ɡ a̠ k ɯ̟
こまぎれ	k o̞ m a̠ ɡʲ i ɾ e̞
こまつ	k o̞ m a̠ t͡s ɨ
こまめ	k o̞ m a̠ m e̞
こまります	k o̞ m a̠ ɾʲ i m a̠ s ɨ
こみ	k o̞ mʲ i
こみあげる	k o̞ mʲ i a̠ ɡ e̞ ɾ ɯ̟
こみこみ	k o̞ mʲ i k o̞ mʲ i
こみち	k o̞ mʲ i t͡ɕ i
こむずかしい	k o̞ m ɯ̟ z ɨ k a̠ ɕ iː
こめじるし	k o̞ m e̞ ʑ i ɾ ɯ̟ ɕ i
こもごも	k o̞ m o̞ ɡ o̞ m o̞
こもの	k o̞ m o̞ n o̞
こもりうた	k o̞ m o̞ ɾʲ i ɯ̟ t a̠
こやけ	k o̞ j a̠ k e̞
こやし	k o̞ j a̠ ɕ i
こやつ	k o̞ j a̠ t͡s ɨ
こゆい	k o̞ j ɯ̟ i
こゆき	k o̞ j ɯ̟ kʲ i
こよなく	k o̞ j o̞ n a̠ k ɯ̟
こより	k o̞ j o̞ ɾʲ i
こら	k o̞ ɾ a̠
こらえる	k o̞ ɾ a̠ e̞ ɾ ɯ̟
こりこり	k o̞ ɾʲ i k o̞ ɾʲ i
こる	k o̞ ɾ ɯ̟
これ	k o̞ ɾ e̞
これから	k o̞ ɾ e̞ k a̠ ɾ a̠
これっぽっち	k o̞ ɾ e̞ p̚ p o̞ t̚ t͡ɕ i
これほど	k o̞ ɾ e̞ h o̞ d o̞
これみよがし	k o̞ ɾ e̞ mʲ i j o̞ ɡ a̠ ɕ i
ころ	k o̞ ɾ o̞
ころあい	k o̞ ɾ o̞ a̠ i
ころころ	k o̞ ɾ o̞ k o̞ ɾ o̞
こんがらかる	k õ̞ ŋ ɡ a̠ ɾ a̠ k a̠ ɾ ɯ̟
こんがらがる	k õ̞ ŋ ɡ a̠ ɾ a̠ ɡ a̠ ɾ ɯ̟
こんがり	k õ̞ ŋ ɡ a̠ ɾʲ i
こんこん	k õ̞ ŋ k õ̞ ɴ
こんた	k õ̞ n t a̠
こんだけ	k õ̞ n d a̠ k e̞
こんちゃ	k õ̞ ɲ̟ t͡ɕ a̠
こんちわ	k õ̞ ɲ̟ t͡ɕ i β̞ a̠
こんな	k õ̞ nː a̠
こんぬづわ	k õ̞ nː ɯ̟ z ɨ β̞ a̠
こんもり	k õ̞ mː o̞ ɾʲ i
こ゚	ŋ o̞
ご	ɡ o̞
ごうつくばり	ɡ o̞ː t͡s ɨ̥ k ɯ̟ b a̠ ɾʲ i
ごくふり	ɡ o̞ k ɯ̟ ɸ ɯ̟ ɾʲ i
ごくり	ɡ o̞ k ɯ̟ ɾʲ i
ございます	ɡ o̞ z a̠ i m a̠ s ɨ̥
ござる	ɡ o̞ z a̠ ɾ ɯ̟
ごしごし	ɡ o̞ ɕ i ɡ o̞ ɕ i
ごち	ɡ o̞ t͡ɕ i
ごちゃ	ɡ o̞ t͡ɕ a̠
ごちゃくちゃ	ɡ o̞ t͡ɕ a̠ k ɯ̟ t͡ɕ a̠
ごちゃごちゃ	ɡ o̞ t͡ɕ a̠ ɡ o̞ t͡ɕ a̠
ごちゃまぜ	ɡ o̞ t͡ɕ a̠ m a̠ z e̞
ごっこ	ɡ o̞ k̚ k o̞
ごっそり	ɡ o̞ sː o̞ ɾʲ i
ごったん	ɡ o̞ t̚ t ã̠ ɴ
ごっちゃ	ɡ o̞ t̚ t͡ɕ a̠
ごっつぁん	ɡ o̞ t̚ t͡s ã̠ ɴ
ごつい	ɡ o̞ t͡s ɨ i
ごつごつ	ɡ o̞ t͡s ɨ ɡ o̞ t͡s ɨ
ごと	ɡ o̞ t o̞
ごとき	ɡ o̞ t o̞ kʲ i
ごとく	ɡ o̞ t o̞ k ɯ̟
ごとごと	ɡ o̞ t o̞ ɡ o̞ t o̞
ごとし	ɡ o̞ t o̞ ɕ i
ごとん	ɡ o̞ t õ̞ ɴ
ごねる	ɡ o̞ n e̞ ɾ ɯ̟
ごほごほ	ɡ o̞ h o̞ ɡ o̞ h o̞
ごほん	ɡ o̞ h õ̞ ɴ
ごぼごぼ	ɡ o̞ b o̞ ɡ o̞ b o̞
ごまかし	ɡ o̞ m a̠ k a̠ ɕ i
ごまかす	ɡ o̞ m a̠ k a̠ s ɨ
ごみいれ	ɡ o̞ mʲ i i ɾ e̞
ごめんください	ɡ o̞ m ẽ̞ ŋ k ɯ̟ d a̠ s a̠ i
ごめんなさい	ɡ o̞ m ẽ̞ nː a̠ s a̠ i
ごゆっくり	ɡ o̞ j ɯ̟ k̚ k ɯ̟ ɾʲ i
ごりごり	ɡ o̞ ɾʲ i ɡ o̞ ɾʲ i
ごろごろ	ɡ o̞ ɾ o̞ ɡ o̞ ɾ o̞
ごろつき	ɡ o̞ ɾ o̞ t͡s ɨ kʲ i
ごろん	ɡ o̞ ɾ õ̞ ɴ
ごわごわ	ɡ o̞ β̞ a̠ ɡ o̞ β̞ a̠
ごわす	ɡ o̞ β̞ a̠ s ɨ
さ	s a̠
さぁ	s a̠ː
さあ	s a̠ː
さい	s a̠ i
さいさき	s a̠ i s a̠ kʲ i
さいたま	s a̠ i t a̠ m a̠
さいなむ	s a̠ i n a̠ m ɯ̟
さえ	s a̠ e̞
さお	s a̠ o̞
さか	s a̠ k a̠
さかい	s a̠ k a̠ i
さかいめ	s a̠ k a̠ i m e̞
さかさづり	s a̠ k a̠ s a̠ z ɨ ɾʲ i
さかさま	s a̠ k a̠ s a̠ m a̠
さかずき	s a̠ k a̠ z ɨ kʲ i
さかな	s a̠ k a̠ n a̠
さかまく	s a̠ k a̠ m a̠ k ɯ̟
さき	s a̠ kʲ i
さきっちょ	s a̠ kʲ i t̚ t͡ɕ o̞
さきどり	s a̠ kʲ i d o̞ ɾʲ i
さきほこる	s a̠ kʲ i h o̞ k o̞ ɾ ɯ̟
さきよみ	s a̠ kʲ i j o̞ mʲ i
さぎょいぷ	s a̠ ɡʲ o̞ i p ɯ̟
さくっと	s a̠ k ɯ̟ t̚ t o̞
さくや	s a̠ k ɯ̟ j a̠
さくる	s a̠ k ɯ̟ ɾ ɯ̟
さけ	s a̠ k e̞
さけとば	s a̠ k e̞ t o̞ b a̠
さけびごえ	s a̠ k e̞ bʲ i ɡ o̞ e̞
さけびだす	s a̠ k e̞ bʲ i d a̠ s ɨ
ささくれ	s a̠ s a̠ k ɯ̟ ɾ e̞
ささくれる	s a̠ s a̠ k ɯ̟ ɾ e̞ ɾ ɯ̟
ささめゆき	s a̠ s a̠ m e̞ j ɯ̟ kʲ i
さざめく	s a̠ z a̠ m e̞ k ɯ̟
さし	s a̠ ɕ i
さしいろ	s a̠ ɕ i i ɾ o̞
さしすせそ	s a̠ ɕ i s ɨ s e̞ s o̞
さしずめ	s a̠ ɕ i z ɨ m e̞
さして	s a̠ ɕ i t e̞
さしのみ	s a̠ ɕ i n o̞ mʲ i
さしもどし	s a̠ ɕ i m o̞ d o̞ ɕ i
さす	s a̠ s ɨ
さすけね	s a̠ s ɨ k e̞ n e̞
さすらい	s a̠ s ɨ ɾ a̠ i
させる	s a̠ s e̞ ɾ ɯ̟
さっき	s a̠ k̚ʲ kʲ i
さっさと	s a̠ sː a̠ t o̞
さっぱり	s a̠ p̚ p a̠ ɾʲ i
さつよこ	s a̠ t͡s ɨ j o̞ k o̞
さて	s a̠ t e̞
さとす	s a̠ t o̞ s ɨ
さびき	s a̠ bʲ i kʲ i
さびつく	s a̠ bʲ i t͡s ɨ k ɯ̟
さびれる	s a̠ bʲ i ɾ e̞ ɾ ɯ̟
さま	s a̠ m a̠
さむぞら	s a̠ m ɯ̟ z o̞ ɾ a̠
さも	s a̠ m o̞
さもしい	s a̠ m o̞ ɕ iː
さやか	s a̠ j a̠ k a̠
さやさや	s a̠ j a̠ s a̠ j a̠
さようなら	s a̠ j o̞ː n a̠ ɾ a̠
さよなら	s a̠ j o̞ n a̠ ɾ a̠
さらう	s a̠ ɾ a̠ ɯ̟
さらさら	s a̠ ɾ a̠ s a̠ ɾ a̠
さらし	s a̠ ɾ a̠ ɕ i
さらっと	s a̠ ɾ a̠ t̚ t o̞
さらなる	s a̠ ɾ a̠ n a̠ ɾ ɯ̟
さらり	s a̠ ɾ a̠ ɾʲ i
さりげない	s a̠ ɾʲ i ɡ e̞ n a̠ i
さる	s a̠ ɾ ɯ̟
されたし	s a̠ ɾ e̞ t a̠ ɕ i
される	s a̠ ɾ e̞ ɾ ɯ̟
さわぎだす	s a̠ β̞ a̠ ɡʲ i d a̠ s ɨ
さんざめく	s ã̠ n d͡z a̠ m e̞ k ɯ̟
さ゚	t͡s a̠
さーせん	s a̠ː s ẽ̞ ɴ
ざ	d͡z a̠
ざあ	d͡z a̠ː
ざく	d͡z a̠ k ɯ̟
ざこい	d͡z a̠ k o̞ i
ざっくばらん	d͡z a̠ k̚ k ɯ̟ b a̠ ɾ ã̠ ɴ
ざっくり	d͡z a̠ k̚ k ɯ̟ ɾʲ i
ざっと	d͡z a̠ t̚ t o̞
ざっとう	d͡z a̠ t̚ t o̞ː
ざばっと	d͡z a̠ b a̠ t̚ t o̞
ざま	d͡z a̠ m a̠
ざます	d͡z a̠ m a̠ s ɨ
ざら	d͡z a̠ ɾ a̠
ざらつく	d͡z a̠ ɾ a̠ t͡s ɨ k ɯ̟
ざらめ	d͡z a̠ ɾ a̠ m e̞
ざり	d͡z a̠ ɾʲ i
ざる	d͡z a̠ ɾ ɯ̟
ざれうた	d͡z a̠ ɾ e̞ ɯ̟ t a̠
ざわざわ	d͡z a̠ β̞ a̠ z a̠ β̞ a̠
ざわつく	d͡z a̠ β̞ a̠ t͡s ɨ k ɯ̟
ざわめき	d͡z a̠ β̞ a̠ m e̞ kʲ i
ざんばら	d͡z ã̠ m b a̠ ɾ a̠
し	ɕ i
しいたげる	ɕ iː t a̠ ɡ e̞ ɾ ɯ̟
しぇ	ɕ e̞
しおこうじ	ɕ i o̞ k o̞ː ʑ i
しおしお	ɕ i o̞ ɕ i o̞
しおらしい	ɕ i o̞ ɾ a̠ ɕ iː
しか	ɕ i̥ k a̠
しかけにん	ɕ i k a̠ k e̞ ɲ̟ ĩ ɴ
しかし	ɕ i̥ k a̠ ɕ i
しかして	ɕ i k a̠ ɕ i t e̞
しかばね	ɕ i k a̠ b a̠ n e̞
しかも	ɕ i̥ k a̠ m o̞
しからば	ɕ i̥ k a̠ ɾ a̠ b a̠
しかり	ɕ i k a̠ ɾʲ i
しがみつく	ɕ i ɡ a̠ mʲ i t͡s ɨ̥ k ɯ̟
しきがわら	ɕ i kʲ i ɡ a̠ β̞ a̠ ɾ a̠
しきたり	ɕ i kʲ i t a̠ ɾʲ i
しきぶとん	ɕ i kʲ i b ɯ̟ t õ̞ ɴ
しきゃ	ɕ i kʲ a̠
しきりに	ɕ i kʲ i ɾʲ i ɲ̟ i
しく	ɕ i k ɯ̟
しくしく	ɕ i k ɯ̟ ɕ i k ɯ̟
しくじる	ɕ i k ɯ̟ ʑ i ɾ ɯ̟
しくる	ɕ i k ɯ̟ ɾ ɯ̟
しけもく	ɕ i k e̞ m o̞ k ɯ̟
しげしげ	ɕ i ɡ e̞ ɕ i ɡ e̞
しこうして	ɕ i k o̞ː ɕ i t e̞
しこしこ	ɕ i k o̞ ɕ i k o̞
しこたま	ɕ i k o̞ t a̠ m a̠
しこみ	ɕ i k o̞ mʲ i
しこり	ɕ i k o̞ ɾʲ i
しこる	ɕ i k o̞ ɾ ɯ̟
しごおわ	ɕ i ɡ o̞ o̞ β̞ a̠
しごく	ɕ i ɡ o̞ k ɯ̟
しごでき	ɕ i ɡ o̞ d e̞ kʲ i
しずけさ	ɕ i z ɨ k e̞ s a̠
した	ɕ i t a̠
したい	ɕ i t a̠ i
したいげり	ɕ i t a̠ i ɡ e̞ ɾʲ i
したうず	ɕ i t a̠ ɯ̟ z ɨ
したうち	ɕ i t a̠ ɯ̟ t͡ɕ i
したがき	ɕ i t a̠ ɡ a̠ kʲ i
したぐつ	ɕ i t a̠ ɡ ɯ̟ t͡s ɨ
したごしらえ	ɕ i t a̠ ɡ o̞ ɕ i ɾ a̠ e̞
したし	ɕ i t a̠ ɕ i
したじき	ɕ i t a̠ ʑ i kʲ i
したっけ	ɕ i t a̠ k̚ k e̞
したづみ	ɕ i t a̠ z ɨ mʲ i
したて	ɕ i̥ t a̠ t e̞
したてる	ɕ i̥ t a̠ t e̞ ɾ ɯ̟
したみ	ɕ i t a̠ mʲ i
したむき	ɕ i t a̠ m ɯ̟ kʲ i
したゆで	ɕ i t a̠ j ɯ̟ d e̞
したよみ	ɕ i t a̠ j o̞ mʲ i
したら	ɕ i̥ t a̠ ɾ a̠
したり	ɕ i t a̠ ɾʲ i
したれ	ɕ i t a̠ ɾ e̞
したわしい	ɕ i t a̠ β̞ a̠ ɕ iː
しち	ɕ i̥ t͡ɕ i
しっかし	ɕ i k̚ k a̠ ɕ i
しっかり	ɕ i̥ k̚ k a̠ ɾʲ i
しっくり	ɕ i̥ k̚ k ɯ̟ ɾʲ i
しっこ	ɕ i k̚ k o̞
しったかぶり	ɕ i t̚ t a̠ k a̠ b ɯ̟ ɾʲ i
しったかぶる	ɕ i t̚ t a̠ k a̠ b ɯ̟ ɾ ɯ̟
しっとり	ɕ i̥ t̚ t o̞ ɾʲ i
しっぽり	ɕ i p̚ p o̞ ɾʲ i
しつける	ɕ i̥ t͡s ɨ k e̞ ɾ ɯ̟
しつこい	ɕ i t͡s ɨ̥ k o̞ i
して	ɕ i̥ t e̞
しとうず	ɕ i t o̞ː z ɨ
しとしと	ɕ i̥ t o̞ ɕ i̥ t o̞
しとど	ɕ i t o̞ d o̞
しどろ	ɕ i d o̞ ɾ o̞
しどろもどろ	ɕ i d o̞ ɾ o̞ m o̞ d o̞ ɾ o̞
しなう	ɕ i n a̠ ɯ̟
しながき	ɕ i n a̠ ɡ a̠ kʲ i
しなじな	ɕ i n a̠ ʑ i n a̠
しなだし	ɕ i n a̠ d a̠ ɕ i
しなやか	ɕ i n a̠ j a̠ k a̠
しなる	ɕ i n a̠ ɾ ɯ̟
しにわかれ	ɕ i ɲ̟ i β̞ a̠ k a̠ ɾ e̞
しにわかれる	ɕ i ɲ̟ i β̞ a̠ k a̠ ɾ e̞ ɾ ɯ̟
しのぎ	ɕ i n o̞ ɡʲ i
しばく	ɕ i b a̠ k ɯ̟
しばし	ɕ i b a̠ ɕ i
しばしば	ɕ i b a̠ ɕ i b a̠
しばれる	ɕ i b a̠ ɾ e̞ ɾ ɯ̟
しびれ	ɕ i bʲ i ɾ e̞
しぶしぶ	ɕ i b ɯ̟ ɕ i b ɯ̟
しぶとい	ɕ i b ɯ̟ t o̞ i
しぶる	ɕ i b ɯ̟ ɾ ɯ̟
しべ	ɕ i b e̞
しぼりじる	ɕ i b o̞ ɾʲ i ʑ i ɾ ɯ̟
しぼりぶくろ	ɕ i b o̞ ɾʲ i b ɯ̟ k ɯ̟ ɾ o̞
しま	ɕ i m a̠
しまい	ɕ i m a̠ i
しまう	ɕ i m a̠ ɯ̟
しまうた	ɕ i m a̠ ɯ̟ t a̠
しましま	ɕ i m a̠ ɕ i m a̠
します	ɕ i m a̠ s ɨ
しまだ	ɕ i m a̠ d a̠
しまった	ɕ i m a̠ t̚ t a̠
しみ	ɕ i mʲ i
しみいる	ɕ i mʲ i i ɾ ɯ̟
しめころす	ɕ i m e̞ k o̞ ɾ o̞ s ɨ
しめつける	ɕ i m e̞ t͡s ɨ k e̞ ɾ ɯ̟
しもうた	ɕ i m o̞ː t a̠
しゃ	ɕ a̠
しゃあしゃあ	ɕ a̠ː ɕ a̠ː
しゃあない	ɕ a̠ː n a̠ i
しゃあなし	ɕ a̠ː n a̠ ɕ i
しゃあねえ	ɕ a̠ː n e̞ː
しゃがむ	ɕ a̠ ɡ a̠ m ɯ̟
しゃがれる	ɕ a̠ ɡ a̠ ɾ e̞ ɾ ɯ̟
しゃきっと	ɕ a̠ kʲ i t̚ t o̞
しゃくりあげ	ɕ a̠ k ɯ̟ ɾʲ i a̠ ɡ e̞
しゃくりあげる	ɕ a̠ k ɯ̟ ɾʲ i a̠ ɡ e̞ ɾ ɯ̟
しゃくる	ɕ a̠ k ɯ̟ ɾ ɯ̟
しゃくれる	ɕ a̠ k ɯ̟ ɾ e̞ ɾ ɯ̟
しゃしゃりでる	ɕ a̠ ɕ a̠ ɾʲ i d e̞ ɾ ɯ̟
しゃっこい	ɕ a̠ k̚ k o̞ i
しゃばい	ɕ a̠ b a̠ i
しゃぶ	ɕ a̠ b ɯ̟
しゃぶしゃぶ	ɕ a̠ b ɯ̟ ɕ a̠ b ɯ̟
しゃぶる	ɕ a̠ b ɯ̟ ɾ ɯ̟
しゃべくる	ɕ a̠ b e̞ k ɯ̟ ɾ ɯ̟
しゃべる	ɕ a̠ b e̞ ɾ ɯ̟
しゃらくさい	ɕ a̠ ɾ a̠ k ɯ̟ s a̠ i
しゅ	ɕ ɨ
しゅうしゅう	ɕ ɨː ɕ ɨː
しゅき	ɕ ɨ kʲ i
しゅく	ɕ ɨ k ɯ̟
しゅわしゅわ	ɕ ɨ β̞ a̠ ɕ ɨ β̞ a̠
しょ	ɕ o̞
しょうがつぶとり	ɕ o̞ː ɡ a̠ t͡s ɨ b ɯ̟ t o̞ ɾʲ i
しょうじょ	ɕ o̞ː ʑ o̞
しょくさがし	ɕ o̞ k ɯ̟ s a̠ ɡ a̠ ɕ i
しょくべに	ɕ o̞ k ɯ̟ b e̞ ɲ̟ i
しょっちゅう	ɕ o̞ t̚ t͡ɕ ɨː
しょっぱな	ɕ o̞ p̚ p a̠ n a̠
しょぼい	ɕ o̞ b o̞ i
しょぼくれる	ɕ o̞ b o̞ k ɯ̟ ɾ e̞ ɾ ɯ̟
しょぼしょぼ	ɕ o̞ b o̞ ɕ o̞ b o̞
しよう	ɕ i j o̞ː
しらかゆ	ɕ i ɾ a̠ k a̠ j ɯ̟
しらす	ɕ i ɾ a̠ s ɨ
しらばっくれる	ɕ i ɾ a̠ b a̠ k̚ k ɯ̟ ɾ e̞ ɾ ɯ̟
しらべ	ɕ i ɾ a̠ b e̞
しらべもの	ɕ i ɾ a̠ b e̞ m o̞ n o̞
しらんかお	ɕ i ɾ ã̠ ŋ k a̠ o̞
しりもち	ɕ i ɾʲ i m o̞ t͡ɕ i
しる	ɕ i ɾ ɯ̟
しるし	ɕ i ɾ ɯ̟ ɕ i
しるべ	ɕ i ɾ ɯ̟ b e̞
しれっと	ɕ i ɾ e̞ t̚ t o̞
しれわたる	ɕ i ɾ e̞ β̞ a̠ t a̠ ɾ ɯ̟
しろ	ɕ i ɾ o̞
しろこうじ	ɕ i ɾ o̞ k o̞ː ʑ i
しろとび	ɕ i ɾ o̞ t o̞ bʲ i
しろめ	ɕ i ɾ o̞ m e̞
しわがれる	ɕ i β̞ a̠ ɡ a̠ ɾ e̞ ɾ ɯ̟
しわしわ	ɕ i β̞ a̠ ɕ i β̞ a̠
しんうち	ɕ ĩ ɰ̃ ɯ̟ t͡ɕ i
しんと	ɕ ĩ n t o̞
しんど	ɕ ĩ n d o̞
しんどい	ɕ ĩ n d o̞ i
しんみり	ɕ ĩ mʲː i ɾʲ i
しーっ	ɕ iː ʔ
じ	d͡ʑ i
じ	ʑ i
じぇ	d͡ʑ e̞
じきばき	d͡ʑ i kʲ i b a̠ kʲ i
じげ	d͡ʑ i ɡ e̞
じじい	d͡ʑ i ʑ iː
じた	d͡ʑ i t a̠
じっくり	d͡ʑ i k̚ k ɯ̟ ɾʲ i
じっそう	d͡ʑ i sː o̞ː
じっと	d͡ʑ i t̚ t o̞
じべた	d͡ʑ i b e̞ t a̠
じまつげ	d͡ʑ i m a̠ t͡s ɨ ɡ e̞
じめじめ	d͡ʑ i m e̞ ʑ i m e̞
じゃ	d͡ʑ a̠
じゃい	d͡ʑ a̠ i
じゃかじゃか	d͡ʑ a̠ k a̠ ʑ a̠ k a̠
じゃかましい	d͡ʑ a̠ k a̠ m a̠ ɕ iː
じゃじゃーん	d͡ʑ a̠ ʑ ã̠ː ɴ
じゃらす	d͡ʑ a̠ ɾ a̠ s ɨ
じゃんけんぽい	d͡ʑ ã̠ ŋ k ẽ̞ m p o̞ i
じゃんけんぽん	d͡ʑ ã̠ ŋ k ẽ̞ m p õ̞ ɴ
じゃんまけ	d͡ʑ ã̠ mː a̠ k e̞
じゅ	d͡ʑ ɨ
じゅうえん	d͡ʑ ɨː ẽ̞ ɴ
じゅうじゅう	d͡ʑ ɨː ʑ ɨː
じゅぽじゅぽ	d͡ʑ ɨ p o̞ ʑ ɨ p o̞
じょ	d͡ʑ o̞
じょうしょ	d͡ʑ o̞ː ɕ o̞
じょうたいおこし	d͡ʑ o̞ː t a̠ i o̞ k o̞ ɕ i
じょうろ	d͡ʑ o̞ː ɾ o̞
じょぼじょぼ	d͡ʑ o̞ b o̞ ʑ o̞ b o̞
じょろ	d͡ʑ o̞ ɾ o̞
じょんから	d͡ʑ õ̞ ŋ k a̠ ɾ a̠
じょんがら	d͡ʑ õ̞ ŋ ɡ a̠ ɾ a̠
じりじり	d͡ʑ i ɾʲ i ʑ i ɾʲ i
じろじろ	d͡ʑ i ɾ o̞ ʑ i ɾ o̞
じわじわ	d͡ʑ i β̞ a̠ ʑ i β̞ a̠
じわり	d͡ʑ i β̞ a̠ ɾʲ i
じんじん	d͡ʑ ĩ ɲ̟ d͡ʑ ĩ ɴ
じんましん	d͡ʑ ĩ mː a̠ ɕ ĩ ɴ
じんわり	d͡ʑ ĩ ɰ̃ β̞ a̠ ɾʲ i
じー	d͡ʑ iː
す	s ɨ
すぃ	sʲ i
すいすい	s ɨ i s ɨ i
すいた	s ɨ i t a̠
すうすう	s ɨː s ɨː
すえぜん	s ɨ e̞ z ẽ̞ ɴ
すえながく	s ɨ e̞ n a̠ ɡ a̠ k ɯ̟
すか	s ɨ̥ k a̠
すかし	s ɨ k a̠ ɕ i
すかす	s ɨ̥ k a̠ s ɨ
すががき	s ɨ ɡ a̠ ɡ a̠ kʲ i
すがたかたち	s ɨ ɡ a̠ t a̠ k a̠ t a̠ t͡ɕ i
すがめ	s ɨ ɡ a̠ m e̞
すきさけ	s ɨ kʲ i s a̠ k e̞
すきざけ	s ɨ kʲ i z a̠ k e̞
すきっぱ	s ɨ kʲ i p̚ p a̠
すきばさみ	s ɨ kʲ i b a̠ s a̠ mʲ i
すきびき	s ɨ kʲ i bʲ i kʲ i
すきよけ	s ɨ kʲ i j o̞ k e̞
すぎさる	s ɨ ɡʲ i s a̠ ɾ ɯ̟
すくすく	s ɨ k ɯ̟ s ɨ k ɯ̟
すくむ	s ɨ̥ k ɯ̟ m ɯ̟
すくめる	s ɨ k ɯ̟ m e̞ ɾ ɯ̟
すぐ	s ɨ ɡ ɯ̟
すぐる	s ɨ ɡ ɯ̟ ɾ ɯ̟
すけ	s ɨ k e̞
すけこまし	s ɨ k e̞ k o̞ m a̠ ɕ i
すけっと	s ɨ̥ k e̞ t̚ t o̞
すけばん	s ɨ k e̞ b ã̠ ɴ
すげえ	s ɨ ɡ e̞ː
すこしく	s ɨ k o̞ ɕ i k ɯ̟
すこる	s ɨ k o̞ ɾ ɯ̟
すごい	s ɨ ɡ o̞ i
すごうで	s ɨ ɡ o̞ ɯ̟ d e̞
すごすご	s ɨ ɡ o̞ s ɨ ɡ o̞
すさ	s ɨ s a̠
すさぶ	s ɨ s a̠ b ɯ̟
すしめし	s ɨ ɕ i m e̞ ɕ i
すじょう	s ɨ ʑ o̞ː
すじりもじり	s ɨ ʑ i ɾʲ i m o̞ ʑ i ɾʲ i
すすき	s ɨ s ɨ̥ kʲ i
すずなり	s ɨ z ɨ n a̠ ɾʲ i
すずり	s ɨ z ɨ ɾʲ i
すずりばこ	s ɨ z ɨ ɾʲ i b a̠ k o̞
すそ	s ɨ s o̞
すた	s ɨ t a̠
すたすた	s ɨ t a̠ s ɨ t a̠
すだれ	s ɨ d a̠ ɾ e̞
すっか	s ɨ k̚ k a̠
すっからかん	s ɨ k̚ k a̠ ɾ a̠ k ã̠ ɴ
すっかり	s ɨ̥ k̚ k a̠ ɾʲ i
すっきり	s ɨ̥ k̚ʲ kʲ i ɾʲ i
すったもんだ	s ɨ t̚ t a̠ m õ̞ n d a̠
すっと	s ɨ t̚ t o̞
すっとばす	s ɨ t̚ t o̞ b a̠ s ɨ
すっぽかす	s ɨ̥ p̚ p o̞ k a̠ s ɨ
すっぽり	s ɨ̥ p̚ p o̞ ɾʲ i
すっぽんぽん	s ɨ p̚ p õ̞ m p õ̞ ɴ
すてふだ	s ɨ t e̞ ɸ ɯ̟ d a̠
すなけし	s ɨ n a̠ k e̞ ɕ i
すなどり	s ɨ n a̠ d o̞ ɾʲ i
すなどる	s ɨ n a̠ d o̞ ɾ ɯ̟
すなわち	s ɨ n a̠ β̞ a̠ t͡ɕ i
すねげ	s ɨ n e̞ ɡ e̞
すのこ	s ɨ n o̞ k o̞
すばしこい	s ɨ b a̠ ɕ i̥ k o̞ i
すべからく	s ɨ b e̞ k a̠ ɾ a̠ k ɯ̟
すべすべ	s ɨ b e̞ s ɨ b e̞
すべて	s ɨ b e̞ t e̞
すべり	s ɨ b e̞ ɾʲ i
すべりだし	s ɨ b e̞ ɾʲ i d a̠ ɕ i
すぽっと	s ɨ p o̞ t̚ t o̞
すぽん	s ɨ p õ̞ ɴ
すまう	s ɨ m a̠ ɯ̟
すましがお	s ɨ m a̠ ɕ i ɡ a̠ o̞
すます	s ɨ m a̠ s ɨ
すまん	s ɨ m ã̠ ɴ
すみ	s ɨ mʲ i
すみか	s ɨ mʲ i k a̠
すみきる	s ɨ mʲ i kʲ i ɾ ɯ̟
すみずみ	s ɨ mʲ i z ɨ mʲ i
すみつき	s ɨ mʲ i t͡s ɨ kʲ i
すみません	s ɨ mʲ i m a̠ s ẽ̞ ɴ
すやすや	s ɨ j a̠ s ɨ j a̠
すゆい	s ɨ j ɯ̟ i
すら	s ɨ ɾ a̠
すらすら	s ɨ ɾ a̠ s ɨ ɾ a̠
すりかえる	s ɨ ɾʲ i k a̠ e̞ ɾ ɯ̟
すりきれる	s ɨ ɾʲ i kʲ i ɾ e̞ ɾ ɯ̟
すりぬける	s ɨ ɾʲ i n ɯ̟ k e̞ ɾ ɯ̟
する	s ɨ ɾ ɯ̟
するする	s ɨ ɾ ɯ̟ s ɨ ɾ ɯ̟
するり	s ɨ ɾ ɯ̟ ɾʲ i
すれ	s ɨ ɾ e̞
すれすれ	s ɨ ɾ e̞ s ɨ ɾ e̞
すれる	s ɨ ɾ e̞ ɾ ɯ̟
すわ	s ɨ β̞ a̠
すんっ	s ɨ̃ ɰ̃
すんなり	s ɨ̃ nː a̠ ɾʲ i
すんません	s ɨ̃ mː a̠ s ẽ̞ ɴ
ず	d͡z ɨᵝ
ず	z ɨᵝ
ずぃ	d͡zʲ i
ずぃ	zʲ i
ずい	d͡z ɨ i
ずいき	d͡z ɨ i kʲ i
ずきずき	d͡z ɨ kʲ i z ɨ kʲ i
ずきん	d͡z ɨ kʲ ĩ ɴ
ずたずた	d͡z ɨ t a̠ z ɨ t a̠
