あ	a̠
やきゅう	j a̠ kʲ ɨᵝː
やきゅうけん	j a̠ kʲ ɨᵝː k ẽ̞ ɴ
やきょく	j a̠ kʲ o̞ k ɯ̟ᵝ
やきん	j a̠ kʲ ĩ ɴ
やく	j a̠ k ɯ̟ᵝ
やくいん	j a̠ k ɯ̟ᵝ ĩ ɴ
やくおん	j a̠ k ɯ̟ᵝ õ̞ ɴ
やくさじ	j a̠ k ɯ̟ᵝ s a̠ ʑ i
やくしゃ	j a̠ k ɯ̟̊ᵝ ɕ a̠
やくしょ	j a̠ k ɯ̟ᵝ ɕ o̞
やくしん	j a̠ k ɯ̟ᵝ ɕ ĩ ɴ
やくす	j a̠ k ɯ̟ᵝ s ɨᵝ
やくすう	j a̠ k ɯ̟̊ᵝ s ɨᵝː
やくする	j a̠ k ɯ̟ᵝ s ɨᵝ ɾ ɯ̟ᵝ
やくそく	j a̠ k ɯ̟̊ᵝ s o̞ k ɯ̟ᵝ
やくちゅう	j a̠ k ɯ̟ᵝ t͡ɕ ɨᵝː
やくにたつ	j a̠ k ɯ̟ᵝ ɲ̟ i t a̠ t͡s ɨᵝ
やくにん	j a̠ k ɯ̟ᵝ ɲ̟ ĩ ɴ
やくほう	j a̠ k ɯ̟ᵝ h o̞ː
やくめ	j a̠ k ɯ̟ᵝ m e̞
やくも	j a̠ k ɯ̟ᵝ m o̞
やくもの	j a̠ k ɯ̟ᵝ m o̞ n o̞
やくわり	j a̠ k ɯ̟ᵝ ɰᵝ a̠ ɾʲ i
やけ	j a̠ k e̞
やけあと	j a̠ k e̞ a̠ t o̞
やけい	j a̠ k e̞ː
やけくそ	j a̠ k e̞ k ɯ̟ᵝ s o̞
やけつく	j a̠ k e̞ t͡s ɨᵝ k ɯ̟ᵝ
やけど	j a̠ k e̞ d o̞
やけに	j a̠ k e̞ ɲ̟ i
やける	j a̠ k e̞ ɾ ɯ̟ᵝ
やけん	j a̠ k ẽ̞ ɴ
やこう	j a̠ k o̞ː
やこううん	j a̠ k o̞ː ɯ̟̃ᵝ ɴ
やこうせい	j a̠ k o̞ː s e̞ː
やこうれっしゃ	j a̠ k o̞ː ɾ e̞ ɕː a̠
やさい	j a̠ s a̠ i
やさき	j a̠ s a̠ kʲ i
やさしい	j a̠ s a̠ ɕ i i
やし	j a̠ ɕ i
やしか	j a̠ ɕ i k a̠
やしき	j a̠ ɕ i̥ kʲ i
やしとう	j a̠ ɕ i t o̞ː
やしなう	j a̠ ɕ i n a̠ ɯ̟ᵝ
やしゃ	j a̠ ɕ a̠
やしゃご	j a̠ ɕ a̠ ɡ o̞
やしゅう	j a̠ ɕ ɨᵝː
やしゆ	j a̠ ɕ i j ɯ̟ᵝ
やしょう	j a̠ ɕ o̞ː
やしょく	j a̠ ɕ o̞ k ɯ̟ᵝ
やしろ	j a̠ ɕ i ɾ o̞
やすい	j a̠ s ɨᵝ i
やすうり	j a̠ s ɨᵝ ɯ̟ᵝ ɾʲ i
やすたか	j a̠ s ɨᵝ t a̠ k a̠
やすと	j a̠ s ɨᵝ t o̞
やすひこ	j a̠ s ɨᵝ ç i k o̞
やすひろ	j a̠ s ɨᵝ ç i ɾ o̞
やすみ	j a̠ s ɨᵝ mʲ i
やすみやすみ	j a̠ s ɨᵝ mʲ i j a̠ s ɨᵝ mʲ i
やすむ	j a̠ s ɨᵝ m ɯ̟ᵝ
やすめる	j a̠ s ɨᵝ m e̞ ɾ ɯ̟ᵝ
やすもの	j a̠ s ɨᵝ m o̞ n o̞
やすゆき	j a̠ s ɨᵝ j ɯ̟ᵝ kʲ i
やすり	j a̠ s ɨᵝ ɾʲ i
やせい	j a̠ s e̞ː
やせおとこ	j a̠ s e̞ o̞ t o̞ k o̞
やせこける	j a̠ s e̞ k o̞ k e̞ ɾ ɯ̟ᵝ
やせみえ	j a̠ s e̞ mʲ i e̞
やせん	j a̠ s ẽ̞ ɴ
やせんとっか	j a̠ s ẽ̞ n t o̞ k̚ k a̠
やそう	j a̠ s o̞ː
やそうきょく	j a̠ s o̞ː kʲ o̞ k ɯ̟ᵝ
やそきょう	j a̠ s o̞ kʲ o̞ː
やたら	j a̠ t a̠ ɾ a̠
やちん	j a̠ t͡ɕ ĩ ɴ
やっか	j a̠ k̚ k a̠
やっかい	j a̠ k̚ k a̠ i
やっかいもの	j a̠ k̚ k a̠ i m o̞ n o̞
やっき	j a̠ k̚ʲ kʲ i
やっきょう	j a̠ k̚ʲ kʲ o̞ː
やっきょく	j a̠ k̚ʲ kʲ o̞ k ɯ̟ᵝ
やっこ	j a̠ k̚ k o̞
やった	j a̠ t̚ t a̠
やっつける	j a̠ t̚ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
やってくる	j a̠ t̚ t e̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ
やっとこ	j a̠ t̚ t o̞ k o̞
やつ	j a̠ t̚ t͡s ɨᵝ
やつ	j a̠ t͡s ɨᵝ
やつあたり	j a̠ t͡s ɨᵝ a̠ t a̠ ɾʲ i
やつす	j a̠ t͡s ɨᵝ s ɨᵝ
やつめ	j a̠ t͡s ɨᵝ m e̞
やつら	j a̠ t͡s ɨᵝ ɾ a̠
やつれる	j a̠ t͡s ɨᵝ ɾ e̞ ɾ ɯ̟ᵝ
やといぬし	j a̠ t o̞ i n ɯ̟ᵝ ɕ i
やとう	j a̠ t o̞ ɯ̟ᵝ
やとう	j a̠ t o̞ː
やとわれ	j a̠ t o̞ ɰᵝ a̠ ɾ e̞
やどや	j a̠ d o̞ j a̠
やに	j a̠ ɲ̟ i
やぬし	j a̠ n ɯ̟ᵝ ɕ i
やねうら	j a̠ n e̞ ɯ̟ᵝ ɾ a̠
やの	j a̠ n o̞
やのあさって	j a̠ n o̞ a̠ s a̠ t̚ t e̞
やのうて	j a̠ n o̞ː t e̞
やはり	j a̠ h a̠ ɾʲ i
やま	j a̠ m a̠
やまあらし	j a̠ m a̠ a̠ ɾ a̠ ɕ i
やまあるき	j a̠ m a̠ a̠ ɾ ɯ̟ᵝ kʲ i
やまい	j a̠ m a̠ i
やまいぬ	j a̠ m a̠ i n ɯ̟ᵝ
やまいも	j a̠ m a̠ i m o̞
やまおく	j a̠ m a̠ o̞ k ɯ̟ᵝ
やまおとこ	j a̠ m a̠ o̞ t o̞ k o̞
やましろ	j a̠ m a̠ ɕ i ɾ o̞
やまたのおろち	j a̠ m a̠ t a̠ n o̞ o̞ ɾ o̞ t͡ɕ i
やまつなみ	j a̠ m a̠ t͡s ɨᵝ n a̠ mʲ i
やまと	j a̠ m a̠ t o̞
やまとうた	j a̠ m a̠ t o̞ ɯ̟ᵝ t a̠
やまなし	j a̠ m a̠ n a̠ ɕ i
やまなしけん	j a̠ m a̠ n a̠ ɕ i k ẽ̞ ɴ
やまなり	j a̠ m a̠ n a̠ ɾʲ i
やまね	j a̠ m a̠ n e̞
やまねこ	j a̠ m a̠ n e̞ k o̞
やままゆいと	j a̠ m a̠ m a̠ j ɯ̟ᵝ i t o̞
やまもも	j a̠ m a̠ m o̞ m o̞
やまもり	j a̠ m a̠ m o̞ ɾʲ i
やまやま	j a̠ m a̠ j a̠ m a̠
やみ	j a̠ mʲ i
やみいち	j a̠ mʲ i i t͡ɕ i
やみおち	j a̠ mʲ i o̞ t͡ɕ i
やみくも	j a̠ mʲ i k ɯ̟ᵝ m o̞
やみや	j a̠ mʲ i j a̠
やみよ	j a̠ mʲ i j o̞
やむ	j a̠ m ɯ̟ᵝ
やむおえない	j a̠ m ɯ̟ᵝ o̞ e̞ n a̠ i
やむちゃ	j a̠ m ɯ̟ᵝ t͡ɕ a̠
やむをえない	j a̠ m ɯ̟ᵝ o̞ e̞ n a̠ i
やめる	j a̠ m e̞ ɾ ɯ̟ᵝ
やめれ	j a̠ m e̞ ɾ e̞
やもり	j a̠ m o̞ ɾʲ i
やや	j a̠ j a̠
ややこしい	j a̠ j a̠ k o̞ ɕ iː
やよい	j a̠ j o̞ i
やよう	j a̠ j o̞ː
やらい	j a̠ ɾ a̠ i
やらせ	j a̠ ɾ a̠ s e̞
やらみそ	j a̠ ɾ a̠ mʲ i s o̞
やられる	j a̠ ɾ a̠ ɾ e̞ ɾ ɯ̟ᵝ
やらん	j a̠ ɾ ã̠ ɴ
やり	j a̠ ɾʲ i
やりかえす	j a̠ ɾʲ i k a̠ e̞ s ɨᵝ
やりかた	j a̠ ɾʲ i k a̠ t a̠
やりきる	j a̠ ɾʲ i kʲ i ɾ ɯ̟ᵝ
やりくり	j a̠ ɾʲ i k ɯ̟ᵝ ɾʲ i
やりこなす	j a̠ ɾʲ i k o̞ n a̠ s ɨᵝ
やりこむ	j a̠ ɾʲ i k o̞ m ɯ̟ᵝ
やりこめる	j a̠ ɾʲ i k o̞ m e̞ ɾ ɯ̟ᵝ
やりとおす	j a̠ ɾʲ i t o̞ː s ɨᵝ
やりとり	j a̠ ɾʲ i t o̞ ɾʲ i
やりなおす	j a̠ ɾʲ i n a̠ o̞ s ɨᵝ
やりのこす	j a̠ ɾʲ i n o̞ k o̞ s ɨᵝ
やりもく	j a̠ ɾʲ i m o̞ k ɯ̟ᵝ
やる	j a̠ ɾ ɯ̟ᵝ
やるき	j a̠ ɾ ɯ̟ᵝ kʲ i
やるせない	j a̠ ɾ ɯ̟ᵝ s e̞ n a̠ i
やれ	j a̠ ɾ e̞
やれやれ	j a̠ ɾ e̞ j a̠ ɾ e̞
やろう	j a̠ ɾ o̞ː
やわい	j a̠ ɰᵝ a̠ i
やわら	j a̠ ɰᵝ a̠ ɾ a̠
やわらか	j a̠ ɰᵝ a̠ ɾ a̠ k a̠
やわらかい	j a̠ ɰᵝ a̠ ɾ a̠ k a̠ i
やんちゃ	j ã̠ ɲ̟ t͡ɕ a̠
やんなる	j ã̠ nː a̠ ɾ ɯ̟ᵝ
やんま	j ã̠ mː a̠
やんや	j ã̠ ɰ̃ j a̠
やんややんや	j ã̠ ɰ̃ j a̠ j ã̠ ɰ̃ j a̠
やんわり	j ã̠ ɰ̃ ɰᵝ a̠ ɾʲ i
やー	j a̠ː
ゆ	j ɯ̟ᵝ
ゆあつ	j ɯ̟ᵝ a̠ t͡s ɨᵝ
ゆあみ	j ɯ̟ᵝ a̠ mʲ i
ゆいいつ	j ɯ̟ᵝ iː t͡s ɨᵝ
ゆいいつむに	j ɯ̟ᵝ iː t͡s ɨᵝ m ɯ̟ᵝ ɲ̟ i
ゆいしょ	j ɯ̟ᵝ i ɕ o̞
ゆいしん	j ɯ̟ᵝ i ɕ ĩ ɴ
ゆいのう	j ɯ̟ᵝ i n o̞ː
ゆう	j ɯ̟ᵝː
ゆうあい	j ɯ̟ᵝː a̠ i
ゆうい	j ɯ̟ᵝː i
ゆううつ	j ɯ̟ᵝː ɯ̟ᵝ t͡s ɨᵝ
ゆうえつかん	j ɯ̟ᵝː e̞ t͡s ɨ̥ᵝ k ã̠ ɴ
ゆうえん	j ɯ̟ᵝː ẽ̞ ɴ
ゆうえんち	j ɯ̟ᵝː ẽ̞ ɲ̟ t͡ɕ i
ゆうおう	j ɯ̟ᵝː o̞ː
ゆうかい	j ɯ̟ᵝː k a̠ i
ゆうかいはん	j ɯ̟ᵝː k a̠ i h ã̠ ɴ
ゆうかく	j ɯ̟ᵝː k a̠ k ɯ̟ᵝ
ゆうかしょうけん	j ɯ̟ᵝː k a̠ ɕ o̞ː k ẽ̞ ɴ
ゆうかん	j ɯ̟ᵝː k ã̠ ɴ
ゆうき	j ɯ̟ᵝː kʲ i
ゆうきおん	j ɯ̟ᵝː kʲ i õ̞ ɴ
ゆうきたい	j ɯ̟ᵝː kʲ i t a̠ i
ゆうきゅう	j ɯ̟ᵝː kʲ ɨᵝː
ゆうきゅうきゅうか	j ɯ̟ᵝː kʲ ɨᵝː kʲ ɨᵝː k a̠
ゆうけい	j ɯ̟ᵝː k e̞ː
ゆうけん	j ɯ̟ᵝː k ẽ̞ ɴ
ゆうけんしゃ	j ɯ̟ᵝː k ẽ̞ ɰ̃ ɕ a̠
ゆうこう	j ɯ̟ᵝː k o̞ː
ゆうこうてき	j ɯ̟ᵝː k o̞ː t e̞ kʲ i
ゆうさいしょく	j ɯ̟ᵝː s a̠ i ɕ o̞ k ɯ̟ᵝ
ゆうし	j ɯ̟ᵝː ɕ i
ゆうしゃ	j ɯ̟ᵝː ɕ a̠
ゆうしゅう	j ɯ̟ᵝː ɕ ɨᵝː
ゆうしゅつ	j ɯ̟ᵝː ɕ ɨᵝ t͡s ɨᵝ
ゆうしょう	j ɯ̟ᵝː ɕ o̞ː
ゆうしょく	j ɯ̟ᵝː ɕ o̞ k ɯ̟ᵝ
ゆうしょくしゃ	j ɯ̟ᵝː ɕ o̞ k ɯ̟ᵝ ɕ a̠
ゆうしんろん	j ɯ̟ᵝː ɕ ĩ n ɾ õ̞ ɴ
ゆうじ	j ɯ̟ᵝː ʑ i
ゆうすう	j ɯ̟ᵝː s ɨᵝː
ゆうすけ	j ɯ̟ᵝː s ɨᵝ k e̞
ゆうする	j ɯ̟ᵝː s ɨᵝ ɾ ɯ̟ᵝ
ゆうせい	j ɯ̟ᵝː s e̞ː
ゆうせいせいしょく	j ɯ̟ᵝː s e̞ː s e̞ː ɕ o̞ k ɯ̟ᵝ
ゆうせつ	j ɯ̟ᵝː s e̞ t͡s ɨᵝ
ゆうせん	j ɯ̟ᵝː s ẽ̞ ɴ
ゆうせんけん	j ɯ̟ᵝː s ẽ̞ ŋ k ẽ̞ ɴ
ゆうせんせき	j ɯ̟ᵝː s ẽ̞ ɰ̃ s e̞ kʲ i
ゆうそう	j ɯ̟ᵝː s o̞ː
ゆうそくよみ	j ɯ̟ᵝː s o̞ k ɯ̟ᵝ j o̞ mʲ i
ゆうたい	j ɯ̟ᵝː t a̠ i
ゆうち	j ɯ̟ᵝː t͡ɕ i
ゆうと	j ɯ̟ᵝː t o̞
ゆうとう	j ɯ̟ᵝː t o̞ː
ゆうのう	j ɯ̟ᵝː n o̞ː
ゆうはん	j ɯ̟ᵝː h ã̠ ɴ
ゆうふく	j ɯ̟ᵝː ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
ゆうへい	j ɯ̟ᵝː h e̞ː
ゆうめい	j ɯ̟ᵝː m e̞ː
ゆうもう	j ɯ̟ᵝː m o̞ː
ゆうや	j ɯ̟ᵝː j a̠
ゆうやけ	j ɯ̟ᵝː j a̠ k e̞
ゆうやけこやけ	j ɯ̟ᵝː j a̠ k e̞ k o̞ j a̠ k e̞
ゆうやみ	j ɯ̟ᵝː j a̠ mʲ i
ゆうゆう	j ɯ̟ᵝː j ɯ̟ᵝː
ゆうゆうじてき	j ɯ̟ᵝː j ɯ̟ᵝː d͡ʑ i t e̞ kʲ i
ゆうよ	j ɯ̟ᵝː j o̞
ゆうよく	j ɯ̟ᵝː j o̞ k ɯ̟ᵝ
ゆうらん	j ɯ̟ᵝː ɾ ã̠ ɴ
ゆうり	j ɯ̟ᵝː ɾʲ i
ゆうりき	j ɯ̟ᵝː ɾʲ i kʲ i
ゆうりすう	j ɯ̟ᵝː ɾʲ i s ɨᵝː
ゆうりょう	j ɯ̟ᵝː ɾʲ o̞ː
ゆうりょく	j ɯ̟ᵝː ɾʲ o̞ k ɯ̟ᵝ
ゆうれい	j ɯ̟ᵝː ɾ e̞ː
ゆうれいやしき	j ɯ̟ᵝː ɾ e̞ː j a̠ ɕ i̥ kʲ i
ゆうれつ	j ɯ̟ᵝː ɾ e̞ t͡s ɨᵝ
ゆうれんせき	j ɯ̟ᵝː ɾ ẽ̞ ɰ̃ s e̞ kʲ i
ゆうわ	j ɯ̟ᵝː ɰᵝ a̠
ゆうわく	j ɯ̟ᵝː ɰᵝ a̠ k ɯ̟ᵝ
ゆうわせいさく	j ɯ̟ᵝː ɰᵝ a̠ s e̞ː s a̠ k ɯ̟ᵝ
ゆえに	j ɯ̟ᵝ e̞ ɲ̟ i
ゆえん	j ɯ̟ᵝ ẽ̞ ɴ
ゆおけ	j ɯ̟ᵝ o̞ k e̞
ゆか	j ɯ̟ᵝ k a̠
ゆかい	j ɯ̟ᵝ k a̠ i
ゆかいはん	j ɯ̟ᵝ k a̠ i h ã̠ ɴ
ゆかしい	j ɯ̟ᵝ k a̠ ɕ i i
ゆかした	j ɯ̟ᵝ k a̠ ɕ i t a̠
ゆかた	j ɯ̟ᵝ k a̠ t a̠
ゆかり	j ɯ̟ᵝ k a̠ ɾʲ i
ゆき	j ɯ̟ᵝ kʲ i
ゆきおとこ	j ɯ̟ᵝ kʲ i o̞ t o̞ k o̞
ゆきおんな	j ɯ̟ᵝ kʲ i õ̞ nː a̠
ゆきこ	j ɯ̟ᵝ kʲ i k o̞
ゆきさき	j ɯ̟ᵝ kʲ i̥ s a̠ kʲ i
ゆきち	j ɯ̟ᵝ kʲ i t͡ɕ i
ゆきつく	j ɯ̟ᵝ kʲ i t͡s ɨᵝ k ɯ̟ᵝ
ゆきづり	j ɯ̟ᵝ kʲ i z ɨᵝ ɾʲ i
ゆきとし	j ɯ̟ᵝ kʲ i t o̞ ɕ i
ゆきひも	j ɯ̟ᵝ kʲ i ç i m o̞
ゆきひょう	j ɯ̟ᵝ kʲ i̥ ç o̞ː
ゆきひろ	j ɯ̟ᵝ kʲ i ç i ɾ o̞
ゆきやま	j ɯ̟ᵝ kʲ i j a̠ m a̠
ゆきわたる	j ɯ̟ᵝ kʲ i ɰᵝ a̠ t a̠ ɾ ɯ̟ᵝ
ゆくえ	j ɯ̟ᵝ k ɯ̟ᵝ e̞
ゆくえふめい	j ɯ̟ᵝ k ɯ̟ᵝ e̞ ɸ ɯ̟ᵝ m e̞ː
ゆくさ	j ɯ̟ᵝ k ɯ̟ᵝ s a̠
ゆさん	j ɯ̟ᵝ s ã̠ ɴ
ゆしゅつ	j ɯ̟ᵝ ɕ ɨᵝ t͡s ɨᵝ
ゆしゅつひん	j ɯ̟ᵝ ɕ ɨᵝ t͡s ɨᵝ ç ĩ ɴ
ゆすりか	j ɯ̟ᵝ s ɨᵝ ɾʲ i k a̠
ゆする	j ɯ̟ᵝ s ɨᵝ ɾ ɯ̟ᵝ
ゆせい	j ɯ̟ᵝ s e̞ː
ゆせいかん	j ɯ̟ᵝ s e̞ː k ã̠ ɴ
ゆたか	j ɯ̟ᵝ t a̠ k a̠
ゆちゃく	j ɯ̟ᵝ t͡ɕ a̠ k ɯ̟ᵝ
ゆっくり	j ɯ̟ᵝ k̚ k ɯ̟ᵝ ɾʲ i
ゆったり	j ɯ̟ᵝ t̚ t a̠ ɾʲ i
ゆとう	j ɯ̟ᵝ t o̞ː
ゆとうよみ	j ɯ̟ᵝ t o̞ː j o̞ mʲ i
ゆとり	j ɯ̟ᵝ t o̞ ɾʲ i
ゆにゅう	j ɯ̟ᵝ ɲ̟ ɯ̟ᵝː
ゆのみ	j ɯ̟ᵝ n o̞ mʲ i
ゆはり	j ɯ̟ᵝ h a̠ ɾʲ i
ゆびぬき	j ɯ̟ᵝ bʲ i n ɯ̟ᵝ kʲ i
ゆまり	j ɯ̟ᵝ m a̠ ɾʲ i
ゆみはふくろにたちはさや	j ɯ̟ᵝ mʲ i ɰᵝ a̠ ɸ ɯ̟ᵝ k ɯ̟ᵝ ɾ o̞ ɲ̟ i t a̠ t͡ɕ i ɰᵝ a̠ s a̠ j a̠
ゆみや	j ɯ̟ᵝ mʲ i j a̠
ゆめ	j ɯ̟ᵝ m e̞
ゆめうつつ	j ɯ̟ᵝ m e̞ ɯ̟ᵝ t͡s ɨᵝ t͡s ɨᵝ
ゆめうらない	j ɯ̟ᵝ m e̞ ɯ̟ᵝ ɾ a̠ n a̠ i
ゆめみ	j ɯ̟ᵝ m e̞ mʲ i
ゆめみる	j ɯ̟ᵝ m e̞ mʲ i ɾ ɯ̟ᵝ
ゆめゆめ	j ɯ̟ᵝ m e̞ j ɯ̟ᵝ m e̞
ゆめをみる	j ɯ̟ᵝ m e̞ o̞ mʲ i ɾ ɯ̟ᵝ
ゆや	j ɯ̟ᵝ j a̠
ゆやま	j ɯ̟ᵝ j a̠ m a̠
ゆゆしい	j ɯ̟ᵝ j ɯ̟ᵝ ɕ iː
ゆらい	j ɯ̟ᵝ ɾ a̠ i
ゆらす	j ɯ̟ᵝ ɾ a̠ s ɨᵝ
ゆらめく	j ɯ̟ᵝ ɾ a̠ m e̞ k ɯ̟ᵝ
ゆらゆら	j ɯ̟ᵝ ɾ a̠ j ɯ̟ᵝ ɾ a̠
ゆらり	j ɯ̟ᵝ ɾ a̠ ɾʲ i
ゆらんかん	j ɯ̟ᵝ ɾ ã̠ ŋ k ã̠ ɴ
ゆり	j ɯ̟ᵝ ɾʲ i
ゆりいす	j ɯ̟ᵝ ɾʲ i i s ɨᵝ
ゆりこ	j ɯ̟ᵝ ɾʲ i k o̞
ゆる	j ɯ̟ᵝ ɾ ɯ̟ᵝ
ゆるい	j ɯ̟ᵝ ɾ ɯ̟ᵝ i
ゆるす	j ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨᵝ
ゆるふわ	j ɯ̟ᵝ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ ɰᵝ a̠
ゆるむ	j ɯ̟ᵝ ɾ ɯ̟ᵝ m ɯ̟ᵝ
ゆるめる	j ɯ̟ᵝ ɾ ɯ̟ᵝ m e̞ ɾ ɯ̟ᵝ
ゆるやか	j ɯ̟ᵝ ɾ ɯ̟ᵝ j a̠ k a̠
ゆるゆる	j ɯ̟ᵝ ɾ ɯ̟ᵝ j ɯ̟ᵝ ɾ ɯ̟ᵝ
ゆるり	j ɯ̟ᵝ ɾ ɯ̟ᵝ ɾʲ i
ゆれる	j ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
ゆわえつける	j ɯ̟ᵝ ɰᵝ a̠ e̞ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
ゆわえる	j ɯ̟ᵝ ɰᵝ a̠ e̞ ɾ ɯ̟ᵝ
よ	j o̞
よあかし	j o̞ a̠ k a̠ ɕ i
よあけ	j o̞ a̠ k e̞
よあつ	j o̞ a̠ t͡s ɨᵝ
よい	j o̞ i
よいしょ	j o̞ i ɕ o̞
よいしれる	j o̞ i ɕ i ɾ e̞ ɾ ɯ̟ᵝ
よいやみ	j o̞ i j a̠ mʲ i
よいゆめを	j o̞ i j ɯ̟ᵝ m e̞ o̞
よう	j o̞ ɯ̟ᵝ
よう	j o̞ː
ようい	j o̞ː i
よういん	j o̞ː ĩ ɴ
ようえき	j o̞ː e̞ kʲ i
ようえん	j o̞ː ẽ̞ ɴ
ようおん	j o̞ː õ̞ ɴ
ようか	j o̞ː k a̠
ようかい	j o̞ː k a̠ i
ようかん	j o̞ː k ã̠ ɴ
ようき	j o̞ː kʲ i
ようきし	j o̞ː kʲ i ɕ i
ようきゅう	j o̞ː kʲ ɨᵝː
ようきょく	j o̞ː kʲ o̞ k ɯ̟ᵝ
ようきん	j o̞ː kʲ ĩ ɴ
ようけい	j o̞ː k e̞ː
ようけつ	j o̞ː k e̞ t͡s ɨᵝ
ようけん	j o̞ː k ẽ̞ ɴ
ようこ	j o̞ː k o̞
ようこうろ	j o̞ː k o̞ː ɾ o̞
ようこそ	j o̞ː k o̞ s o̞
ようさい	j o̞ː s a̠ i
ようさん	j o̞ː s ã̠ ɴ
ようし	j o̞ː ɕ i
ようしき	j o̞ː ɕ i kʲ i
ようしつ	j o̞ː ɕ i t͡s ɨᵝ
ようしゅってん	j o̞ː ɕ ɨᵝ t̚ t ẽ̞ ɴ
ようしょ	j o̞ː ɕ o̞
ようしょう	j o̞ː ɕ o̞ː
ようしょく	j o̞ː ɕ o̞ k ɯ̟ᵝ
ようす	j o̞ː s ɨᵝ
ようすい	j o̞ː s ɨᵝ i
ようすいき	j o̞ː s ɨᵝ i kʲ i
ようすみ	j o̞ː s ɨᵝ mʲ i
ようする	j o̞ː s ɨᵝ ɾ ɯ̟ᵝ
ようするに	j o̞ː s ɨᵝ ɾ ɯ̟ᵝ ɲ̟ i
ようせい	j o̞ː s e̞ː
ようせき	j o̞ː s e̞ kʲ i
ようせつ	j o̞ː s e̞ t͡s ɨᵝ
ようせつこう	j o̞ː s e̞ t͡s ɨ̥ᵝ k o̞ː
ようせん	j o̞ː s ẽ̞ ɴ
ようそ	j o̞ː s o̞
ようそう	j o̞ː s o̞ː
ようそろ	j o̞ː s o̞ ɾ o̞
ようそん	j o̞ː s õ̞ ɴ
ようだい	j o̞ː d a̠ i
ようち	j o̞ ɯ̟ᵝ t͡ɕ i
ようち	j o̞ː t͡ɕ i
ようちえん	j o̞ː t͡ɕ i ẽ̞ ɴ
ようちゃく	j o̞ː t͡ɕ a̠ k ɯ̟ᵝ
ようちゅうい	j o̞ː t͡ɕ ɨᵝː i
ようちょう	j o̞ː t͡ɕ o̞ː
ようつい	j o̞ː t͡s ɨᵝ i
ようてい	j o̞ː t e̞ː
ようてん	j o̞ː t ẽ̞ ɴ
ようと	j o̞ː t o̞
ようとう	j o̞ː t o̞ː
ようとへんこう	j o̞ː t o̞ h ẽ̞ ŋ k o̞ː
ようとん	j o̞ː t õ̞ ɴ
ようなし	j o̞ː n a̠ ɕ i
ようにく	j o̞ː ɲ̟ i k ɯ̟ᵝ
ようにゅう	j o̞ː ɲ̟ ɯ̟ᵝː
ようにん	j o̞ː ɲ̟ ĩ ɴ
ようひん	j o̞ː ç ĩ ɴ
ようひんてん	j o̞ː ç ĩ n t ẽ̞ ɴ
ようふ	j o̞ː ɸ ɯ̟ᵝ
ようふう	j o̞ː ɸ ɯ̟ᵝː
ようふく	j o̞ː ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
ようへい	j o̞ː h e̞ː
ようへき	j o̞ː h e̞ kʲ i
ようへん	j o̞ː h ẽ̞ ɴ
ようほう	j o̞ː h o̞ː
ようほうか	j o̞ː h o̞ː k a̠
ようま	j o̞ː m a̠
ようむ	j o̞ː m ɯ̟ᵝ
ようむいん	j o̞ː m ɯ̟ᵝ ĩ ɴ
ようもく	j o̞ː m o̞ k ɯ̟ᵝ
ようや	j o̞ː j a̠
ようやく	j o̞ː j a̠ k ɯ̟ᵝ
ようやっと	j o̞ː j a̠ t̚ t o̞
ようゆう	j o̞ː j ɯ̟ᵝː
ようよう	j o̞ː j o̞ː
ようらく	j o̞ː ɾ a̠ k ɯ̟ᵝ
ようり	j o̞ː ɾʲ i
ようりく	j o̞ː ɾʲ i k ɯ̟ᵝ
ようりくかん	j o̞ː ɾʲ i k ɯ̟ᵝ k ã̠ ɴ
ようりつ	j o̞ː ɾʲ i t͡s ɨᵝ
ようりょう	j o̞ː ɾʲ o̞ː
ようりょく	j o̞ː ɾʲ o̞ k ɯ̟ᵝ
ようりょくそ	j o̞ː ɾʲ o̞ k ɯ̟̊ᵝ s o̞
ようりょくたい	j o̞ː ɾʲ o̞ k ɯ̟ᵝ t a̠ i
ようれい	j o̞ː ɾ e̞ː
ようれき	j o̞ː ɾ e̞ kʲ i
ようろ	j o̞ː ɾ o̞
ようろうせき	j o̞ː ɾ o̞ː s e̞ kʲ i
ようをたす	j o̞ː o̞ t a̠ s ɨᵝ
よおく	j o̞ː k ɯ̟ᵝ
よか	j o̞ k a̠
よかく	j o̞ k a̠ k ɯ̟ᵝ
よかった	j o̞ k a̠ t̚ t a̠
よかつ	j o̞ k a̠ t͡s ɨᵝ
よかれ	j o̞ k a̠ ɾ e̞
よかれとおもう	j o̞ k a̠ ɾ e̞ t o̞ o̞ m o̞ː
よかれん	j o̞ k a̠ ɾ ẽ̞ ɴ
よかん	j o̞ k ã̠ ɴ
よき	j o̞ kʲ i
よきかな	j o̞ kʲ i k a̠ n a̠
よきよき	j o̞ kʲ i j o̞ kʲ i
よく	j o̞ k ɯ̟ᵝ
