અ	ə
ત્રાહિમામ	t̪ ɾ ɑ ɦ i m ɑ m
ત્રિકોણ	t̪ ɾ i k o ɳ
ત્રિવેદી	t̪ ɾ i ʋ eː d̪ i
ત્રિશૂળ	t̪ ɾ i ʃ u ɭ
ત્રીસ	t̪ ɾ i s
ત્રેપન	t̪ ɾ eː p ə n
ત્રેવીસ	t̪ ɾ eː ʋ i s
ત્રેસઠ	t̪ ɾ eː s ə ʈʰ
ત્વરિત	t̪ ʋ ə ɾ i t̪
થ	t̪ʰ ə
થડ	t̪ʰ ə ɖ
થર્મોમીટર	t̪ʰ ə ɾ m o m i ʈ ə ɾ
થળ	t̪ʰ ə ɭ
થાકવું	t̪ʰ ɑ k ʋ ũ
થાબડવું	t̪ʰ ɑ b ə ɽ ʋ ũ
થાળી	t̪ʰ ɑ ɭ i
થી	t̪ʰ i
થીજવું	t̪ʰ i d͡ʒ ʋ ũ
થેલી	t̪ʰ ɛ l i
થોડું	t̪ʰ o ɽ ũ
થોર	t̪ʰ ɔ ɾ
દ	d̪ ə
દંતમંજન	d̪ ə n t̪ m ə ɲ d͡ʒ ə n
દએવ	d̪ ə eː ʋ ə
દક્ષિણ	d̪ ə k ʃ i ɳ
દખણી	d̪ ə kʰ ɳ i
દફતર	d̪ ə kʰ t̪ ə ɾ
દફતર	d̪ ə pʰ t̪ ə ɾ
દફનક્રિયા	d̪ ə pʰ ə n k ɾ i j ɑ
દફનવિધિ	d̪ ə pʰ ə n ʋ i d̪ʱ i
દફનાવવું	d̪ ə pʰ n ɑ ʋ ʋ ũ
દમ	d̪ ə m
દમણ	d̪ ə m ə ɳ
દયા	d̪ ə j ɑ
દરગાહ	d̪ ə ɾ ɡ ɑʱ
દરજી	d̪ ə ɾ d͡ʒ i
દરજ્જો	d̪ ə ɾ ə d͡ʒ d͡ʒ o
દરબાર	d̪ ə ɾ b ɑ ɾ
દરરોજ	d̪ ə ɾ ɾ o d͡ʒ
દરવાજો	d̪ ə ɾ ʋ ɑ d͡ʒ o
દરાખ	d̪ ə ɾ ɑ kʰ
દરિયાપુર	d̪ ə ɾ i j ɑ p u ɾ
દરિયાલાલ	d̪ ə ɾ i j ɑ l ɑ l
દરિયો	d̪ ə ɾ i j o
દરૂજ	d̪ ə ɾ u d͡ʒ
દરૂજ	d̪ ɾ u d͡ʒ
દરૂન	d̪ ə ɾ u n
દરો	d̪ ə ɾ o
દર્પણ	d̪ ə ɾ p ə ɳ
દલડું	d̪ ə l ɖ ũ
દલાલ	d̪ ə l ɑ l
દલાલી	d̪ ə l ɑ l i
દળદર	d̪ ə ɭ d̪ ə ɾ
દવા	d̪ ə ʋ ɑ
દવાખાનું	d̪ ə ʋ ɑ kʰ ɑ n ũ
દવે	d̪ ə ʋ eː
દશ	d ə ʃ
દસ	d̪ ə s
દસ્તાર	d̪ ə s t̪ ɑ ɾ
દસ્તૂર	d̪ ə s t̪ u ɾ
દહાડો	d̪ ə ɦ ɑ ɽ o
દહીં	d̪ ə ɦ ĩ
દહેજ	d̪ ə ɦ eː d͡ʒ
દાંડી	d̪ ɑ ɳ ɖ i
દાંડો	ɖ ɑ ɳ ɖ o
દાઈ	d̪ ɑ i
દાઉદ	d̪ ɑ u d̪
દાક્તર	d̪ ɑ k t̪ ə ɾ
દાખલ	d̪ ɑ kʰ ə l
દાખલો	d̪ ɑ kʰ l o
દાડમ	d̪ ɑ ɽ ə m
દાઢી	d̪ ɑ ɖʱ i
દાદરો	d̪ ɑ d̪ ɾ o
દાદા	d̪ ɑ d̪ ɑ
દાદી	d̪ ɑ d̪ i
દાદો	d̪ ɑ d̪ o
દાનિયેલ	d̪ ɑ n i j eː l
દાબવું	d̪ ɑ b ʋ ũ
દાબિસ્તાન	d̪ ɑ b i s t̪ ɑ n
દાબેલી	d̪ ɑ b eː l i
દામ	d̪ ɑ m
દામણી	d̪ ɑ m ɳ i
દાર	d̪ ɑ ɾ
દારાબ	d̪ ɑ ɾ ɑ b
દારૂબંધી	d̪ ɑ ɾ u b ə n d̪ʱ i
દારૂવાળા	d̪ ɑ ɾ u ʋ ɑ ɭ ɑ
દારેસલામ	d̪ ɑ ɾ eː s ə l ɑ m
દાર્જીલિંગ	d̪ ɑ ɾ d͡ʒ i l i ŋ ɡ
દાળ	d̪ ɑ ɭ
દાવત	d̪ ɑ ʋ ə t̪
દાવર	d̪ ɑ ʋ ə ɾ
દાસ	d̪ ɑ s
દાસી	d̪ ɑ s i
દિતવાર	d̪ i t̪ ʋ ɑ ɾ
દિન	d̪ i n
દિનેશ	d̪ i n eː ʃ
દિયર	d̪ i j ə ɾ
દિયારી	d̪ i j ɑ ɾ i
દિલ	d̪ i l
દિલબર	d̪ i l b ə ɾ
દિલરુબા	d̪ i l ɾ u b ɑ
દિલિપ	d̪ i l i p
દિલ્લી	d̪ i l l i
દિલ્હી	d̪ i l ɦ i
દિવસ	d̪ i ʋ ə s
દિવાળી	d̪ i ʋ ɑ ɭ i
દિવાળીઘોડો	d̪ i ʋ ɑ ɭ i ɡʱ o ɖ o
દિવેલ	d̪ i ʋ eː l
દીકરી	d̪ i k ɾ i
દીકરો	d̪ i k ɾ o
દીઠું	d̪ i ʈʰ ũ
દીદી	d̪ i d̪ i
દીધું	d̪ i d̪ʱ ũ
દીન	d̪ i n
દીનબંધુ	d̪ i n b ə n d̪ʱ u
દીનશા	d̪ i n ʃ ɑ
દીપ	d̪ i p
દીપક	d̪ i p ə k
દીપિકા	d̪ i p i k ɑ
દીબાચો	d̪ i b ɑ t͡ʃ o
દીવાદાંડી	d̪ i ʋ ɑ d̪ ə ɳ ɖ i
દીવાન	d̪ i ʋ ɑ n
દીવાનખાનું	d̪ i ʋ ɑ n kʰ ɑ n ũ
દીવાનું	d̪ i ʋ ɑ n ũ
દીવાલ	d̪ i ʋ ɑ l
દીવો	d̪ i ʋ o
દુઃખ	d̪ uʰ kʰ ə
દુઃસ્વપ્ન	d̪ uʰ s ʋ ə p n ə
દુઆ	d̪ u ɑ
દુકાન	d̪ u k ɑ n
દુકાનદાર	d̪ u k ɑ n d̪ ɑ ɾ
દુખવું	d̪ u kʰ ʋ ũ
દુખ્તર	d̪ u kʰ t̪ ə ɾ
દુનિયા	d̪ u n i j ɑ
દુબઈ	d̪ u b ə i
દુમાસ	d̪ u m ɑ s
દુરવંદ	d̪ u ɾ ʋ ə n d̪
દુરૂદ	d̪ u ɾ u d̪
દુર્ગા	d̪ u ɾ ɡ ɑ
દુર્યોધન	d̪ u ɾ j o d̪ʱ ə n
દુશ્મન	d̪ u ʃ m ə n
દૂઝણું	d̪ u d͡ʒʱ ɳ ũ
દૂઝવું	d̪ u d͡ʒʱ ʋ ũ
દૂણું	d̪ u ɳ ũ
દૂત	d̪ u t̪
દૂધ	d̪ u d̪ʱ
દૂધપાક	d̪ u d̪ʱ p ɑ k
દૂધી	d̪ u d̪ʱ i
દૂધુ	d̪ u d̪ʱ u
દૂર	d̪ u ɾ
દૂરદર્શન	d̪ u ɾ d̪ ə ɾ ʃ ə n
દૂરબીન	d̪ u ɾ b i n
દૂસરું	d̪ u s ɾ ũ
દેખરેખ	d̪ eː kʰ ɾ eː kʰ
દેખવું	d̪ eː kʰ ʋ ũ
દેડકી	d̪ eː ɖ k i
દેડકું	d̪ eː ɖ k ũ
દેડકો	d̪ eː ɖ k o
દેરું	d̪ eː ɾ ũ
દેલ	d̪ eː l
દેવ	d̪ eː ʋ
દેવદાર	d̪ eː ʋ d̪ ɑ ɾ
દેવનાગરી	d̪ eː ʋ n ɑ ɡ ɾ i
દેવળ	d̪ eː ʋ ə ɭ
દેવી	d̪ eː ʋ i
દેવું	d̪ eː ʋ ũ
દેશ	d̪ eː ʃ
દેસ	d̪ eː s
દેસાઈ	d̪ eː s ɑ i
દેસી	d̪ eː s i
દેહ	d̪ eːʱ
દેહધર્મ	d̪ eːʱ d̪ʱ ə ɾ m ə
દેહધાર્મિક	d̪ eːʱ d̪ʱ ɑ ɾ m i k
દોખમું	d̪ o kʰ m ũ
દોજખ	d̪ o d͡ʒ ə kʰ
દોજખ	d̪ o z ə kʰ
દોડવું	d̪ ɔ ɖ ʋ ũ
દોઢ	d̪ ɔ ɖʱ
દોઢડાય્હ્યું	d̪ ɔ ɖʱ ɖ ɑ j ɦ j ũ
દોણી	d̪ ɔ ɳ i
દોરી	d̪ o ɾ i
દોલત	d̪ o l ə t̪
દોશી	d̪ o ʃ i
દોસ્ત	d̪ o s t̪
દોહિત્ર	d̪ o ɦ i t̪ ɾ ə
દ્રાક્ષ	d̪ ɾ ɑ k ʂ
દ્રાક્ષાવાડી	d̪ ɾ ɑ k ʃ ɑ ʋ ɑ ɽ i
દ્રોણ	d̪ ɾ o ɳ
દ્વારકા	d̪ ʋ ɑ ɾ k ɑ
દ્વીપ	d̪ ʋ i p
દ્વીપસમૂહ	d̪ ʋ i p ə s ə m uʱ
ધ	d̪ʱ ə
ધંધો	d̪ʱ ə n d̪ʱ o
ધક્કો	d̪ʱ ə k k o
ધણી	d̪ʱ ə ɳ i
ધણીધણિયાણી	d̪ʱ ə ɳ i d̪ʱ ɳ i j ɑ ɳ i
ધન	d̪ʱ ə n
ધનાણી	d̪ʱ ə n ɑ ɳ i
ધન્યવાદ	d̪ʱ ə n j ə ʋ ɑ d̪
ધમાલ	d̪ʱ ə m ɑ l
ધમ્મ	d̪ʱ ə m m ə
ધરતી	d̪ʱ ə ɾ t̪ i
ધરવું	d̪ʱ ə ɾ ʋ ũ
ધર્મ	d̪ʱ ə ɾ m ə
ધર્મપત્ની	d̪ʱ ə ɾ m ə p ə t̪ n i
ધર્મશાળા	d̪ʱ ə ɾ m ə ʃ ɑ ɭ ɑ
ધર્માદા	d̪ʱ ə ɾ m ɑ d̪ ɑ
ધાડું	d̪ʱ ɑ ɖ ũ
ધાણા	d̪ʱ ɑ ɳ ɑ
ધાન	d̪ʱ ɑ n
ધાર્મિક	d̪ʱ ɑ ɾ m i k
ધાવણ	d̪ʱ ɑ ʋ ə ɳ
ધીમું	d̪ʱ i m ũ
ધીરું	d̪ʱ i ɾ ũ
ધીવર	d̪ʱ i ʋ ə ɾ
ધૂંધળું	d̪ʱ ũ d̪ʱ ɭ ũ
ધૂણી	d̪ʱ u ɳ i
ધૂતા	d̪ʱ u t̪ ɑ
ધૂપ	d̪ʱ u p
ધૂમ્રપાન	d̪ʱ u m ɾ ə p ɑ n
ધૂય	d̪ʱ u j ə
ધૂળ	d̪ʱ u ɭ
ધોતર	d̪ʱ o t̪ ə ɾ
ધોતી	d̪ʱ o t̪ i
ધોધ	d̪ʱ o d̪ʱ
ધોબી	d̪ʱ o b i
ધોરણ	d̪ʱ o ɾ ə ɳ
ધોરીમાર્ગ	d̪ʱ o ɾ i m ɑ ɾ ɡ
ધોળું	d̪ʱ ɔ ɭ ũ
ધ્યાન	d̪ʱ j ɑ n
ધ્વનિ	d̪ʱ ʋ ə n i
ન	n ə
નંબર	n ə m b ə ɾ
નકલી	n ə k l i
નકૂચો	n ə k u t͡ʃ o
નક્કી	n ə k k i
નખ	n ə kʰ
નખચંદ	n ə kʰ t͡ʃ ə n d̪
નગર	n ə ɡ ə ɾ
નગરહવેલી	n ə ɡ ə ɾ ɦ ə ʋ eː l i
નગ્ન	n ə ɡ n ə
નજર	n ə d͡ʒ ə ɾ
નજૂમી	n ə d͡ʒ u m i
નડિયાદ	n ə ɖ i j ɑ d̪
નણંદ	n ə ɳ ə n d̪
નતાશા	n ə t̪ ɑ ʃ ɑ
નથ	n ə t̪ʰ
નથી	n ə t̪ʰ i
નદી	n ə d̪ i
નપુંસકલિંગ	n ə p ũ s ə k l i ŋ ɡ
નબળું	n ə b ɭ ũ
નબી	n ə b i
નમવું	n ə m ʋ ũ
નમસ્કાર	n ə m ə s k ɑ ɾ
નમસ્તે	n ə m ə s t̪ eː
નમાજ	n ə m ɑ d͡ʒ
નમાજ	n ə m ɑ z
નમાર	n ə m ɑ ɾ
નરગિસ	n ə ɾ ɡ i s
નરઘું	n ə ɾ ɡʱ ũ
નરમ	n ə ɾ ə m
નરમાંસભક્ષી	n ə ɾ m ɑ̃ s bʱ ə k ʃ i
નરસંહાર	n ə ɾ s ã ɦ ɑ ɾ
નરિમાન	n ə ɾ i m ɑ n
નરેન્દ્ર	n ə ɾ eː n d̪ ɾ ə
નર્સ	n ə ɾ s
નળ	n ə ɭ
નળાકાર	n ə ɭ ɑ k ɑ ɾ
નળિયું	n ə ɭ i j ũ
નવ	n ə ʋ
નવજાગૃતિ	n ə ʋ d͡ʒ ɑ ɡ ɾ u t̪ i
નવજોત	n ə ʋ d͡ʒ o t̪
નવરંગપુરા	n ə ʋ ɾ ə ŋ ɡ p u ɾ ɑ
નવરાત્રિ	n ə ʋ ɾ ɑ t̪ ɾ i
નવરું	n ə ʋ ɾ ũ
નવરોજ	n ə ʋ ɾ o d͡ʒ
નવરોજ	n ə ʋ ɾ o z
નવલકથા	n ə ʋ ə l k ə t̪ʰ ɑ
નવવર્ષ	n ə ʋ ə ʋ ə ɾ ʂ
નવસારી	n ə ʋ s ɑ ɾ i
નવાનગર	n ə ʋ ɑ n ə ɡ ə ɾ
નવાપુર	n ə ʋ ɑ p u ɾ
નવાબ	n ə ʋ ɑ b
નવાબશાહ	n ə ʋ ɑ b ʃ ɑʱ
નવેમ્બર	n ə ʋ eː m b ə ɾ
નસલનામું	n ə s ə l n ɑ m ũ
નસીબ	n ə s i b
નસીર	n ə s i ɾ
નસેસલો	n ə s eː s l o
નસ્ક	n ə s k
નસ્તાલીક	n ə s t̪ ɑ l i k
નહાવું	n ə ɦ ɑ ʋ ũ
નહોતું	n ə ɦ ɔ t̪ ũ
નાક	n ɑ k
નાકું	n ɑ k ũ
નાખવું	l ɑ kʰ ʋ ũ
નાખવું	n ɑ kʰ ʋ ũ
નાગ	n ɑ ɡ
નાગપુર	n ɑ ɡ p u ɾ
નાગરિકતા	n ɑ ɡ ɾ i k t̪ ɑ
નાગાલેંડ	n ɑ ɡ ɑ l ɛ ɳ ɖ
નાગું	n ɑ ɡ ũ
નાચવું	n ɑ t͡ʃ ʋ ũ
નાજુક	n ɑ d͡ʒ u k
નાટક	n ɑ ʈ ə k
નાઠું	n ɑ ʈʰ ũ
નાતાલ	n ɑ t̪ ɑ l
નાથ	n ɑ t̪ʰ
નાન	n ɑ n
નાનકપંથી	n ɑ n ə k p ə n t̪ʰ i
નાના	n ɑ n ɑ
નાની	n ɑ n i
નાનું	n ɑ n ũ
નાનો	n ɑ n o
નાન્યતર	n ɑ n j ə t̪ ə ɾ
નાભિ	n ɑ bʱ i
નામ	n ɑ m
નાયબ	n ɑ j ə b
નાયિકા	n ɑ j i k ɑ
નાર	n ɑ ɾ
નારંગી	n ɑ ɾ ə ŋ ɡ i
નારાયણ	n ɑ ɾ ɑ j ə ɳ
નારી	n ɑ ɾ i
નાલાયક	n ɑ l ɑ j ə k
નાવ	n ɑ ʋ
નાશિક	n ɑ ʃ i k
નાશ્તો	n ɑ ʃ t̪ o
નાસ્તિક	n ɑ s t̪ i k
નાસ્તો	n ɑ s t̪ o
નાહક	n ɑ ɦ ə k
નાહવું	n ɑʱ ʋ ũ
નિકાબ	n i k ɑ b
નિકાસ	n i k ɑ s
નિકાહ	n i k ɑʱ
નિચોવવું	n i t͡ʃ o ʋ ʋ ũ
નિબંધ	n i b ə n d̪ʱ
નિબંધકાર	n i b ə n d̪ʱ k ɑ ɾ
નિમક	n i m ə k
નિરાકાર	n i ɾ ɑ k ɑ ɾ
નિર્ગમન	n i ɾ ɡ ə m ə n
નિર્જન	n i ɾ d͡ʒ ə n
નિર્ણય	n i ɾ ɳ ə j ə
નિર્વાણ	n i ɾ ʋ ɑ ɳ
નિશાન	n i ʃ ɑ n
નિશાની	n i ʃ ɑ n i
નિશાળ	n i s ɑ ɭ
નિશાળ	n i ɦ ɑ ɭ
નિશાળ	n i ʃ ɑ ɭ
નિસાસો	n i s ɑ s o
નિહાળવું	n i ɦ ɑ ɭ ʋ ũ
નીંદર	n ĩ d̪ ə ɾ
નીકળવું	n i k ə ɭ ʋ ũ
નીચું	n i t͡ʃ ũ
નીતરવું	n i t̪ ə ɾ ʋ ũ
નીમવું	n i m ʋ ũ
નીર	n i ɾ
નીરણ	n i ɾ ə ɳ
નીલું	n i l ũ
નીવ	n i ʋ
નુકસાન	n u k s ɑ n
નૂતન	n u t̪ ə n
નૂર	n u ɾ
નૂહ	n uʱ
નૃત્ય	n ɾ u t̪ j ə
ને	n eː
નેક	n eː k
નેકટાઈ	n eː k ʈ ɑ i
નેતર	n eː t̪ ə ɾ
નેપાળ	n eː p ɑ ɭ
નેવાં	n eː ʋ ɑ̃
નેવાર	n eː ʋ ɑ ɾ
નેવુ	n eː ʋ u
નેહ	n eːʱ
નૈરોબી	n ə i ɾ o b i
નોંધણી	n ɔ n d̪ʱ ə ɳ i
નોકર	n o k ə ɾ
નોકરી	n ɔ k ɾ i
નોખું	n ɔ kʰ ũ
નોટબુક	n o ʈ b u k
નોટબુક	n ɔ ʈ b u k
નોતરું	n ɔ t̪ ɾ ũ
નોમ	n ɔ m
નોરતું	n ɔ ɾ t̪ ũ
નોળિયો	n ɔ ɭ i j o
નૌજવાન	n ə u d͡ʒ ə ʋ ɑ n
ન્યાય	n j ɑ j
ન્યાયમૂર્તિ	n j ɑ j m u ɾ t̪ i
ન્યાયાધીશો	n j ɑ j ɑ d̪ʱ i ʃ o
ન્યાયાલય	n j ɑ j ɑ l ə j
ન્યારું	n j ɑ ɾ ũ
ન્યૂયોર્ક	n j u j o ɾ k
પ	p ə
પંખી	p ə ŋ kʰ i
પંખીઘર	p ə ŋ kʰ i ɡʱ ə ɾ
પંખેરું	p ə ŋ kʰ eː ɾ ũ
પંખો	p ə ŋ kʰ o
પંચાંગ	p ə ɲ t͡ʃ ɑ ŋ ɡ
પંચાવન	p ə ɲ t͡ʃ ɑ ʋ ə n
પંચોતેર	p ə ɲ t͡ʃ o t̪ eː ɾ
પંજાબ	p ə ɲ d͡ʒ ɑ b
પંડિત	p ə ɳ ɖ i t̪
પંડ્યા	p ə ɳ ɖ j ɑ
પંથ	p ə n t̪ʰ
પંથકી	p ə n t̪ʰ k i
પંદર	p ə n d̪ ə ɾ
પંપાળવું	p ə m p ɑ ɭ ʋ ũ
પકડવું	p ə k ə ɽ ʋ ũ
પકવાન	p ə k ʋ ɑ n
પક્ષી	p ə k ʃ i
પખવાડિયું	p ə kʰ ʋ ɑ ɖ i j ũ
પગ	p ə ɡ
પગથિયું	p ə ɡ t̪ʰ i j ũ
પગલૂછણિયું	p ə ɡ l u t͡ʃʰ ɳ i j ũ
પગાર	p ə ɡ ɑ ɾ
પગોડા	p ə ɡ o ɖ ɑ
પચાસ	p ə t͡ʃ ɑ s
પચીસ	p ə t͡ʃ i s
પછી	p ə t͡ʃʰ i
પજુસણ	p ə d͡ʒ u s ə ɳ
પટણા	p ə ʈ ɳ ɑ
પટવારી	p ə ʈ ʋ ɑ ɾ i
પટેલ	p ə ʈ ɛ l
પઠાણ	p ə ʈʰ ɑ ɳ
પડછાયો	p ə ɖ t͡ʃʰ ɑ j o
પડવું	p ə ɖ ʋ ũ
પડી	p ə ɖ i
પડોશ	p ə ɽ o s
પડોશી	p ə ɖ o ʃ i
પડોશી	p ə ɽ o ʃ i
પડોશી	p ə ɽ o ʃ iː
પઢવું	p ə ɖʱ ʋ ũ
પણ	p ə ɳ
પતંગ	p ə t̪ ə ŋ ɡ
પતંગિયું	p ə t̪ ə ŋ ɡ i j ũ
પતવું	p ə t̪ ʋ ũ
પતાસું	p ə t̪ ɑ s ũ
પતિ	p ə t̪ i
પતેત	p ə t̪ eː t̪
પતેતી	p ə t̪ eː t̪ i
પત્ની	p ə t̪ n i
પત્ર	p ə t̪ ɾ ə
પથારી	p ə t̪ʰ ɑ ɾ i
પથિક	p ə t̪ʰ i k
પદ્મ	p ə d̪ m ə
પનીર	p ə n i ɾ
પપૈયું	p ə p ə i j ũ
પપ્પા	p ə p p ɑ
પબ	p ə b
પરંતુ	p ə ɾ ə n t̪ u
પરણવું	p ə ɾ ə ɳ ʋ ũ
પરણેતર	p ə ɾ ɳ eː t̪ ə ɾ
પરદાદા	p ə ɾ d̪ ɑ d̪ ɑ
પરદાદો	p ə ɾ d̪ ɑ d̪ o
પરદેશ	p ə ɾ d̪ eː ʃ
પરદેશી	p ə ɾ d̪ eː ʃ i
પરદો	p ə ɾ d̪ o
પરનાળ	p ə ɾ n ɑ ɭ
પરમદિવસ	p ə ɾ ə m d̪ i ʋ ə s
પરમિયો	p ə ɾ m i j o
પરમેશ્વર	p ə ɾ m eː ʃ ʋ ə ɾ
પરવાનગી	p ə ɾ ʋ ɑ n ɡ i
પરવાનો	p ə ɾ ʋ ɑ n o
પરવીઝ	p ə ɾ ʋ i d͡ʒʱ
પરવીન	p ə ɾ ʋ i n
પરસાળ	p ə ɾ s ɑ ɭ
પરહેજ	p ə ɾ ɦ eː d͡ʒ
પરાંઠું	p ə ɾ ɑ̃ ʈʰ ũ
પરાણી	p ə ɾ ɑ ɳ i
પરાત	p ə ɾ ɑ t̪
પરાવલંબી	p ə ɾ ɑ ʋ l ə m b i
પરિકર	p ə ɾ i k ə ɾ
પરિયા	p ə ɾ i j ɑ
પરિવર્તન	p ə ɾ i ʋ ə ɾ t̪ ə n
પરિવાર	p ə ɾ i ʋ ɑ ɾ
પરિસ્તોમ	p ə ɾ i s t̪ o m
પરિસ્થિતિ	p ə ɾ i s t̪ʰ i t̪ i
પરીક્ષા	p ə ɾ i k ʃ ɑ
પરીખ	p ə ɾ i kʰ
પરેજ	p ə ɾ eː d͡ʒ
પરોઢ	p ə ɾ o ɖʱ
પર્વત	p ə ɾ ʋ ə t̪
પલંગ	p ə l ə ŋ ɡ
પલળવું	p ə l ə ɭ ʋ ũ
પલાંઠી	p ə l ɑ̃ ʈʰ i
પલાણ	p ə l ɑ ɳ
પલ્લો	p ə l l o
પળ	p ə ɭ
પવન	p ə ʋ ə n
પવનચક્કી	p ə ʋ ə n t͡ʃ ə k k i
પવાલું	p ə ʋ ɑ l ũ
પવિત્ર	p ə ʋ i t̪ ɾ ə
પવિત્રાત્મા	p ə ʋ i t̪ ɾ ə ɑ t̪ m ɑ
પશમીના	p ə ʃ m i n ɑ
પશુધન	p ə ʃ u d̪ʱ ə n
પશ્તો	p ə ʃ t̪ o
પસંદ	p ə s ə n d̪
પસાય	p ə s ɑ j
પસીનો	p ə s i n o
પહાડ	p ə ɦ ɑ ɽ
પહેરવું	p ə ɦ ɛ ɾ ʋ ũ
પહેલું	p ə ɦ eː l ũ
પહોંચ	p ə ɦ ɔ̃ t͡ʃ
પહોંચવું	p ə ɦ ɔ̃ t͡ʃ ʋ ũ
પહોળું	p ə ɦ ɔ ɭ ũ
પાંખ	p ɑ̃ kʰ
પાંગરવું	p ɑ̃ ɡ ə ɾ ʋ ũ
પાંચ	p ɑ̃ s
પાંચ	p ɑ̃ t͡ʃ
પાંજરું	p ɑ̃ d͡ʒ ɾ ũ
પાંત્રીસ	p ɑ̃ t̪ ɾ i s
પાંદડું	p ɑ n d̪ ɽ ũ
પાંપણ	p ɑ̃ p ə ɳ
પાંસઠ	p ɑ̃ s ə ʈʰ
પાંસળી	p ɑ̃ s ə ɭ i
પાઉં	p ɑ ũ
પાઉંડ	p ɑ u ɳ ɖ
પાઉલ	p ɑ u l
પાઉલ	p ɑ w l
પાક	p ɑ k
પાકવું	p ɑ k ʋ ũ
પાકિસ્તાન	p ɑ k i s t̪ ɑ n
પાકીટ	p ɑ k i ʈ
પાકું	p ɑ k ũ
પાગરણ	p ɑ ɡ ɾ ə ɳ
પાગલ	p ɑ ɡ ə l
પાઘડી	p ɑ ɡʱ ɖ i
પાછું	p ɑ s ũ
પાછું	p ɑ t͡ʃʰ ũ
પાટણ	p ɑ ʈ ə ɳ
પાટલી	p ɑ ʈ l i
પાટલૂન	p ɑ ʈ l u n
પાટિયું	p ɑ ʈ i j ũ
પાઠવવું	p ɑ ʈʰ ə ʋ ʋ ũ
પાણી	p ɑ n i
પાણી	p ɑ ɳ i
પાણી	p ɔ ɳ i
પાણીપુરી	p ɑ ɳ i p u ɾ i
પાતરું	p ɑ t̪ ɾ ũ
પાત્રા	p ɑ t̪ ɾ ɑ
પાદરી	p ɑ d̪ ɾ i
પાદશાહ	p ɑ d̪ ʃ ɑʱ
પાનખર	p ɑ n kʰ ə ɾ
પાનું	p ɑ n ũ
પાપ	p ɑ p
પાપડ	p ɑ p ə ɽ
પાપા	p ɑ p ɑ
પાયજામો	p ɑ j d͡ʒ ɑ m o
પાયદસ્ત	p ɑ j d̪ ə s t̪
પારકું	p ɑ ɾ k ũ
પારશી	p ɑ ɾ ʃ i
પારસ	p ɑ ɾ ə s
પારસી	p ɑ ɾ s i
પારી	p ɑ ɾ i
પારેખ	p ɑ ɾ eː kʰ
પારેવું	p ɑ ɾ eː ʋ ũ
પાર્ટી	p ɑ ɾ ʈ i
પાર્વતી	p ɑ ɾ ʋ ə t̪ i
પાલક	p ɑ l ə k
પાલખી	p ɑ l kʰ i
પાળવું	p ɑ ɭ ʋ ũ
પાળું	p ɑ ɭ ũ
પાવની	p ɑ ʋ ə n i
પાવી	p ɑ ʋ i
પાશા	p ɑ ʃ ɑ
પાસપોર્ટ	p ɑ s p o ɾ ʈ
પાસબુક	p ɑ s b u k
પાસે	p ɑ s ɛ
પાસે	p ɑ ɦ ɛ
પાસ્ખા	p ɑ s kʰ ɑ
પિચકારી	p i t͡ʃ k ɑ ɾ i
પિતા	p i t̪ ɑ
પિતામહ	p i t̪ ɑ m əʱ
પિતૃદેશ	p i t̪ ɾ u d̪ eː ʃ
પિત્તળ	p i t̪ t̪ ə ɭ
પિન	p i n
પિપરમીટ	p i p ə ɾ m i ʈ
પિયર	p i j ə ɾ
પિયુ	p i j u
પિસ્તા	p i s t̪ ɑ
પિસ્તાળીસ	p i s t̪ ɑ ɭ i s
પિસ્તોલ	p i s t̪ o l
પી	p i
પીંછું	p ĩ t͡ʃʰ ũ
પીઉં	p i ũ
પીએ	p i eː
પીઓ	p i o
પીછું	p i t͡ʃʰ ũ
પીજે	p i d͡ʒ eː
પીજો	p i d͡ʒ o
પીટીટ	p i ʈ i ʈ
પીઠ	p i ʈ
પીઠ	p i ʈʰ
પીઠી	p i ʈʰ i
પીઠું	p i ʈʰ ũ
પીડા	p i ɖ ɑ
પીધું	p i d̪ʱ ũ
પીપ	p i p
પીપળો	p i p ɭ o
પીપી	p i p i
પીર	p i ɾ
પીરોઝ	p i ɾ o d͡ʒʱ
પીળું	p i ɭ ũ
પીવું	p i ʋ ũ
પીશ	p i ʃ
પીશું	p i ʃ ũ
પીશે	p i ʃ eː
પીશો	p i ʃ o
પુંલિંગ	p ũ l i ŋ ɡ
પુત્ર	p u t̪ ɾ ə
પુત્રી	p u t̪ ɾ i
પુનર્નિયમ	p u n ə ɾ n i j ə m
પુર	p u ɾ
પુરણપોળી	p u ɾ ə ɳ p o ɭ i
પુરાણ	p u ɾ ɑ ɳ
પુરાણું	p u ɾ ɑ ɳ ũ
પુરાવો	p u ɾ ɑ ʋ o
પુરી	p u ɾ i
પુલાવ	p u l ɑ ʋ
પુષ્કર	p u ʃ k ə ɾ
પુષ્કલાવતી	p u ʃ k ə l ɑ ʋ ə t̪ i
પુષ્પ	p u ʃ p ə
પુષ્પપાત્ર	p u ʃ p ə p ɑ t̪ ɾ ə
પુસ્તક	p u s t̪ ə k
પુસ્તકમેળો	p u s t̪ ə k m eː ɭ o
પુસ્તકાલય	p u s t̪ ə k ɑ l ə j
પૂ	p u
પૂંજી	p ũ d͡ʒ i
પૂછવું	p u t͡ʃʰ ʋ ũ
પૂજા	p u d͡ʒ ɑ
