Ё	j ɔ
морьтой	m ɔ rʲ tʰ ɔ i̯
морьтойгоо	m ɔ rʲ tʰ ɔ i̯ ɣ oː
морьхон	m œ r χ ʊ ŋ̠
мотор	m ɔ tʰ ɔ r̥
мотоцикл	m ɔ tʰ ɔ t͡sʰ i kʰ ɮ
мохоо	m ɔ x ɔ
мохох	m ɔ x ə x
муж	m ʊ t͡ɕ
музей	m ʊ t͜s eː
мусульман	m ʊ s ʊ ɮʲ m a ŋ
мушгирах	m ʊ ʃ ɡʲ ə r ə x
мэдэрхэх	m i t ə r x ə x
мэдэх	m i t ə x
мэдээ	m e t eː
мэдээлэл	m i t e ɮ ə ɮ
мэлхий	m i ɮ x i
мэнгэ	m e ŋ k
мэндлэх	m e n t ɮ e x
мэндчилгээ	m i n t t͡ʃʰ i ɮ ɡ eː
мэргэжил	m i r ə ɡ t͡ɕ ə ɮ
мэргэжилтэн	m i r ə ɡ t͡ɕ ə ɮ tʰ ə ŋ
мэргэн	m e r ɡ e ŋ
мэс	m i s
мэсэс	m e s e s
мэт	m i tʰ
мэхээр	m i x e r
мээм	m eː m
мягмар	m i ɡ m ə̠ r
мянга	mʲ ä ɴ q
мөгөөрс	m ɵ ɣ ɵː r s
мөн	m o ŋ
мөнгө	m o ŋ ɡ
мөндөрлөх	m ɵ n t ɵ r ɮ ə x
мөнх	m o ŋ x
мөр	m o r
мөрдөгч	m ɵ r t ɵ ɡ t͡ʃʰ
мөрдөх	m ɵ r t ɵ x
мөрөвч	m o r ə w t͡ɕʰ
мөрөөдөл	m o r o t ə ɮ
мөс	m o s
мөс	m ɘ s
мөсөн	m ɵ s ɵ ŋ
мөчир	m o t͡ɕʰ ə r
н	n
н	ŋ
наалдах	n aː ɮ t a x
навч	n a w̜ t͡ɕʰ
навчин	n a w̜ t͡ɕʰ i ŋ
надад	n a t ə t
най	n ɛː
найдах	n æː t ə̠ χ
найз	n a i t͡s
наймалж	n ɛː m a ɮ t͡ɕ
наймдугаар	n ɛː m t ʊ ɣ aː r̥
найрамдахчуудын	n ɛː r a m t a x t͡ɕʰ ʊː t i ŋ
найрах	n ɛː r a x
найтаах	n a i tʰ a x
нам	n a m
намар	n a m a r̥
намтар	n a m tʰ ə r
нар	n ɐ ɾ
нарды	n a r t i
нарийн	n a rʲ i ŋ
начин	n ɑ t͡ɕ i n
ная	n ä j ä
наяд	n a j a t
нийгэм	n iː k e m
нийтгэх	n iː tʰ ɡ e x
нийх	n iː x
нил	n i ɮ
нирунчууд	n i r ʊ n t͡ɕʰ ʊː t
нисгэгч	n i s ɡ e ɡ t͡ʃʰ
нисгэх	n i s ɡ e x
нислэг	n i s ɮ e k
новш	n ɔ w̜ ɕ
ногоон	n ɔ ɢ ɔː ŋ
ном	n ɔ m
номгүй	n ɔ m k u i̯
номд	n ɔ m t
номны	n ɔ m n i
номоор	n ɔ m oː r̥
номоос	n ɔ m oː s
номтой	n ɔ m tʰ ɔ i̯
номууд	n ɔ m ʊː t
номуудаар	n ɔ m ʊː t aː r̥
номуудаас	n ɔ m ʊː t aː s
номуудад	n ɔ m ʊː t a t
номуудгүй	n ɔ m ʊː t k u i̯
номуудтай	n ɔ m ʊː t tʰ ɛː
номуудыг	n ɔ m ʊː t i k
номуудын	n ɔ m ʊː t i ŋ
номуудынх	n ɔ m ʊː t i ŋ x
номуудынхан	n ɔ m ʊː t i ŋ x a ŋ
номхон	n ɔ m x ɔ ŋ
номыг	n ɔ m i k
номын	n ɔ m i ŋ
номынх	n ɔ m i ŋ x
номынхон	n ɔ m i ŋ x ɔ ŋ
нохой	n ɔ x ɔ i
ноёд	n ɔ j ɔ t
ноёдгүй	n ɔ j ɔ t k u i̯
ноёдод	n ɔ j ɔ t ɔ t
ноёдоор	n ɔ j ɔ t oː r̥
ноёдоос	n ɔ j ɔ t oː s
ноёдтой	n ɔ j ɔ t tʰ ɔ i̯
ноёдыг	n ɔ j ɔ t i k
ноёдын	n ɔ j ɔ t i ŋ
ноёдынд	n ɔ j ɔ t i n t
ноёдынх	n ɔ j ɔ t i ŋ x
ноёдынхон	n ɔ j ɔ t i ŋ x ɔ ŋ
ноён	n ɔ j ɔ ŋ
ноёнгүй	n ɔ j ɔ ŋ k u i̯
ноёнд	n ɔ j ɔ n t
ноёноор	n ɔ j ɔ n oː r̥
ноёноос	n ɔ j ɔ n oː s
ноёнтой	n ɔ j ɔ n tʰ ɔ i̯
ноёны	n ɔ j ɔ n i
ноёныг	n ɔ j ɔ n i k
ноёныд	n ɔ j ɔ n i t
ноёных	n ɔ j ɔ n i x
ноёныхон	n ɔ j ɔ n i x ɔ ŋ
нугалам	n ʊ ɢ ɮ ə m
нурам	n ʊ r ə m
нус	n ʊ s
нутаг	n ʊ tʰ ä ɢ
нууц	n ʊː t͡s
нь	n
нь	ə n
нэг	n e ɡ
нэгдсэн	n e ɡ t s e n
нэгдүгээр	n e k t u ɣ eː r̥
нэмэр	n i m ə r
нэмэх	n i m ə x
нэр	n e r̥
нэргүй	n e r k u i̯
нэргүйгээ	n e r k u i̯ ɣ eː
нэрд	n e r t
нэрдээ	n e r t eː
нэрийг	n e r iː k
нэрийгээ	n e r iː k eː
нэрийн	n e r iː ŋ
нэрийнх	n e r iː ŋ x
нэрийнхэн	n e r iː ŋ x e ŋ
нэрийнхээ	n e r iː ŋ x eː
нэрлэх	n e r ɮ e x
нэрс	n e r s
нэрсгүй	n e r s k u i̯
нэрсгүйгээ	n e r s k u i̯ ɣ eː
нэрсдээ	n e r s t eː
нэрсийг	n e r s iː k
нэрсийгээ	n e r s iː k eː
нэрсийн	n e r s iː ŋ
нэрсийнх	n e r s iː ŋ x
нэрсийнхэн	n e r s iː ŋ x e ŋ
нэрсийнхээ	n e r s iː ŋ x eː
нэрсний	n e r s n iː
нэрснийх	n e r s n iː x
нэрснийхэн	n e r s n iː x e ŋ
нэрснийхээ	n e r s n iː x eː
нэрснээс	n e r s n eː s
нэрснээсээ	n e r s n eː s eː
нэрснүүд	n e r s n uː t
нэрснүүдгүй	n e r s n uː t k u i̯
нэрснүүдгүйгээ	n e r s n uː t k u i̯ ɣ eː
нэрснүүддээ	n e r s n uː t͉ t eː
нэрснүүдийг	n e r s n uː t iː k
нэрснүүдийгээ	n e r s n uː t iː k eː
нэрснүүдийн	n e r s n uː t iː ŋ
нэрснүүдийнх	n e r s n uː t iː ŋ x
нэрснүүдийнхэн	n e r s n uː t iː ŋ x e ŋ
нэрснүүдийнхээ	n e r s n uː t iː ŋ x eː
нэрснүүдтэй	n e r s n uː t tʰ e i̯
нэрснүүдтэйгээ	n e r s n uː t tʰ e i̯ ɣ eː
нэрснүүдэд	n e r s n uː t e t
нэрснүүдээ	n e r s n uː t eː
нэрснүүдээр	n e r s n uː t eː r̥
нэрснүүдээрээ	n e r s n uː t eː r eː
нэрснүүдээс	n e r s n uː t eː s
нэрснүүдээсээ	n e r s n uː t eː s eː
нэрстэй	n e r s tʰ e i̯
нэрстэйгээ	n e r s tʰ e i̯ ɣ eː
нэрсэд	n e r s e t
нэрсэн	n e r s e ŋ
нэрсэнд	n e r s e n t
нэрсэндээ	n e r s e n t eː
нэрсээ	n e r s eː
нэрсээр	n e r s eː r̥
нэрсээрээ	n e r s eː r eː
нэрсээс	n e r s eː s
нэрсээсээ	n e r s eː s eː
нэртэй	n e r̥ tʰ e i̯
нэртэйгээ	n e r̥ tʰ e i̯ ɣ eː
нэрээ	n e r eː
нэрээр	n e r eː r̥
нэрээрээ	n e r eː r eː
нэрээс	n e r eː s
нэрээсээ	n e r eː s eː
нэхмэл	n i x m ə ɮ
нээлттэй	n eː ɮ tʰ tʰ e
нээх	n eː x
нялх	nʲ a ɮ x
ням	nʲ a m
нүдүүр	n u t u r
нүүдэлчин	n uː t e ɮ t͡ɕʰ i ŋ
нөгөө	n ɵ ɡ oː
нөлөө	n o ɮ o
нөхцөл	n o x t͡sʰ ə ɮ
нөхөр	n ɵ x u r
нөхөөс	n ɵ x ɵː s
нөөц	n oː t͡sʰ
нөөцлөх	n oː t͡sʰ ɮ ə x
о	ɔ
объект	ɔ p j ɵ kʰ tʰ
обьект	ɔ p j ɵ kʰ tʰ
овог	ɔ w ʊ k̠
овоо	ɔ w̜ oː
овъёос	ɔ w̜ j ɔː s
овъёосгүй	ɔ w̜ j ɔː s k u i̯
овъёосноос	ɔ w̜ j ɔː s n oː s
овъёоснууд	ɔ w̜ j ɔː s n ʊː t
овъёоснуудаар	ɔ w̜ j ɔː s n ʊː t aː r̥
овъёоснуудаас	ɔ w̜ j ɔː s n ʊː t aː s
овъёоснуудад	ɔ w̜ j ɔː s n ʊː t a t
овъёоснуудгүй	ɔ w̜ j ɔː s n ʊː t k u i̯
овъёоснуудтай	ɔ w̜ j ɔː s n ʊː t tʰ ɛː
овъёоснуудыг	ɔ w̜ j ɔː s n ʊː t i k
овъёоснуудын	ɔ w̜ j ɔː s n ʊː t i ŋ
овъёосны	ɔ w̜ j ɔː s n i
овъёосон	ɔ w̜ j ɔː s ɔ ŋ
овъёосонд	ɔ w̜ j ɔː s ɔ n t
овъёосоор	ɔ w̜ j ɔː s oː r̥
овъёостой	ɔ w̜ j ɔː s tʰ ɔ i̯
овъёосыг	ɔ w̜ j ɔː s i k
овьёос	ɔ w̜ j ɔː s
огих	ɔ ɡʲ ə x
оготор	ɔ ɢ tʰ ə r
огурцы	o ɡ ə r t͡sʰ i
од	ɔ t
одоо	ɔ t ɔ
озох	ɔ t͡s ɔ x
ой	ɔ͜i
ойлголт	ɔ i̯ ɮ k ɔ ɮ tʰ
ойлгох	ɔ i ɮ ɢ ə x
оймс	o i m s
ойрад	œː r t
олох	ɔ ɮ ɔ x
омог	ɔ m ə ɡ
он	ɔ ŋ
онгоц	ɔ ŋ k ɔ t͡sʰ
онигоо	ɔ n i ɣ oː
оноо	ɔ n ɔ
онь	ɔ nʲ
оньс	ɔ nʲ s
оо	oː
оочир	ɔː t͡ɕʰ ə r
ор	ɔ r
орвон	ɔ r w̜ ɔ ŋ
ордон	ɔ r t ɔ ŋ
орлого	ɔ r ɮ ɔ ɣ
орлогожих	ɔ r ɮ ɔ ɣ ɔ d͡ʑ i x
орой	ɔ r ɔ i
оройвч	ɔ r ɔ i w t͡ɕʰ
ором	ɔ r ə m
орон	ɔ r ə ŋ
орос	ɔ r ʊ s
орхоодой	ɔ r x ɔː t ɔ i
орчим	ɔ r t͡ɕʰ ə m
орчлон	ɔ r̥ t͡ɕʰ ɮ ɔ ŋ
орчон	ɔ r̥ t͡ɕʰ ɔ ŋ
орчуулагч	ɔ r̥ t͡ɕʰ ʊː ɮ a k t͡ɕʰ
орчуулах	ɔ r̥ t͡ɕʰ ʊː ɮ a x
орчуулга	ɔ r̥ t͡ɕʰ ʊː ɮ k
орших	ɔ r ɕ i x
оточ	ɔ tʰ ɔ t͡ɕʰ
оффис	ɔ f i s
охин	œ χ ə ŋ
очих	ɔ t͡ɕʰ ə x
оюутан	ɔ j ʊ tʰ ə ŋ
оёдол	ɔ j t ə ɮ
оёх	ɔ j ʊ χ
п	pʰ
паб	pʰ a p
пальтог	pʰ a ɮʲ tʰ ɔ k
пальтогоор	pʰ a ɮʲ tʰ ɔ ɣ oː r̥
пальтогүй	pʰ a ɮʲ tʰ ɔ ɣ u i̯
пальтон	pʰ a ɮʲ tʰ ɔ ŋ
пальтонд	pʰ a ɮʲ tʰ ɔ n t
пальтоноос	pʰ a ɮʲ tʰ ɔ n oː s
пальтонууд	pʰ a ɮʲ tʰ ɔ n ʊː t
пальтонуудаар	pʰ a ɮʲ tʰ ɔ n ʊː t aː r̥
пальтонуудаас	pʰ a ɮʲ tʰ ɔ n ʊː t aː s
пальтонуудад	pʰ a ɮʲ tʰ ɔ n ʊː t a t
пальтонуудгүй	pʰ a ɮʲ tʰ ɔ n ʊː t k u i̯
пальтонуудтай	pʰ a ɮʲ tʰ ɔ n ʊː t tʰ ɛː
пальтонуудыг	pʰ a ɮʲ tʰ ɔ n ʊː t i k
пальтонуудын	pʰ a ɮʲ tʰ ɔ n ʊː t i ŋ
пальтонуудынх	pʰ a ɮʲ tʰ ɔ n ʊː t i ŋ x
пальтонуудынхан	pʰ a ɮʲ tʰ ɔ n ʊː t i ŋ x a ŋ
пальтоны	pʰ a ɮʲ tʰ ɔ n i
пальтоных	pʰ a ɮʲ tʰ ɔ n i x
пальтоныхон	pʰ a ɮʲ tʰ ɔ n i x ɔ ŋ
пальтотой	pʰ a ɮʲ tʰ ɔ tʰ ɔ i̯
парламент	pʰ a r ɮ a mʲ ɵ n tʰ
паспорт	pʰ a s pʰ ə r tʰ
пигүүж	pʰ i ɡ u t͡ɕ
пид	pʰ i t
пиджак	pʰ i t t͡ɕ a kʰ
пиджакаар	pʰ i t t͡ɕ a kʰ aː r̥
пиджакаас	pʰ i t t͡ɕ a kʰ aː s
пиджакгүй	pʰ i t t͡ɕ a kʰ k u i̯
пиджакийг	pʰ i t t͡ɕ a kʰ iː k
пиджакийн	pʰ i t t͡ɕ a kʰ iː ŋ
пиджакийнх	pʰ i t t͡ɕ a kʰ iː ŋ x
пиджакийнхан	pʰ i t t͡ɕ a kʰ iː ŋ x a ŋ
пиджакт	pʰ i t t͡ɕ a kʰ tʰ
пиджактай	pʰ i t t͡ɕ a kʰ tʰ ɛː
пиджакууд	pʰ i t t͡ɕ a kʰ ʊː t
пиджакуудаар	pʰ i t t͡ɕ a kʰ ʊː t aː r̥
пиджакуудаас	pʰ i t t͡ɕ a kʰ ʊː t aː s
пиджакуудад	pʰ i t t͡ɕ a kʰ ʊː t a t
пиджакуудгүй	pʰ i t t͡ɕ a kʰ ʊː t k u i̯
пиджакуудтай	pʰ i t t͡ɕ a kʰ ʊː t tʰ ɛː
пиджакуудыг	pʰ i t t͡ɕ a kʰ ʊː t i k
пиджакуудын	pʰ i t t͡ɕ a kʰ ʊː t i ŋ
пиджакуудынх	pʰ i t t͡ɕ a kʰ ʊː t i ŋ x
пиджакуудынхан	pʰ i t t͡ɕ a kʰ ʊː t i ŋ x a ŋ
пийшин	pʰ iː ʃ ə ŋ
пиццаг	pʰ i t͡sʰ a k
пиццагаар	pʰ i t͡sʰ a ɣ aː r̥
пиццагүй	pʰ i t͡sʰ a ɣ u i̯
пиццан	pʰ i t͡sʰ a ŋ
пиццанаас	pʰ i t͡sʰ a n aː s
пиццанд	pʰ i t͡sʰ a n t
пиццанууд	pʰ i t͡sʰ a n ʊː t
пиццануудаар	pʰ i t͡sʰ a n ʊː t aː r̥
пиццануудаас	pʰ i t͡sʰ a n ʊː t aː s
пиццануудад	pʰ i t͡sʰ a n ʊː t a t
пиццануудгүй	pʰ i t͡sʰ a n ʊː t k u i̯
пиццануудтай	pʰ i t͡sʰ a n ʊː t tʰ ɛː
пиццануудыг	pʰ i t͡sʰ a n ʊː t i k
пиццануудын	pʰ i t͡sʰ a n ʊː t i ŋ
пиццануудынх	pʰ i t͡sʰ a n ʊː t i ŋ x
пиццануудынхан	pʰ i t͡sʰ a n ʊː t i ŋ x a ŋ
пиццаны	pʰ i t͡sʰ a n i
пиццаных	pʰ i t͡sʰ a n i x
пиццаныхан	pʰ i t͡sʰ a n i x a ŋ
пиццатай	pʰ i t͡sʰ a tʰ ɛː
плазм	pʰ ɮ a t͡s m
подвоолк	pʰ ɔ t w̜ oː ɮ kʰ
помещик	pʰ ɔ mʲ ɵ ɕ i kʰ
програм	pʰ r ɔ k r a m
пулемёт	pʰ u ɮ mʲ ɔˑ tʰ
пуужин	pʰ ʊː t͡ɕ ə ŋ
пэ	pʰ e
р	r
р	r̥
радий	r a t iː
радиус	r a t i̯ ʊː s
размер	r a t͡s mʲ ɵ r̥
реактор	rʲ ɵ a kʰ tʰ ɔ r̥
резин	e r t͡s eː ŋ
резин	rʲ ɵ t͡s i ŋ
ресторанаар	rʲ ɵ s tʰ ɔ r a n aː r̥
ресторанаас	rʲ ɵ s tʰ ɔ r a n aː s
ресторангүй	rʲ ɵ s tʰ ɔ r a ŋ k u i̯
ресторанд	rʲ ɵ s tʰ ɔ r a n t
ресторантай	rʲ ɵ s tʰ ɔ r a n tʰ ɛː
ресторанууд	rʲ ɵ s tʰ ɔ r a n ʊː t
ресторануудаар	rʲ ɵ s tʰ ɔ r a n ʊː t aː r̥
ресторануудаас	rʲ ɵ s tʰ ɔ r a n ʊː t aː s
ресторануудад	rʲ ɵ s tʰ ɔ r a n ʊː t a t
ресторануудгүй	rʲ ɵ s tʰ ɔ r a n ʊː t k u i̯
ресторануудтай	rʲ ɵ s tʰ ɔ r a n ʊː t tʰ ɛː
ресторануудыг	rʲ ɵ s tʰ ɔ r a n ʊː t i k
ресторануудын	rʲ ɵ s tʰ ɔ r a n ʊː t i ŋ
ресторануудынх	rʲ ɵ s tʰ ɔ r a n ʊː t i ŋ x
ресторануудынхан	rʲ ɵ s tʰ ɔ r a n ʊː t i ŋ x a ŋ
рестораны	rʲ ɵ s tʰ ɔ r a n i
рестораныг	rʲ ɵ s tʰ ɔ r a n i k
рестораных	rʲ ɵ s tʰ ɔ r a n i x
рестораныхан	rʲ ɵ s tʰ ɔ r a n i x a ŋ
ромчууд	r ɔ m t͡ɕʰ ʊː t
рубль	r ʊ p ɮʲ
руу	r ʊː
рүү	r uː
с	s
саатал	s aː tʰ ə ɮ
саваа	s a w a
саван	s a w̜ a ŋ
савар	s a w ə r
савхаар	s a w̜ x aː r̥
савхыг	s a w̜ x i k
сайн	s æː ɴ̟
сайхан	s ɛː x a ŋ
сал	s a ɮ
салса	s a ɮ s
салфетка	s a ɮ fʲ ɵ tʰ kʰ
сам	s a m
самбар	s a m p ə r
сампин	s a m pʰ i ŋ
сан	s a ŋ
санах	s a n ə x
сансар	s a n s ə r
сар	s ɐ ɾ
сарлаг	s a r ɮ ə ɡ
сармис	s a r mʲ ə s
сартуул	s a r tʰ ʊː ɮ
сая	s ä j ä
секс	s j ɵ kʰ s
сексгүй	s j ɵ kʰ s k u i̯
секси	s j ɵ kʰ s
сексийг	s j ɵ kʰ s iː k
сексийн	s j ɵ kʰ s iː ŋ
сексийнх	s j ɵ kʰ s iː ŋ x
сексийнхэн	s j ɵ kʰ s iː ŋ x e ŋ
секст	s j ɵ kʰ s tʰ
секстэй	s j ɵ kʰ s tʰ e i̯
сексээр	s j ɵ kʰ s eː r̥
сексээс	s j ɵ kʰ s eː s
сексүүд	s j ɵ kʰ s uː t
сексүүдгүй	s j ɵ kʰ s uː t k u i̯
сексүүдийг	s j ɵ kʰ s uː t iː k
сексүүдийн	s j ɵ kʰ s uː t iː ŋ
сексүүдтэй	s j ɵ kʰ s uː t tʰ e i̯
сексүүдэд	s j ɵ kʰ s uː t e t
сексүүдээр	s j ɵ kʰ s uː t eː r̥
сексүүдээс	s j ɵ kʰ s uː t eː s
симфони	s i m f ɔˑ n
сойз	s ɔ i t͡s
солгой	s ɔ ɮ ɢ ɔ i
солих	s ɔ ɮʲ ə x
солонго	s ɔ ɮ ʊ ɴ ɢ
солонго	s ʊ l ɘ ŋ
сом	s ɔ m
сонгох	s ɔ ŋ ɢ ə x
сонгууль	s ɔ ŋ ɢ ʊ ɮʲ
сонин	s œ n ə ŋ
сонирхол	s ɔ nʲ ə r x ə ɮ
сонсох	s ɔ n s ə x
сорих	s ɔ rʲ ə x
сормуус	s ɔ r m ʊː s
соруул	s ɔ r ʊ ɮ
соруулах	s ɔ r ʊ ɮ ə x
социализм	s ɔ t͡sʰ i̯ aː ɮ i t͡s m
соёл	s ɔ j ʊ ɮ
соёо	s ɔ j ɔː
соёолон	s ɔ j ɔː ɮ ɔ ŋ
спорт	s pʰ ɔ r̥ tʰ
сувдын	s ʊ w̜ t i ŋ
судар	s ʊ t ə r
сул	s o ɬ
сум	s ʊ m
сумо	s ʊ m ɔ
сур	s ʊ r̥
сурагч	s ʊ r a ɡ t͡ʃʰ
суралцах	s ʊ r a ɮ t͡sʰ a x
сурах	s ʊ r ə x
сурвалж	s ʊ r w ə ɮ t͡ɕ
сургах	s ʊ r k a x
суулгах	s ʊː ɮ ɢ a x
суурь	s ʊː rʲ
суух	s ʊː x
сэжиг	s i t͡ɕ ə ɡ
сэлэх	s e ɮ ə x
сэндвич	s e n t w̜ i t͡ɕʰ
сэрэх	s e r ə x
сэрээх	s e r eː x
сэтгүүл	s e tʰ ɡ u ɮ
сээр	s eː r̥
сүмо	s u m ɔ
сүмс	s u m s
сүнс	s u n s
сүрчиг	s u r t͡ʃʰ i k
сүрэг	s u r ə ɡ
сүх	s u x
сүү	s uː
сүүдэр	s uː t ə r
сүүмэг	s uː m e k
т	tʰ
та	tʰ a
таах	tʰ aː x
тав	tʰ a w̜
тавдугаар	tʰ a w̜ t ʊ ɣ aː r̥
тавигдаагүй	tʰ a w̜ i k t aː k u i̯
тавин	tʰ ɛ w̜ ə ŋ
тавих	tʰ a wʲ ə x
тавхай	tʰ a w x a i
тавь	tʰ a w̜ʲ
тагнуулч	tʰ a k n ʊː ɮ t͡ɕʰ
тайван	tʰ æː w ə̠ ŋ̠
тайга	tʰ ɛː k
тайлбар	tʰ ɛː ɮ p a r̥
такси	tʰ a kʰ s i
талбай	tʰ a ɮ p ɛː
талх	tʰ a ɮ x
тамах	tʰ a m ə x
тамга	tʰ a m ə ɢ
танц	tʰ a n t͡sʰ
тараг	tʰ a r a k
тарвага	tʰ a r w ə ɢ
тархах	tʰ a r x ə x
тархи	tʰ a rʲ xʲ
тас	tʰ a s
таслал	tʰ a s ɮ a ɮ
татаар	tʰ ä tʰ äː r
тахиа	tʰ a x i̯ aː
тахиаг	tʰ a x i̯ aː k
тахиагаар	tʰ a x i̯ aː k aː r̥
тахиагүй	tʰ a x i̯ aː k u i̯
тахиан	tʰ a x i̯ aː ŋ
тахианаас	tʰ a x i̯ aː n aː s
тахианд	tʰ a x i̯ aː n t
тахианууд	tʰ a x i̯ aː n ʊː t
тахиануудаар	tʰ a x i̯ aː n ʊː t aː r̥
тахиануудаас	tʰ a x i̯ aː n ʊː t aː s
тахиануудад	tʰ a x i̯ aː n ʊː t a t
тахиануудгүй	tʰ a x i̯ aː n ʊː t k u i̯
тахиануудтай	tʰ a x i̯ aː n ʊː t tʰ ɛː
тахиануудыг	tʰ a x i̯ aː n ʊː t i k
тахиануудын	tʰ a x i̯ aː n ʊː t i ŋ
тахиануудынх	tʰ a x i̯ aː n ʊː t i ŋ x
тахиануудынхан	tʰ a x i̯ aː n ʊː t i ŋ x a ŋ
тахианы	tʰ a x i̯ aː n i
тахианых	tʰ a x i̯ aː n i x
тахианыхан	tʰ a x i̯ aː n i x a ŋ
тахиар	tʰ a x i̯ aː r̥
тахиараа	tʰ a x i̯ aː r aː
тахиас	tʰ a x i̯ aː s
тахиасаа	tʰ a x i̯ aː s aː
тахиатай	tʰ a x i̯ aː tʰ ɛː
тахид	tʰ a x i t
тахидаа	tʰ a x i t aː
тахийг	tʰ a x iː k
тахийгаа	tʰ a x iː k aː
тахийн	tʰ a x iː ŋ
тахийнх	tʰ a x iː ŋ x
тахийнхаа	tʰ a x iː ŋ x aː
тахийнхан	tʰ a x iː ŋ x a ŋ
тахитай	tʰ a x i tʰ ɛː
тахитайгаа	tʰ a x i tʰ ɛː k aː
тахиуд	tʰ a x i̯ ʊː t
тахиудаа	tʰ a x i̯ ʊː t aː
тахиудаар	tʰ a x i̯ ʊː t aː r̥
тахиудаараа	tʰ a x i̯ ʊː t aː r aː
тахиудаас	tʰ a x i̯ ʊː t aː s
тахиудаасаа	tʰ a x i̯ ʊː t aː s aː
тахиудад	tʰ a x i̯ ʊː t a t
тахиудгүй	tʰ a x i̯ ʊː t k u i̯
тахиудгүйгээ	tʰ a x i̯ ʊː t k u i̯ ɣ eː
тахиуддаа	tʰ a x i̯ ʊː t͉ t aː
тахиудтай	tʰ a x i̯ ʊː t tʰ ɛː
тахиудтайгаа	tʰ a x i̯ ʊː t tʰ ɛː k aː
тахиудыг	tʰ a x i̯ ʊː t i k
тахиудыгаа	tʰ a x i̯ ʊː t i ɣ aː
тахиудын	tʰ a x i̯ ʊː t i ŋ
тахиудынх	tʰ a x i̯ ʊː t i ŋ x
тахиудынхаа	tʰ a x i̯ ʊː t i ŋ x aː
тахиудынхан	tʰ a x i̯ ʊː t i ŋ x a ŋ
тахь	tʰ a xʲ
тахьгүй	tʰ a xʲ k u i̯
тахьгүйгээ	tʰ a xʲ k u i̯ ɣ eː
таяг	tʰ a j ə ɡ
тб	tʰ e r p ʊ m
текст	tʰʲ ɵ kʰ s tʰ
телевиз	tʰʲ ɵ ɮʲ ɵ w̜ i t͡s
телефон	tʰʲ ɵ ɮʲ ɵ f ɔ ŋ
тив	tʰ i w̜
товч	tʰ ɔ w t͡ɕʰ
тоглоом	tʰ ɔ k ɮ oː m
тогооч	tʰ ɔ ɢ ɔː t͡ʃʰ
тогос	tʰ ɔ ɢ ə s
тогтвор	tʰ ɔ k tʰ w̜ ɔ r̥
тогтоол	tʰ ɔ ɡ tʰ ɔ ɮ
тогтоомж	tʰ ɔ ɡ tʰ ɔ m t͡ɕ
тогтоох	tʰ ɔ ɡ tʰ ɔ x
тойруу	tʰ ɔ i r ʊ
толгой	tʰ ɔ ɮ ɢ ɔ i
толь	tʰ ɔ l i
том	tʰ ɔ m
томох	tʰ ɔ m ə x
томсох	tʰ ɔ m s ə x
томьёо	tʰ ɔ m j ɔː
тонн	tʰ ɔ nː
тоншуул	tʰ ɔ ŋ ʃ ʊ ɮ
тоор	tʰ ɔː r
тоормос	tʰ oː r m ɔ s
тоосго	tʰ oː s k
тоосгон	tʰ oː s k ɔ ŋ
тор	tʰ ɔ r̥
торго	tʰ ɔ r ə ɢ
тос	tʰ ɔ s
тосгон	tʰ ɔ s k ɔ ŋ
тоть	tʰ œ tʰ
трактор	tʰ r a kʰ tʰ ə r̥
трамвай	tʰ r a m w̜ ɛː
трансформатор	tʰ r a n s f ɔ r m a tʰ ɔ r̥
троллейбус	tʰ r ɔ ɮːʲ ɵ i̯ β ʊ s
тува	tʰ ʊ w̜ äˑ
туг	tʰ ʊ k
тунадас	tʰ ʊ n t ə s
тунамал	tʰ ʊ n a m a ɮ
туршлага	tʰ ʊ r ʃ ɮ ə ɢ
тусгаарлагч	tʰ ʊ s k aː r ɮ a k t͡ɕʰ
тусламж	tʰ ʊ s ɮ ə m t͡ɕ
туулай	tʰ ʊː ɮ a i
тухай	tʰ ʊ x a i
тухайд	tʰ ʊ x a i t
тухайн	tʰ ʊ χ æː ɴ̟
тэ	tʰ e
тэвнэ	tʰ i w ə n
тэвчих	tʰ e w̜ t͡ɕʰ i x
тэвчээр	tʰ e w̜ t͡ɕʰ eː r̥
тэвэр	tʰ i w ə r
тэд	tʰ e tʰ
тэмдэг	tʰ e m t e k
тэмцэгч	tʰ e m t͡sʰ e ɡ t͡ʃʰ
тэмцэх	tʰ e m t͡sʰ e x
тэмцээн	tʰ e m t͡sʰ eː ŋ
тэмээ	tʰ e m eː
тэмээг	tʰ e m eː k
тэмээгээр	tʰ e m eː k eː r̥
тэмээгүй	tʰ e m eː k u i̯
тэмээн	tʰ e m eː ŋ
тэмээнд	tʰ e m eː n t
тэмээний	tʰ e m eː n iː
тэмээнийх	tʰ e m eː n iː x
тэмээнийхэн	tʰ e m eː n iː x e ŋ
тэмээнээс	tʰ e m eː n eː s
тэмээнүүд	tʰ e m eː n uː t
тэмээнүүдгүй	tʰ e m eː n uː t k u i̯
тэмээнүүдийг	tʰ e m eː n uː t iː k
тэмээнүүдийн	tʰ e m eː n uː t iː ŋ
тэмээнүүдийнх	tʰ e m eː n uː t iː ŋ x
тэмээнүүдийнхэн	tʰ e m eː n uː t iː ŋ x e ŋ
тэмээнүүдтэй	tʰ e m eː n uː t tʰ e i̯
тэмээнүүдэд	tʰ e m eː n uː t e t
