А	a
русло	r u s ɫ o
руснак	r o s n a k
руснаци	r o s n a t͡s i
рутений	r o t ɛ n i j
рутина	r o t i n a
рутина	r o t i n ɐ
рутинен	r o t i n ɛ n
рутя	r u tʲ ɐ
рухо	r u x o
ручава	r o t͡ʃ a̟ v ɐ
ручей	r u t͡ʃ ɛ j
ручейник	r o t͡ʃ ɛ j n i k
ръб	r ɤ p
ръгам	r ɤ ɡ ɐ m
ръгая	r ɐ ɡ a j ɐ
ръдърфордий	r ɐ d ɐ r f ɔ r d i j
ръж	r ɤ ʃ
ръжда	r ɐ ʒ d a
ръждав	r ɐ ʒ d a f
ръжен	r ɐ ʒ ɛ n
ръжен	r ɤ ʒ ɛ n
ръка	r ɐ k a
ръкав	r ɐ k a f
ръкавица	r ɐ k ɐ v i t͡s ɐ
ръководител	r ɐ k o v o d i t ɛ ɫ
ръководство	r ɐ k o v ɔ t s t v o
ръмеж	r ɐ m ɛ ʃ
ръмейки	r ɐ m ɛ j k i
ръмели	r ɐ m ɛ l i
ръмелите	r ɐ m ɛ l i t ɛ
ръмелия	r ɐ m ɛ l i j ɐ
ръмелият	r ɐ m ɛ l i j ɐ t
ръмене	r ɐ m ɛ n ɛ
ръменета	r ɐ m ɛ n ɛ t ɐ
ръменетата	r ɐ m ɛ n ɛ t ɐ t ɐ
ръменето	r ɐ m ɛ n ɛ t o
ръмения	r ɐ m ɛ n i j ɐ
ръменията	r ɐ m ɛ n i j ɐ t ɐ
ръмете	r ɐ m ɛ t ɛ
ръмеше	r ɐ m ɛ ʃ ɛ
ръми	r ɐ m i
ръмим	r ɐ m i m
ръмите	r ɐ m i t ɛ
ръмиш	r ɐ m i ʃ
ръмя	r ɐ mʲ a̟
ръмя	r ɐ mʲ ɤ̟
ръмял	r ɐ mʲ a̟ ɫ
ръмяла	r ɐ mʲ a̟ ɫ ɐ
ръмялата	r ɐ mʲ a̟ ɫ ɐ t ɐ
ръмяло	r ɐ mʲ a̟ ɫ o
ръмялото	r ɐ mʲ a̟ ɫ o t o
ръмят	r ɐ mʲ ɤ̟ t
ръмях	r ɐ mʲ a̟ x
ръмяха	r ɐ mʲ a̟ x ɐ
ръмяхме	r ɐ mʲ a̟ x m ɛ
ръмяхте	r ɐ mʲ a̟ x t ɛ
ръмящ	r ɐ mʲ a̟ ʃ t
ръмяща	r ɐ mʲ a̟ ʃ t ɐ
ръмящата	r ɐ mʲ a̟ ʃ t ɐ t ɐ
ръмящи	r ɐ mʲ a̟ ʃ t i
ръмящите	r ɐ mʲ a̟ ʃ t i t ɛ
ръмящия	r ɐ mʲ a̟ ʃ t i j ɐ
ръмящият	r ɐ mʲ a̟ ʃ t i j ɐ t
ръмящо	r ɐ mʲ a̟ ʃ t o
ръмящото	r ɐ mʲ a̟ ʃ t o t o
ръст	r ɤ s t
ръся	r ɤ sʲ ɐ
рът	r ɤ t
рътя	r ɐ tʲ ɤ̟
ръфам	r ɤ f ɐ m
ръчам	r ɤ t͡ʃ ɐ m
ръчен	r ɤ t͡ʃ ɛ n
рьонтгений	rʲ o̟ n d ɡ ɛ n i j
рядко	rʲ a̟ t k o
рядкост	rʲ a̟ t k o s t
рядък	rʲ a̟ d ɐ k
рязвам	rʲ a̟ z v ɐ m
рязка	rʲ a̟ s k ɐ
рязко	rʲ a̟ s k o
рязна	rʲ a̟ z n ɐ
рязък	rʲ a̟ z ɐ k
ряпа	rʲ a̟ p ɐ
с	s
с	s ɤ
с	z
с'я	sʲ a̟
са	s a
са	s ɤ
сабя	s a bʲ ɐ
савана	s ɐ v a n ɐ
сад	s a t
садя	s ɐ dʲ ɤ̟
сажен	s a ʒ ɛ n
сайдер	s a j d ɛ r
сакам	s a k ɐ m
сако	s ɐ k ɔ
саксия	s ɐ k s i j ɐ
салам	s ɐ ɫ a m
саламандър	s ɐ ɫ ɐ m a n d ɐ r
салата	s a ɫ ɐ t ɐ
салата	s ɐ ɫ a t ɐ
салон	s ɐ ɫ ɔ n
салфетка	s ɐ ɫ f ɛ t k ɐ
сам	s a m
самарий	s ɐ m a r i j
самец	s a m ɛ t͡s
самец	s ɐ m ɛ t͡s
самичък	s ɐ m i t͡ʃ ɐ k
самка	s a m k ɐ
само	s a m o
самовар	s ɐ m o v a r
самолет	s ɐ m o l ɛ t
самолетен	s ɐ m o l ɛ t ɛ n
самоличност	s ɐ m o l i t͡ʃ n o s t
саморасляк	s ɐ m o r a s lʲ ɐ k
самота	s ɐ m o t a
самотен	s ɐ m ɔ t ɛ n
самоубийство	s ɐ m o o b i j s t v o
самун	s ɐ m u n
сандал	s ɐ n d a ɫ
сандвич	s a n d v i t͡ʃ
сандък	s ɐ n d ɤ k
сандъче	s ɐ n d ɤ t͡ʃ ɛ
сантилитър	s ɐ n t i l i t ɐ r
сантиметър	s ɐ n t i m ɛ t ɐ r
сапог	s ɐ p ɔ k
сапун	s ɐ p u n
саркастичен	s ɐ r k ɐ s t i t͡ʃ ɛ n
сарма	s ɐ r m a
сатана	s ɐ t ɐ n a
сатанински	s ɐ t ɐ n i n s k i
сатанистичен	s ɐ t ɐ n i s t i t͡ʃ ɛ n
сатрап	s ɐ t r a p
саудитски	s ɐ o d i t s k i
сафрид	s ɐ f r i t
сблъсък	z b ɫ ɤ s ɐ k
сбогом	z b ɔ ɡ o m
сваля	s v ɐ lʲ a̟
свалям	s v a lʲ ɐ m
сваляч	s v ɐ lʲ a̟ t͡ʃ
свастика	s v a s t i k ɐ
сватба	s v a d b ɐ
сведение	s v ɛ d ɛ n i ɛ
свежест	s v ɛ ʒ ɛ s t
свекър	s v ɛ k ɐ r
свекърва	s v ɛ k ɤ r v ɐ
светещ	s v ɛ t ɛ ʃ t
светилник	s v ɛ t i ɫ n i k
светиня	s v ɛ t i nʲ ɐ
светия	s v ɛ t i j ɐ
светкавица	s v ɛ t k a v i t͡s ɐ
светлик	s v ɛ t l i k
светлина	s v ɛ t l i n a
светлосин	s v ɛ t ɫ o s i n
светлосянка	s v ɛ t ɫ o sʲ a̟ ŋ k ɐ
светлосянката	s v ɛ t ɫ o sʲ a̟ ŋ k ɐ t ɐ
световен	s v ɛ t ɔ v ɛ n
светофар	s v ɛ t o f a r
светски	s v ɛ t s k i
светулка	s v ɛ t u ɫ k ɐ
светъл	s v ɛ t ɐ ɫ
свещ	s v ɛ ʃ t
свещен	s v ɛ ʃ t ɛ n
свещеник	s v ɛ ʃ t ɛ n i k
свещник	s v ɛ ʃ n i k
сви	s v i
свивам	s v i v ɐ m
свидетелство	s v i d ɛ t ɛ ɫ s t v o
свила	s v i ɫ ɐ
свиневъд	s v i n ɛ v ɤ t
свиневъден	s v i n ɛ v ɤ d ɛ n
свинеферма	s v i n ɛ f ɛ r m ɐ
свински	s v i n s k i
свинско	s v i n s k o
свинче	s v i n t͡ʃ ɛ
свинчуго	s v i n t͡ʃ u̟ ɡ o
свиня	s v i nʲ a̟
свира	s v i r ɐ
свирай	s v i r ɐ j
свирайки	s v i r ɐ j k i
свирайте	s v i r ɐ j t ɛ
свирал	s v i r ɐ ɫ
свирала	s v i r ɐ ɫ ɐ
свиралата	s v i r ɐ ɫ ɐ t ɐ
свирали	s v i r ɐ l i
свиралите	s v i r ɐ l i t ɛ
свиралия	s v i r ɐ l i j ɐ
свиралият	s v i r ɐ l i j ɐ t
свирало	s v i r ɐ ɫ o
свиралото	s v i r ɐ ɫ o t o
свирам	s v i r ɐ m
свираме	s v i r ɐ m ɛ
свиран	s v i r ɐ n
свирана	s v i r ɐ n ɐ
свираната	s v i r ɐ n ɐ t ɐ
свиране	s v i r ɐ n ɛ
свиранета	s v i r ɐ n ɛ t ɐ
свиранетата	s v i r ɐ n ɛ t ɐ t ɐ
свирането	s v i r ɐ n ɛ t o
свирани	s v i r ɐ n i
свираните	s v i r ɐ n i t ɛ
свирания	s v i r ɐ n i j ɐ
свираният	s v i r ɐ n i j ɐ t
свиранията	s v i r ɐ n i j ɐ t ɐ
свирано	s v i r ɐ n o
свираното	s v i r ɐ n o t o
свират	s v i r ɐ t
свирате	s v i r ɐ t ɛ
свирах	s v i r ɐ x
свираха	s v i r ɐ x ɐ
свирахме	s v i r ɐ x m ɛ
свирахте	s v i r ɐ x t ɛ
свираш	s v i r ɐ ʃ
свираше	s v i r ɐ ʃ ɛ
свиращ	s v i r ɐ ʃ t
свираща	s v i r ɐ ʃ t ɐ
свиращата	s v i r ɐ ʃ t ɐ t ɐ
свиращи	s v i r ɐ ʃ t i
свиращите	s v i r ɐ ʃ t i t ɛ
свиращия	s v i r ɐ ʃ t i j ɐ
свиращият	s v i r ɐ ʃ t i j ɐ t
свиращо	s v i r ɐ ʃ t o
свиращото	s v i r ɐ ʃ t o t o
свирец	s v i r ɛ t͡s
свирка	s v i r k ɐ
свита	s v i t ɐ
свитък	s v i t ɐ k
свия	s v i j ɐ
свобода	s v o b o d a
свободен	s v o b ɔ d ɛ n
свод	s v ɔ t
свое	s v ɔ ɛ
своето	s v ɔ ɛ t o
свои	s v ɔ i
своите	s v ɔ i t ɛ
свой	s v ɔ j
свойство	s v ɔ j s t v o
свойта	s v ɔ j t ɐ
свойте	s v ɔ j t ɛ
свойто	s v ɔ j t o
сволоч	s v ɔ ɫ o t͡ʃ
своя	s v ɔ j ɐ
своят	s v ɔ j ɐ t
своята	s v ɔ j ɐ t ɐ
свра	s v r ɤ
сврака	s v r a k ɐ
сврат	s v r a t
сврачи	s v r a t͡ʃ i
сврачка	s v r a t͡ʃ k ɐ
свре	s v r ɛ
свредел	s v r ɛ d ɛ ɫ
сврели	s v r ɛ l i
сврелите	s v r ɛ l i t ɛ
сврелия	s v r ɛ l i j ɐ
сврелият	s v r ɛ l i j ɐ t
сврем	s v r ɛ m
сврени	s v r ɛ n i
сврените	s v r ɛ n i t ɛ
сврения	s v r ɛ n i j ɐ
свреният	s v r ɛ n i j ɐ t
сврете	s v r ɛ t ɛ
свреш	s v r ɛ ʃ
свреше	s v r ɛ ʃ ɛ
сври	s v r i
свръхестествен	s v r ɤ x ɛ s t ɛ s t v ɛ n
свръхякане	s v r ɐ xʲ a̟ k ɐ n ɛ
свря	s v rʲ a̟
сврял	s v rʲ a̟ ɫ
свряла	s v rʲ a̟ ɫ ɐ
сврялата	s v rʲ a̟ ɫ ɐ t ɐ
свряло	s v rʲ a̟ ɫ o
сврялото	s v rʲ a̟ ɫ o t o
сврян	s v rʲ a̟ n
свряна	s v rʲ a̟ n ɐ
свряната	s v rʲ a̟ n ɐ t ɐ
свряно	s v rʲ a̟ n o
свряното	s v rʲ a̟ n o t o
сврях	s v rʲ a̟ x
свряха	s v rʲ a̟ x ɐ
свряхме	s v rʲ a̟ x m ɛ
свряхте	s v rʲ a̟ x t ɛ
свързан	s v ɤ r z ɐ n
свърталище	s v ɐ r t a l i ʃ t ɛ
свърша	s v ɤ r ʃ ɐ
свършвам	s v ɤ r ʃ v ɐ m
свършек	s v ɤ r ʃ ɛ k
свян	s vʲ a̟ n
свят	s vʲ a̟ t
святба	s vʲ a̟ d b ɐ
сглоб	z ɡ ɫ ɔ p
сграда	z ɡ r a d ɐ
сгъна	z ɡ ɤ n ɐ
се	s ɛ
себе	s ɛ b ɛ
север	s ɛ v ɛ r
северен	s ɛ v ɛ r ɛ n
северняк	s ɛ v ɛ r nʲ ɐ k
севернячка	s ɛ v ɛ r nʲ ɐ t͡ʃ k ɐ
северняшки	s ɛ v ɛ r nʲ a̟ ʃ k i
северозапад	s ɛ v ɛ r o z a p ɐ t
северозападен	s ɛ v ɛ r o z a p ɐ d ɛ n
североизток	s ɛ v ɛ r o i s t o k
североизточен	s ɛ v ɛ r o i s t o t͡ʃ ɛ n
сега	s ɛ ɡ a
седалище	s ɛ d a l i ʃ t ɛ
седалка	s ɛ d a ɫ k ɐ
седеж	s ɛ d ɛ ʃ
седейки	s ɛ d ɛ j k i
седели	s ɛ d ɛ l i
седелите	s ɛ d ɛ l i t ɛ
седелия	s ɛ d ɛ l i j ɐ
седелият	s ɛ d ɛ l i j ɐ t
седем	s ɛ d ɛ m
седемдесет	s ɛ d ɛ m d ɛ s ɛ t
седемнадесет	s ɛ d ɛ m n a d ɛ s ɛ t
седене	s ɛ d ɛ n ɛ
седенета	s ɛ d ɛ n ɛ t ɐ
седенетата	s ɛ d ɛ n ɛ t ɐ t ɐ
седенето	s ɛ d ɛ n ɛ t o
седения	s ɛ d ɛ n i j ɐ
седенията	s ɛ d ɛ n i j ɐ t ɐ
седете	s ɛ d ɛ t ɛ
седеф	s ɛ d ɛ f
седеше	s ɛ d ɛ ʃ ɛ
седи	s ɛ d i
седим	s ɛ d i m
седите	s ɛ d i t ɛ
седиш	s ɛ d i ʃ
седловина	s ɛ d ɫ o v i n a
седми	s ɛ d m i
седмица	s ɛ d m i t͡s ɐ
седмици	s ɛ d m i t͡s i
седна	s ɛ d n a
седна	s ɛ d n ɐ
седнал	s ɛ d n a ɫ
седнал	s ɛ d n ɐ ɫ
седнала	s ɛ d n a ɫ ɐ
седнала	s ɛ d n ɐ ɫ ɐ
седналата	s ɛ d n a ɫ ɐ t ɐ
седналата	s ɛ d n ɐ ɫ ɐ t ɐ
седнали	s ɛ d n a l i
седнали	s ɛ d n ɐ l i
седналите	s ɛ d n a l i t ɛ
седналите	s ɛ d n ɐ l i t ɛ
седналия	s ɛ d n a l i j ɐ
седналия	s ɛ d n ɐ l i j ɐ
седналият	s ɛ d n a l i j ɐ t
седналият	s ɛ d n ɐ l i j ɐ t
седнало	s ɛ d n a ɫ o
седнало	s ɛ d n ɐ ɫ o
седналото	s ɛ d n a ɫ o t o
седналото	s ɛ d n ɐ ɫ o t o
седнат	s ɛ d n ɐ t
седнах	s ɛ d n a x
седнах	s ɛ d n ɐ x
седнаха	s ɛ d n a x ɐ
седнаха	s ɛ d n ɐ x ɐ
седнахме	s ɛ d n a x m ɛ
седнахме	s ɛ d n ɐ x m ɛ
седнахте	s ɛ d n a x t ɛ
седнахте	s ɛ d n ɐ x t ɛ
седне	s ɛ d n ɛ
седнел	s ɛ d n ɛ ɫ
седнела	s ɛ d n ɛ ɫ ɐ
седнели	s ɛ d n ɛ l i
седнело	s ɛ d n ɛ ɫ o
седнем	s ɛ d n ɛ m
седнете	s ɛ d n ɛ t ɛ
седнех	s ɛ d n ɛ x
седнеха	s ɛ d n ɛ x ɐ
седнехме	s ɛ d n ɛ x m ɛ
седнехте	s ɛ d n ɛ x t ɛ
седнеш	s ɛ d n ɛ ʃ
седнеше	s ɛ d n ɛ ʃ ɛ
седни	s ɛ d n i
седя	s ɛ dʲ a̟
седя	s ɛ dʲ ɤ̟
седял	s ɛ dʲ a̟ ɫ
седяла	s ɛ dʲ a̟ ɫ ɐ
седялата	s ɛ dʲ a̟ ɫ ɐ t ɐ
седяло	s ɛ dʲ a̟ ɫ o
седялото	s ɛ dʲ a̟ ɫ o t o
седят	s ɛ dʲ ɤ̟ t
седях	s ɛ dʲ a̟ x
седяха	s ɛ dʲ a̟ x ɐ
седяхме	s ɛ dʲ a̟ x m ɛ
седяхте	s ɛ dʲ a̟ x t ɛ
седящ	s ɛ dʲ a̟ ʃ t
седяща	s ɛ dʲ a̟ ʃ t ɐ
седящата	s ɛ dʲ a̟ ʃ t ɐ t ɐ
седящи	s ɛ dʲ a̟ ʃ t i
седящите	s ɛ dʲ a̟ ʃ t i t ɛ
седящия	s ɛ dʲ a̟ ʃ t i j ɐ
седящият	s ɛ dʲ a̟ ʃ t i j ɐ t
седящо	s ɛ dʲ a̟ ʃ t o
седящото	s ɛ dʲ a̟ ʃ t o t o
сезон	s ɛ z ɔ n
сезонен	s ɛ z ɔ n ɛ n
сеизмичен	s ɛ i z m i t͡ʃ ɛ n
сеизмичност	s ɛ i z m i t͡ʃ n o s t
сеитба	s ɛ i d b ɐ
сейф	s ɛ j f
сека	s ɛ k ɤ
секат	s ɛ k ɤ t
секач	s ɛ k a t͡ʃ
секвоя	s ɛ k v ɔ j ɐ
секира	s ɛ k i r ɐ
секли	s ɛ k l i
секлите	s ɛ k l i t ɛ
секлия	s ɛ k l i j ɐ
секлият	s ɛ k l i j ɐ t
секс	s ɛ k s
сексапил	s ɛ k s ɐ p i ɫ
сексапилен	s ɛ k s ɐ p i l ɛ n
секси	s ɛ k s i
сексолог	s ɛ k s o ɫ ɔ k
сексологичен	s ɛ k s o ɫ o ɡ i t͡ʃ ɛ n
сексология	s ɛ k s o ɫ ɔ ɡ i j ɐ
сексоложка	s ɛ k s o ɫ ɔ ʃ k ɐ
сексуален	s ɛ k s o a l ɛ n
сексуалност	s ɛ k s o a ɫ n o s t
секуларизъм	s ɛ k o ɫ ɐ r i z ɐ m
секунда	s ɛ k u n d ɐ
села	s ɛ ɫ a
селвия	s ɛ ɫ v i j ɐ
селекционен	s ɛ l ɛ k t͡s i ɔ n ɛ n
селекция	s ɛ l ɛ k t͡s i j ɐ
селен	s ɛ l ɛ n
селище	s ɛ l i ʃ t ɛ
село	s ɛ ɫ o
село	s ɛ ɫ ɔ
селце	s ɛ ɫ t͡s ɛ
селяк	s ɛ lʲ a̟ k
селяндур	s i lʲ ɐ n d u r
селянин	s ɛ lʲ ɐ n i n
семе	s ɛ m ɛ
семеен	s ɛ m ɛ ɛ n
семейство	s ɛ m ɛ j s t v o
сен	s ɛ n
сенатор	s ɛ n a t o r
сено	s ɛ n ɔ
сенокосец	s ɛ n o k ɔ s ɛ t͡s
сепаратистки	s ɛ p ɐ r ɐ t i s k i
септември	s ɛ p t ɛ ɱ v r i
септолитър	s ɛ p t o l i t ɐ r
септометър	s ɛ p t o m ɛ t ɐ r
сера	s ɛ r ɤ
серат	s ɛ r ɤ t
сервитьор	s ɛ r v i tʲ ɔ r
сере	s ɛ r ɛ
серейки	s ɛ r ɛ j k i
серели	s ɛ r ɛ l i
серем	s ɛ r ɛ m
серен	s ɛ r ɛ n
серете	s ɛ r ɛ t ɛ
сереш	s ɛ r ɛ ʃ
сереше	s ɛ r ɛ ʃ ɛ
сери	s ɛ r i
сериозен	s ɛ r i ɔ z ɛ n
сериозно	s ɛ r i ɔ z n o
сериозност	s ɛ r i ɔ z n o s t
серял	s ɛ rʲ a̟ ɫ
серяла	s ɛ rʲ a̟ ɫ ɐ
серяло	s ɛ rʲ a̟ ɫ o
серях	s ɛ rʲ a̟ x
серяха	s ɛ rʲ a̟ x ɐ
серяхме	s ɛ rʲ a̟ x m ɛ
серяхте	s ɛ rʲ a̟ x t ɛ
серящ	s ɛ rʲ a̟ ʃ t
серяща	s ɛ rʲ a̟ ʃ t ɐ
серящата	s ɛ rʲ a̟ ʃ t ɐ t ɐ
серящи	s ɛ rʲ a̟ ʃ t i
серящите	s ɛ rʲ a̟ ʃ t i t ɛ
серящия	s ɛ rʲ a̟ ʃ t i j ɐ
серящият	s ɛ rʲ a̟ ʃ t i j ɐ t
серящо	s ɛ rʲ a̟ ʃ t o
серящото	s ɛ rʲ a̟ ʃ t o t o
сестра	s ɛ s t r a
сестрин	s ɛ s t r i n
сестрински	s ɛ s t r i n s k i
сестрица	s ɛ s t r i t͡s ɐ
сестричка	s ɛ s t r i t͡ʃ k ɐ
сетаметър	s ɛ t ɐ m ɛ t ɐ r
сетен	s ɛ t ɛ n
сетиво	s ɛ t i v ɔ
сетувам	s ɛ t u v ɐ m
сецам	s ɛ t͡s ɐ m
сечал	s ɛ t͡ʃ a̟ ɫ
сечала	s ɛ t͡ʃ a̟ ɫ ɐ
сечали	s ɛ t͡ʃ a̟ l i
сечало	s ɛ t͡ʃ a̟ ɫ o
сечах	s ɛ t͡ʃ a̟ x
сечаха	s ɛ t͡ʃ a̟ x ɐ
сечахме	s ɛ t͡ʃ a̟ x m ɛ
сечахте	s ɛ t͡ʃ a̟ x t ɛ
сечащ	s ɛ t͡ʃ a̟ ʃ t
сечаща	s ɛ t͡ʃ a̟ ʃ t ɐ
сечащата	s ɛ t͡ʃ a̟ ʃ t ɐ t ɐ
сечащи	s ɛ t͡ʃ a̟ ʃ t i
сечащите	s ɛ t͡ʃ a̟ ʃ t i t ɛ
сечащия	s ɛ t͡ʃ a̟ ʃ t i j ɐ
сечащият	s ɛ t͡ʃ a̟ ʃ t i j ɐ t
сечащо	s ɛ t͡ʃ a̟ ʃ t o
сечащото	s ɛ t͡ʃ a̟ ʃ t o t o
сече	s ɛ t͡ʃ ɛ
сечейки	s ɛ t͡ʃ ɛ j k i
сечел	s ɛ t͡ʃ ɛ ɫ
сечела	s ɛ t͡ʃ ɛ ɫ ɐ
сечели	s ɛ t͡ʃ ɛ l i
сечело	s ɛ t͡ʃ ɛ ɫ o
сечем	s ɛ t͡ʃ ɛ m
сечен	s ɛ t͡ʃ ɛ n
сечена	s ɛ t͡ʃ ɛ n ɐ
сечената	s ɛ t͡ʃ ɛ n ɐ t ɐ
сечене	s ɛ t͡ʃ ɛ n ɛ
сеченета	s ɛ t͡ʃ ɛ n ɛ t ɐ
сеченетата	s ɛ t͡ʃ ɛ n ɛ t ɐ t ɐ
сеченето	s ɛ t͡ʃ ɛ n ɛ t o
сечени	s ɛ t͡ʃ ɛ n i
сечените	s ɛ t͡ʃ ɛ n i t ɛ
сечения	s ɛ t͡ʃ ɛ n i j ɐ
сеченият	s ɛ t͡ʃ ɛ n i j ɐ t
сеченията	s ɛ t͡ʃ ɛ n i j ɐ t ɐ
сечено	s ɛ t͡ʃ ɛ n o
сеченото	s ɛ t͡ʃ ɛ n o t o
сечете	s ɛ t͡ʃ ɛ t ɛ
сечех	s ɛ t͡ʃ ɛ x
сечеха	s ɛ t͡ʃ ɛ x ɐ
сечехме	s ɛ t͡ʃ ɛ x m ɛ
сечехте	s ɛ t͡ʃ ɛ x t ɛ
сечеш	s ɛ t͡ʃ ɛ ʃ
сечеше	s ɛ t͡ʃ ɛ ʃ ɛ
сечи	s ɛ t͡ʃ i
сечиво	s ɛ t͡ʃ i v ɔ
сечко	s ɛ t͡ʃ k o
сечца	s ɛ t͡ʃ t͡s a
сешоар	s ɛ ʃ o̟ a r
сея	s ɛ j ɐ
сеяч	s ɛ j a̟ t͡ʃ
си	s i
сиборгий	s i b ɔ r ɡ i j
сив	s i f
сивкав	s i f k ɐ f
сигурен	s i ɡ o r ɛ n
сигурно	s i ɡ o r n o
сигурност	s i ɡ o r n o s t
сикам	s i k ɐ m
сил	s i ɫ
сила	s i ɫ ɐ
силен	s i l ɛ n
сили	s i l i
силиций	s i l i t͡s i j
силно	s i ɫ n o
силовак	s i ɫ o v a k
симфония	s i ɱ f ɔ n i j ɐ
син	s i n
синагога	s i n ɐ ɡ ɔ ɡ ɐ
синигер	s i n i ɡ ɛ r
синигерче	s i n i ɡ ɛ r t͡ʃ ɛ
синкав	s i ŋ k ɐ f
синус	s i n o s
синхронизационен	s i n x r o n i z ɐ t͡s i ɔ n ɛ n
синхронизация	s i n x r o n i z a t͡s i j ɐ
синчец	s i n t͡ʃ ɛ t͡s
синьо	s i nʲ o̟
синьогушка	s i nʲ o̟ ɡ u ʃ k ɐ
синявица	s i nʲ a̟ v i t͡s ɐ
сипей	s i p ɛ j
сипка	s i p k ɐ
сипкав	s i p k ɐ f
сирак	s i r a k
сирената	s i r ɛ n a t ɐ
сирене	s i r ɛ n ɛ
сиреч	s i r ɛ t͡ʃ
сириец	s i r i ɛ t͡s
сирийка	s i r i j k ɐ
сирийски	s i r i j s k i
сиромах	s i r o m a x
сиромахкиня	s i r o m ɐ x k i nʲ ɐ
сиромашия	s i r o m ɐ ʃ i j ɐ
система	s i s t ɛ m ɐ
сит	s i t
ситен	s i t ɛ n
ситнеж	s i t n ɛ ʃ
сито	s i t o
сия	s i j a̟
сияе	s i j a̟ ɛ
сияейки	s i j a̟ ɛ j k i
сияел	s i j a̟ ɛ ɫ
сияела	s i j a̟ ɛ ɫ ɐ
сияели	s i j a̟ ɛ l i
сияело	s i j a̟ ɛ ɫ o
сияем	s i j a̟ ɛ m
сияене	s i j a̟ ɛ n ɛ
сияенета	s i j a̟ ɛ n ɛ t ɐ
сияенето	s i j a̟ ɛ n ɛ t o
сияения	s i j a̟ ɛ n i j ɐ
сияенията	s i j a̟ ɛ n i j ɐ t ɐ
сияете	s i j a̟ ɛ t ɛ
сияех	s i j a̟ ɛ x
сияеха	s i j a̟ ɛ x ɐ
сияехме	s i j a̟ ɛ x m ɛ
сияехте	s i j a̟ ɛ x t ɛ
сияеш	s i j a̟ ɛ ʃ
сияеше	s i j a̟ ɛ ʃ ɛ
сияещ	s i j a̟ ɛ ʃ t
сияеща	s i j a̟ ɛ ʃ t ɐ
сияещата	s i j a̟ ɛ ʃ t ɐ t ɐ
сияещи	s i j a̟ ɛ ʃ t i
сияещите	s i j a̟ ɛ ʃ t i t ɛ
сияещия	s i j a̟ ɛ ʃ t i j ɐ
сияещият	s i j a̟ ɛ ʃ t i j ɐ t
сияещо	s i j a̟ ɛ ʃ t o
сияещото	s i j a̟ ɛ ʃ t o t o
сияй	s i j a̟ j
сияйте	s i j a̟ j t ɛ
сиял	s i j a̟ ɫ
сияла	s i j a̟ ɫ ɐ
сиялата	s i j a̟ ɫ ɐ t ɐ
сияли	s i j a̟ l i
сиялите	s i j a̟ l i t ɛ
сиялия	s i j a̟ l i j ɐ
сиялият	s i j a̟ l i j ɐ t
сияло	s i j a̟ ɫ o
сиялото	s i j a̟ ɫ o t o
сияне	s i j a̟ n ɛ
сиянета	s i j a̟ n ɛ t ɐ
сиянетата	s i j a̟ n ɛ t ɐ t ɐ
сиянето	s i j a̟ n ɛ t o
сияния	s i j a̟ n i j ɐ
сиянията	s i j a̟ n i j ɐ t ɐ
сиях	s i j a̟ x
сияха	s i j a̟ x ɐ
сияхме	s i j a̟ x m ɛ
сияхте	s i j a̟ x t ɛ
сияя	s i j a̟ j ɐ
сияят	s i j a̟ j ɐ t
сказуемен	s k ɐ z u ɛ m ɛ n
сказуемо	s k ɐ z u ɛ m o
скакавица	s k ɐ k a v i t͡s ɐ
скакалец	s k ɐ k ɐ l ɛ t͡s
скалист	s k ɐ l i s t
скалолазка	s k ɐ ɫ o ɫ a s k ɐ
скандий	s k a n d i j
скапаняк	s k ɐ p ɐ nʲ a̟ k
скара	s k a r ɐ
скарабей	s k ɐ r ɐ b ɛ j
скатия	s k ɐ t i j ɐ
скатяга	s k ɐ tʲ a̟ ɡ ɐ
скачам	s k a t͡ʃ ɐ m
скачач	s k ɐ t͡ʃ a̟ t͡ʃ
скверен	s k v ɛ r ɛ n
сквозе	s k v ɔ z ɛ
скептицизъм	s k ɛ p t i t͡s i z ɐ m
скилидка	s k i l i t k ɐ
скимтя	s k i m tʲ a̟
скитам	s k i t ɐ m
склад	s k ɫ a t
склон	s k ɫ ɔ n
склонен	s k ɫ ɔ n ɛ n
склонение	s k ɫ o n ɛ n i ɛ
склонност	s k ɫ ɔ n n o s t
склоп	s k ɫ ɔ p
скобел	s k ɔ b ɛ ɫ
сковран	s k ɔ v r ɐ n
сковранец	s k o v r a n ɛ t͡s
скок	s k ɔ k
скокот	s k ɔ k o t
скокощя	s k o k ɔ ʃ tʲ ɐ
скор	s k ɔ r
скорец	s k o r ɛ t͡s
скоро	s k ɔ r o
скорост	s k ɔ r o s t
скорошен	s k ɔ r o ʃ ɛ n
скорпион	s k o r p i ɔ n
скорпиони	s k o r p i ɔ n i
скорпионница	s k o r p i ɔ n n i t͡s ɐ
скоча	s k ɔ t͡ʃ ɐ
скрапей	s k r a p ɛ j
скреж	s k r ɛ ʃ
скрежав	s k r ɛ ʒ ɐ f
скривалище	s k r i v a l i ʃ t ɛ
скривам	s k r i v ɐ m
скривш	s k r i f ʃ
скрип	s k r i p
скрипец	s k r i p ɛ t͡s
скрипя	s k r i pʲ a̟
скрипя	s k r i pʲ ɐ
скрипя	s k r i pʲ ɤ̟
скришом	s k r i ʃ o̟ m
