Є	j ɛ
случаю	s l u t͡ʃ a j u
случиц	s l u t͡ʃ i t͡s
случовац	s l u t͡ʃ ɔ v a t͡s
смак	s m a k
смараґд	s m a r a k t
смараґдни	s m a r a ɡ d n i
смараґдов	s m a r a ɡ d ɔ w
смараґдови	s m a r a ɡ d ɔ v i
смачни	s m a t͡ʃ n i
смачного	s m a t͡ʃ n ɔ ɦ ɔ
смертельни	s m ɛ r t ɛ ʎ n i
смертельно	s m ɛ r t ɛ ʎ n ɔ
смертельносц	s m ɛ r t ɛ ʎ n ɔ s t͡s
смисел	s m i s ɛ l
смислами	s m i s l a m i
смокинґ	s m ɔ k i ŋ k
смотра	s m ɔ t r a
снами	s n a m i
собота	s ɔ b ɔ t a
соботами	s ɔ b ɔ t a m i
соботови	s ɔ b ɔ t ɔ v i
собу	s ɔ b u
сова	s ɔ v a
совисни	s ɔ v i s n i
совисно	s ɔ v i s n ɔ
совисносц	s ɔ v i s n ɔ s t͡s
совисц	s ɔ v i s t͡s
совит	s ɔ v i t
совитами	s ɔ v i t a m i
совитнїк	s ɔ v i c ɲ i k
совитнїца	s ɔ v i c ɲ i t͡s a
совитнїцки	s ɔ v i c ɲ i t͡s k i
совитовалїще	s ɔ v i t ɔ v a ʎ i ʃ t͡ʃ ɛ
совитованє	s ɔ v i t ɔ v a ɲ ɛ
совитовац	s ɔ v i t ɔ v a t͡s
совитодавец	s ɔ v i t ɔ d a v ɛ t͡s
совитодавка	s ɔ v i t ɔ d a w k a
совитодавни	s ɔ v i t ɔ d a w n i
совєтски	s ɔ v j ɛ t s k i
сограждан	s ɔ ɦ r a ʒ d a n
сок	s ɔ k
солитер	s ɔ l i t ɛ r
соловей	s ɔ l ɔ v ɛ j
соловейко	s ɔ l ɔ v ɛ j k ɔ
соловейов	s ɔ l ɔ v ɛ j ɔ w
соловейчок	s ɔ l ɔ v ɛ j t͡ʃ ɔ k
соль	s ɔ ʎ
сом	s ɔ m
сон	s ɔ n
сообщени	s ɔ ɔ p ʃ t͡ʃ ɛ n i
сообщенє	s ɔ ɔ p ʃ t͡ʃ ɛ ɲ ɛ
сообщиц	s ɔ ɔ p ʃ t͡ʃ i t͡s
сообщовац	s ɔ ɔ p ʃ t͡ʃ ɔ v a t͡s
сообщуюци	s ɔ ɔ p ʃ t͡ʃ u j u t͡s i
софт	s ɔ f t
сочни	s ɔ t͡ʃ n i
союз	s ɔ j u s
союзами	s ɔ j u z a m i
союзни	s ɔ j u z n i
союзнїк	s ɔ j u z ɲ i k
союзнїца	s ɔ j u z ɲ i t͡s a
союзнїцки	s ɔ j u z ɲ i t͡s k i
союзнїцтво	s ɔ j u z ɲ i t͡s t v ɔ
спадзиско	s p a d͡z i s k ɔ
спаднути	s p a d n u t i
спаднуц	s p a d n u t͡s
спаднуце	s p a d n u t͡s ɛ
спак	s p a k
спальня	s p a ʎ ɲ a
спац	s p a t͡s
сподзивац	s p ɔ d͡z i v a t͡s
споза	s p ɔ z a
спомедзи	s p ɔ m ɛ d͡z i
спорт	s p ɔ r t
спортист	s p ɔ r t i s t
спортиста	s p ɔ r t i s t a
спортистка	s p ɔ r t i s t k a
спортски	s p ɔ r t s k i
способ	s p ɔ s ɔ p
способни	s p ɔ s ɔ b n i
способносц	s p ɔ s ɔ b n ɔ s t͡s
спочатку	s p ɔ t͡ʃ a t k u
справа	s p r a v a
справованє	s p r a v ɔ v a ɲ ɛ
справовац	s p r a v ɔ v a t͡s
спрам	s p r a m
спреводзка	s p r ɛ v ɔ t͡s k a
спреводзкош	s p r ɛ v ɔ t͡s k ɔ ʃ
спричиньовац	s p r i t͡ʃ i ɲ ɔ v a t͡s
спричинїц	s p r i t͡ʃ i ɲ i t͡s
средство	s r ɛ t s t v ɔ
сримски	s r i m s k i
ст'юард	s t j u a r t
ст'юардеса	s t j u a r d ɛ s a
ставац	s t a v a t͡s
стамадз	s t a m a t͡s
стамболски	s t a m b ɔ l s k i
стандард	s t a n d a r t
стандардни	s t a n d a r d n i
стандардно	s t a n d a r d n ɔ
стануц	s t a n u t͡s
станїца	s t a ɲ i t͡s a
стареньки	s t a r ɛ ɲ k i
стари	s t a r i
статок	s t a t ɔ k
статя	s t a c a
статями	s t a c a m i
стац	s t a t͡s
ствар	s t v a r
стварами	s t v a r a m i
ствари	s t v a r i
стварни	s t v a r n i
стварно	s t v a r n ɔ
стварносц	s t v a r n ɔ s t͡s
стил	s t i l
стина	s t i n a
стинови	s t i n ɔ v i
стиновити	s t i n ɔ v i t i
сто	s t ɔ
стол	s t ɔ l
столє	s t ɔ ʎ ɛ
столїк	s t ɔ ʎ i k
столїтиє	s t ɔ ʎ i t i j ɛ
стоти	s t ɔ t i
стоцецме	s t ɔ t͡s ɛ t͡s m ɛ
стоя	s t ɔ j a
стої	s t ɔ j i
стоїм	s t ɔ j i m
стоїме	s t ɔ j i m ɛ
стоїце	s t ɔ j i t͡s ɛ
стоїш	s t ɔ j i ʃ
страна	s t r a n a
странка	s t r a ŋ k a
странкови	s t r a n k ɔ v i
страхопочитованє	s t r a x ɔ p ɔ t͡ʃ i t ɔ v a ɲ ɛ
стред	s t r ɛ t
стреда	s t r ɛ d a
стредами	s t r ɛ d a m i
стрес	s t r ɛ s
стресни	s t r ɛ s n i
стретнуц	s t r ɛ t n u t͡s
стретнуце	s t r ɛ t n u t͡s ɛ
стриберни	s t r i b ɛ r n i
стрибло	s t r i b l ɔ
стриблови	s t r i b l ɔ v i
стрико	s t r i k ɔ
стрикове	s t r i k ɔ v ɛ
структура	s t r u k t u r a
структурни	s t r u k t u r n i
струя	s t r u j a
струями	s t r u j a m i
струї	s t r u j i
студент	s t u d ɛ n t
студентка	s t u d ɛ n t k a
студентски	s t u d ɛ n t s k i
студийни	s t u d i j n i
студийски	s t u d i j s k i
студио	s t u d i j ɔ
студио	s t u d i ɔ
студия	s t u d i j a
студньови	s t u ɟ ɲ ɔ v i
студня	s t u ɟ ɲ a
ступай	s t u p a j
ступац	s t u p a t͡s
ступень	s t u p ɛ ɲ
ступиц	s t u p i t͡s
ступнями	s t u p ɲ a m i
су	s u
суботицки	s u b ɔ t i t͡s k i
суд	s u t
судзена	s u d͡z ɛ n a
судзене	s u d͡z ɛ n ɛ
судзени	s u d͡z ɛ n i
судзенє	s u d͡z ɛ ɲ ɛ
судзина	s u d͡z i n a
судзинка	s u d͡z i ŋ k a
судзиц	s u d͡z i t͡s
судийове	s u d i j ɔ v ɛ
судийски	s u d i j s k i
судия	s u d i j a
судни	s u d n i
суднїца	s u ɟ ɲ i t͡s a
судски	s u t s k i
судство	s u t s t v ɔ
судьба	s u ɟ b a
сука	s u k a
сукня	s u k ɲ a
суньоґа	s u ɲ ɔ ɡ a
сунякалов	s u ɲ a k a l ɔ w
суп	s u p
супермаркет	s u p ɛ r m a r k ɛ t
суперсила	s u p ɛ r s i l a
супруг	s u p r u x
супруга	s u p r u ɦ a
супружески	s u p r u ʒ ɛ s k i
супружество	s u p r u ʒ ɛ s t v ɔ
супружнїк	s u p r u ʒ ɲ i k
супружнїцки	s u p r u ʒ ɲ i t͡s k i
сухи	s u x i
сучасни	s u t͡ʃ a s n i
сушед	s u ʃ ɛ t
сушеда	s u ʃ ɛ d a
сушедами	s u ʃ ɛ d a m i
сушедзин	s u ʃ ɛ d͡z i n
сушеди	s u ʃ ɛ d i
сушедни	s u ʃ ɛ d n i
сушедов	s u ʃ ɛ d ɔ w
сушедове	s u ʃ ɛ d ɔ v ɛ
сушедово	s u ʃ ɛ d ɔ v ɔ
сушедски	s u ʃ ɛ t s k i
сушедство	s u ʃ ɛ t s t v ɔ
существами	s u ʃ t͡ʃ ɛ s t v a m i
существо	s u ʃ t͡ʃ ɛ s t v ɔ
существованє	s u ʃ t͡ʃ ɛ s t v ɔ v a ɲ ɛ
существовац	s u ʃ t͡ʃ ɛ s t v ɔ v a t͡s
сущни	s u ʃ t͡ʃ n i
сущно	s u ʃ t͡ʃ n ɔ
сущносц	s u ʃ t͡ʃ n ɔ s t͡s
сущносци	s u ʃ t͡ʃ n ɔ s t͡s i
схадзка	s x a t͡s k a
схадзками	s x a t͡s k a m i
схопни	s x ɔ p n i
схопносц	s x ɔ p n ɔ s t͡s
сце	s t͡s ɛ
сцем	s t͡s ɛ m
сцеме	s t͡s ɛ m ɛ
сцец	s t͡s ɛ t͡s
сцеце	s t͡s ɛ t͡s ɛ
сцеш	s t͡s ɛ ʃ
сцигнуц	s t͡s i ɦ n u t͡s
сциговац	s t͡s i ɦ ɔ v a t͡s
сцу	s t͡s u
т	t
та	t a
табла	t a b l a
таблїчка	t a b ʎ i t͡ʃ k a
тадзи	t a d͡z i
тайландски	t a j l a n t s k i
тайна	t a j n a
тайни	t a j n i
тайно	t a j n ɔ
тайфун	t a j f u n
так	t a k
такволани	t a k v ɔ l a n i
таки	t a k i
такой	t a k ɔ j
такси	t a k s i
таксирац	t a k s i r a t͡s
таксист	t a k s i s t
таксиста	t a k s i s t a
таксия	t a k s i j a
талиянски	t a l i j a n s k i
там	t a m
тамадз	t a m a t͡s
тамтейши	t a m t ɛ j ʃ i
танцовац	t a n t͡s ɔ v a t͡s
танцош	t a n t͡s ɔ ʃ
танцошка	t a n t͡s ɔ ʃ k a
танєр	t a ɲ ɛ r
танєц	t a ɲ ɛ t͡s
тапетар	t a p ɛ t a r
тарґ	t a r k
тарґовец	t a r ɡ ɔ v ɛ t͡s
тарґовецки	t a r ɡ ɔ v ɛ t͡s k i
тарґовина	t a r ɡ ɔ v i n a
тарґовински	t a r ɡ ɔ v i n s k i
тарґовище	t a r ɡ ɔ v i ʃ t͡ʃ ɛ
тарґовищни	t a r ɡ ɔ v i ʃ t͡ʃ n i
тарґовищов	t a r ɡ ɔ v i ʃ t͡ʃ ɔ w
тарґовкиня	t a r ɡ ɔ w k i ɲ a
тастатура	t a s t a t u r a
тато	t a t ɔ
татов	t a t ɔ w
татове	t a t ɔ v ɛ
татови	t a t ɔ v i
таще	t a ʃ t͡ʃ ɛ
тащи	t a ʃ t͡ʃ i
тащков	t a ʃ t͡ʃ k ɔ w
тащок	t a ʃ t͡ʃ ɔ k
твар	t v a r
твариска	t v a r i s k a
тварови	t v a r ɔ v i
тварочка	t v a r ɔ t͡ʃ k a
твердиня	t v ɛ r d i ɲ a
твой	t v ɔ j
твойо	t v ɔ j ɔ
твойого	t v ɔ j ɔ ɦ ɔ
твойому	t v ɔ j ɔ m u
твор	t v ɔ r
творенє	t v ɔ r ɛ ɲ ɛ
творец	t v ɔ r ɛ t͡s
творитель	t v ɔ r i t ɛ ʎ
творителька	t v ɔ r i t ɛ ʎ k a
творительни	t v ɔ r i t ɛ ʎ n i
творительно	t v ɔ r i t ɛ ʎ n ɔ
творительство	t v ɔ r i t ɛ ʎ s t v ɔ
твориц	t v ɔ r i t͡s
творчи	t v ɔ r t͡ʃ i
творчо	t v ɔ r t͡ʃ ɔ
творчосц	t v ɔ r t͡ʃ ɔ s t͡s
творя	t v ɔ r j a
твою	t v ɔ j u
твоя	t v ɔ j a
твоєй	t v ɔ j ɛ j
твоїм	t v ɔ j i m
твоїма	t v ɔ j i m a
твоїх	t v ɔ j i x
тебе	t ɛ b ɛ
теди	t ɛ d i
телеграма	t ɛ l ɛ ɦ r a m a
телеграмами	t ɛ l ɛ ɦ r a m a m i
телеграми	t ɛ l ɛ ɦ r a m i
телефон	t ɛ l ɛ f ɔ n
тельо	t ɛ ʎ ɔ
телї	t ɛ ʎ i
тема	t ɛ m a
теметов	t ɛ m ɛ t ɔ w
теметова	t ɛ m ɛ t ɔ v a
теметове	t ɛ m ɛ t ɔ v ɛ
теметови	t ɛ m ɛ t ɔ v i
теметовски	t ɛ m ɛ t ɔ w s k i
тераз	t ɛ r a s
терашньосц	t ɛ r a ʃ ɲ ɔ s t͡s
терашнї	t ɛ r a ʃ ɲ i
терен	t ɛ r ɛ n
теренски	t ɛ r ɛ n s k i
теренєц	t ɛ r ɛ ɲ ɛ t͡s
технолоґ	t ɛ x n ɔ l ɔ k
технолоґийни	t ɛ x n ɔ l ɔ ɡ i j n i
технолоґия	t ɛ x n ɔ l ɔ ɡ i j a
технолоґове	t ɛ x n ɔ l ɔ ɡ ɔ v ɛ
технїка	t ɛ x ɲ i k a
технїчар	t ɛ x ɲ i t͡ʃ a r
технїчарка	t ɛ x ɲ i t͡ʃ a r k a
технїчни	t ɛ x ɲ i t͡ʃ n i
технїчно	t ɛ x ɲ i t͡ʃ n ɔ
тея	t ɛ j a
ти	t i
тидзень	t i d͡z ɛ ɲ
тиж	t i ʃ
тижньове	t i ʒ ɲ ɔ v ɛ
тижньови	t i ʒ ɲ ɔ v i
тижньово	t i ʒ ɲ ɔ v ɔ
тижнями	t i ʒ ɲ a m i
тим	t i m
тинейджер	t i n ɛ j d͡ʒ ɛ r
тинейджерски	t i n ɛ j d͡ʒ ɛ r s k i
тирванє	t i r v a ɲ ɛ
тирвац	t i r v a t͡s
тирваци	t i r v a t͡s i
тирвацо	t i r v a t͡s ɔ
тирвацосц	t i r v a t͡s ɔ s t͡s
тиски	t i s k i
тисяч	t i s j a t͡ʃ
тисяча	t i s j a t͡ʃ a
тисячити	t i s j a t͡ʃ i t i
тисячка	t i s j a t͡ʃ k a
тисячни	t i s j a t͡ʃ n i
тишлїр	t i ʃ ʎ i r
тишлїрски	t i ʃ ʎ i r s k i
тиґрица	t i ɡ r i t͡s a
тиґриш	t i ɡ r i ʃ
тиґришов	t i ɡ r i ʃ ɔ w
тиґрище	t i ɡ r i ʃ t͡ʃ ɛ
тиґрищок	t i ɡ r i ʃ t͡ʃ ɔ k
тлусти	t l u s t i
то	t ɔ
тобу	t ɔ b u
товариш	t ɔ v a r i ʃ
товариша	t ɔ v a r i ʃ a
товаришами	t ɔ v a r i ʃ a m i
товарише	t ɔ v a r i ʃ ɛ
товаришка	t ɔ v a r i ʃ k a
товаришох	t ɔ v a r i ʃ ɔ x
товаришски	t ɔ v a r i ʃ s k i
товаришство	t ɔ v a r i ʃ s t v ɔ
того	t ɔ ɦ ɔ
тогорочни	t ɔ ɦ ɔ r ɔ t͡ʃ n i
тогорочного	t ɔ ɦ ɔ r ɔ t͡ʃ n ɔ ɦ ɔ
толвай	t ɔ l v a j
толвайство	t ɔ l v a j s t v ɔ
толваями	t ɔ l v a j a m i
тому	t ɔ m u
тополя	t ɔ p ɔ ʎ a
топя	t ɔ p j a
торта	t ɔ r t a
тот	t ɔ t
точка	t ɔ t͡ʃ k a
точни	t ɔ t͡ʃ n i
точно	t ɔ t͡ʃ n ɔ
точносц	t ɔ t͡ʃ n ɔ s t͡s
трава	t r a v a
трактор	t r a k t ɔ r
тракторист	t r a k t ɔ r i s t
тракториста	t r a k t ɔ r i s t a
тракторски	t r a k t ɔ r s k i
трамвай	t r a m v a j
транспортнїца	t r a n s p ɔ r c ɲ i t͡s a
транспортнїцами	t r a n s p ɔ r c ɲ i t͡s a m i
трапеза	t r a p ɛ z a
трапезни	t r a p ɛ z n i
трапезно	t r a p ɛ z n ɔ
трафиц	t r a f i t͡s
трафя	t r a f j a
трафяц	t r a f j a t͡s
траєкт	t r a j ɛ k t
траґедия	t r a ɡ ɛ d i j a
траґични	t r a ɡ i t͡ʃ n i
траґично	t r a ɡ i t͡ʃ n ɔ
треба	t r ɛ b a
требац	t r ɛ b a t͡s
требиконїна	t r ɛ b i k ɔ ɲ i n a
требиконїнов	t r ɛ b i k ɔ ɲ i n ɔ w
тренинґ	t r ɛ n i ŋ k
третман	t r ɛ t m a n
треци	t r ɛ t͡s i
три	t r i
триков	t r i k ɔ w
трикови	t r i k ɔ v i
триманє	t r i m a ɲ ɛ
тримац	t r i m a t͡s
тринасти	t r i n a s t i
тринац	t r i n a t͡s
трицети	t r i t͡s ɛ t i
трицец	t r i t͡s ɛ t͡s
тройо	t r ɔ j ɔ
тролейбус	t r ɔ l ɛ j b u s
тролейбуски	t r ɔ l ɛ j b u s k i
троме	t r ɔ m ɛ
троугелнїк	t r ɔ u ɦ ɛ ʎ ɲ i k
троугелнїками	t r ɔ u ɦ ɛ ʎ ɲ i k a m i
труба	t r u b a
трубач	t r u b a t͡ʃ
труби	t r u b i
трубиц	t r u b i t͡s
ту	t u
тулїпан	t u ʎ i p a n
тунше	t u ɲ ʃ ɛ
тунши	t u ɲ ʃ i
туньо	t u ɲ ɔ
туньосц	t u ɲ ɔ s t͡s
туньше	t u ɲ ʃ ɛ
туньши	t u ɲ ʃ i
тунї	t u ɲ i
турецки	t u r ɛ t͡s k i
туризем	t u r i z ɛ m
туризм	t u r i z m̩
турист	t u r i s t
туриста	t u r i s t a
туристични	t u r i s t i t͡ʃ n i
туристка	t u r i s t k a
турня	t u r ɲ a
турска	t u r s k a
турски	t u r s k i
тутейши	t u t ɛ j ʃ i
тутешнї	t u t ɛ ʃ ɲ i
туш	t u ʃ
туширац	t u ʃ i r a t͡s
тїлесни	c i l ɛ s n i
тїло	c i l ɔ
у	u
увага	u v a ɦ a
уверени	u v ɛ r ɛ n i
уверенє	u v ɛ r ɛ ɲ ɛ
увериц	u v ɛ r i t͡s
угел	u ɦ ɛ l
угель	u ɦ ɛ ʎ
углавним	u ɦ l a w n i m
углов	u ɦ l ɔ w
угльов	u ɦ ʎ ɔ w
угльоводонїк	u ɦ ʎ ɔ v ɔ d ɔ ɲ i k
угльоводонїками	u ɦ ʎ ɔ v ɔ d ɔ ɲ i k a m i
углє	u ɦ ʎ ɛ
углєнїк	u ɦ ʎ ɛ ɲ i k
угорски	u ɦ ɔ r s k i
удян	u ɟ a n
уж	u ʃ
ужас	u ʒ a s
ужасни	u ʒ a s n i
ужгородски	u ʒ ɦ ɔ r ɔ t s k i
узки	u s k i
узкоколяйови	u s k ɔ k ɔ ʎ a j ɔ v i
уйко	u j k ɔ
уйкове	u j k ɔ v ɛ
уйо	u j ɔ
українски	u k r a j i n s k i
улїца	u ʎ i t͡s a
умарти	u m a r t i
умерац	u m ɛ r a t͡s
уметносц	u m ɛ t n ɔ s t͡s
уметнїк	u m ɛ c ɲ i k
уметнїками	u m ɛ c ɲ i k a m i
уметнїца	u m ɛ c ɲ i t͡s a
уметнїцки	u m ɛ c ɲ i t͡s k i
умиренє	u m i r ɛ ɲ ɛ
умириц	u m i r i t͡s
умирйовац	u m i r j ɔ v a t͡s
умножиц	u m n ɔ ʒ i t͡s
умножовац	u m n ɔ ʒ ɔ v a t͡s
умрец	u m r ɛ t͡s
умреце	u m r ɛ t͡s ɛ
унапрямиц	u n a p r j a m i t͡s
унапрямовац	u n a p r j a m ɔ v a t͡s
универзитет	u n i v ɛ r z i t ɛ t
универзитетски	u n i v ɛ r z i t ɛ t s k i
унук	u n u k
унука	u n u k a
унучатко	u n u t͡ʃ a t k ɔ
унуче	u n u t͡ʃ ɛ
унучка	u n u t͡ʃ k a
унучок	u n u t͡ʃ ɔ k
упечени	u p ɛ t͡ʃ ɛ n i
упечиц	u p ɛ t͡ʃ i t͡s
уплїв	u p ʎ i w
уплївни	u p ʎ i w n i
уплївовац	u p ʎ i v ɔ v a t͡s
уровень	u r ɔ v ɛ ɲ
уровнями	u r ɔ w ɲ a m i
урожай	u r ɔ ʒ a j
урожаями	u r ɔ ʒ a j a m i
уряд	u r j a t
уряднїк	u r j a ɟ ɲ i k
уряднїца	u r j a ɟ ɲ i t͡s a
уряднїцки	u r j a ɟ ɲ i t͡s k i
уряднїцтво	u r j a ɟ ɲ i t͡s t v ɔ
урядов	u r j a d ɔ w
урядови	u r j a d ɔ v i
урядово	u r j a d ɔ v ɔ
урядовосц	u r j a d ɔ v ɔ s t͡s
усвойовац	u s v ɔ j ɔ v a t͡s
усвоїтель	u s v ɔ j i t ɛ ʎ
усвоїц	u s v ɔ j i t͡s
условиє	u s l ɔ v i j ɛ
условни	u s l ɔ w n i
условно	u s l ɔ w n ɔ
успих	u s p i x
успишни	u s p i ʃ n i
уста	u s t a
ухо	u x ɔ
учальньов	u t͡ʃ a ʎ ɲ ɔ w
учальньове	u t͡ʃ a ʎ ɲ ɔ v ɛ
учальньови	u t͡ʃ a ʎ ɲ ɔ v i
учальня	u t͡ʃ a ʎ ɲ a
учаснїк	u t͡ʃ a s ɲ i k
учаснїками	u t͡ʃ a s ɲ i k a m i
учаснїца	u t͡ʃ a s ɲ i t͡s a
участвованє	u t͡ʃ a s t v ɔ v a ɲ ɛ
участвовац	u t͡ʃ a s t v ɔ v a t͡s
учасц	u t͡ʃ a s t͡s
учашнїк	u t͡ʃ a ʃ ɲ i k
учашнїца	u t͡ʃ a ʃ ɲ i t͡s a
учебнїк	u t͡ʃ ɛ b ɲ i k
учебнїцки	u t͡ʃ ɛ b ɲ i t͡s k i
учене	u t͡ʃ ɛ n ɛ
учени	u t͡ʃ ɛ n i
ученосц	u t͡ʃ ɛ n ɔ s t͡s
ученє	u t͡ʃ ɛ ɲ ɛ
ученїк	u t͡ʃ ɛ ɲ i k
учитель	u t͡ʃ i t ɛ ʎ
учителька	u t͡ʃ i t ɛ ʎ k a
учительски	u t͡ʃ i t ɛ ʎ s k i
учиц	u t͡ʃ i t͡s
учтиви	u t͡ʃ t i v i
учтивосц	u t͡ʃ t i v ɔ s t͡s
уша	u ʃ a
ушивац	u ʃ i v a t͡s
ушиц	u ʃ i t͡s
уява	u j a v a
уявиц	u j a v i t͡s
уявйовац	u j a v j ɔ v a t͡s
ф	f
фабрика	f a b r i k a
файни	f a j n i
файта	f a j t a
файтами	f a j t a m i
факт	f a k t
факултет	f a k u l t ɛ t
факултетов	f a k u l t ɛ t ɔ w
факултетски	f a k u l t ɛ t s k i
фалат	f a l a t
фалаток	f a l a t ɔ k
фалациско	f a l a t͡s i s k ɔ
фалшиви	f a l ʃ i v i
фамелийни	f a m ɛ l i j n i
фамелия	f a m ɛ l i j a
фамелиями	f a m ɛ l i j a m i
фарба	f a r b a
фарбами	f a r b a m i
фарбиц	f a r b i t͡s
фарски	f a r s k i
фах	f a x
фаховец	f a x ɔ v ɛ t͡s
фахови	f a x ɔ v i
фашизем	f a ʃ i z ɛ m
фашизм	f a ʃ i z m̩
фашист	f a ʃ i s t
фашиста	f a ʃ i s t a
фашистични	f a ʃ i s t i t͡ʃ n i
фашистка	f a ʃ i s t k a
фашисткиня	f a ʃ i s t k i ɲ a
фебруар	f ɛ b r u a r
фебруарски	f ɛ b r u a r s k i
фийовка	f i j ɔ w k a
фийовочка	f i j ɔ v ɔ t͡ʃ k a
филм	f i l m
филмски	f i l m s k i
флота	f l ɔ t a
флотила	f l ɔ t i l a
фляша	f ʎ a ʃ a
фляшка	f ʎ a ʃ k a
фляшочка	f ʎ a ʃ ɔ t͡ʃ k a
фоає	f ɔ a j ɛ
фодбал	f ɔ d b a l
фодбалер	f ɔ d b a l ɛ r
фодбалски	f ɔ d b a l s k i
фотеля	f ɔ t ɛ ʎ a
фоґаш	f ɔ ɡ a ʃ
франта	f r a n t a
франтами	f r a n t a m i
франтовац	f r a n t ɔ v a t͡s
франтош	f r a n t ɔ ʃ
французка	f r a n t͡s u s k a
французки	f r a n t͡s u s k i
фраєрови	f r a j ɛ r ɔ v i
фрижидер	f r i ʒ i d ɛ r
фриштик	f r i ʃ t i k
фриштиками	f r i ʃ t i k a m i
фриштиковац	f r i ʃ t i k ɔ v a t͡s
фриштикую	f r i ʃ t i k u j u
фриштикує	f r i ʃ t i k u j ɛ
фриштикуєм	f r i ʃ t i k u j ɛ m
фриштикуєме	f r i ʃ t i k u j ɛ m ɛ
фриштикуєце	f r i ʃ t i k u j ɛ t͡s ɛ
фриштикуєш	f r i ʃ t i k u j ɛ ʃ
фурик	f u r i k
фуричок	f u r i t͡ʃ ɔ k
х	x
хаос	x a ɔ s
харковски	x a r k ɔ w s k i
харча	x a r t͡ʃ a
хасен	x a s ɛ n
хасновани	x a s n ɔ v a n i
хаснованє	x a s n ɔ v a ɲ ɛ
хаснователь	x a s n ɔ v a t ɛ ʎ
хаснователька	x a s n ɔ v a t ɛ ʎ k a
хасновательни	x a s n ɔ v a t ɛ ʎ n i
хасновац	x a s n ɔ v a t͡s
хасновити	x a s n ɔ v i t i
хасную	x a s n u j u
хаснуюци	x a s n u j u t͡s i
хаснує	x a s n u j ɛ
хаснуєм	x a s n u j ɛ m
хаснуєме	x a s n u j ɛ m ɛ
хаснуєце	x a s n u j ɛ t͡s ɛ
хаснуєш	x a s n u j ɛ ʃ
хвилька	x v i ʎ k a
хвильками	x v i ʎ k a m i
хвилькови	x v i ʎ k ɔ v i
хвиля	x v i ʎ a
хемия	x ɛ m i j a
хиба	x i b a
хибами	x i b a m i
хиби	x i b i
хибиц	x i b i t͡s
хибни	x i b n i
хибно	x i b n ɔ
хибо	x i b ɔ
хибом	x i b ɔ m
хибох	x i b ɔ x
хибу	x i b u
хижа	x i ʒ a
хижами	x i ʒ a m i
хижиска	x i ʒ i s k a
хижка	x i ʃ k a
хижни	x i ʒ n i
хладни	x l a d n i
хладно	x l a d n ɔ
хлапец	x l a p ɛ t͡s
хлапцовски	x l a p t͡s ɔ w s k i
хлапцовство	x l a p t͡s ɔ w s t v ɔ
хлапчик	x l a p t͡ʃ i k
хлоп	x l ɔ p
хлєб	x ʎ ɛ p
хмара	x m a r a
ход	x ɔ t
ходза	x ɔ d͡z a
ходзаци	x ɔ d͡z a t͡s i
ходзел	x ɔ d͡z ɛ l
ходзела	x ɔ d͡z ɛ l a
ходзели	x ɔ d͡z ɛ l i
ходзело	x ɔ d͡z ɛ l ɔ
ходзени	x ɔ d͡z ɛ n i
ходзенє	x ɔ d͡z ɛ ɲ ɛ
ходзи	x ɔ d͡z i
ходзим	x ɔ d͡z i m
ходзиме	x ɔ d͡z i m ɛ
ходзиц	x ɔ d͡z i t͡s
ходзице	x ɔ d͡z i t͡s ɛ
ходзиш	x ɔ d͡z i ʃ
ходох	x ɔ d ɔ x
хор	x ɔ r
хори	x ɔ r i
хорйовити	x ɔ r j ɔ v i t i
хорота	x ɔ r ɔ t a
хоротами	x ɔ r ɔ t a m i
хоротнїк	x ɔ r ɔ c ɲ i k
хоротнїца	x ɔ r ɔ c ɲ i t͡s a
хорох	x ɔ r ɔ x
хранитель	x r a n i t ɛ ʎ
хранїтель	x r a ɲ i t ɛ ʎ
хранїц	x r a ɲ i t͡s
хрибет	x r i b ɛ t
хризантема	x r i z a n t ɛ m a
хрин	x r i n
християн	x r i s t i j a n
християнка	x r i s t i j a ŋ k a
християнски	x r i s t i j a n s k i
християнство	x r i s t i j a n s t v ɔ
хробак	x r ɔ b a k
хто	x t ɔ
хтори	x t ɔ r i
хториш	x t ɔ r i ʃ
хтошка	x t ɔ ʃ k a
хуй	x u j
хустка	x u s t k a
хусточка	x u s t ɔ t͡ʃ k a
ц	t͡s
цагани	t͡s a ɦ a n i
цаганє	t͡s a ɦ a ɲ ɛ
цагац	t͡s a ɦ a t͡s
цагаци	t͡s a ɦ a t͡s i
цагач	t͡s a ɦ a t͡ʃ
цагаче	t͡s a ɦ a t͡ʃ ɛ
цагачка	t͡s a ɦ a t͡ʃ k a
цагаюци	t͡s a ɦ a j u t͡s i
цагнуц	t͡s a ɦ n u t͡s
цагнуце	t͡s a ɦ n u t͡s ɛ
цали	t͡s a l i
цалком	t͡s a l k ɔ m
царове	t͡s a r ɔ v ɛ
цвикла	t͡s v i k l a
це	t͡s ɛ
цегла	t͡s ɛ ɦ l a
цейдула	t͡s ɛ j d u l a
цек	t͡s ɛ k
целер	t͡s ɛ l ɛ r
цело	t͡s ɛ l ɔ
целятко	t͡s ɛ ʎ a t k ɔ
целячи	t͡s ɛ ʎ a t͡ʃ i
целячина	t͡s ɛ ʎ a t͡ʃ i n a
целє	t͡s ɛ ʎ ɛ
целєцов	t͡s ɛ ʎ ɛ t͡s ɔ w
