ԱԱ	ɑ ɑ
ջայլամ	t͡ʃ ɑ j l ɑ m
ջայնիզմ	t͡ʃ ɑ j n i z m
ջայվ	t͡ʃ ɑ j v
ջան	t͡ʃ ɑ n
ջանալ	t͡ʃ ɑ n ɑ l
ջանասեր	t͡ʃ ɑ n ɑ s e ɾ
ջանասիրաբար	t͡ʃ ɑ n ɑ s i ɾ ɑ p ɑ ɾ
ջանասիրություն	t͡ʃ ɑ n ɑ s i ɾ u t ʏ n
ջանավար	t͡ʃ ɑ n ɑ v ɑ ɾ
ջանդամ	t͡ʃ ɑ n t ɑ m
ջանք	t͡ʃ ɑ n k
ջառջառ	t͡ʃ ɑ r t͡ʃ ɑ r
ջատագով	t͡ʃ ɑ d ɑ k o v
ջարդ	t͡ʃ ɑ ɾ t
ջարդել	t͡ʃ ɑ ɾ t e l
ջարդվել	t͡ʃ ɑ ɾ t v e l
ջե	t͡ʃ e
ջեբ	t͡ʃ e p
ջեզվե	t͡ʃ e z v e
ջենովական	t͡ʃ e n o v ɑ ɡ ɑ n
ջենովացի	t͡ʃ e n o v ɑ t͡s i
ջեռ	t͡ʃ e r
ջեռակ	t͡ʃ e r ɑ ɡ
ջեռանալ	t͡ʃ e r ɑ n ɑ l
ջեռոց	t͡ʃ e r o t͡s
ջեռուցել	t͡ʃ e r u t͡s e l
ջերմ	t͡ʃ e ɾ m
ջերմաչափ	t͡ʃ e ɾ m ɑ t͡ʃ ɑ p
ջերմաստիճան	t͡ʃ e ɾ m ɑ s d i d͡ʒ ɑ n
ջերմոց	t͡ʃ e ɾ m o t͡s
ջերմություն	t͡ʃ e ɾ m u t ʏ n
ջերմուկ	t͡ʃ e ɾ m u ɡ
ջիգիթ	t͡ʃ i k i t
ջիլ	t͡ʃ i l
ջիղ	t͡ʃ i ʁ
ջին	t͡ʃ i n
ջինջ	t͡ʃ i n t͡ʃ
ջինջիլ	t͡ʃ i n t͡ʃ i l
ջինս	t͡ʃ i n s
ջիպ	t͡ʃ i b
ջհուդ	t͡ʃ ə h u t
ջհուդամասոն	t͡ʃ ə h u t ɑ m ɑ s o n
ջղային	t͡ʃ ə ʁ ɑ j i n
ջղայն	t͡ʃ ə ʁ ɑ j n
ջղայնանալ	t͡ʃ ə ʁ ɑ j n ɑ n ɑ l
ջղայնացնել	t͡ʃ ə ʁ ɑ j n ɑ t͡s ə n e l
ջնար	t͡ʃ ə n ɑ ɾ
ջնարակ	t͡ʃ ə n ɑ ɾ ɑ ɡ
ջնջել	t͡ʃ ə n t͡ʃ e l
ջնջիլ	t͡ʃ ə n t͡ʃ i l
ջնջոց	t͡ʃ ə n t͡ʃ o t͡s
ջոկ	t͡ʃ o ɡ
ջոկել	t͡ʃ o ɡ e l
ջորդան	t͡ʃ o ɾ t ɑ n
ջորի	t͡ʃ o ɾ i
ջութ	t͡ʃ u t
ջութակ	t͡ʃ u t ɑ ɡ
ջութակահար	t͡ʃ u t ɑ ɡ ɑ h ɑ ɾ
ջուլհակ	t͡ʃ u l h ɑ ɡ
ջուլհակահաստոց	t͡ʃ u l h ɑ ɡ ɑ h ɑ s d o t͡s
ջուղաբ	t͡ʃ u ʁ ɑ p
ջունգլի	t͡ʃ u n k l i
ջուր	t͡ʃ u ɾ
ջուրը	t͡ʃ u ɾ ə
ջվալ	t͡ʃ ə v ɑ l
ջրախոզուկ	t͡ʃ ə ɾ ɑ χ o z u ɡ
ջրածին	t͡ʃ ə ɾ ɑ d͡z i n
ջրածնային	t͡ʃ ə ɾ ɑ d͡z ə n ɑ j i n
ջրահարս	t͡ʃ ə ɾ ɑ h ɑ ɾ s
ջրաղաց	t͡ʃ ə ɾ ɑ ʁ ɑ t͡s
ջրաղացաքար	t͡ʃ ə ɾ ɑ ʁ ɑ t͡s ɑ k ɑ ɾ
ջրաղացպան	t͡ʃ ə ɾ ɑ ʁ ɑ t͡s b ɑ n
ջրամբար	t͡ʃ ə ɾ ɑ m p ɑ ɾ
ջրային	t͡ʃ ə ɾ ɑ j i n
ջրաներկ	t͡ʃ ə ɾ ɑ n e ɾ ɡ
ջրանկար	t͡ʃ ə ɾ ɑ n ə ɡ ɑ ɾ
ջրանուն	t͡ʃ ə ɾ ɑ n u n
ջրանցք	t͡ʃ ə ɾ ɑ n t͡s k
ջրասամույր	t͡ʃ ə ɾ ɑ s ɑ m u j ɾ
ջրասուզակ	t͡ʃ ə ɾ ɑ s u z ɑ ɡ
ջրատար	t͡ʃ ə ɾ ɑ d ɑ ɾ
ջրարգելակ	t͡ʃ ə ɾ ɑ ɾ k e l ɑ ɡ
ջրարջ	t͡ʃ ə ɾ ɑ ɾ t͡ʃ
ջրափոս	t͡ʃ ə ɾ ɑ p o s
ջրաքիս	t͡ʃ ə ɾ ɑ k i s
ջրել	t͡ʃ ə ɾ e l
ջրեղեն	t͡ʃ ə ɾ e ʁ e n
ջրի	t͡ʃ ə ɾ i
ջրիմուռ	t͡ʃ ə ɾ i m u r
ջրիմուռներ	t͡ʃ ə ɾ i m u r n e ɾ
ջրծաղիկ	t͡ʃ ə ɾ d͡z ɑ ʁ i ɡ
ջրկոտեմ	t͡ʃ ə ɾ ɡ o d e m
ջրհեղեղ	t͡ʃ ə ɾ h e ʁ e ʁ
ջրհոր	t͡ʃ ə ɾ h o ɾ
ջրհորդան	t͡ʃ ə ɾ h o ɾ t ɑ n
ջրշուն	t͡ʃ ə ɾ ʃ u n
ջրոգի	t͡ʃ ə ɾ o k i
ջրորդան	t͡ʃ ə ɾ o ɾ t ɑ n
ջրպան	t͡ʃ ə ɾ b ɑ n
ջրվեժ	t͡ʃ ə ɾ v e ʒ
ջրցան	t͡ʃ ə ɾ t͡s ɑ n
ջրօրհնեք	t͡ʃ ə ɾ o ɾ h n e k
ռ	r ə
ռա	r ɑ
ռաբիզ	r ɑ p i z
ռաբիս	r ɑ p i s
ռագատկա	r ɑ k ɑ d ɡ ɑ
ռադիո	r ɑ t j o
ռադիոգալակտիկա	r ɑ t i o k ɑ l ɑ ɡ d i ɡ ɑ
ռադիոկայան	r ɑ t i o ɡ ɑ j ɑ n
ռադոն	r ɑ t o n
ռազիան	r ɑ z i ɑ n
ռազմ	r ɑ z m
ռազմաբեմ	r ɑ z m ɑ p e m
ռազմագերի	r ɑ z m ɑ k e ɾ i
ռազմադաշտ	r ɑ z m ɑ t ɑ ʃ d
ռազմակայան	r ɑ z m ɑ ɡ ɑ j ɑ n
ռազմական	r ɑ z m ɑ ɡ ɑ n
ռազմաճակատ	r ɑ z m ɑ d͡ʒ ɑ ɡ ɑ d
ռազմանավ	r ɑ z m ɑ n ɑ v
ռազմավարական	r ɑ z m ɑ v ɑ ɾ ɑ ɡ ɑ n
ռազմավարություն	r ɑ z m ɑ v ɑ ɾ u t ʏ n
ռազմիկ	r ɑ z m i ɡ
ռահ	r ɑ h
ռահվիրա	r ɑ h v i ɾ ɑ
ռաղամ	r ɑ ʁ ɑ m
ռամ	r ɑ m
ռամեն	r ɑ m e n
ռամիկ	r ɑ m i ɡ
ռամկավար	r ɑ m ɡ ɑ v ɑ ɾ
ռամկավարական	r ɑ m ɡ ɑ v ɑ ɾ ɑ ɡ ɑ n
ռամկավարություն	r ɑ m ɡ ɑ v ɑ ɾ u t ʏ n
ռայա	r ɑ j ɑ
ռանդա	r ɑ n t ɑ
ռաջաստանի	r ɑ t͡ʃ ɑ s d ɑ n i
ռասա	r ɑ s ɑ
ռասիզմ	r ɑ s i z m
ռասիստ	r ɑ s i s d
ռավիոլի	r ɑ v i o l i
ռացիոնալ	r ɑ t͡s i o n ɑ l
ռեալ	r e ɑ l
ռեակցիա	r e ɑ k t͡s i ɑ
ռեգբի	r e k p i
ռեգբիլիգ	r e k p i l i k
ռեգգի	r e k k i
ռեգլամենտ	r e k l ɑ m e n d
ռեզերֆորդիում	r e z e ɾ f o ɾ t i j u m
ռեժիսոր	r e ʒ i s o ɾ
ռելս	r e l s
ռեխ	r e χ
ռեկլամ	r e ɡ l ɑ m
ռեկորդային	r e ɡ o ɾ t ɑ j i n
ռեկտոր	r e ɡ d o ɾ
ռեհան	r e h ɑ n
ռեմեն	r e m e n
ռեյտինգ	r e j d i n k
ռենտգենիում	r e n t k e n i j u m
ռեպ	r e b
ռեսուրս	r e s u ɾ s
ռետին	r e d i n
ռեցենզիա	r e t͡s e n z i ɑ
ռեփ	r e p
ռեֆորմ	r e f o ɾ m
ռիթմ	r i t ə m
ռինգ	r i n k
ռիսկ	r i s ɡ
ռմբակոծել	r ə m p ɑ ɡ o d͡z e l
ռմբակոծություն	r ə m p ɑ ɡ o d͡z u t ʏ n
ռմբապաստարան	r ə m p ɑ b ɑ s d ɑ ɾ ɑ n
ռնգական	r ə n k ɑ ɡ ɑ n
ռնգեղջյուր	r n k e χ t͡ʃ ʏ ɾ
ռոբոտ	r o p o d
ռոդիում	r o t i j u m
ռոժ	r o ʒ
ռոճիկ	r o d͡ʒ i ɡ
ռոմ	r o m
ռոման	r o m ɑ n
ռոմանշ	r o m ɑ n ʃ
ռոյալթի	r o j ɑ l t i
ռուբ	r u p
ռուբիդիում	r u p i t i j u m
ռուբլի	r u p l i
ռութենիում	r u t e n i j u m
ռումաներեն	r u m ɑ n e ɾ e n
ռումբ	r u m p
ռումբա	r u m p ɑ
ռումեն	r u m e n
ռումինական	r u m i n ɑ ɡ ɑ n
ռումինացի	r u m i n ɑ t͡s i
ռումիներեն	r u m i n e ɾ e n
ռունգ	r u n k
ռուպոր	r u b o ɾ
ռուս	r u s
ռուսական	r u s ɑ ɡ ɑ n
ռուսաստանցի	r u s ɑ s d ɑ n t͡s i
ռուսերեն	r u s e ɾ e n
ռուսուլման	r u s u l m ɑ n
ռուսուհի	r u s u h i
ռևանշ	r e v ɑ n ʃ
ռևիզիոնիզմ	r e v i z i o n i z m
ռևոլյուցիա	r e v o l ʏ t͡s i ɑ
ս	s ə
սա	s ɑ
սաբոտաժ	s ɑ p o d ɑ ʒ
սագ	s ɑ k
սագո	s ɑ k o
սադափ	s ɑ t ɑ p
սադրանք	s ɑ t ɾ ɑ n k
սադրել	s ɑ t ɾ e l
սադրիչ	s ɑ t ɾ i t͡ʃ
սազ	s ɑ z
սազալ	s ɑ z ɑ l
սազել	s ɑ z e l
սաթ	s ɑ t
սալ	s ɑ l
սալաթ	s ɑ l ɑ t
սալամանդր	s ɑ l ɑ m ɑ n t ə ɾ
սալաքար	s ɑ l ɑ k ɑ ɾ
սալիկ	s ɑ l i ɡ
սալյամի	s ɑ l j ɑ m i
սալոր	s ɑ l o ɾ
սալորենի	s ɑ l o ɾ e n i
սախատ	s ɑ χ ɑ d
սակայն	s ɑ ɡ ɑ j n
սակավաթիվ	s ɑ ɡ ɑ v ɑ t i v
սակավախոս	s ɑ ɡ ɑ v ɑ χ o s
սակարկել	s ɑ ɡ ɑ ɾ ɡ e l
սակարկություն	s ɑ ɡ ɑ ɾ ɡ u t ʏ n
սակարկում	s ɑ ɡ ɑ ɾ ɡ u m
սակարկվել	s ɑ ɡ ɑ ɾ ɡ v e l
սակե	s ɑ ɡ e
սակերեն	s ɑ ɡ e ɾ e n
սահաթ	s ɑ h ɑ t
սահաթչի	s ɑ h ɑ t t͡ʃ i
սահել	s ɑ h e l
սահեցնել	s ɑ h e t͡s ə n e l
սահման	s ɑ h m ɑ n
սահմանագծում	s ɑ h m ɑ n ɑ k ə d͡z u m
սահմանադրական	s ɑ h m ɑ n ɑ t ə ɾ ɑ ɡ ɑ n
սահմանադրություն	s ɑ h m ɑ n ɑ t ə ɾ u t ʏ n
սահմանազատում	s ɑ h m ɑ n ɑ z ɑ d u m
սահմանական	s ɑ h m ɑ n ɑ ɡ ɑ n
սահմանապահ	s ɑ h m ɑ n ɑ b ɑ h
սահմանափակ	s ɑ h m ɑ n ɑ p ɑ ɡ
սահմանափակել	s ɑ h m ɑ n ɑ p ɑ ɡ e l
սահմանափակիչ	s ɑ h m ɑ n ɑ p ɑ ɡ i t͡ʃ
սահմանափակող	s ɑ h m ɑ n ɑ p ɑ ɡ o ʁ
սահմանափակորեն	s ɑ h m ɑ n ɑ p ɑ ɡ o ɾ e n
սահմանափակություն	s ɑ h m ɑ n ɑ p ɑ ɡ u t ʏ n
սահմանափակում	s ɑ h m ɑ n ɑ p ɑ ɡ u m
սահմանափակվածություն	s ɑ h m ɑ n ɑ p ɑ ɡ v ɑ d͡z u t ʏ n
սահմանափակվել	s ɑ h m ɑ n ɑ p ɑ ɡ v e l
սահմանել	s ɑ h m ɑ n e l
սահմանում	s ɑ h m ɑ n u m
սահմանվել	s ɑ h m ɑ n v e l
սահմի	s ɑ h m i
սահնակ	s ɑ h n ɑ ɡ
սահուն	s ɑ h u n
սահք	s ɑ h k
սաղ	s ɑ ʁ
սաղանալ	s ɑ ʁ ɑ n ɑ l
սաղավարտ	s ɑ ʁ ɑ v ɑ ɾ d
սաղարթ	s ɑ ʁ ɑ ɾ t
սաղացնել	s ɑ ʁ ɑ t͡s ə n e l
սաղլամ	s ɑ ʁ l ɑ m
սաղմ	s ɑ ʁ m
սաղմոն	s ɑ ʁ m o n
սաղմոս	s ɑ ʁ m o s
սամարիում	s ɑ m ɑ ɾ i j u m
սամբա	s ɑ m p ɑ
սամբո	s ɑ m p o
սամիթ	s ɑ m i t
սամույր	s ɑ m u j ɾ
սամուրայ	s ɑ m u ɾ ɑ j
սամսար	s ɑ m s ɑ ɾ
սայթաքել	s ɑ j t ɑ k e l
սայլ	s ɑ j l
սայլակ	s ɑ j l ɑ ɡ
սայլորդ	s ɑ j l o ɾ t
սան	s ɑ n
սանդ	s ɑ n t
սանդաթակ	s ɑ n t ɑ t ɑ ɡ
սանդղակ	s ɑ n t ʁ ɑ ɡ
սանդուղք	s ɑ n t u χ k
սանթուր	s ɑ n t u ɾ
սանկցիա	s ɑ n k t͡s i ɑ
սանձ	s ɑ n t͡s
սանձահարել	s ɑ n t͡s ɑ h ɑ ɾ e l
սանձարձակ	s ɑ n t͡s ɑ ɾ t͡s ɑ ɡ
սանձել	s ɑ n t͡s e l
սանսկրիտ	s ɑ n s ɡ ɾ i d
սանտիմ	s ɑ n d i m
սանտիմետր	s ɑ n d i m e d ə ɾ
սանր	s ɑ n ə ɾ
սանրել	s ɑ n ɾ e l
սանրվածք	s ɑ n ə ɾ v ɑ d͡z k
սանրվել	s ɑ n ə ɾ v e l
սաշիմի	s ɑ ʃ i m i
սաունա	s ɑ u n ɑ
սապատավոր	s ɑ b ɑ d ɑ v o ɾ
սապոն	s ɑ b o n
սառ	s ɑ r
սառել	s ɑ r e l
սառը	s ɑ r ə
սառն	s ɑ r ə n
սառնամանիք	s ɑ r n ɑ m ɑ n i k
սառնապուր	s ɑ r n ɑ b u ɾ
սառնավուն	s ɑ r n ɑ v u n
սառնարան	s ɑ r n ɑ ɾ ɑ n
սառոշկա	s ɑ r o ʃ ɡ ɑ
սառույց	s ɑ r u j t͡s
սառուց	s ɑ r u t͡s
սառուցյալ	s ɑ r u t͡s j ɑ l
սառչել	s ɑ r t͡ʃ e l
սառցադաշտ	s ɑ r t͡s ɑ t ɑ ʃ d
սառցալեզվակ	s ɑ r t͡s ɑ l e z v ɑ ɡ
սառցահատ	s ɑ r t͡s ɑ h ɑ d
սառցարան	s ɑ r t͡s ɑ ɾ ɑ n
սառցե	s ɑ r t͡s e
սասան	s ɑ s ɑ n
սասանել	s ɑ s ɑ n e l
սաստ	s ɑ s d
սաստիկ	s ɑ s d i ɡ
սավան	s ɑ v ɑ n
սավառնակ	s ɑ v ɑ r n ɑ ɡ
սավառնել	s ɑ v ɑ r n e l
սավառնորդ	s ɑ v ɑ r n o ɾ t
սատանա	s ɑ d ɑ n ɑ
սատարել	s ɑ d ɑ ɾ e l
սատելիտ	s ɑ d e l i d
սատկել	s ɑ d ɡ e l
սատկեցնել	s ɑ d ɡ e t͡s ə n e l
սատկիլ	s ɑ d ɡ i l
սար	s ɑ ɾ
սարայ	s ɑ ɾ ɑ j
սարավանդ	s ɑ ɾ ɑ v ɑ n t
սարավանդակ	s ɑ ɾ ɑ v ɑ n t ɑ ɡ
սարդ	s ɑ ɾ t
սարդար	s ɑ ɾ t ɑ ɾ
սարդենի	s ɑ ɾ t e n i
սարդեր	s ɑ ɾ t e ɾ
սարդի	s ɑ ɾ t i
սարդիներեն	s ɑ ɾ t i n e ɾ e n
սարդոստայն	s ɑ ɾ t o s d ɑ j n
սարկազմ	s ɑ ɾ ɡ ɑ z m
սարկավագ	s ɑ ɾ ɡ ɑ v ɑ k
սարյակ	s ɑ ɾ j ɑ ɡ
սարսափ	s ɑ ɾ s ɑ p
սարսափագին	s ɑ ɾ s ɑ p ɑ k i n
սարսափազդեցիկ	s ɑ ɾ s ɑ p ɑ s t e t͡s i ɡ
սարսափազդու	s ɑ ɾ s ɑ p ɑ s t u
սարսափալից	s ɑ ɾ s ɑ p ɑ l i t͡s
սարսափախառն	s ɑ ɾ s ɑ p ɑ χ ɑ r ə n
սարսափածին	s ɑ ɾ s ɑ p ɑ d͡z i n
սարսափահար	s ɑ ɾ s ɑ p ɑ h ɑ ɾ
սարսափահարել	s ɑ ɾ s ɑ p ɑ h ɑ ɾ e l
սարսափահարություն	s ɑ ɾ s ɑ p ɑ h ɑ ɾ u t ʏ n
սարսափահարվել	s ɑ ɾ s ɑ p ɑ h ɑ ɾ v e l
սարսափանք	s ɑ ɾ s ɑ p ɑ n k
սարսափել	s ɑ ɾ s ɑ p e l
սարսափելի	s ɑ ɾ s ɑ p e l i
սարսափելիություն	s ɑ ɾ s ɑ p e l i u t ʏ n
սարսափեցնել	s ɑ ɾ s ɑ p e t͡s ə n e l
սարսափեցնող	s ɑ ɾ s ɑ p e t͡s n o ʁ
սարսափեցում	s ɑ ɾ s ɑ p e t͡s u m
սարսափեցուցիչ	s ɑ ɾ s ɑ p e t͡s u t͡s i t͡ʃ
սարսափիլ	s ɑ ɾ s ɑ p i l
սարսափում	s ɑ ɾ s ɑ p u m
սարսափուն	s ɑ ɾ s ɑ p u n
սարսուռ	s ɑ ɾ s u r
սարք	s ɑ ɾ k
սարքավորում	s ɑ ɾ k ɑ v o ɾ u m
սարքել	s ɑ ɾ k e l
սացիվի	s ɑ t͡s i v i
սափոր	s ɑ p o ɾ
սափրել	s ɑ p ɾ e l
սափրիչ	s ɑ p ɾ i t͡ʃ
սափրվել	s ɑ p ə ɾ v e l
սաքսոֆոն	s ɑ k s o f o n
սգալ	s ə k ɑ l
սե	s e
սեգ	s e k
սեզ	s e z
սեզոն	s e z o n
սել	s e l
սելավ	s e l ɑ f
սելեն	s e l e n
սելջուկ	s e l t͡ʃ u ɡ
սելջուկյան	s e l t͡ʃ u ɡ j ɑ n
սեխ	s e χ
սեկվոյա	s e ɡ v o j ɑ
սեղան	s e ʁ ɑ n
սեղանապետ	s e ʁ ɑ n ɑ b e d
սեղանատամ	s e ʁ ɑ n ɑ d ɑ m
սեղանատուն	s e ʁ ɑ n ɑ d u n
սեղմ	s e ʁ m
սեղմ	s e χ m
սեղմագիր	s e ʁ m ɑ k i ɾ
սեղմագիր	s e χ m ɑ k i ɾ
սեղմակ	s e ʁ m ɑ ɡ
սեղմակ	s e χ m ɑ ɡ
սեղմասկավառակ	s e ʁ m ɑ s ɡ ɑ v ɑ r ɑ ɡ
սեղմասկավառակ	s e χ m ɑ s ɡ ɑ v ɑ r ɑ ɡ
սեղմել	s e ʁ m e l
սեղմել	s e χ m e l
սեղմիչ	s e ʁ m i t͡ʃ
սեղմիչ	s e χ m i t͡ʃ
սեղմիրան	s e ʁ m i ɾ ɑ n
սեմ	s e m
սեմական	s e m ɑ ɡ ɑ n
սեյլան	s e j l ɑ n
սենատ	s e n ɑ d
սենդվիչ	s e n t v i t͡ʃ
սենյակ	s e n j ɑ ɡ
սենյորություն	s e n j o ɾ u t ʏ n
սենց	s e n t͡s
սեպ	s e b
սեպագիր	s e b ɑ k i ɾ
սեպուհ	s e b u h
սեպտեմբեր	s e b d e m p e ɾ
սեպտեմբերյան	s e b d e m p e ɾ j ɑ n
սեռ	s e r
սեռական	s e r ɑ ɡ ɑ n
սեռանիշ	s e r ɑ n i ʃ
սեռի	s e r i
սեսիա	s e s i ɑ
սեր	s e ɾ
սերբ	s e ɾ p
սերբախորվաթերեն	s e ɾ p ɑ χ o ɾ v ɑ t e ɾ e n
սերբական	s e ɾ p ɑ ɡ ɑ n
սերբերեն	s e ɾ p e ɾ e n
սերժանտ	s e ɾ ʒ ɑ n d
սերկևիլ	s e ɾ ɡ e v i l
սերկևիլենի	s e ɾ ɡ e v i l e n i
սերմ	s e ɾ m
սերմնաբշտիկ	s e ɾ m n ɑ p ə ʃ d i ɡ
սերմնաբուշտ	s e ɾ m n ɑ p u ʃ d
սերմնաբջիջ	s e ɾ m n ɑ p ə t͡ʃ i t͡ʃ
սերմնագռավ	s e ɾ m n ɑ k r ɑ v
սերմնաժայթքում	s e ɾ m n ɑ ʒ ɑ j t k u m
սերմնածորան	s e ɾ m n ɑ d͡z o ɾ ɑ n
սերմնահեղուկ	s e ɾ m n ɑ h e ʁ u ɡ
սերունդ	s e ɾ u n t
սերուցք	s e ɾ u t͡s k
սերտ	s e ɾ d
սերֆինգ	s e ɾ f i n k
սեփական	s e p ɑ ɡ ɑ n
սեփականություն	s e p ɑ ɡ ɑ n u t ʏ n
սեքս	s e k s
սեքսիզմ	s e k s i z m
սեֆերբերլիք	s e f e ɾ p e ɾ l i k
սզնի	s ə z n i
սթափ	s t ɑ p
սթափվել	s t ɑ p v e l
սթենդ	s t e n t
սիբիրախտ	s i p i ɾ ɑ χ d
սիբորգիում	s i p o ɾ k i j u m
սիգա	s i k ɑ
սիգալ	s i k ɑ l
սիգար	s i k ɑ ɾ
սիգարետ	s i k ɑ ɾ e d
սիեստա	s i j e s d ɑ
սիլլա	s i l l ɑ
սիկղ	s i ɡ ə ʁ
սիկտիր	s i ɡ d i ɾ
սիմոնական	s i m o n ɑ ɡ ɑ n
սիմոնականություն	s i m o n ɑ ɡ ɑ n u t ʏ n
սիմվոլ	s i m v o l
սիմվոլիկ	s i m v o l i ɡ
սին	s i n
սինդհի	s i n t h i
սինլքոր	s i n l ə k o ɾ
սինհալերեն	s i n h ɑ l e ɾ e n
սինձ	s i n t͡s
սիսեռ	s i s e r
սիստեմ	s i s d e m
սիվրիսինէկ	s i v ɾ i s i n e ɡ
սիտուացիա	s i d u ɑ t͡s i ɑ
սիրաբանել	s i ɾ ɑ p ɑ n e l
սիրալիր	s i ɾ ɑ l i ɾ
սիրած	s i ɾ ɑ d͡z
սիրահար	s i ɾ ɑ h ɑ ɾ
սիրահարվել	s i ɾ ɑ h ɑ ɾ v e l
սիրամարգ	s i ɾ ɑ m ɑ ɾ k
սիրավեպ	s i ɾ ɑ v e b
սիրել	s i ɾ e l
սիրելի	s i ɾ e l i
սիրեկան	s i ɾ e ɡ ɑ n
սիրեցի	s i ɾ e t͡s i
սիրո	s i ɾ o
սիրող	s i ɾ o ʁ
սիրողական	s i ɾ o ʁ ɑ ɡ ɑ n
սիրով	s i ɾ o v
սիրուհի	s i ɾ u h i
սիրում	s i ɾ u m
սիրուն	s i ɾ u n
սիրված	s i ɾ v ɑ d͡z
սիրվել	s i ɾ v e l
սիրտ	s i ɾ d
սիրտն	s i ɾ d n
սիցիլիացի	s i t͡s i l i ɑ t͡s i
սլայդ	s l ɑ j t
սլանալ	s ə l ɑ n ɑ l
սլավ	s ə l ɑ v
սլավական	s l ɑ v ɑ ɡ ɑ n
սլավոն	s ə l ɑ v o n
սլավոնական	s l ɑ v o n ɑ ɡ ɑ n
սլաք	s ə l ɑ k
սլկվել	s ə l ɡ ə v e l
սլովակերեն	s l o v ɑ ɡ e ɾ e n
սլովեներեն	s l o v e n e ɾ e n
սխալ	s ə χ ɑ l
սխալվել	s ə χ ɑ l v e l
սխտոր	s ə χ d o ɾ
սխրանք	s ə χ ɾ ɑ n k
սկա	s ɡ ɑ
սկալդ	s ɡ ɑ l t
սկահ	s ɡ ɑ h
սկանդինավյան	s ɡ ɑ n t i n ɑ v j ɑ n
սկաներ	s ɡ ɑ n e ɾ
սկավառակ	s ɡ ɑ v ɑ r ɑ ɡ
սկեսար	s ɡ e s ɑ ɾ
սկեսուր	s ɡ e s u ɾ
սկեսրայր	s ɡ e s ɾ ɑ j ɾ
սկեսրար	s ɡ e s ɾ ɑ ɾ
սկզբնագիր	s ɡ ə s p n ɑ k i ɾ
սկզբնաղբյուր	s ɡ ə s p n ɑ χ b ʏ ɾ
սկզբնատառ	s ɡ ə s p n ɑ d ɑ r
սկզբունք	s ɡ ə s p u n k
սկզբունքային	s ɡ ə s p u n k ɑ j i n
սկզբունքայնություն	s ɡ ə s p u n k ɑ j n u t ʏ n
սկիզբ	s ɡ i s p
սկլերոզ	s ɡ l e ɾ o z
սկյութ	s ɡ ʏ t
սկյութերեն	s ɡ ʏ t e ɾ e n
սկյուռ	s ɡ ʏ r
սկյուռիկ	s ɡ ʏ r i ɡ
սկոռի	s ɡ o r i
սկոտչ	s ɡ o t t͡ʃ
սկունդ	s ɡ u n t
սկունդ	ə s ɡ u n t
սկուտեղ	s ɡ u d e ʁ
սկսած	s ɡ ə s ɑ d͡z
սկսել	s ɡ ə s e l
սկսնակ	s ɡ ə s n ɑ ɡ
սղաճ	s ə ʁ ɑ d͡ʒ
սղոց	s ə ʁ o t͡s
սղոցաձև	s ə ʁ o t͡s ɑ t͡s e v
սղոցել	s ə ʁ o t͡s e l
սմարթֆոն	s m ɑ ɾ t f o n
սմբակ	s ə m p ɑ ɡ
սմբուլ	s ə m p u l
սմբուկ	s ə m p u ɡ
սմեգմա	s m e k m ɑ
սմոգ	s m o k
սյամ	s j ɑ m
սյավ	s j ɑ v
սյուն	s ʏ n
սյունակ	s ʏ n ɑ ɡ
սյունյակ	s ʏ n j ɑ ɡ
սյուք	s ʏ k
սնահավատ	s ə n ɑ h ɑ v ɑ d
սնահավատություն	s ə n ɑ h ɑ v ɑ d u t ʏ n
սնանկանալ	s ə n ɑ n ɡ ɑ n ɑ l
սնանկացում	s ə n ɑ n ɡ ɑ t͡s u m
սնգույր	s ə n k u j ɾ
սնգուրել	s ə n k u ɾ e l
սնգուրում	s ə n k u ɾ u m
սնգուրվել	s ə n k u ɾ v e l
սնդիկ	s ə n t i ɡ
սնդուկ	s ə n t u ɡ
սնկապուր	s ə n ɡ ɑ b u ɾ
սնկասպան	s ə n ɡ ɑ s b ɑ n
սննդադուլ	s ə n ə n t ɑ t u l
սննդակարգ	s ə n ə n t ɑ ɡ ɑ ɾ k
սննդամթերք	s ə n ə n t ɑ m ə t e ɾ k
սննկանալ	s ə n ə n ɡ ɑ n ɑ l
սնոուբորդ	s n o u p o ɾ t
սնոտի	s ə n o d i
սնոտիք	s ə n o d i k
սնուկեր	s n u ɡ e ɾ
սնունդ	s ə n u n t
սնուցում	s ə n u t͡s u m
սոդոմականություն	s o t o m ɑ ɡ ɑ n u t ʏ n
սոլախ	s o l ɑ χ
սոլիստ	s o l i s d
սոխ	s o χ
սոխակ	s o χ ɑ ɡ
սոխուկ	s o χ u ɡ
սողալ	s o ʁ ɑ l
սողանք	s o ʁ ɑ n k
սողդերեն	s o χ t e ɾ e n
սողուն	s o ʁ u n
սոճի	s o d͡ʒ i
սոմալի	s o m ɑ l i
սոմելիե	s o m e l i e
սոնիճ	s o n i d͡ʒ
սոուլ	s o u l
սոուս	s o u s
սոջու	s o t͡ʃ u
սոսափ	s o s ɑ p
սոսափյուն	s o s ɑ p ʏ n
սոսի	s o s i
սոսինձ	s o s i n t͡s
սոսկ	s o s ɡ
սով	s o v
սովալլուկ	s o v ɑ l l u ɡ
սոված	s o v ɑ d͡z
սովամահ	s o v ɑ m ɑ h
