அஃது	ɐ ɦ d̪ ɯ
பருவுழவு	p ɐ ɾ u ʋ u ɻ ɐ ʋ ɯ
பறக்கும்தட்டு	p ɐ r ɐ kː u m t̪ ɐ ʈː ɯ
பற்பசை	p ɐ r p ɐ s a ɪ̯
பற்றவை	p ɐ t r ɐ ʋ a ɪ̯
பற்றாக்குறை	p ɐ t r aː kː u r a ɪ̯
பற்றி	p ɐ t r i
பலவு	p ɐ l ɐ ʋ ɯ
பலாசம்	p ɐ l aː s ɐ m
பலிகடா	b ɐ l i k ɐ ɖ aː
பல்லக்கு	p ɐ l l ɐ kː ɯ
பல்லாண்டு	p ɐ l l aː ɳ ɖ ɯ
பல்வேறு	p ɐ l ʋ eː r ɯ
பளகு	p ɐ ɭ ɐ ɡ ɯ
பளக்கு	p ɐ ɭ ɐ kː ɯ
பளபள	p ɐ ɭ ɐ p ɐ ɭ ɐ
பளிச்சிடு	p ɐ ɭ i t͡ɕː i ɖ ɯ
பளு	p ɐ ɭ ɯ
பள்ளத்தாக்கு	p ɐ ɭː ɐ t̪ː aː kː ɯ
பள்ளிவாசல்	p ɐ ɭː i ʋ aː s ɐ l
பழகு	p ɐ ɻ ɐ ɡ ɯ
பழச்சாறு	p ɐ ɻ ɐ t͡ɕː aː r ɯ
பழிச்சு	p ɐ ɻ i t͡ɕː ɯ
பழு	p ɐ ɻ ɯ
பழுது	p ɐ ɻ u d̪ ɯ
பவிஷு	p ɐ ʋ i ʂ ɯ
பாகு	p aː ɡ ɯ
பாசம்	p aː s ɐ m
பாசி	p aː s i
பாசுரம்	p aː s u ɾ ɐ m
பாசை	b aː s a ɪ̯
பாசை	p aː s a ɪ̯
பாடசாலை	p aː ɖ ɐ s aː l a ɪ̯
பாடம்போற்று	p aː ɖ ɐ m b oː t r ɯ
பாடு	p aː ɖ ɯ
பாட்டு	p aː ʈː ɯ
பாதிடு	p aː d̪ i ɖ ɯ
பாதிப்பு	b aː d̪ i pː ɯ
பாதுகாப்பு	p aː d̪ u ɡ aː pː ɯ
பாம்பு	p aː m b ɯ
பாயசம்	p aː j ɐ s ɐ m
பாரசீகம்	p aː ɾ ɐ s iː ɡ ɐ m
பாராட்டு	p aː ɾ aː ʈː ɯ
பாராளுமன்றம்	p aː ɾ aː ɭ u m ɐ n d r ɐ m
பாரிசவாதம்	p aː ɾ i s ɐ ʋ aː d̪ ɐ m
பாற்பசு	p aː r p ɐ s ɯ
பாலக்காடு	p aː l ɐ kː aː ɖ ɯ
பாலாறு	p aː l aː r ɯ
பாலுறவு	p aː l u r ɐ ʋ ɯ
பாவிப்பு	p aː ʋ i pː ɯ
பிகு	p i ɡ ɯ
பிகுபண்ணு	p i ɡ u b ɐ ɳː ɯ
பிகுவேற்று	p i ɡ u ʋ eː t r ɯ
பிக்ஷு	b i k ʂ ɯ
பிங்கலகேசி	p i ŋ ɡ ɐ l ɐ ɡ eː s i
பிசகு	p i s ɐ ɡ ɯ
பிசகுசொல்லு	p i s ɐ ɡ u s o l l ɯ
பிசகுநாறு	p i s ɐ ɡ u n̪ aː r ɯ
பிசக்கு	p i s ɐ kː ɯ
பிசங்கம்	p i s ɐ ŋ ɡ ɐ m
பிசங்கற்சீலை	p i s ɐ ŋ ɡ ɐ r s iː l a ɪ̯
பிசங்கு	p i s ɐ ŋ ɡ ɯ
பிசண்டம்	p i s ɐ ɳ ɖ ɐ m
பிசண்டிலன்	p i s ɐ ɳ ɖ i l ɐ n
பிசனம்	p i s ɐ n ɐ m
பிசம்	p i s ɐ m
பிசறு	p i s ɐ r ɯ
பிசறுதல்	p i s ɐ r u d̪ ɐ l
பிசாசக்கை	p i s aː s ɐ kː a ɪ̯
பிசாசடித்தல்	p i s aː s ɐ ɖ i t̪ː ɐ l
பிசாசன்	p i s aː s ɐ n
பிசாசர்	p i s aː s ɐ ɾ
பிசாசாடுதல்	p i s aː s aː ɖ u d̪ ɐ l
பிசாசுபிடித்தல்	p i s aː s u b i ɖ i t̪ː ɐ l
பிசாத்து	p i s aː t̪ː ɯ
பிசான்	p i s aː n
பிசி	p i s i
பிசிதாசனர்	p i s i d̪ aː s ɐ n ɐ ɾ
பிசினரக்கு	p i s i n ɐ ɾ ɐ kː ɯ
பிசினரிசி	p i s i n ɐ ɾ i s i
பிசினி	p i s i n i
பிசின்	p i s i n
பிசின்பட்டை	p i s i n b ɐ ʈː a ɪ̯
பிசிர்தல்	p i s i ɾ d̪ ɐ l
பிசிறுலாடு	p i s i r u l aː ɖ ɯ
பிசுகு	p i s u ɡ ɯ
பிசுகுதல்	p i s u ɡ u d̪ ɐ l
பிசுக்கோத்து	p i s u kː oː t̪ː ɯ
பிசுனம்	p i s u n ɐ m
பிசுபிசு	p i s u b i s ɯ
பிசுபிசுத்தல்	p i s u b i s u t̪ː ɐ l
பிசுபிசுத்தவன்	p i s u b i s u t̪ː ɐ ʋ ɐ n
பிசுபிசெனல்	p i s u b i s e n ɐ l
பிசுமந்தச்சூரணம்	p i s u m ɐ n̪ d̪ ɐ t͡ɕː uː ɾ ɐ ɳ ɐ m
பிசை	p i s a ɪ̯
பிசைதல்	p i s a ɪ̯ d̪ ɐ l
பிச்சு	p i t͡ɕː ɯ
பிஞ்சிற்பழு	p i ɲ d͡ʑ i r p ɐ ɻ ɯ
பிடுங்கு	p i ɖ u ŋ ɡ ɯ
பிட்கு	p i ʈ k ɯ
பின்கட்டுமாறுகட்டு	p i n ɡ ɐ ʈː u m aː r u ɡ ɐ ʈː ɯ
பின்னப்படுத்து	p i nː ɐ pː ɐ ɖ u t̪ː ɯ
பின்னு	p i nː ɯ
பின்பு	p i n b ɯ
பின்போடு	p i n b oː ɖ ɯ
பின்லாந்து	p i n l aː n̪ d̪ ɯ
பிரகாசம்	p i ɾ ɐ ɡ aː s ɐ m
பிரகாசிதம்	p i ɾ ɐ ɡ aː s i d̪ ɐ m
பிரசங்கங்கள்	p i ɾ ɐ s ɐ ŋ ɡ ɐ ŋ ɡ ɐ ɭ
பிரசங்கம்	p i ɾ ɐ s ɐ ŋ ɡ ɐ m
பிரசங்கி	p i ɾ ɐ s ɐ ŋ ɡ i
பிரசாதம்	p i ɾ ɐ s aː d̪ ɐ m
பிரசினம்	p i ɾ ɐ s i n ɐ m
பிரசேசுவரன்	p i ɾ ɐ s eː s u ʋ ɐ ɾ ɐ n
பிரஞ்சு	p i ɾ ɐ ɲ d͡ʑ ɯ
பிரதேசம்	p i ɾ ɐ d̪ eː s ɐ m
பிரபாகரன்	p ɾ ɐ b aː k ɐ ɾ ɐ n
பிரபு	p i ɾ ɐ b ɯ
பிராசாதம்	p i ɾ aː s aː d̪ ɐ m
பிராணவாயு	p i ɾ aː ɳ ɐ ʋ aː j ɯ
பிரியப்படுத்து	p i ɾ i j ɐ pː ɐ ɖ u t̪ː ɯ
பிரிவு	p i ɾ i ʋ ɯ
பிறகிடு	p i r ɐ ɡ i ɖ ɯ
பிறகு	p i r ɐ ɡ ɯ
பிறகுகாண்ணு	p i r ɐ ɡ u ɡ aː ɳː ɯ
பிறங்கு	p i r ɐ ŋ ɡ ɯ
பிறப்பு	p i r ɐ pː ɯ
பிறாண்டு	p i r aː ɳ ɖ ɯ
பிறிதுசாபம்	p i r i d̪ u s aː b ɐ m
பிறைதொழு	p i r a ɪ̯ d̪ o ɻ ɯ
பிற்கு	p i r k ɯ
பிற்சாமம்	p i r s aː m ɐ m
பிலிப்பீன்சு	p i l i pː iː n s ɯ
பிளிறு	p i ɭ i r ɯ
பிளிற்று	p i ɭ i t r ɯ
பிள்ளையாரெறும்பு	p i ɭː a ɪ̯ j aː ɾ e r u m b ɯ
பிழக்கு	p i ɻ ɐ kː ɯ
பிழம்பு	p i ɻ ɐ m b ɯ
பிழைப்பு	p i ɻ a ɪ̯ pː ɯ
பீசுகோலா	p iː s u ɡ oː l aː
பீடிப்பு	p iː ɖ i pː ɯ
புகடு	p u ɡ ɐ ɖ ɯ
புகட்டு	p u ɡ ɐ ʈː ɯ
புகல்வு	p u ɡ ɐ l ʋ ɯ
புசி	p u s i
புசிப்பு	p u s i pː ɯ
புடைப்பு	p u ɖ a ɪ̯ pː ɯ
புண்ணாக்கு	p u ɳː aː kː ɯ
புது	p u d̪ ɯ
புத்தாண்டு	p u t̪ː aː ɳ ɖ ɯ
புனுகு	p u n u ɡ ɯ
புனைவு	p u n a ɪ̯ ʋ ɯ
புயற்காற்று	p u j ɐ r k aː t r ɯ
புரட்டாசி	p u ɾ ɐ ʈː aː s i
புரவு	p u ɾ ɐ ʋ ɯ
புரிவு	p u ɾ i ʋ ɯ
புறவு	p u r ɐ ʋ ɯ
புற்றுநோய்	p u t r u n̪ oː j
புலனாய்வு	p u l ɐ n aː j ʋ ɯ
புலம்பு	p u l ɐ m b ɯ
புழு	p u ɻ ɯ
பூங்காற்று	p uː ŋ ɡ aː t r ɯ
பூசு	p uː s ɯ
பூசை	p uː s a ɪ̯
பூடு	p uː ɖ ɯ
பூட்டு	p uː ʈː ɯ
பூட்டைக்கிணறு	p uː ʈː a ɪ̯ kː i ɳ ɐ r ɯ
பூண்டு	p uː ɳ ɖ ɯ
பூப்பு	p uː pː ɯ
பூமிசாஸ்திரம்	p uː m i s aː s t̪ i ɾ ɐ m
பூலாங்கிழங்கு	p uː l aː ŋ ɡ i ɻ ɐ ŋ ɡ ɯ
பெங்களூரு	b e ŋ ɡ ɐ ɭ uː ɾ ɯ
பெண்	p o ɳ
பெண்	p o ɳː ɯ
பெண்கரு	p e ɳ ɡ ɐ ɾ ɯ
பெண்சனம்	p e ɳ s ɐ n ɐ m
பெயர்க்கு	p e j ɐ ɾ kː ɯ
பெயர்த்திரிசொல்	p e j ɐ ɾ t̪ː i ɾ i s o l
பெயர்ப்படு	p e j ɐ ɾ pː ɐ ɖ ɯ
பெயர்ப்பு	p e j ɐ ɾ pː ɯ
பெயர்வேற்றுமை	p e j ɐ ɾ ʋ eː t r u m a ɪ̯
பெருகு	p e ɾ u ɡ ɯ
பெருக்கல்வாய்பாடு	p e ɾ u kː ɐ l ʋ aː j b aː ɖ ɯ
பெருக்கு	p e ɾ u kː ɯ
பெருநெஞ்சு	p e ɾ u n̪ e ɲ d͡ʑ ɯ
பெருந்தொற்று	p e ɾ u n̪ d̪ o t r ɯ
பெருமருந்து	p e ɾ u m ɐ ɾ u n̪ d̪ ɯ
பெருமூச்சு	p e ɾ u m uː t͡ɕː ɯ
பெறு	p e r ɯ
பெற்றம்	p e t r ɐ m
பெற்றவன்	p e t r ɐ ʋ ɐ n
பெற்றி	p e t r i
பெற்றிமை	p e t r i m a ɪ̯
பேக்கு	b eː kː ɯ
பேசி	p eː s i
பேசு	p eː s ɯ
பேச்சு	p eː t͡ɕː ɯ
பேதிமருந்து	p eː d̪ i m ɐ ɾ u n̪ d̪ ɯ
பேதுரு	p eː d̪ u ɾ ɯ
பேரரசு	p eː ɾ ɐ ɾ ɐ s ɯ
பேராசிரியர்	p eː ɾ aː s i ɾ i j ɐ ɾ
பேராசை	p eː ɾ aː s a ɪ̯
பேராசைக்காரன்	p eː ɾ aː s a ɪ̯ kː aː ɾ ɐ n
பேராசைக்காரர்கள்	p eː ɾ aː s a ɪ̯ kː aː ɾ ɐ ɾ ɡ ɐ ɭ
பேருந்து	p eː ɾ u n̪ d̪ ɯ
பேறு	p eː r ɯ
பொங்கு	p o ŋ ɡ ɯ
பொது	p o d̪ ɯ
பொத்தாறு	p o t̪ː aː r ɯ
பொத்து	p o t̪ː ɯ
பொந்து	p o n̪ d̪ ɯ
பொன்வண்டு	p o n ʋ ɐ ɳ ɖ ɯ
பொருத்து	p o ɾ u t̪ː ɯ
பொருந்து	p o ɾ u n̪ d̪ ɯ
பொறு	p o r ɯ
பொறுப்பு	p o r u pː ɯ
பொலிவு	p o l i ʋ ɯ
பொல்லாப்பு	p o l l aː pː ɯ
பொழுது	p o ɻ u d̪ ɯ
போக்கு	p oː kː ɯ
போக்குவரத்து	p oː kː u ʋ ɐ ɾ ɐ t̪ː ɯ
போடு	p oː ɖ ɯ
போது	p oː d̪ ɯ
போதைமருந்து	p oː d̪ a ɪ̯ m ɐ ɾ u n̪ d̪ ɯ
போத்து	p oː t̪ː ɯ
போன்ற	p oː n d r ɐ
போன்றீயம்	p oː n d r iː j ɐ m
போராடு	p oː ɾ aː ɖ ɯ
போற்று	p oː t r ɯ
போற்றுநர்	p oː t r u n̪ ɐ ɾ
போலீசு	p oː l iː s ɯ
மகப்பேறு	m ɐ ɡ ɐ pː eː r ɯ
மகிழுந்து	m ɐ ɡ i ɻ u n̪ d̪ ɯ
மகேசன்	m ɐ ɡ eː s ɐ n
மக்களாட்சி	m ɐ kː ɐ ɭ aː ʈ s i
மக்கு	m ɐ kː ɯ
மங்குசுத்தான்	m ɐ ŋ ɡ u s u t̪ː aː n
மசக்கை	m ɐ s ɐ kː a ɪ̯
மசூதி	m ɐ s uː d̪ i
மஞ்சக்கடம்பு	m a ɲ d͡ʒ ə kː ə ɖ ə m b ʉ
மஞ்சட்சாமந்தி	m ɐ ɲ d͡ʑ ɐ ʈ s aː m ɐ n̪ d̪ i
மஞ்சு	m ɐ ɲ d͡ʑ ɯ
மட்டக்களப்பு	m ɐ ʈː ɐ kː ɐ ɭ ɐ pː ɯ
மட்டு	m ɐ ʈː ɯ
மட்டுத்தப்பு	m ɐ ʈː u t̪ː ɐ pː ɯ
மணத்து	m ɐ ɳ ɐ t̪ː ɯ
மணவிலக்கு	m ɐ ɳ ɐ ʋ i l ɐ kː ɯ
மணிக்கட்டு	m ɐ ɳ i kː ɐ ʈː ɯ
மதகு	m ɐ d̪ ɐ ɡ ɯ
மதிப்பு	m ɐ d̪ i pː ɯ
மது	m ɐ d̪ ɯ
மதுசூதன்	m ɐ d̪ u s uː d̪ ɐ n
மத்தேயு	m ɐ t̪ː eː j ɯ
மந்து	m ɐ n̪ d̪ ɯ
மனசாட்சி	m ɐ n ɐ s aː ʈ s i
மனசு	m ɐ n ɐ s ɯ
மனது	m ɐ n ɐ d̪ ɯ
மனப்பதைப்பு	m ɐ n ɐ pː ɐ d̪ a ɪ̯ pː ɯ
மனப்பாங்கு	m ɐ n ɐ pː aː ŋ ɡ ɯ
மனப்போக்கு	m ɐ n ɐ pː oː kː ɯ
மனமாற்றம்	m ɐ n ɐ m aː t r ɐ m
மன்னிப்பு	m ɐ nː i pː ɯ
மன்றம்	m ɐ n d r ɐ m
மன்றாட்டு	m ɐ n d r aː ʈː ɯ
மப்பு	m ɐ b b ɯ
மப்பு	m ɐ pː ɯ
மயங்கு	m ɐ j ɐ ŋ ɡ ɯ
மயர்வு	m ɐ j ɐ ɾ ʋ ɯ
மயிரிழவு	m ɐ j i ɾ i ɻ ɐ ʋ ɯ
மயிற்கொன்றை	m ɐ j i r k o n d r a ɪ̯
மருங்கு	m ɐ ɾ u ŋ ɡ ɯ
மருட்டு	m ɐ ɾ u ʈː ɯ
மருந்து	m ɐ ɾ u n̪ d̪ ɯ
மருப்பு	m ɐ ɾ u pː ɯ
மருவு	m ɐ ɾ u ʋ ɯ
மறு	m ɐ r ɯ
மறுகு	m ɐ r u ɡ ɯ
மறுசுழற்சி	m ɐ r u s u ɻ ɐ r s i
மறுசொல்	m ɐ r u s o l
மறுபரிசீலனை	m ɐ r u b ɐ ɾ i s iː l ɐ n a ɪ̯
மற்ற	m ɐ t r ɐ
மற்றப்படி	m ɐ t r ɐ pː ɐ ɖ i
மற்று	m ɐ t r ɯ
மற்றும்	m ɐ t r u m
மற்றை	m ɐ t r a ɪ̯
மலக்கழிவு	m ɐ l ɐ kː ɐ ɻ i ʋ ɯ
மலக்கு	m ɐ l ɐ kː ɯ
மலேசியா	m ɐ l eː s i j aː
மலைப்பாம்பு	m ɐ l a ɪ̯ pː aː m b ɯ
மலைப்புன்கு	m ɐ l a ɪ̯ pː u n ɡ ɯ
மலைப்பேரீச்சு	m ɐ l a ɪ̯ pː eː ɾ iː t͡ɕː ɯ
மலைவு	m ɐ l a ɪ̯ ʋ ɯ
மாசம்	m aː s ɐ m
மாசவிடாய்	m aː s ɐ ʋ i ɖ aː j
மாசி	m aː s i
மாடு	m aː ɖ ɯ
மாட்டு	m aː ʈː ɯ
மாண்பு	m aː ɳ b ɯ
மாதிரு	m aː d̪ i ɾ ɯ
மாத்து	m aː t̪ː ɯ
மாநாடு	m aː n̪ aː ɖ ɯ
மாப்பிசின்	m aː pː i s i n
மாப்பு	m aː pː ɯ
மாமிசம்	m aː m i s ɐ m
மாரடைப்பு	m aː ɾ ɐ ɖ a ɪ̯ pː ɯ
மார்ச்	m aː ɾ s
மாறு	m aː r ɯ
மாறுபாடு	m aː r u b aː ɖ ɯ
மாற்றம்	m aː t r ɐ m
மாற்று	m aː t r ɯ
மாற்றுத்திறனாளி	m aː t r u t̪ː i r ɐ n aː ɭ i
மாற்றுமருந்து	m aː t r u m ɐ ɾ u n̪ d̪ ɯ
மாவு	m aː ʋ ɯ
மிகு	m i ɡ ɯ
மிசோரம்	m i s oː ɾ ɐ m
மிஞ்சு	m i ɲ d͡ʑ ɯ
மினுக்கு	m i n u kː ɯ
மினுங்கு	m i n u ŋ ɡ ɯ
மினுமினுப்பு	m i n u m i n u pː ɯ
மின்சாரம்	m i n s aː ɾ ɐ m
மின்சாரவண்டி	m i n s aː ɾ ɐ ʋ ɐ ɳ ɖ i
மின்னணு	m i nː ɐ ɳ ɯ
மின்னு	m i nː ɯ
மிரட்டு	m i ɾ ɐ ʈː ɯ
மிருகசீருடம்	m i ɾ u ɡ ɐ s iː ɾ u ɖ ɐ m
மிருது	m i ɾ u d̪ ɯ
மிருத்தியு	m i ɾ u t̪ː i j ɯ
மிளகு	m i ɭ ɐ h ɯ
மிளகு	m i ɭ ɐ ɡ ɯ
மீக்கூற்றம்	m iː kː uː t r ɐ m
மீசு	m iː s ɯ
மீசை	m iː s a ɪ̯
மீச்செலவு	m iː t͡ɕː e l ɐ ʋ ɯ
மீட்டு	m iː ʈː ɯ
மீனாட்சி	m iː n aː ʈ s i
மீன்சிறகு	m iː n s i r ɐ ɡ ɯ
மீப்பு	m iː pː ɯ
முகடு	m u ɡ ɐ ɖ ɯ
முடக்கு	m u ɖ ɐ kː ɯ
முடியாட்சி	m u ɖ i j aː ʈ s i
முடிவு	m u ɖ i ʋ ɯ
முடுக்கு	m u ɖ u kː ɯ
முட்கொன்றை	m u ʈ k o n d r a ɪ̯
முட்செவ்வந்தி	m u ʈ s e ʋː ɐ n̪ d̪ i
முட்டு	m u ʈː ɯ
முதலீடு	m u d̪ ɐ l iː ɖ ɯ
முதுகு	m u d̪ u ɡ ɯ
முத்தமிடு	m u t̪ː ɐ m i ɖ ɯ
முத்தாடு	m u t̪ː aː ɖ ɯ
முத்து	m u t̪ː ɯ
முன்னூறு	m u nː uː r ɯ
முன்னேற்றம்	m u nː eː t r ɐ m
முன்னொட்டு	m u nː o ʈː ɯ
முன்பிலாண்டு	m u n b i l aː ɳ ɖ ɯ
முன்பு	m u n b ɯ
முன்றுறை	m u n d r u r a ɪ̯
முப்பது	m u pː ɐ d̪ ɯ
முயற்சி	m u j ɐ r s i
முயற்செவி	m u j ɐ r s e ʋ i
முரசு	m u ɾ ɐ s ɯ
முரடு	m u ɾ ɐ ɖ ɯ
முறுக்கு	m u r u kː ɯ
முறையீடு	m u r a ɪ̯ j iː ɖ ɯ
முற்படு	m u r p ɐ ɖ ɯ
முற்றிலும்	m u t r i l u m
முள்கு	m u ɭ ɡ ɯ
முள்ளங்கிழங்கு	m u ɭː ɐ ŋ ɡ i ɻ ɐ ŋ ɡ ɯ
முள்ளம்பன்றி	m u ɭː ɐ m b ɐ n d r i
முள்ளம்பன்றிகள்	m u ɭː ɐ m b ɐ n d r i ɡ ɐ ɭ
முள்ளிலவு	m u ɭː i l ɐ ʋ ɯ
முள்ளுமுருக்கு	m u ɭː u m u ɾ u kː ɯ
முழு	m u ɻ ɯ
முழுங்கு	m u ɻ u ŋ ɡ ɯ
மூக்கு	m uː kː ɯ
மூச்சு	m uː t͡ɕː ɯ
மூடு	m uː ɖ ɯ
மூட்டு	m uː ʈː ɯ
மூது	m uː d̪ ɯ
மூன்று	m uː n d r ɯ
மூலக்கூறு	m uː l ɐ kː uː r ɯ
மூழ்கு	m uː ɻ ɡ ɯ
மெது	m e d̪ ɯ
மெத்து	m e t̪ː ɯ
மெய்ப்பாட்டிசைக்குறி	m e j pː aː ʈː i s a ɪ̯ kː u r i
மெய்யெழுத்து	m e jː e ɻ u t̪ː ɯ
மெருகு	m e ɾ u ɡ ɯ
மேசை	m eː s a ɪ̯
மேடு	m eː ɖ ɯ
மேனாடு	m eː n aː ɖ ɯ
மேன்றலை	m eː n d r ɐ l a ɪ̯
மேம்படு	m eː m b ɐ ɖ ɯ
மேம்பாடு	m eː m b aː ɖ ɯ
மேய்ப்பு	m eː j pː ɯ
மேற்கு	m eː k k ɯ
மேற்கு	m eː r k ɯ
மேற்கொண்டு	m eː r k o ɳ ɖ ɯ
மேற்கோப்பு	m eː r k oː pː ɯ
மேற்செலவு	m eː r s e l ɐ ʋ ɯ
மேற்படு	m eː r p ɐ ɖ ɯ
மேற்றளம்	m eː t r ɐ ɭ ɐ m
மேலிடு	m eː l i ɖ ɯ
மொட்டு	m o ʈː ɯ
மொய்ம்பு	m o j m b ɯ
மொய்யற்சன்னி	m o jː ɐ r s ɐ nː i
மொழிபு	m o ɻ i b ɯ
மொழிபெயர்ப்பு	m o ɻ i p ɛ j ɐ ɾ pː ɯ
மோசம்	m oː s ɐ m
மோசே	m oː s eː
மோடு	m oː ɖ ɯ
மோது	m oː d̪ ɯ
யோகசேமம்	j oː ɡ ɐ s eː m ɐ m
யோகட்சேமம்	j oː ɡ ɐ ʈ s eː m ɐ m
யோசனை	j oː s ɐ n a ɪ̯
யோசி	j oː s i
யோசுவா	j oː s u ʋ aː
ரகசியம்	ɾ ɐ ɡ ɐ s i j ɐ m
ரங்கு	ɾ ɐ ŋ ɡ ɯ
ரசம்	ɾ ɐ s ɐ m
ரத்தமசூரிகை	ɾ ɐ t̪ː ɐ m ɐ s uː ɾ i ɡ a ɪ̯
ரம்சான்	ɾ ɐ m s aː n
ராமேசுவரம்	ɾ aː m eː s u ʋ ɐ ɾ ɐ m
ருசரகம்	ɾ u s ɐ ɾ ɐ ɡ ɐ m
ருத்திரசடை	ɾ u t̪ː i ɾ ɐ s ɐ ɖ a ɪ̯
ரெண்டு	ɾ e ɳ ɖ ɯ
ரெம்பு	ɾ e m b ɯ
ரேவு	ɾ eː ʋ ɯ
ரொம்பு	ɾ o m b ɯ
ரொஷ்டு	ɾ o ʂ ʈ ɯ
லட்சம்	l ɐ ʈ s ɐ m
லட்டு	l ɐ ʈː ɯ
லத்தாடு	l ɐ t̪ː aː ɖ ɯ
லொடுக்கு	l o ɖ u kː ɯ
வகு	ʋ ɐ ɡ ɯ
வகுப்பு	ʋ ɐ ɡ u pː ɯ
வங்காளதேசம்	ʋ ɐ ŋ ɡ aː ɭ ɐ d̪ eː s ɐ m
வங்கிக்கணக்கு	ʋ ɐ ŋ ɡ i kː ɐ ɳ ɐ kː ɯ
வசதி	ʋ ɐ s ɐ d̪ i
வசந்தம்	ʋ ɐ s ɐ n̪ d̪ ɐ m
வசனம்	ʋ ɐ s ɐ n ɐ m
வசம்பு	ʋ ɐ s ɐ m b ɯ
வசி	ʋ ɐ s i
வசியம்	ʋ ɐ s i j ɐ m
வசீகரம்	ʋ ɐ s iː ɡ ɐ ɾ ɐ m
வடக்கு	ʋ ɐ ɖ ɐ kː ɯ
வடசொல்	ʋ ɐ ɖ ɐ s o l
வடமேற்கு	ʋ ɐ ɖ ɐ m eː r k ɯ
வடமொழியெழுத்து	ʋ ɐ ɖ ɐ m o ɻ i j e ɻ u t̪ː ɯ
வடிவமைப்பு	ʋ ɐ ɖ i ʋ ɐ m a ɪ̯ pː ɯ
வடைப்பருப்பு	ʋ ɐ ɖ a ɪ̯ pː ɐ ɾ u pː ɯ
வணங்கு	ʋ ɐ ɳ ɐ ŋ ɡ ɯ
வண்டு	ʋ ɐ ɳ ɖ ɯ
வமிசம்	ʋ ɐ m i s ɐ m
வமிசாவளி	ʋ ɐ m i s aː ʋ ɐ ɭ i
வம்சம்	ʋ ɐ m s ɐ m
வயசு	ʋ ɐ j ɐ s ɯ
வயது	ʋ ɐ j ɐ d̪ ɯ
வயநாடு	ʋ ɐ j ɐ n̪ aː ɖ ɯ
வரகு	ʋ ɐ ɾ ɐ ɡ ɯ
வரதட்சணை	ʋ ɐ ɾ ɐ d̪ ɐ ʈ s ɐ ɳ a ɪ̯
வரத்து	ʋ ɐ ɾ ɐ t̪ː ɯ
வரப்பண்ணு	ʋ ɐ ɾ ɐ pː ɐ ɳː ɯ
வரப்பு	ʋ ɐ ɾ ɐ pː ɯ
வரம்பு	ʋ ɐ ɾ ɐ m b ɯ
வரலாறு	ʋ ɐ ɾ ɐ l aː r ɯ
வரலாற்று	ʋ ɐ ɾ ɐ l aː t r ɯ
வரவு	ʋ ɐ ɾ ɐ ʋ ɯ
வரிசை	ʋ ɐ ɾ i s a ɪ̯
வருடப்பிறப்பு	ʋ ɐ ɾ u ɖ ɐ pː i r ɐ pː ɯ
வருந்து	ʋ ɐ ɾ u n̪ d̪ ɯ
வரையாடு	ʋ ɐ ɾ a ɪ̯ j aː ɖ ɯ
வறடு	ʋ ɐ r ɐ ɖ ɯ
வறட்சி	ʋ ɐ r ɐ ʈ s i
வறு	ʋ ɐ r ɯ
வற்பு	ʋ ɐ r p ɯ
வற்றம்	ʋ ɐ t r ɐ m
வற்றல்	ʋ ɐ t r ɐ l
வலசை	ʋ ɐ l ɐ s a ɪ̯
வலது	ʋ ɐ l ɐ d̪ ɯ
வலிப்பு	ʋ ɐ l i pː ɯ
வலுப்பு	ʋ ɐ l u pː ɯ
வலையமைப்பு	ʋ ɐ l a ɪ̯ j ɐ m a ɪ̯ pː ɯ
வல்லூற்று	ʋ ɐ l l uː t r ɯ
வல்லேறு	ʋ ɐ l l eː r ɯ
வளர்ப்பு	ʋ ɐ ɭ ɐ ɾ pː ɯ
வளைவு	ʋ ɐ ɭ a ɪ̯ ʋ ɯ
வழக்கு	ʋ ɐ ɻ ɐ kː ɯ
வழங்காப்பொழுது	ʋ ɐ ɻ ɐ ŋ ɡ aː pː o ɻ u d̪ ɯ
வழங்கு	ʋ ɐ ɻ ɐ ŋ ɡ ɯ
வழவழப்பு	ʋ ɐ ɻ ɐ ʋ ɐ ɻ ɐ pː ɯ
வழிகாட்டு	ʋ ɐ ɻ i ɡ aː ʈː ɯ
வழிச்செலவு	ʋ ɐ ɻ i t͡ɕː e l ɐ ʋ ɯ
வழிபாடு	ʋ ɐ ɻ i b aː ɖ ɯ
வழுக்கு	ʋ ɐ ɻ u kː ɯ
வவ்வு	ʋ ɐ ʋː ɯ
வாகை	ʋ aː ɣ a ɪ
வாக்களிப்பு	ʋ aː kː ɐ ɭ i pː ɯ
வாக்காடு	ʋ aː kː aː ɖ ɯ
வாக்காட்டு	ʋ aː kː aː ʈː ɯ
வாக்கு	ʋ aː kː ɯ
வாங்கு	ʋ aː ŋ ɡ ɯ
வாசனை	ʋ aː s ɐ n a ɪ̯
வாசல்	ʋ aː s ɐ l
வாசஸ்தலம்	ʋ aː s ɐ s t̪ ɐ l ɐ m
வாசி	ʋ aː s i
வாசிதம்	ʋ aː s i d̪ ɐ m
வாடு	ʋ aː ɖ ɯ
வாத்து	ʋ aː t̪ː ɯ
வாயு	ʋ aː j ɯ
வாய்ச்சொலவு	ʋ aː j t͡ɕː o l ɐ ʋ ɯ
வாய்ப்பாட்டு	ʋ aː j pː aː ʈː ɯ
வாய்ப்பு	ʋ aː j pː ɯ
