అ	ɐ
తొలిబువ్వము	t̪ ɔ l ɪ b ʊ ʋː ɐ m ʊ
తొలుకుడుపు	t̪ ɔ l ʊ k ʊ ɖ ʊ p ʊ
తోఁక	t̪ oː k ɐ
తోక	t̪ oː k ɐ
తోకకోయు	t̪ oː k ɐ k oː j ʊ
తోకలు	t̪ oː k ɐ l ʊ
తోట	t̪ oː ʈ ɐ
తోటకూర	t̪ oː ʈ ɐ k uː ɾ ɐ
తోడ	t̪ oː ɖ ɐ
తోడి	t̪ oː ɖ ɪ
తోడికోడలు	t̪ oː ɖ ɪ k oː ɖ ɐ l ʊ
తోడు	t̪ oː ɖ ʊ
తోడునీడ	t̪ oː ɖ ʊ n̪ iː ɖ ɐ
తోము	t̪ oː m ʊ
తోలు	t̪ oː l ʊ
తోలుబొమ్మ	t̪ oː l ʊ b ɔ mː ɐ
తోలుబొమ్మల	t̪ oː l ʊ b ɔ mː ɐ l ɐ
తోలుబొమ్మలాట	t̪ oː l ʊ b ɔ mː ɐ l aː ʈ ɐ
తోలుబొమ్మలు	t̪ oː l ʊ b ɔ mː ɐ l ʊ
తోలువాద్యము	t̪ oː l ʊ ʋ aː d̪ j ɐ m ʊ
తోసిపుచ్చు	t̪ oː s ɪ p ʊ t͡ɕː ʊ
త్ర	t̪ ɾ ɐ
త్రచ్చన	t̪ ɾ ɐ t͡ɕː ɐ n̪ ɐ
త్రయం	t̪ ɾ ɐ j ɐ m̃
త్రయము	t̪ ɾ ɐ j ɐ m ʊ
త్రయి	t̪ ɾ ɐ j ɪ
త్రవ్వు	t r a ʋː u
త్రాగడము	t̪ ɾ aː ɡ ɐ ɖ ɐ m ʊ
త్రాగు	t̪ ɾ aː ɡ ʊ
త్రాగుట	t̪ ɾ aː ɡ ʊ ʈ ɐ
త్రాగుడు	t̪ ɾ aː ɡ ʊ ɖ ʊ
త్రాగునీరు	t̪ ɾ aː ɡ ʊ n̪ iː ɾ ʊ
త్రావించు	t̪ ɾ aː ʋ ɪ ɲ t͡ɕ ʊ
త్రావు	t̪ ɾ aː ʋ ʊ
త్రావుట	t̪ ɾ aː ʋ ʊ ʈ ɐ
త్రావుడు	t̪ ɾ aː ʋ ʊ ɖ ʊ
త్రావునీరు	t̪ ɾ aː ʋ ʊ n̪ iː ɾ ʊ
త్రావుబోతు	t̪ ɾ aː ʋ ʊ b oː t̪ ʊ
త్రి	t̪ ɾ ɪ
త్రిదండము	t̪ ɾ ɪ d̪ ɐ ɳ ɖ ɐ m ʊ
త్రిదండములు	t̪ ɾ ɪ d̪ ɐ ɳ ɖ ɐ m ʊ l ʊ
త్రోవ	t̪ ɾ oː ʋ ɐ
త్వర	t̪ ʋ ɐ ɾ ɐ
థ	t̪ʰ a
దండ	d̪ ɐ ɳ ɖ ɐ
దండం	d̪ ɐ ɳ ɖ ɐ m̃
దండము	d̪ ɐ ɳ ɖ ɐ m ʊ
దండములు	d̪ ɐ ɳ ɖ ɐ m ʊ l ʊ
దండలు	d̪ ɐ ɳ ɖ ɐ l ʊ
దండాలు	d̪ ɐ ɳ ɖ aː l ʊ
దంతము	d̪ ɐ n̪ t̪ ɐ m ʊ
దంతవైద్యుడు	d̪ ɐ n̪ t̪ ɐ ʋ ɐ ɪ̯ d̪ j ʊ ɖ ʊ
దక్కు	d̪ a kː u
దక్షిణము	d̪ ɐ k ʂ ɪ ɳ ɐ m ʊ
దగ్గర	d̪ ɐ ɡː ɐ ɾ ɐ
దగ్గు	d a ɡː u
దత్తత	d̪ ɐ t̪ː ɐ t̪ ɐ
దత్తపుత్రుఁడు	d̪ ɐ t̪ː ɐ p ʊ t̪ ɾ ʊ ɖ ʊ
దత్తపుత్రుడు	d̪ ɐ t̪ː ɐ p ʊ t̪ ɾ ʊ ɖ ʊ
దత్తుఁడు	d̪ ɐ t̪ː ʊ ɖ ʊ
దత్తుడు	d̪ ɐ t̪ː ʊ ɖ ʊ
దబ్బ	d a bː a
దయచేయు	d̪ ɐ j ɐ t͡ɕ eː j ʊ
దయచేసి	d̪ ɐ j ɐ t͡ɕ eː s ɪ
దర్పణంపట్టు	d̪ ɐ ɾ p ɐ ɳ ɐ m p ɐ ʈː ʊ
దలైలామా	d̪ ɐ l ɐ ɪ̯ l aː m aː
దళితుడు	d̪ ɐ ɭ ɪ t̪ ʊ ɖ ʊ
దళితురాలు	d̪ ɐ ɭ ɪ t̪ ʊ ɾ aː l ʊ
దవడ	d̪ ɐ ʋ ɐ ɖ ɐ
దవడలు	d̪ ɐ ʋ ɐ ɖ ɐ l ʊ
దవాఖానా	d̪ ɐ ʋ aː kʰ aː n̪ aː
దవ్వు	d̪ ɐ ʋː ʊ
దాక	d̪ aː k ɐ
దాకలు	d̪ aː k ɐ l ʊ
దాచు	d̪ aː t͡ɕ ʊ
దాటాడు	d̪ aː ʈ aː ɖ ʊ
దాటాను	d̪ aː ʈ aː n̪ ʊ
దాటాము	d̪ aː ʈ aː m ʊ
దాటారు	d̪ aː ʈ aː ɾ ʊ
దాటావు	d̪ aː ʈ aː ʋ ʊ
దాటించు	d̪ aː ʈ ɪ ɲ t͡ɕ ʊ
దాటింది	d̪ aː ʈ ɪ n̪ d̪ ɪ
దాటు	d̪ aː ʈ ʊ
దాడి	d aː ɖ i
దాదాపు	d̪ aː d̪ aː p ʊ
దానము	d̪ aː n̪ ɐ m ʊ
దానాలు	d̪ aː n̪ aː l ʊ
దాపు	d̪ aː p ʊ
దాపుబోడ	d aː p u b oː ɖ a
దారి	d̪ aː ɾ ɪ
దారువు	d̪ aː ɾ ʊ ʋ ʊ
దాల్చినచెక్క	d̪ aː l t͡ɕ ɪ n̪ ɐ t͡ɕ ɛ kː ɐ
దావత్‌	d̪ aː ʋ ɐ t̪‌
ది	d i
దిక్కు	d̪ ɪ kː ʊ
దినం	d̪ ɪ n̪ ɐ m̃
దినమణి	d i n a m a ɳ i
దినము	d̪ ɪ n̪ ɐ m ʊ
దినములు	d̪ ɪ n̪ ɐ m ʊ l ʊ
దినాలు	d̪ ɪ n̪ aː l ʊ
దివ్యవాణి	d̪ ɪ ʋ j ɐ ʋ aː ɳ ɪ
దిశ	d̪ ɪ ɕ ɐ
దీర్ఘనిద్ర	d̪ iː ɾ ɡʱ ɐ n̪ ɪ d̪ ɾ ɐ
దీవి	d̪ iː ʋ ɪ
దుంప	d̪ ʊ m p ɐ
దుః	d̪ uʱ
దుఃఖము	d̪ ʊ h kʰ ɐ m ʊ
దుక్కి	d̪ u kː i
దున్ను	d̪ ʊ n̪ n̪ ʊ
దుబ్బ	d̪ ʊ bː ɐ
దుమ్ము	d̪ ʊ mː ʊ
దుమ్ములగొండి	d̪ ʊ mː ʊ l ɐ ɡ ɔ ɳ ɖ ɪ
దురదృష్టము	d̪ ʊ ɾ ɐ d̪ ɻ̍ ʂ ʈ ɐ m ʊ
దురాలోచన	d̪ ʊ ɾ aː l oː t͡ɕ ɐ n̪ ɐ
దుర్వాసన	d̪ ʊ ɾ ʋ aː s ɐ n̪ ɐ
దువ్వు	d u ʋː u
దుస్తు	d̪ ʊ s t̪ ʊ
దుస్తులు	d̪ ʊ s t̪ ʊ l ʊ
దుహిత	d̪ ʊ h ɪ t̪ ɐ
దూడ	d̪ uː ɖ ɐ
దూరము	d̪ uː ɾ ɐ m ʊ
దూరు	d̪ uː ɾ ʊ
దృక్కు	d̪ ɻ̍ kː ʊ
దృఢం	d̪ ɻ̍ ɖʱ ɐ m̃
దెప్పు	d̪ ɛ pː ʊ
దెబ్బ	d e bː a
దేవత	d̪ eː ʋ ɐ t̪ ɐ
దేవి	d̪ eː ʋ ɪ
దేవిడీ	d̪ eː ʋ ɪ ɖ iː
దేవుడు	d̪ eː ʋ ʊ ɖ ʊ
దొడ్డ	d o ɖː a
దొడ్డి	d o ɖː i
దొప్ప	d̪ o pː a
దొర	d̪ ɔ ɾ ɐ
దోయి	d̪ oː j ɪ
దోస	d̪ oː s ɐ
దోస్తు	d̪ oː s t̪ ʊ
ద్వారం	d̪ ʋ aː ɾ ɐ m̃
ద్వారము	d̪ ʋ aː ɾ ɐ m ʊ
ద్వారా	d̪ ʋ aː ɾ aː
ద్వారాలు	d̪ ʋ aː ɾ aː l ʊ
ద్వి	d̪ ʋ ɪ
ద్వైతం	d̪ ʋ ɐ ɪ̯ t̪ ɐ m̃
ద్వైతము	d̪ ʋ ɐ ɪ̯ t̪ ɐ m ʊ
ధర	d̪ʱ ɐ ɾ ɐ
ధరణి	d̪ʱ a r a ɳ i
ధరాధరం	d̪ʱ ɐ ɾ aː d̪ʱ ɐ ɾ ɐ m̃
ధరాధరము	d̪ʱ ɐ ɾ aː d̪ʱ ɐ ɾ ɐ m ʊ
ధరించు	d̪ʱ ɐ ɾ ɪ ɲ t͡ɕ ʊ
ధరిత్రి	dʱ a r i t r i
ధర్మం	d̪ʱ ɐ ɾ m ɐ m̃
ధర్మము	d̪ʱ ɐ ɾ m ɐ m ʊ
ధర్మశాల	d̪ʱ ɐ ɾ m ɐ ɕ aː l ɐ
ధర్మాలు	d̪ʱ ɐ ɾ m aː l ʊ
ధవళము	d̪ʱ ɐ ʋ ɐ ɭ ɐ m ʊ
ధాత్రి	dʱ aː t r i
ధార	d̪ʱ aː ɾ ɐ
ధారాదత్తము	d̪ʱ aː ɾ aː d̪ ɐ t̪ː ɐ m ʊ
ధీ	dʱ iː
ధీరం	d̪ʱ iː ɾ ɐ m̃
ధీరము	d̪ʱ iː ɾ ɐ m ʊ
ధూర్జటి	d̪ʱ uː r d͡ʒ a ʈ i
ధేనువు	dʱ eː n u ʋ u
ధ్వంసము	d̪ʱ ʋ ɐ m̃ s ɐ m ʊ
ధ్వని	d̪ʱ ʋ ɐ n̪ ɪ
నంజు	n̪ ɐ ɲ d͡ʑ ʊ
నంది	n̪ ɐ n̪ d̪ ɪ
నక్క	n̪ ɐ kː ɐ
నక్కు	n a kː u
నగ	n̪ ɐ ɡ ɐ
నగలు	n̪ ɐ ɡ ɐ l ʊ
నచ్చు	n̪ ɐ t͡ɕː ʊ
నటి	n̪ ɐ ʈ ɪ
నటుడు	n̪ ɐ ʈ ʊ ɖ ʊ
నటులు	n̪ ɐ ʈ ʊ l ʊ
నట్టు	n̪ a ʈː u
నడ	n̪ ɐ ɖ ɐ
నడక	n̪ ɐ ɖ ɐ k ɐ
నడచు	n̪ ɐ ɖ ɐ t͡ɕ ʊ
నడపించు	n̪ ɐ ɖ ɐ p ɪ ɲ t͡ɕ ʊ
నడివ్రేలు	n̪ ɐ ɖ ɪ ʋ ɾ eː l ʊ
నడుచు	n̪ ɐ ɖ ʊ t͡ɕ ʊ
నడుము	n̪ ɐ ɖ ʊ m ʊ
నత్త	n a tː a
నదం	n̪ ɐ d̪ ɐ m̃
నదము	n̪ ɐ d̪ ɐ m ʊ
నది	n̪ ɐ d̪ ɪ
నమలి	n̪ ɐ m ɐ l ɪ
నమస్కారం	n̪ ɐ m ɐ s k aː ɾ ɐ m̃
నమస్కారము	n̪ ɐ m ɐ s k aː ɾ ɐ m ʊ
నమస్కృతి	n̪ ɐ m ɐ s k ɻ̍ t̪ ɪ
నమ్మకము	n̪ ɐ mː ɐ k ɐ m ʊ
నమ్మిక	n̪ ɐ mː ɪ k ɐ
నమ్ము	n̪ ɐ mː ʊ
నర్తించు	n̪ ɐ ɾ t̪ ɪ ɲ t͡ɕ ʊ
నలుపు	n̪ ɐ l ʊ p ʊ
నల్గొండ	n̪ ɐ l ɡ ɔ ɳ ɖ ɐ
నల్లన	n̪ ɐ lː ɐ n̪ ɐ
నల్లని	n̪ ɐ lː ɐ n̪ ɪ
నల్లనివాడు	n̪ ɐ lː ɐ n̪ ɪ ʋ aː ɖ ʊ
నళ	n a ɭ a
నవ	n̪ ɐ ʋ ɐ
నవము	n̪ ɐ ʋ ɐ m ʊ
నవల	n̪ ɐ ʋ ɐ l ɐ
నవ్వాడు	n̪ ɐ ʋː aː ɖ ʊ
నవ్వాను	n̪ ɐ ʋː aː n̪ ʊ
నవ్వాము	n̪ ɐ ʋː aː m ʊ
నవ్వారు	n̪ ɐ ʋː aː ɾ ʊ
నవ్వావు	n̪ ɐ ʋː aː ʋ ʊ
నవ్వించు	n̪ ɐ ʋː ɪ ɲ t͡ɕ ʊ
నవ్వింది	n̪ ɐ ʋː ɪ n̪ d̪ ɪ
నవ్వు	n̪ ɐ ʋː ʊ
నాకు	n̪ aː k ʊ
నాగలి	n̪ aː ɡ ɐ l ɪ
నాగు	n aː ɡ u
నాచు	n̪ aː t͡ɕ ʊ
నాటాడు	n̪ aː ʈ aː ɖ ʊ
నాటు	n̪ aː ʈ ʊ
నాటుమందు	n̪ aː ʈ ʊ m ɐ n̪ d̪ ʊ
నాటో	n̪ aː ʈ oː
నాడి	n̪ aː ɖ ɪ
నాడు	n̪ aː ɖ ʊ
నాడులు	n̪ aː ɖ ʊ l ʊ
నాతి	n aː t i
నాదం	n̪ aː d̪ ɐ m̃
నాదము	n̪ aː d̪ ɐ m ʊ
నాది	n̪ aː d̪ ɪ
నానుడి	n̪ aː n̪ ʊ ɖ ɪ
నానోలీటరు	n̪ aː n̪ oː l iː ʈ ɐ ɾ ʊ
నాన్న	n̪ aː n̪ n̪ ɐ
నాన్నమ్మ	n̪ aː n̪ n̪ ɐ mː ɐ
నాన్నలు	n̪ aː n̪ n̪ ɐ l ʊ
నాభి	n aː bʱ i
నామా	n̪ aː m aː
నాయకుడు	n̪ aː j ɐ k ʊ ɖ ʊ
నాయకులు	n̪ aː j ɐ k ʊ l ʊ
నాయన	n̪ aː j ɐ n̪ ɐ
నాయనమ్మ	n̪ aː j ɐ n̪ ɐ mː ɐ
నాయిక	n̪ aː j ɪ k ɐ
నాయికలు	n̪ aː j ɪ k ɐ l ʊ
నారాయణుడు	n̪ aː ɾ aː j ɐ ɳ ʊ ɖ ʊ
నారి	n aː r i
నారింజ	n̪ aː ɾ ɪ ɲ d͡ʑ ɐ
నారికేళపుకల్లు	n̪ aː ɾ ɪ k eː ɭ ɐ p ʊ k ɐ lː ʊ
నారికేళము	n̪ aː ɾ ɪ k eː ɭ ɐ m ʊ
నాలుక	n̪ aː l ʊ k ɐ
నాలుగు	n̪ aː l ʊ ɡ ʊ
నావ	n̪ aː ʋ ɐ
నావలు	n̪ aː ʋ ɐ l ʊ
నావికుడు	n̪ aː ʋ ɪ k ʊ ɖ ʊ
ని	n i
నింద	n̪ ɪ n̪ d̪ ɐ
నికేతనము	n̪ ɪ k eː t̪ ɐ n̪ ɐ m ʊ
నిగుడు	n i ɡ u ɖ u
నిగ్గు	n̪ i ɡː u
నిజం	n̪ ɪ d͡ʑ ɐ m̃
నిజము	n̪ ɪ d͡ʑ ɐ m ʊ
నిజముగా	n̪ ɪ d͡ʑ ɐ m ʊ ɡ aː
నిట్టు	n̪ ɪ ʈː ʊ
నిదురించు	n̪ ɪ d̪ ʊ ɾ ɪ ɲ t͡ɕ ʊ
నిద్ర	n̪ ɪ d̪ ɾ ɐ
నిద్రించు	n̪ ɪ d̪ ɾ ɪ ɲ t͡ɕ ʊ
నిన్న	n̪ ɪ n̪ n̪ ɐ
నిప్పు	n̪ ɪ pː ʊ
నిప్పుపెట్టు	n̪ ɪ pː ʊ p ɛ ʈː ʊ
నిమ్నము	n̪ ɪ m n̪ ɐ m ʊ
నిమ్మ	n̪ ɪ mː ɐ
నిమ్మగడ్డి	n i mː a ɡ a ɖː i
నిరీక్షణ	n̪ ɪ ɾ iː k ʂ ɐ ɳ ɐ
నిరీక్షించు	n̪ ɪ ɾ iː k ʂ ɪ ɲ t͡ɕ ʊ
నిరు	n̪ ɪ ɾ ʊ
నిలబడు	n̪ ɪ l ɐ b ɐ ɖ ʊ
నిలువు	n̪ ɪ l ʊ ʋ ʊ
నీ	n iː
నీటిబొట్టు	n̪ iː ʈ ɪ b ɔ ʈː ʊ
నీడ	n̪ iː ɖ ɐ
నీడలు	n̪ iː ɖ ɐ l ʊ
నీతి	n iː t i
నీది	n iː d i
నీరాట	n̪ iː ɾ aː ʈ ɐ
నీరాటం	n̪ iː ɾ aː ʈ ɐ m̃
నీరాటము	n̪ iː ɾ aː ʈ ɐ m ʊ
నీరు	n̪ iː ɾ ʊ
నీళ్లు	n̪ iː ɭː ʊ
నీళ్ళు	n̪ iː ɭː ʊ
నీవు	n̪ iː ʋ ʊ
నీవెవరు	n̪ iː ʋ ɛ ʋ ɐ ɾ ʊ
నుంచి	n̪ ʊ ɲ t͡ɕ ɪ
నుండి	n̪ ʊ ɳ ɖ ɪ
నుడి	n̪ ʊ ɖ ɪ
నుదురు	n̪ ʊ d̪ ʊ ɾ ʊ
నుయ్యి	n̪ ʊ jː ɪ
నువ్వు	n̪ uː
నువ్వు	n̪ ʊ ʋː ʊ
నూక	n̪ uː k a
నూగు	n uː ɡ u
నూతనము	n̪ uː t̪ ɐ n̪ ɐ m ʊ
నూరు	n̪ uː ɾ ʊ
నూరేండ్లు	n̪ uː ɾ eː ɳ ɖ l ʊ
నెగ్గు	n e ɡː u
నెట్టు	n̪ e ʈː u
నెత్తము	n̪ ɛ t̪ː ɐ m ʊ
నెత్తురు	n̪ ɛ t̪ː ʊ ɾ ʊ
నెమరు	n̪ ɛ m ɐ ɾ ʊ
నెమరువేయు	n̪ ɛ m ɐ ɾ ʊ ʋ eː j ʊ
నెమలి	n̪ ɛ m ɐ l ɪ
నెమలికన్ను	n̪ ɛ m ɐ l ɪ k ɐ n̪ n̪ ʊ
నెమ్మది	n̪ ɛ mː ɐ d̪ ɪ
నెరకు	n̪ ɛ ɾ ɐ k ʊ
నెరకులు	n̪ ɛ ɾ ɐ k ʊ l ʊ
నెరను	n̪ ɛ ɾ ɐ n̪ ʊ
నెలవు	n̪ ɛ l ɐ ʋ ʊ
నెసరు	n̪ ɛ s ɐ ɾ ʊ
నేడు	n̪ eː ɖ ʊ
నేను	n̪ eː n̪ ʊ
నేపాలీ	n̪ eː p aː l iː
నేయు	n̪ eː j ʊ
నేర్చు	n̪ eː ɾ t͡ɕ ʊ
నేర్చుకొను	n̪ eː ɾ t͡ɕ ʊ k ɔ n̪ ʊ
నేల	n̪ eː l ɐ
నేలనెమలి	n̪ eː l ɐ n̪ ɛ m ɐ l ɪ
నేలమాళిగ	n̪ eː l ɐ m aː ɭ ɪ ɡ ɐ
నైఋతి	n̪ ɐ ɪ̯ ɻ̍ t̪ ɪ
నైఋతిమూల	n̪ ɐ ɪ̯ ɻ̍ t̪ ɪ m uː l ɐ
నైట్రేటు	n̪ ɐ ɪ̯ ʈ ɾ eː ʈ ʊ
నొక్కు	n̪ ɔ kː ʊ
నొప్పి	n̪ ɔ pː ɪ
నొప్పించు	n̪ ɔ pː ɪ ɲ t͡ɕ ʊ
నొప్పింౘు	n̪ ɔ pː ɪ n̪ t͡s ʊ
నోము	n̪ oː m ʊ
నోముల	n̪ oː m ʊ l ɐ
నోములు	n̪ oː m ʊ l ʊ
నోరు	n oː r u
నోరులేని	n oː r u l eː n i
పంక్తి	p ɐ ŋ k t̪ ɪ
పంచ	p ɐ ɲ t͡ɕ ɐ
పంచకోణం	p ɐ ɲ t͡ɕ ɐ k oː ɳ ɐ m̃
పంచకోణము	p ɐ ɲ t͡ɕ ɐ k oː ɳ ɐ m ʊ
పంచాడు	p ɐ ɲ t͡ɕ aː ɖ ʊ
పంచాను	p ɐ ɲ t͡ɕ aː n̪ ʊ
పంచారు	p ɐ ɲ t͡ɕ aː ɾ ʊ
పంచావు	p ɐ ɲ t͡ɕ aː ʋ ʊ
పంచింది	p ɐ ɲ t͡ɕ ɪ n̪ d̪ ɪ
పంచు	p ɐ ɲ t͡ɕ ʊ
పంచె	p ɐ ɲ t͡ɕ ɛ
పంచెలు	p ɐ ɲ t͡ɕ ɛ l ʊ
పండు	p ɐ ɳ ɖ ʊ
పండుకొను	p ɐ ɳ ɖ ʊ k ɔ n̪ ʊ
పండ్రెండు	p ɐ ɳ ɖ ɾ ɛ ɳ ɖ ʊ
పంతులమ్మ	p ɐ n̪ t̪ ʊ l ɐ mː ɐ
పంతులయ్య	p ɐ n̪ t̪ ʊ l ɐ jː ɐ
పంతులు	p ɐ n̪ t̪ ʊ l ʊ
పంది	p ɐ n̪ d̪ ɪ
పందికొక్కు	p ɐ n̪ d̪ ɪ k ɔ kː ʊ
పంపు	p ɐ m p ʊ
పక్క	p ɐ kː ɐ
పక్కయెముక	p ɐ kː ɐ j ɛ m ʊ k ɐ
పక్కు	p ɐ kː ʊ
పగ	p ɐ ɡ ɐ
పగటికల	p ɐ ɡ ɐ ʈ ɪ k ɐ l ɐ
పగలు	p ɐ ɡ ɐ l ʊ
పచ్చ	p ɐ t͡ɕː ɐ
పచ్చడి	p ɐ t͡ɕː ɐ ɖ ɪ
పచ్చరెక్క	p ɐ t͡ɕː ɐ ɾ ɛ kː ɐ
పచ్చి	p ɐ t͡ɕː ɪ
పచ్చిమిరపకాయ​	p ɐ t͡ɕː ɪ m ɪ ɾ ɐ p ɐ k aː j ɐ
పటము	p ɐ ʈ ɐ m ʊ
పట్టణము	p ɐ ʈː ɐ ɳ ɐ m ʊ
పట్టా	p ɐ ʈː aː
పట్టాలు	p ɐ ʈː aː l ʊ
పట్టు	p a ʈː u
పట్టుకొను	p ɐ ʈː ʊ k ɔ n̪ ʊ
పడక	p ɐ ɖ ɐ k ɐ
పడకలు	p ɐ ɖ ɐ k ɐ l ʊ
పడమర	p ɐ ɖ ɐ m ɐ ɾ ɐ
పడవ	p ɐ ɖ ɐ ʋ ɐ
పడవలు	p ɐ ɖ ɐ ʋ ɐ l ʊ
పడు	p ɐ ɖ ʊ
పడుక	p ɐ ɖ ʊ k ɐ
పడుకొను	p ɐ ɖ ʊ k ɔ n̪ ʊ
పడుచు	p ɐ ɖ ʊ t͡ɕ ʊ
పడుపు	p ɐ ɖ ʊ p ʊ
పడుపుకూడు	p ɐ ɖ ʊ p ʊ k uː ɖ ʊ
పడుపుకొమ్మ	p ɐ ɖ ʊ p ʊ k ɔ mː ɐ
పడ్డ	p a ɖː a
పతాకము	p ɐ t̪ aː k ɐ m ʊ
పతి	p ɐ t̪ ɪ
పతులు	p ɐ t̪ ʊ l ʊ
పత్త	p ɐ t̪ː ɐ
పత్తి	p ɐ t̪ː ɪ
పత్రం	p ɐ t̪ ɾ ɐ m̃
పత్రకంటకము	p ɐ t̪ ɾ ɐ k ɐ ɳ ʈ ɐ k ɐ m ʊ
పత్రము	p ɐ t̪ ɾ ɐ m ʊ
పత్రరంధ్రము	p ɐ t̪ ɾ ɐ ɾ ɐ n̪ d̪ʱ ɾ ɐ m ʊ
పత్రి	p a t r i
పథం	p ɐ t̪ʰ ɐ m̃
పథము	p ɐ t̪ʰ ɐ m ʊ
పథికుడు	p ɐ t̪ʰ ɪ k ʊ ɖ ʊ
పదకొండు	p ɐ d̪ ɐ k ɔ ɳ ɖ ʊ
పదమూడు	p ɐ d̪ ɐ m uː ɖ ʊ
పదవి	p ɐ d̪ ɐ ʋ ɪ
పది	p ɐ d̪ ɪ
పదునయిన	p ɐ d̪ ʊ n̪ ɐ j ɪ n̪ ɐ
పదునాలుగు	p ɐ d̪ ʊ n̪ aː l ʊ ɡ ʊ
పదునాల్గు	p ɐ d̪ ʊ n̪ aː l ɡ ʊ
పదును	p ɐ d̪ ʊ n̪ ʊ
పదునుపెట్టు	p ɐ d̪ ʊ n̪ ʊ p ɛ ʈː ʊ
పదునైన	p ɐ d̪ ʊ n̪ ɐ ɪ̯ n̪ ɐ
పదునొకండు	p ɐ d̪ ʊ n̪ ɔ k ɐ ɳ ɖ ʊ
పద్మ	p ɐ d̪ m ɐ
పనామా	p ɐ n̪ aː m aː
పని	p ɐ n̪ ɪ
పనిముట్టు	p ɐ n̪ ɪ m ʊ ʈː ʊ
పనివాడు	p ɐ n̪ ɪ ʋ aː ɖ ʊ
పన్నీరు	p a nː iː ɾ u
పన్ను	p a n̪ː u
పన్నెండు	p ɐ n̪ n̪ ɛ ɳ ɖ ʊ
పప్ప	p a pː a
పప్పు	p a pː u
పరసతి	p ɐ ɾ ɐ s ɐ t̪ ɪ
పరాజయము	p ɐ ɾ aː d͡ʑ ɐ j ɐ m ʊ
పరికరము	p ɐ ɾ ɪ k ɐ ɾ ɐ m ʊ
పరీక్ష	p a r iː k ʂ a
పరుగు	p ɐ ɾ ʊ ɡ ʊ
పర్యటనము	p ɐ ɾ j ɐ ʈ ɐ n̪ ɐ m ʊ
పర్వతం	p ɐ ɾ ʋ ɐ t̪ ɐ m̃
పర్వతము	p ɐ ɾ ʋ ɐ t̪ ɐ m ʊ
పలక	p ɐ l ɐ k ɐ
పలనాడు	p ɐ l ɐ n̪ aː ɖ ʊ
పలుకు	p ɐ l ʊ k ʊ
పలుచదనము	p ɐ l ʊ t͡ɕ ɐ d̪ ɐ n̪ ɐ m ʊ
పలుచన	p ɐ l ʊ t͡ɕ ɐ n̪ ɐ
పలుచని	p ɐ l ʊ t͡ɕ ɐ n̪ ɪ
పల్లకి	p a lː a k i
పల్లి	p ɐ lː ɪ
పల్లీ	p ɐ lː iː
పల్లె	p ɐ lː ɛ
పసరు	p ɐ s ɐ ɾ ʊ
పసిరిక	p ɐ s ɪ ɾ ɪ k ɐ
పసుపు	p ɐ s ʊ p ʊ
పసుపుపచ్చ	p ɐ s ʊ p ʊ p ɐ t͡ɕː ɐ
పాఁడి	p aː ɖ ɪ
పాండవులు	p aː ɳ ɖ ɐ ʋ ʊ l ʊ
పాకు	p aː k u
పాట	p aː ʈ a
పాఠశాల	p aː ʈʰ ɐ ɕ aː l ɐ
పాడి	p aː ɖ ɪ
పాడియావు	p aː ɖ ɪ j aː ʋ ʊ
పాడె	p aː ɖ ɛ
పాణి	p aː ɳ i
పాత	p aː t̪ ɐ
పాతిపెట్టు	p aː t̪ ɪ p ɛ ʈː ʊ
పానం	p aː n̪ ɐ m̃
పానము	p aː n̪ ɐ m ʊ
పాప	p aː p a
పాము	p aː m ʊ
పారాయణము	p aː ɾ aː j ɐ ɳ ɐ m ʊ
పారావతము	p aː ɾ aː ʋ ɐ t̪ ɐ m ʊ
పాల	p aː l ɐ
పాలకూర	p aː l ɐ k uː ɾ ɐ
పాలకొండ	p aː l ɐ k ɔ ɳ ɖ ɐ
పాలపిట్ట	p aː l a p i ʈː a
పాలిండ్లు	p aː l ɪ ɳ ɖ l ʊ
పాలు	p aː l u
పాల్	p aː l
పావు	p aː ʋ ʊ
పిండము	p ɪ ɳ ɖ ɐ m ʊ
పిండి	p ɪ ɳ ɖ ɪ
పిందియ	p ɪ n̪ d̪ ɪ j ɐ
పిందె	p ɪ n̪ d̪ ɛ
పిక్క	p i kː a
పిచ్చి	p ɪ t͡ɕː ɪ
పిచ్చుక	p ɪ t͡ɕː ʊ k ɐ
పిజ్జా	p ɪ d͡ʑː aː
పిట్ట	p ɪ ʈː ɐ
పిట్టకథ	p ɪ ʈː ɐ k ɐ t̪ʰ ɐ
పిట్టలు	p ɪ ʈː ɐ l ʊ
పిట్టు	p i ʈː u
పిడకలు	p ɪ ɖ ɐ k ɐ l ʊ
పిడి	p ɪ ɖ ɪ
పితృలు	p ɪ t̪ ɻ̍ l ʊ
పిన	p ɪ n̪ ɐ
పినతల్లి	p ɪ n̪ ɐ t̪ ɐ lː ɪ
పిన్న	p ɪ n̪ n̪ ɐ
పిన్నమ్మ	p ɪ n̪ n̪ ɐ mː ɐ
పిన్ని	p ɪ n̪ n̪ ɪ
పిన్ను	p i n̪ː u
పియ్యి	p ɪ jː ɪ
పిరము	p ɪ ɾ ɐ m ʊ
పిరికి	p i r i k i
పిర్ర	p i rː a
పిలుచు	p ɪ l ʊ t͡ɕ ʊ
పిల్ల	p i l̪ː a
పిల్లవాడు	p ɪ lː ɐ ʋ aː ɖ ʊ
