𐌰𐌱𐌿	a b u
𐍅𐌰𐌹𐌰𐌽𐌳𐍃	w ɛː a n d s
𐍅𐌰𐌹𐌽𐌰𐌷𐍃	w ɛː n a h s
𐍅𐌰𐌹𐍀𐍃	w ɛː p s
𐍅𐌰𐌹𐍂𐌸𐌰𐌽	w ɛ r θ a n
𐍅𐌰𐌹𐍅𐍉𐌿𐌽	w ɛ w oː u n
𐍅𐌰𐌺𐌰𐌹𐌸	w a k ɛː θ
𐍅𐌰𐌺𐌰𐌹𐌼𐌰	w a k ɛː m a
𐍅𐌰𐌺𐌰𐌽	w a k a n
𐍅𐌰𐌻𐌳𐌰𐌽	w a l d a n
𐍅𐌰𐌽𐌳𐌴𐌹	w a n d iː
𐍅𐌰𐌽𐌳𐌾𐌰𐌽	w a n d j a n
𐍅𐌰𐌽𐌳𐌾𐌰𐌽𐌳𐍃	w a n d j a n d s
𐍅𐌰𐌿𐍂𐌳	w ɔ r d
𐍅𐌰𐌿𐍂𐌷𐍄𐌰𐌹	w ɔ r t ɛː
𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽	w ɔ r k j a n
𐍅𐌰𐌿𐍂𐌼𐌰𐌽𐍃	w ɔ r m a n s
𐍅𐌰𐌿𐍂𐌼𐌴	w ɔ r m eː
𐍅𐌰𐌿𐍂𐌼𐍃	w ɔ r m s
𐍅𐌰𐌿𐍂𐍄	w ɔ r t
𐍅𐌰𐌿𐍂𐍄𐌹𐌼	w ɔ r t i m
𐍅𐌰𐌿𐍂𐍄𐌹𐌽𐍃	w ɔ r t i n s
𐍅𐌰𐌿𐍂𐍄𐍃	w ɔ r t s
𐍅𐌰𐍂𐌼𐌴𐌹𐌸	w a r m iː θ
𐍅𐌰𐍂𐌼𐌹𐌳𐌴𐌳𐌿𐌽	w a r m i d eː d u n
𐍅𐌰𐍂𐌼𐌾𐌰𐌽	w a r m j a n
𐍅𐌰𐍂𐌼𐌾𐌰𐌽𐌳𐌰𐌽	w a r m j a n d a n
𐍅𐌰𐍂𐌼𐌾𐌰𐌽𐌳𐍃	w a r m j a n d s
𐍅𐌰𐍃𐌾𐌰𐌽	w a s j a n
𐍅𐌴𐌲𐌰	w eː ɡ a
𐍅𐌴𐌲𐌹𐌼	w eː ɡ i m
𐍅𐌴𐌲𐍃	w eː ɡ s
𐍅𐌴𐌲𐍉𐍃	w eː ɡ oː s
𐍅𐌴𐌹𐌷𐌹𐌸𐌰	w iː h i θ a
𐍅𐌴𐌹𐌷𐍃	w iː x s
𐍅𐌴𐌹𐌽	w iː n
𐍅𐌴𐌹𐌽𐌰𐌱𐌰𐍃𐌹	w iː n a b a s i
𐍅𐌴𐌹𐌽𐌰𐌱𐌰𐍃𐌾𐌰	w iː n a b a s j a
𐍅𐌴𐌹𐌽𐌰𐌲𐌰𐍂𐌳	w iː n a ɡ a r d
𐍅𐌴𐌹𐌽𐌰𐌲𐌰𐍂𐌳𐌰	w iː n a ɡ a r d a
𐍅𐌴𐌹𐌽𐌰𐌲𐌰𐍂𐌳𐌹𐍃	w iː n a ɡ a r d i s
𐍅𐌴𐌹𐌽𐌰𐌲𐌰𐍂𐌳𐍃	w iː n a ɡ a r d s
𐍅𐌴𐌹𐌽𐌰𐍄𐌰𐌹𐌽𐍃	w iː n a t ɛː n s
𐍅𐌴𐌹𐌽𐌰𐍄𐌰𐌹𐌽𐍉𐍃	w iː n a t ɛː n oː s
𐍅𐌴𐌹𐌽𐌰𐍄𐍂𐌹𐌿	w iː n a t r i u̯
𐍅𐌴𐌹𐌽𐌰𐍄𐍂𐌹𐍅𐌰	w iː n a t r i w a
𐍅𐌴𐌹𐍃	w iː s
𐍅𐌴𐌹𐍄𐍅𐍉𐌸𐍃	w iː t w oː θ s
𐍅𐌴𐍀𐌽	w eː p n
𐍅𐌴𐍀𐌽𐌰	w eː p n a
𐍅𐌴𐍀𐌽𐌰𐌼	w eː p n a m
𐍅𐌹𐌲𐌰𐌳𐌴𐌹𐌽𐍉𐌼	w i ɡ a d iː n oː m
𐍅𐌹𐌸𐍂𐌰	w i θ r a
𐍅𐌹𐌸𐍂𐌿𐍃	w i θ r u s
𐍅𐌹𐌻𐌸𐌴𐌹𐍃	w i l θ iː s
𐍅𐌹𐌻𐌾𐌰𐌽	w i l j a n
𐍅𐌹𐌻𐍅𐌰𐌽	w i l w a n
𐍅𐌹𐌻𐍅𐌰𐌽𐌳𐌰𐌽𐍃	w i l w a n d a n s
𐍅𐌹𐌻𐍅𐌰𐌽𐌳𐍃	w i l w a n d s
𐍅𐌹𐌽𐌳𐌰	w i n d a
𐍅𐌹𐌽𐌳𐌰𐌼	w i n d a m
𐍅𐌹𐌽𐌳𐌹𐍃	w i n d i s
𐍅𐌹𐌽𐌳𐍃	w i n d s
𐍅𐌹𐌽𐌳𐍉𐍃	w i n d oː s
𐍅𐌹𐌽𐍄𐍂𐌰𐌿	w i n t r ɔː
𐍅𐌹𐌽𐍄𐍂𐌹𐍅𐌴	w i n t r i w eː
𐍅𐌹𐌽𐍄𐍂𐌿	w i n t r u
𐍅𐌹𐌽𐍄𐍂𐌿𐌽𐍃	w i n t r u n s
𐍅𐌹𐌽𐍄𐍂𐌿𐍃	w i n t r u s
𐍅𐌹𐍃	w i s
𐍅𐌹𐍃𐌰𐌽	w i s a n
𐍅𐌹𐍄	w i t
𐍅𐌹𐍄𐌰𐌹	w i t ɛː
𐍅𐌹𐍄𐌰𐌹𐌳𐌰	w i t ɛː d a
𐍅𐌹𐍄𐌰𐌹𐌳𐌴𐌳𐌿𐌽	w i t ɛː d eː d u n
𐍅𐌹𐍄𐌰𐌹𐌸	w i t ɛː θ
𐍅𐌹𐍄𐌰𐌽	w i t a n
𐍅𐌹𐍄𐌰𐌽	w i t aː n
𐍅𐌹𐍄𐌰𐌽𐌳𐌰𐌽𐍃	w i t a n d a n s
𐍅𐌹𐍄𐌰𐌽𐌳𐌰𐌽𐍃	w i t aː n d a n s
𐍅𐌹𐍄𐌰𐌽𐌳𐌴𐌹	w i t a n d iː
𐍅𐌹𐍄𐌰𐌽𐌳𐌴𐌹	w i t aː n d iː
𐍅𐌹𐍄𐌰𐌽𐌳𐍃	w i t a n d s
𐍅𐌹𐍄𐌰𐌽𐌳𐍃	w i t aː n d s
𐍅𐌹𐍄𐍉𐌳𐌰𐌻𐌰𐌹𐍃𐌰𐍂𐌴𐌹𐍃	w i t oː ð a l ɛː s aː r iː s
𐍅𐌹𐍄𐍉𐌸	w i t oː θ
𐍅𐌿𐌻𐌸𐌿𐍃	w u l θ u s
𐍅𐌿𐌻𐌻𐌰	w u l l a
𐍅𐌿𐌻𐍆	w u l f
𐍅𐌿𐌻𐍆𐌴	w u l f eː
𐍅𐌿𐌻𐍆𐍃	w u l f s
𐍅𐌿𐌻𐍆𐍉𐍃	w u l f oː s
𐍅𐍂𐌹𐌸𐌿𐍃	w r i θ u s
𐍅𐍂𐍉𐌷𐌹𐌸𐍃	w r oː h i θ s
𐍅𐍂𐍉𐌷𐌾𐌰𐌽	w r oː h j a n
𐍅𐍉𐌳𐍃	w oː θ s
𐍅𐍉𐌸𐌴𐌹𐍃	w oː θ iː s
𐍆𐌰𐌹𐌰𐌽	f ɛː a n
𐍆𐌰𐌹𐌰𐌽𐌳𐌰	f a i a n d a
𐍆𐌰𐌹𐌰𐌽𐌳𐍃	f ɛː a n d s
𐍆𐌰𐌹𐌷𐌰𐌿	f ɛ h ɔː
𐍆𐌰𐌹𐌷𐌿	f ɛ h u
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐌲𐌰𐌹𐍃	f ɛ h u ɡ iː ɡ ɛː s
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐌲𐌰𐌽	f ɛ h u ɡ iː ɡ a n
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐍂𐍉	f ɛː h u ɣ iː r oː
𐍆𐌰𐌹𐌷𐌿𐌸𐍂𐌰𐌹𐌷𐌽𐌰	f ɛ h u θ r ɛː h n a
𐍆𐌰𐌹𐌷𐌿𐍃𐌺𐌿𐌻𐌰	f ɛ h u s k u l a
𐍆𐌰𐌹𐌷𐌿𐍃𐌺𐌿𐌻𐌰𐌽𐌴	f ɛ h u s k u l a n eː
𐍆𐌰𐌹𐍂𐌲𐍂𐌰𐌹𐍀	f ɛ r ɡ r ɛː p
𐍆𐌰𐌹𐍂𐌲𐍂𐌴𐌹𐍀𐌰𐌽	f ɛ r ɡ r iː p a n
𐍆𐌰𐌹𐍂𐌲𐍂𐌴𐌹𐍀𐌰𐌽𐌳𐍃	f ɛ r ɡ r iː p a n d s
𐍆𐌰𐌹𐍂𐌹𐌽𐍉	f ɛ r i n oː
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌳𐌴𐌳𐌹	f ɛ r i n oː d eː d i
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌸	f ɛ r i n oː θ
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌽	f ɛ r i n oː n
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌽𐌳𐌰𐌽𐍃	f ɛ r i n oː n d a n s
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌽𐌳𐍃	f ɛ r i n oː n d s
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐍃	f ɛ r i n oː s
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽	f ɛ r r i n n a n
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳	f ɛ r r i n n a n d
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌰𐌽𐍃	f ɛ r r i n n a n d a n s
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌴𐌹𐌽	f ɛ r r i n n a n d iː n
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	f ɛ r r i n n a n d s
𐍆𐌰𐌹𐍂𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽	f ɛ r w ɔ r k j a n
𐍆𐌰𐌹𐍂𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽𐌳	f ɛ r w ɔ r k j a n d
𐍆𐌰𐌹𐍂𐍈𐌰𐌿	f ɛ r ʍ ɔː
𐍆𐌰𐌹𐍂𐍈𐌰𐌿𐍃	f ɛ r ʍ ɔː s
𐍆𐌰𐌹𐍂𐍈𐌿	f ɛ r ʍ u
𐍆𐌰𐌹𐍂𐍈𐌿𐍃	f ɛ r ʍ u s
𐍆𐌰𐌿𐌷𐍉	f ɔ h oː
𐍆𐌰𐌿𐌷𐍉𐌽𐍃	f ɔ h oː n s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌷𐌿𐌲𐌹𐌳𐌰	f ɔ r a ɡ a h u ɡ i d a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌷𐌿𐌲𐌾𐌰𐌽	f ɔ r a ɡ a h u ɡ j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌹𐌳𐌰	f ɔ r a ɡ a l iː k ɛː d a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌽	f ɔ r a ɡ a l iː k aː n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌹𐌳𐌰	f ɔ r a ɡ a m a n w i d a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌹𐌽𐌰	f ɔ r a ɡ a m a n w j ɛː n a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽	f ɔ r a ɡ a m a n w j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌳𐌰	f ɔ r a ɡ a m eː l i d a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌸	f ɔ r a ɡ a m eː l i θ
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌸𐍃	f ɔ r a ɡ a m eː l i θ s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌾𐌰𐌽	f ɔ r a ɡ a m eː l j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌰𐌹𐍂𐍉𐌸	f ɔ r a ɡ a r ɛː r oː θ
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽	f ɔ r a ɡ a r eː d a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽𐌰𐌹	f ɔ r a ɡ a r eː d a n ɛː
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽𐍃	f ɔ r a ɡ a r eː d a n s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍃𐌰𐍄𐌾𐌰𐌽	f ɔ r a ɡ a s a t j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍃𐌰𐍄𐌾𐌹𐌸	f ɔ r a ɡ a s a t j i θ
𐍆𐌰𐌿𐍂𐌰𐌳𐌰𐌿𐍂𐌹	f ɔ r a d ɔ r i
𐍆𐌰𐌿𐍂𐌰𐌳𐌰𐌿𐍂𐌾𐌰	f ɔ r a d ɔ r j a
𐍆𐌰𐌿𐍂𐌰𐌵𐌹𐌼𐌰𐌽	f ɔ r a kʷ i m a n
𐍆𐌰𐌿𐍂𐌰𐌵𐌹𐌼𐌹𐌸	f ɔ r a kʷ i m i θ
𐍆𐌰𐌿𐍂𐌰𐌷𐌰𐌷	f ɔ r a h aː h
𐍆𐌰𐌿𐍂𐌰𐌹𐍃𐍄	f ɔ r a i s t
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌸𐌻𐌾𐌰	f ɔː r a m a θ l j a
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌸𐌻𐌾𐌴	f ɔː r a m a θ l j eː
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌸𐌻𐌾𐍉𐍃	f ɔː r a m a θ l j oː s
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽	f ɔ r a m a n w j a n
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽𐌳𐌴𐌹	f ɔ r a m a n w j a n d iː
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽𐌳𐍃	f ɔ r a m a n w j a n d s
𐍆𐌰𐌿𐍂𐌰𐌼𐌴𐌻𐌹𐌸𐍃	f ɔ r a m eː l i θ s
𐍆𐌰𐌿𐍂𐌰𐌼𐌴𐌻𐌾𐌰𐌽	f ɔ r a m eː l j a n
𐍆𐌰𐌿𐍂𐌰𐍂𐌰𐌷𐌽𐌾𐌰𐌽	f ɔ r a r a h n j a n
𐍆𐌰𐌿𐍂𐌰𐍂𐌰𐌷𐌽𐌾𐌰𐌽𐌳𐌰𐌽𐍃	f ɔ r a r a h n j a n d a n s
𐍆𐌰𐌿𐍂𐌰𐍂𐌰𐌷𐌽𐌾𐌰𐌽𐌳𐍃	f ɔ r a r a h n j a n d s
𐍆𐌰𐌿𐍂𐌰𐍅𐌴𐌽𐌾𐌰𐌽	f ɔ r a w eː n j a n
𐍆𐌰𐌿𐍂𐌰𐍅𐌴𐌽𐌾𐌰𐌽𐌳𐌰𐌽𐍃	f ɔ r a w eː n j a n d a n s
𐍆𐌰𐌿𐍂𐌰𐍅𐌴𐌽𐌾𐌰𐌽𐌳𐍃	f ɔ r a w eː n j a n d s
𐍆𐌰𐌿𐍂𐌰𐍅𐌹𐍃𐌰𐌽	f ɔ r a w i s a n
𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌹	f ɔ r a f i l l i
𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌾𐌰	f ɔ r a f i l l j a
𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌾𐌹𐍃	f ɔ r a f i l l j i s
𐍆𐌰𐌿𐍂𐌱𐌹𐌲𐌰𐌲𐌲𐌰𐌽	f ɔ r b i ɡ a ŋ ɡ a n
𐍆𐌰𐌿𐍂𐌱𐌹𐌲𐌰𐌲𐌲𐌰𐌽𐌳𐍃	f ɔ r b i ɡ a ŋ ɡ a n d s
𐍆𐌰𐌿𐍂𐌱𐌹𐌲𐌰𐌲𐌲𐌹𐌸	f ɔ r b i ɡ a ŋ ɡ i θ
𐍆𐌰𐌿𐍂𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌽	f ɔ r b i s n i w a n
𐍆𐌰𐌿𐍂𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌽𐌳𐌴𐌹𐌽𐍃	f ɔ r b i s n i w a n d iː n s
𐍆𐌰𐌿𐍂𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌽𐌳𐍃	f ɔ r b i s n i w a n d s
𐍆𐌰𐌿𐍂𐌲𐌰𐌲𐌲𐌰𐌽	f ɔ r ɡ a ŋ ɡ a n
𐍆𐌰𐌿𐍂𐌲𐌰𐌲𐌲𐌰𐌽𐌳𐌰𐌽𐍃	f ɔ r ɡ a ŋ ɡ a n d a n s
𐍆𐌰𐌿𐍂𐌲𐌰𐌲𐌲𐌰𐌽𐌳𐌴𐌹𐌽	f ɔ r ɡ a ŋ ɡ a n d iː n
𐍆𐌰𐌿𐍂𐌲𐌰𐌲𐌲𐌰𐌽𐌳𐍃	f ɔ r ɡ a ŋ ɡ a n d s
𐍆𐌰𐌿𐍂𐌵𐌹𐌸𐌰	f ɔ r kʷ i θ a
𐍆𐌰𐌿𐍂𐌵𐌹𐌸𐌰𐌽	f ɔ r kʷ i θ a n
𐍆𐌰𐌿𐍂𐌵𐌹𐌸𐌰𐌽𐌰𐌽𐌰	f ɔ r kʷ i θ a n a n a
𐍆𐌰𐌿𐍂𐌵𐌹𐌸𐌰𐌽𐍃	f ɔ r kʷ i θ a n s
𐍆𐌰𐌿𐍂𐌷𐌰𐌷	f ɔ r h aː h
𐍆𐌰𐌿𐍂𐌸𐌹𐌶𐌴𐌹	f ɔ r θ i z iː
𐍆𐌰𐌿𐍂𐌸𐌹𐍃	f ɔ r θ i s
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌹𐌳𐍉	f ɔ r l a ɡ i d oː
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌹𐌸𐍃	f ɔ r l a ɡ i θ s
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌾𐌰𐌹𐌳𐌰𐌿	f ɔ r l a ɡ j ɛː d ɔː
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌾𐌰𐌽	f ɔ r l a ɡ j a n
𐍆𐌰𐌿𐍂𐌼𐌿𐌻𐌾𐌰𐌹𐍃	f ɔ r m uː l j ɛː s
𐍆𐌰𐌿𐍂𐌼𐌿𐌻𐌾𐌰𐌽	f ɔ r m uː l j a n
𐍆𐌰𐌿𐍂𐍂𐌹𐌽𐌽𐌰𐌽	f ɔ r r i n n a n
𐍆𐌰𐌿𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌹𐌽	f ɔ r r i n n a n d i n
𐍆𐌰𐌿𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	f ɔ r r i n n a n d s
𐍆𐌰𐌿𐍂𐍃𐌹𐌲𐌻𐌾𐌰𐌽	f ɔ r s i ɡ l j a n
𐍆𐌰𐌿𐍂𐍃𐌹𐌲𐌻𐌾𐌰𐌽𐌳𐌰𐌽𐍃	f ɔ r s i ɡ l j a n d a n s
𐍆𐌰𐌿𐍂𐍃𐌹𐌲𐌻𐌾𐌰𐌽𐌳𐍃	f ɔ r s i ɡ l j a n d s
𐍆𐌰𐌿𐍂𐍃𐌽𐌰𐌿	f ɔ r s n ɔː
𐍆𐌰𐌿𐍂𐍃𐌽𐌹𐍅𐌰𐌽	f ɔ r s n i w a n
𐍆𐌰𐌿𐍂𐍃𐌽𐌹𐍅𐌰𐌽𐌳𐌰𐌼	f ɔ r s n i w a n d a m
𐍆𐌰𐌿𐍂𐍃𐌽𐌹𐍅𐌰𐌽𐌳𐍃	f ɔ r s n i w a n d s
𐍆𐌰𐌿𐍂𐍃𐌽𐌹𐍅𐌹𐌸	f ɔ r s n i w i θ
𐍆𐌰𐌿𐍂𐍃𐍄𐌰𐍃𐍃𐌴𐌹𐍃	f ɔ r s t a s s iː s
𐍆𐌰𐌿𐍂𐍃𐍄𐌰𐍃𐍃𐌾𐌰𐌽𐍃	f ɔ r s t a s s j a n s
𐍆𐌰𐌿𐍂𐍅𐌰𐌹𐍀𐌾𐌰𐌹𐍃	f ɔ r w ɛː p j ɛː s
𐍆𐌰𐌿𐍂𐍅𐌰𐌹𐍀𐌾𐌰𐌽	f ɔ r w ɛː p j a n
𐍆𐌰𐌿𐍂𐍅𐌰𐌻𐍅𐌾𐌰𐌽	f ɔ r w a l w j a n
𐍆𐌰𐌿𐍂𐍅𐌰𐌻𐍅𐌾𐌰𐌽𐌳𐍃	f ɔ r w a l w j a n d s
𐍆𐌰𐍂𐌰𐌹𐌸	f a r ɛː θ
𐍆𐌰𐍂𐌰𐌽	f a r a n
𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐌽	f a r i d eː d u n
𐍆𐌰𐍂𐌾𐌰𐌽	f a r j a n
𐍆𐌰𐍂𐌾𐌰𐌽𐌳𐌰𐌽𐍃	f a r j a n d a n s
𐍆𐌰𐍂𐌾𐌰𐌽𐌳𐍃	f a r j a n d s
𐍆𐌰𐍃𐍄𐌰𐌽	ɸ a s t aː n
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌹	f a s t u b n i
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌾𐌰	f a s t u b n j a
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌾𐌰𐌼	f a s t u b n j a m
𐍆𐌴𐍄𐌾𐌰𐌽	f eː t j a n
𐍆𐌴𐍄𐌾𐌰𐌽𐌳𐌴𐌹𐌽𐍃	f eː t j a n d iː n s
𐍆𐌴𐍄𐌾𐌰𐌽𐌳𐍃	f eː t j a n d s
𐍆𐌹𐌲𐌲𐍂𐌰𐌲𐌿𐌻𐌸	f i ŋ ɡ r a ɡ u l θ
𐍆𐌹𐌳𐍅𐍉𐍂	ɸ i ð w oː r
𐍆𐌹𐌻𐌴𐌲𐍂𐌹	f i l eː ɡ r i
𐍆𐌹𐌻𐌴𐌲𐍂𐌾𐌰	f i l eː ɡ r j a
𐍆𐌹𐌻𐌹𐌲𐍂𐌹	f i l i ɡ r i
𐍆𐌹𐌻𐌹𐌲𐍂𐌾𐌰	f i l i ɡ r j a
𐍆𐌹𐌻𐌹𐍀𐍀𐌿𐍃	ɸ i l i pː u s
𐍆𐌹𐌻𐌿	f i l u
𐍆𐌹𐌻𐌿𐌲𐌰𐌻𐌰𐌿𐌱𐌹𐍃	f i l u ɡ a l ɔː b i s
𐍆𐌹𐌻𐌿𐌲𐌰𐌻𐌰𐌿𐍆𐍃	f i l u ɡ a l ɔː f s
𐍆𐌹𐌻𐌿𐌳𐌴𐌹𐍃𐌴𐌹	f i l u d iː s iː
𐍆𐌹𐌻𐌿𐌳𐌴𐌹𐍃𐌴𐌹𐌽	f i l u d iː s iː n
𐍆𐌹𐌻𐌿𐍆𐌰𐌹𐌷𐍃	f i l u f ɛː h s
𐍆𐌹𐌻𐌿𐍆𐌰𐌹𐌷𐍉	f i l u f ɛː h oː
𐍆𐌹𐌼𐍆	ɸ i m ɸ
𐍆𐌹𐌾𐌰𐌸𐍅𐌰	f i j a θ w a
𐍆𐌹𐌾𐌰𐌽	f i j a n
𐍆𐌹𐍃𐌺𐌰𐌼	f i s k a m
𐍆𐌹𐍃𐌺𐌰𐌽𐍃	f i s k a n s
𐍆𐌹𐍃𐌺𐌴	f i s k eː
𐍆𐌹𐍃𐌺𐍃	f i s k s
𐍆𐌹𐍃𐌺𐍉𐍃	f i s k oː s
𐍆𐌹𐍄𐌰	f i t a
𐍆𐌹𐍄𐌰𐌽	f i t a n
𐍆𐌹𐍄𐌰𐌽𐌳𐌴𐌹	f i t a n d iː
𐍆𐌹𐍄𐌰𐌽𐌳𐍃	f i t a n d s
𐍆𐌻𐌰𐌿𐍄𐌰𐌹	f l ɔː t ɛː
𐍆𐌻𐌰𐌿𐍄𐌴𐌹𐌸	f l ɔː t iː θ
𐍆𐌻𐌰𐌿𐍄𐌾𐌰𐌽	f l ɔː t j a n
𐍆𐌻𐌰𐌿𐍄𐍃	f l ɔː t s
𐍆𐌻𐍉𐌺𐌰𐌽	ɸ l oː k a n
𐍆𐌿𐌲𐌻𐌰𐌼	f u ɡ l a m
𐍆𐌿𐌲𐌻𐍃	f u ɡ l s
𐍆𐌿𐌲𐌻𐍉𐍃	f u ɡ l oː s
𐍆𐌿𐌻𐌰	f u l a
𐍆𐌿𐌻𐌰𐌽	f u l a n
𐍆𐌿𐌻𐌹𐌽	f u l i n
𐍆𐌿𐌻𐌻𐌰𐍄𐍉𐌾𐌰𐌹	f u l l a t oː j ɛː
𐍆𐌿𐌻𐌻𐌰𐍄𐍉𐌾𐌹𐍃	f u l l a t oː j i s
𐍆𐌿𐌻𐌻𐌰𐍅𐌴𐌹𐍃	f u l l a w iː s
𐍆𐌿𐌻𐌻𐌰𐍅𐌴𐌹𐍃𐌰𐌹	f u l l a w iː s ɛː
𐍆𐌿𐌻𐌻𐌰𐍅𐌹𐍄𐌰𐌽	f u l l a w i t a n
𐍆𐌿𐌻𐌻𐌰𐍅𐌹𐍄𐌰𐌽𐍃	f u l l a w i t a n s
𐍆𐌿𐌻𐌻𐌰𐍅𐌹𐍄𐍃	f u l l a w i t s
𐍆𐌿𐌻𐌻𐌰𐍆𐌰𐌷𐌹𐌳𐌰	f u l l a f a h i d a
𐍆𐌿𐌻𐌻𐌰𐍆𐌰𐌷𐌾𐌰𐌹𐍃	f u l l a f a h j ɛː s
𐍆𐌿𐌻𐌻𐌰𐍆𐌰𐌷𐌾𐌰𐌽	f u l l a f a h j a n
𐍆𐌿𐌻𐌻𐌰𐍆𐍂𐌰𐌸𐌾𐌰𐌼	f u l l a f r a θ j a m
𐍆𐌿𐌻𐌻𐌰𐍆𐍂𐌰𐌸𐌾𐌰𐌽	f u l l a f r a θ j a n
𐍆𐌿𐌻𐌻𐌹𐌸	f u l l i θ
𐍆𐌿𐌻𐌻𐌹𐌸𐌴	f u l l i θ eː
𐍆𐌿𐌻𐌻𐌹𐌸𐍃	f u l l i θ s
𐍆𐌿𐌻𐌻𐌽𐌰𐌽	ɸ u l l n a n
𐍆𐌿𐌽𐌹𐌽	f u n i n
𐍆𐌿𐌽𐌹𐌽𐍃	f u n i n s
𐍆𐌿𐌽𐌹𐍃𐌺𐍃	f u n i s k s
𐍆𐌿𐌽𐌹𐍃𐌺𐍉𐍃	f u n i s k oː s
𐍆𐍂𐌰𐌰𐍄𐌾𐌰𐌽	f r a a t j a n
𐍆𐍂𐌰𐌰𐍄𐌾𐌰𐌿	f r a a t j ɔː
𐍆𐍂𐌰𐌱𐌰𐌹𐍂𐌰𐌽	ɸ r a b ɛ r a n
𐍆𐍂𐌰𐌲𐌹𐌻𐌳𐌰𐌽	ɸ r a ɣ i l d a n
𐍆𐍂𐌰𐌲𐌹𐍆𐍄𐍃	ɸ r a ɣ i ɸ t s
𐍆𐍂𐌰𐌵𐌹𐌼𐌰𐌽	f r a kʷ i m a n
