'ਤੇ	t eː
ਹਉਮੈਂ	ɦ ɔː mː ɛ̃ː
ਹਉਮੈਂ	ɦ ə u mː ə ĩː
ਹਕੂਮਤ	ɦ ə k uː m ə t̪ ə̆
ਹਦਵਾਣਾ	ɦ ə d̪ᵊ ʋ äː ɳ äː
ਹਨ	ə ˥˩ n
ਹਬਸ਼ੀ	ɦ ə b ʃ iː
ਹਰਫ਼	ɦ ə ɾ f ə̆
ਹਰਫ਼	ɦ ə ɾ ə f ə̆
ਹਰਫ਼	ɦ ə ɾ ə pʰ ə̆
ਹਰਿਆਣਾ	h ə ɾ ɪ aː ɳ aː
ਹਲਦੀ	ɦ ə l d̪ iː
ਹਸਪਤਾਲ	ɦ ə s p ə t̪ äː l
ਹਾਂਹ	ɦ ä̃ː ɦ
ਹਾਥੀ	ɦ äː t̪ʰ iː
ਹਾਰ	ɦ äː ɾ
ਹਾਰਨਾ	ɦ äː ɾ n äː
ਹਾਰੂਨ	ɦ äː ɾ uː n
ਹਾਹਾ	ɦ aː ɦ aː
ਹਿਜੜਾ	ɦ ɪ d͡ʒ ɽ äː
ਹਿਰਦਾ	ɦ ɪ ɾ d̪ äː
ਹਿਰਦਾ	ɦ ɪ ɾ ə̆ d̪ äː
ਹਿੰਦ	ɦ ɪ n d̪
ਹਿੰਦਵਾਣਾ	ɦ ɪ n d̪ ʋ äː ɳ äː
ਹਿੰਦੁਸਤਾਨ	ɦ ɪ n d̪ ʊ s t̪ äː n
ਹੀਆਂ	ɦ iː ä̃ː
ਹੁਕਮਨਾਮਾ	ɦ ʊ k ə m n äː m äː
ਹੁਣ	ɦ ʊ ɳ
ਹੁੰਮ੍ਹ	ɦ ʊ m m ˦ ə̆
ਹੁੱਕ਼ਾ	ɦ ʊ kː ä
ਹੂਦ	ɦ uː d̪
ਹੇ	eː ˥˩
ਹੇ	ɦ eː
ਹੈ	ɛː ˥˩
ਹੈ	ɦ ɛː
ਹੈਂ	ə ĩː
ਹੈਂ	ɛ̃ː
ਹੈਂ	ɦ ə ĩː
ਹੈਂ	ɦ ɛ̃ː
ਹੈਗਾ	ɦ ɛː ɡ äː
ਹੈਦਰਾਬਾਦ	ɦ ɛː d̪ ɾ äː b äː d̪
ਹੈਵਾਨ	ɦ ɛː ʋ äː n
ਹੋਇਆ	ɦ oː ɪ äː
ਹੋਇਏ	ɦ oː ɪ eː
ਹੋਣ	ɦ oː ɳ
ਹੋਣਾ	oː ˥˩ ɳ aː
ਹੋਣਾ	ɦ oː ɳ aː
ਹੋਰ	ɦ oː ɾ
ਹੋਵਾਂ	ɦ oː ʋ ä̃ː
ਹੋਵਾਂਗਾ	ɦ oː ʋ äː ŋ ɡ äː
ਹੋਵੇ	ɦ oː ʋ eː
ਹੋਵੇਗਾ	ɦ oː ʋ eː ɡ äː
ਹੋਵੋ	ɦ oː ʋ oː
ਹੌਸਲਾ	ɦ ɔ̃ː ˥˩ s l äː
ਹੜ੍ਹ	ɦ ə ɽᵊ ˦
ਹੰਝੂ	ɦ ə n d͡ʒʱ uː
ਹੰਝੂ	ɦ ə ɲ ˥ d͡ʒ uː
ਹੰਸ	ɦ ə n s
ਹੱਕ	ɦ ə kːᵊ
ਹੱਜ	ɦ ə d̪ d͡ʒ
ਹੱਡੀ	ɦ ə ɖː iː
ਹੱਤਿਆ	ɦ ə t̪̚ t̪ ɪ äː
ਹੱਥ	ɦ ə t̪ːʰ ə̆
ਹੱਸ	ɦ ə sː ə̆
ਾ	äː
ਿ	ɪ
ੀ	iː
ੁ	ʊ
ੂ	uː
ੇ	eː
ੈ	ɛː
ੋ	oː
ੌ	ɔː
ੜ	ɽ ə
ੜਾੜਾ	ɽ aː ɽ aː
ੰ	ə̃ ɲ
