Achab	aː k a b
seknesse	s i k n ɛ s ə
seknesse	s iː k n ɛ s ə
selde	s eː l d
selde	s ɛ l d
selden	s eː l d ə m
selden	s eː l d ə n
selden	s ɛ l d ə m
selden	s ɛ l d ə n
seldere	s eː l d ə r
seldomly	s eː l d ə m l iː
seldscene	s eː l d s eː n
seldscene	s ɛ l d s eː n
sele	s eː l
sele	s ɛː l
self	s i l f
self	s ɛ l f
seli	s eː l iː
sellen	s i l ə n
sellen	s ɛ l ə n
sellen	z u l ə n
sellen	z y l ə n
sellere	s i l ə r ə
sellere	s ɛ l ə r ə
selly	s ɛ l eː
selly	s ɛ l iː
selly	s ɛ l iː t ʃ ə
seme	s eː m ə
semen	s eː m ə n
semen	s ɛː m ə n
semestere	s ɛ m ə s t ə r ə
semestere	s ɛː m ə s t ə r ə
semly	s ɛ m b l iː
semly	s ɛː m i l iː
semlyhede	s ɛː m i l i h ɛː d ə
semlyhede	s ɛː m i l iː h ɛː d ə
semlynesse	s ɛː m i l iː n ɛ s ə
senden	s eː n d ə n
senden	s ɛ n d ə n
seneschal	s ɛ n i s k a l
seneschal	s ɛ n i t ʃ a l
seneschal	s ɛ n i ʃ a l
seneschal	s ɛ n ɛ s t ʃ a l
senevey	s ɛ n ə v æ i̯
sengen	s i n d͡ʒ ə n
sengle	s ɛ n ɡ ə l
sense	s ɛ n s
senyour	s ɛː n j u r
senyour	s ɛː n j uː r
serche	s ɛ r t ʃ ə
serche	s ɛː r t ʃ ə
serchen	s ɛ r t͡ʃ ə n
serchen	s ɛː r d͡ʒ ə n
serchen	s ɛː r t͡ʃ ə n
serchour	s ɛ r t͡ʃ u r
serchour	s ɛ r t͡ʃ uː r
serchour	s ɛ r t͡ʃ ə r
serchour	s ɛː r t͡ʃ ə r
serchynge	s ɛ r t͡ʃ i n ɡ ə
serchynge	s ɛː r t͡ʃ i n ɡ ə
sere	s eː r
sere	s eː r ə
sere	s ɛː r
seren	s ɛː r ə n
serge	s i r d ʒ ə
serge	s ɛ r d ʒ ə
serjaunt	s ɛ r d͡ʒ a u̯ n t
serk	s a r k
serk	s ɛ r k
sermonen	s a r m u n ə n
sermonen	s ɛ r m u n i ə n
sermonen	s ɛ r m u n ə n
sermontayne	s ɛ r m u n t æ i̯ n ə
sermonynge	s a r m u n i n ɡ
sermonynge	s ɛ r m u n i n ɡ
sermoun	s a r m u n
sermoun	s ɛ r m u n
sermoun	s ɛ r m uː n
servage	s ɛ r v a d͡ʒ ə
servage	s ɛ r v aː d͡ʒ ə
servaunt	s ɛ r v a n d
servaunt	s ɛ r v a u̯ n t
serven	s ɛ r v ə n
serviable	s ɛ r v i aː b l ə
serviable	s ɛ r v i aː b ə l
servisable	s ɛ r v i s aː b l ə
servisable	s ɛ r v i s aː b ə l
servise	s ɛ r v i s ə
servise	s ɛ r v iː s ə
servish	s ɛ r v i ʃ
servitour	s ɛ r v i t u r
servitour	s ɛ r v i t uː r
servitute	s ɛ r v i t i u̯ t ə
servyle	s ɛ r v i l ə
servyle	s ɛ r v iː l ə
sesoun	s ɛː z u n
sesoun	s ɛː z uː n
sethen	s eː ð ə n
sether	s eː ð ə r ə
sethyng	s eː ð i n ɡ
setten	s ɛ t ə n
seven	s øː v ə n ə
seven	s œ v ə n ə
seven	s ɛ v ə n ə
seven	s ɛː v ə n ə
sevenefold	s ɛ v ə f ɑː l d
sevenefold	s ɛ v ə n f ɑː l d
sevenefold	s ɛ v ə n f ɔː l d
sevenefold	s ɛː v ə f ɔː l d
sevenefold	s ɛː v ə n f ɔː l d
seventene	s ɛ v ə n t eː n ə
seventene	s ɛː v ə n t eː n ə
seventhe	s ɛ f t ə
seventhe	s ɛ f θ ə
seventhe	s ɛ v ə n d ə
seventhe	s ɛ v ə n ð ə
seventhe	s ɛ v ə n θ ə
seventhe	s ɛː v ə ð ə
seventy	s ɛ v ə n t iː
seventy	s ɛː v ə n t iː
sevenyght	s ɛ n i x t
sevenyght	s ɛ v ə n i x t
sevenyght	s ɛ v ə n n i x t
sevenyght	s ɛː n i x t
sevenyght	s ɛː v ə n i x t
sew	s ɛ u̯
seym	s æ i̯ m
shamefast	ʃ aː m f a s t
shameles	ʃ aː m l ɛ s
shameles	ʃ aː m l ɛː s
share	ʃ a r
share	ʃ aː r
share	ʃ aː r ə
shave	ʃ aː v ə
shelden	ʃ eː l d ə n
shelden	ʃ iː l d ə n
shere	ʃ ɛː r ə
sherman	ʃ ɛ r m a n
sherman	ʃ ɛː r m a n
sherte	ʃ i r t ə
sherte	ʃ u r t ə
sherte	ʃ ɛ r t ə
sherten	ʃ i r t ə n
sherten	ʃ ɔ r t ə n
sherten	ʃ ɛ r t ə n
shethe	ʃ ɛː ð
shethe	ʃ ɛː θ
shire	ʃ iː r ə
shirevewyk	ʃ ə r eː v ə w i k ə
shirevewyk	ʃ ə r eː v ə w iː k ə
shirreve	ʃ i r eː v ə
shirreve	ʃ i r i f ə
shirreve	ʃ iː r eː v ə
shirreve	ʃ ɛ r eː v ə
shirreve	ʃ ɛ r i f ə
shirreve	ʃ ɛ r i v ə
shirrevehod	ʃ ə r eː v ə h ɔː d
shirrevehod	ʃ ə r eː v ə h ɛː d
shirten	ʃ i r t ə n
shirten	ʃ u r t ə n
shriden	ʃ r iː d ə n
shriden	ʃ r u d ə n
shriden	ʃ r uː d ə n
shryven	ʃ r iː v ə n
shryver	ʃ r iː v ə r
shryvyng	ʃ r iː v i n ɡ
sicamour	s iː k a m oː r
sicamour	s iː k a m uː r
side	s iː d ə
sider	s iː d r ə
sider	s iː d ə r
sighe	s i x
sighe	s iː x
signifiaunce	s i n ɡ n i f i a u̯ n s ə
signifiaunce	s i n ɡ n i f iː a u̯ n s ə
significaunce	s i n ɡ n i f i k a u̯ n s ə
sik	s i k
sik	s iː k
siker	s i k ə r
silence	s i l ɛ n s ə
silence	s iː l ɛ n s ə
silver	s i l v ə r
silver	s ɛ l v ə r
simplicite	s i m p l i s i t eː
singen	s i n ɡ ə n
sire	s i r ə
sire	s iː r ə
sire	s ɛ r ə
sirup	s i r i p
sirup	s i r u p
sisours	s i z u r i s
sisours	s i z u r s
sisours	s i z u r z
sisours	s i z uː r i s
sisours	s i z uː r s
sisours	s i z uː r z
sithen	s i n
sithen	s i ð ə n
sithen	s i θ ə n
sithen	s iː n
sittynge	s i t i n ɡ
situacioun	s i t i u̯ aː s j u n
situacioun	s i t i u̯ aː s j uː n
sive	s eː f
sive	s eː v ə
sive	s i f
sive	s i v ə
six	s i k s
sixte	s i k s t ə
sixte	s i k s θ ə
sixte	s ɛ k s t ə
sixte	s ɛ k s θ ə
sixte	s ɛ s t ə
sixtene	s i k s t eː n ə
sixtene	s ɛ k s t eː n ə
sixty	s i k s t iː
sixty	s ɛ k s t iː
siȝe	s iː ə
skayne	s k æ i̯ n ə
skene	s k ɛ i̯ n
skene	s k ɛː n
skew	s k i u̯
skewen	s k i u̯ ə n
sky	s k iː
skyn	s k i n
skynnen	s k i n ə n
skynner	s k i n ə r ə
skynnery	s k i n ə r iː
skyr	s k iː r
skyren	s k iː r ə n
skyrte	s k i r t ə
slay	s l ɛ i̯ ə
slegge	s l ɛ d͡ʒ ə
sleighly	s l i x l iː
sleighly	s l iː l iː
sleighly	s l ɛ i̯ l iː
sleighly	s l ɛ i̯ x l iː
sleighte	s l eː x t ə
sleighte	s l i x t ə
sleighte	s l iː x t ə
sleighte	s l ɛ i̯ x t ə
sleighte	s l ɛ i̯ ð ə
sleightely	s l i x t ə l iː
sleightely	s l iː x t ə l iː
sleightely	s l ɛ i̯ x t ə l iː
sleighty	s l i x t iː
sleighty	s l iː x t iː
sleighty	s l ɛ i̯ x t iː
slepe	s l eː p
slepe	s l ɛː p
slepeles	s l eː p l ɛ s
slepeles	s l eː p l ɛː s
slepen	s l eː p ə n
slepen	s l ɛː p ə n
slete	s l eː t ə
sliden	s l iː d ə n
slider	s l i d ə r
slider	s l i ð ə r
slider	s l iː d ə r
slideren	s l i d ə r ə n
slideren	s l i ð ə r ə n
slidery	s l i d r iː
slidery	s l i d ə r iː
slidery	s l iː d ə r iː
sliding	s l iː d i n ɡ
slight	s l i x t
slight	s l iː x t
slight	s l ɛ x t
sliken	s l i k ə n
sliken	s l iː k ə n
slo	s l ɔː
slugge	s l u ɡ
sly	s l eː x
sly	s l i x
sly	s l iː x
slyke	s l i k
slyke	s l iː k
slykeston	s l i k ə s t ɔː n
slykeston	s l iː k ə s t ɔː n
slynesse	s l iː n ɛ s
slynesse	s l ɛ i̯ n ɛ s
slynge	s l i n ɡ ə
slyngen	s l i n ɡ ə n
slynger	s l i n ɡ ə r ə
slyngynge	s l i n ɡ i n ɡ ə
smacchen	s m a t ʃ ə n
smacchen	s m ɛ t ʃ ə n
smak	s m a k
smak	s m a t ʃ
smaken	s m a k ə n
smaken	s m aː k ə n
smal	s m a l
smal	s m aː l
smattrynge	s m a t r i n ɡ
smellen	s m ɛ l ə n
smelt	s m ɛ l t
smert	s m a r t
smert	s m ɛ r t
smerte	s m a r t ə
smerte	s m i r t ə
smerte	s m ɛ r t ə
smerten	s m ɛ r t ə n
smethe	s m eː ð ə
smethen	s m eː ð ə n
smethenesse	s m eː ð ə n ɛ s ə
smethyng	s m eː ð i n ɡ
smethyng	s m i ð i n ɡ
smiten	s m iː t ə n
smoke	s m ɔː k ə
smokynge	s m ɔː k i n ɡ
smoren	s m ɔː r ə n
smorþering	s m oː r ð ə r i n ɡ
smorþering	s m ɔ r ð ə r i n ɡ
smothe	s m oː ð ə
smothenesse	s m oː ð ə n ɛ s ə
smyth	s m i θ
smyth	s m ɛ θ
smythe	s m i θ ə
smythen	s m eː ð ə n
smythen	s m i ð ə n
smythier	s m i ð i ə r ə
smythier	s m i ð ə r ə
smythy	s m i ð iː ə
snake	s n aː k ə
snaperen	s n a p ə r ə n
snare	s n aː r ə
snaren	s n aː r ə n
snarl	s n a r l
snarlen	s n a r l ə n
snayle	s n æ i̯ l
snayle	s n ɛː l
snede	s n ɛː d
snesen	s n eː z ə n
snewen	s n i u̯ ə n
snore	s n ɔː r ə
snoren	s n ɔː r ə n
snot	s n ɔ t ə
snow	s n ɑ u̯
snow	s n ɔ u̯
snowen	s n ɔ u̯ ə n
snowisshe	s n ɔ u̯ i ʃ
snowte	s n uː t ə
snowy	s n ɑ u̯ iː
snowy	s n ɔ u̯ iː
snyten	s n iː t ə n
so	s ɔː
socour	s u k uː r
sodeyn	s u d i n
sodeyn	s u d æ i̯ n
sodeynly	s u d i n l iː
sodeynly	s u d æ i̯ n l i t͡ʃ ə
sodeynly	s u d æ i̯ n l iː
sodeynte	s u d i n t eː
sodeynte	s u d æ i̯ n t eː
sodeynte	s ɔ d æ i̯ n t eː
softe	s ɔ f t ə
solucioun	s ɔ l i u̯ s i uː n
solucioun	s ɔ l i u̯ s j u n
solven	s ɔ l v ə n
som	s u m
somer	s u m ə r
somþyng	s u m θ i n ɡ
sone	s oː n ə
sone	s u n ə
sonely	s u n ə l iː
song	s a n ɡ
song	s aː n ɡ
song	s ɔ n ɡ
song	s ɔː n ɡ
songly	s ɔ n ɡ l iː
songly	s ɔ n ɡ l iː k
songly	s ɔː n ɡ l i t͡ʃ
songly	s ɔː n ɡ l iː
sonne	s u n ə
sonnebeem	s u n ə b ɛː m
soot	s oː t
sooty	s oː t iː
sopere	s u p ə r
sopere	s u p ɛː r
soppe	s ɔ p ə
sor	s ɔ r
sor	s ɔː r
sorcerere	s ɔ r s ə r ə r
sorcerere	s ɔ r s ə r ɛː r
sorceresse	s ɔ r s ə r ɛ s ə
sorcery	s ɔ r s ə r eː ə
sorcery	s ɔ r s ə r iː ə
sorcery	s ɔ s ə r eː ə
sorcery	s ɔ s ə r iː ə
sore	s ɑː r
sore	s ɔː r
sored	s ɔː r d
sored	s ɔː r i d
sored	s ɔː r ɛ d
sorel	s u r ə l
sorel	s ɔ r ə l
sorely	s ɔː r l iː
sorely	s ɔː r l iː t ʃ ə
sorely	s ɛː r l iː
soren	s ɔː r ə n
sorhed	s ɔː r h ɛ d
sorhed	s ɔː r h ɛː d
sorinesse	s ɔː r i n ɛ s
sorinesse	s ɔː r iː n ɛ s
sornesse	s ɑː r n ɛ s ə
sornesse	s ɔː r n ɛ s ə
sorow	s ɔ r w ə
sorow	s ɔ r ɔ u
sorre	s ɔ r eː
sory	s ɔ r iː
sory	s ɔː r iː
soryly	s ɔː r i l iː
soryly	s ɔː r iː l iː
soryly	s ɔː r iː l iː t ʃ ə
sot	s ɔ t
sot	s ɔː t
sotie	s ɔ t iː ə
sotil	s u p t i l
sotil	s u t i l
sotil	s u t ə l
sotil	s ɔ t i l
sotil	s ɔ t ə l
sotil	s ɔː t ə l
sotilen	s u t i l ə n
sotilen	s ɔ t i l ə n
sotilly	s u t ə l iː
sotilly	s ɔ t i l iː
sotilly	s ɔ t i l iː t ʃ ə
sotilly	s ɔ t ə l iː
sotillynge	s u t ə l i n ɡ
sotillynge	s ɔ t i l i n ɡ
sotillynge	s ɔ t ə l i n ɡ
sotilnes	s u t ə l n ɛ s
sotilnes	s ɔ t i l n ɛ s
sotilnes	s ɔ t ə l n ɛ s
sotilte	s u t ə l ə t eː
sotilte	s ɔ t i l ə t eː
sotilte	s ɔ t ə l ə t eː
sotliche	s ɔ t l iː t ʃ ə
sotschipe	s ɔ t ʃ i p ə
sotten	s ɔ t ə n
soudan	s ɔ u̯ d a n
soudan	s ɔ u̯ d aː n
soudan	s ɔ u̯ d ə n
soudeour	s ɔ u̯ d i eː r
soudeour	s ɔ u̯ d i u r
soudeour	s ɔ u̯ d i uː r
soudeour	s ɔ u̯ d i ə r
souke	s u k ə
souke	s uː k ə
souken	s u k ə n
souken	s uː k ə n
souker	s u k ə r ə
souker	s uː k ə r ə
soukynge	s u k i n ɡ ə
soukynge	s uː k i n ɡ ə
soule	s ɑ u̯ l ə
soule	s ɔ u̯ l ə
soun	s uː n
soundre	s uː n d r ə
soundre	s uː n d ə r
soupe	s uː p ə
soupen	s u p ə n
soupen	s uː p ə n
sour	s uː r
sourden	s uː r d ə n
sours	s uː r s ə
soutere	s u t ə r ə
soutere	s uː t ə r ə
south	s uː θ
southerne	s u ð ə r n ə
southerne	s uː ð ə r n ə
sovereyn	s u v ə r i n
sovereyn	s u v ə r æ i̯ n
sovereyn	s ɔ v ə r i n
sovereyn	s ɔ v ə r æ i̯ n
sovereynly	s ɔ v ə r i n l i t͡ʃ ə
sovereynly	s ɔ v ə r i n l iː
sovereynly	s ɔ v ə r æ i̯ n l i t͡ʃ ə
sovereynly	s ɔ v ə r æ i̯ n l iː
sovereynte	s ɔ v ə r i n ə t eː
sovereynte	s ɔ v ə r æ i̯ n ə t eː
sowe	s uː ə
sowel	s oː ə l
sowel	s u v ə l
sowel	s uː ə l
sowel	s ɔ u̯ ə l
sowel	s ɔː ə l
sowen	s uː ə n
sowen	s ɑ u̯ ə n
sowen	s ɔ u̯ ə n
sowere	s ɔ u̯ ə r ə
sowere	s ɔ u̯ ɛː r ə
sowere	s ɔ u̯ː r ə
sowryng	s ɔː r i n ɡ
sowynge	s ɔ u̯ i n ɡ ə
spade	s p aː d ə
spanne	s p a n ə
spannen	s p a n ə n
sparhauk	s p a r h a u̯ k
sparhauk	s p ɛ r h a u̯ k
sparke	s p a r k ə
sparke	s p ɛ r k ə
sparkel	s p a r k ə l
sparkel	s p ɛ r k ə l
sparken	s p a r k ə n
sparklen	s p a r k ə l ə n
sparplen	s p a r k ə l ə n
sparplen	s p a r p i l ə n
sparplen	s p a r p u i̯ l ə n
sparplen	s p a r p ə l ə n
sparplen	s p a r t ə l ə n
sparre	s p a r ə
sparren	s p a r ə n
sparren	s p aː r ə n
sparren	s p ɛ r ə n
sparren	s p ɛː r ə n
sparthe	s p a r ð ə
sparthe	s p a r θ
sparwe	s p a r i u̯ ə
sparwe	s p a r w ə
sparwe	s p a r ɔ u̯ ə
spawde	s p a l d ə
spawde	s p a u̯ d ə
spayen	s p ɛ i̯ ə n
speche	s p eː k
speche	s p eː t ʃ
speche	s p ɛː k
speche	s p ɛː t ʃ
speckyd	i s p ɛ k ə d
speckyd	s p ɛ k i d
speckyd	s p ɛ k ə d
speckyd	s p ɛ k ɛ d
speden	s p eː d ə n
spekke	s p ɛ k ə
spekynge	s p ɛː k i n ɡ
spelen	s p ɛː l ə n
spelunke	s p eː l u n k ə
spenden	s p ɛ n d ə n
spere	s p eː r ə
spere	s p ɛː r ə
sperver	s p a r v ə r
sperver	s p r ɛ v ə r
sperver	s p ɛ r v eː r
sperver	s p ɛ r v ə r
sperwort	s p ɛː r ə w u r t
spewen	s p i u̯ ə n
spewynge	s p i u̯ i n ɡ ə
spice	s p iː s ə
spicen	s p iː s ə n
spicer	s p iː s ə r
spicerie	s p iː s ə r iː ə
spigot	s p i ɡ ɔ t
spigot	s p i ɡ ə t
spigurnel	s p i ɡ u r n ɛ l
spikenard	s p i k ə n a r d
spikenard	s p i k ə n a r d ə
spile	s p i l
spile	s p iː l
spilen	s p eː l ə n
spilen	s p i l ə n
spillen	s p i l ə n
spiller	s p i l ə r
spillyng	s p i l i n ɡ
spinach	s p i n a d ʒ ə
spinach	s p i n a r t ʃ ə
spinach	s p i n a t ʃ ə
spinnen	s p i n ə n
spiþre	s p iː d r ə
spiþre	s p iː ð r ə
splayen	s p l æ i̯ ə n
spoke	s p aː k
spoke	s p ɑː k ə
spoke	s p ɔː k ə
spone	s p oː n ə
sponeful	s p oː n ə f u l
sponeful	s p u n ə f u l
spore	s p oː r ə
spore	s p u r ə
spore	s p ɔː r ə
sporen	s p oː r ə n
sporen	s p u r ə n
sporen	s p ɔː r ə n
sporier	s p oː r i ə r ə
sporier	s p u r i ə r ə
sporier	s p ɔː r i ə r ə
spray	s p r ɛ i̯
spreden	s p r ɛː d ə n
sprengen	s p r i n d͡ʒ ə n
sprengen	s p r ɛ n d͡ʒ ə n
sprenten	s p r ɛ n t ə n
spruten	s p r uː t ə n
spryng	s p r i n ɡ
spryngen	s p r i n k ə n
spryngen	s p r i n ɡ ə n
sprytten	s p r i t ə n
sprytten	s p r u t ə n
spudde	s p u d
spume	s p i u̯ m ə
spumen	s p i u̯ m ə n
spumous	s p i u̯ m u s
spurge	s p u r d͡ʒ ə
spurn	s p u r n
spurnen	s p u r n ə n
spurnen	s p ɔː r n ə n
spurnynge	s p u r n i n ɡ ə
spyndel	s p i n d ə l
spyndel	s p i n ə l
spyne	s p iː n a
spyne	s p iː n ə
spynner	s p i n ə r
spynnere	s p i n ə r ə
spynnestere	s p i n ə s t r ə
spynnestere	s p i n ə s t ə r
spynnynge	s p i n i n ɡ ə
spytte	s p i t
squame	s k w aː m ə
squamous	s k w aː m u s
square	s k w aː r ə
square	s k w iː r ə
square	s k w ɛː r ə
squierie	s k w iː ə r iː ə
squirel	s k w i r ə l ə
squirel	s k w ɛ r ə l ə
stacioun	s t aː s i u n
stacioun	s t aː s i uː n
stacioun	s t aː s j u n
stacioun	s t aː s j uː n
staf	s t a f
staf	s t aː f
staf	s t aː v ə
stafflike	s t a f l iː
stafflike	s t a f l iː k ə
staffull	s t a f f u l
stafslynge	s t a f s l i n ɡ
stage	s t aː d ʒ ə
stagge	s t a ɡ ə
stak	s t a k
stake	s t aː k ə
staken	s t aː k ə n
stakken	s t a k ə n
stakyng	s t aː k i n ɡ
stale	s t a l
stale	s t aː l
stale	s t aː l ə
stalken	s t a l k ə n
stalle	s t a l
stalle	s t aː l
stampen	s t a m p ə n
standen	s t a n d ə n
standen	s t ɔ n d ə n
standen	s t ɔː n d ə n
staren	s t aː r ə n
stat	s t aː t
staunce	s t a u̯ n s ə
stede	s t eː d ə
stede	s t i d ə
stede	s t ɛ d ə
stede	s t ɛː d ə
stedefast	s t i d ə f a s t
stedefast	s t ɛ d ə f a s t
stedefast	s t ɛː d ə f a s t
stedefastly	s t ɛ d ə f a s t l iː
stedefastly	s t ɛː d ə f a s t l iː
stedefastnesse	s t ɛ d ə f a s t n ɛ s ə
stedefastnesse	s t ɛː d ə f a s t n ɛ s ə
steden	s t ɛ d ə n
steden	s t ɛː d ə n
steer	s t eː r
steer	s t øː r
steire	s t æ i̯ r ə
stele	s t eː l ə
stemme	s t ɛ m
stench	s t i n t͡ʃ
stench	s t u n t͡ʃ
stench	s t ɛ n t͡ʃ
stenchen	s t i n t͡ʃ ə n
stenchen	s t ɛ n t͡ʃ ə n
stenen	s t ɛː n ə n
steorve	s t œ r v ə
stepbarn	s t ɛ p b a r n
stepchild	s t ɛ p t͡ʃ iː l d
stepdame	s t ɛ p d a m ə
stepdame	s t ɛ p d aː m ə
stepdoughter	s t ɛ p d ɔ u̯ x t ə r
stepfader	s t ɛ p f a d ə r
stepfader	s t ɛ p f aː d ə r
stepmoder	s t ɛ p m oː d ə r
steppe	s t a p ə
steppe	s t aː p ə
steppe	s t ɛ p ə
steppe	s t ɛː p ə
steppen	s t a p ə n
steppen	s t ɛ p ə n
steppynge	s t a p i n ɡ ə
steppynge	s t ɛ p i n ɡ ə
stepsone	s t ɛ p s u n ə
stere	s t eː r ə
stere	s t øː r ə
stereles	s t eː r ə l ɛ s
stereles	s t eː r ə l ɛː s
sterre	s t œ r ə
sterre	s t ɛ r ə
sterven	s t ɛ r v ə n
steȝere	s t iː ə r
steȝere	s t ɛ i̯ ə r
stiborne	s t i b u r n
stiborne	s t i b uː r n
stiborne	s t u b uː r n
stiche	s t eː k
stiche	s t i k
stiche	s t i t͡ʃ ə
stichen	s t i t͡ʃ ə n
stie	s t eː ə
stie	s t iː ə
stien	s t iː ə n
stien	s t ɛ i̯ ə n
stif	s t i f
stif	s t iː f
stiffenes	s t i f n ɛ s
stifly	s t i f l iː
stifly	s t i f l iː t ʃ ə
stikke	s t i k ə
stile	s t i l ə
stile	s t iː l ə
stile	s t ɛ i̯ l ə
stingen	s t i n d ʒ ə n
stingen	s t i n ɡ ə n
stirop	s t i r ɔ p
stirop	s t iː r ɔː p
stirop	s t ɛ r ɔ p
stith	s t i θ
stith	s t iː θ
stithy	s t i d iː
stithy	s t i ð iː
stode	s t oː d
stode	s t u d
stok	s t ɔ k
stokkynge	s t ɔ k i n ɡ
stomak	s t u m a k
stomakere	s t u m a k ə r ə
stomakere	s t u m a t͡ʃ ə r ə
ston	s t ɑː n
ston	s t ɔː n
stonen	s t ɔː n ə n
stony	s t ɔː n iː
store	s t oː r
store	s t uː r
store	s t ɔː r
storial	s t ɔ r i a l
storial	s t ɔ r i aː l
storie	s t ɔ r iː ə
storie	s t ɔː r iː ə
storien	s t ɔ r i ə n
storien	s t ɔ r iː ə n
storier	s t ɔ r i ə r
storier	s t ɔ r iː ə r
storiyng	s t ɔ r i i n ɡ
storiyng	s t ɔ r iː i n ɡ
stork	s t ɔ r k
storm	s t ɔ r m
stormy	s t ɔ r m iː
story	s t ɔ r iː ə
story	s t ɔː r iː ə
stoute	s t u t
stoute	s t uː t
strand	s t r a n d
strand	s t r ɔː n d
stranglen	s t r a n ɡ l ə n
straunge	s t r a u̯ n d͡ʒ ə
straunge	s t r aː n d͡ʒ ə
straunge	s t r ɔ n d͡ʒ ə
straungely	s t r a u̯ n d͡ʒ ə l iː
straungely	s t r aː n d͡ʒ ə l iː
straungenesse	s t r a u̯ n d͡ʒ ə n ɛ s ə
straungenesse	s t r aː n d͡ʒ ə n ɛ s ə
straunger	s t r a u̯ n d͡ʒ eː r
straunger	s t r a u̯ n d͡ʒ ə r
straunger	s t r aː n d͡ʒ ə r
straw	s t r a u̯
straw	s t r eː
straw	s t r ɑː
strawbery	s t r a u̯ b ɛ r iː ə
strawbery	s t r ɑː b ɛ r iː ə
strawbery	s t r ɛː b ɛ r iː ə
strawen	s t r a u̯ ə n
strecchen	s t r ɛ t ʃ ə n
streight	s t r ɛ i̯ x t
streit	s t r æ i̯ t
streit	s t r æ i̯ x t
strem	s t r ɛː m
stremen	s t r ɛː m ə n
stremere	s t r ɛː m ə r ə
streng	s t r e n d͡ʒ ə
streng	s t r e n ɡ ə
streng	s t r i n d͡ʒ ə
streng	s t r i n ɡ ə
strengthen	s t r ɛ i̯ n θ ə n
strengthen	s t r ɛ n k θ ə n
strengthen	s t r ɛ n ɡ ð ə n
strengthen	s t r ɛ n θ ə n
strete	s t r eː t ə
strete	s t r ɛː t ə
striven	s t r iː v ə n
stroke	s t r ɑː k
stroke	s t r ɔː k
stroken	s t r ɑː k j ə n
stroken	s t r ɑː k ə
stroken	s t r ɔː k ə n
strong	s t r ɔ n ɡ
strout	s t r u t
strout	s t r uː t
strouten	s t r u t ə n
strouten	s t r uː t ə n
stroutere	s t r u t ə r ə
stroutere	s t r uː t ə r ə
stryken	s t r iː k ə n
stucche	s t i t͡ʃ ə
stucche	s t u t͡ʃ ə
stucche	s t ɛ t͡ʃ ə
stucchen	s t i t ʃ ə n
stucchen	s t u t ʃ ə n
studien	s t u d i ə n
studien	s t u d iː ə n
sturdy	s t u r d iː
sturgiun	s t u r d ʒ oː n
sturgiun	s t u r d ʒ uː n
sty	s t iː
stynge	s t i n d ʒ
stynge	s t i n ɡ
styngyng	s t i n ɡ i n ɡ
stynk	s t i n k
stynken	s t i n k ə n
stynkynge	s t i n k i n ɡ
submissioun	s u b m i s j u n
submissioun	s u b m i s j uː n
suet	s i u̯ ɛ t
suffisen	s u f iː s ə n
suffisen	s u f iː z ə n
suffren	s u f r ə n
sugre	s i u̯ k ə r
sugre	s i u̯ ɡ r ə
sugre	s i u̯ ɡ ə r
sugren	s i u̯ ɡ ə r ə n
supernatural	s i u̯ p ə r n a t i u̯ r a l
supernatural	s i u̯ p ə r n a t i u̯ r ɛ l
supernatural	s i u̯ p ə r n aː t i u̯ r a l
supernatural	s i u̯ p ə r n aː t i u̯ r ɛ l
supplien	s u p l iː ə n
supposicioun	s u p ɔ z i s j u n
supposicioun	s u p ɔ z i s j uː n
surcote	s u r k ɔ t ə
surcote	s u r k ɔː t ə
surcote	s u r k ə t ə
sure	s i u̯ r
sure	s uː r
sure	s ɛ u̯ r
surely	s i u̯ r l iː
surely	s uː r l iː
surely	s ɛ u̯ r l iː
surement	s i u̯ r ə m ɛ n t
suren	s i u̯ r ə n
suren	s ɛ u̯ r ə n
surenes	s i u̯ r n ɛ s
surete	s i u̯ r ə t eː
surete	s uː r ə t eː
surete	s ɛ u̯ r ə t eː
surgerie	s u r d ʒ iː ə
surgerie	s u r d ʒ ɛ r iː ə
surgien	s u r d ʒ i n
surgien	s u r d ʒ i ə n
surgien	s u r d ʒ i ɛ n
surmounten	s u r m u n t ə n
surmounten	s u r m uː n t ə n
surname	s i r n aː m ə
surname	s u r n aː m ə
surnape	s u r n a p ə
surnape	s u r n aː p ə
surnoun	s u r n u n
surnoun	s u r n uː n
surplys	s u r p l i s
surplys	s u r p l iː s
survewe	s u r v i u̯ ə
surveyen	s u r v ɛ i̯ ə n
surveyour	s u r v i u r
surveyour	s u r v æ i̯ u r
surveyour	s u r v æ i̯ uː r
suster	s i s t ə r
suster	s u s t ə r
suster	s w u s t ə r
suster	z i s t ə r
suster	z u s t ə r
susterhede	s i s t ə r h ɛː d
susterhede	s u s t ə r h oː d
susterhede	s u s t ə r h ɛː d
sute	s i u̯ t ə
sute	s u i̯ t ə
sute	s yː t ə
sutour	s i u̯ t u r
sutour	s i u̯ t uː r
sutour	s i u̯ t ə r
sutour	s u i̯ t uː r
suture	s i u̯ t i u̯ r ə
swage	s w aː d͡ʒ ə
swalwe	s w a l uː ə
swalwe	s w a l ɔ u̯ ə
swalwe	s w a l ə w ə
swan	s w a n
sward	s w a r d
sward	s w a r θ
sward	s w ɛ r d
sware	s w aː r ə
swaren	s w aː r ə n
swarm	s w a r m
swarm	s w ɛ r m
swarmen	s w a r m ə n
swarmen	s w ɛ r m ə n
swart	s w a r t
