ab	ɑ b
yarpaq	j ɑ r p ɑ χ
yarus	j ɑ r u s
yarğan	j ɑ r ɣ ɑ n
yarı	j ɑ r ɯ
yarım	j ɑ r ɯ m
yarımada	j ɑ r ɯ m ɑ d ɑ
yarımkürə	j ɑ r ɯ m k y r æ
yarımkürə	j ɑ r ɯ m t͡ʃ y r æ
yarımsavadlı	j ɑ r ɯ m s ɑ v ɑ d ɫ ɯ
yarın	j ɑ r ɯ n
yarısavadlı	j ɑ r ɯ s ɑ v ɑ d ɫ ɯ
yarış	j ɑ r ɯ ʃ
yasaq	j ɑ s ɑ χ
yastıq	j ɑ s t ɯ χ
yataq	j ɑ t ɑ χ
yatmaq	j ɑ t m ɑ χ
yatırım	j ɑ t ɯ r ɯ m
yavaş	j ɑ v ɑ ʃ
yaxa	j ɑ χ ɑ
yaxalamaq	j ɑ χ ɑ ɫ ɑ m ɑ χ
yaxmaq	j ɑ χ m ɑ χ
yaxın	j ɑ χ ɯ n
yaxınlığında	j ɑ χ ɯ n ɫ ɯ ɣ ɯ n d ɑ
yaxşı	j ɑ χ t͡s ɯ
yaxşı	j ɑ χ t͡ʃ ɯ
yaxşı	j ɑ χ ʃ ɯ
yay	j ɑ j
yaylaq	j ɑ j l ɑ χ
yaylıq	j ɑ j ɫ ɯ χ
yazmaq	j ɑ z m ɑ χ
yazılış	j ɑ z ɯ l ɯ ʃ
yazıq	j ɑː z ɯ ɣ
yazıq	j ɑː z ɯ χ
yazıçı	j ɑ z ɯ t͡s ɯ
yazıçı	j ɑ z ɯ t͡ʃ ɯ
yazışmaq	j ɑ z ɯ ʃ m a χ
yağ	j ɑ ɣ
yağı	j ɑ ɣ ɯ
yağış	j a ɣ ɯ ʃ
yaş	j ɑ ʃ
yaşasın	j ɑ ʃ ɑ s ɯ n
yaşayış	j ɑ ʃ ɑ j ɯ ʃ
yaşdaş	j ɑ ʃ d ɑ ʃ
yaşlı	j ɑ ʃ ɫ ɯ
yaşıd	j ɑ ʃ ɯ d
yeddi	j e tː i
yeddinci	j e tː i n d͡z i
yeddinci	j e tː i n d͡ʒ i
yekə	j e t͡ʃ æ
yel	j e l
yelləncək	j e lː æ n d͡z æ t͡ʃ
yelləncək	j e lː æ n d͡ʒ æ j
yelləncək	j e lː æ n d͡ʒ æ k
yellənmək	j e lː æ n m æ j
yellənmək	j e lː æ n m æ k
yellənmək	j e lː æ n m æ t͡ʃ
yelpik	j e l p i j
yelpik	j e l p i k
yelpik	j e l p i ç
yemək	j e m æ j
yemək	j e m æ k
yemək	j e m ɑ χ
yengə	j e ŋ ɡ æ
yeni	j e n i
yenilməz	j e n i l m æ z
yerimək	j e r i m æ j
yerimək	j e r i m æ k
yerləşdirmək	j e r l æ ʃ d i r m æ j
yerləşdirmək	j e rː æ ʃ d i r m æ j
yerləşmək	j e r l æ ʃ m æ j
yerləşmək	j e rː æ ʃ m æ j
yersiz	j e r s i z
yetim	j e t i m
yetişdirmək	j e t i ʃ d i r m æ j
yetişdirmək	j e t i ʃ d i r m æ k
yetişmək	j e t i ʃ m æ j
yetişmək	j e t i ʃ m æ k
yetmiş	j e t m i ʃ
yetmişinci	j e t m i ʃ i n d͡ʒ i
yetmək	j e t m æ j
yetmək	j e t m æ k
yey	j e j
yey	j e ɡ
yeznə	j e z n æ
yiyə	j i j æ
yiyəsiz	j i j æ s i z
yoluxmaq	j o ɫ u χ m ɑ χ
yoluxucu	j o ɫ u χ u d͡z u
yoluxucu	j o ɫ u χ u d͡ʒ u
yorulmaq	j o r u l m ɑ χ
yorulmaz	j o r u ɫ m ɑ z
yorğan	j o r ɣ ɑ n
yorğanağı	j o r ɣ ɑ n ɑ ɣ ɯ
yorğun	j o r ɣ u n
yosun	j o s u n
yox	j o χ
yoxlamaq	j o χ ɫ ɑ m ɑ χ
yoxsa	j o χ s ɑ
yoxsul	j o x s u ɫ
yozmaq	j o z m ɑ χ
yoğurmaq	j o ɣ u r m ɑ χ
yoğurt	j o ɣ u r t
yumaq	j u m ɑ χ
yumruq	j u m r u χ
yumruq	j u m u r u χ
yumurta	j u m u r t ɑ
yumşaq	j u m u ʃ a χ
yumşaq	j u m ʃ a χ
yuva	j u v ɑ
yuva	u v ɑ
yönlü	j œ n l y
yönlü	j œ nː y
yüksək	j y k s æ k
yükçü	j y k t͡s y
yükçü	j y k t͡ʃ y
yüngül	j y n ɡ y l
yürümək	j y r y m æ j
yürümək	j y r y m æ k
yüyürmək	j y j y r m æ j
yüyürmək	j y j y r m æ k
yüzüncü	j y z y n d͡ʒ y
yırtmaq	j ɯ r t m ɑ χ
yırtıcı	j ɯ r t ɯ d͡z ɯ
yırtıcı	j ɯ r t ɯ d͡ʒ ɯ
yıxmaq	j ɯ χ m ɑ χ
yığmaq	j ɯ ɣ m ɑ χ
yığışdırmaq	j ɯ ɣ ɯ ʃ d ɯ r m ɑ χ
yığışmaq	j ɯ ɣ ɯ ʃ m ɑ χ
yəqin	j æ ɡ i n
yəqin	j æː ɡ i n
zaman	z ɑ m ɑ n
zaqafqaziya	z ɑ ɡ ɑ f k ɑ z j ɑ
zaqafqaziya	z ɑ ɡ ɑ f ɡ a z i j ɑ
zavod	z ɑ v o d
ziyil	z i j i l
zorakılıq	z o r ɑ k ɯ l ɯ χ
zorla	z o r ɫ ɑ
zorla	z o rː ɑ
zorlama	z o r ɫ ɑ m ɑ
zorlama	z o rː ɑ m ɑ
zorlamaq	z o r ɫ ɑ m ɑ χ
zorlamaq	z o rː ɑ m ɑ χ
zəfər	z æ f æ ɾ
zəfəran	z æ f æ r ɑ n
zəhmət	z æ h m æ t
zəhərli	z æ h æ r l i
zəhərli	z æ h æ rː i
zəif	z æ i f
zəiflik	z æ i f l i j
zəiflik	z æ i f l i ç
zəncir	z æ n d͡z i r
zəncir	z æ n d͡ʒ i r
zəncəfil	z æ n d͡z æ f i l
zəncəfil	z æ n d͡ʒ æ f i l
zəngin	z æ n d͡ʒ i n
zəngin	z æ ŋ ɡ i n
zərgər	z æ r ɡ æ r
zərurət	z æ r uː r æ t
zərər	z æ r æ r
çalma	t͡s ɑ ɫ m ɑ
çalma	t͡ʃ ɑ ɫ m ɑ
çalışmaq	t͡s ɑ ɫ ɯ ʃ m ɑ χ
çalışmaq	t͡ʃ ɑ ɫ ɯ ʃ m ɑ χ
çanta	t͡s ɑ n t ɑ
çanta	t͡ʃ ɑ n t ɑ
çap	t͡s ɑ p
çap	t͡ʃ ɑ p
çaqqal	t͡s ɑ kː ɑ ɫ
çaqqal	t͡ʃ ɑ kː ɑ ɫ
çaqqı	t͡s ɑ kː ɯ
çarə	t͡s ɑː r æ
çarə	t͡ʃ ɑː r æ
çatdırmaq	t͡s ɑ tː ɯ r m ɑ χ
çatdırmaq	t͡ʃ ɑ tː ɯ r m ɑ χ
çatmaq	t͡s ɑ t m ɑ χ
çatmaq	t͡ʃ ɑ t m ɑ χ
çatışmamazlıq	t͡s ɑ t ɯ ʃ m ɑ m ɑ z ɫ ɯ χ
çatışmamazlıq	t͡ʃ ɑ t ɯ ʃ m ɑ m ɑ z ɫ ɯ χ
çatışmaq	t͡s ɑ t ɯ ʃ m ɑ χ
çatışmaq	t͡ʃ ɑ t ɯ ʃ m ɑ χ
çatışmazlıq	t͡s ɑ t ɯ ʃ m ɑ z ɫ ɯ χ
çatışmazlıq	t͡ʃ ɑ t ɯ ʃ m ɑ z ɫ ɯ χ
çavuş	t͡s ɑ v u ʃ
çavuş	t͡ʃ ɑ v u ʃ
çayxana	t͡s ɑ j χ ɑ n ɑ
çayxana	t͡ʃ ɑ j χ ɑ n ɑ
çağ	t͡s ɑ ɣ
çağ	t͡ʃ ɑ ɣ
çağa	t͡s ɑ ɣ ɑ
çağa	t͡ʃ ɑ ɣ ɑ
çağırmaq	t͡s ɑ ɣ ɯ r m ɑ χ
çağırmaq	t͡ʃ ɑ ɣ ɯ r m ɑ χ
çağırış	t͡s ɑ ɣ ɯ r ɯ ʃ
çağırış	t͡ʃ ɑ ɣ ɯ r ɯ ʃ
çaşdırmaq	t͡s ɑ ʃ t ɯ r m ɑ χ
çaşdırmaq	t͡ʃ ɑ ʃ t ɯ r m ɑ χ
çaşmaq	t͡s ɑ ʃ m ɑ χ
çaşmaq	t͡ʃ ɑ ʃ m ɑ χ
çeşmək	t͡s e ʃ m æ t͡ʃ
çeşmək	t͡s e ʃ m æ ç
çeşmək	t͡ʃ e ʃ m æ j
çeşmək	t͡ʃ e ʃ m æ k
çeşmək	t͡ʃ e ʃ m æ ç
çibin	t͡s i b i n
çibin	t͡ʃ i b i n
çilingər	t͡s i l i n d͡ʒ æ r
çilingər	t͡ʃ i l i n ɡ æ r
çimizdirmək	t͡s i m i z d i r m æ k
çimizdirmək	t͡ʃ i m i z d i r m æ j
çimizdirmək	t͡ʃ i m i z d i r m æ k
çirk	t͡s i r t͡ʃ
çirk	t͡s i ç
çirk	t͡ʃ i r k
çirkin	t͡s i r t͡ʃ i n
çirkin	t͡ʃ i r k i n
çirkli	t͡s i r t͡ʃ l i
çirkli	t͡ʃ i r k l i
çiskinləmək	t͡s i s t͡ʃ i n l æ m æ t͡ʃ
çiskinləmək	t͡ʃ i s k i n l æ m æ k
çisələmək	t͡s i s æ l æ m æ t͡ʃ
çisələmək	t͡ʃ i s æ l æ m æ k
çisəmək	t͡s i s æ m æ t͡ʃ
çisəmək	t͡ʃ i s æ m æ k
çiy	t͡s i j
çiy	t͡ʃ i j
çiyin	t͡s i j i n
çiyin	t͡ʃ i j i n
çiyələk	t͡ʃ i j æ l æ k
çiçək	t͡s i t͡s æ j
çiçək	t͡s i t͡s æ k
çiçək	t͡ʃ i t͡ʃ æ j
çiçək	t͡ʃ i t͡ʃ æ k
çiçəkləmək	t͡s i t͡s æ t͡ʃ l æ m æ t͡ʃ
çiçəkləmək	t͡ʃ i t͡ʃ æ k l æ m æ k
çocuq	t͡s o d͡z u χ
çocuq	t͡ʃ o d͡ʒ u χ
çoxdan	t͡s o χ d ɑ n
çoxdan	t͡ʃ o χ d ɑ n
çoxnikahlılıq	t͡s o χ n i d͡ʒ ɑ h ɫ ɯ l ɯ χ
çoxnikahlılıq	t͡s o χ n i t͡ʃ ɑ h ɫ ɯ l ɯ χ
çuğundur	t͡ʃ u ɣ u n d u r
çökmək	t͡s œ k m æ t͡ʃ
çökmək	t͡ʃ œ k m æ j
çökmək	t͡ʃ œ k m æ k
çöl	t͡s œ l
çöl	t͡ʃ œ l
çömçəquyruq	t͡ʃ œ m t͡ʃ æ ɡ u j r u χ
çörək	t͡s œ r æ j
çörək	t͡s œ r æ t͡ʃ
çörək	t͡ʃ œ r æ j
çörək	t͡ʃ œ r æ k
çünki	t͡s y n k i
çünki	t͡s y n k y
çünki	t͡ʃ y n k i
çünki	t͡ʃ y n k y
çıraq	t͡s ɯ r ɑ χ
çıraq	t͡ʃ ɯ r ɑ χ
çıxarmaq	t͡s ɯ χ ɑ r t m ɑ χ
çıxarmaq	t͡ʃ ɯ χ ɑ r t m ɑ χ
çıxmaq	t͡s ɯ χ m ɑ χ
çıxmaq	t͡ʃ ɯ χ m ɑ χ
çıxış	t͡s ɯ χ ɯ ʃ
çıxış	t͡ʃ ɯ χ ɯ ʃ
çəki	t͡s æ t͡ʃ i
çəki	t͡ʃ æ k i
çəkic	t͡s æ t͡ʃ i d͡z
çəkic	t͡ʃ æ k i d͡ʒ
çəkiliş	t͡s æ t͡ʃ i l i ʃ
çəkiliş	t͡ʃ æ k i l i ʃ
çəkilmək	t͡s æ k i l m æ j
çəkilmək	t͡ʃ æ k i l m æ j
çəkilmək	t͡ʃ æ k i l m æ k
çəkmək	t s æ h m ɑ χ
çəkmək	t͡s æ k m æ j
çəkmək	t͡s æ k m æ k
çəkmək	t͡ʃ æ k m æ j
çəkmək	t͡ʃ æ k m æ k
çəngəl	t͡s æ ŋ ɡ æ l
çəngəl	t͡ʃ æ ŋ ɡ æ l
çənə	t͡ʃ æ n æ
çətin	t͡s æ t i n
çətin	t͡ʃ æ t i n
çətir	t͡s æ t i r
çətir	t͡ʃ æ t i r
öd	œ d
ödlük	œ d l y j
ödlük	œ d l y k
ödlük	œ d l y ç
ödəniş	œ d æ n i ʃ
ödənişsiz	œ d æ n i ʃ s i z
öfgə	o f ɡ æ
öfgə	œ f d͡ʒ æ
öfgə	œ f ɡ æ
ögey	œ ɡ e j
ögey	œ ɡ æ j
öküz	œ k y z
öldürmək	œ l d y r m æ j
öldürmək	œ l d y r m æ k
öldürmək	œ l d y r m ɑ χ
ölkə	œ l k æ
ölmək	œ l m æ k
ölmək	œ l m ɑ χ
ölçmək	œ l t͡s m æ j
ölçmək	œ l t͡s m æ k
ölçmək	œ l t͡s m ɑ χ
ölçmək	œ l t͡ʃ m æ j
ölçmək	œ l t͡ʃ m æ k
ölçmək	œ ʃ m ɑ χ
ölçü	œ l t͡s y
ölçü	œ l t͡ʃ y
ölüm	œ l y m
ölümcül	œ l y m d͡z y l
ölümcül	œ l y m d͡ʒ y l
ölüxana	œ l y χ ɑ n ɑ
öndər	œ n d æ r
önəmli	œ n æ m l i
öpmək	œ p m æ j
öpmək	œ p m æ k
öpüşmək	œ p y ʃ m æ k
öpüşmək	œ p œ p y ʃ m æ j
ördək	œ r d æ j
ördək	œ r d æ k
ördək	œ r d æ ç
ördəkburun	œ r d æ k b u r u n
örpək	œ r p æ j
örpək	œ r p æ ç
örtmək	œ r t m æ j
örtmək	œ r t m æ k
örtmək	œ r t m ɑ χ
örtmək	œ t m ɑ χ
örtük	œ r t y j
örtük	œ r t y ç
öskürmək	œ s k y r m æ j
öskürmək	œ s ɡ y r m ɑ χ
ötkəm	œ t k æ m
ötrü	œ t r y
övlad	e v l ɑ d
övlad	œ v l ɑ d
övrə	œ v r æ
öxbə	œ h b æ
öxbə	œ x b æ
öyrənmək	œ j r æ n m æ j
öyrənmək	œ j r æ n m æ k
öyrətmək	œ j r æ t m æ j
öyrətmək	œ j r æ t m æ k
özəl	œ z æ l
ülgü	y l ɡ y
ülgüc	y l ɡ y d͡ʒ
ümid	y m i d
ünsür	y n s y r
ünvan	y n v ɑ n
ürək	y r æ j
ürək	y r æ ç
üst	y s t
üstündə	y s t y n d æ
üstünə	y s t y n æ
ütü	y t y
üzbəüz	y z b æ y z
üzmək	y z m æ j
üzmək	y z m æ k
üzmək	y z m ɑ χ
üzügülər	y z y ɡ y l æ r
üzük	y z y j
üzük	y z y k
üçbucaq	y t͡s b u d͡z ɑ χ
üçbucaq	y t͡ʃ b u d͡ʒ ɑ χ
üçün	y t͡s y n
üçün	y t͡ʃ y n
üçüncü	y t͡ʃ y n d͡ʒ y
üşütmə	y ʃ y t m æ
şad	ʃ ɑ d
şahanə	ʃ ɑ h ɑː n æ
şahid	ʃ ɑː h i d
şahmat	ʃ ɑ h m ɑ t
şahmatçı	ʃ ɑ h m ɑ t t͡s ɯ
şahmatçı	ʃ ɑ h m ɑ t t͡ʃ ɯ
şair	ʃ ɑː i r
şalvar	ʃ ɑ ɫ v ɑ r
şam	ʃ ɑ m
şamaxı	ʃ ɑ m ɑ χ ɯ
şamçı	ʃ ɑ m t͡s ɯ
şamçı	ʃ ɑ m t͡ʃ ɯ
şapalaq	ʃ ɑ p ɑ ɫ ɑ χ
şeir	ʃ e j i r
şer	ʃ e i r
şer	ʃ e r
şillələmək	ʃ i lː æ
şimali	ʃ i m ɑ l ɯ
şimali	ʃ i m ɑː l i
şimşək	ʃ i m ʃ æ j
şimşək	ʃ i m ʃ æ k
şişirtmək	ʃ i ʃ i r m æ j
şişirtmək	ʃ i ʃ i r m æ k
şiə	ʃ i j æ
şiə	ʃ i æ
şüar	ʃ u ɑ r
şüar	ʃ y ɑ r
şüur	ʃ y uː r
şüşə	ʃ y ʃ æ
şəbəkə	ʃ æ b æ k æ
şəbəkə	ʃ æ b æ t͡ʃ æ
şəhid	ʃ æ h i d
şəhla	ʃ æ h l ɑ
şəhər	ʃ æ h æ ɾ
şəkil	ʃ æ k i l
şəkər	ʃ æ ç æ ɾ
şəlalə	ʃ æ ɫ ɑː l æ
şənbə	ʃ æ m b æ
şərh	ʃ æ r h
şəxsiyyət	ʃ æ χ s i j æ t
əbədilik	æ b æ d i l i j
əbədilik	æ b æ d i l i k
əbədiyyət	æ b æ d i j æ t
əcəl	æ d͡z æ l
əcəl	æ d͡ʒ æ l
əcəl	æ ʒ æ l
ədalət	æ d ɑː l æ t
ədat	æ d a t
ədviyyə	æ d v i j æ
ədviyyəli	æ d v i j æ l i
ədəd	æ d æ d
əgər	æ d͡ʒ æ r
əgər	æ j æ ɾ
əhali	æ h ɑː l i
əhəmiyyət	æ h æ m i j æ t
əhəmiyyətli	æ h æ m i j æ t l i
əjdaha	æ ʒ d ɑ h ɑː
əkmək	æ k m æ j
əkmək	æ k m æ k
əksinə	æ k s i n æ
əksəriyyət	æ k s æ r i j æ t
əla	æː ɫ ɑ
əlaqə	æ ɫ ɑː ɡ æ
əlaçı	æː ɫ ɑ t͡s ɯ
əlaçı	æː ɫ ɑ t͡ʃ ɯ
əlcək	æ l d͡z æ k
əlcək	æ l d͡ʒ æ k
əlcəzair	æ l d ʒ æ z ɑː i ɾ
əlcəzairli	æ l d ʒ æ z ɑː i ɾ l i
əliyalın	ɑ æ l i j ɑ ɫ ɯ n
əlli	æ l l i
əllinci	æ l l i n d͡ʒ i
əlyazı	æ l j ɑ z ɯ
əlçatmaz	æ l t͡s ɑ t m ɑ z
əlçatmaz	æ l t͡ʃ ɑ t m ɑ z
əlüstü	æ l y s t y
əmcək	æ m d͡z æ j
əmcək	æ m d͡ʒ æ j
əmi	æ m i
əmmək	æ mː æ j
əmmək	æ mː æ k
əmn	æ m n
əmr	æ m r
əmək	æ m æ j
əmək	æ m æ k
əməl	æ m æ l
ənis	æ n i s
ənsə	æ n s æ
ənənə	æ n æː n æ
ənənəvi	æ n æ n æː v i
ər	æ ɾ
ərimək	æ r i m æ j
ərimək	æ r i m æ k
əritmək	æ r i t m æ j
əritmək	æ r i t m æ k
əritmək	æ r i t m ɑ χ
əriş	æ r i ʃ
əsarət	æ s ɑː r æ t
əsgər	æ s k æ r
əsir	æ s i r
əski	æ s k i
əsnəmək	æ s n æ m æ j
əsnəmək	æ s n æ m æ k
əsrimək	æ s r i m æ j
əsrimək	æ s r i m æ k
əsəb	æ s æ b
əsər	æ s æ r
ət	æ t
ətək	æ t æ j
ətək	æ t æ k
ətək	æ t æ t͡ʃ
əyin	æ j i n
əyləmək	æ j l æ m æ j
əyləmək	æ j l æ m æ k
əyləncə	æ j l æ n d͡z æ
əyləncə	æ j l æ n d͡ʒ æ
əylənmək	æ j l æ n m æ j
əylənmək	æ j l æ n m æ k
əymək	æ j m æ k
əyri	æ j r i
əzizə	æ z i z æ
əşya	æ ʃ j ɑ
