ꜣ	ɑ
mꜣẖ	m aː ʀ a ç
mꜣẖ	m aː ʀ a ç
mꜣẖ	m aː ʔ ə ç
mꜣẖ	m oː ʔ ə ç
mꜣẖ	m ɑ ç
mꜣqꜣrꜣ	m ɛ k ɛ r
mꜣqt	m a j ʀ aː qʼ i t
mꜣqt	m a j ʀ aː qʼ i ʔ
mꜣqt	m ə aː qʼ a
mꜣqt	m oː qʼ ə
mꜣqt	m a j ʀ aː qʼ i t
mꜣqt	m a j ʀ aː qʼ i ʔ
mꜣqt	m ə aː qʼ a
mꜣqt	m oː qʼ ə
mꜣqt	m ɑ k ɛ t
mꜣt	m a ʀ iː j a t
mꜣt	m a ʀ iː j a ʔ
mꜣt	m ə j eː ʔ a
mꜣt	m ə j eː ʔ ə
mꜣt	m a ʀ iː j a t
mꜣt	m a ʀ iː j a ʔ
mꜣt	m ə j eː ʔ a
mꜣt	m ə j eː ʔ ə
mꜣt	m ɑ t
mꜣtt	m ɑ t ɛ t
mꜣṯ	m ɑ t͡ʃ
mj	m i
mjw	m i ʀ j u w
mjw	m i j u w
mjw	m i ʀ j u w
mjw	m i j u w
mjw	m i uː
mjw	m i uː
mjwj	m i uː i
mjwt	m V j aː w V t
mjwt	j V m aː j V t
mjwt	ʔ ə m aː ʔ ə
mjwt	ʔ ə m oː ʔ
mjwt	m V j aː w V t
mjwt	j V m aː j V t
mjwt	ʔ ə m aː ʔ ə
mjwt	ʔ ə m oː ʔ
mjwt	m i uː t
mjn	m i n
mjnj	m i n i
mjnb	m i n ɛ b
mjnt	m i n ɛ t
mjzt	m i z ɛ t
mjktj	m i k t i
mjgꜣdn	m i ɡ ɑ d ɛ n
mjt	m i t
mjtj	m i t i
mjtw	m i t uː
mjtt	m i t ɛ t
my	m iː
mꜥbꜣ	m a ʕ b a ʀ
mꜥbꜣ	m a ʕ b a ʀ
mꜥbꜣ	m ɑː b ɑ
mꜥnḏt	m V ʕ n i cʼ w V t
mꜥnḏt	m V ʕ n i tʼ w V ʔ
mꜥnḏt	m ə ʕ n e tʼ w a
mꜥnḏt	m ə ʕ n e tʼ w ə
mꜥnḏt	m V ʕ n i cʼ w V t
mꜥnḏt	m V ʕ n i tʼ w V ʔ
mꜥnḏt	m ə ʕ n e tʼ w a
mꜥnḏt	m ə ʕ n e tʼ w ə
mꜥnḏt	m ɑː n d͡ʒ ɛ t
mꜥr	m ɑː r
mꜥḥꜥt	m a ʕ ħ i ʕ w a t
mꜥḥꜥt	m a j ħ i ʕ w a ʔ
mꜥḥꜥt	m ə ħ e ʕ w a
mꜥḥꜥt	m ə ħ e ʕ w ə
mꜥḥꜥt	m a ʕ ħ i ʕ w a t
mꜥḥꜥt	m a j ħ i ʕ w a ʔ
mꜥḥꜥt	m ə ħ e ʕ w a
mꜥḥꜥt	m ə ħ e ʕ w ə
mꜥḥꜥt	m ɑː h ɑː t
mꜥšꜣdjdjt	m ɑː ʃ ɑ d i d i t
mꜥq	m ɑː k
mꜥkꜣ	m ɑː k ɑ
mw	m a w
mw	m a w
mw	m a w
mw	m a w
mw	m a w
mw	m a w
mw	m a w
mw	m a w
mw	m uː
mwjbw	m uː i b uː
mwy	m uː iː
mww	m uː ʔ uː
mwt	m i ʔ w a t
mwt	m i ʔ w a ʔ
mwt	m e ʔ w ə
mwt	m e ʔ w
mwt	m i ʔ w a t
mwt	m i ʔ w a ʔ
mwt	m e ʔ w ə
mwt	m e ʔ w
mwt	m uː t
mwt	m aː w a t
mwt	m aː j a ʔ
mwt	m aː ʔ ə
mwt	m oː ʔ
mwt	m aː w a t
mwt	m aː j a ʔ
mwt	m aː ʔ ə
mwt	m oː ʔ
mwt	m uː t
mwt	m uː t
mfkꜣt	m ɛ f k ɑ t
mm	m ɛ m
mmj	m ɛ m i
mn	m aː n
mn	m aː n
mn	m aː n
mn	m oː n
mn	m aː n
mn	m aː n
mn	m aː n
mn	m oː n
mn	m ɛ n
mn	m ɛ n
mn	m ɛ n
mnj	m a n i j
mnj	m a n i j
mnj	m ə n e ʔ
mnj	m ə n e ʔ
mnj	m a n i j
mnj	m a n i j
mnj	m ə n e ʔ
mnj	m ə n e ʔ
mnj	m ɛ n i
mnjw	m ɛ n i uː
mnjt	m ɛ n i t
mnyt	m ɛ n iː t
mnꜥt	m ɛ n ɑː t
mnw	m ɛ n uː
mnwt	m ɛ n uː t
mnmn	m ɛ n m ɛ n
mnmnt	m ɛ n m ɛ n ɛ t
mnhz	m ɛ n h ɛ z
mnḥ	m ɛ n ɛ h
mnḥtj	m ɛ n h ɛ t i
mnḫ	m ɛ n ɛ x
mnḫt	m a w n aː χ i t
mnḫt	m a w n aː χ i ʔ
mnḫt	m ə n aː χ a
mnḫt	m ə n oː χ ə
mnḫt	m a w n aː χ i t
mnḫt	m a w n aː χ i ʔ
mnḫt	m ə n aː χ a
mnḫt	m ə n oː χ ə
mnḫt	m ɛ n x ɛ t
mnt	m aː n a t
mnt	m aː n a ʔ
mnt	m aː n a
mnt	m oː n ə
mnt	m aː n a t
mnt	m aː n a ʔ
mnt	m aː n a
mnt	m oː n ə
mnt	m ɛ n ɛ t
mnty	m V n aː t i j
mnty	m V n aː t i j
mnty	m ə n aː t ə
mnty	m ə n oː t ə
mnty	m ə n oː t
mnty	m V n aː t i j
mnty	m V n aː t i j
mnty	m ə n aː t ə
mnty	m ə n oː t ə
mnty	m ə n oː t
mnty	m ɛ n t iː
mnṯw	m a n c V w
mnṯw	m a n t V w
mnṯw	m a n t ə
mnṯw	m a n t ə
mnṯw	m a n t
mnṯw	m a n c V w
mnṯw	m a n t V w
mnṯw	m a n t ə
mnṯw	m a n t ə
mnṯw	m a n t
mnṯw	m ɛ n t͡ʃ uː
mnṯw	m o n t uː
mnḏ	m a n a cʼ
mnḏ	m a n a tʼ
mnḏ	m ə n a tʼ
mnḏ	m ə n a tʼ
mnḏ	m a n a cʼ
mnḏ	m a n a tʼ
mnḏ	m ə n a tʼ
mnḏ	m ə n a tʼ
mnḏ	m ɛ n ɛ d͡ʒ
mnḏm	m ɛ n d͡ʒ ɛ m
mnḏr	m ɛ n d͡ʒ ɛ r
mnḏt	m ɛ n d͡ʒ ɛ t
mr	m ɛ r
mrj	m i ɾ j i t
mrj	m i ʔ j i ʔ
mrj	m e ʔ j a
mrj	m e ʔ j ə
mrj	m i ɾ j i t
mrj	m i ʔ j i ʔ
mrj	m e ʔ j a
mrj	m e ʔ j ə
mrj	m ɛ r i
mry	m a r j i w
mry	m a r j i w
mry	m a ʔ j ə
mry	m a r j i w
mry	m a r j i w
mry	m a ʔ j ə
mry	m ɛ r iː
mryt	m V ɾ aː j a ʔ
mryt	m ə ɾ aː ʔ ə
mryt	m ə ɾ oː ʔ
mryt	m V ɾ aː j a ʔ
mryt	m ə ɾ aː ʔ ə
mryt	m ə ɾ oː ʔ
mryt	m ɛ r iː t
mryt	m ɛ r iː t
mrw	m uː ɾ a w
mrw	m uː ɾ a w
mrw	m uː ɾ ə
mrw	m eː ɾ
mrw	m uː ɾ a w
mrw	m uː ɾ a w
mrw	m uː ɾ ə
mrw	m eː ɾ
mrw	m ɛ r uː
mrwryt	m ɛ r uː r iː t
mrwt	m ɛ r uː t
mrwt	m ɛ r uː t
mrrt	m ɛ r ɛ r ɛ t
mrḥ	m ɛ r ɛ h
mrḥ	m ɛ r ɛ h
mrḥ	m ə ɾ e ħ ə
mrḥ	m ə ɾ e ħ ə
mrḥ	m ɛ r ɛ h
mrḥt	m V ɾ i ħ j a t
mrḥt	m V ɾ i ħ j a ʔ
mrḥt	m ə ɾ e ħ a
mrḥt	m ə ɾ e ħ ə
mrḥt	m V ɾ i ħ j a t
mrḥt	m V ɾ i ħ j a ʔ
mrḥt	m ə ɾ e ħ a
mrḥt	m ə ɾ e ħ ə
mrḥt	m ɛ r h ɛ t
mrkbt	m a ɾ k a b t V
mrkbt	β ə ɾ k a w t
mrkbt	m a ɾ k a b t V
mrkbt	β ə ɾ k a w t
mrkbt	m
mrkbt	β
mrkbt	b
mrkbt	w
mrkbt	m ɛ r k ɛ b ɛ t
mrt	m ɛ r ɛ t
mrt	m ɛ r ɛ t
mhj	m ɛ h i
mht	m ɛ h ɛ t
mḥ	m aː ħ
mḥ	m aː ħ
mḥ	m aː ħ
mḥ	m oː ħ
mḥ	m aː ħ
mḥ	m aː ħ
mḥ	m aː ħ
mḥ	m oː ħ
mḥ	m ɛ h
mḥ	m a ħ
mḥ	m a ħ
mḥ	m a ħ
mḥ	m a ħ
mḥ	m a ħ
mḥ	m a ħ
mḥ	m a ħ
mḥ	m a ħ
mḥ	m ɛ h
mḥ	m a ħ j V w
mḥ	m a ħ j V w
mḥ	m a ħ j ə
mḥ	m a ħ i
mḥ	m a ħ j V w
mḥ	m a ħ j V w
mḥ	m a ħ j ə
mḥ	m a ħ i
mḥ	m ɛ h
mḥj	m ɛ h i
mḥyt	m a ħ iː w V t
mḥyt	m a ħ iː j V ʔ
mḥyt	m a ħ eː ʔ ə
mḥyt	m ə ħ eː ʔ
mḥyt	m a ħ iː w V t
mḥyt	m a ħ iː j V ʔ
mḥyt	m a ħ eː ʔ ə
mḥyt	m ə ħ eː ʔ
mḥyt	m ɛ h iː t
mḥyt	m a ħ uː w V t
mḥyt	m a ħ uː j V ʔ
mḥyt	m ə ħ uː ʔ ə
mḥyt	m ə ħ eː ʔ
mḥyt	m a ħ uː w V t
mḥyt	m a ħ uː j V ʔ
mḥyt	m ə ħ uː ʔ ə
mḥyt	m ə ħ eː ʔ
mḥyt	m ɛ h iː t
mḥꜥw	m ɛ h ɑː uː
mḥw	m ɛ h uː
mḥn	m ɛ h ɛ n
mḥsḥs	m a ħ a s ħ a s
mḥsḥs	m a ħ a s ħ a s
mḥsḥs	m ə ħ a s ħ ə s
mḥsḥs	m ə ħ a s ħ ə s
mḥsḥs	m a ħ a s ħ a s
mḥsḥs	m a ħ a s ħ a s
mḥsḥs	m ə ħ a s ħ ə s
mḥsḥs	m ə ħ a s ħ ə s
mḥsḥs	m ɛ h ɛ s h ɛ s
mḥt	m ɛ h ɛ t
mḥtj	m ɛ h t i
mḥtjw	m ɛ h t i uː
mḥtt	m ɛ h t ɛ t
mḫꜣ	m ɛ x ɑ
mḫꜣt	m i χ ʀ i t
mḫꜣt	m i χ ʀ i ʔ
mḫꜣt	m e ʔ χ a
mḫꜣt	m e ʔ χ ə
mḫꜣt	m i χ ʀ i t
mḫꜣt	m i χ ʀ i ʔ
mḫꜣt	m e ʔ χ a
mḫꜣt	m e ʔ χ ə
mḫꜣt	m ɛ x ɑ t
mẖ	m ɛ ç
mẖꜥqt	m a ç ʕ aː qʼ i t
mẖꜥqt	m a ç ʕ aː qʼ i ʔ
mẖꜥqt	m ə ç ʕ aː qʼ a
mẖꜥqt	m ə ç ʕ oː qʼ ə
mẖꜥqt	m a ç ʕ aː qʼ i t
mẖꜥqt	m a ç ʕ aː qʼ i ʔ
mẖꜥqt	m ə ç ʕ aː qʼ a
mẖꜥqt	m ə ç ʕ oː qʼ ə
mẖꜥqt	m ɛ ç ɑː k ɛ t
mẖnt	m ɛ ç n ɛ t
mẖr	m ɛ ç ɛ r
mẖtw	m ɛ ç t uː
mz	m ɛ z
mzwr	m ɛ z uː r
mzwt	m ɛ z uː t
mzḥ	m V z a ħ
mzḥ	m V s a ħ
mzḥ	m ə s a ħ
mzḥ	m ə s a ħ
mzḥ	m V z a ħ
mzḥ	m V s a ħ
mzḥ	m ə s a ħ
mzḥ	m ə s a ħ
mzḥ	m ɛ z ɛ h
ms	m i s
ms	m i s
ms	m e s
ms	m e s
ms	m i s
ms	m i s
ms	m e s
ms	m e s
ms	m ɛ s
msꜣḏt	m ɛ s ɑ d͡ʒ ɛ t
msj	m iː s i t
msj	m iː s i ʔ
msj	m iː s a
msj	m iː s ə
msj	m iː s i t
msj	m iː s i ʔ
msj	m iː s a
msj	m iː s ə
msj	m ɛ s i
msjꜣt	m ɛ s i ɑ t
msyt	m ɛ s iː t
mswt	m i s j aː w a t
mswt	m i s j aː j a ʔ
mswt	m ə s aː ʔ ə
mswt	m ə s oː ʔ
mswt	m i s j aː w a t
mswt	m i s j aː j a ʔ
mswt	m ə s aː ʔ ə
mswt	m ə s oː ʔ
mswt	m ɛ s uː t
msn	m ɛ s ɛ n
msḥ	m ɛ s ɛ h
msḫn	m ɛ s x ɛ n
msḫtjw	m ɛ s x ɛ t i uː
msqt	m ɛ s k ɛ t
mskꜣ	m ɛ s k ɑ
msktt	m ɛ s ɛ k t ɛ t
msdw	m a s cʼ i w
msdw	m a s tʼ i w
msdw	m a s tʼ ə
msdw	m a s tʼ
msdw	m a s cʼ i w
msdw	m a s tʼ i w
msdw	m a s tʼ ə
msdw	m a s tʼ
msdw	m ɛ s ɛ d uː
msdmt	m i s tʼ uː m i t
msdmt	m i s tʼ uː m i ʔ
msdmt	m ə s tʼ uː m a
msdmt	m ə s tʼ eː m ə
msdmt	m i s tʼ uː m i t
msdmt	m i s tʼ uː m i ʔ
msdmt	m ə s tʼ uː m a
msdmt	m ə s tʼ eː m ə
msdmt	m ɛ s d ɛ m ɛ t
msḏj	m a s cʼ a j
msḏj	m a s tʼ a j
msḏj	m a s tʼ ə
msḏj	m a s tʼ ə
msḏj	m a s cʼ a j
msḏj	m a s tʼ a j
msḏj	m a s tʼ ə
msḏj	m a s tʼ ə
msḏj	m ɛ s ɛ d͡ʒ i
msḏr	m i s cʼ i ɾ
msḏr	m i s t͡ʃʼ i ʔ
msḏr	m e s t͡ʃʼ ə ʕ
msḏr	m e s t͡ʃʼ ə ʕ
msḏr	m i s cʼ i ɾ
msḏr	m i s t͡ʃʼ i ʔ
msḏr	m e s t͡ʃʼ ə ʕ
msḏr	ʕ
msḏr	m e s t͡ʃʼ ə ʕ
msḏr	m ɛ s d͡ʒ ɛ r
mšꜥ	m ɛ ʃ ɑː
mšꜥ	m a ʃ ʕ a j
mšꜥ	m a ʃ ʕ a j
mšꜥ	m a ʃ ʕ ə
mšꜥ	m a ʃ ʕ ə
mšꜥ	m a ʃ ʕ a j
mšꜥ	m a ʃ ʕ a j
mšꜥ	m a ʃ ʕ ə
mšꜥ	m a ʃ ʕ ə
mšꜥ	m ɛ ʃ ɑː
mšw	m ɛ ʃ uː
mšrw	m ɛ ʃ r uː
mkj	m iː k i t
mkj	m iː k i ʔ
mkj	m iː k a
mkj	m iː k ə
mkj	m iː k i t
mkj	m iː k i ʔ
mkj	m iː k a
mkj	m iː k ə
mkj	m ɛ k i
mkt	m ɛ k ɛ t
mgꜣ	m ɛ ɡ ɑ
mt	m ɛ t
mt	m ɛ t
mtj	m ɛ t i
mtw	m ɛ t uː
mtwt	m i t w a t
mtwt	m i t w a ʔ
mtwt	m e t w a
mtwt	m e t w ə
mtwt	m i t w a t
mtwt	m i t w a ʔ
mtwt	m e t w a
mtwt	m e t w ə
mtwt	m ɛ t uː t
mtr	m ɛ t ɛ r
mtrt	m u t ɾ V t
mtrt	m u ʔ ɾ V ʔ
mtrt	m u ʔ ɾ a
mtrt	m ø ʔ ɾ ə
mtrt	m u t ɾ V t
mtrt	m u ʔ ɾ V ʔ
mtrt	m u ʔ ɾ a
mtrt	m ø ʔ ɾ ə
mtrt	m ɛ t r ɛ t
mtt	m uː t a t
mtt	m uː t a t
mtt	m uː t a
mtt	m eː t ə
mtt	m uː t a t
mtt	m uː t a t
mtt	m uː t a
mtt	m eː t ə
mtt	m ɛ t ɛ t
mṯꜣ	m ɛ t͡ʃ ɑ
mṯwn	m ɛ t͡ʃ uː n
mṯn	m ɛ t͡ʃ ɛ n
mdw	m aː tʼ a w
mdw	m aː tʼ a w
mdw	m aː tʼ ə
mdw	m oː tʼ
mdw	m aː tʼ a w
mdw	m aː tʼ a w
mdw	m aː tʼ ə
mdw	m oː tʼ
mdw	m a tʼ u w w
mdw	m a tʼ u w w
mdw	m ə tʼ u w w
mdw	m ə tʼ ø w w
mdw	m a tʼ u w w
mdw	m a tʼ u w w
mdw	m ə tʼ u w w
mdw	m ə tʼ ø w w
mdw	m ɛ d uː
mdwj	m aː tʼ a t
mdwj	m aː tʼ a ʔ
mdwj	m aː tʼ a
mdwj	m oː tʼ ə
mdwj	m aː tʼ a t
mdwj	m aː tʼ a ʔ
mdwj	m aː tʼ a
mdwj	m oː tʼ ə
mdwj	m ɛ d uː i
mdwt	m aː tʼ a t
mdwt	m aː tʼ a ʔ
mdwt	m aː tʼ a
mdwt	m ə tʼ ə t
mdwt	m ə tʼ ə
mdwt	m oː tʼ ə
mdwt	m ə tʼ ə t
mdwt	m ə tʼ ə
mdwt	m aː tʼ a t
mdwt	m aː tʼ a ʔ
mdwt	m aː tʼ a
mdwt	m ə tʼ ə t
mdwt	m ə tʼ ə
mdwt	m oː tʼ ə
mdwt	m ə tʼ ə t
mdwt	m ə tʼ ə
mdwt	m ɛ d uː t
mds	m ɛ d ɛ s
mḏꜣ	m ɛ d͡ʒ ɑ
mḏꜣy	m ɛ d͡ʒ ɑ iː
mḏꜣt	m ɛ d͡ʒ ɑ t
mḏw	m uː cʼ a w
mḏw	m uː tʼ a w
mḏw	m uː tʼ ə
mḏw	m eː tʼ
mḏw	m uː cʼ a w
mḏw	m uː tʼ a w
mḏw	m uː tʼ ə
mḏw	m eː tʼ
mḏw	m ɛ d͡ʒ uː
mḏwtj	m u cʼ a w aː t a j
mḏwtj	cʼ a w aː t a j
mḏwtj	m u t͡ʃʼ a w aː t a j
mḏwtj	t͡ʃʼ a w aː t a j
mḏwtj	m ə t͡ʃʼ ə w aː t ə
mḏwtj	t͡ʃʼ ə w aː t ə
mḏwtj	m ə t͡ʃʼ ə w oː t
mḏwtj	t͡ʃʼ ə w oː t
mḏwtj	m u cʼ a w aː t a j
mḏwtj	cʼ a w aː t a j
mḏwtj	m u t͡ʃʼ a w aː t a j
mḏwtj	t͡ʃʼ a w aː t a j
mḏwtj	m ə t͡ʃʼ ə w aː t ə
mḏwtj	t͡ʃʼ ə w aː t ə
mḏwtj	m ə t͡ʃʼ ə w oː t
mḏwtj	t͡ʃʼ ə w oː t
mḏwtj	m ɛ d͡ʒ uː t i
mḏrj	m i cʼ ɾ i t
mḏrj	m i tʼ ɾ i ʔ
mḏrj	m e tʼ ɾ a
mḏrj	m e tʼ ɾ ə
mḏrj	m i cʼ ɾ i t
mḏrj	m i tʼ ɾ i ʔ
mḏrj	m e tʼ ɾ a
mḏrj	m e tʼ ɾ ə
mḏrj	m ɛ d͡ʒ ɛ r i
mḏḥ	m ɛ d͡ʒ ɛ h
mḏt	m ɛ d͡ʒ ɛ t
mḏd	m ɛ d͡ʒ ɛ d
mḏdw	m ɛ d͡ʒ ɛ d uː
mḏdt	m ɛ d͡ʒ d ɛ t
n	n i
n	n i
n	n e
n	n i
n	n i
n	n e
n	ɛ n
n	ɛ n
n	ɛ n
nꜣ	n i ʀ
nꜣ	n i ʀ
nꜣ	n ə
nꜣ	n ə
nꜣ	n i ʀ
nꜣ	n i ʀ
nꜣ	n ə
nꜣ	n ə
nꜣ	n ɑ
nꜣj	n e j
nꜣj	n e j
nꜣj	n ɑ i
nꜣy	n ɑ iː
nꜣyw	n ɑ iː uː
nꜣḏꜣ	n ɑ d͡ʒ ɑ
nꜣḏꜣrw	n ɑ d͡ʒ ɑ r uː
nj	n i j
nj	n i j
nj	n ə
nj	n ə
nj	n i j
nj	n i j
nj	n ə
nj	n ə
nj	n i
njꜣj	n i ɑ i
njw	n i uː
njnj	n i n i
njs	n i s
njk	n i k
njtjt	n i t i t
nꜥj	n ɑː i
nꜥꜥ	n ɑː ʔ ɑː
nꜥr	n ɑː r
nꜥrt	n ɑː r ɛ t
nw	n uː
nw	n uː
nw	n u w w u w
nw	n u w w u w
nw	n u w w ə
nw	n ø w w
nw	n u w w u w
nw	n u w w u w
nw	n u w w ə
nw	n ø w w
nw	n uː
nw	n uː
nwꜣ	n uː ɑ
nwj	n uː i
nwy	n uː iː
nwyt	n uː iː t
nwḥ	n uː h
nwḫ	n uː x
nwt	n uː ʔ a t
nwt	n uː ʔ a ʔ
nwt	n uː ʔ a
nwt	n eː ʔ ə
nwt	n uː ʔ a t
nwt	n uː ʔ a ʔ
nwt	n uː ʔ a
nwt	n eː ʔ ə
nwt	n uː t
nwt	n uː t
nwt	n uː t
nwtj	n uː t i
nwtwt	n uː t uː t
nwtkꜣrṯ	n uː t k ɑ r ɛ t͡ʃ
nwd	n uː d
nwdw	n uː d uː
nwdt	n uː d ɛ t
nb	n ɛ b
nb	n iː b u w
nb	n iː b u w
nb	n eː b ə
nb	n e b
nb	n eː β
nb	n e p
nb	n iː b u w
nb	n iː b u w
nb	n i b
nb	n eː b ə
nb	n e b
nb	n eː β
nb	n e p
nb	n ɛ b
nb	n a β i
nb	n a β i
nb	n ɛ b
nbj	n iː b i t
nbj	n iː b i ʔ
nbj	n iː b a
nbj	n iː β ə
nbj	n iː b i t
nbj	n iː b i ʔ
nbj	n iː b a
nbj	n iː β ə
nbj	n ɛ b i
nbw	n aː b a w
nbw	n aː b a w
nbw	n aː b ə
nbw	n oː β
nbw	n aː b a w
nbw	n aː b a w
nbw	n aː b ə
nbw	n oː β
nbw	n ɛ b uː
nbnb	n ɛ b n ɛ b
nbs	n ɛ b ɛ s
nbt	n iː b a t
nbt	n iː b a ʔ
nbt	n iː b a
nbt	n iː β ə
nbt	n iː b a t
nbt	n iː b a ʔ
nbt	n iː b a
nbt	n iː β ə
nbt	n ɛ b ɛ t
nbt	n ɛ b ɛ t
nbtj	n ɛ b t i
npꜣw	n ɛ p ɑ uː
npnpt	n ɛ p n ɛ p ɛ t
nf	n ɛ f
nfꜣ	n ɛ f ɑ
nfj	n iː f i t
nfj	n iː f i ʔ
nfj	n iː f a
nfj	n iː f ə
nfj	n iː f i t
nfj	n iː f i ʔ
nfj	n iː f a
nfj	n iː f ə
nfj	n ɛ f i
nfr	n aː f i ɾ
nfr	n aː f i ʔ
nfr	n aː f a
nfr	n oː f ə
nfr	n aː f i ɾ
nfr	n aː f i ʔ
nfr	n aː f a
nfr	n oː f ə
nfr	n ɛ f ɛ r
nfrw	n a f ɾ a w
nfrw	n a f ɾ a w
nfrw	n ɛ f ɛ r uː
nfrw	n ɛ f ɛ r uː
nfrw	n ɛ f ɛ r uː
nfrwt	n ɛ f r uː t
nfrt	n a f ɾ a t
nfrt	n a f ɾ a ʔ
nfrt	n a f ɾ a
nfrt	n a f ɾ ə
nfrt	n a f ɾ a t
nfrt	n a f ɾ a ʔ
nfrt	n a f ɾ a
nfrt	n a f ɾ ə
nfrt	n ɛ f ɛ r ɛ t
nfrtj	n ɛ f ɛ r t i
nmꜣrṯ	n ɛ m ɑ r ɛ t͡ʃ
nmj	n ɛ m i
nmj	n iː m i t
nmj	n iː m i ʔ
nmj	n iː m a
nmj	n iː m ə
nmj	n iː m i t
nmj	n iː m i ʔ
nmj	n iː m a
nmj	n iː m ə
nmj	n ɛ m i
nmj	n ɛ m i
nmꜥ	n ɛ m ɑː
nmw	n ɛ m uː
nmnm	n ɛ m n ɛ m
nmḥ	n ɛ m ɛ h
nms	n ɛ m ɛ s
nms	n ɛ m ɛ s
nmsw	n ɛ m s uː
nmt	n ɛ m ɛ t
nmtj	n ɛ m t i
nmtt	n ɛ m t ɛ t
nn	n ɛ n
nnj	n ɛ n i
nnw	n aː n a w
nnw	n aː n a w
nnw	n aː n ə
nnw	n oː n
nnw	n aː n a w
nnw	n aː n a w
nnw	n aː n ə
nnw	n oː n
nnw	n ɛ n uː
nnwt	n ɛ n uː t
nnšm	n a n ʃ V m
nnšm	n a n ʃ V w
nnšm	n a j ʃ ə
nnšm	n a j ʃ
nnšm	n a n ʃ V m
nnšm	n a n ʃ V w
nnšm	n a j ʃ ə
nnšm	n
nnšm	j
nnšm	n a j ʃ
nnšm	n ɛ n ʃ ɛ m
nrj	n ɛ r i
nrw	n ɛ r uː
nrt	n aː ɾ a t
nrt	n aː ɾ a ʔ
nrt	n aː ɾ a
nrt	n oː ɾ ə
nrt	n aː ɾ a t
nrt	n aː ɾ a ʔ
nrt	n aː ɾ a
nrt	n oː ɾ ə
nrt	n ɛ r ɛ t
nhꜣy	n ɛ h ɑ iː
nhj	n ɛ h i
nhw	n ɛ h uː
nhp	n aː h a p
nhp	n aː h a p
nhp	n aː h ə p
nhp	n oː h ə p
nhp	n aː h a p
nhp	n aː h a p
nhp	n aː h ə p
nhp	n oː h ə p
nhp	n ɛ h ɛ p
nhm	n ɛ h ɛ m
nhmhm	n ɛ h ɛ m h ɛ m
nhnh	n ɛ h n ɛ h
nhzj	n i h z i t
nhzj	n i h s i ʔ
nhzj	n e h s a
nhzj	n e h s ə
nhzj	n i h z i t
nhzj	n i h s i ʔ
nhzj	n e h s a
nhzj	n e h s ə
nhzj	n ɛ h ɛ z i
nht	n aː h a t
nht	n aː h a ʔ
nht	n aː h a
nht	n oː h ə
nht	n aː h a t
nht	n aː h a ʔ
nht	n aː h a
nht	n oː h ə
nht	n ɛ h ɛ t
nḥ	n ɛ h
nḥbt	n ɛ h b ɛ t
nḥm	n aː ħ a m
nḥm	n aː ħ a m
nḥm	n aː ħ ə m
nḥm	n oː ħ ə m
nḥm	n aː ħ a m
nḥm	n aː ħ a m
nḥm	n aː ħ ə m
nḥm	n oː ħ ə m
nḥm	n ɛ h ɛ m
nḥmn	n ɛ h m ɛ n
nḥr	n ɛ h ɛ r
nḥrj	n ɛ h r i
nḥrw	n ɛ h ɛ r uː
nḥḥ	n i j ħ a ħ
nḥḥ	n i j ħ a ħ
nḥḥ	n eː ħ ə ħ
nḥḥ	n eː ħ ə ħ
nḥḥ	n i j ħ a ħ
nḥḥ	n i j ħ a ħ
nḥḥ	n eː ħ ə ħ
nḥḥ	n eː ħ ə ħ
nḥḥ	n ɛ h ɛ h
nḥḥ	n ɛ h ɛ h
nḥsj	n ɛ h s i
nḥtj	n i ħ t i t
nḥtj	n i ħ t i ʔ
nḥtj	n e ħ t a
nḥtj	n e ħ t ə
nḥtj	n i ħ t i t
nḥtj	n i ħ t i ʔ
nḥtj	n e ħ t a
nḥtj	n e ħ t ə
nḥtj	n ɛ h ɛ t i
nḥd	n ɛ h ɛ d
nḥḏt	n u ħ cʼ a t
nḥḏt	n u ħ t ʃʼ a ʔ
nḥḏt	n u t ʃʼ ħ a ʔ
nḥḏt	n u ħ t ʃʼ a
nḥḏt	n u t ʃʼ ħ a
nḥḏt	n ø ħ t ʃʼ ə
nḥḏt	n ø t ʃʼ ħ ə
nḥḏt	n u ħ cʼ a t
nḥḏt	n u ħ t ʃʼ a ʔ
nḥḏt	n u t ʃʼ ħ a ʔ
nḥḏt	n u ħ t ʃʼ a
nḥḏt	n u t ʃʼ ħ a
nḥḏt	n ø ħ t ʃʼ ə
nḥḏt	n ø t ʃʼ ħ ə
nḥḏt	n ɛ h d͡ʒ ɛ t
nḫ	n ɛ x
nḫꜣw	n ɛ x ɑ uː
nḫꜣḫꜣ	n ɛ x ɑ x ɑ
nḫj	n ɛ x i
nḫwt	n ɛ x uː t
nḫbḫb	n ɛ x ɛ b x ɛ b
nḫbt	n ɛ x b ɛ t
nḫn	n ɛ x ɛ n
nḫnw	n ɛ x ɛ n uː
nḫnt	n ɛ x n ɛ t
nḫt	n ɛ x ɛ t
nẖnm	n ɛ ç n ɛ m
nẖs	n ɛ ç ɛ s
nznzn	n ɛ z ɛ n z ɛ n
ns	l i s
ns	l i s
ns	l e s
ns	l e s
ns	l i s
ns	l i s
ns	l e s
ns	l e s
ns	n ɛ s
nsyt	n ɛ s iː t
nswt	n i j s iː w a t
nswt	n i j s iː j a ʔ
nswt	ʔ ə n s iː ʔ ə
nswt	ʔ ə n s iː ʔ
nswt	n i j s iː w a t
nswt	n i j s iː j a ʔ
