â	a
prynhawn da	p n a u̯ n d aː
prynu	p r ə n ɨ
pry'r gannwyll	p r ɨː r ɡ a n ʊ ɨ̯ ɬ
prys	p r ɨː s
prysglwyn	p r ə s ɡ l ʊ ɨ̯ n
prysglwyni	p r ə s ɡ l ʊ ɨ̯ n ɪ
prysur	p r ə s ɨ̞ r
pum	p ɨ̞ m
pum deg	p ɨ̞ m d ɛ ɡ
pumdegau	p ɨ̞ m d ɛ ɡ a
pumed	p ɨ̞ m ɛ d
pumed	p ɨ̞ m a d
pumed	p ɨ̞ m a d
pumed ar hugain	p ɨ̞ m ɛ d a r h ɪ ɡ a i̯ n
pumongl	p ɨ̞ m ɔ ŋ l
pump	p ɨ̞ m p
pump ar hugain	p ɨ m p a r h ɪ ɡ a i̯ n
p'un	p ɨː n
punt	p ɨ̞ n t
pur	p ɨː r
puramid	p ɨ̞ r a m ɪ d
pured	p ɨ̞ r ɛ d
putain	p ɨ̞ t a i̯ n
putain	p ɨ̞ t ɛ n
putain	p ɨ̞ t ɛ n
puteindy	p ɨ̞ t e i̯ n d ɨ
pwd	p uː d
pŵer	p ʊ ɛ r
pŵer	p ʊ a r
pŵer	p ʊ a r
pweru	p ʊ ɛ r ɨ
pwl	p ʊ l
pwll	p ʊ ɬ
pwll nofio	p ʊ ɬ n ɔ v j ɔ
pwllheli	p ʊ ɬ h ɛ l i
pwnc	p ʊ ŋ k
pwrpas	p ʊ r p a s
pwy	p uː ɨ̯
pwy	p ʊ
pwy	p ʊ
pwy dach chi	p uː ɨ̯ d a χ iː
pwy wyt ti	p uː ɨ̯ uː ɨ̯ t iː
pwyll	p uː ɨ̯ ɬ
pwyllgor	p ʊ ɨ̯ ɬ ɡ ɔ r
pwynt	p uː ɨ̯ n t
pwys	p uː ɨ̯ s
pwysau	p ʊ ɨ̯ s a ɨ̯
pwysau	p ʊ ɨ̯ s ɛ
pwysau	p ʊ ɨ̯ s a
pwysau	p ʊ ɨ̯ s ɛ
pwysau	p ʊ ɨ̯ s a
pwysi	p ʊ ɨ̯ s ɪ
pwysig	p ʊ ɨ̯ s ɪ ɡ
pwysigrwydd	p ʊ ɨ̯ s ɪ ɡ r ʊ ɨ̯ ð
pwyslais	p ʊ ɨ̯ s l a i̯ s
pwysleisio	p ʊ ɨ̯ s l e i̯ ʃ ɔ
pwyso	p ʊ ɨ̯ s ɔ
pwyso	p ʊ i̯ s ɔ
pydredd	p ə d r ɛ ð
pydredd	p ə d r a ð
pydredd	p ə d r a ð
pydru	p ə d r ɨ
pyg	p ɨː ɡ
pỳg	p ə ɡ
pyglyd	p ə ɡ l ɨ̞ d
pyjamas	p ə d͡ʒ a m a s
pyliau	p ə l j a ɨ̯
pyliau	p ə l j ɛ
pyliau	p ə l j a
pyliau	p ə l j ɛ
pyliau	p ə l j a
pymtheg	p ə m θ ɛ ɡ
pymtheg	p ə m θ a ɡ
pymtheg	p ə m θ a ɡ
pymthegfed	p ə m θ ɛ ɡ v ɛ d
pymthegfed	p ə m θ ɛ ɡ v a d
pymthegfed	p ə m θ ɛ ɡ v a d
pymthegnos	p ə m θ ɛ ɡ n ɔ s
pyramid	p ɨ̞ r a m ɪ d
pys	p ɨː s
pysen	p ə s ɛ n
pysen	p ə s a n
pysen	p ə s a n
pysgod	p ə s ɡ ɔ d
pysgodyn	p ə s ɡ ɔ d ɨ̞ n
pysgota	p ə s ɡ ɔ t a
pythefnos	p ə θ ɛ v n ɔ s
phabell	f a b ɛ ɬ
phabell	f a b a ɬ
phabell	f a b a ɬ
phaith	f a i̯ θ
phaned	f a n ɛ d
phaned	f a n a d
phaned	f a n a d
phant	f a n t
phapur	f a p ɨ̞ r
phara	f a r a
pharatoi	f a r a t ɔ i̯
pharc	f a r k
pharcio	f a r k j ɔ
pharcio	f a r k ɔ
pharod	f a r ɔ d
pharotach	f a r ɔ t a χ
pharoted	f a r ɔ t ɛ d
pharhau	f a r h a ɨ̯
phasta	f a s d a
phastai	f a s d a i̯
phedol	f ɛ d ɔ l
phedwar	f ɛ d w a r
phei	f e i
pheidio	f e i d j ɔ
pheiriannwr	f e i̯ r j a n ʊ r
pheis	f e i s
phen	f ɛ n
phencampwr	f ɛ ŋ k a m p ʊ r
phencampwriaeth	f ɛ ŋ k a m p ʊ r j a ɨ̯ θ
phencampwriaeth	f ɛ ŋ k a m p ʊ r j ɛ θ
phencampwriaeth	f ɛ ŋ k a m p ʊ r j ɛ θ
phencampwyr	f ɛ ŋ k a m p w ɨ̞ r
phenderfynu	f ɛ n d ɛ r v ə n ɨ
phengwin	f ɛ ŋ ɡ w ɪ n
phengwiniaid	f ɛ ŋ ɡ w ɪ n j a i̯ d
phengwiniaid	f ɛ ŋ ɡ w ɪ n j ɛ d
phengwiniaid	f ɛ ŋ ɡ w ɪ n j ɛ d
pherth	f ɛ r θ
pherthynas	f ɛ r θ ə n a s
pheth	f eː θ
phethau	f ɛ θ a ɨ̯
phethau	f ɛ θ ɛ
phethau	f ɛ θ a
phethau	f ɛ θ ɛ
phethau	f ɛ θ a
phib	f iː b
phibgorn	f ɪ b ɡ ɔ r n
phigwrn	f ɪ ɡ ʊ r n
phinc	f ɪ ŋ k
phiws	f ɪ u̯ s
phlu	f l ɨː
phobl	f ɔ b l
phobl	f ɔ b ɔ l
phobl	f ɔ b ɔ l
phobloedd	f ɔ b l ɔ ɨ̯ ð
phoeni	f ɔ ɨ̯ n ɨ
phoeth	f oː ɨ̯ θ
phont	f ɔ n t
phoptai	f ɔ p t a i̯
phopty	f ɔ p t ɨ
phortiwgal	f ɔ r t j ʊ ɡ a l
phortiwgal	f ɔ r t ɪ u̯ ɡ a l
phrif	f r iː v
phrifddinas	f r iː v ð ɪ n a s
phrifddinas	f r ɪ v ð ɪ n a s
phroblem	f r ɔ b l ɛ m
phroblem	f r ɔ b l a m
phroblem	f r ɔ b l a m
phrydain	f r ə d a i̯ n
phrydain	f r ə d ɛ n
phrydain	f r ə d ɛ n
phryf	f r ɨː v
phryfed	f r ə v ɛ d
phryfed	f r ə v a d
phryfed	f r ə v a d
phrynu	f r ə n ɨ
phrysur	f r ə s ɨ̞ r
phum	f ɨ̞ m
phumdegau	f ɨ̞ m d ɛ ɡ a
phunt	f ɨ̞ n t
phur	f ɨː r
phwl	f ʊ l
phwysig	f ʊ ɨ̯ s ɪ ɡ
phyliau	f ə l j a ɨ̯
phyliau	f ə l j ɛ
phyliau	f ə l j a
phyliau	f ə l j ɛ
phyliau	f ə l j a
physgod	f ə s ɡ ɔ d
physgodyn	f ə s ɡ ɔ d ɨ̯ n
physgota	f ə s ɡ ɔ t a
'r	r
rabi	r a b i
raced	r a k ɛ d
radio	r a d j ɔ
radwla	r a d ʊ l a
raff	r aː f
ragfyr	r a ɡ v ɨ̞ r
rai	r a i̯
randibŵ	r a n d ɪ b uː
ras	r aː s
rasel	r a s ɛ l
rasel	r a s a l
rasel	r a s a l
raser	r a s ɛ r
rasys	r a s ɨ̞ s
record	r ɛ k ɔ r d
recordiad	r ɛ k ɔ r d j a d
recordio	r ɛ k ɔ r d j ɔ
recríwt	r ɛ k r ɪ u̯ t
recriwtiaid	r ɛ k r ɪ u̯ t j a i̯ d
recriwtiaid	r ɛ k r ɪ u̯ t j ɛ d
recriwtiaid	r ɛ k r ɪ u̯ t j ɛ d
rech	r eː χ
redeg	r ɛ d ɛ ɡ
redeg	r ɛ d a ɡ
redeg	r ɛ d a ɡ
regen	r ɛ ɡ ɛ n
regi	r ɛ ɡ i
reiat	r e i̯ a t
reis	r e i̯ s
reit	r e i̯ t
restr	r ɛ s d r
rew	r eː u̯
rewi	r ɛ u̯ i
ricríwt	r i k r ɪ u̯ t
ricriwtiaid	r ɪ k r ɪ u̯ t j a i̯ d
ricriwtiaid	r ɪ k r ɪ u̯ t j ɛ d
ricriwtiaid	r ɪ k r ɪ u̯ t j ɛ d
rif	r iː v
ril	r iː l
riliau	r ɪ l j a ɨ̯
riliau	r ɪ l j ɛ
riliau	j r ɪ l a
riliau	r ɪ l j ɛ
riliau	j r ɪ l a
rils	r iː l s
rith	r iː θ
ro	r oː
roc a rôl	r ɔ k a r oː l
ro'ch	r ɔ χ
rod	r oː d
roedd	r oː ɨ̯ ð
roeddech	r ɔ ɨ̯ ð ɛ χ
roeddech	r ɔ ɨ̯ ð a χ
roeddech	r ɔ ɨ̯ ð a χ
roedden	r ɔ ɨ̯ ð ɛ n
roedden	r ɔ ɨ̯ ð a n
roedden	r ɔ ɨ̯ ð a n
roeddet	r ɔ ɨ̯ ð ɛ t
roeddet	r ɔ ɨ̯ ð a t
roeddet	r ɔ ɨ̯ ð a t
roeddwn	r ɔ ɨ̯ ð ʊ n
roeg	r oː ɨ̯ ɡ
roi	r ɔ i̯
rondefŵ	r ɔ n d ɛ v uː
rufain	r ɨ̞ v a i̯ n
rw	r ʊ
rŵan	r uː a n
rwmania	r ʊ m a n j a
rwsia	r ʊ s j a
rwy	r uː ɨ̯
rwyd	r uː ɨ̯ d
rwyf	r uː ɨ̯ v
rwyfau	r ʊ ɨ̯ v a ɨ
rwyfau	r ʊ ɨ̯ v ɛ
rwyfau	r ʊ ɨ̯ v a
rwyfau	r ʊ ɨ̯ v ɛ
rwyfau	r ʊ ɨ̯ v a
rwyfo	r ʊ ɨ̯ v ɔ
rwyt	r uː ɨ̯ t
ry	r ɨː
rybela	r ə b ɛ l a
rydw	r ə d u
rydw	r ə d w
rydw i'n dy garu di	r ə d w ɪ n d ə ɡ a r ɨ̞ d iː
rydych	r ə d ɨ̞ χ
rydd	r ɨː ð
ryddhaf	r ə ð h aː v
ryddhau	r ə ð h a ɨ̯
ryddid	r ə ð ɪ d
ryfelwr	r ə v ɛ l ʊ r
ryfelwyr	r ə v ɛ l w ɨ̞ r
rygbi	r ə ɡ b i
rysáit	r ə s a i̯ t
ryseitiau	r ə s e i̯ t j a ɨ̯
ryseitiau	r ə s e i̯ t j ɛ
ryseitiau	r ə s e i̯ t j a
ryseitiau	r ə s e i̯ t j ɛ
ryseitiau	r ə s e i̯ t j a
rywbeth	r ɪ u̯ b ɛ θ
rywbeth	r ɨ u̯ b ɛ θ
rywbeth	r ɪ u̯ b a θ
rywbeth	r ɨ u̯ b a θ
rywbeth	r ʊ b ɛ θ
rywbeth	r ʊ b a θ
rywbeth	r ɪ u̯ b a θ
rywbeth	r ɨ u̯ b a θ
rywbeth	r ʊ b ɛ θ
rywbeth	r ʊ b a θ
rywle	r ɪ u̯ l ɛ
rywle	r ɨ u̯ l ɛ
rywle	r ɪ u̯ l a
rywle	r ɨ u̯ l a
rywle	r ʊ l ɛ
rywle	r ʊ l a
rywle	r ɪ u̯ l a
rywle	r ɨ u̯ l a
rywle	r ʊ l ɛ
rywle	r ʊ l a
rywsut	r ɪ u̯ s ɨ̞ t
rywsut	r ɨ u̯ s ɨ̞ t
rywun	r ɪ u̯ ɨ̞ n
rywun	r ɨ u̯ ɨ̞ n
rhacs	r̥ a k s
rhad	r̥ aː d
rhaeadr	r̥ e ɨ̯ a d r
rhafnwydd	r̥ a v n w ɨ̞ ð
rhaff	r̥ aː f
rhag	r̥ a ɡ
rhagddodiad	r̥ a ɡ ð ɔ d j a d
rhagenw	r̥ a ɡ ɛ n u
rhagfyr	r̥ a ɡ v ɨ̞ r
rhaglen	r̥ a ɡ l ɛ n
rhaglen	r̥ a ɡ l a n
rhaglenni	r̥ a ɡ l ɛ n i
rhaglennu	r̥ a ɡ l ɛ n ɨ
rhagori	r̥ a ɡ ɔ r ɪ
rhagoriaeth	r̥ a ɡ ɔ r j a ɨ̯ θ
rhagoriaeth	r̥ a ɡ ɔ r j ɛ θ
rhagoriaeth	r̥ a ɡ ɔ r j ɛ θ
rhagoriaethau	r̥ a ɡ ɔ r j e ɨ̯ θ a ɨ̯
rhagoriaethau	r̥ a ɡ ɔ r j e ɨ̯ θ ɛ
rhagoriaethau	r̥ a ɡ ɔ r j e ɨ̯ θ a
rhagoriaethau	r̥ a ɡ ɔ r j e ɨ̯ θ ɛ
rhagoriaethau	r̥ a ɡ ɔ r j e ɨ̯ θ a
rhagrith	r̥ a ɡ r ɪ θ
rhai	r̥ a i̯
rhaid	r̥ a i̯ d
rhaid	h a i̯ d
rhaid	h a i̯ d
rhaidd	r̥ a i̯ ð
rhaith	r̥ a i̯ θ
rhan	r̥ a n
rhanbarth	r̥ a n b a r θ
rhanbarthau	r̥ a n b a r θ a ɨ̯
rhanbarthau	r̥ a m b a r θ ɛ
rhanbarthau	r̥ a m b a r θ a
rhanbarthau	r̥ a m b a r θ ɛ
rhanbarthau	r̥ a m b a r θ a
rhanddeiliad	r̥ a n ð e i̯ l j a d
rhanddeiliaid	r̥ a n ð e i̯ l j a i̯ d
rhanddeiliaid	r̥ a n ð e i̯ l j ɛ d
rhanddeiliaid	r̥ a n ð e i̯ l j ɛ d
rhannu	r̥ a n ɨ
rhaw	r̥ aː u̯
rhech	r̥ eː χ
rhedeg	r̥ ɛ d ɛ ɡ
rhedeg	r̥ ɛ d a ɡ
rhedeg	r̥ ɛ d a ɡ
rhedyn	r̥ ɛ d ɨ̞ n
rhedyna	r̥ ɛ d ə n a
rheg	r̥ eː ɡ
rhegen	r̥ ɛ ɡ ɛ n
rhegfa	r̥ ɛ ɡ v a
rhegfeydd	r̥ ɛ ɡ v e ɨ̯ ð
rhegi	r̥ ɛ ɡ i
rhegion	r̥ ɛ ɡ j ɔ n
rheidrwydd	r̥ e i̯ d r ʊ ɨ̯ ð
rheidrwydd	r̥ e i̯ d r ʊ i̯ ð
rheiddiadur	r̥ e i̯ ð j a d ɨ̞ r
rheiddiau	r̥ e i̯ ð j a ɨ̯
rheiddiau	r̥ e i̯ ð j ɛ
rheiddiau	r̥ e i̯ ð j a
rheiddiau	r̥ e i̯ ð j ɛ
rheiddiau	r̥ e i̯ ð j a
rheiddio	r̥ e i ð j ɔ
rheiddyn	r̥ e i̯ ð ɨ̞ n
rhent	r̥ ɛ n t
rhenti	r̥ ɛ n t i
rhentu	r̥ ɛ n t ɨ
rhentwr	r̥ ɛ n t ʊ r
rhentwyr	r̥ ɛ n t w ɨ̞ r
rheol	r̥ eː ɔ l
rheolaidd	r̥ ɛ ɔ l a i̯ ð
rheolaidd	r̥ ɛ ɔ l ɛ ð
rheolaidd	r̥ ɛ ɔ l ɛ ð
rheolau	r̥ ɛ ɔ l a ɨ̯
rheolau	r̥ ɛ ɔ l ɛ
rheolau	r̥ ɛ ɔ l a
rheolau	r̥ ɛ ɔ l ɛ
rheolau	r̥ ɛ ɔ l a
rheoli	r̥ ɛ ɔ l i
rheoliad	r̥ ɛ ɔ l j a d
rheoliadau	r̥ ɛ ɔ l j a d a ɨ̯
rheoliadau	r̥ ɛ ɔ l j a d ɛ
rheoliadau	r̥ ɛ ɔ l j a d a
rheoliadau	r̥ ɛ ɔ l j a d ɛ
rheoliadau	r̥ ɛ ɔ l j a d a
rheoliadur	r̥ ɛ ɔ l j a d ɨ̞ r
rheoliaduron	r̥ ɛ ɔ l j a d ɨ̞ r ɔ n
rheolwr	r̥ ɛ ɔ l ʊ r
rheolydd	r̥ ɛ ɔ l ɨ̞ ð
rhes	r̥ eː s
rhesi	r̥ ɛ s i
rhestr	r̥ ɛ s d r
rhestrau	r̥ ɛ s d r a ɨ̯
rhestrau	r̥ ɛ s d r ɛ
rhestrau	r̥ ɛ s d r a
rhestrau	r̥ ɛ s d r ɛ
rhestrau	r̥ ɛ s d r a
rhestri	r̥ ɛ s d r i
rhesymol	r̥ ɛ s ə m ɔ l
rhew	r̥ eː u̯
rhewi	r̥ ɛ u̯ i
rhewi'n gorn	r̥ ɛ u̯ i ŋ ɡ ɔ r n
rhi	r̥ iː
rhian	r̥ i a n
rhiant	r̥ iː a n t
rhieni	r̥ j ɛ n i
rhif	r̥ iː v
rhifo	r̥ ɪ v ɔ
rhiffio	r̥ ɪ f j ɔ
rhin	r̥ iː n
rhinart	r̥ ɪ n a r t
rhingyll	r̥ ɨ n ɡ ɨ ɬ
rhiniart	r̥ ɪ n j a r t
rhinoseros	r̥ ɪ n ɔ s ɛ r ɔ s
rhisgl	r̥ ɪ s ɡ l
rhith	r̥ iː θ
rhithweledigaeth	r̥ ɪ θ w ɛ l ɛ d ɪ ɡ a ɨ̯ θ
rhithweledigaeth	r̥ ɪ θ w ɛ l ɛ d ɪ ɡ ɛ θ
rhithweledigaeth	r̥ ɪ θ w ɛ l ɛ d ɪ ɡ ɛ θ
rhiw	r̥ ɪ u̯
rho	r̥ oː
rhod	r̥ oː d
rhodia	r̥ ɔ d j a
rhodio	r̥ ɔ d j ɔ
rhodiwch	r̥ ɔ d j ʊ χ
rhodri	r̥ ɔ d r i
rhofio	r̥ ɔ v j ɔ
rhoi	r̥ ɔ i̯
rhos	r̥ oː s
rhosyn	r̥ ɔ s ɨ̞ n
rhudd	r̥ ɨː ð
rhuddwyn	r̥ ɨ̞ ð w ɨ̞ n
rhufain	r̥ ɨ̞ v a i̯ n
rhufeiniwr	r̥ ɨ̞ v e i̯ n j ʊ r
rhun	r̥ ɨː n
rhuthraf	r̥ ɨ̞ θ r a v
rhuthraf	r̥ ɨ̞ θ r a
rhuthraf	r̥ ɨ̞ θ r a
rhuthro	r̥ ɨ̞ θ r ɔ
rhwng	r̥ ʊ ŋ
rhwyd	r̥ uː ɨ̯ d
rhwydo	r̥ ʊ ɨ̯ d ɔ
rhwydwaith	r̥ ʊ ɨ̯ d w a i̯ θ
rhwydwaith	r̥ ʊ ɨ̯ d w ɛ θ
rhwydwaith	r̥ ʊ ɨ̯ d w ɛ θ
rhwydwaith	r̥ ʊ i̯ d w ɛ θ
rhwydd	r̥ uː ɨ̯ ð
rhwyf	r̥ uː ɨ̯ v
rhwyfau	r̥ ʊ ɨ̯ v a ɨ
rhwyfau	r̥ ʊ ɨ̯ v ɛ
rhwyfau	r̥ ʊ ɨ̯ v a
rhwyfau	r̥ ʊ ɨ̯ v ɛ
rhwyfau	r̥ ʊ ɨ̯ v a
rhwyfo	r̥ ʊ ɨ̯ v ɔ
rhwyg	r̥ uː ɨ̯ ɡ
rhwygo	r̥ ʊ ɨ̯ ɡ ɔ
rhwyll	r̥ uː ɨ̯ ɬ
rhwyllau	r̥ ʊ ɨ̯ ɬ a ɨ̯
rhwyllau	r̥ ʊ ɨ̯ ɬ ɛ
rhwyllau	r̥ ʊ ɨ̯ ɬ a
rhwyllau	r̥ ʊ ɨ̯ ɬ ɛ
rhwyllau	r̥ ʊ ɨ̯ ɬ a
rhwym	r̥ uː ɨ̯ m
rhwymiad	r̥ ʊ ɨ̯ m j a d
rhwymo	r̥ ʊ ɨ̯ m ɔ
rhwystr	r̥ ʊ ɨ̯ s d r
rhwystrau	r̥ ʊ ɨ̯ s d r a ɨ̯
rhwystrau	r̥ ʊ ɨ̯ s d r ɛ
rhwystrau	r̥ ʊ ɨ̯ s d r a
rhwystrau	r̥ ʊ ɨ̯ s d r ɛ
rhwystrau	r̥ ʊ ɨ̯ s d r a
rhwystredig	r̥ ʊ ɨ̯ s d r ɛ d ɨ̞ ɡ
rhwystredigaeth	r̥ ʊ ɨ̯ s d r ɛ d ɨ̞ ɡ a ɨ̯ θ
rhwystredigaeth	r̥ ʊ ɨ̯ s d r ɛ d ɨ̞ ɡ ɛ θ
rhwystredigaeth	r̥ ʊ ɨ̯ s d r ɛ d ɨ̞ ɡ a θ
rhwystredigaeth	r̥ ʊ ɨ̯ s d r ɛ d ɨ̞ ɡ ɛ θ
rhwystredigaeth	r̥ ʊ ɨ̯ s d r ɛ d ɨ̞ ɡ a θ
rhwystredigaethau	r̥ ʊ ɨ̯ s d r ɛ d ɨ̞ ɡ e ɨ̯ θ a ɨ̯
rhwystredigaethau	r̥ ʊ ɨ̯ s d r ɛ d ɨ̞ ɡ e ɨ̯ θ ɛ
rhwystredigaethau	r̥ ʊ ɨ̯ s d r ɛ d ɨ̞ ɡ e ɨ̯ θ a
rhwystredigaethau	r̥ ʊ ɨ̯ s d r ɛ d ɨ̞ ɡ e ɨ̯ θ ɛ
rhwystredigaethau	r̥ ʊ ɨ̯ s d r ɛ d ɨ̞ ɡ e ɨ̯ θ a
rhwystro	r̥ ʊ ɨ̯ s d r ɔ
rhy	r̥ ɨː
rhych	r̥ ɨː χ
rhychau	r̥ ə χ a ɨ̯
rhychau	r̥ ə χ ɛ
rhychau	r̥ ə χ a
rhychau	r̥ ə χ ɛ
rhychau	r̥ ə χ a
rhyd	r̥ ɨː d
rhydau	r̥ ə d a ɨ̯
rhydau	r̥ ə d ɛ
rhydau	r̥ ə d a
rhydau	r̥ ə d ɛ
rhydau	r̥ ə d a
rhydychen	r̥ ɨː d ə χ ɛ n
rhydychen	r̥ ɨ̞ d ə χ ɛ n
rhydd	r̥ ɨː ð
rhyddhaf	r̥ ə ð h aː v
rhyddhau	r̥ ə ð h a ɨ̯
rhyddid	r̥ ə ð ɪ d
rhyfedd	r̥ ə v ɛ ð
rhyfedd	r̥ ə v a ð
rhyfedd	r̥ ə v a ð
rhyfeddu	r̥ ə v ɛ ð ɨ
rhyfel	r̥ ə v ɛ l
rhyfel	r̥ ə v a l
rhyfel	r̥ ə v a l
rhyfela	r̥ ə v ɛ l a
rhyfelwr	r̥ ə v ɛ l ʊ r
rhyfelwyr	r̥ ə v ɛ l w ɨ̞ r
rhyngrwyd	r̥ ə ŋ r ʊ ɨ̯ d
rhyngrwyd pethau	r̥ ə ŋ r ʊ ɨ̯ d p ɛ θ a ɨ̯
rhyngrwyd pethau	r̥ ə ŋ r ʊ ɨ̯ d p ɛ θ ɛ
rhyngrwyd pethau	r̥ ə ŋ r ʊ ɨ̯ d p ɛ θ a
rhyngrwyd pethau	r̥ ə ŋ r ʊ ɨ̯ d p ɛ θ ɛ
rhyngrwyd pethau	r̥ ə ŋ r ʊ ɨ̯ d p ɛ θ a
rhyngrwyd y pethau	r̥ ə ŋ r ʊ ɨ̯ d ə p ɛ θ a ɨ̯
rhyngrwyd y pethau	r̥ ə ŋ r ʊ ɨ̯ d ə p ɛ θ ɛ
rhyngrwyd y pethau	r̥ ə ŋ r ʊ ɨ̯ d ə p ɛ θ a
rhyngrwyd y pethau	r̥ ə ŋ r ʊ ɨ̯ d ə p ɛ θ ɛ
rhyngrwyd y pethau	r̥ ə ŋ r ʊ ɨ̯ d ə p ɛ θ a
rhyngwladol	r̥ ə ŋ w l a d ɔ l
rhynion	r̥ ə n j ɔ n
rhynionyn	r̥ ə n j ɔ n ɨ̞ n
rhys	r̥ ɨː s
rhyw	r̥ ɪ u̯
rhyw	r̥ ɨ̞ u̯
rhywbeth	r̥ ɪ u̯ b ɛ θ
rhywbeth	r̥ ɨ u̯ b ɛ θ
rhywbeth	r̥ ɪ u̯ b a θ
rhywbeth	r̥ ɨ u̯ b a θ
rhywbeth	r̥ ʊ b ɛ θ
rhywbeth	r̥ ʊ b a θ
rhywbeth	r̥ ɪ u̯ b a θ
rhywbeth	r̥ ɨ u̯ b a θ
rhywbeth	r̥ ʊ b ɛ θ
rhywbeth	r̥ ʊ b a θ
rhywiol	r̥ ɪ u̯ j ɔ l
rhywiol	r̥ ɨ u̯ j ɔ l
rhywle	r̥ ɪ u̯ l ɛ
rhywle	r̥ ɨ u̯ l ɛ
rhywle	r̥ ɪ u̯ l a
rhywle	r̥ ɨ u̯ l a
rhywle	r̥ ʊ l ɛ
rhywle	r̥ ʊ l a
rhywle	r̥ ɪ u̯ l a
rhywle	r̥ ɨ u̯ l a
rhywle	r̥ ʊ l ɛ
rhywle	r̥ ʊ l a
rhywsut	r̥ ɪ u̯ s ɨ̞ t
rhywsut	r̥ ɨ u̯ s ɨ̞ t
rhywun	r̥ ɪ u̯ ɨ̞ n
rhywun	r̥ ɨ u̯ ɨ̞ n
sach	s aː χ
sachell	s a χ ɛ ɬ
sadwrn	s a d ʊ r n
sadwrn	s a d ʊ n
sadwrn	s a d ʊ n
saer	s aː ɨ̯ r
saesneg	s e ɨ̯ s n ɛ ɡ
saesneg	s e ɨ̯ s n a ɡ
saesneg	s ɨ̞ s n ɛ ɡ
saesneg	s ɨ̞ s n a ɡ
saesneg	s e ɨ̯ s n a ɡ
saesneg	s ɨ̞ s n ɛ ɡ
saesneg	s ɨ̞ s n a ɡ
saeth	s aː ɨ̯ θ
saethu	s e ɨ̯ θ ɨ
saethwr	s e ɨ̯ θ ʊ r
saethwyr	s e ɨ̯ θ w ɨ̞ r
saethyddiaeth	s e ɨ̯ θ ə ð j a ɨ̯ θ
saethyddiaeth	s e ɨ̯ θ ə ð j ɛ θ
saethyddiaeth	s e ɨ̯ θ ə ð j ɛ θ
safbwynt	s a v b ʊ ɨ̯ n t
safle	s a v l ɛ
safon	s a v ɔ n
saff	s aː f
saffari	s a f a r i
saib	s a i̯ b
saif	s a i̯ v
saig	s a i̯ ɡ
sail	s a i̯ l
sain	s a i̯ n
saint	s a i̯ n t
saith	s a i̯ θ
saith ar hugain	s a i̯ θ a r h ɪ ɡ a i̯ n
saith seren	s a i̯ θ s ɛ r ɛ n
sâl	s aː l
salamandr	s a l a m a n d r
salm	s a l m
saltring	s a l t r ɪ ŋ
salw	s a l u
salwch	s a l ʊ χ
sallwyr	s a ɬ ʊ ɨ̯ r
sant	s a n t
santes	s a n t ɛ s
santes	s a n t a s
santes	s a n t a s
santesau	s a n t ɛ s a ɨ̯
santesau	s a n t ɛ s ɛ
santesau	s a n t ɛ s a
santesau	s a n t ɛ s ɛ
santesau	s a n t ɛ s a
sarff	s a r f
sarhad	s a r h aː d
sashimi	s a ʃ ɪ m ɪ
sawdl	s a u̯ d l
sawdd	s a u̯ ð
sawl	s a u̯ l
saws	s a u̯ s
sawsiau	s a u̯ ʃ a ɨ̯
sawsiau	s a u̯ ʃ ɛ
sawsiau	s a u̯ ʃ a
sawsiau	s a u̯ ʃ ɛ
sawsiau	s a u̯ ʃ a
sbaen	s b aː ɨ̯ n
sbaeneg	s b e ɨ̯ n ɛ ɡ
sbageti	s b a ɡ ɛ t i
sbectol	s b ɛ k t ɔ l
sbel	s b ɛ l
sbon	s b ɔ n
sbwriel	s b ʊ r j ɛ l
sbwriel	s b ʊ r j a l
sbwriel	s b ʊ r j a l
sdim	s d ɪ m
se	s ɛ
sebon	s ɛ b ɔ n
sebra	s e b r a
sebraod	s e b r aː ɔ d
sebras	s e b r a s
sèd	s ɛ d
sedd	s eː ð
seddi	s ɛ ð i
sef	s eː v
sefydlog	s ɛ v ə d l ɔ ɡ
sefydlogi	s ɛ v ə d l ɔ ɡ i
sefydlu	s ɛ v ə d l ɨ
sefyll	s ɛ v ɨ̞ ɬ
sefyllfa	s ɛ v ə ɬ v a
sefyllfaoedd	s ɛ v ə ɬ v aː ɔ ɨ̯ ð
segur	s ɛ ɡ ɨ̞ r
seibiau	s e i̯ b j a ɨ̯
seibiau	s e i̯ b j ɛ
seibiau	s e i̯ b j a
seibiau	s e i̯ b j ɛ
seibiau	s e i̯ b j a
seiclo	s e i̯ k l ɔ
seiclwr	s e i̯ k l ʊ r
seidr	s e i̯ d ɪ r
seintiau	s e i̯ n t j a ɨ̯
seintiau	s e i̯ n t j ɛ
seintiau	s e i̯ n t j a
seintiau	s e i̯ n t j ɛ
seintiau	s e i̯ n t j a
seithfed	s e i̯ θ v ɛ d
seithfed	s e i̯ θ v ɛ d
seithfed	s e i̯ θ v a d
seithfed	s e i̯ θ v ɛ d
seithfed	s e i̯ θ v a d
seithfed ar hugain	s e i̯ θ v ɛ d a r h ɪ ɡ a i̯ n
seithongl	s e i̯ θ ɔ ŋ l
sêl	s eː l
seland newydd	s ɛ l a n d n ɛ u̯ ɨ̞ ð
seler	s ɛ l ɛ r
seler	s ɛ l a r
seler	s ɛ l a r
selerau	s ɛ l ɛ r a ɨ̯
