ং	ŋ
ভাশুর	bʱ a ʃ u ɹ
ভাশুর	bʱ a ʃ u ɾ
ভাশুর	v a ʃ u ɹ
ভাশুর	v a ʃ u ɾ
ভাষা	bʱ a ʃ aˑ
ভাষা	v a ʃ aˑ
ভাসা	bʱ a ʃ aˑ
ভাসা	v a ʃ aˑ
ভাসুর	bʱ a ʃ u ɹ
ভাসুর	bʱ a ʃ u ɾ
ভাসুর	v a ʃ u ɹ
ভাসুর	v a ʃ u ɾ
ভাস্বর	bʱ a ʃː ɔ ɹ
ভাস্বর	bʱ a ʃː ɔ ɾ
ভাস্বর	v a ʃː ɔ ɹ
ভাস্বর	v a ʃː ɔ ɾ
ভিজা	b í z aˑ
ভিজা	bʱ i d ʑ aˑ
ভিজা	bʱ i d͡ʒ aˑ
ভিজা	v i d ʑ aˑ
ভিজা	v i d͡ʒ aˑ
ভিজা	ɓ i d̪ z aˑ
ভিডিও	bʱ i d i̯ oˑ
ভিডিও	bʱ i ɖ i̯ oˑ
ভিডিও	v i d i̯ oˑ
ভিডিও	v i ɖ i̯ oˑ
ভিত	bʱ i t̪ oˑ
ভিত	v i t̪ oˑ
ভিতরে	bʱ i t̪ ɔ ɹ eˑ
ভিতরে	bʱ i t̪ ɔ ɾ eˑ
ভিতরে	v i t̪ ɔ ɹ eˑ
ভিতরে	v i t̪ ɔ ɾ eˑ
ভিত্তি	bʱ i t̪ː iˑ
ভিত্তি	v i t̪ː iˑ
ভিত্তিপ্রস্তর	bʱ i t̪ː i p ɹ o s t̪ ɔ ɹ
ভিত্তিপ্রস্তর	bʱ i t̪ː i p ɾ o s t̪ ɔ ɾ
ভিত্তিপ্রস্তর	v i t̪ː i p ɹ o s t̪ ɔ ɹ
ভিত্তিপ্রস্তর	v i t̪ː i p ɾ o s t̪ ɔ ɾ
ভিন	b í n
ভিন	bʱ iː n
ভিন	v i n
ভিন	ɓ i n
ভিন্ন	b í nː ɔˑ
ভিন্ন	bʱ i nː oˑ
ভিন্ন	v i nː oˑ
ভিন্ন	ɓ i nː ɔˑ
ভিসা	bʱ i ʃ aˑ
ভিসা	v i ʃ aˑ
ভিসি	bʱ i s̠ iˑ
ভিসি	v i s̠ iˑ
ভিসি	β i s̠ iˑ
ভুঁই	bʱ u̯ iˑ
ভুঁই	bʱ ũ iˑ
ভুঁই	v u̯ iˑ
ভুঁই	v ũ iˑ
ভুঁড়ি	b ú ɹ iˑ
ভুঁড়ি	bʱ u ɹ iˑ
ভুঁড়ি	bʱ ũ ɽ iˑ
ভুঁড়ি	v u ɹ iˑ
ভুঁড়ি	v ũ ɾ iˑ
ভুঁড়ি	ɓ u ɾ iˑ
ভুখ	bʱ uː k
ভুখ	v u x
ভুটান	bʱ u t a n
ভুটান	bʱ u ʈ a n
ভুটান	v u t a n
ভুটান	v u ʈ a n
ভুট্টা	bʱ u tː aˑ
ভুট্টা	bʱ u ʈː aˑ
ভুট্টা	v u tː aˑ
ভুট্টা	v u ʈː aˑ
ভুবন	bʱ u b o n
ভুবন	v u b o n
ভুয়া	bʱ u̯ aˑ
ভুয়া	v u̯ aˑ
ভুল	bʱ uː l
ভুল	v u l
ভুসি	bʱ u ʃ iˑ
ভুসি	v u ʃ iˑ
ভূত	bʱ u t̪
ভূত	v u t̪
ভূমি	bʱ u m iˑ
ভূমি	v u m iˑ
ভূমিপুত্র	bʱ u m i p u t̪ː ɹ oˑ
ভূমিপুত্র	bʱ u m i p u t̪ː ɾ oˑ
ভূমিপুত্র	v u m i p u t̪ː ɹ oˑ
ভূমিপুত্র	v u m i p u t̪ː ɾ oˑ
ভেটা	bʱ e t aˑ
ভেটা	bʱ e ʈ aˑ
ভেটা	v e t aˑ
ভেটা	v e ʈ aˑ
ভেড়া	bʱ æ ɽ aˑ
ভেড়া	bʱ æ ɾ aˑ
ভেড়া	bʱ æ̃ ɽ aˑ
ভেড়া	bʱ æ̃ ɾ aˑ
ভেতরে	bʱ e t̪ ɔ ɹ eˑ
ভেতরে	bʱ e t̪ ɔ ɾ eˑ
ভেতরে	v e t̪ ɔ ɹ eˑ
ভেতরে	v e t̪ ɔ ɾ eˑ
ভেস্তা	bʱ e s̠ t̪ äˑ
ভেস্তা	v e s̠ t̪ äˑ
ভেস্তা	β e s̠ t̪ äˑ
ভোগা	bʱ o ɡ aˑ
ভোগা	v o ɡ aˑ
ভোজপুর	bʱ o d ʑ p u ɹ
ভোজপুর	bʱ o d͡ʒ p u ɾ
ভোজপুর	v o d ʑ p u ɹ
ভোজপুর	v o d͡ʒ p u ɾ
ভোর	bʱ o ɹ
ভোর	bʱ oː ɾ
ভোর	v o ɹ
ভোর	v o ɾ
ভোলা	bʱ o l a
ভৌম	bʱ o u̯ m oˑ
ভৌম	v o u̯ m oˑ
ভ্যাঙানো	bʱ æ ŋ a n o
ভ্রাতা	bʱ ɹ a t̪ aˑ
ভ্রাতা	bʱ ɾ a t̪ aˑ
ভ্রাতা	v ɹ a t̪ aˑ
ভ্রাতা	v ɾ a t̪ aˑ
ভ্রাতৃ	bʱ ɹ a t̪ ɹ iˑ
ভ্রাতৃ	bʱ ɹ a t̪ː ɹ iˑ
ভ্রাতৃ	bʱ ɾ a t̪ː ɾ iˑ
ভ্রাতৃ	v ɹ a t̪ː ɹ iˑ
ভ্রাতৃ	v ɾ a t̪ː ɾ iˑ
ভ্রাতৃ	ɓ ɾ a t̪ ɾ iˑ
ভ্লাদিমির	bʱ l a d̪ i m i ɹ
ভ্লাদিমির	bʱ l a d̪ i m i ɾ
ভ্লাদিমির	v l a d̪ i m i ɹ
ভ্লাদিমির	v l a d̪ i m i ɾ
মউসম	m o u̯ ʃ o m
মউসুম	m o u̯ ʃ u m
মওকা	m ɔ o̯ k aˑ
মওকা	m ɔ o̯ q aˑ
মওকা	m ɔ u k aˑ
মওকা	m ɔ u q aˑ
মওলা	m o u̯ l aˑ
মওলা	m ɔ o̯ l aˑ
মওলানা	m ɔ o̯ l a n aˑ
মকতব	m ɔ k t̪ o b
মকতব	m ɔ k t̪ ɔ b
মগজ	m ɔ ɡ o d ʑ
মগজ	m ɔ ɡ o d͡ʒ
মঙ্গল	m ɔ ŋ ɡ ɔ l
মঙ্গলবার	m o ŋ ɡ o l b a ɹ
মঙ্গলবার	m o ŋ ɡ o l b a ɾ
মঙ্গল্য	m o n ɡ o lː ɔˑ
মচমচে	m ɔ t ɕ m ɔ t ɕ eˑ
মচমচে	m ɔ t͡ʃ m ɔ t͡ʃ eˑ
মজদুর	m o d͡ʒ d̪ u ɾ
মজদুর	m o z d̪ u ɹ
মজদুর	m o z d̪ u ɾ
মজদুর	m o z̪̪ d̪ u ɹ
মজদুর	m o z̪̪ d̪ u ɾ
মজলিস	m o d ʑ l i s
মজলিস	m o d ʑ l i ʃ
মজলিস	m o d͡ʒ l i s
মজলিস	m o d͡ʒ l i ʃ
মজলুম	m o d ʑ l u m
মজলুম	m o d͡ʒ l u m
মজলুম	m o z l u m
মজা	m ɔ d ʑ aˑ
মজা	m ɔ d̪ z aˑ
মজা	m ɔ d͡ʒ aˑ
মজা	m ɔ z aˑ
মজুর	m ɔ d ʑ u ɹ
মজুর	m ɔ d͡ʒ u ɾ
মজ্জা	m ɔ d ʑː aˑ
মজ্জা	m ɔ d̪ z d̪ z aˑ
মজ্জা	m ɔ d͡ʒ d͡ʒ aˑ
মজ্জা	m ɔ z z aˑ
মজ্জা	m ɔ z̪̪ d͡ʒ aˑ
মঞ্জুঘোষ	m ɔ n d ʑ u ɡʱ o ʃ
মঞ্জুঘোষ	m ɔ n d͡ʒ u ɡʱ o ʃ
মড়া	m ɔ ɹ aˑ
মড়া	m ɔ ɽ aˑ
মড়া	m ɔ ɾ aˑ
মণি	m o n iˑ
মণিপুর	m o n i p u ɹ
মণিপুর	m o n i p u ɾ
মণীশ	m o n i ʃ
মত	m o t̪ oˑ
মত	m ɔ t̪
মত	m ɔ t̪ oˑ
মতামত	m ɔ t̪ a m ɔ t̪
মতি	m o t̪ iˑ
মতো	m ɔ t̪ oˑ
মদ	m ɔ d̪
মধু	m o d̪ʱ uˑ
মধুর	m o d̪ʱ u ɾ
মধ্য	m o d̪ʱː oˑ
মধ্যাহ্ন	m ɔ d̪ʱː a n h oˑ
মধ্যাহ্ন	m ɔ d̪ʱː a n h ɔˑ
মধ্যাহ্ন	m ɔ d̪ʱː a nː oˑ
মধ্যাহ্ন	m ɔ d̪ː á n h ɔˑ
মধ্যে	m ɔ d̪ʱː eˑ
মন	m o n
মন	m oː n
মনপ্রাণ	m ɔ n p ɹ a n
মনপ্রাণ	m ɔ n p ɾ a n
মনমোহন	m ɔ n m ɔ h ɔ n
মনসা	m ɔ n o ʃ aˑ
মনিব	m o n i b
মনির	m o n i ɹ
মনির	m o n i ɾ
মনিষ	m o n i ʃ
মনুষ্য	m o n u ʃː oˑ
মনোবল	m ɔ n o b ɔ l
মনোব্যথা	m o n o b æ t̪ʰ aˑ
মনোব্যথা	m o n o b ɛ t̪ʰ aˑ
মনোভাব	m o n o bʱ a b
মনোভাব	m o n o v a b
মনোয়ার	m o n o̯ a ɹ
মনোয়ার	m o n o̯ a ɾ
মনোয়ারা	m o n o̯ a ɹ aˑ
মনোয়ারা	m o n o̯ a ɾ aˑ
মনোরমা	m o n o ɹ ɔ m aˑ
মনোরমা	m o n o ɾ ɔ m aˑ
মন্ত্রী	m o n t̪ː ɹ iˑ
মন্ত্রী	m o n t̪ː ɾ iˑ
মফস্বল	m ɔ f o ʃː ɔ l
মম	m ɔ m oˑ
মমতাজ	m ɔ m o t̪ a d ʑ
মমতাজ	m ɔ m o t̪ a d͡ʒ
মমতাজ	m ɔ m t̪ a d ʑ
মমতাজ	m ɔ m t̪ a d͡ʒ
ময়দা	m ɔ e̯ d̪ aˑ
ময়দান	m ɔ e̯ d̪ a n
ময়না	m ɔ e̯ n aˑ
ময়মনসিংহ	m ɔ e̯ m o n ʃ i ŋ h o
মরজি	m o ɹ d ʑ iˑ
মরজি	m o ɾ d͡ʒ iˑ
মরণ	m ɔ ɾ o n
মরদ	m ɔ ɹ ɔ d̪
মরদ	m ɔ ɾ ɔ d̪
মরহুম	m o ɾ h u m
মরহুমা	m o ɾ h u m aˑ
মরা	m ɔ ɹ aˑ
মরা	m ɔ ɾ aˑ
মরামাস	m ɔ ɹ a m a ʃ
মরামাস	m ɔ ɾ a m a ʃ
মরিয়ম	m o ɹ i̯ o m
মরিয়ম	m o ɾ i̯ o m
মরিশাস	m ɔ ɹ i ʃ a s
মরিশাস	m ɔ ɾ i ʃ a s
মরুভূমি	m o ɹ u bʱ u m iˑ
মরুভূমি	m o ɹ u v u m iˑ
মরুভূমি	m o ɾ u bʱ u m iˑ
মরুভূমি	m o ɾ u v u m iˑ
মর্ত্ত্য	m ɔ ɹ t̪ː t̪ oˑ
মর্ত্ত্য	m ɔ ɾ t̪ː t̪ oˑ
মর্ত্য	m ɔ ɹ t̪ː oˑ
মর্ত্য	m ɔ ɾ t̪ː oˑ
মর্দ	m ɔ ɾ d̪ ɔ
মর্দনী	m ɔ ɾ d̪ ɔ n i
মর্যাদা	m ɔ ɹ d ʑ a d̪ aˑ
মর্যাদা	m ɔ ɹ z a d̪ aˑ
মর্যাদা	m ɔ ɾ d̪ z a d̪ aˑ
মর্যাদা	m ɔ ɾ d͡ʒ a d̪ aˑ
মলম	m ɔ l o m
মলাট	m ɔ l a t
মলাট	m ɔ l a ʈ
মল্লিকা	m o lː i k aˑ
মশলা	m ɔ ʃ l aˑ
মশলা	m ɔ ʃ o l aˑ
মশাই	m ɔ ʃ a i̯
মশারি	m ɔ ʃ a ɹ iˑ
মশারি	m ɔ ʃ a ɾ iˑ
মশাল	m ɔ ʃ a l
মসজিদ	m o s d ʑ i d̪
মসজিদ	m o s d͡ʒ i d̪
মসজিদ	m o ʃ d ʑ i d̪
মসজিদ	m o ʃ d͡ʒ i d̪
মসলা	m ɔ ʃ l aˑ
মসলা	m ɔ ʃ o l aˑ
মস্করা	m ɔ ʃ k ɔ ɹ aˑ
মস্করা	m ɔ ʃ k ɔ ɾ aˑ
মস্তিষ্ক	m o s t̪ i ʃ k oˑ
মহকুমা	m ɔ h o k u m äˑ
মহঙ্গা	m ɔ h ɔ ŋ ɡ aˑ
মহব্বত	m ɔ h o bː ɔ t̪
মহরম	m ɔ h o ɹ o m
মহরম	m ɔ h o ɹ ɔ m
মহরম	m ɔ h o ɾ o m
মহরম	m ɔ h o ɾ ɔ m
মহল্লা	m ɔ h o lː aˑ
মহা	m ɔ h aˑ
মহাদেশ	m ɔ h a d̪ e ʃ
মহারাষ্ট্র	m ɔ h a ɹ a s t oˑ
মহারাষ্ট্র	m ɔ h a ɹ a s tː ɹ oˑ
মহারাষ্ট্র	m ɔ h a ɹ a ʃ t oˑ
মহারাষ্ট্র	m ɔ h a ɹ a ʃ tː ɹ oˑ
মহারাষ্ট্র	m ɔ h a ɾ a ʂ ʈ oˑ
মহারাষ্ট্র	m ɔ h a ɾ a ʂ ʈː ɾ oˑ
মহাসাগর	m ɔ h a ʃ a ɡ ɔ ɹ
মহাসাগর	m ɔ h a ʃ a ɡ ɔ ɾ
মহাসিন্ধু	m ɔ h a ʃ i n d̪ʱ uˑ
মহিলা	m o h i l aˑ
মহিষ	m o h i ʃ
মহীশূর	m o h i ʃ u ɹ
মহীশূর	m o h i ʃ u ɾ
মহেন্দ্র	m ɔ h e n d̪ː ɹ oˑ
মহেন্দ্র	m ɔ h e n d̪ː ɾ oˑ
মা	m aː
মা	m aˑ
মা	m ãː
মা	m ãˑ
মাং	m a ŋ
মাংস	m a ŋ ʃ oˑ
মাইক	m a i̯ k
মাইক্রোনেশিয়া	m a i̯ k ɹ o n e ʃ i̯ aˑ
মাইক্রোনেশিয়া	m a i̯ k ɾ o n e ʃ i̯ aˑ
মাখন	m a kʰ o n
মাখা	m a kʰ aˑ
মাগ	m a ɡ
মাগফিরাত	m a ɡ f i ɹ a t̪
মাগফিরাত	m a ɡ f i ɾ a t̪
মাগরিব	m a ɡ ɹ i b
মাগরিব	m a ɡ ɾ i b
মাগরেবী	m a ɡ ɹ e b iˑ
মাগরেবী	m a ɡ ɾ e b iˑ
মাগার	m a ɡ a ɹ
মাগার	m a ɡ a ɾ
মাগী	m a ɡ iˑ
মাগুর	m a ɡ u ɹ
মাগুর	m a ɡ u ɾ
মাঘ	m a ɡ
মাঙ্গা	m a ŋ ɡ aˑ
মাচান	m a t ɕ a n
মাচান	m a t͡ʃ a n
মাজা	m a d ʑ aˑ
মাজা	m a d͡ʒ aˑ
মাজার	m a d ʑ a ɹ
মাজার	m a d͡ʒ a ɾ
মাঝ	m a d ʑ
মাঝ	m a d͡ʒ
মাঝে	m a d ʑʱ eˑ
মাঝে	m a d͡ʒʱ eˑ
মাটি	m a ʈ̟ i
মাঠ	m a ʈ̟ʰ
মাড়	m a ɹ
মাড়	m a ɽ
মাড়	m a ɾ
মাড়া	m a ɹ aˑ
মাড়া	m a ɽ aˑ
মাড়া	m a ɾ aˑ
মাড়ান	m a ɹ a n
মাড়ান	m a ɽ a n
মাড়ান	m a ɾ a n
মাড়ি	m a ɽ i
মাণিক্য	m a n i kː oˑ
মাত	m a t̪
মাতা	m a t̪ aˑ
মাতাল	m a t̪ a l
মাতৃ	m ä t̪ː ɾ iˑ
মাতৃভাষা	m ä t̪ː ɾ i bʱ ä s̠ äˑ
মাত্র	m a t̪ː ɹ oˑ
মাত্র	m a t̪ː ɾ oˑ
মাদল	m a d̪ ɔ l
মাধ্যমে	m a d̪ʱː ɔ m eˑ
মানবজাতি	m a n o b d ʑ a t̪ iˑ
মানবজাতি	m a n o b d͡ʒ a t̪ iˑ
মানা	m a n aˑ
মানিক	m a n i k
মানুষ	m a n u ʃ
মানে	m a n eˑ
মাপা	m a p a
মাফ	m a f
মাফ	m aː f
মামড়ি	m a m ɹ iˑ
মামড়ি	m a m ɽ iˑ
মামড়ি	m a m ɾ iˑ
মামলা	m a m l aˑ
মামা	m a m a
মামুলী	m a m u l iˑ
মায়া	m a e̯ aˑ
মারা	m a ɾ aˑ
মারুফ	m a ɾ u f
মার্কসবাদ	m a ɹ k s b a d̪
মার্কসবাদ	m a ɹ k ʃ b a d̪
মার্কসবাদ	m a ɾ k s b a d̪
মার্কসবাদ	m a ɾ k ʃ b a d̪
মার্কা	m a ɹ k aˑ
মার্কা	m a ɾ k aˑ
মার্কিন	m a ɹ k i n
মার্কিন	m a ɾ k i n
মার্চ	m a ɹ t ɕ
মার্চ	m a ɾ t͡ʃ
মার্জার	m a ɹ d ʑ a ɹ
মার্জার	m a ɹ z a ɹ
মার্জার	m a ɾ d̪ z a ɾ
মার্জার	m a ɾ d͡ʒ a ɾ
মাল	m a l
মাল	m aː l
মালদা	m a l̪ d̪ aˑ
মালদ্বীপ	m a l̪ d̪ i p
মালা	m a l a
মালাউন	m a l a u̯ n
মালিক	m a l i k
মালিকানা	m a l i k a n aˑ
মাশাআল্লাহ	m a ʃ a lː aˑ
মাস	m a ʃ
মাস	m aː ʃ
মাসকালাই	m a s k a l a i̯
মাসি	m a ʃ iˑ
মাসুদ	m a s u d̪
মাস্টার	m a s t a ɹ
মাস্টার	m a s ʈ a ɾ
মাস্টার	m a ʂ ʈ a ɾ
মাস্টারমশাই	m a s t a ɹ ɔ m ʃ a i̯
মাস্টারমশাই	m a s ʈ a ɾ ɔ m ʃ a i̯
মাস্টারমশাই	m a ʂ ʈ a ɾ ɔ m ʃ a i̯
মাহতাব	m a h t̪ a b
মাহদি	m a h a d̪ iˑ
মাহদি	m a h d̪ iˑ
মাহদি	m e h d̪ iˑ
মাহদি	m e h e d̪ iˑ
মাহফিল	m a h f i l
মাহফুজ	m a h f u z
মাহমূদ	m a h m u d̪
মাহির	m a h i ɹ
মাহির	m a h i ɾ
মাহীন	m a h i n
মাহুত	m a h u t̪
মিউজিয়াম	m i u̯ z i̯ a m
মিউনিখ	m i u n̪ i kʰ
মিছা	m i s aˑ
মিছা	m i t ɕʰ aˑ
মিছা	m i t͡ʃʰ aˑ
মিছিল	m i t ɕʰ i l
মিছিল	m i t͡ʃʰ i l
মিজান	m i d ʑ a n
মিজান	m i d͡ʒ a n
মিঞা	m i̯ aˑ
মিঞা	m i̯ ãˑ
মিটা	m i t aˑ
মিটা	m i ʈ aˑ
মিঠা	m i tʰ aˑ
মিঠা	m i ʈʰ aˑ
মিতা	m i t̪ aˑ
মিত্র	m i t̪ː ɾ oˑ
মিথেন	m i t̪ʰ e n
মিথ্যা	m i t̪ʰː aˑ
মিথ্যুক	m i t̪ʰː u k
মিনসা	m i n ʃ aˑ
মিনার	m i n a ɹ
মিনার	m i n a ɾ
মিনিট	m i n i t
মিনিট	m i n i ʈ
মিশর	m i ʃ o ɹ
মিশর	m i ʃ ɔ ɹ
মিশর	m i ʃ ɔ ɾ
মিশরীয়	m i ʃ ɔ ɾ i oˑ
মিষ্টি	m i s t iˑ
মিষ্টি	m i ʂ ʈ iˑ
মিষ্টি	m i ʃ t iˑ
মিসকিন	m i s k i n
মিস্ত্রী	m i s t̪ː ɹ iˑ
মিস্ত্রী	m i s t̪ː ɾ iˑ
মীনাক্ষী	m i n a kʰː iˑ
মীর	m i ɹ
মীর	m i ɾ
মীর	m iː ɾ
মীরা	m i ɹ aˑ
মীরা	m i ɾ aˑ
মুকুট	m u k u t
মুকুট	m u k u ʈ
মুক্ত	m u k t̪ oˑ
মুক্তা	m u k t̪ aˑ
মুক্তি	m u k t̪ iˑ
মুক্তিযুদ্ধ	m u k t̪ i d ʑ u d̪ʱː oˑ
মুক্তিযুদ্ধ	m u k t̪ i d͡ʒ u d̪ʱː oˑ
মুক্তো	m u k t̪ oˑ
মুখপাত্র	m u kʰ o p a t̪ː ɹ oˑ
মুখপাত্র	m u kʰ o p a t̪ː ɾ oˑ
মুখপাত্র	m u kʰ o p ä t̪ː ɾ o
মুখর	m u kʰ ɔ ɹ
মুখর	m u kʰ ɔ ɾ
মুখস্থ	m u k o s t̪ʰ oˑ
মুখস্থ	m u kʰ o s t̪ oˑ
মুখস্থ	m u kʰ o s t̪ʰ oˑ
মুখার্জি	m u kʰ a ɹ d ʑ iˑ
মুখার্জি	m u kʰ a ɾ d͡ʒ iˑ
মুখুজ্জে	m u kʰ u d ʑː eˑ
মুখুজ্জে	m u kʰ u d͡ʒ d͡ʒ eˑ
মুখুজ্জে	m u kʰ u z̪̪ d͡ʒ eˑ
মুখোপাধ্যায়	m u kʰ o p a d̪ʱː a e̯
মুখোশ	m u kʰ o ʃ
মুখ্য	m u kʰː oˑ
মুগ	m u ɡ
মুঘল	m u ɡʱ o l
মুচি	m u t ɕ iˑ
মুচি	m u t͡ʃ iˑ
মুছনি	m u t ɕʰ o n iˑ
মুছনি	m u t͡ʃʰ o n iˑ
মুজিব	m u d ʑ i b
মুজিব	m u d͡ʒ i b
মুড়ি	m u ɹ iˑ
মুড়ি	m u ɽ iˑ
মুড়ি	m u ɾ iˑ
মুত	m uː t̪
মুতা	m u t̪ äˑ
মুতাজ	m u t̪ a d ʑ
মুতাজ	m u t̪ a d͡ʒ
মুদি	m u d̪ iˑ
মুন্ডা	m u n d aˑ
মুন্ডা	m u ɳ ɖ aˑ
মুবারক	m u b a ɹ ɔ k
মুবারক	m u b a ɾ ɔ k
মুবাশশির	m u b a ʃː i ɹ
মুবাশশির	m u b a ʃː i ɾ
মুভি	m u bʱ iˑ
মুভি	m u v iˑ
মুম্বই	m u m b o i̯
মুরগি	m u ɹ ɡ iˑ
মুরগি	m u ɾ ɡ iˑ
মুরগী	m u ɹ ɡ iˑ
মুরগী	m u ɾ ɡ iˑ
মুরলি	m u ɾ o l iˑ
মুরুব্বি	m u ɹ u bː iˑ
মুরুব্বি	m u ɾ u bː iˑ
মুর্শিদ	m u ɹ ʃ i d̪
মুর্শিদ	m u ɾ ʃ i d̪
মুর্শিদাবাদ	m u ɹ ʃ i d̪ a b a d̪
মুর্শিদাবাদ	m u ɾ ʃ i d̪ a b a d̪
মুশকিল	m u ʃ k i l
মুষল	m u ʃ o l
মুষলধার	m u ʃ o l̪ d̪ʱ a ɹ
মুষলধার	m u ʃ o l̪ d̪ʱ a ɾ
মুষ্টি	m u s t iˑ
মুষ্টি	m u ʂ ʈ iˑ
মুষ্টি	m u ʃ t iˑ
মুসলমান	m u s o l m a n
মুসলিম	m u s l i m
মুসল্লি	m u s o lː iˑ
মুসাফির	m u s a f i ɹ
মুসাফির	m u s a f i ɾ
মুসিবত	m u s i b ɔ t̪
মুহাম্মদ	m u h a mː ɔ d̪
মূঢ়	m u ɹ oˑ
মূঢ়	m u ɽ oˑ
মূঢ়	m u ɽʱ oˑ
মূঢ়	m u ɾ h oˑ
মূত্র	m u t̪ː ɾ ɔ̝ˑ
মূত্রনালি	m u t̪ː ɾ ɔ̝ n ä l iˑ
মূর্খ	m u r kʰ o
মূর্তি	m u ɾ t̪ iˑ
মূর্ধন্য	m u ɹ d̪ʱ ɔ nː oˑ
মূর্ধন্য	m u ɾ d̪ʱ ɔ nː oˑ
মূল	m u l
মূল	m uː l
মূল্য	m u lː ɔ̝
মৃগ	m ɹ i ɡ
মৃগ	m ɾ i ɡ
মৃণ্ময়	m ɹ i n m ɔ e̯
মৃণ্ময়	m ɾ i n m ɔ e̯
মৃত	m ɹ i t̪ oˑ
মৃত	m ɾ i t̪ oˑ
মৃত্তিকা	m ɹ i t̪ː i k aˑ
মৃত্তিকা	m ɾ i t̪ː i k aˑ
মৃত্যু	m ɹ i t̪ː uˑ
মৃত্যু	m ɾ i t̪ː uˑ
মৃত্যুঞ্জয়	m ɹ i t̪ː u n d ʑ ɔ e̯
মৃত্যুঞ্জয়	m ɾ i t̪ː u n d͡ʒ ɔ e̯
মৃদু	m ɹ i d̪ uˑ
মৃদু	m ɾ i d̪ uˑ
মে	m eː
মে	m eˑ
মেঘ	m e ɡ
মেঘনা	m e ɡʱ ɔ n̪ a
মেঘালয়	m e ɡʱ a l ɔ e̯
মেচ	m e t ɕ
মেচ	m e t͡ʃ
মেজ	m e d ʑ oˑ
মেজ	m e d͡ʒ oˑ
মেজ	m e z
মেজ	m eː z
মেজদা	m e d͡ʒ d̪ aˑ
মেজদা	m e z̪̪ d̪ aˑ
মেজবান	m e d ʑ b a n
মেজবান	m e d͡ʒ b a n
মেজবান	m e z b a n
মেজাজ	m e d ʑ a d ʑ
মেজাজ	m e d ʑ a z
মেজাজ	m e d͡ʒ a d͡ʒ
মেজাজ	m e d͡ʒ a z
মেজাজ	m e z a d ʑ
মেজাজ	m e z a d͡ʒ
মেজাজ	m e z a z
মেজাজ	m ɛ z a z
মেঝে	m e d ʑʱ eˑ
মেঝে	m e d͡ʒʱ eˑ
মেড়া	m e ɹ aˑ
মেড়া	m e ɽ aˑ
মেড়া	m e ɾ aˑ
মেম	m e m
মেম	m eː m
মেম	m æ m
মেম	m æː m
মেম	m ɛ m
মেম	m ɛː m
মেয়াদ	m e a d̪
মেয়ে	m eː
মেয়ে	m eˑ
মেয়েমানুষ	m e e̯ e m a n u ʃ
মেরা	m e ɹ aˑ
মেরা	m e ɾ aˑ
মেরামত	m e ɹ a m ɔ t̪
মেরামত	m e ɾ a m ɔ t̪
মেরু	m e ɹ uˑ
মেরু	m e ɾ uˑ
মেলানেশিয়া	m e l a n e ʃ i̯ aˑ
মেলামেশা	m æ l a m e ʃ aˑ
মেলামেশা	m ɛ l a m e ʃ aˑ
মেষ	m e ʃ
মেষ	m eː ʃ
মেষশাবক	m e ʃː a b ɔ k
মেস	m eː s̠
মেহজাবিন	m a h d ʑ a b i n
মেহজাবিন	m a h d͡ʒ a b i n
মেহজাবিন	m a h z a b i n
মেহজাবিন	m e h d ʑ a b i n
মেহজাবিন	m e h d͡ʒ a b i n
মেহজাবিন	m e h z a b i n
মেহমান	m æ h m a n
মেহমান	m ɛ h m a n
মেহমানী	m æ h m a n iˑ
মেহমানী	m ɛ h m a n iˑ
মেহেরবানি	m e h e ɹ b a n iˑ
মেহেরবানি	m e h e ɾ b a n iˑ
মেহেরুন্নেসা	m e h e ɹ u nː e s aˑ
মেহেরুন্নেসা	m e h e ɾ u nː e s aˑ
মেহেরুন্নেসা	m e h ɹ u nː e s aˑ
মেহেরুন্নেসা	m e h ɾ u nː e s aˑ
মোকাবেলা	m o k a b e l aˑ
মোকাম	m o k a m
মোগল	m o ɡ o l
মোছা	m o t ɕʰ aˑ
মোছা	m o t͡ʃʰ aˑ
মোজা	m o d ʑ aˑ
মোজা	m o d̪ z aˑ
মোজা	m o d͡ʒ aˑ
মোজা	m o z aˑ
মোজেজা	m o d ʑ e z aˑ
মোজেজা	m o d̪ z ɛ d̪ z aˑ
মোজেজা	m o d͡ʒ e z aˑ
মোজেজা	m o z ɛ z aˑ
মোড়	m o ɹ
মোড়	m o ɽ
মোড়	m o ɾ
মোড়ল	m o ɹ o l
মোড়ল	m o ɽ o l
মোড়ল	m o ɾ o l
মোতা	m o t̪ äˑ
মোতি	m o t̪ iˑ
মোদী	m o d̪ iˑ
মোনাজাত	m o n a d ʑ a t̪
মোনাজাত	m o n a d͡ʒ a t̪
মোবাইল	m o b a i̯ l
মোমবাতি	m o m b a t̪ iˑ
মোরগ	m o ɹ o ɡ
মোরগ	m o ɾ o ɡ
মোরব্বা	m o ɹ ɔ bː aˑ
মোরব্বা	m o ɾ ɔ bː aˑ
মোলাকাত	m o l a k a t̪
মোলায়েম	m o l a e̯ m
মোল্লা	m o lː aˑ
মোল্লা	m u lː aˑ
মোস্তফা	m o s t̪ ɔ f aˑ
মোহর	m o h ɔ ɹ
মোহর	m o h ɔ ɾ
মোহাম্মদ	m o h a mː ɔ d̪
মৌ	m o u̯
মৌত	m o u̯ t̪
মৌলবী	m o u̯ l o b iˑ
