अ	ə
रुग्णवाहिका	ɾ u ɡ ɳ ə ʋ a ɦ i k a
रुग्णालय	ɾ u ɡ ɳ a l ə j
रुजणे	ɾ u d͡z ɳ e
रुजणे	ɾ u d͡z ɳ ə
रुतणे	ɾ u t̪ ɳ e
रुतणे	ɾ u t̪ ɳ ə
रुमाल	ɾ u m a l
रुळणे	ɾ u ɭ̆ ɳ e
रुळणे	ɾ u ɭ̆ ɳ ə
रुसणे	ɾ u s ɳ e
रुसणे	ɾ u s ɳ ə
रेखा	ɾ e kʰ a
रेघ	ɾ e ɡʱ
रेषा	ɾ e ʂ a
रोकड	ɾ o k ə ɖ
रोख	ɾ o kʰ
रोज	ɾ o d͡z
रोजा	ɾ o d͡ʑ a
रोटी	ɾ o ʈ i
र्‍	r
ल	l ə
लंड	l ə ɳ ɖ ə
लक्ष्मी	l ə k ʂ m i
लखनऊ	l ə kʰ n ə u
लखनौ	l ə kʰ n ə u
लग्न	l ə ɡ n ə
लटकणे	l ə ʈ ə k ɳ e
लटकणे	l ə ʈ ə k ɳ ə
लटकावणे	l ə ʈ k a ʋ ɳ e
लटकावणे	l ə ʈ k a ʋ ɳ ə
लढवणे	l ə ɖʱ ə ʋ ɳ e
लढवणे	l ə ɖʱ ə ʋ ɳ ə
लपवणे	l ə p ə ʋ ɳ e
लपवणे	l ə p ə ʋ ɳ ə
लफडे	l ə pʰ ɖ e
लफडे	l ə pʰ ɖ ə
लबाड	l ə b a ɖ
लवणे	l ə ʋ ɳ e
लवणे	l ə ʋ ɳ ə
लहर	l ə ɦ ə ɾ
लहान	l ə ɦ a n
लांडे	l a ɳ ɖ e
लांडे	l a ɳ ɖ ə
लांब	l a m b ə
लांबणे	l a m b ə ɳ e
लांबणे	l a m b ə ɳ ə
लांबी	l a m b i
लांब्या	l a m b j a
लाओस	l a o s
लाख	l a kʰ
लाज	l a d͡z
लाजणे	l a d͡z ɳ e
लाजणे	l a d͡z ɳ ə
लाट	l a ʈ
लाटणे	l a ʈ ɳ e
लाटणे	l a ʈ ɳ ə
लातूर	l a t̪ u ɾ
लाथ	l a t̪ʰ
लादणे	l a d̪ ɳ e
लादणे	l a d̪ ɳ ə
लाल	l a l
लाळ	l a ɭ̆
लाही	l a ɦ i
लाहोर	l a ɦ o ɾ
लाह्या	l a ɦ j a
लिंग	l i ŋ ɡ ə
लिलाव	l i l a ʋ
लिहिणे	l i ɦ i ɳ e
लिहिणे	l i ɦ i ɳ ə
लेख	l e kʰ
लेखक	l e kʰ ə k
लेखणी	l e kʰ ɳ i
लेखण्या	l e kʰ ə ɳ j a
लेखन	l e kʰ ə n
लेखिका	l e kʰ i k a
लोकशाही	l o k ɕ a ɦ i
लोखंड	l o kʰ ə ɳ ɖ ə
लोळणे	l o ɭ̆ ɳ e
लोळणे	l o ɭ̆ ɳ ə
लोह	l o ɦ
लोहार	l o ɦ a ɾ
ल्हासा	lʱ a s a
ळ	ɭ̆ ə
व	ʋ ə
वगळणे	ʋ ə ɡ ə ɭ̆ ɳ e
वगळणे	ʋ ə ɡ ə ɭ̆ ɳ ə
वडा	ʋ ə ɖ a
वडील	ʋ ə ɖ i l
वय	ʋ ə j
वये	ʋ ə j e
वये	ʋ ə j ə
वर	ʋ ə ɾ
वरात	ʋ ə ɾ a t̪
वरीस	ʋ ə ɾ i s
वर्ग	ʋ ə ɾ ɡ ə
वर्गखोली	ʋ ə ɾ ɡ ə kʰ o l i
वर्गीकरण	ʋ ə ɾ ɡ i k ɾ ə ɳ
वर्ण	ʋ ə ɾ ɳ ə
वर्धापनदिन	ʋ ə ɾ d̪ʱ a p ə n d̪ i n
वर्ष	ʋ ə ɾ ʂ ə
वर्षा	ʋ ə ɾ ʂ a
वळण	ʋ ə ɭ̆ ə ɳ
वळणे	ʋ ə ɭ̆ ɳ e
वळणे	ʋ ə ɭ̆ ɳ ə
वसंत	ʋ ə s ə n t̪
वहाण	ʋ ə ɦ a ɳ
वहिणी	ʋ ə ɦ i ɳ i
वहिनी	ʋ ə ɦ i n i
वही	ʋ ə ɦ i
वह्या	ʋ ə ɦ j a
वांगं	ʋ a ŋ ɡ ə
वांगे	ʋ a ŋ ɡ e
वाकडे	ʋ a k ɖ e
वाकडे	ʋ a k ɖ ə
वागणे	ʋ a ɡ ɳ e
वागणे	ʋ a ɡ ɳ ə
वाचणे	ʋ a t͡s ɳ e
वाचणे	ʋ a t͡s ɳ ə
वाचन	ʋ a t͡ɕ ə n
वाचवणे	ʋ a t͡s ə ʋ ɳ e
वाचवणे	ʋ a t͡s ə ʋ ɳ ə
वाजणे	ʋ a d͡z ɳ e
वाजणे	ʋ a d͡z ɳ ə
वाजवणे	ʋ a d͡z ə ʋ ɳ e
वाजवणे	ʋ a d͡z ə ʋ ɳ ə
वाट	ʋ a ʈ
वाटणे	ʋ a ʈ ɳ e
वाटणे	ʋ a ʈ ɳ ə
वाडी	ʋ a ɖ i
वाढ	ʋ a ɖʱ
वाढणे	ʋ a ɖʱ ɳ e
वाढणे	ʋ a ɖʱ ɳ ə
वाढदिवस	ʋ a ɖʱ d̪ i ʋ ə s
वानर	ʋ a n ə ɾ
वापरणे	ʋ a p ə ɾ ɳ e
वायदा	ʋ a j d̪ a
वायव्य	ʋ a j ə ʋ j ə
वायू	ʋ a j u
वार	ʋ a ɾ
वारणे	ʋ a ɾ ɳ e
वारणे	ʋ a ɾ ɳ ə
वारा	ʋ a ɾ a
वाळणे	ʋ a ɭ̆ ɳ e
वाळणे	ʋ a ɭ̆ ɳ ə
वाळवंट	ʋ a ɭ̆ ʋ ə ɳ ʈ ə
वाळवणे	ʋ a ɭ̆ ə ʋ ɳ e
वाळवणे	ʋ a ɭ̆ ə ʋ ɳ ə
वाळू	ʋ a ɭ̆ u
वास	ʋ a s
वास्तु	ʋ a s t̪ u
वाहक	ʋ a ɦ ə k
वाहणे	ʋ a ɦ ɳ e
वाहणे	ʋ a ɦ ɳ ə
वाहिका	ʋ a ɦ i k a
विंचरणे	ʋ i n t͡s ə ɾ ɳ e
विंचरणे	ʋ i n t͡s ə ɾ ɳ ə
विंचू	ʋ i n t͡s u
विखुरणे	ʋ i kʰ u ɾ ɳ e
विखुरणे	ʋ i kʰ u ɾ ɳ ə
विचार	ʋ i t͡ɕ a ɾ
विचारणे	ʋ i t͡ɕ a ɾ ɳ e
विचारणे	ʋ i t͡ɕ a ɾ ɳ ə
विजय	ʋ i d͡ʑ ə j
विज्ञान	ʋ i d͡ʑ n a n
विझणे	ʋ i d͡zʱ ɳ e
विझणे	ʋ i d͡zʱ ɳ ə
विझवणे	ʋ i d͡zʱ ə ʋ ɳ e
विझवणे	ʋ i d͡zʱ ə ʋ ɳ ə
विडूर	ʋ i ɖ u ɾ
वितरण	ʋ i t̪ ɾ ə ɳ
वितळणे	ʋ i t̪ ə ɭ̆ ɳ e
वितळणे	ʋ i t̪ ə ɭ̆ ɳ ə
विद्यालय	ʋ i d̪ j a l ə j
विनंती	ʋ i n ə n t̪ i
विमान	ʋ i m a n
विमानतळ	ʋ i m a n t̪ ə ɭ̆
विमाने	ʋ i m a n e
विमाने	ʋ i m a n ə
विलायत	ʋ i l a j ə t̪
विशिष्ट	ʋ i ɕ i ʂ ʈ ə
विशेष	ʋ i ɕ e ʂ
विशेषण	ʋ i ɕ e ʂ ə ɳ
विश्व	ʋ i ɕ ʋ ə
विष	ʋ i ʂ
विषाणू	ʋ i ʂ a ɳ u
विषारी	ʋ i ʂ a ɾ i
विषारीपणा	ʋ i ʂ a ɾ i p ə ɳ a
विसरणे	ʋ i s ə ɾ ɳ e
विसरणे	ʋ i s ə ɾ ɳ ə
विसळणे	ʋ i s ə ɭ̆ ɳ e
विसळणे	ʋ i s ə ɭ̆ ɳ ə
विस्कटणे	ʋ i s k ə ʈ ɳ e
विस्कटणे	ʋ i s k ə ʈ ɳ ə
विहीर	ʋ i ɦ i ɾ
वीज	ʋ i d͡z
वीट	ʋ i ʈ
वीस	ʋ i s
वृक्ष	ʋ ɾ u k ʂ ə
वृश्चिक	ʋ ɾ u ɕ t͡ɕ i k
वृषभ	ʋ ɾ u ʂ ə bʱ
वेगळे	ʋ e ɡ ɭ̆ e
वेगळेपण	ʋ e ɡ ɭ̆ e p ə ɳ
वेधणे	ʋ e d̪ʱ ɳ e
वेधणे	ʋ e d̪ʱ ɳ ə
वेलची	ʋ e l t͡ɕ i
वेळ	ʋ e ɭ̆
वैज्ञानिक	ʋ ə i d͡ʑ n a n i k
वैतागणे	ʋ ə i t̪ a ɡ ɳ e
वैतागणे	ʋ ə i t̪ a ɡ ɳ ə
वैध	ʋ ə i d̪ʱ
व्यक्ती	ʋ j ə k t̪ i
व्यवसाय	ʋ j ə ʋ s a j
व्याकरण	ʋ j a k ɾ ə ɳ
व्याख्या	ʋ j a kʰ j a
व्याही	ʋ j a ɦ i
व्रण	ʋ ɾ ə ɳ
व्हियेतनाम	ʋʱ i j e t̪ n a m
श	ɕ ə
शंभर	ɕ ə m bʱ ə ɾ
शकणे	ɕ ə k ɳ e
शक्ती	ɕ ə k t̪ i
शक्य	ɕ ə k j ə
शत्रू	ɕ ə t̪ ɾ u
शनिवार	ɕ ə n i ʋ a ɾ
शब्द	ɕ ə b d̪ ə
शब्दकोश	ɕ ə b d̪ ə k o ɕ
शब्दकोष	ɕ ə b d̪ ə k o ʂ
शरम	ɕ ə ɾ ə m
शरीर	ɕ ə ɾ i ɾ
शर्करा	ɕ ə ɾ k ə ɾ a
शर्मा	ɕ ə ɾ m a
शहर	ɕ ə ɦ ə ɾ
शहरी	ɕ ə ɦ ɾ i
शहा	ɕ ə ɦ a
शांत	ɕ a n t̪ ə
शाबास	ɕ a b a s
शाब्दिक	ɕ a b d̪ i k
शाल	ɕ a l
शाळा	ɕ a ɭ̆ a
शास्त्र	ɕ a s t̪ ɾ ə
शास्त्रज्ञ	ɕ a s t̪ ɾ ə d͡ʑ n ə
शाहीर	ɕ a ɦ i ɾ
शिंक	ɕ i ŋ k ə
शिंकणे	ɕ i ŋ k ɳ e
शिंकणे	ɕ i ŋ k ɳ ə
शिंग	ɕ i ŋ ɡ ə
शिंतोडा	ɕ i n t̪ o ɖ a
शिंपडणे	ɕ i m p ə ɖ ɳ e
शिंपडणे	ɕ i m p ə ɖ ɳ ə
शिकणे	ɕ i k ɳ e
शिकणे	ɕ i k ɳ ə
शिकवणे	ɕ i k ə ʋ ɳ e
शिकवणे	ɕ i k ə ʋ ɳ ə
शिक्का	ɕ i k k a
शिक्षक	ɕ i k ʂ ə k
शिक्षण	ɕ i k ʂ ə ɳ
शिक्षा	ɕ i k ʂ a
शिक्षिका	ɕ i k ʂ i k a
शिजणे	ɕ i d͡z ɳ e
शिजणे	ɕ i d͡z ɳ ə
शिट्टी	ɕ i ʈ ʈ i
शिफारस	ɕ i pʰ a ɾ ə s
शिर्डी	ɕ i ɾ ɖ i
शिला	ɕ i l a
शिळे	ɕ i ɭ̆ e
शिळे	ɕ i ɭ̆ ə
शीर	ɕ i ɾ
शुक्रवार	ɕ u k ɾ ə ʋ a ɾ
शुद्ध	ɕ u d̪ d̪ʱ ə
शुश्रूषा	ɕ u ɕ ɾ u ʂ a
शेंडी	ɕ e ɳ ɖ i
शेकणे	ɕ e k ɳ e
शेकणे	ɕ e k ɳ ə
शेजारी	ɕ e d͡z a ɾ i
शेट	ɕ e ʈ
शेण	ɕ e ɳ
शेत	ɕ e t̪
शेतकरी	ɕ e t̪ ə k ɾ i
शेपटा	ɕ e p ʈ a
शेळी	ɕ e ɭ̆ i
शेवट	ɕ e ʋ ə ʈ
शेहेचाळीस	ɕ e ɦ e t͡ɕ a ɭ̆ i s
शैक्षणिक	ɕ ə i k ʂ ə ɳ i k
शोध	ɕ o d̪ʱ
शोभणे	ɕ o bʱ ɳ e
शोभणे	ɕ o bʱ ɳ ə
शोषण	ɕ o ʂ ə ɳ
शोषणे	ɕ o ʂ ɳ e
श्री	ɕ ɾ i
श्रीमंत	ɕ ɾ i m ə n t̪ ə
ष	ʂ ə
स	s ə
संकेतस्थळ	s ə ŋ k e t̪ ə s t̪ʰ ə ɭ̆
संकेतस्थळे	s ə ŋ k e t̪ ə s t̪ʰ ə ɭ̆ e
संकेतस्थळे	s ə ŋ k e t̪ ə s t̪ʰ ə ɭ̆ ə
संख्या	s ə ŋ kʰ j a
संगम	s ə ŋ ɡ ə m
संगीतकार	s ə ŋ ɡ i t̪ k a ɾ
संघ	s ə ŋ ɡʱ ə
संघटना	s ə ŋ ɡʱ ə ʈ n a
संदेश	s ə n d̪ e ɕ
संपणे	s ə m p ɳ e
संपणे	s ə m p ɳ ə
संभवणे	s ə m bʱ ə ʋ ɳ e
संभवणे	s ə m bʱ ə ʋ ɳ ə
संभाळणे	s ə m bʱ a ɭ̆ ɳ e
संभाळणे	s ə m bʱ a ɭ̆ ɳ ə
संवाद	s ə u ʋ a d̪
संस्कृत	s ə u s k ɾ u t̪
संहार	s ə u ɦ a ɾ
सकाळ	s ə k a ɭ̆
सक्त	s ə k t̪ ə
सगळे	s ə ɡ ɭ̆ e
सगळे	s ə ɡ ɭ̆ ə
सजवणे	s ə d͡z ə ʋ ɳ e
सजवणे	s ə d͡z ə ʋ ɳ ə
सजीव	s ə d͡ʑ i ʋ
सज्ज	s ə d͡ʑ d͡ʑ ə
सटकणे	s ə ʈ ə k ɳ e
सटकणे	s ə ʈ ə k ɳ ə
सडणे	s ə ɖ ɳ e
सडणे	s ə ɖ ɳ ə
सण	s ə ɳ
सतरा	s ə t̪ ɾ a
सतावणे	s ə t̪ a ʋ ɳ e
सतावणे	s ə t̪ a ʋ ɳ ə
सत्तावीस	s ə t̪ t̪ a ʋ i s
सत्तेचाळीस	s ə t̪ t̪ e t͡ɕ a ɭ̆ i s
सदतीस	s ə d̪ t̪ i s
सप्टेंबर	s ə p ʈ e m b ə ɾ
सफरचंद	s ə pʰ ə ɾ t͡ɕ ə n d̪ ə
सफरचंदे	s ə pʰ ə ɾ t͡ɕ ə n d̪ e
सफरचंदे	s ə pʰ ə ɾ t͡ɕ ə n d̪ ə
सफेद	s ə pʰ e d̪
सबब	s ə b ə b
सभा	s ə bʱ a
समजणे	s ə m ə d͡z ɳ e
समजणे	s ə m ə d͡z ɳ ə
समाजवाद	s ə m a d͡ʑ ʋ a d̪
समाजवादी	s ə m a d͡ʑ ʋ a d̪ i
समोर	s ə m o ɾ
सम्मुख	s ə m m u kʰ
सरकणे	s ə ɾ ə k ɳ e
सरकणे	s ə ɾ ə k ɳ ə
सरकार	s ə ɾ k a ɾ
सरकारी	s ə ɾ k a ɾ i
सरकारे	s ə ɾ k a ɾ e
सरकारे	s ə ɾ k a ɾ ə
सरणे	s ə ɾ ɳ e
सरणे	s ə ɾ ɳ ə
सरहद्द	s ə ɾ ɦ ə d̪ d̪ ə
सराफ	s ə ɾ a pʰ
सरोवर	s ə ɾ o ʋ ə ɾ
सर्प	s ə ɾ p ə
सल	s ə l
सलणे	s ə l ɳ e
सलणे	s ə l ɳ ə
सलाम	s ə l a m
सल्लागार	s ə l l a ɡ a ɾ
सवत	s ə ʋ ə t̪
सवय	s ə ʋ ə j
सव्वीस	s ə ʋ ʋ i s
सव्हाना	s ə ʋʱ a n a
ससा	s ə s a
ससाणा	s ə s a ɳ a
सहज	s ə ɦ ə d͡z
सहनशीलता	s ə ɦ n ə ɕ i l t̪ a
सहल	s ə ɦ ə l
सहा	s ə ɦ a
सांगणे	s a ŋ ɡ ɳ e
सांगणे	s a ŋ ɡ ɳ ə
सांज	s a n d͡z
सांडणे	s a ɳ ɖ ə ɳ e
सांडणे	s a ɳ ɖ ə ɳ ə
सांधणे	s a n d̪ʱ ə ɳ e
सांधणे	s a n d̪ʱ ə ɳ ə
सांबार	s a m b a ɾ
साखर	s a kʰ ə ɾ
साखळी	s a kʰ ɭ̆ i
साचणे	s a t͡s ɳ e
साचणे	s a t͡s ɳ ə
साठ	s a ʈʰ
साठणे	s a ʈʰ ɳ e
साठणे	s a ʈʰ ɳ ə
साडी	s a ɖ i
साडू	s a ɖ u
सात	s a t̪
साधणे	s a d̪ʱ ɳ e
साधणे	s a d̪ʱ ɳ ə
साधे	s a d̪ʱ e
साधे	s a d̪ʱ ə
साधेपणा	s a d̪ʱ e p ɳ a
साप	s a p
सामना	s a m n a
सामान	s a m a n
सामान्य	s a m a n j ə
सामावणे	s a m a ʋ ɳ e
सामावणे	s a m a ʋ ɳ ə
साम्यवाद	s a m j ə ʋ a d̪
साम्यवादी	s a m j ə ʋ a d̪ i
सायप्रस	s a j ə p ɾ ə s
सार	s a ɾ
सारणी	s a ɾ ɳ i
सारण्या	s a ɾ ə ɳ j a
साल	s a l
साली	s a l i
साळ	s a ɭ̆
सासू	s a s u
साहित्य	s a ɦ i t̪ j ə
सिंगापूर	s i ŋ ɡ a p u ɾ
सिंह	s i u ɦ ə
सुंदर	s u n d̪ ə ɾ
सुईण	s u i ɳ
सुकणे	s u k ɳ e
सुकणे	s u k ɳ ə
सुकवणे	s u k ə ʋ ɳ e
सुकवणे	s u k ə ʋ ɳ ə
सुचणे	s u t͡s ɳ e
सुचणे	s u t͡s ɳ ə
सुचवणे	s u t͡s ə ʋ ɳ e
सुचवणे	s u t͡s ə ʋ ɳ ə
सुजणे	s u d͡z ɳ e
सुजणे	s u d͡z ɳ ə
सुटणे	s u ʈ ɳ e
सुटणे	s u ʈ ɳ ə
सुटे	s u ʈ e
सुटे	s u ʈ ə
सुद्धा	s u d̪ d̪ʱ a
सुनावणे	s u n a ʋ ɳ e
सुनावणे	s u n a ʋ ɳ ə
सुपारी	s u p a ɾ i
सुभा	s u bʱ a
सुरू	s u ɾ u
सुस्ती	s u s t̪ i
सूड	s u ɖ
सूत	s u t̪
सूर्य	s u ɾ j ə
सूर्यकिरण	s u ɾ j ə k i ɾ ə ɳ
सूर्यमाला	s u ɾ j ə m a l a
सूर्यास्त	s u ɾ j a s t̪ ə
सूर्योदय	s u ɾ j o d̪ ə j
सेटिंग	s e ʈ i ŋ ɡ ə
सैल	s ə i l
सोंग	s o ŋ ɡ ə
सोडचे	s o ɖ t͡ɕ e
सोडचे	s o ɖ t͡ɕ ə
सोडणे	s o ɖ ɳ e
सोडणे	s o ɖ ɳ ə
सोडवणे	s o ɖ ə ʋ ɳ e
सोडवणे	s o ɖ ə ʋ ɳ ə
सोने	s o n e
सोने	s o n ə
सोनेरी	s o n e ɾ i
सोपवणे	s o p ə ʋ ɳ e
सोपवणे	s o p ə ʋ ɳ ə
सोपे	s o p e
सोमवार	s o m ʋ a ɾ
सोलापूर	s o l a p u ɾ
सोळा	s o ɭ̆ a
सोसणे	s o s ɳ e
सोसणे	s o s ɳ ə
सोहळा	s o ɦ ɭ̆ a
स्तन	s t̪ ə n
स्त्रीलिंग	s t̪ ɾ i l i ŋ ɡ ə
स्त्रीवाद	s t̪ ɾ i ʋ a d̪
स्थळ	s t̪ʰ ə ɭ̆
स्थान	s t̪ʰ a n
स्थानक	s t̪ʰ a n ə k
स्थाने	s t̪ʰ a n e
स्थाने	s t̪ʰ a n ə
स्थिती	s t̪ʰ i t̪ i
स्थिर	s t̪ʰ i ɾ
स्पष्टीकरण	s p ə ʂ ʈ i k ə ɾ ə ɳ
स्वच्छ	s ʋ ə t͡ɕ t͡ɕʰ ə
स्वच्छता	s ʋ ə t͡ɕ t͡ɕʰ ə t̪ a
स्वतः	s ʋ ə t̪ əʰ
स्वप्न	s ʋ ə p n ə
स्वप्ने	s ʋ ə p n e
स्वप्ने	s ʋ ə p n ə
स्वराज्य	s ʋ ə ɾ a d͡ʑ j ə
स्वस्त	s ʋ ə s t̪ ə
स्वातंत्र्य	s ʋ a t̪ ə n t̪ ɾ j ə
स्वार	s ʋ a ɾ
स्वीकारणे	s ʋ i k a ɾ ɳ e
स्वीकारणे	s ʋ i k a ɾ ɳ ə
ह	ɦ ə
हंस	ɦ ə u s ə
हक्क	ɦ ə k k ə
हगणे	ɦ ə ɡ ɳ e
हगणे	ɦ ə ɡ ɳ ə
हजार	ɦ ə d͡z a ɾ
हत्यार	ɦ ə t̪ j a ɾ
हद्द	ɦ ə d̪ d̪ ə
हरकत	ɦ ə ɾ k ə t̪
हरणे	ɦ ə ɾ ɳ e
हरणे	ɦ ə ɾ ɳ ə
हलवा	ɦ ə l ʋ a
हल्ला	ɦ ə l l a
हल्ली	ɦ ə l l i
हळू	ɦ ə ɭ̆ u
हवा	ɦ ə ʋ a
हसणे	ɦ ə s ɳ e
हसणे	ɦ ə s ɳ ə
हा	ɦ a
हाक	ɦ a k
हाकलणे	ɦ a k ə l ɳ e
हाकलणे	ɦ a k ə l ɳ ə
हाड	ɦ a ɖ
हाणणे	ɦ a ɳ ɳ e
हाणणे	ɦ a ɳ ɳ ə
हात	ɦ a t̪
हातोडा	ɦ a t̪ o ɖ a
हार	ɦ a ɾ
हाल	ɦ a l
हालणे	ɦ a l ɳ e
हालणे	ɦ a l ɳ ə
हिंग	ɦ i ŋ ɡ ə
हिंडणे	ɦ i ɳ ɖ ə ɳ e
हिंडणे	ɦ i ɳ ɖ ə ɳ ə
हिंदी	ɦ i n d̪ i
हिंदुस्थान	ɦ i n d̪ u s t̪ʰ a n
हिंदू	ɦ i n d̪ u
हिजडा	ɦ i d͡ʑ ɖ a
हिरा	ɦ i ɾ a
हिवाळा	ɦ i ʋ a ɭ̆ a
हिवाळी	ɦ i ʋ a ɭ̆ i
हिसकणे	ɦ i s ə k ɳ e
हिसकणे	ɦ i s ə k ɳ ə
हिसकावणे	ɦ i s k a ʋ ɳ e
हिसकावणे	ɦ i s k a ʋ ɳ ə
ही	ɦ i
हुतात्मा	ɦ u t̪ a t̪ m a
हुद्दा	ɦ u d̪ d̪ a
हुशार	ɦ u ɕ a ɾ
हृदय	ɦ ɾ u d̪ ə j
हृदये	ɦ ɾ u d̪ j e
हृदये	ɦ ɾ u d̪ j ə
हृद्गत	ɦ ɾ u d̪ ɡ ə t̪
हे	ɦ e
हेतू	ɦ e t̪ u
हेम	ɦ e m
हेर	ɦ e ɾ
हेरणे	ɦ e ɾ ɳ e
हेरणे	ɦ e ɾ ɳ ə
हेलगा	ɦ e l ɡ a
हेवा	ɦ e ʋ a
हैदराबाद	ɦ ə i d̪ ɾ a b a d̪
हैराण	ɦ ə i ɾ a ɳ
हो	ɦ o
होडी	ɦ o ɖ i
होणे	ɦ o ɳ e
होणे	ɦ o ɳ ə
होता	ɦ o t̪ a
होती	ɦ o t̪ i
होते	ɦ o t̪ e
होय	ɦ o j
होळी	ɦ o ɭ̆ i
हौस	ɦ ə u s
ॲ	æ
