ア	a̠
パレオ	p a̠ ɾ e̞ o̞
パレット	p a̠ ɾ e̞ t̚ t o̞
パレンバン	p a̠ ɾ ẽ̞ m b ã̠ ɴ
パレード	p a̠ ɾ e̞ː d o̞
パロ	p a̠ ɾ o̞
パン	p ã̠ ɴ
パンイチ	p ã̠ ɰ̃ i t͡ɕ i
パンケーキ	p ã̠ ŋ k e̞ː kʲ i
パンジー	p ã̠ ɲ̟ d͡ʑ iː
パンソリ	p ã̠ ɰ̃ s o̞ ɾʲ i
パンタロン	p ã̠ n t a̠ ɾ õ̞ ɴ
パンダ	p ã̠ n d a̠
パンチ	p ã̠ ɲ̟ t͡ɕ i
パンチャン	p ã̠ ɲ̟ t͡ɕ ã̠ ɴ
パンチラ	p ã̠ ɲ̟ t͡ɕ i ɾ a̠
パント	p ã̠ n t o̞
パンドラ	p ã̠ n d o̞ ɾ a̠
パンドーラー	p ã̠ n d o̞ː ɾ a̠ː
パンパン	p ã̠ m p ã̠ ɴ
パンパンガ	p ã̠ m p ã̠ ŋ ɡ a̠
パンピー	p ã̠ m pʲ iː
パンヤ	p ã̠ ɰ̃ j a̠
パー	p a̠ː
パーカ	p a̠ː k a̠
パーカッション	p a̠ː k a̠ ɕː õ̞ ɴ
パーカー	p a̠ː k a̠ː
パーサー	p a̠ː s a̠ː
パーセンテージ	p a̠ː s ẽ̞ n t e̞ː ʑ i
パーセント	p a̠ː s ẽ̞ n t o̞
パーテーション	p a̠ː t e̞ː ɕ õ̞ ɴ
パート	p a̠ː t o̞
パートナー	p a̠ː t o̞ n a̠ː
パーペキ	p a̠ː p e̞ kʲ i
パーマ	p a̠ː m a̠
パーマネント	p a̠ː m a̠ n ẽ̞ n t o̞
パーリナイ	p a̠ː ɾʲ i n a̠ i
パーリーピーポー	p a̠ː ɾʲ iː pʲ iː p o̞ː
パーレン	p a̠ː ɾ ẽ̞ ɴ
ヒ	ç i
ヒアリ	ç i a̠ ɾʲ i
ヒェ	ç e̞
ヒット	ç i̥ t̚ t o̞
ヒトカラ	ç i t o̞ k a̠ ɾ a̠
ヒトヒト	ç i t o̞ ç i t o̞
ヒトラー	ç i t o̞ ɾ a̠ː
ヒドラ	ç i d o̞ ɾ a̠
ヒドラジン	ç i d o̞ ɾ a̠ ʑ ĩ ɴ
ヒドラゾン	ç i d o̞ ɾ a̠ z õ̞ ɴ
ヒマラヤン	ç i m a̠ ɾ a̠ j ã̠ ɴ
ヒモ	ç i m o̞
ヒャ	ç a̠
ヒョ	ç o̞
ヒョン	ç õ̞ ɴ
ヒロイン	ç i ɾ o̞ ĩ ɴ
ヒロシマ	ç i ɾ o̞ ɕ i m a̠
ヒロポン	ç i ɾ o̞ p õ̞ ɴ
ヒント	ç ĩ n t o̞
ヒーター	ç iː t a̠ː
ヒーラー	ç iː ɾ a̠ː
ヒーロー	ç iː ɾ o̞ː
ビ	bʲ i
ビアン	bʲ i ã̠ ɴ
ビェ	bʲ e̞
ビェンチャン	bʲ ẽ̞ ɲ̟ t͡ɕ ã̠ ɴ
ビエンチャン	bʲ i ẽ̞ ɲ̟ t͡ɕ ã̠ ɴ
ビオチン	bʲ i o̞ t͡ɕ ĩ ɴ
ビオラ	bʲ i o̞ ɾ a̠
ビガン	bʲ i ɡ ã̠ ɴ
ビキニ	bʲ i kʲ i ɲ̟ i
ビギナー	bʲ i ɡʲ i n a̠ː
ビジホ	bʲ i ʑ i h o̞
ビジョン	bʲ i ʑ õ̞ ɴ
ビタミン	bʲ i t a̠ mʲ ĩ ɴ
ビッチ	bʲ i t̚ t͡ɕ i
ビット	bʲ i t̚ t o̞
ビットコイン	bʲ i t̚ t o̞ k o̞ ĩ ɴ
ビットレート	bʲ i t̚ t o̞ ɾ e̞ː t o̞
ビデ	bʲ i d e̞
ビデオ	bʲ i d e̞ o̞
ビデオゲーマー	bʲ i d e̞ o̞ ɡ e̞ː m a̠ː
ビデオデッキ	bʲ i d e̞ o̞ d e̞ k̚ʲ kʲ i
ビドア	bʲ i d o̞ a̠
ビバ	bʲ i b a̠
ビビンバ	bʲ i bʲ ĩ m b a̠
ビフォー	bʲ i ɸ o̞ː
ビャ	bʲ a̠
ビョ	bʲ o̞
ビラ	bʲ i ɾ a̠
ビリオネア	bʲ i ɾʲ i o̞ n e̞ a̠
ビリヤード	bʲ i ɾʲ i j a̠ː d o̞
ビロード	bʲ i ɾ o̞ː d o̞
ビンゴ	bʲ ĩ ŋ ɡ o̞
ビー	bʲ iː
ビーカー	bʲ iː k a̠ː
ビーコン	bʲ iː k õ̞ ɴ
ビーサン	bʲ iː s ã̠ ɴ
ビーチ	bʲ iː t͡ɕ i
ビーチバレー	bʲ iː t͡ɕ i b a̠ ɾ e̞ː
ビート	bʲ iː t o̞
ビードロ	bʲ iː d o̞ ɾ o̞
ビーバー	bʲ iː b a̠ː
ピ	pʲ i
ピアニカ	pʲ i a̠ ɲ̟ i k a̠
ピアノ	pʲ i a̠ n o̞
ピェ	pʲ e̞
ピエロ	pʲ i e̞ ɾ o̞
ピカソ	pʲ i k a̠ s o̞
ピコハン	pʲ i k o̞ h ã̠ ɴ
ピザ	pʲ i z a̠
ピジン	pʲ i ʑ ĩ ɴ
ピセン	pʲ i s ẽ̞ ɴ
ピタ	pʲ i t a̠
ピチカート	pʲ i t͡ɕ i k a̠ː t o̞
ピッコロ	pʲ i k̚ k o̞ ɾ o̞
ピッチ	pʲ i t̚ t͡ɕ i
ピッチャー	pʲ i̥ t̚ t͡ɕ a̠ː
ピッツァ	pʲ i t̚ t͡s a̠
ピネン	pʲ i n ẽ̞ ɴ
ピパーチ	pʲ i p a̠ː t͡ɕ i
ピペット	pʲ i p e̞ t̚ t o̞
ピペラジン	pʲ i p e̞ ɾ a̠ ʑ ĩ ɴ
ピペリジン	pʲ i p e̞ ɾʲ i ʑ ĩ ɴ
ピャ	pʲ a̠
ピョ	pʲ o̞
ピラジン	pʲ i ɾ a̠ ʑ ĩ ɴ
ピラニア	pʲ i ɾ a̠ ɲ̟ i a̠
ピラニア・ナッテリー	pʲ i ɾ a̠ ɲ̟ i a̠ n a̠ t̚ t e̞ ɾʲ iː
ピラン	pʲ i ɾ ã̠ ɴ
ピリジン	pʲ i ɾʲ i ʑ ĩ ɴ
ピリダジン	pʲ i ɾʲ i d a̠ ʑ ĩ ɴ
ピリミジン	pʲ i ɾʲ i mʲ i ʑ ĩ ɴ
ピロシキ	pʲ i ɾ o̞ ɕ i kʲ i
ピン	pʲ ĩ ɴ
ピンセット	pʲ ĩ ɰ̃ s e̞ t̚ t o̞
ピンチ	pʲ ĩ ɲ̟ t͡ɕ i
ピンチケ	pʲ ĩ ɲ̟ t͡ɕ i k e̞
ピンチランナー	pʲ ĩ ɲ̟ t͡ɕ i ɾ ã̠ nː a̠ː
ピント	pʲ ĩ n t o̞
ピンポイント	pʲ ĩ m p o̞ ĩ n t o̞
ピー	pʲ iː
ピーター	pʲ iː t a̠ː
ピーチ	pʲ iː t͡ɕ i
ピードモント	pʲ iː d o̞ m õ̞ n t o̞
ピーポー	pʲ iː p o̞ː
ピーマン	pʲ iː m ã̠ ɴ
ピーラー	pʲ iː ɾ a̠ː
ファ	ɸ a̠
ファイ	ɸ a̠ i
ファイアサラマンダー	ɸ a̠ i a̠ s a̠ ɾ a̠ m ã̠ n d a̠ː
ファイター	ɸ a̠ i t a̠ː
ファイト	ɸ a̠ i t o̞
ファイヤー	ɸ a̠ i j a̠ː
ファインダー	ɸ a̠ ĩ n d a̠ː
ファキー	ɸ a̠ kʲ iː
ファゴット	ɸ a̠ ɡ o̞ t̚ t o̞
ファサード	ɸ a̠ s a̠ː d o̞
ファザコン	ɸ a̠ z a̠ k õ̞ ɴ
ファジー	ɸ a̠ ʑ iː
ファッキン	ɸ a̠ k̚ʲ kʲ ĩ ɴ
ファッション	ɸ a̠ ɕː õ̞ ɴ
ファッタ	ɸ a̠ t̚ t a̠
ファットマン	ɸ a̠ t̚ t o̞ m ã̠ ɴ
ファミカセ	ɸ a̠ mʲ i k a̠ s e̞
ファミコン	ɸ a̠ mʲ i k õ̞ ɴ
ファミマ	ɸ a̠ mʲ i m a̠
ファミリー	ɸ a̠ mʲ i ɾʲ iː
ファラオ	ɸ a̠ ɾ a̠ o̞
ファラド	ɸ a̠ ɾ a̠ d o̞
ファン	ɸ ã̠ ɴ
ファンアート	ɸ ã̠ ɰ̃ a̠ː t o̞
ファンサ	ɸ ã̠ ɰ̃ s a̠
ファンタジー	ɸ ã̠ n t a̠ ʑ iː
ファンデ	ɸ ã̠ n d e̞
ファンデーション	ɸ ã̠ n d e̞ː ɕ õ̞ ɴ
ファンド	ɸ ã̠ n d o̞
ファンマ	ɸ ã̠ mː a̠
ファヴェーラ	ɸ a̠ b e̞ː ɾ a̠
ファー	ɸ a̠ː
フェ	ɸ e̞
フェアガンゲンハイト	ɸ e̞ a̠ ɡ ã̠ ŋ ɡ ẽ̞ ɰ̃ h a̠ i t o̞
フェアリー	ɸ e̞ a̠ ɾʲ iː
フェイラー	ɸ e̞ː ɾ a̠ː
フェチ	ɸ e̞ t͡ɕ i
フェナジン	ɸ e̞ n a̠ ʑ ĩ ɴ
フェナントリジン	ɸ e̞ n ã̠ n t o̞ ɾʲ i ʑ ĩ ɴ
フェナントレン	ɸ e̞ n ã̠ n t o̞ ɾ ẽ̞ ɴ
フェニキア	ɸ e̞ ɲ̟ i kʲ i a̠
フェミ	ɸ e̞ mʲ i
フェラ	ɸ e̞ ɾ a̠
フェラチオ	ɸ e̞ ɾ a̠ t͡ɕ i o̞
フェリペ	ɸ e̞ ɾʲ i p e̞
フェリー	ɸ e̞ ɾʲ iː
フェレット	ɸ e̞ ɾ e̞ t̚ t o̞
フェロモン	ɸ e̞ ɾ o̞ m õ̞ ɴ
フォ	ɸ o̞
フォア	ɸ o̞ a̠
フォカッチャ	ɸ o̞ k a̠ t̚ t͡ɕ a̠
フォッサ	ɸ o̞ sː a̠
フォト	ɸ o̞ t o̞
フォトショ	ɸ o̞ t o̞ ɕ o̞
フォトダイオード	ɸ o̞ t o̞ d a̠ i o̞ː d o̞
フォトナ	ɸ o̞ t o̞ n a̠
フォノン	ɸ o̞ n õ̞ ɴ
フォロー	ɸ o̞ ɾ o̞ː
フォント	ɸ õ̞ n t o̞
フォー	ɸ o̞ː
フォートナイト	ɸ o̞ː t o̞ n a̠ i t o̞
フォーマット	ɸ o̞ː m a̠ t̚ t o̞
ヘ	h e̞
ヘア	h e̞ a̠
ヘアケア	h e̞ a̠ k e̞ a̠
ヘアネット	h e̞ a̠ n e̞ t̚ t o̞
ヘアバンド	h e̞ a̠ b ã̠ n d o̞
ヘアピン	h e̞ a̠ pʲ ĩ ɴ
ヘイター	h e̞ː t a̠ː
ヘキ	h e̞ kʲ i
ヘキサン	h e̞ kʲ i s ã̠ ɴ
ヘゲモニー	h e̞ ɡ e̞ m o̞ ɲ̟ iː
ヘッショ	h e̞ ɕː o̞
ヘドバン	h e̞ d o̞ b ã̠ ɴ
ヘビメタ	h e̞ bʲ i m e̞ t a̠
ヘビロテ	h e̞ bʲ i ɾ o̞ t e̞
ヘモ	h e̞ m o̞
ヘレネー	h e̞ ɾ e̞ n e̞ː
ヘロイン	h e̞ ɾ o̞ ĩ ɴ
ヘーラー	h e̞ː ɾ a̠ː
ベ	b e̞
ベイベー	b e̞ː b e̞ː
ベガ	b e̞ ɡ a̠
ベジタリアン	b e̞ ʑ i t a̠ ɾʲ i ã̠ ɴ
ベット	b e̞ t̚ t o̞
ベテラン	b e̞ t e̞ ɾ ã̠ ɴ
ベトコン	b e̞ t o̞ k õ̞ ɴ
ベトン	b e̞ t õ̞ ɴ
ベナン	b e̞ n ã̠ ɴ
ベニヤミン	b e̞ ɲ̟ i j a̠ mʲ ĩ ɴ
ベニン	b e̞ ɲ̟ ĩ ɴ
ベネチア	b e̞ n e̞ t͡ɕ i a̠
ベネチヤ	b e̞ n e̞ t͡ɕ i j a̠
ベビー	b e̞ bʲ iː
ベビーシッター	b e̞ bʲ iː ɕ i t̚ t a̠ː
ベレンコ	b e̞ ɾ ẽ̞ ŋ k o̞
ベレー	b e̞ ɾ e̞ː
ベンジャミン	b ẽ̞ ɲ̟ d͡ʑ a̠ mʲ ĩ ɴ
ベンジン	b ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
ベンゼン	b ẽ̞ n d͡z ẽ̞ ɴ
ベンチ	b ẽ̞ ɲ̟ t͡ɕ i
ベンチコート	b ẽ̞ ɲ̟ t͡ɕ i k o̞ː t o̞
ベンチャー	b ẽ̞ ɲ̟ t͡ɕ a̠ː
ベーコン	b e̞ː k õ̞ ɴ
ベータ	b e̞ː t a̠
ベータカロチン	b e̞ː t a̠ k a̠ ɾ o̞ t͡ɕ ĩ ɴ
ベータカロテン	b e̞ː t a̠ k a̠ ɾ o̞ t ẽ̞ ɴ
ベートーベン	b e̞ː t o̞ː b ẽ̞ ɴ
ベートーヴェン	b e̞ː t o̞ː b ẽ̞ ɴ
ペ	p e̞
ペア	p e̞ a̠
ペイ	p e̞ː
ペイント	p e̞ ĩ n t o̞
ペケ	p e̞ k e̞
ペソ	p e̞ s o̞
ペタビット	p e̞ t a̠ bʲ i t̚ t o̞
ペチコート	p e̞ t͡ɕ i k o̞ː t o̞
ペチャパイ	p e̞ t͡ɕ a̠ p a̠ i
ペッカリー	p e̞ k̚ k a̠ ɾʲ iː
ペット	p e̞ t̚ t o̞
ペテロ	p e̞ t e̞ ɾ o̞
ペテン	p e̞ t ẽ̞ ɴ
ペトロ	p e̞ t o̞ ɾ o̞
ペドメーター	p e̞ d o̞ m e̞ː t a̠ː
ペドロ	p e̞ d o̞ ɾ o̞
ペナ	p e̞ n a̠
ペニー	p e̞ ɲ̟ iː
ペパロニ	p e̞ p a̠ ɾ o̞ ɲ̟ i
ペパーミント	p e̞ p a̠ː mʲ ĩ n t o̞
ペビバイト	p e̞ bʲ i b a̠ i t o̞
ペビビット	p e̞ bʲ i bʲ i t̚ t o̞
ペヘレイ	p e̞ h e̞ ɾ e̞ː
ペラ	p e̞ ɾ a̠
ペライチ	p e̞ ɾ a̠ i t͡ɕ i
ペリカン	p e̞ ɾʲ i k ã̠ ɴ
ペリドット	p e̞ ɾʲ i d o̞ t̚ t o̞
ペリー	p e̞ ɾʲ iː
ペン	p ẽ̞ ɴ
ペンキ	p ẽ̞ ŋʲ kʲ i
ペンギン	p ẽ̞ ŋʲ ɡʲ ĩ ɴ
ペンション	p ẽ̞ ɰ̃ ɕ õ̞ ɴ
ペンタゴン	p ẽ̞ n t a̠ ɡ õ̞ ɴ
ペンダント	p ẽ̞ n d ã̠ n t o̞
ペンチ	p ẽ̞ ɲ̟ t͡ɕ i
ページ	p e̞ː ʑ i
ページェント	p e̞ː ʑ ẽ̞ n t o̞
ペーネロペー	p e̞ː n e̞ ɾ o̞ p e̞ː
ペーパー	p e̞ː p a̠ː
ペーロン	p e̞ː ɾ õ̞ ɴ
ホ	h o̞
ホエイ	h o̞ e̞ː
ホエー	h o̞ e̞ː
ホキ	h o̞ kʲ i
ホッケー	h o̞ k̚ k e̞ː
ホット	h o̞ t̚ t o̞
ホットキー	h o̞ t̚ t o̞ kʲ iː
ホットケーキ	h o̞ t̚ t o̞ k e̞ː kʲ i
ホットチョコ	h o̞ t̚ t o̞ t͡ɕ o̞ k o̞
ホットチョコレート	h o̞ t̚ t o̞ t͡ɕ o̞ k o̞ ɾ e̞ː t o̞
ホニアラ	h o̞ ɲ̟ i a̠ ɾ a̠
ホバート	h o̞ b a̠ː t o̞
ホビット	h o̞ bʲ i t̚ t o̞
ホモ	h o̞ m o̞
ホモビ	h o̞ m o̞ bʲ i
ホモフォビア	h o̞ m o̞ ɸ o̞ bʲ i a̠
ホラント	h o̞ ɾ ã̠ n t o̞
ホラー	h o̞ ɾ a̠ː
ホン	h õ̞ ɴ
ホータン	h o̞ː t ã̠ ɴ
ホーマー	h o̞ː m a̠ː
ホーミー	h o̞ː mʲ iː
ホーメイ	h o̞ː m e̞ː
ボ	b o̞
ボイコット	b o̞ i k o̞ t̚ t o̞
ボイチェン	b o̞ i t͡ɕ ẽ̞ ɴ
ボイトレ	b o̞ i t o̞ ɾ e̞
ボイパ	b o̞ i p a̠
ボイン	b o̞ ĩ ɴ
ボウラー	b o̞ː ɾ a̠ː
ボカロ	b o̞ k a̠ ɾ o̞
ボキャ	b o̞ kʲ a̠
ボコーダー	b o̞ k o̞ː d a̠ː
ボゴタ	b o̞ ɡ o̞ t a̠
ボソン	b o̞ s õ̞ ɴ
ボタン	b o̞ t ã̠ ɴ
ボッチャ	b o̞ t̚ t͡ɕ a̠
ボット	b o̞ t̚ t o̞
ボドイ	b o̞ d o̞ i
ボドゲ	b o̞ d o̞ ɡ e̞
ボノボ	b o̞ n o̞ b o̞
ボビー	b o̞ bʲ iː
ボヘミア	b o̞ h e̞ mʲ i a̠
ボポモフォ	b o̞ p o̞ m o̞ ɸ o̞
ボリシェヴィキ	b o̞ ɾʲ i ɕ e̞ bʲ i kʲ i
ボリビア	b o̞ ɾʲ i bʲ i a̠
ボロネーゼ	b o̞ ɾ o̞ n e̞ː z e̞
ボンデージ	b õ̞ n d e̞ː ʑ i
ボンド	b õ̞ n d o̞
ボンベ	b õ̞ m b e̞
ボンベイ	b õ̞ m b e̞ː
ボンボン	b õ̞ m b õ̞ ɴ
ボー	b o̞ː
ボーイ	b o̞ː i
ボーキサイト	b o̞ː kʲ i̥ s a̠ i t o̞
ボータイ	b o̞ː t a̠ i
ボーダー	b o̞ː d a̠ː
ボート	b o̞ː t o̞
ボード	b o̞ː d o̞
ボーロ	b o̞ː ɾ o̞
ポ	p o̞
ポア	p o̞ a̠
ポアント	p o̞ ã̠ n t o̞
ポイベー	p o̞ i b e̞ː
ポインター	p o̞ ĩ n t a̠ː
ポイント	p o̞ ĩ n t o̞
ポエジー	p o̞ e̞ ʑ iː
ポエマー	p o̞ e̞ m a̠ː
ポカ	p o̞ k a̠
ポカヨケ	p o̞ k a̠ j o̞ k e̞
ポキ	p o̞ kʲ i
ポケ	p o̞ k e̞
ポケット	p o̞ k e̞ t̚ t o̞
ポケモン	p o̞ k e̞ m õ̞ ɴ
ポシェット	p o̞ ɕ e̞ t̚ t o̞
ポジ	p o̞ ʑ i
ポジション	p o̞ ʑ i ɕ õ̞ ɴ
ポット	p o̞ t̚ t o̞
ポテサラ	p o̞ t e̞ s a̠ ɾ a̠
ポテチ	p o̞ t e̞ t͡ɕ i
ポテト	p o̞ t e̞ t o̞
ポテンショメータ	p o̞ t ẽ̞ ɰ̃ ɕ o̞ m e̞ː t a̠
ポニー	p o̞ ɲ̟ iː
ポピー	p o̞ pʲ iː
ポマード	p o̞ m a̠ː d o̞
ポリ	p o̞ ɾʲ i
ポリアンドリー	p o̞ ɾʲ i ã̠ n d o̞ ɾʲ iː
ポリエチレン	p o̞ ɾʲ i e̞ t͡ɕ i ɾ ẽ̞ ɴ
ポリオ	p o̞ ɾʲ i o̞
ポリカーボネート	p o̞ ɾʲ i k a̠ː b o̞ n e̞ː t o̞
ポリガミー	p o̞ ɾʲ i ɡ a̠ mʲ iː
ポリコレ	p o̞ ɾʲ i k o̞ ɾ e̞
ポリシー	p o̞ ɾʲ i ɕ iː
ポリネシア	p o̞ ɾʲ i n e̞ ɕ i a̠
ポリメラーゼ	p o̞ ɾʲ i m e̞ ɾ a̠ː z e̞
ポロ	p o̞ ɾ o̞
ポンチ	p õ̞ ɲ̟ t͡ɕ i
ポンチョ	p õ̞ ɲ̟ t͡ɕ o̞
ポンド	p õ̞ n d o̞
ポンペイ	p õ̞ m p e̞ː
ポンポン	p õ̞ m p õ̞ ɴ
ポーカー	p o̞ː k a̠ː
ポーション	p o̞ː ɕ õ̞ ɴ
ポートフォリオ	p o̞ː t o̞ ɸ o̞ ɾʲ i o̞
ポートレート	p o̞ː t o̞ ɾ e̞ː t o̞
ポーモーナ	p o̞ː m o̞ː n a̠
ポーランド	p o̞ː ɾ ã̠ n d o̞
マ	m a̠
マイアミ	m a̠ i a̠ mʲ i
マイカー	m a̠ i k a̠ː
マイコン	m a̠ i k õ̞ ɴ
マイト	m a̠ i t o̞
マイナー	m a̠ i n a̠ː
マイレージ	m a̠ i ɾ e̞ː ʑ i
マイン	m a̠ ĩ ɴ
マインド	m a̠ ĩ n d o̞
マインドセット	m a̠ ĩ n d o̞ s e̞ t̚ t o̞
マカオ	m a̠ k a̠ o̞
マカロニ	m a̠ k a̠ ɾ o̞ ɲ̟ i
マカロン	m a̠ k a̠ ɾ õ̞ ɴ
マカー	m a̠ k a̠ː
マキシ	m a̠ kʲ i ɕ i
マケドニア	m a̠ k e̞ d o̞ ɲ̟ i a̠
マザコン	m a̠ z a̠ k õ̞ ɴ
マザー	m a̠ z a̠ː
マシマロ	m a̠ ɕ i m a̠ ɾ o̞
マシン	m a̠ ɕ ĩ ɴ
マジ	m a̠ ʑ i
マジェラン	m a̠ ʑ e̞ ɾ ã̠ ɴ
マジェランアイナメ	m a̠ ʑ e̞ ɾ ã̠ ɰ̃ a̠ i n a̠ m e̞
マジギレ	m a̠ ʑ i ɡʲ i ɾ e̞
マジシャン	m a̠ ʑ i ɕ ã̠ ɴ
マジタレ	m a̠ ʑ i t a̠ ɾ e̞
マジパン	m a̠ ʑ i p ã̠ ɴ
マゼラン	m a̠ z e̞ ɾ ã̠ ɴ
マゼンタ	m a̠ z ẽ̞ n t a̠
マゾ	m a̠ z o̞
マタイ	m a̠ t a̠ i
マタハラ	m a̠ t a̠ h a̠ ɾ a̠
マターリ	m a̠ t a̠ː ɾʲ i
マチェテ	m a̠ t͡ɕ e̞ t e̞
マッカーサー	m a̠ k̚ k a̠ː s a̠ː
マッコリ	m a̠ k̚ k o̞ ɾʲ i
マッサージ	m a̠ sː a̠ː ʑ i
マッチ	m a̠ t̚ t͡ɕ i
マッチョ	m a̠ t̚ t͡ɕ o̞
マット	m a̠ t̚ t o̞
マテガイ	m a̠ t e̞ ɡ a̠ i
マトン	m a̠ t õ̞ ɴ
マドラサ	m a̠ d o̞ ɾ a̠ s a̠
マドリード	m a̠ d o̞ ɾʲ iː d o̞
マドンナ	m a̠ d õ̞ nː a̠
マナ	m a̠ n a̠
マナーマ	m a̠ n a̠ː m a̠
マニア	m a̠ ɲ̟ i a̠
マニトバ	m a̠ ɲ̟ i t o̞ b a̠
マニラ	m a̠ ɲ̟ i ɾ a̠
マネ	m a̠ n e̞
マネキン	m a̠ n e̞ kʲ ĩ ɴ
マネジメント	m a̠ n e̞ ʑ i m ẽ̞ n t o̞
マネロン	m a̠ n e̞ ɾ õ̞ ɴ
マネー	m a̠ n e̞ː
マネージャー	m a̠ n e̞ː ʑ a̠ː
ママ	m a̠ m a̠
ママチャリ	m a̠ m a̠ t͡ɕ a̠ ɾʲ i
ママレード	m a̠ m a̠ ɾ e̞ː d o̞
マメイチ	m a̠ m e̞ː t͡ɕ i
マヨラー	m a̠ j o̞ ɾ a̠ː
マライシア	m a̠ ɾ a̠ i ɕ i a̠
マラソン	m a̠ ɾ a̠ s õ̞ ɴ
マラッカ	m a̠ ɾ a̠ k̚ k a̠
マラトン	m a̠ ɾ a̠ t õ̞ ɴ
マラヤ	m a̠ ɾ a̠ j a̠
マラリア	m a̠ ɾ a̠ ɾʲ i a̠
マラリヤ	m a̠ ɾ a̠ ɾʲ i j a̠
マリ	m a̠ ɾʲ i
マリア	m a̠ ɾʲ i a̠
マリオ	m a̠ ɾʲ i o̞
マリオネット	m a̠ ɾʲ i o̞ n e̞ t̚ t o̞
マリカ	m a̠ ɾʲ i k a̠
マリトッツォ	m a̠ ɾʲ i t o̞ t̚ t͡s o̞
マリネ	m a̠ ɾʲ i n e̞
マリファナ	m a̠ ɾʲ i ɸ a̠ n a̠
マリンバ	m a̠ ɾʲ ĩ m b a̠
マリー	m a̠ ɾʲ iː
マレット	m a̠ ɾ e̞ t̚ t o̞
マレー	m a̠ ɾ e̞ː
マレーシア	m a̠ ɾ e̞ː ɕ i a̠
マロン	m a̠ ɾ õ̞ ɴ
マン	m ã̠ ɴ
マンガン	m ã̠ ŋ ɡ ã̠ ɴ
マンション	m ã̠ ɰ̃ ɕ õ̞ ɴ
マンダラ	m ã̠ n d a̠ ɾ a̠
マンチ	m ã̠ ɲ̟ t͡ɕ i
マンデラ	m ã̠ n d e̞ ɾ a̠
マント	m ã̠ n t o̞
マントラ	m ã̠ n t o̞ ɾ a̠
マンネ	m ã̠ nː e̞
マンボ	m ã̠ m b o̞
マーカー	m a̠ː k a̠ː
マーガリン	m a̠ː ɡ a̠ ɾʲ ĩ ɴ
マーガレット	m a̠ː ɡ a̠ ɾ e̞ t̚ t o̞
マーケット	m a̠ː k e̞ t̚ t o̞
マーゲイ	m a̠ː ɡ e̞ː
マージ	m a̠ː ʑ i
マーダー	m a̠ː d a̠ː
マート	m a̠ː t o̞
マーマレード	m a̠ː m a̠ ɾ e̞ː d o̞
マーメイド	m a̠ː m e̞ː d o̞
マーメード	m a̠ː m e̞ː d o̞
マーモット	m a̠ː m o̞ t̚ t o̞
ミ	mʲ i
ミェ	mʲ e̞
ミキサー	mʲ i kʲ i̥ s a̠ː
ミサ	mʲ i s a̠
ミサンガ	mʲ i s ã̠ ŋ ɡ a̠
ミサンドリー	mʲ i s ã̠ n d o̞ ɾʲ iː
ミシガン	mʲ i ɕ i ɡ ã̠ ɴ
ミシシッピ	mʲ i ɕ i ɕ i p̚ʲ pʲ i
ミシン	mʲ i ɕ ĩ ɴ
ミソジニー	mʲ i s o̞ ʑ i ɲ̟ iː
ミッション	mʲ i ɕː õ̞ ɴ
ミット	mʲ i t̚ t o̞
ミトコンドリア	mʲ i t o̞ k õ̞ n d o̞ ɾʲ i a̠
ミトン	mʲ i t õ̞ ɴ
ミニ	mʲ i ɲ̟ i
ミニバン	mʲ i ɲ̟ i b ã̠ ɴ
ミニバー	mʲ i ɲ̟ i b a̠ː
ミニパト	mʲ i ɲ̟ i p a̠ t o̞
ミネソタ	mʲ i n e̞ s o̞ t a̠
ミミガー	mʲ i mʲ i ɡ a̠ː
ミャ	mʲ a̠
ミャンマー	mʲ ã̠ mː a̠ː
ミョ	mʲ o̞
ミラトレ	mʲ i ɾ a̠ t o̞ ɾ e̞
ミリオネア	mʲ i ɾʲ i o̞ n e̞ a̠
ミント	mʲ ĩ n t o̞
ミー	mʲ iː
ミーアキャット	mʲ iː a̠ kʲ a̠ t̚ t o̞
メ	m e̞
メアド	m e̞ a̠ d o̞
メアリー	m e̞ a̠ ɾʲ iː
メイ	m e̞ː
メイト	m e̞ i t o̞
メイド	m e̞ i d o̞
メイン	m e̞ ĩ ɴ
メカバレ	m e̞ k a̠ b a̠ ɾ e̞
メガビット	m e̞ ɡ a̠ bʲ i t̚ t o̞
メガホン	m e̞ ɡ a̠ h õ̞ ɴ
メガロマニア	m e̞ ɡ a̠ ɾ o̞ m a̠ ɲ̟ i a̠
メキシコ	m e̞ kʲ i̥ ɕ i̥ k o̞
メシア	m e̞ ɕ i a̠
メジャー	m e̞ ʑ a̠ː
メソポタミア	m e̞ s o̞ p o̞ t a̠ mʲ i a̠
メゾネット	m e̞ z o̞ n e̞ t̚ t o̞
メタ	m e̞ t a̠
メタファー	m e̞ t a̠ ɸ a̠ː
メタラー	m e̞ t a̠ ɾ a̠ː
メタン	m e̞ t ã̠ ɴ
メタンフェタミン	m e̞ t ã̠ ɰ̃ ɸ e̞ t a̠ mʲ ĩ ɴ
メチオニン	m e̞ t͡ɕ i o̞ ɲ̟ ĩ ɴ
メッカ	m e̞ k̚ k a̠
メッセンジャー	m e̞ sː ẽ̞ ɲ̟ d͡ʑ a̠ː
メッセージ	m e̞ sː e̞ː ʑ i
