A	a
sagarrondo	s̺ a ɡ a r o n d o
sagu	s̺ a ɡ u
saguzar	s̺ a ɡ u s̻ a r
saio	s̺ a i̯ o
salatu	s̺ a l a t u
salbatu	s̺ a l b a t u
saldu	s̺ a l d u
salmenta	s̺ a l m e n t a
saltxitxa	s̺ a l t͡ʃ i t͡ʃ a
saltzaile	s̺ a l t͡s̻ a i̯ l e
saltzaile	s̺ a l t͡s̻ a ʎ e
sama	s̺ a m a
sanroke	s̺ a n r o k e
santutegi	s̺ a n t u t e ɡ i
sardexka	s̺ a r d e ʃ k a
sari	s̺ a ɾ i
sarraila	s̺ a r a i̯ l a
sarraila	s̺ a r a ʎ a
sarrera	s̺ a r e ɾ a
sartalde	s̺ a r t a l d e
sartu	s̺ a r t u
sasi	s̺ a s̺ i
satandre	s̺ a t a n d r e
satitsu	s̺ a t i t͡s̺ u
satitsu	s̺ a t i t͡s̻ u
sator	s̺ a t o r
satsu	s̺ a t͡s̺ u
satsu	s̺ a t͡s̻ u
segitu	s̺ e ɡ i t u
segurtatu	s̺ e ɡ u r t a t u
seguru	s̺ e ɡ u ɾ u
sei	s̺ e i̯
seigarren	s̺ e i̯ ɡ a r e n
seikoitz	s̺ e i̯ k o i̯ t͡s̻
seiren	s̺ e i̯ ɾ e n
sekretu	s̺ e k r e t u
semaforo	s̺ e m a f o ɾ o
seme	s̺ e m e
senar	s̺ e n a r
senargai	s̺ e n a r ɡ a i̯
senide	s̺ e n i d e
serbiera	s̺ e r b i e ɾ a
serbokroaziera	s̺ e r b o k r o a s̻ i e ɾ a
setemere	s̺ e t e m e ɾ e
setio	s̺ e t i o
sinatu	s̺ i n a t u
sinatu	s̺ i ɲ a t u
sinekdoke	s̺ i n e k d o k e
sinestezin	s̺ i n e s̺ t e s̻ i n
sinestezin	s̺ i ɲ e s̺ t e s̻ i n
sits	s̺ i t͡s̺
siziliera	s̺ i s̺ i ʎ i e ɾ a
siziliera	s̺ i s̻ i l i e ɾ a
siziliera	s̺ i s̻ i ʎ i e ɾ a
ska	e s̺ k a
skate	e s̺ k e i̯ t
skater	e s̺ k e i̯ t e r
slogan	e s̺ l o ɡ a n
so	s̺ o
soil	s̺ o i̯ l
soilik	s̺ o i̯ l i k
soilik	s̺ o ʎ i k
soin	s̺ o i̯ n
soinu	s̺ o i̯ n u
soinu	s̺ o ɲ u
soka	s̺ o k a
sokamutur	s̺ o k a m u t u r
soldadu	s̺ o l d a d u
somaliera	s̺ o m a l i e ɾ a
sor	s̺ o r
sorbalda	s̺ o r b a l d a
sorgin	s̺ o r ɡ i n
sortalde	s̺ o r t a l d e
sortu	s̺ o r t u
squash	e s̺ k w a ʃ
su	s̺ u
sudur	s̺ u d u r
suebaki	s̺ u e b a k i
suediera	s̺ u e d i e ɾ a
sufre	s̺ u f r e
suge	s̺ u ɡ e
suhi	s̺ u h i
suhi	s̺ u i̯
sukalde	s̺ u k a l d e
suma	s̺ u m a
sumendi	s̺ u m e n d i
suntsipen	s̺ u n t͡s̺ i p e n
suntsipen	s̺ u n t͡s̻ i p e n
suntsitu	s̺ u n t͡s̺ i t u
suntsitu	s̺ u n t͡s̻ i t u
supazter	s̺ u p a s̺ t e r
supazter	s̺ u p a s̻ t e r
sur	s̺ u r
sushi	s̺ u ʃ i
susmo	s̺ u s̺ m o
sutegi	s̺ u t e ɡ i
sutu	s̺ u t u
sü	s̺ y
t	t e
taberna	t a b e r n a
tailandiera	t a i̯ l a n d i e ɾ a
tailandiera	t a ʎ a n d i e ɾ a
talde	t a l d e
talka	t a l k a
talo	t a l o
tamaina	t a m a i̯ n a
tamaina	t a m a ɲ a
taratulu	t a ɾ a t u l u
tarte	t a r t e
tarteka	t a r t e k a
tatami	t a t a m i
taupada	t a u̯ p a d a
taupadaka	t a u̯ p a d a k a
tauromakia	t a u̯ ɾ o m a k i a
taxilari	t a k s̺ i l a ɾ i
te	t e
teleaulki	t e l e a u̯ l k i
telezabor	t e l e s̻ a b o r
testuinguru	t e s̺ t u i̯ n ɡ u ɾ u
tibia	t i b i a
tigre	t i ɡ r e
tigrea	t i ɡ r e a
tigreari	t i ɡ r e a ɾ i
tigrez	t i ɡ r e s̻
tinda	t i n d a
tindagai	t i n d a ɡ a i̯
tindatu	t i n d a t u
tipula	t i p u l a
tiro	t i ɾ o
tirrin	t i r i n
titulu	t i t u l u
tobera	t o b e ɾ a
toki	t o k i
tokik	t o k i k
tomate	t o m a t e
tona	t o n a
tontor	t o n t o r
tonu	t o n u
tonuerdi	t o n u e r d i
topa	t o p a
tori	t o ɾ i
tradizional	t r a d i s̺ i o n a l
tradizional	t r a d i s̻ i o n a l
trafiko	t r a f i k o
tramankulu	t r a m a n k u l u
tramankuluk	t r a m a n k u l u k
tramankuluren	t r a m a n k u l u ɾ e n
tramankulurik	t r a m a n k u l u ɾ i k
tramankulutzat	t r a m a n k u l u t͡s̻ a t
tranpa	t r a m p a
tren	t r e n
trepeta	t r e p e t a
tresna	t r e s̺ n a
tronboi	t r o m b o i̯
truke	t r u k e
ttantta	c a n c a
ttipi	c i p i
turkiar	t u r k i a r
turkiera	t u r k i e ɾ a
turkmenera	t u r k m e n e ɾ a
tutu	t u t u
txahal	t͡ʃ a h a l
txahal	t͡ʃ a l
txakaviera	t͡ʃ a k a b i e ɾ a
txakhür	t͡ʃ a kʰ y r
txakolin	t͡ʃ a k o l i n
txakur	t͡ʃ a k u r
txakurkume	t͡ʃ a k u r k u m e
txalupa	t͡ʃ a l u p a
txanda	t͡ʃ a n d a
txantxa	t͡ʃ a n t͡ʃ a
txantxangorri	t͡ʃ a n t͡ʃ a n ɡ o r i
txapel	t͡ʃ a p e l
txapeldun	t͡ʃ a p e l d u n
txar	t͡ʃ a r
txatxar	t͡ʃ a t͡ʃ a r
txatxarkeria	t͡ʃ a t͡ʃ a r k e ɾ i a
txekiera	t͡ʃ e k i e ɾ a
txermen	t͡ʃ e r m e n
txerri	t͡ʃ e r i
txerriki	t͡ʃ e r i k i
txerrikume	t͡ʃ e r i k u m e
txerto	t͡ʃ e r t o
txetnik	t͡ʃ e t n i k
txibia	t͡ʃ i b i a
txigorgailu	t͡ʃ i ɡ o r ɡ a i̯ l u
txigorgailu	t͡ʃ i ɡ o r ɡ a ʎ u
tximeleta	t͡ʃ i m e l e t a
tximinia	t͡ʃ i m i n i a
tximinia	t͡ʃ i m i ɲ i a
tximino	t͡ʃ i m i n o
tximino	t͡ʃ i m i ɲ o
tximitxa	t͡ʃ i m i t͡ʃ a
txinera	t͡ʃ i n e ɾ a
txingurri	t͡ʃ i n ɡ u r i
txipiroi	t͡ʃ i p i ɾ o i̯
txirrin	t͡ʃ i r i n
txirrindu	t͡ʃ i r i n d u
txirrindulari	t͡ʃ i r i n d u l a ɾ i
txirrindularitza	t͡ʃ i r i n d u l a ɾ i t͡s̻ a
txiste	t͡ʃ i s̺ t e
txistu	t͡ʃ i s̺ t u
txiza	t͡ʃ i s̺ a
txiza	t͡ʃ i s̻ a
txoke	t͡ʃ o k e
txokolate	t͡ʃ o k o l a t e
txori	t͡ʃ o ɾ i
txorizo	t͡ʃ o ɾ i s̺ o
txorizo	t͡ʃ o ɾ i s̻ o
txotx	t͡ʃ o t͡ʃ
txuleta	t͡ʃ u l e t a
u	u
uda	u d a
udaberri	u d a b e r i
udaberriro	u d a b e r i ɾ o
udal	u d a l
udalerri	u d a l e r i
udaletxe	u d a l e t͡ʃ e
udaltzain	u d a l t͡s̻ a i̯ n
udaltzainburu	u d a l t͡s̻ a i̯ m b u ɾ u
udaltzaingo	u d a l t͡s̻ a i̯ n ɡ o
udare	u d a ɾ e
udaro	u d a ɾ o
udazken	u d a s̺ k e n
udazken	u d a s̻ k e n
udazkenero	u d a s̺ k e n e ɾ o
udazkenero	u d a s̻ k e n e ɾ o
ugaldu	u ɡ a l d u
ugatz	u ɡ a t͡s̻
ugaztun	u ɡ a s̻ t u n
uhandre	u a n d r e
uhandre	u h a n d r e
uharte	u a r t e
uharte	u h a r t e
uhartedi	u a r t e d i
uhartedi	u h a r t e d i
uhartegi	u a r t e ɡ i
uhartegi	u h a r t e ɡ i
ukabil	u k a b i l
ukabilkada	u k a b i l k a d a
ukabilkatu	u k a b i l k a t u
ukan	u k a n
ukitu	u k i t u
ukondo	u k o n d o
ukondu	u k o n d u
ukrainera	u k r a i̯ n e ɾ a
ulertu	u l e r t u
ultzera	u l t͡s̻ e ɾ a
ume	u m e
umedun	u m e d u n
unibertsitate	u n i b e r t͡s̺ i t a t e
unibertsitate	u n i b e r t͡s̻ i t a t e
untxi	u n t͡ʃ i
untxitegi	u n t͡ʃ i t e ɡ i
ur	u r
urdandegi	u r d a n d e ɡ i
urde	u r d e
urdin	u r d i n
urrats	u r a t͡s̺
urrats	u r a t͡s̻
urre	u r e
urri	u r i
urrieta	u r i e t a
urril	u r i l
urtaro	u r t a ɾ o
urtarril	u r t a r i l
urte	u r t e
urtegi	u r t e ɡ i
urthe	u r tʰ e
urtu	u r t u
urtxintxa	u r t͡ʃ i n t͡ʃ a
urzo	u r s̻ o
usategi	u s̺ a t e ɡ i
uso	u s̺ o
ustel	u s̺ t e l
usteldu	u s̺ t e l d u
usteldura	u s̺ t e l d u ɾ a
utz	u t͡s̻
utzak	u t͡s̻ a k
utzan	u t͡s̻ a n
utzazkidak	u t͡s̻ a s̺ k i d a k
utzazkidak	u t͡s̻ a s̻ k i d a k
utzazkidan	u t͡s̻ a s̺ k i d a n
utzazkidan	u t͡s̻ a s̻ k i d a n
utzazkidazu	u t͡s̻ a s̺ k i d a s̺ u
utzazkidazu	u t͡s̻ a s̻ k i d a s̻ u
utzazkidazue	u t͡s̻ a s̺ k i d a s̺ u e
utzazkidazue	u t͡s̻ a s̻ k i d a s̻ u e
utzazkiek	u t͡s̻ a s̺ k i e k
utzazkiek	u t͡s̻ a s̻ k i e k
utzazkien	u t͡s̻ a s̺ k i e n
utzazkien	u t͡s̻ a s̻ k i e n
utzazkiezu	u t͡s̻ a s̺ k i e s̺ u
utzazkiezu	u t͡s̻ a s̻ k i e s̻ u
utzazkiezue	u t͡s̻ a s̺ k i e s̺ u e
utzazkiezue	u t͡s̻ a s̻ k i e s̻ u e
utzazkiguk	u t͡s̻ a s̺ k i ɡ u k
utzazkiguk	u t͡s̻ a s̻ k i ɡ u k
utzazkigun	u t͡s̻ a s̺ k i ɡ u n
utzazkigun	u t͡s̻ a s̻ k i ɡ u n
utzazkiguzu	u t͡s̻ a s̺ k i ɡ u s̺ u
utzazkiguzu	u t͡s̻ a s̻ k i ɡ u s̻ u
utzazkiguzue	u t͡s̻ a s̺ k i ɡ u s̺ u e
utzazkiguzue	u t͡s̻ a s̻ k i ɡ u s̻ u e
utzazkiok	u t͡s̻ a s̺ k i o k
utzazkiok	u t͡s̻ a s̻ k i o k
utzazkion	u t͡s̻ a s̺ k i o n
utzazkion	u t͡s̻ a s̻ k i o n
utzazkiozu	u t͡s̻ a s̺ k i o s̺ u
utzazkiozu	u t͡s̻ a s̻ k i o s̻ u
utzazkiozue	u t͡s̻ a s̺ k i o s̺ u e
utzazkiozue	u t͡s̻ a s̻ k i o s̻ u e
utzazu	u t͡s̻ a s̺ u
utzazu	u t͡s̻ a s̻ u
utzazue	u t͡s̻ a s̺ u e
utzazue	u t͡s̻ a s̻ u e
utzi	u t͡s̻ i
utziek	u t͡s̻ i e k
utzien	u t͡s̻ i e n
utziezu	u t͡s̻ i e s̺ u
utziezu	u t͡s̻ i e s̻ u
utziezue	u t͡s̻ i e s̺ u e
utziezue	u t͡s̻ i e s̻ u e
utziok	u t͡s̻ i o k
utzion	u t͡s̻ i o n
utziozu	u t͡s̻ i o s̺ u
utziozu	u t͡s̻ i o s̻ u
utziozue	u t͡s̻ i o s̺ u e
utziozue	u t͡s̻ i o s̻ u e
uve	u b e
uzbekera	u s̻ b e k e ɾ a
uzkuk	u s̺ k u k
uzkuk	u s̻ k u k
uzkun	u s̺ k u n
uzkun	u s̻ k u n
uzkuzu	u s̺ k u s̺ u
uzkuzu	u s̻ k u s̻ u
uzkuzue	u s̺ k u s̺ u e
uzkuzue	u s̻ k u s̻ u e
uzta	u s̻ t a
uztail	u s̻ t a i̯ l
uztak	u s̺ t a k
uztak	u s̻ t a k
uztan	u s̺ t a n
uztan	u s̻ t a n
uztazu	u s̺ t a s̺ u
uztazu	u s̻ t a s̻ u
uztazue	u s̺ t a s̺ u e
uztazue	u s̻ t a s̻ u e
uñhu	u ɲ ɦ ũ
v	u b e
vietnamdar	b i e t n a m d a r
vietnamera	b i e t n a m e ɾ a
vietnamera	b j e t n a m e ɾ a
w	u b e b i k o i̯ t͡s̻
wagnertar	b a ɡ n e r t a r
x	i ʃ a
xaboi	ʃ a b o i̯
xake	ʃ a k e
xakelari	ʃ a k e l a ɾ i
xanpu	ʃ a m p u
xurgagailu	ʃ u r ɡ a ɡ a i̯ l u
xurgagailu	ʃ u r ɡ a ɡ a ʎ u
y	i ɡ r e k o
yarda	d͡ʒ a r d a
yarda	j a r d a
yarda	ɟ a r d a
z	s̻ e t a
zabal	s̻ a b a l
zabaldu	s̻ a b a l d u
zabiltza	s̺ a b i l t͡s̻ a
zabiltza	s̻ a b i l t͡s̻ a
zabiltzan	s̺ a b i l t͡s̻ a n
zabiltzan	s̻ a b i l t͡s̻ a n
zabiltzate	s̺ a b i l t͡s̻ a t e
zabiltzate	s̻ a b i l t͡s̻ a t e
zabiltzaten	s̺ a b i l t͡s̻ a t e n
zabiltzaten	s̻ a b i l t͡s̻ a t e n
zabilzke	s̺ a b i l s̺ k e
zabilzke	s̻ a b i l s̻ k e
zabilzkete	s̺ a b i l s̺ k e t e
zabilzkete	s̻ a b i l s̻ k e t e
zabor	s̺ a b o r
zabor	s̻ a b o r
zabortegi	s̺ a b o r t e ɡ i
zabortegi	s̻ a b o r t e ɡ i
zahar	s̺ a r
zahar	s̻ a h a r
zahar	s̻ a r
zahi	s̻ a h i
zahi	s̻ a i̯
zain	s̺ a i̯ n
zain	s̻ a i̯ n
zaindu	s̺ a i̯ n d u
zaindu	s̻ a i̯ n d u
zaingorri	s̻ a i̯ n ɡ o r i
zaintxuri	s̻ a i̯ n t͡ʃ u ɾ i
zaintzuri	s̻ a i̯ n t͡s̻ u ɾ i
zainurdin	s̻ a i̯ n u r d i n
zainurdin	s̻ a ɲ u r d i n
zainzuri	s̻ a i̯ n s̻ u ɾ i
zaitez	s̺ a i̯ t e s̺
zaitez	s̻ a i̯ t e s̻
zaitezela	s̺ a i̯ t e s̺ e l a
zaitezela	s̻ a i̯ t e s̻ e l a
zaitezen	s̺ a i̯ t e s̺ e n
zaitezen	s̻ a i̯ t e s̻ e n
zaitezke	s̺ a i̯ t e s̺ k e
zaitezke	s̻ a i̯ t e s̻ k e
zaitezkete	s̺ a i̯ t e s̺ k e t e
zaitezkete	s̻ a i̯ t e s̻ k e t e
zaitezte	s̺ a i̯ t e s̺ t e
zaitezte	s̻ a i̯ t e s̻ t e
zaiteztela	s̺ a i̯ t e s̺ t e l a
zaiteztela	s̻ a i̯ t e s̻ t e l a
zaitezten	s̺ a i̯ t e s̺ t e n
zaitezten	s̻ a i̯ t e s̻ t e n
zaitu	s̻ a i̯ t u
zaitugu	s̻ a i̯ t u ɡ u
zaitut	s̻ a i̯ t u t
zaituzke	s̺ a i̯ t u s̺ k e
zaituzke	s̻ a i̯ t u s̻ k e
zaituzkegu	s̺ a i̯ t u s̺ k e ɡ u
zaituzkegu	s̻ a i̯ t u s̻ k e ɡ u
zaituzket	s̺ a i̯ t u s̺ k e t
zaituzket	s̻ a i̯ t u s̻ k e t
zaituzkete	s̺ a i̯ t u s̺ k e t e
zaituzkete	s̻ a i̯ t u s̻ k e t e
zaituzketegu	s̺ a i̯ t u s̺ k e t e ɡ u
zaituzketegu	s̻ a i̯ t u s̻ k e t e ɡ u
zaituzketet	s̺ a i̯ t u s̺ k e t e t
zaituzketet	s̻ a i̯ t u s̻ k e t e t
zaituzketete	s̺ a i̯ t u s̺ k e t e t e
zaituzketete	s̻ a i̯ t u s̻ k e t e t e
zaituzte	s̻ a i̯ t u s̻ t e
zaituztegu	s̻ a i̯ t u s̻ t e ɡ u
zaituztet	s̻ a i̯ t u s̻ t e t
zaituztete	s̺ a i̯ t u s̺ t e t e
zaituztete	s̻ a i̯ t u s̻ t e t e
zaitzadala	s̺ a i̯ t͡s̻ a d a l a
zaitzadala	s̻ a i̯ t͡s̻ a d a l a
zaitzadan	s̺ a i̯ t͡s̻ a d a n
zaitzadan	s̻ a i̯ t͡s̻ a d a n
zaitzagula	s̺ a i̯ t͡s̻ a ɡ u l a
zaitzagula	s̻ a i̯ t͡s̻ a ɡ u l a
zaitzagun	s̺ a i̯ t͡s̻ a ɡ u n
zaitzagun	s̻ a i̯ t͡s̻ a ɡ u n
zaitzake	s̺ a i̯ t͡s̻ a k e
zaitzake	s̻ a i̯ t͡s̻ a k e
zaitzakegu	s̺ a i̯ t͡s̻ a k e ɡ u
zaitzakegu	s̻ a i̯ t͡s̻ a k e ɡ u
zaitzaket	s̺ a i̯ t͡s̻ a k e t
zaitzaket	s̻ a i̯ t͡s̻ a k e t
zaitzakete	s̺ a i̯ t͡s̻ a k e t e
zaitzakete	s̻ a i̯ t͡s̻ a k e t e
zaitzaketegu	s̺ a i̯ t͡s̻ a k e t e ɡ u
zaitzaketegu	s̻ a i̯ t͡s̻ a k e t e ɡ u
zaitzaketet	s̺ a i̯ t͡s̻ a k e t e t
zaitzaketet	s̻ a i̯ t͡s̻ a k e t e t
zaitzaketete	s̺ a i̯ t͡s̻ a k e t e t e
zaitzaketete	s̻ a i̯ t͡s̻ a k e t e t e
zaitzala	s̺ a i̯ t͡s̻ a l a
zaitzala	s̻ a i̯ t͡s̻ a l a
zaitzan	s̺ a i̯ t͡s̻ a n
zaitzan	s̻ a i̯ t͡s̻ a n
zaitzatedala	s̺ a i̯ t͡s̻ a t e d a l a
zaitzatedala	s̻ a i̯ t͡s̻ a t e d a l a
zaitzatedan	s̺ a i̯ t͡s̻ a t e d a n
zaitzatedan	s̻ a i̯ t͡s̻ a t e d a n
zaitzategula	s̺ a i̯ t͡s̻ a t e ɡ u l a
zaitzategula	s̻ a i̯ t͡s̻ a t e ɡ u l a
zaitzategun	s̺ a i̯ t͡s̻ a t e ɡ u n
zaitzategun	s̻ a i̯ t͡s̻ a t e ɡ u n
zaitzatela	s̺ a i̯ t͡s̻ a t e l a
zaitzatela	s̻ a i̯ t͡s̻ a t e l a
zaitzaten	s̺ a i̯ t͡s̻ a t e n
zaitzaten	s̻ a i̯ t͡s̻ a t e n
zaitzatetela	s̺ a i̯ t͡s̻ a t e t e l a
zaitzatetela	s̻ a i̯ t͡s̻ a t e t e l a
zaitzateten	s̺ a i̯ t͡s̻ a t e t e n
zaitzateten	s̻ a i̯ t͡s̻ a t e t e n
zakatz	s̺ a k a t͡s̻
zakatz	s̻ a k a t͡s̻
zakhur	z a kʰ u r
zakil	s̺ a k i l
zakil	s̻ a k i l
zakilkada	s̺ a k i l k a d a
zakilkada	s̻ a k i l k a d a
zakur	s̺ a k u r
zakur	s̻ a k u r
zalantza	s̺ a l a n t͡s̻ a
zalantza	s̻ a l a n t͡s̻ a
zalaparta	s̻ a l a p a r t a
zaldi	s̻ a l d i
zaldun	s̺ a l d u n
zaldun	s̻ a l d u n
zaltu	s̺ a l t u
zaltu	s̻ a l t u
zama	s̺ a m a
zama	s̻ a m a
zamari	s̻ a m a ɾ i
zapaburu	s̻ a p a b u ɾ u
zapaldu	s̻ a p a l d u
zapalkeria	s̻ a p a l k e ɾ i a
zapalketa	s̻ a p a l k e t a
zapalkuntza	s̻ a p a l k u n t͡s̻ a
zapata	s̻ a p a t a
zapatu	s̺ a p a t u
zapatu	s̻ a p a t u
zara	s̺ a ɾ a
zara	s̻ a ɾ a
zarateke	s̺ a ɾ a t e k e
zarateke	s̻ a ɾ a t e k e
zaratekete	s̺ a ɾ a t e k e t e
zaratekete	s̻ a ɾ a t e k e t e
zarete	s̺ a ɾ e t e
zarete	s̻ a ɾ e t e
zaroatzan	s̻ a ɾ o a t͡s̻ a n
zatekeen	s̺ a t e k e e n
zatekeen	s̻ a t e k e e n
zatoz	s̺ a t o s̺
zatoz	s̻ a t o s̻
zatozen	s̺ a t o s̺ e n
zatozen	s̻ a t o s̻ e n
zatozke	s̺ a t o s̺ k e
zatozke	s̻ a t o s̻ k e
zatozkete	s̺ a t o s̺ k e t e
zatozkete	s̻ a t o s̻ k e t e
zatozte	s̺ a t o s̺ t e
zatozte	s̻ a t o s̻ t e
zatozten	s̺ a t o s̺ t e n
zatozten	s̻ a t o s̻ t e n
zatxezkidate	s̺ a t͡ʃ e s̺ k i d a t e
zatxezkidate	s̻ a t͡ʃ e s̻ k i d a t e
zatxezkie	s̺ a t͡ʃ e s̺ k i e
zatxezkie	s̻ a t͡ʃ e s̻ k i e
zatxezkiete	s̺ a t͡ʃ e s̺ k i e t e
zatxezkiete	s̻ a t͡ʃ e s̻ k i e t e
zatxezkigu	s̺ a t͡ʃ e s̺ k i ɡ u
zatxezkigu	s̻ a t͡ʃ e s̻ k i ɡ u
zatxezkigute	s̺ a t͡ʃ e s̺ k i ɡ u t e
zatxezkigute	s̻ a t͡ʃ e s̻ k i ɡ u t e
zatxezkio	s̺ a t͡ʃ e s̺ k i o
zatxezkio	s̻ a t͡ʃ e s̻ k i o
zatxezkiote	s̺ a t͡ʃ e s̺ k i o t e
zatxezkiote	s̻ a t͡ʃ e s̻ k i o t e
zatxezkit	s̺ a t͡ʃ e s̺ k i t
zatxezkit	s̻ a t͡ʃ e s̻ k i t
zaude	s̺ a u̯ d e
zaude	s̻ a u̯ d e
zaudeke	s̺ a u̯ d e k e
zaudeke	s̻ a u̯ d e k e
zaudekete	s̺ a u̯ d e k e t e
zaudekete	s̻ a u̯ d e k e t e
zauden	s̺ a u̯ d e n
zauden	s̻ a u̯ d e n
zaudete	s̺ a u̯ d e t e
zaudete	s̻ a u̯ d e t e
zaudeten	s̺ a u̯ d e t e n
zaudeten	s̻ a u̯ d e t e n
zauri	s̻ a u̯ ɾ i
zautza	s̺ a u̯ t͡s̻ a
zautza	s̻ a u̯ t͡s̻ a
zautzate	s̺ a u̯ t͡s̻ a t e
zautzate	s̻ a u̯ t͡s̻ a t e
zauzka	s̺ a u̯ s̺ k a
zauzka	s̻ a u̯ s̻ k a
zauzkagu	s̺ a u̯ s̺ k a ɡ u
zauzkagu	s̻ a u̯ s̻ k a ɡ u
zauzkat	s̺ a u̯ s̺ k a t
zauzkat	s̻ a u̯ s̻ k a t
zauzkate	s̺ a u̯ s̺ k a t e
zauzkate	s̻ a u̯ s̻ k a t e
zauzkategu	s̺ a u̯ s̺ k a t e ɡ u
zauzkategu	s̻ a u̯ s̻ k a t e ɡ u
zauzkatet	s̺ a u̯ s̺ k a t e t
zauzkatet	s̻ a u̯ s̻ k a t e t
zauzkatete	s̺ a u̯ s̺ k a t e t e
zauzkatete	s̻ a u̯ s̻ k a t e t e
zazaguzki	s̻ a s̻ a ɡ u s̻ k i
zazaguzkigu	s̻ a s̻ a ɡ u s̻ k i ɡ u
zazaguzkit	s̻ a s̻ a ɡ u s̻ k i t
zazaguzkite	s̻ a s̻ a ɡ u s̻ k i t e
zazaguzte	s̻ a s̻ a ɡ u s̻ t e
zazaguztegu	s̻ a s̻ a ɡ u s̻ t e ɡ u
zazaguztet	s̻ a s̻ a ɡ u s̻ t e t
zazaguztete	s̻ a s̻ a ɡ u s̻ t e t e
zazpi	s̻ a s̻ p i
zazpigarren	s̺ a s̺ p i ɡ a r e n
zazpigarren	s̻ a s̻ p i ɡ a r e n
zazpikoitz	s̻ a s̻ p i k o i̯ t͡s̻
zazpiren	s̻ a s̻ p i ɾ e n
ze	s̺ e
ze	s̻ e
zebilen	s̺ e b i ʎ e n
zebilen	s̻ e b i l e n
zebilen	s̻ e b i ʎ e n
zebilkeen	s̺ e b i l k e e n
zebilkeen	s̻ e b i l k e e n
zebiltzan	s̺ e b i l t͡s̻ a n
zebiltzan	s̻ e b i l t͡s̻ a n
zebilzkeen	s̺ e b i l s̺ k e e n
zebilzkeen	s̻ e b i l s̻ k e e n
zebra	s̺ e b r a
zebra	s̻ e b r a
zedila	s̺ e d i ʎ a
zedila	s̻ e d i l a
zedila	s̻ e d i ʎ a
zedin	s̺ e d i n
zedin	s̻ e d i n
zegien	s̺ e ɡ i e n
zegien	s̻ e ɡ i e n
zegiten	s̺ e ɡ i t e n
zegiten	s̻ e ɡ i t e n
zegitzan	s̺ e ɡ i t͡s̻ a n
zegitzan	s̻ e ɡ i t͡s̻ a n
zegitzaten	s̺ e ɡ i t͡s̻ a t e n
zegitzaten	s̻ e ɡ i t͡s̻ a t e n
zegoen	s̺ e ɡ o e n
zegoen	s̻ e ɡ o e n
zegokeen	s̺ e ɡ o k e e n
zegokeen	s̻ e ɡ o k e e n
zehatz	s̺ e a t͡s̻
zehatz	s̻ e a t͡s̻
zehatz	s̻ e h a t͡s̻
zehaztasun	s̺ e a s̺ t a s̺ u n
zehaztasun	s̻ e a s̻ t a s̺ u n
zehaztasun	s̻ e h a s̻ t a s̺ u n
zein	s̺ e i̯ n
zein	s̻ e i̯ n
zekien	s̻ e k i e n
zekion	s̻ e k i o n
zekiten	s̻ e k i t e n
zekizkien	s̻ e k i s̻ k i e n
zekizkion	s̻ e k i s̻ k i o n
zekizkiten	s̻ e k i s̻ k i t e n
zekusan	s̻ e k u s̺ a n
zekusaten	s̻ e k u s̺ a t e n
zekuskien	s̻ e k u s̺ k i e n
zekuskiten	s̻ e k u s̺ k i t e n
zemendi	s̺ e m e n d i
zemendi	s̻ e m e n d i
zen	s̺ e n
zen	s̻ e n
zenbaki	s̺ e m b a k i
zenbaki	s̻ e m b a k i
zenbiltzan	s̺ e m b i l t͡s̻ a n
zenbiltzan	s̻ e m b i l t͡s̻ a n
zenbiltzaten	s̺ e m b i l t͡s̻ a t e n
zenbiltzaten	s̻ e m b i l t͡s̻ a t e n
zenbilzke	s̺ e m b i l s̺ k e
zenbilzke	s̻ e m b i l s̻ k e
zenbilzkeen	s̺ e m b i l s̺ k e e n
zenbilzkeen	s̻ e m b i l s̻ k e e n
zenbilzkete	s̺ e m b i l s̺ k e t e
zenbilzkete	s̻ e m b i l s̻ k e t e
zenbilzketen	s̺ e m b i l s̺ k e t e n
zenbilzketen	s̻ e m b i l s̻ k e t e n
zenegien	s̺ e n e ɡ i e n
zenegien	s̻ e n e ɡ i e n
zenegike	s̺ e n e ɡ i k e
zenegike	s̻ e n e ɡ i k e
zenegikete	s̺ e n e ɡ i k e t e
zenegikete	s̻ e n e ɡ i k e t e
zenegiten	s̺ e n e ɡ i t e n
zenegiten	s̻ e n e ɡ i t e n
zenegitzake	s̺ e n e ɡ i t͡s̻ a k e
zenegitzake	s̻ e n e ɡ i t͡s̻ a k e
zenegitzakete	s̺ e n e ɡ i t͡s̻ a k e t e
zenegitzakete	s̻ e n e ɡ i t͡s̻ a k e t e
zenegitzan	s̺ e n e ɡ i t͡s̻ a n
zenegitzan	s̻ e n e ɡ i t͡s̻ a n
zenegitzaten	s̺ e n e ɡ i t͡s̻ a t e n
zenegitzaten	s̻ e n e ɡ i t͡s̻ a t e n
zenekien	s̻ e n e k i e n
zenekike	s̻ e n e k i k e
zenekikete	s̻ e n e k i k e t e
zenekiten	s̻ e n e k i t e n
zenekizke	s̻ e n e k i s̻ k e
zenekizkete	s̻ e n e k i s̻ k e t e
zenekizkien	s̻ e n e k i s̻ k i e n
zenekizkiten	s̻ e n e k i s̻ k i t e n
zenekusan	s̻ e n e k u s̺ a n
zenekusaten	s̻ e n e k u s̺ a t e n
zenekusazke	s̻ e n e k u s̺ a s̻ k e
