ABŞ	ɑ b ʃ
neçənci	n e t͡s æ n d͡z i
neçənci	n e t͡ʃ æ n d͡ʒ i
neçəyədir	n e t͡s j æ d i r
neçəyədir	n e t͡ʃ j æ d i r
nicat	n i d͡z ɑ t
nicat	n i d͡ʒ ɑ t
nifrət	n i f r æ t
nigah	n i ɡʲ ɑ h
nigaran	n i ɡʲ ɑ r ɑ n
nijad	n i ʒ ɑ d
nikah	n i kʲ ɑ h
nikah	n i ɡʲ ɑ h
nikbin	n i k b i n
nitq	n i t kʲ
niyyət	n i jː æ t
niyə	n i j æ
nolar	n oː ɫ a r
noldu	n oː ɫ d u
noxta	n o x t ɑ
noyabr	n o j ɑ b r̥̩
nökər	n œ c æ r
nökər	n œ t͡ʃ æ r
nömrə	n œ m r æ
nöqtə	n œ k t æ
növbə	n œ v b æ
nümayişkaranə	n y m ɑː j i ʃ kʲ ɑ r ɑː n æ
nümayəndə	n y m ɑ j æː n d æ
nümayəndə	n y m ɑː j i n d æ
nümunəvi	n y m uː n æ v i
nəbi	n æ b i
nəcib	n æ d͡z i b
nəcib	n æ d͡ʒ i b
nəcis	n æ d͡z i s
nəcis	n æ d͡ʒ i s
nəfs	n æ f s
nəfər	n æ f æ r
nəfəs	n æ f æ s
nəhəng	n æ h æ ɲ ɟ
nəm	n æ m
nənə	n æ n æ
nəql	n æ ɡ l
nəqərat	n æ ɡ ɑː r æ t
nərdivan	n æ r d i v ɑ n
nəsib	n æ s i b
nəsil	n æ s i l
nəsə	n æ s æ
nəticə	n æ t i d͡z æ
nəticə	n æ t i d͡ʒ æ
nəticəsində	n æ t i d͡z æ s i n d æ
nəticəsində	n æ t i d͡ʒ æ s i n d æ
nətər	n æ t æ r
nəvə	n æ v æ
nəyinsə	n æ j i n s æ
nəyisə	n æ j i s æ
nəyəsə	n æ j æ s æ
nəzakət	n æ z ɑː k æ t
nəçi	n æ t͡s i
nəçi	n æ t͡ʃ i
nəğmə	n æ ɣ m æ
nəşr	n æ ʃ r
nəşə	n æ ʃ æ
nəşəxor	n æ ʃ æ x o r
oboy	ɑ b o j
ocaq	o d͡z ɑ χ
ocaq	o d͡ʒ ɑ χ
ocaqlıq	o d͡z ɑ ɣ ɫ ɯ χ
ocaqlıq	o d͡ʒ ɑ ɣ ɫ ɯ χ
odun	o d u n
olay	o ɫ ɑ j
oldu	o ɫ d u
olmaq	o l m ɑ χ
olsun	o sː u n
olsun	o ɫ s u n
onuncu	o n u n d͡ʒ u
onurğa	o n u r ɣ ɑ
orada	o r ɑ d ɑ
oradan	o r d ɑ n
oradan	o r ɑ d ɑ n
ordu	o r d u
orta	o r t ɑ
osturaq	o s t u r ɑ χ
osturaqçı	o s t u r a χ t͡s ɯ
osturaqçı	o s t u r a χ t͡ʃ ɯ
osurmaq	o s u r m ɑ χ
otaq	o t ɑ χ
otaqda	o t ɑ ɣ d ɑ
otlamaq	o t ɫ ɑ m ɑ x
otlamaq	o tː ɑ m ɑ x
oturacaq	o t u r ɑ d͡z ɑ χ
oturacaq	o t u r ɑ d͡ʒ ɑ χ
oturmaq	o t u r m ɑ χ
oturuş	o t u r u ʃ
otuz	o tʰ u z
otuzuncu	o t u z u n d͡ʒ u
otval	ɑ t v ɑ ɫ
ov	o v
ovdan	o v d ɑ n
ovlaq	o v ɫ ɑ χ
ovsar	o v s ɑ r
ovuc	o u d͡z
ovuc	o v u d͡z
ovuc	o v u d͡ʒ
ovuq	o j u χ
ovuq	o u χ
ovuq	o v u χ
ovuq	u j u ɣ
ovuq	œ j y χ
ovuq	œː χ
ovçu	o v t͡s u
ovçu	o v t͡s ɯ
ovçu	o v t͡ʃ u
ovçu	o v t͡ʃ ɯ
oxumaq	o χ u m a χ
oxutmaq	o χ u t m ɑ χ
oxuşmaq	o x u ʃ m ɑ x
oxşamaq	o χ ʃ ɑ m ɑ χ
oxşar	o χ ʃ ɑ r
oxşarlıq	o χ ʃ ɑ r l ɯ χ
oyanmaq	o j ɑ mː ɑ χ
oyanmaq	o j ɑ n m ɑ χ
oyanış	o j ɑ n ɯ ʃ
oymaq	o j m ɑ x
oynamaq	o j n ɑ m ɑ χ
oyun	o j u n
oçerk	o t͡s e r t͡ʃ
oçerk	o t͡ʃ e r k
oğlaq	o ɣ ɫ ɑ χ
oğru	o ɣ r u
oğul	o ɣ u ɫ
oğurlamaq	o ɣ u rː ɑ m ɑ χ
palata	p ɑ ɫ ɑ t ɑ
paltaryuyan	p ɑ ɫ t ɑ r j u j ɑ n
palçıq	p ɑ ɫ t͡s ɯ χ
palçıq	p ɑ ɫ t͡ʃ ɯ χ
papaq	p ɑ p ɑ χ
papiros	p ɑ p i r o s
parlamaq	p ɑ r l ɑ m ɑ χ
partal	p ɑ r t ɑ l
partlamaq	p ɑ r tː ɑ m ɑ χ
partlatmaq	p ɑ r tː ɑ t m ɑ χ
partlayış	p ɑ r tː ɑ j ɯ ʃ
patrondaş	p ɑ t r o n d ɑ ʃ
paxmel	p ɑ x m e l
paxıl	p ɑ χ ɯ ɫ
paxıllıq	p ɑ χ ɯ ɫː ɯ χ
paxır	p ɑ χ ɯ r
paylaşım	p ɑ j ɫ ɑ ʃ ɯ m
paytaxt	p ɑ j t ɑ χ t
payız	p ɑ j ɯ z
paçka	p a t͡s kʲ ɑ
paçka	p ɑ t͡ʃ k ɑ
paçka	p ɑ ʃ k ɑ
pencək	p e n d͡ʒ æ k
pencər	p e n d͡z æ r
pencər	p e n d͡ʒ æ r
pendir	p e n d i r
pendir	p e n d i r̥
penis	p e n i s
pensiya	p e n s i j ɑ
petux	p e t u χ
peyvənd	p e j v æ n d
peyğəmbər	p e j ɣ æ m b æ r
peyğəmbər	p e j ɣ ɑ m b æ r
peçenye	p e t ʃ e ɲ e
peçenye	p i t s e nː i
peçenye	p i t ʃ e nː i
peçenye	p i t ʃʲ o nː ɯ
peşə	p e ʃ æ
pillə	p i lː æ
pilləkən	p i l æ kʲ æ n
pilotsuz	p i ɫ o t s u z
pinti	p i n t i
pis	p i s
pivə	p iː v æ
pivəxana	p iː v æ χ ɑ n ɑ
planet	p ɫ ɑ n e t
plaş	p ɫ ɑ ʃ
plov	p ɫ o v
podkast	p ɑ d k ɑ s t
podkat	p ɑ d ɡ ɑ t
podkat	p ɑ t k ɑ t
polis	p o l i s
polkovnik	p ɑ ɫ k o v n i k
populyar	p o p u l j ɑ ɾ
portuqal	p o ɾ t u ɡ ɑ l
pota	p o t ɑ
pozmaq	p o z m ɑ χ
poçt	p o t͡ʃ t
poçt	p o ʃ t
poçtalyon	p o t͡ʃ t ɑ l j o n
premyera	p r e m j e r a
prodüser	p r o d y s e r
prodüser	p r o d y sː e r
proqnozlaşdırmaq	p r o ɡ n o z l ɑ ʃ d ɯ r m ɑ χ
proqnozlaşdırmaq	p r ɑ ɡ n o z l ɑ ʃ d ɯ r m ɑ χ
proqramlaşdırma	p r o ɡ r ɑ m ɫ ɑ ʃ d ɯ r m ɑ
proqramçı	p r o ɡ r ɑ m t͡s ɯ
proqramçı	p r o ɡ r ɑ m t͡ʃ ɯ
psixoterapiya	p s i x ɔ t ɛ ɾ ɑ p i j ɑ
pul	p u ɫ
pulsuz	p u ɫ s u z
pünhan	p y n h ɑ n
pənah	p æ n ɑ h
pəncərə	p e n d͡z æ r æ
pəncərə	p e n d͡ʒ æ r æ
pəncərə	p æ n d͡z æ r æ
pəncərə	p æ n d͡ʒ æ r æ
pərakəndə	p æ r ɑ c æ n d æ
pərakəndəlik	p æ r ɑː c æ n d æ l i c
pərvanə	p æ r v ɑː n æ
qab	ɡ ɑ b
qab	ɡ ɑ b̥
qabaq	ɡ ɑ b ɑ χ
qabaq	ɡ ɑ v ɑ χ
qabaqcadan	ɡ ɑ b ɑ ɣ d͡ʒ ɑ d ɑ n
qabaqcıl	ɡ ɑ b ɑ ɣ d͡z ɯ ɫ
qabaqlamaq	ɡ ɑ b ɑ ɣ ɫ ɑ m ɑ χ
qabağa	ɡ ɑ b ɑ ɣ ɑ
qabağa	ɡ ɑ v ɑ ɣ ɑ
qabağında	ɡ ɑ b ɑ ɣ ɯ n d ɑ
qabyuyan	ɡ ɑ b j u j ɑ n
qabırğa	ɡ ɑ b ɯ r ɣ ɑ
qabırğa	ɢ ɑ b ɯ r ɣ ɑ
qada	ɡ ɑ d ɑ
qadağa	ɡ ɑ d ɑ ɣ ɑ
qadağan	ɡ ɑ d ɑ ɣ ɑ n
qadın	k ɑ d ɯ n
qadın	x ɑ t u n
qadın	x ɑ t ɯ n
qadın	ɡ ɑ d ɯ n
qafiyə	ɡ ɑ f i j æ
qalamaq	ɡ ɑ ɫ ɑ m ɑ x
qalaq	ɡ ɑ ɫ ɑ χ
qalay	ɡ ɑ ɫ ɑ j
qalayçı	ɡ ɑ ɫ ɑ j t͡s ɯ
qalayçı	ɡ ɑ ɫ ɑ j t͡ʃ ɯ
qaldırmaq	ɡ ɑ l d ɯ r m ɑ χ
qalib	ɡ ɑː l i b
qalibiyyət	ɡ ɑː l i b i j j æ t
qalmaq	ɡ ɑ ɫ m ɑ χ
qalmaqal	ɡ ɑ ɫ m ɑ ɡ ɑ ɫ
qalmaqal	ɡ ɑ ɫ m ɑ ɣ ɑ ɫ
qalstuk	ɡ ɑ ɫ s t u k
qaltaq	ɡ ɑ ɫ t ɑ χ
qaltaqçı	ɡ ɑ ɫ t ɑ χ t͡s ɯ
qaltaqçı	ɡ ɑ ɫ t ɑ χ t͡ʃ ɯ
qaluboy	ɡ ɑ ɫ u b o j
qaluboy	ɢ ɑ ɫ u b o j
qalxmaq	ɡ ɑ ɫ χ m ɑ χ
qan	ɡ ɑ n
qanacaq	ɡ ɑ n ɑ d͡z ɑ χ
qanacaq	ɡ ɑ n ɑ d͡ʒ ɑ χ
qanacaqlı	ɡ ɑ n ɑ d͡z ɑ ɣ ɫ ɯ
qanacaqlı	ɡ ɑ n ɑ d͡ʒ ɑ ɣ ɫ ɯ
qanad	ɡ ɑ n ɑ d
qanamaq	ɡ ɑ n ɑ m ɑ χ
qanbur	ɡ ɑ n b u r
qancıq	ɡ ɑ n d͡z ɯ χ
qancıq	ɡ ɑ n d͡ʒ ɯ χ
qandal	ɡ ɑ n d ɑ ɫ
qandallamaq	ɡ ɑ n d ɑ ɫː ɑ m ɑ x
qanmaq	ɡ ɑ mː ɑ χ
qanmaq	ɡ ɑ n m ɑ χ
qanmaz	ɡ ɑ mː ɑ z
qanmaz	ɡ ɑ n m ɑ z
qanun	ɡ ɑː n u n
qanunverici	ɡ ɑː n u n v e r i d͡z i
qanunverici	ɡ ɑː n u n v e r i d͡ʒ i
qapan	ɡ ɑ p ɑ n
qapaq	ɡ ɑ p ɑ χ
qapmaq	ɡ ɑ p m ɑ χ
qapı	ɡ ɑ p ɯ
qar	ɡ ɑ r
qara	ɡ æ r æ
qara	ɡ ɑ r ɑ
qarabaşaq	ɡ ɑ r ɑ b ɑ ʃ ɑ x
qaraciyər	ɡ ɑ r ɑ d͡z i j æ r
qaraciyər	ɡ ɑ r ɑ d͡ʒ i j æ r
qaradərili	ɡ ɑ r ɑ d æ r i l i
qaralama	ɡ ɑ r ɑ ɫ ɑ m ɑ
qaralamaq	ɡ ɑ r ɑ ɫ ɑ m ɑ χ
qaranlıq	ɡ ɑ r ɑ n ɫ ɯ χ
qaranlıq	ɡ ɑ r ɑ nː ɯ χ
qarayara	ɡ ɑ r ɑ j ɑ r ɑ
qardaşlıq	ɡ ɑ r d ɑ ʃ d ɯ χ
qardaşlıq	ɡ ɑ r d ɑ ʃ ɫ ɯ χ
qarın	ɡ ɑ r ɯ n
qarınca	ɡ ɑ r ɯ n d͡z ɑ
qarınca	ɡ ɑ r ɯ n d͡ʒ ɑ
qarınqulu	ɡ ɑ r ɯ n ɡ u ɫ u
qarışdırmaq	ɡ ɑ r ɯ ʃ t ɯ r m ɑ χ
qarışmaq	ɡ ɑ r ɯ ʃ m ɑ χ
qarışqa	ɡ ɑ r ɯ ʃ k ɑ
qarışqa	ɡ ɑ r ɯ ʃ ɡ ɑ
qarışıq	ɡ ɑ r ɯ ʃ ɯ χ
qarşı	ɡ ɑ r ʃ ɯ
qarşılamaq	ɡ ɑ r ʃ ɯ ɫ ɑ m ɑ χ
qarşılıqlı	ɡ ɑ r ʃ ɯ ɫ ɯ ɣ ɫ ɯ
qarşısında	ɡ ɑ r ʃ ɯ s ɯ n d ɑ
qarət	ɡ ɑː r æ t
qasıq	ɡ ɑ s ɯ x
qasırğa	ɡ ɑ s ɯ r ɣ a
qat	ɡ æ t
qat	ɡ ɑ t
qatı	ɡ ɑ t ɯ
qatıq	ɡ ɑ t ɯ χ
qatışıq	ɡ ɑ t ɯ ʃ ɯ χ
qax	ɡ ɑ x
qaya	ɡ ɑ j ɑ
qayda	ɡ ɑ j d ɑ
qaydasında	ɡ ɑ j d ɑ s ɯ n d ɑ
qaynamaq	ɡ ɑ j n ɑ m ɑ χ
qaynatmaq	ɡ ɑ j n ɑ t m ɑ χ
qaytarmaq	ɡ e j t æ r m ɑ χ
qaytarmaq	ɡ ɑ j t ɑ r m ɑ χ
qaytarmaq	ɢ e j t æ r m ɑ χ
qayçı	ɡ e j t͡s i
qayçı	ɡ ɑ j t͡ʃ ɯ
qayğı	ɡ ɑ j ɣ ɯ
qayğıkeş	ɡ ɑ j ɣ ɯ k e ʃ
qayıdış	ɡ ɑ j ɯ d ɯ ʃ
qayınana	ɡ ɑ j ɯ n ɑ n ɑ
qayınata	ɡ ɑ j ɯ n ɑ t ɑ
qayırmaq	ɡ e j i ɾ m ɑ χ
qayırmaq	ɡ eː ɾ m ɑ χ
qayırmaq	ɡ ɑ j ɯ r m ɑ χ
qayırmaq	ɣ ɑː r m ɑ χ
qayıtmaq	ɡ e j i t m ɑ χ
qayıtmaq	ɡ eː t m ɑ χ
qayıtmaq	ɡ ɑ j ɯ t m ɑ χ
qaz	ɡ ɑ z
qazanc	ɡ ɑ z ɑ n d͡z
qazanc	ɡ ɑ z ɑ n d͡ʒ
qazanmaq	ɡ ɑ z ɑ mː ɑ χ
qazanmaq	ɡ ɑ z ɑ n m ɑ χ
qazanılmaq	ɡ ɑ z ɑ n ɯ ɫ m ɑ x
qazanılmış	ɡ ɑ z ɑ n ɯ ɫ m ɯ ʃ
qazmaq	ɡ ɑ z m ɑ χ
qazıntı	ɡ ɑ z ɯ n t ɯ
qaçaq	ɡ ɑ t͡s ɑ χ
qaçaq	ɡ ɑ t͡ʃ ɑ χ
qaçaqaç	ɡ ɑ t͡s ɑ ɡ ɑ t͡s
qaçaqaç	ɡ ɑ t͡ʃ ɑ ɡ ɑ t͡ʃ
qaçaqmal	ɡ ɑ t͡s ɑ ɣ m ɑ ɫ
qaçaqmal	ɡ ɑ t͡ʃ ɑ ɣ m ɑ ɫ
qaçaqmalçılıq	ɡ ɑ t͡s ɑ ɣ m ɑ ɫ t͡s ɯ ɫ ɯ χ
qaçaqmalçılıq	ɡ ɑ t͡ʃ ɑ ɣ m ɑ ɫ t͡ʃ ɯ ɫ ɯ χ
qaçmaq	ɡ ɑ t͡s m ɑ χ
qaçmaq	ɡ ɑ t͡ʃ m ɑ χ
qaçqın	ɡ ɑ t͡s ɡ ɯ n
qaçqın	ɡ ɑ t͡ʃ ɡ ɯ n
qaçınmaq	ɡ ɑ t͡s ɯ mː ɑ x
qaçınmaq	ɡ ɑ t͡s ɯ n m ɑ x
qaçınmaq	ɡ ɑ t͡ʃ ɯ mː ɑ x
qaçınmaq	ɡ ɑ t͡ʃ ɯ n m ɑ x
qaçırmaq	ɡ ɑ t͡s ɯ r m ɑ χ
qaçırmaq	ɡ ɑ t͡ʃ ɯ r m ɑ χ
qaçış	ɡ ɑ t͡s ɯ ʃ
qaçış	ɡ ɑ t͡ʃ ɯ ʃ
qaş	ɡ ɑ ʃ
qaşqaldaq	ɡ ɑ ʃ ɡ ɑ l d ɑ χ
qaşımaq	ɡ ɑ ʃ ɯ m ɑ χ
qaşınmaq	ɡ ɑ ʃ ɯ n m ɑ χ
qaşıq	ɡ ɑ ʃ ɯ χ
qeyri	ɡ e j r i
qiblə	ɡ i b l æ
qiraət	ɡ i r ɑˀ æ t
qiymət	ɡ i j m æ t
qiymət	ɢ i j m æ t
qoboy	ɡ o b o j
qoca	ɡ o d͡z ɑ
qoca	ɡ o d͡ʒ ɑ
qocalıq	ɡ o d͡z ɑ ɫ ɯ χ
qocalıq	ɡ o d͡ʒ ɑ ɫ ɯ χ
qohum	ɡ o h u m
qohumluq	ɡ o h u m ɫ u χ
qol	ɡ o ɫ
qolac	ɡ o ɫ ɑ d͡z
qolac	ɡ o ɫ ɑ d͡ʒ
qoltuq	ɡ o ɫ t u χ
qonaq	ɡ o n ɑ χ
qonaqlıq	ɡ o n ɑ ɣ ɫ ɯ ɣ
qonaqlıq	ɡ o n ɑ ɣ ɫ ɯ χ
qonaqpərvər	ɡ o n ɑ χ p æ r v æ r
qonaqpərəst	ɡ o n ɑ χ p æ r æ s t
qonşu	ɡ o n ʃ u
qoparmaq	ɡ o p ɑ r m ɑ x
qopmaq	ɡ o p m ɑ χ
qor	ɡ o r
qorumaq	ɡ o r u m ɑ χ
qoruqçu	ɡ o r u χ t͡s u
qoruqçu	ɡ o r u χ t͡ʃ u
qorxaq	ɡ o r χ ɑ χ
qorxaqlıq	ɡ o r χ ɑ ɣ ɫ ɯ χ
qorxmaq	ɡ o r x m ɑ x
qorxmaz	ɡ o r χ m ɑ z
qorxu	ɡ o r χ u
qorxutmaq	ɡ o r χ u t m ɑ χ
qovmaq	ɡ o v m ɑ χ
qovulma	ɡ o v u ɫ m a
qovulmaq	ɡ o v u ɫ m a χ
qovun	ɡ o h u n
qovun	ɡ o v u n
qoydurmaq	ɡ o j d u r m ɑ χ
qoymaq	ɡ o j m ɑ χ
qoz	ɡ o z
qoşmaq	ɡ o ʃ m a χ
qoşulmaq	ɡ o ʃ u ɫ m a χ
qoşun	ɡ o ʃ u n
qrip	ɡ r i p
qu	ɡ u
qucaq	ɡ u d͡z ɑ x
qucaq	ɡ u d͡ʒ ɑ x
qucaqlamaq	ɡ u d͡z a ɣ ɫ ɑ m ɑ χ
qucaqlamaq	ɡ u d͡ʒ a ɣ ɫ ɑ m ɑ χ
qucaqlaşmaq	ɡ u d͡z a ɣ ɫ ɑ ʃ m ɑ χ
qucaqlaşmaq	ɡ u d͡ʒ a ɣ ɫ ɑ ʃ m ɑ χ
quduzluq	ɡ u d u z ɫ u χ
qul	ɡ u ɫ
qulaq	ɡ u ɫ ɑ χ
qumbara	ɡ u m b ɑ r ɑ
qumuq	ɡ u m u χ
qundaq	ɡ u n d a x
qunduz	ɡ u n d u z
qurbağa	ɡ u r b ɑ ɣ ɑ
qurmaq	ɡ u r m ɑ χ
qurnaz	ɡ u r n ɑ z
qurtarmaq	k u t a r m ɑ χ
qurtarmaq	ɡ u r t ɑ r m ɑ χ
qurtulmaq	ɡ u r t u ɫ m ɑ χ
qurtulmaq	ɡ u t u ɫ m ɑ χ
quru	ɡ u r u
qurum	ɡ u r u m
qurutmaq	ɡ u r u t m ɑ χ
qusmaq	ɡ u s m ɑ χ
qutab	k u t ɑ b
qutab	x tʰ a p
qutab	ɡ u t ɑ b
quyruq	ɡ u j r u ɣ
quyu	ɡ u j u
quzey	ɡ u z e j
quş	ɡ u ʃ
quşi	ɡ u ʃ i
qövm	ɡ œ v m
qüllə	ɡ y lː æ
qüsn	ɡ y s n
qüvvə	ɡ y vː æ
qüvvət	ɡ y vː æ t
qıcıqlandırmaq	ɡ ɯ d͡z ɯ ɣ ɫ ɑ n d ɯ r m ɑ χ
qıcıqlandırmaq	ɡ ɯ d͡ʒ ɯ ɣ ɫ ɑ n d ɯ r m ɑ χ
qıdıqlamaq	ɡ ɯ d ɯ ɣ ɫ ɑ m ɑ χ
qıf	ɡ ɯ f
qıfıl	ɡ ɯ f ɯ ɫ
qıfıllı	ɡ ɯ f ɯ ɫː ɯ
qıfılçı	ɡ ɯ f ɯ ɫ t͡s ɯ
qıfılçı	ɡ ɯ f ɯ ɫ t͡ʃ ɯ
qıjı	ɡ ɯ ʒ ɯ
qılmaq	ɡ ɯ ɫ m ɑ χ
qılınmaq	ɡ ɯ ɫ ɯ mː ɑ χ
qılınmaq	ɡ ɯ ɫ ɯ n m ɑ χ
qınamaq	ɡ ɯ n ɑ m ɑ χ
qınaq	ɡ ɯ n ɑ χ
qır	ɡ ɯ r
qıraq	ɡ ɯ r ɑ χ
qıraqlar	ɡ ɯ r ɑ ɣ ɫ ɑ r
qırağı	ɡ ɯ r ɑ ɣ ɯ
qırmaq	ɡ ɯ r m ɑ χ
qırmızı	ɡ ɯ r m ɯ z ɯ
qırmızı	ɣ ɯ r m ɯ z ɯ
qırpmaq	ɡ ɯ r p m ɑ χ
qırxayaq	ɡ ɯ r χ ɑ j ɑ χ
qırxmaq	ɡ ɯ r χ m ɑ χ
qırğın	ɡ ɯ r ɣ ɯ n
qısa	k ɯ̥ s ɑ
qısa	ɡ ɯ s ɑ
qıt	ɡ ɯ t
qıvrım	ɡ ɯ v r ɯ m
qıymaq	ɡ ɯ j m ɑ χ
qızdırmaq	ɡ ɯ z d ɯ r m a χ
qızlıq	ɡ ɯ z d ɯ χ
qızlıq	ɡ ɯ z ɫ ɯ χ
qızmaq	ɡ ɯ z m ɑ χ
qızılbalıq	ɡ ɯ z ɯ ɫ b ɑ ɫ ɯ χ
qızılqaz	ɡ ɯ z ɯ ɫ ɡ ɑ z
qızılquş	ɡ ɯ z ɯ ɫ ɡ u ʃ
qızışmaq	ɡ ɯ z ɯ ʃ m ɑ χ
qığlamaq	ɡ ɯ ɣ ɫ ɑ m ɑ χ
qığılcım	ɡ ɯ ɣ ɯ ɫ d͡z ɯ m
qığılcım	ɡ ɯ ɣ ɯ ɫ d͡ʒ ɯ m
qış	ɡ ɯ ʃ
qışlaq	ɡ ɯ ʃ l ɑ χ
qışlaq	ɡ ɯ ʃ t ɑ χ
qışqırmaq	k ɯ ʃ k ɯ r m ɑ χ
qışqırmaq	ɡ ɯ ʃ ɡ ɯ r m ɑ χ
qəbir	ɡ æ b i r
qəbiristan	ɡ æ b r i s t ɑ n
qədim	ɡ æ d i m
qədər	ɡ æ d æ ɾ
qədər	ɡ æ d æ ɾ̥
qədər	ɢ æ d æ ɾ̥
qədər	χ æ d æ r
qəfəs	ɡ æ f æ s
qəhbə	ɡ æ h b æ
qəhbə	ɡ æ h p æ
qəhbəlik	ɡ æ h b æ l i j
qəhbəlik	ɡ æ h b æ l i k
qəhbəlik	ɡ æ h p æ l i j
qəhbəlik	ɡ æ h p æ l i k
qəhrəman	ɡ æ h r æ m ɑ n
qəhrəmanlıq	ɡ æ h r æ m ɑ n ɫ ɯ χ
qəhvə	ɡ æ h v æ
qəlb	ɡ æ l b
qəlb	ɢ æ l b
qəlbən	ɡ æ ɫ b æ n
qəliz	ɡ æ l i z
qəlyan	ɡ æ l j ɑ n
qələbə	ɡ æ l æ b æ
qəməngiz	ɡ æ m æ ŋ ɟ i z
qənd	ɡ æ n d
qənirsiz	ɡ æ n i r s i z
qəpik	ɡ æ p i h
qəpik	ɡ æ p i j
qəpik	ɡ æ p i k
qəpik	ɡ æ p i ç
qəribə	ɡ æ r iː b æ
qərənfil	ɡ æ ɾ æ n f i l
qəssab	ɡ æ sː ɑ b
qəssab	ɢ æ sː ɑ b
qətl	ɡ æ t l
qətrə	ɡ æ t r æ
qəzet	ɡ æ z e t
qəzəl	ɡ æ z æ l
rabitə	r ɑː b i t æ
rahat	r ɑ h ɑ t
rahatlıq	r ɑ h ɑ t l ɯ χ
rama	r ɑ m ɑ
rejissor	r e ʒ i sː o r
respublika	ɾ e̞ s̪ p u b l i k ɑ̝
riayət	r i ɑ j æ t
rozetka	r ɑ z e t k ɑ
ruhani	r u h ɑː n i
ruhi	r uː h i
ruzigar	r u z i ɟ a r
ruzigar	r y z d͡ʒ a r
ruzigar	r y z ɟ a r
ruznamə	r u z n ɑ m æ
rüşvət	r y ʃ v æ t
rüşvətxorluq	r y ʃ v æ t x o r ɫ u x
rüşvətxorluq	r y ʃ v æ t x o rː u x
rəfiqə	r æ f iː ɡ æ
rəhbər	r æ h b æ r
rəhm	r æ h m
rəng	r æ ŋ ɡ
rəngləmək	r æ ŋ l æ m æ k
rəsədxana	r æ s æ d x ɑ n ɑ
rəvac	r æ v a d͡z
rəvac	r æ v ɑ d͡ʒ
rəvayət	r æ v ɑː j æ t
rəğbət	r æ ɣ b æ t
rəğmən	r æ ɣ m æ n
saat	s ɑ h ɑ t
saat	s ɑ ɑ t
saat	s ɑː ʔ æ t
sabah	s ɑ b ɑ h
sabah	z ɑ v ɑ χ
sabit	s ɑː b i t
sac	s ɑ d͡z
sac	s ɑ d͡ʒ
sadalamaq	s ɑ d ɑ ɫ ɑ m ɑ χ
sadaq	s ɑ d ɑ χ
sadə	s ɑː d æ
sahib	s ɑ h i b
sal	s ɑ ɫ
salamat	s æ l ɑ m ɑ t
salamat	s ɑ ɫ ɑ m ɑ t
salmaq	s ɑ ɫ m ɑ χ
saman	s ɑ m ɑ n
saman	s ɑː m ɑ n
sami	s ɑ m i
saniyə	s ɑː n i j æ
sanki	s ɑ n k i
saplamaq	s ɑ p ɫ ɑ m ɑ χ
saqqal	s ɑ k ɡ ɑ ɫ
saqqal	s ɑ kː ɑ ɫ
saqqız	s ɑ kː ɯ z
sar	s ɑ r
sarplıq	s ɑ r p ɫ ɯ χ
sarsıtmaq	s ɑ r s ɯ t m a χ
sarı	s ɑ r ɯ
sataşmaq	s ɑ t ɑ ʃ m ɑ χ
satmaq	s ɑ t m ɑ χ
satqın	s ɑ t ɡ ɯ n
satıcı	s ɑ t ɯ d͡z ɯ
satıcı	s ɑ t ɯ d͡ʒ ɯ
satış	s ɑ t ɯ ʃ
savab	s ɑ v ɑ b
savayı	s ɑ v ɑː j ɯ
savaş	s ɑ v ɑ ʃ
saxlamaq	s ɑ χ l ɑ m ɑ χ
saxsı	s ɑ χ s ɯ
sayaq	s ɑ j ɑ χ
saymaq	s ɑ j m ɑ χ
sayt	s ɑ j t
sayğı	s ɑ j ɣ ɯ
sayıq	s ɑ j ɯ χ
saz	s ɑ z
saziş	ʃ ɑː z i ʃ
saç	s ɑ t͡s
saç	s ɑ t͡ʃ
saçmaq	s ɑ t͡s m ɑ χ
saçmaq	s ɑ t͡ʃ m ɑ χ
sağ	s ɑ ɣ
sağalmaq	s ɑ ɣ ɑ ɫ m ɑ χ
sağaltmaq	s ɑ ɣ ɑ ɫ t m ɑ χ
sağdış	s ɑ ɣ d ɯ ʃ
sağlıq	s ɑ ɣ ɫ ɯ x
sağmal	s ɑ ɣ m ɑ ɫ
sağmaq	s ɑ ɣ m ɑ χ
sağol	s ɑ ɔ ɫ
sağol	s ɑ ɣ ɔ ɫ
sağsağan	s ɑ x s a ɣ a n
sevda	s e v d ɑ
sevda	s œ j d ɑ
sevda	s œ y d ɑ
sevgi	s e v ɟ i
sevgisiz	s e v d͡ʒ i s i z
sevgisiz	s e v ɡ i s i z
sevindirici	s e v i n d i r i d͡z i
sevindirici	s e v i n d i r i d͡ʒ i
sevindirmək	s e v i n d i r m æ j
sevindirmək	s e v i n d i r m æ k
sevinmək	s e v i n m æ j
sevinmək	s e v i n m æ k
sevinmək	s œ j y n m ɑ χ
sevmək	s e v m æ j
sevmək	s e v m æ k
sevmək	s œ j m ɑ χ
seyrək	s e j r æ c
sezmək	s e z m æ j
sezmək	s e z m æ k
seçici	s e t͡s i d͡z i
seçici	s e t͡ʃ i d͡ʒ i
seçim	s e t͡s i m
seçim	s e t͡ʃ i m
seçki	s e t͡s k i
seçki	s e t͡ʃ k i
seçmək	s e t͡s m æ j
seçmək	s e t͡s m æ k
