ԱԱ	ɑ ɑ́
չհաս	t͡ʃʰ ə h ɑ́ s
չղջիկ	t͡ʃʰ ə χ t͡ʃʰ í k
չմուշկ	t͡ʃʰ ə m ú ʃ k
չնայած	t͡ʃʰ ə n ɑ j ɑ́ t͡s
չնաշխարհիկ	t͡ʃʰ ə n ɑ ʃ χ ɑ ɾ í k
չնչին	t͡ʃʰ ə n t͡ʃʰ í n
չոբան	t͡ʃʰ o b ɑ́ n
չոլ	t͡ʃʰ o l
չոր	t͡ʃʰ o ɾ
չորաթան	t͡ʃʰ o ɾ ɑ tʰ ɑ́ n
չորանալ	t͡ʃʰ o ɾ ɑ n ɑ́ l
չորավուն	t͡ʃʰ o ɾ ɑ v ú n
չորացնել	t͡ʃʰ o ɾ ɑ t͡sʰ n é l
չորեքկին	t͡ʃʰ o ɾ e kʰ k í n
չորեքշաբթի	t͡ʃʰ o ɾ e kʰ ʃ ɑ p t í
չորեքշաբթի	t͡ʃʰ o ɾ e kʰ ʃ ɑ pʰ tʰ í
չորթան	t͡ʃʰ o ɾ tʰ ɑ́ n
չորիցս	t͡ʃʰ o ɾ í t͡sʰ ə s
չորոց	t͡ʃʰ o ɾ ó t͡sʰ
չորս	t͡ʃʰ o ɾ s
չորրորդ	t͡ʃʰ o ɹː ó ɾ tʰ
չորրորդ	t͡ʃʰ o ɾ ó ɾ tʰ
չորքոտանի	t͡ʃʰ o ɾ kʰ o t ɑ n í
չու	t͡ʃʰ u
չուգուն	t͡ʃʰ u ɡ ú n
չուլ	t͡ʃʰ u l
չուլան	t͡ʃʰ u l ɑ́ n
չուխա	t͡ʃʰ u χ ɑ́
չունեի	t͡ʃʰ u n e j í
չունեին	t͡ʃʰ u n e j í n
չունեինք	t͡ʃʰ u n e j í ŋ kʰ
չունեիր	t͡ʃʰ u n e j í ɾ
չունեիք	t͡ʃʰ u n e j í kʰ
չունեմ	t͡ʃʰ u n é m
չունեն	t͡ʃʰ u n é n
չունենալ	t͡ʃʰ u n e n ɑ́ l
չունենք	t͡ʃʰ u n é ŋ kʰ
չունես	t͡ʃʰ u n é s
չուներ	t͡ʃʰ u n é ɾ
չունեք	t͡ʃʰ u n é kʰ
չունի	t͡ʃʰ u n í
չուվաշերեն	t͡ʃʰ u v ɑ ʃ e ɾ é n
չոփ	t͡ʃʰ o pʰ
չոփիկ	t͡ʃʰ o pʰ í k
չոքել	t͡ʃʰ o kʰ é l
չսիրած	t͡ʃʰ ə s i ɾ ɑ́ t͡s
չվան	t͡ʃʰ ə v ɑ́ n
չվառ	t͡ʃʰ ə v ɑ́ r
չվել	t͡ʃʰ ə v é l
չվերթ	t͡ʃʰ ə v é ɾ tʰ
չտես	t͡ʃʰ ə t é s
չփլախ	t͡ʃʰ ə pʰ l ɑ́ χ
չփլաղ	t͡ʃʰ pʰ l ɑ ʁ
չքանալ	t͡ʃʰ ə kʰ ɑ n ɑ́ l
չքավոր	t͡ʃʰ ə kʰ ɑ v ó ɾ
չքարա	t͡ʃʰ ə kʰ ɑ́ ɾ ɑ
չքնաղ	t͡ʃʰ ə kʰ n ɑ́ ʁ
չքսեի	t͡ʃʰ ə kʰ ə s e j í
չքսեին	t͡ʃʰ ə kʰ ə s e j í n
չքսեինք	t͡ʃʰ ə kʰ ə s e j í ŋ kʰ
չքսեիր	t͡ʃʰ ə kʰ ə s e j í ɾ
չքսեիք	t͡ʃʰ ə kʰ ə s e j í kʰ
չքսեր	t͡ʃʰ ə kʰ ə s é ɾ
պ	p ə
պագ	p ɑ kʰ
պագանել	p ɑ ɡ ɑ n é l
պագել	p ɑ kʰ é l
պագնել	p ɑ kʰ n é l
պադեզդ	p ɑ d é z d
պադյեզդ	p ɑ d j é z d
պադշիպնիկ	p ɑ d ʃ i p n í k
պադշիպնիկ	p ɑ d ʃ í p n i k
պադոշ	p ɑ d ó ʃ
պալադիում	p ɑ l ɑ d i j ú m
պալադիում	p ɑ l ɑ́ d i j u m
պալայերեն	p ɑ l ɑ j e ɾ é n
պալասատովի	p ɑ l ɑ s ɑ́ t ə v i
պալատ	p ɑ l ɑ́ t
պալատական	p ɑ l ɑ t ɑ k ɑ́ n
պալար	p ɑ l ɑ́ ɾ
պալարախտ	p ɑ l ɑ ɾ ɑ́ χ t
պալի	p ɑ́ l i
պախկվոցի	p ɑ χ k v o t͡sʰ í
պակաս	p ɑ k ɑ́ s
պակասել	p ɑ k ɑ s é l
պակասեցնել	p ɑ k ɑ s e t͡sʰ n é l
պակասուրդ	p ɑ k ɑ s ú ɾ tʰ
պահ	p ɑ h
պահածո	p ɑ h ɑ t͡s ó
պահածոյանալ	p ɑ h ɑ t͡s o j ɑ n ɑ́ l
պահածոյացնել	p ɑ h ɑ t͡s o j ɑ t͡sʰ n é l
պահակ	p ɑ h ɑ́ k
պահանջ	p ɑ h ɑ́ n d͡ʒ
պահանջարկ	p ɑ h ɑ n d͡ʒ ɑ́ ɾ k
պահանջել	p ɑ h ɑ n d͡ʒ é l
պահապան	p ɑ h ɑ p ɑ́ n
պահարան	p ɑ h ɑ ɾ ɑ́ n
պահել	p ɑ h é l
պահեստ	p ɑ h é s t
պահլավերեն	p ɑ h l ɑ v e ɾ é n
պահմտոցի	p ɑ h m ə t o t͡sʰ í
պահպանակ	p ɑ h p ɑ n ɑ́ k
պահպանել	p ɑ h p ɑ n é l
պահպանողական	p ɑ h p ɑ n o ʁ ɑ k ɑ́ n
պահք	p ɑ h kʰ
պաղ	p ɑ ʁ
պաղատել	p ɑ ʁ ɑ t é l
պաղպաղակ	p ɑ χ p ɑ ʁ ɑ́ k
պաղպաղակավաճառ	p ɑ χ p ɑ ʁ ɑ k ɑ v ɑ t͡ʃ ɑ́ r
պաճիճ	p ɑ t͡ʃ í t͡ʃ
պաճուճ	p ɑ t͡ʃ ú t͡ʃ
պաճուճաբան	p ɑ t͡ʃ u t͡ʃ ɑ b ɑ́ n
պաճուճաբանել	p ɑ t͡ʃ u t͡ʃ ɑ b ɑ n é l
պաճուճաբանություն	p ɑ t͡ʃ u t͡ʃ ɑ b ɑ n u t͡sʰ j ú n
պաճուճաբար	p ɑ t͡ʃ u t͡ʃ ɑ b ɑ́ ɾ
պաճույճ	p ɑ t͡ʃ ú j t͡ʃ
պամադա	p ɑ m ɑ d ɑ́
պամիրյան	p ɑ m i ɾ j ɑ́ n
պայթական	p ɑ j tʰ ɑ k ɑ́ n
պայթել	p ɑ j tʰ é l
պայթյուն	p ɑ j tʰ j ú n
պայծառ	p ɑ j t͡s ɑ́ r
պայման	p ɑ j m ɑ́ n
պայմանագիր	p ɑ j m ɑ n ɑ ɡ í ɾ
պայմանագրական	p ɑ j m ɑ n ɑ ɡ ɾ ɑ k ɑ́ n
պայմանական	p ɑ j m ɑ n ɑ k ɑ́ n
պայմանավոր	p ɑ j m ɑ n ɑ v ó ɾ
պայմանավորել	p ɑ j m ɑ n ɑ v o ɾ é l
պայմանավորվածություն	p ɑ j m ɑ n ɑ v o ɾ v ɑ t͡s u t͡sʰ j ú n
պայմանավորվել	p ɑ j m ɑ n ɑ v o ɾ v é l
պայուսակ	p ɑ j s ɑ́ k
պայուսակ	p ɑ j u s ɑ́ k
պայուսյակ	p ɑ j u s j ɑ́ k
պայտ	p ɑ j t
պայտար	p ɑ j t ɑ́ ɾ
պայքար	p ɑ j kʰ ɑ́ ɾ
պայքարել	p ɑ j kʰ ɑ ɾ é l
պան	p ɑ n
պանակ	p ɑ n ɑ́ k
պանդոկ	p ɑ n d ó k
պանդոկապետ	p ɑ n d o k ɑ p é t
պանդուխտ	p ɑ n d ú χ t
պանթեոն	p ɑ n tʰ e ó n
պանթուրքիզմ	p ɑ n tʰ u ɾ kʰ í z m
պանթուրքիստ	p ɑ n tʰ u ɾ kʰ í s t
պանիր	p ɑ n í ɾ
պանծալ	p ɑ n t͡s ɑ́ l
պանրխոտ	p ɑ n ə ɾ χ ó t
պաշար	p ɑ ʃ ɑ́ ɾ
պաշարել	p ɑ ʃ ɑ ɾ é l
պաշարում	p ɑ ʃ ɑ ɾ ú m
պաշտամունք	p ɑ ʃ t ɑ m ú ŋ kʰ
պաշտել	p ɑ ʃ t é l
պաշտոն	p ɑ ʃ t ó n
պաշտոնական	p ɑ ʃ t o n ɑ k ɑ́ n
պաշտոնակից	p ɑ ʃ t o n ɑ k í t͡sʰ
պաշտոնավոր	p ɑ ʃ t o n ɑ v ó ɾ
պաշտոնյա	p ɑ ʃ t o n j ɑ́
պաշտպան	p ɑ ʃ p ɑ́ n
պաշտպան	p ɑ ʃ t p ɑ́ n
պաշտպանական	p ɑ ʃ p ɑ n ɑ k ɑ́ n
պաշտպանական	p ɑ ʃ t p ɑ n ɑ k ɑ́ n
պաշտպանել	p ɑ ʃ p ɑ n é l
պաշտպանել	p ɑ ʃ t p ɑ n é l
պաշտպանության	p ɑ ʃ p ɑ n u t͡sʰ j ɑ́ n
պաշտպանության	p ɑ ʃ t p ɑ n u t͡sʰ j ɑ́ n
պաշտպանություն	p ɑ ʃ p ɑ n u t͡sʰ j ú n
պաշտպանություն	p ɑ ʃ t p ɑ n u t͡sʰ j ú n
պաչ	p ɑ t͡ʃʰ
պաչել	p ɑ t͡ʃʰ é l
պաչիկ	p ɑ t͡ʃʰ í k
պապ	p ɑ p
պապա	p ɑ p ɑ́
պապական	p ɑ p ɑ k ɑ́ n
պապամոլ	p ɑ p ɑ m ó l
պապայա	p ɑ p ɑ́ j ɑ
պապանձել	p ɑ p ɑ n d͡z é l
պապանձեցնել	p ɑ p ɑ n d͡z e t͡sʰ n é l
պապանձվել	p ɑ p ɑ n d͡z v é l
պապի	p ɑ p í
պապիկ	p ɑ p í k
պապկա	p ɑ p k ɑ́
պապկա	p ɑ́ p k ɑ
պառակտություն	p ɑ r ɑ k t u t͡sʰ j ú n
պառավ	p ɑ r ɑ́ v
պառլամենտ	p ɑ r l ɑ m é n t
պառկել	p ɑ r k é l
պաս	p ɑ s
պաստառ	p ɑ s t ɑ́ r
պաստեղ	p ɑ s t é ʁ
պատ	p ɑ t
պատալոկ	p ɑ t ɑ l ó k
պատահաբար	p ɑ t ɑ h ɑ b ɑ́ ɾ
պատահական	p ɑ t ɑ h ɑ k ɑ́ n
պատահականություն	p ɑ t ɑ h ɑ k ɑ n u t͡sʰ j ú n
պատահար	p ɑ t ɑ h ɑ́ ɾ
պատահել	p ɑ t ɑ h é l
պատան	p ɑ t ɑ́ n
պատանդ	p ɑ t ɑ́ n d
պատանեկիկ	p ɑ t ɑ n e k í k
պատանեկություն	p ɑ t ɑ n e k u t͡sʰ j ú n
պատանի	p ɑ t ɑ n í
պատանյակ	p ɑ t ɑ n j ɑ́ k
պատառ	p ɑ t ɑ́ r
պատառաքաղ	p ɑ t ɑ r ɑ kʰ ɑ́ ʁ
պատառել	p ɑ t ɑ r é l
պատասխան	p ɑ t ɑ s χ ɑ́ n
պատասխանատու	p ɑ t ɑ s χ ɑ n ɑ t ú
պատասխանատվությամբ	p ɑ t ɑ s χ ɑ n ɑ t v u t͡sʰ j ɑ́ m b
պատասխանատվություն	p ɑ t ɑ s χ ɑ n ɑ t v u t͡sʰ j ú n
պատասխանել	p ɑ t ɑ s χ ɑ n é l
պատատուկ	p ɑ t ɑ t ú k
պատարագ	p ɑ t ɑ ɾ ɑ́ kʰ
պատգամ	p ɑ d ɡ ɑ́ m
պատգամ	p ɑ t ɡ ɑ́ m
պատգամավոր	p ɑ d ɡ ɑ m ɑ v ó ɾ
պատգամավոր	p ɑ t ɡ ɑ m ɑ v ó ɾ
պատգամավորացու	p ɑ t ɡ ɑ m ɑ v o ɾ ɑ t͡sʰ ú
պատգարակ	p ɑ t ɡ ɑ ɾ ɑ́ k
պատել	p ɑ t é l
պատենտ	p ɑ t é n t
պատերազմ	p ɑ t e ɾ ɑ́ z m
պատժամիջոց	p ɑ t ʒ ɑ m i t͡ʃʰ ó t͡sʰ
պատժել	p ɑ t ʒ é l
պատժում	p ɑ t ʒ ú m
պատժվել	p ɑ t ə ʒ v é l
պատիժ	p ɑ t í ʒ
պատիկ	p ɑ t í k
պատիճ	p ɑ t í t͡ʃ
պատիվ	p ɑ t í v
պատկանել	p ɑ t k ɑ n é l
պատկառանք	p ɑ t k ɑ r ɑ́ ŋ kʰ
պատկառել	p ɑ t k ɑ r é l
պատկառելի	p ɑ t k ɑ r e l í
պատկառելիություն	p ɑ t k ɑ r e l i j u t͡sʰ j ú n
պատկառեցուցիչ	p ɑ t k ɑ r e t͡sʰ u t͡sʰ í t͡ʃʰ
պատկեր	p ɑ t k é ɾ
պատկերահան	p ɑ t k e ɾ ɑ h ɑ́ n
պատկերասրահ	p ɑ t k e ɾ ɑ s ə ɾ ɑ́ h
պատկերացնել	p ɑ t k e ɾ ɑ t͡sʰ n é l
պատկերացում	p ɑ t k e ɾ ɑ t͡sʰ ú m
պատկերել	p ɑ t k e ɾ é l
պատճառ	p ɑ t̚ t͡ʃ ɑ́ r
պատճառական	p ɑ t̚ t͡ʃ ɑ r ɑ k ɑ́ n
պատճառական	p ɑ t͡ʃ ɑ r ɑ k ɑ́ n
պատճառավ	p ɑ t̚ t͡ʃ ɑ r ɑ́ v
պատճառել	p ɑ t̚ t͡ʃ ɑ r é l
պատճառել	p ɑ t͡ʃ ɑ r é l
պատճառով	p ɑ t̚ t͡ʃ ɑ r ó v
պատճե	p ɑ t̚ t͡ʃ é
պատճեն	p ɑ t̚ t͡ʃ é n
պատճենահան	p ɑ t̚ t͡ʃ e n ɑ h ɑ́ n
պատմաբան	p ɑ t m ɑ b ɑ́ n
պատմագետ	p ɑ t m ɑ ɡ é t
պատմագիտություն	p ɑ t m ɑ ɡ i t u t͡sʰ j ú n
պատմական	p ɑ t m ɑ k ɑ́ n
պատմել	p ɑ t m é l
պատմիչ	p ɑ t m í t͡ʃʰ
պատմող	p ɑ t m ó ʁ
պատմություն	p ɑ t m u t͡sʰ j ú n
պատմուճակ	p ɑ t m u t͡ʃ ɑ́ k
պատմուճան	p ɑ t m u t͡ʃ ɑ́ n
պատմվածք	p ɑ t m ə v ɑ́ t͡s kʰ
պատյան	p ɑ t j ɑ́ n
պատյան	p ɑ t͡s j ɑ́ n
պատնեշ	p ɑ t n é ʃ
պատշաճ	p ɑ t ʃ ɑ́ t͡ʃ
պատշար	p ɑ t ʃ ɑ́ ɾ
պատշգամբ	p ɑ t ə ʃ ɡ ɑ́ m b
պատշգամբ	p ɑ t ə ʃ ɡ ɑ́ m pʰ
պատուհան	p ɑ t u h ɑ́ n
պատուհանագոգ	p ɑ t u h ɑ n ɑ ɡ ó kʰ
պատուհաս	p ɑ t u h ɑ́ s
պատուհասել	p ɑ t u h ɑ s é l
պատում	p ɑ t ú m
պատռել	p ɑ t r é l
պատվանդան	p ɑ t v ɑ n d ɑ́ n
պատվաստանյութ	p ɑ t v ɑ s t ɑ n j ú tʰ
պատվաստել	p ɑ t v ɑ s t é l
պատվաստում	p ɑ t v ɑ s t ú m
պատվար	p ɑ t v ɑ́ ɾ
պատվարժան	p ɑ t v ɑ ɾ ʒ ɑ́ n
պատվեր	p ɑ t v é ɾ
պատվիրակություն	p ɑ t v i ɾ ɑ k u t͡sʰ j ú n
պատվիրան	p ɑ t v i ɾ ɑ́ n
պատվիրել	p ɑ t v i ɾ é l
պատվոգիր	p ɑ t v o ɡ í ɾ
պատրանք	p ɑ t ɾ ɑ́ ŋ kʰ
պատրաստ	p ɑ t ɾ ɑ́ s t
պատրաստակամ	p ɑ t ɾ ɑ s t ɑ k ɑ́ m
պատրաստել	p ɑ t ɾ ɑ s t é l
պատրաստություն	p ɑ t ɾ ɑ s t u t͡sʰ j ú n
պատրաստվել	p ɑ t ɾ ɑ s t v é l
պատրինջ	p ɑ t ɾ í n d͡ʒ
պատրույգ	p ɑ t ɾ ú j kʰ
պատրվակ	p ɑ t ə ɾ v ɑ́ k
պար	p ɑ ɾ
պարաբոլ	p ɑ ɾ ɑ b ó l
պարագա	p ɑ ɾ ɑ ɡ ɑ́
պարադոքս	p ɑ ɾ ɑ d ó kʰ s
պարադոքսային	p ɑ ɾ ɑ d o kʰ s ɑ j í n
պարահանդես	p ɑ ɾ ɑ h ɑ n d é s
պարան	p ɑ ɾ ɑ́ n
պարանոց	p ɑ ɾ ɑ n ó t͡sʰ
պարաշյուտ	p ɑ r ɑ ʃ ú t
պարաշյուտ	p ɑ ɾ ɑ ʃ j ú t
պարապ	p ɑ ɾ ɑ́ p
պարապած	p ɑ ɾ ɑ p ɑ́ t͡s
պարապել	p ɑ ɾ ɑ p é l
պարապմունք	p ɑ ɾ ɑ p m ú ŋ kʰ
պարասրահ	p ɑ ɾ ɑ s ə ɾ ɑ́ h
պարավանդ	p ɑ ɾ ɑ v ɑ́ n d
պարարտ	p ɑ ɾ ɑ́ ɾ t
պարարտանյութ	p ɑ ɾ ɑ ɾ t ɑ n j ú tʰ
պարբերություն	p ɑ ɾ b e ɾ u t͡sʰ j ú n
պարբրիս	p ɑ ɾ b ɾ í s
պարգև	p ɑ ɾ kʰ é v
պարգևավճար	p ɑ ɾ kʰ e v ɑ v ə t͡ʃ ɑ́ ɾ
պարգևատրում	p ɑ ɾ kʰ e v ɑ t ɾ ú m
պարգևել	p ɑ ɾ kʰ e v é l
պարեգոտ	p ɑ ɾ e ɡ ó t
պարել	p ɑ ɾ é l
պարեն	p ɑ ɾ é n
պարենքիմ	p ɑ ɾ e ŋ kʰ í m
պարետ	p ɑ ɾ é t
պարետային	p ɑ ɾ e t ɑ j í n
պարզ	p ɑ ɾ z
պարզաբանում	p ɑ ɾ z ɑ b ɑ n ú m
պարզապես	p ɑ ɾ z ɑ p é s
պարզել	p ɑ ɾ z é l
պարզորոշ	p ɑ ɾ z o ɾ ó ʃ
պարզորոշաբար	p ɑ ɾ z o ɾ o ʃ ɑ b ɑ́ ɾ
պարզունակ	p ɑ ɾ z u n ɑ́ k
պարզվել	p ɑ ɾ z v é l
պարթև	p ɑ ɾ tʰ é v
պարթևերեն	p ɑ ɾ tʰ e v e ɾ é n
պարիկ	p ɑ ɾ í k
պարիսպ	p ɑ ɾ í s p
պարծանք	p ɑ ɾ t͡s ɑ́ ŋ kʰ
պարծենալ	p ɑ ɾ t͡s e n ɑ́ l
պարկ	p ɑ ɾ k
պարկապզուկ	p ɑ ɾ k ɑ p ə z ú k
պարկավոր	p ɑ ɾ k ɑ v ó ɾ
պարկել	p ɑ ɾ k é l
պարկեշտ	p ɑ ɾ k é ʃ t
պարմեզան	p ɑ ɾ m e z ɑ́ n
պարող	p ɑ ɾ ó ʁ
պարոն	p ɑ ɾ ó n
պարուհի	p ɑ ɾ u h í
պարույկ	p ɑ ɾ ú j k
պարույր	p ɑ ɾ ú j ɾ
պարուրել	p ɑ ɾ u ɾ é l
պարս	p ɑ ɾ s
պարսավանք	p ɑ ɾ s ɑ v ɑ́ ŋ kʰ
պարսատիկ	p ɑ ɾ s ɑ t í k
պարսիկ	p ɑ ɾ s í k
պարսկական	p ɑ ɾ s k ɑ k ɑ́ n
պարսկահայ	p ɑ ɾ s k ɑ h ɑ́ j
պարսկանալ	p ɑ ɾ s k ɑ n ɑ́ l
պարսկացնել	p ɑ ɾ s k ɑ t͡sʰ n é l
պարսկացում	p ɑ ɾ s k ɑ t͡sʰ ú m
պարսկերեն	p ɑ ɾ s k e ɾ é n
պարտ	p ɑ ɾ t
պարտադիր	p ɑ ɾ t ɑ d í ɾ
պարտադրել	p ɑ ɾ t ɑ d ɾ é l
պարտականություն	p ɑ ɾ t ɑ k ɑ n u t͡sʰ j ú n
պարտավորություն	p ɑ ɾ t ɑ v o ɾ u t͡sʰ j ú n
պարտատեր	p ɑ ɾ t ɑ t é ɾ
պարտատոմս	p ɑ ɾ t ɑ t ó m s
պարտեզ	p ɑ ɾ t é z
պարտել	p ɑ ɾ t é l
պարտիա	p ɑ ɾ t i j ɑ́
պարտիզան	p ɑ ɾ t i z ɑ́ n
պարտիզանական	p ɑ ɾ t i z ɑ n ɑ k ɑ́ n
պարտիզպան	p ɑ ɾ t i z p ɑ́ n
պարտիք	p ɑ ɾ t í kʰ
պարտություն	p ɑ ɾ t u t͡sʰ j ú n
պարտվել	p ɑ ɾ t v é l
պարտվող	p ɑ ɾ t v ó ʁ
պարտվողական	p ɑ ɾ t v o ʁ ɑ k ɑ́ n
պարտք	p ɑ ɾ t kʰ
պացիենտ	p ɑ t͡sʰ i j é n t
պե	p e
պեդալ	p e d ɑ́ l
պեղել	p e ʁ é l
պենալ	p e n ɑ́ l
պեչատ	p e t͡ʃʰ ɑ́ t
պեչենի	p e t͡ʃʰ e n í
պեպեն	p e p é n
պես	p e s
պեսո	p é s o
պեսպես	p e s p é s
պեստիցիդ	p e s t i t͡sʰ í d
պետ	p e t
պետական	p e t ɑ k ɑ́ n
պետականություն	p e t ɑ k ɑ n u t͡sʰ j ú n
պետհամարանիշ	p e t h ɑ m ɑ ɾ ɑ n í ʃ
պետություն	p e t u t͡sʰ j ú n
պետպատվեր	p e t p ɑ t v é ɾ
պետք	p e t kʰ
պերեստրոյկա	p e ɾ e s t ɾ ó j k ɑ
պերիլա	p e ɾ i l ɑ́
պերիլա	p e ɾ í l ɑ
պերկես	p e ɾ k é s
պերճ	p e ɾ t͡ʃ
պերճախոս	p e ɾ t͡ʃ ɑ χ ó s
պերճաղիճ	p e ɾ t͡ʃ ɑ ʁ í t͡ʃ
պերճանք	p e ɾ t͡ʃ ɑ́ ŋ kʰ
պերմանենտ	p e ɾ m ɑ n é n t
պզուկ	p ə z ú k
պիես	p i j é s
պիզայական	p i z ɑ j ɑ k ɑ́ n
պիզացի	p i z ɑ t͡sʰ í
պիլասոս	p i l ɑ s ó s
պիլիպինո	p i l i p i n ó
պիղծ	p i χ t͡s
պինգվին	p i ŋ ɡ v í n
պինդ	p i n d
պինչ	p i n t͡ʃʰ
պիոն	p i j ó n
պիջակ	p i d͡ʒ ɑ́ k
պիսակ	p i s ɑ́ k
պիստակ	p i s t ɑ́ k
պիստակենի	p i s t ɑ k e n í
պիվա	p i v ɑ́
պիտակ	p i t ɑ́ k
պիտանացու	p i t ɑ n ɑ t͡sʰ ú
պիտանի	p i t ɑ n í
պիտի	p i t í
պիտո	p i t ó
պիտույք	p i t ú j kʰ
պիրենեյան	p i ɾ e n e j ɑ́ n
պիրոլ	p i ɾ ó l
պիցցա	p i t̚ t͡sʰ ɑ́
պիցցա	p í t̚ t͡sʰ ɑ
պլագիատոր	p l ɑ ɡ i j ɑ t ó ɾ
պլագիատոր	p l ɑ ɡ i j ɑ́ t o ɾ
պլան	p ə l ɑ́ n
պլանտացիա	p l ɑ n t ɑ t͡sʰ i j ɑ́
պլասկագուբցի	p l ɑ s k ɑ ɡ u pʰ t͡sʰ í
պլաստիկ	p l ɑ s t í k
պլենար	p l e n ɑ́ ɾ
պլերոմա	p l e ɾ o m ɑ́
պլյաժ	p l j ɑ ʒ
պլյաժ	p ə l j ɑ́ ʒ
պլոկել	p ə l o k é l
պլոճիկ	p ə l o t͡ʃ í k
պլոր	p ə l ó ɾ
պլուզ	p ə l ú z
պլուտոնիում	p l u t o n i j ú m
պլուտոնիում	p l u t ó n i j u m
պղինձ	p ə ʁ í n d͡z
պղծել	p ə χ t͡s é l
պղնձաձույլ	p ə ʁ ə n d͡z ɑ d͡z ú j l
պղնձարջասպ	p ə ʁ ə n d͡z ɑ ɾ d͡ʒ ɑ́ s p
պղպեղ	p ə χ p é ʁ
պղպջակ	p ə χ p ə d͡ʒ ɑ́ k
պճեղ	p ə t͡ʃ é ʁ
պճնվել	p ə t͡ʃ n ə v é l
պյուռոսյան	p j u r o s j ɑ́ n
պնակ	p ə n ɑ́ k
պնդակազմ	p ə n d ɑ k ɑ́ z m
պնդել	p ə n d é l
պնդուկ	p ə n d ú k
պնդօղակ	p ə n d o ʁ ɑ́ k
պնչատ	p ə n t͡ʃʰ ɑ́ t
պոեզդ	p o j é z d
պոզ	p o z
պոզիտիվ	p o z i t í v
պոզիտիվիզմ	p o z i t i v í z m
պոզիտրոն	p o z i t ɾ ó n
պոլ	p o l
պոլաբերեն	p o l ɑ b e ɾ é n
պոլի	p o l í
պոլիկլինիկա	p o l i k l i n i k ɑ́
պոլիմեր	p o l i m é ɾ
պոլիոմիելիտ	p o l i j o m i j e l í t
պոլկա	p o l k ɑ́
պոլոճիկ	p o l o t͡ʃ í k
պոլոնիում	p o l o n i j ú m
պոլոնիում	p o l ó n i j u m
պոկել	p o k é l
պոկեր	p o k é ɾ
պող	p o ʁ
պողովատ	p o ʁ o v ɑ́ t
պողոտա	p o ʁ o t ɑ́
պողպատ	p o χ p ɑ́ t
պոմիդոր	p o m i d ó ɾ
պոմպ	p o m p
պոնչիկ	p o n t͡ʃʰ í k
պոչ	p o t͡ʃʰ
պոչազգեստ	p o t͡ʃʰ ɑ z ɡ é s t
պոչատ	p o t͡ʃʰ ɑ́ t
պոչիկ	p o t͡ʃʰ í k
պոչկա	p o t͡ʃʰ k ɑ́
պոչուկ	p o t͡ʃʰ ú k
պոպոզ	p o p ó z
պոպոկ	p o p ó k
պոպուլիզմ	p o p u l í z m
պոպուլիստ	p o p u l í s t
պոպոք	p o p ó kʰ
պոռթկում	p o r tʰ k ú m
պոռնիկ	p o r n í k
պոռնկագրություն	p o r n ə k ɑ ɡ ɾ u t͡sʰ j ú n
պոռնկագրություն	p o r ə ŋ k ɑ ɡ ɾ u t͡sʰ j ú n
պոռնկանոց	p o r n ə k ɑ n ó t͡sʰ
պոռնկատուն	p o r n ə k ɑ t ú n
պոռնկություն	p o r n ə k u t͡sʰ j ú n
պոռնոգրաֆիա	p o r n o ɡ ɾ ɑ́ f i j ɑ
պոռոչ	p o r ó t͡ʃʰ
պոռոչագին	p o r o t͡ʃʰ ɑ ɡ í n
պոռոչել	p o r o t͡ʃʰ é l
պոռոչյուն	p o r o t͡ʃʰ j ú n
պոռոտ	p o r ó t
պոռոտաբան	p o r o t ɑ b ɑ́ n
պոռոտաբանել	p o r o t ɑ b ɑ n é l
պոռոտաբանություն	p o r o t ɑ b ɑ n u t͡sʰ j ú n
պոռոտախոս	p o r o t ɑ χ ó s
պոռոտախոսել	p o r o t ɑ χ o s é l
պոռոտախոսություն	p o r o t ɑ χ o s u t͡sʰ j ú n
պոստմոդեռնիզմ	p o s t m o d e r n í z m
պորուչիկ	p o ɾ ú t͡ʃʰ i k
պորտ	p o ɾ t
պորտաբույծ	p o ɾ t ɑ b ú j t͡s
պորտալար	p o ɾ t ɑ l ɑ́ ɾ
պորտապար	p o ɾ t ɑ p ɑ́ ɾ
պորտուգալական	p o ɾ t u ɡ ɑ l ɑ k ɑ́ n
պորտուգալացի	p o ɾ t u ɡ ɑ l ɑ t͡sʰ í
պորտուգալերեն	p o ɾ t u ɡ ɑ l e ɾ é n
պորտվեյն	p o ɾ t v é j n
պուատիեցի	p u ɑ t i j e t͡sʰ í
պուլպուլակ	p u l p u l ɑ́ k
պուլսար	p u l s ɑ́ ɾ
պուլտ	p u l t
պուճախ	p u t͡ʃ ɑ́ χ
պուճուր	p u t͡ʃ ú ɾ
պուճուրիկ	p u t͡ʃ u ɾ í k
պույտ	p u j t
պուպուլ	p u p ú l
պուպուլիկ	p u p u l í k
պուտինիզմ	p u t i n í z m
պուտուկ	p u t ú k
պուրակ	p u ɾ ɑ́ k
պուրի	p u ɾ í
պուց	p u t͡sʰ
պչրուհի	p ə t͡ʃʰ ɾ u h í
պպզել	p ə p ə z é l
պռաշիվկա	p r ɑ ʃ i f k ɑ́
պռոշ	p ə r ó ʃ
պռոստը	p r ó s t ə
պսակ	p ə s ɑ́ k
պստիկ	p ə s t í k
պտեր	p ə t é ɾ
պտկաքար	p ə t k ɑ kʰ ɑ́ ɾ
պտկունք	p ə t k ú ŋ kʰ
